sl_10_5400_20240426 Coordinates.csv
2024/04/26 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:19 2024,
Start: 2024/04/26 07:47:00.00, Stop: 2024/04/26 09:17:00.00,
TIME_UNITS,STARLINK-31586 - X-Coordinate,STARLINK-4174 - X-Coordinate,STARLINK-11263 [DTC] - X-Coordinate,STARLINK-31355 - X-Coordinate,STARLINK-30984 - X-Coordinate,STARLINK-4322 - X-Coordinate,STARLINK-1612 - X-Coordinate,STARLINK-2363 - X-Coordinate,STARLINK-5455 - X-Coordinate,STARLINK-31579 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31586 - Y-Coordinate,STARLINK-4174 - Y-Coordinate,STARLINK-11263 [DTC] - Y-Coordinate,STARLINK-31355 - Y-Coordinate,STARLINK-30984 - Y-Coordinate,STARLINK-4322 - Y-Coordinate,STARLINK-1612 - Y-Coordinate,STARLINK-2363 - Y-Coordinate,STARLINK-5455 - Y-Coordinate,STARLINK-31579 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31586 - Z-Coordinate,STARLINK-4174 - Z-Coordinate,STARLINK-11263 [DTC] - Z-Coordinate,STARLINK-31355 - Z-Coordinate,STARLINK-30984 - Z-Coordinate,STARLINK-4322 - Z-Coordinate,STARLINK-1612 - Z-Coordinate,STARLINK-2363 - Z-Coordinate,STARLINK-5455 - Z-Coordinate,STARLINK-31579 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,2160.5013,-5391.6684,3148.8377,4145.3881,-5859.0682,-4996.3299,-43.0625,-4235.2088,846.7033,4896.1252,3637.5074,7430.8970,2983.5394,3147.7808,2570.5696,3145.0663,11499.3969,6789.5572,-268123402.5946,-268138451.2000,-268128472.8029,-268133960.8227,7250.1153,-268135304.5047,6060.2484,4309.6162,4116.1727,-2696.3874,3608.2626,-2542.6223,5481.7634,-4723.5545,5645.7196,-485.5795,-356828.0730,-354529.3257,-360888.1974,-353925.8779,-361777.6571,-357727.5716,-359049.0680,-355656.1559,130176484.3793,130179438.9004,130176317.5942,130155388.4840,-357037.7253,130164004.4128,-2288.0931,487.6788,-4311.8367,-4738.3757,-884.1013,-4105.2885,-4265.6129,-2802.8036,-3978.7616,4762.6480,-164221.8737,-163317.8899,-165766.4864,-156875.1292,-160387.8555,-170973.7930,-169305.9615,-162581.5307,-12920466.0321,-12927533.3475,-12939881.7302,-12933026.0219,-163598.7059,-12931419.3671,
300.000,3455.1848,-4273.1022,3771.2307,3723.7300,-4622.9959,-5648.8000,1518.2884,-4582.0659,1753.2920,3631.2304,11436.2018,15415.3586,10397.3703,10713.4203,10069.9590,10588.6249,18987.0787,14293.4664,-270899656.3544,-270914902.3174,-270905053.3715,-270909585.4895,14766.0000,-270911532.2275,5864.7443,4954.3387,2170.7829,-4501.6905,4618.0803,-3449.9937,6126.4465,-3087.3174,6394.9370,-2161.1821,-356985.4638,-354139.8518,-360517.6432,-353637.9474,-361560.8886,-357496.3046,-358709.6051,-355747.4246,124290838.4424,124293683.8210,124291112.4817,124269864.9734,-356763.2383,124278436.8450,-524.2933,2246.3061,-5149.4291,-3572.5700,-2334.6420,-2112.0214,-2897.1822,-4193.7089,-2105.4388,5387.2461,-164319.0631,-163284.8506,-165796.9105,-157032.6830,-160280.3777,-170887.7096,-169573.0099,-162295.3278,-12914720.9470,-12921330.4654,-12933775.0441,-12927961.5214,-163664.1667,-12925790.9331,
600.000,4386.7896,-2715.1410,4049.4516,2960.5786,-2931.6152,-5672.5111,2903.6413,-4522.0294,2456.5507,2036.5359,19280.8554,23373.7815,17804.7944,18271.1345,17566.0479,18026.8652,26461.1461,21843.8761,-273546737.8511,-273562174.9549,-273552483.4797,-273556054.1880,22273.4737,-273558591.4460,5064.7510,5127.4365,-4.9564,-5836.9202,5202.3445,-4007.7133,6187.9766,-1130.1662,6506.5572,-3661.7237,-356968.5826,-353627.8542,-359988.0096,-353190.5318,-361183.8928,-357109.7869,-358212.2514,-355759.7256,118346019.0575,118348740.0405,118346713.6450,118325235.2500,-356330.6025,118333696.5590,1298.2668,3762.8709,-5389.9037,-2010.5138,-3535.9525,105.8410,-1220.3959,-5137.1570,-9.1175,5415.3787,-164408.7576,-163259.8826,-165823.1762,-157195.1179,-160176.3156,-170796.1052,-169833.8244,-162117.3909,-12908980.9256,-12915131.6551,-12927661.3407,-12922885.8421,-163729.5297,-12920162.5573,
900.000,4876.1492,-863.9150,3956.5393,1915.9028,-945.0642,-5081.4059,3991.9956,-4071.9521,2910.4957,276.4025,27172.8852,31299.5546,25202.5884,25817.6315,25055.1981,25456.7147,33918.5127,29437.0513,-276063386.7522,-276079008.0450,-276069501.8334,-276072111.4313,29769.2103,-276075221.8556,3731.3726,4826.6202,-2176.0608,-6567.4594,5316.2636,-4129.1351,5648.4821,957.7825,5957.8644,-4833.0865,-356768.6470,-352983.7039,-359299.5789,-352583.9297,-360646.8898,-356568.0785,-357557.5902,-355656.3255,112344860.7770,112347442.5434,112345954.3414,112324329.8844,-355740.0519,112332617.9441,2975.1286,4874.1064,-5005.5699,-225.0815,-4360.2700,2312.3992,586.4640,-5533.1574,2088.1273,4844.0131,-164488.5590,-163242.8113,-165845.3580,-157362.5327,-160075.6740,-170698.9121,-170088.4962,-162068.1272,-12903246.0182,-12908937.4108,-12921540.9206,-12917796.9648,-163794.7950,-12914534.2395,
1200.000,4889.3156,1102.3167,3497.5356,676.6923,1146.8396,-3957.7759,4693.1264,-3280.9258,3094.9751,-1472.8048,35112.8705,39188.6093,32587.5341,33349.6347,32533.7939,32875.1107,41356.0940,37063.0279,-278448404.9191,-278464202.7445,-278454909.2562,-278456563.3787,37249.8897,-278460225.3383,1993.1491,4093.3332,-4108.4575,-6622.1536,4957.1377,-3776.1963,4549.5374,2971.5820,4794.8798,-5549.7049,-356373.4767,-352199.5350,-358452.7001,-351818.5160,-359950.1683,-355871.2929,-356746.2502,-355396.6660,106290224.9772,106292653.1921,106291694.6928,106270006.0727,-354991.8904,106278062.2127,4318.1716,5460.6443,-4040.5664,1585.3644,-4720.1880,4272.6099,2330.7178,-5339.7961,3963.6214,3736.2485,-164555.3492,-163233.0602,-165863.5378,-157535.0311,-159978.4540,-170596.0598,-170337.1140,-162157.3738,-12897516.2731,-12902748.2122,-12915414.1071,-12912693.2016,-163859.9623,-12908905.9800,
1500.000,4439.0644,2990.5920,2709.7116,-649.7415,3142.7330,-2441.1026,4954.9717,-2224.8538,3015.0238,-3040.3603,43098.7606,47038.2700,39956.4200,40863.8846,39998.2419,40279.0033,48770.8100,44706.0800,-280700656.9776,-280716623.0082,-280707569.2617,-280708278.4343,44712.1992,-280712466.5335,23.3507,3007.0077,-5593.9400,-6000.7300,4163.4053,-2966.2082,2989.4114,4711.3083,3128.5973,-5728.2635,-355766.6268,-351269.3566,-357447.7888,-350894.7426,-359094.0859,-355019.5965,-355778.9069,-354940.3201,100184998.4935,100187259.3581,100186820.3271,100165146.3474,-354086.4916,100172916.0353,5176.9839,5459.6417,-2606.1367,3219.2938,-4577.6020,5777.9200,3826.1917,-4577.4123,5418.2657,2214.5591,-164605.2878,-163229.9089,-165877.8051,-157712.7227,-159884.6534,-170487.4749,-170579.7639,-162383.2731,-12891791.7363,-12896564.5221,-12909281.2465,-12907573.1583,-163925.0317,-12903277.7785,
1800.000,3581.6048,4612.2509,1660.3656,-1944.8116,4848.8655,-710.3982,4766.9765,-999.3696,2697.6528,-4277.9358,51122.7876,54846.5164,47306.0417,48357.1419,47444.9713,47665.3564,56159.5870,52345.9489,-282819070.8579,-282835196.1318,-282826408.5950,-282826187.8194,52152.8355,-282830873.3780,-1977.6787,1676.2272,-6472.8189,-4773.2561,3010.4218,-1771.8205,1114.1368,6001.6945,1123.8960,-5337.7573,-354927.4328,-350188.8040,-356285.3266,-349813.1388,-358079.0700,-354013.2065,-354656.2838,-354250.9912,94032092.2437,94034172.5428,94034241.0066,94012657.2621,-353024.2988,94020090.1646,5455.6183,4871.2821,-868.4013,4494.8795,-3947.5556,6668.6202,4913.4320,-3326.6277,6297.9035,447.4573,-164634.1680,-163232.6284,-165888.2565,-157895.7227,-159794.2680,-170373.0814,-170816.5293,-162732.4231,-12886072.4512,-12890386.7841,-12903142.7083,-12902435.6968,-163990.0032,-12897649.6352,
2100.000,2409.3418,5801.8220,441.9337,-3089.1202,6097.7226,1037.2832,4159.2502,288.4219,2186.8231,-5073.8166,59167.5650,62611.5637,54633.2039,55826.1895,54870.4345,55031.1502,63519.3593,59959.6591,-284802638.3056,-284818913.2648,-284810417.7456,-284809286.1170,59568.5058,-284814437.6166,-3803.0654,227.8374,-6651.7889,-3071.7833,1603.4715,-314.2838,-896.5412,6709.9569,-1017.3242,-4404.4559,-353833.5995,-348954.8089,-354965.8618,-348574.3116,-356905.6174,-352852.3906,-353379.1539,-353299.9792,87834439.8403,87836326.9849,87836889.2459,87815468.0513,-351805.8246,87822518.0477,5123.0289,3758.7239,970.5295,5270.4552,-2896.7463,6850.4357,5476.7759,-1720.2950,6509.4625,-1369.2379,-164638.4535,-163240.5428,-165894.9958,-158084.1523,-159707.2916,-170252.8005,-171047.4904,-163181.2864,-12880358.4592,-12884215.4216,-12896998.8858,-12897279.9017,-164054.8766,-12892021.5501,
2400.000,1040.7886,6434.1460,-835.5423,-3973.2827,6764.5830,2609.3595,3198.0131,1528.9146,1537.5357,-5362.9637,67204.0269,70331.6443,61934.7211,63267.8350,62271.1071,62373.3830,70847.0713,67523.6450,-286650415.3609,-286666829.8920,-286658651.4296,-286656631.7850,66955.9291,-286662215.2820,-5260.7935,-1205.0367,-6114.5321,-1075.5272,68.5161,1249.0541,-2846.6809,6760.0411,-3076.7448,-3010.7690,-352467.6743,-347565.3013,-353490.0081,-347178.9463,-355574.2951,-351537.4646,-351948.3404,-352068.6539,81594996.1915,81596678.2582,81597718.9187,81576529.2690,-350431.6506,81583154.4276,4216.3808,2241.5167,2696.2166,5460.1204,-1536.7704,6304.0319,5456.4573,70.1938,6030.4646,-3034.4445,-164616.9878,-163253.0509,-165898.1336,-158278.1394,-159623.7166,-170126.5513,-171272.7248,-163698.6132,-12874649.7990,-12878050.8358,-12890850.1957,-12892105.0486,-164119.6520,-12886393.5232,
