sl_10_86400_20241025 Coordinates.csv
2024/10/25 07:47:00.0000 UTC

Generated: Tue Oct  8 16:56:33 2024,
Start: 2024/10/25 07:47:00.00, Stop: 2024/10/26 07:47:00.00,
TIME_UNITS,STARLINK-6320 - X-Coordinate,STARLINK-31137 - X-Coordinate,STARLINK-31729 - X-Coordinate,STARLINK-30968 - X-Coordinate,STARLINK-6358 - X-Coordinate,STARLINK-32021 - X-Coordinate,STARLINK-4730 - X-Coordinate,STARLINK-4099 - X-Coordinate,STARLINK-11194 [DTC] - X-Coordinate,STARLINK-1624 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6320 - Y-Coordinate,STARLINK-31137 - Y-Coordinate,STARLINK-31729 - Y-Coordinate,STARLINK-30968 - Y-Coordinate,STARLINK-6358 - Y-Coordinate,STARLINK-32021 - Y-Coordinate,STARLINK-4730 - Y-Coordinate,STARLINK-4099 - Y-Coordinate,STARLINK-11194 [DTC] - Y-Coordinate,STARLINK-1624 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6320 - Z-Coordinate,STARLINK-31137 - Z-Coordinate,STARLINK-31729 - Z-Coordinate,STARLINK-30968 - Z-Coordinate,STARLINK-6358 - Z-Coordinate,STARLINK-32021 - Z-Coordinate,STARLINK-4730 - Z-Coordinate,STARLINK-4099 - Z-Coordinate,STARLINK-11194 [DTC] - Z-Coordinate,STARLINK-1624 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-1321.7402,5598.3458,-6171.5328,-6521.7181,3905.7032,3429.3085,-1968.0383,-2730.4292,-4121.2775,-2622.3410,-354401.8002,-360899.2045,-355213.4832,-356324.8222,-355491.8472,-356062.4505,-364494.0318,-359482.7126,-125030948.2171,-125037816.0837,-125024397.5571,-125037556.8193,-360353.9223,-125033539.5614,-6611.8634,-2622.4620,2557.7230,-367.1878,-3738.3238,-2769.6999,4918.7864,3778.3623,1374.8898,5078.6356,-96077.4254,-73607.1041,-83310.2382,-89492.6577,-81410.3545,-85237.0423,-84079.7812,-87537.5251,-79312356.2962,-79298453.2779,-79314836.4900,-79322218.8242,-86044.8847,-79331929.6549,-1638.0422,-2994.2363,1367.4246,-2342.2656,-4353.0802,-5214.8947,-4454.1148,-5117.7080,5128.3747,-3909.3009,141112.5132,138851.5656,137966.8695,146271.1041,143583.5048,132898.1636,133798.0780,140290.8206,59974219.4472,59952090.7098,59990763.5552,59974113.8095,139923.0578,59979468.1741,
3600.000,3360.4752,-4547.1498,4354.7167,4557.0639,-2026.5437,824.2809,-2133.9664,1004.2558,548.8177,-1311.8499,-319953.1219,-329775.6620,-321907.7237,-324415.4052,-323012.9023,-323029.0982,-331220.8856,-329053.9201,-100168130.2636,-100181327.1820,-100166440.6621,-100178209.3393,-327790.9275,-100169957.7556,5716.5625,5085.0030,-4553.2817,-2528.9303,6408.8109,5024.7666,-3672.2712,-6552.2012,-5225.0562,-3947.4601,-179841.5160,-163555.0359,-172587.0107,-177573.0574,-168866.4060,-172482.6494,-172635.3108,-172796.7115,-108981400.7665,-108971209.0055,-108978243.3304,-108995818.3139,-173968.8961,-109000157.9290,-2042.8105,-780.7321,2606.6564,4568.0223,1704.3759,4534.6717,5451.6353,1969.8535,-4210.7468,5523.1557,139475.3334,137692.5711,137733.0722,143570.9464,144199.9999,134145.8492,130823.2277,138248.3405,59949346.2796,59928622.7162,59965215.3256,59948004.2101,138831.8825,59957233.5921,
7200.000,-4622.9574,1344.7831,-117.9816,-1663.3179,-149.0705,-3690.8801,5703.4844,545.0340,2143.2361,5156.2159,-266743.2485,-276409.1256,-267975.0367,-271793.1662,-269724.9521,-269911.1064,-276515.8688,-272733.0025,-68473032.9510,-68490965.7145,-68478425.3746,-68482203.9368,-274117.1942,-68474596.9273,-2582.1529,-5413.5478,5005.2598,5375.4535,-6653.2291,-5721.0272,2429.1172,6471.3359,6361.6958,2709.0266,-252384.1145,-242967.1922,-251034.5890,-254698.1555,-245744.6220,-249111.3786,-249910.6754,-251658.1521,-131185920.7671,-131180653.0572,-131179810.9083,-131206493.9372,-251047.4584,-131203658.6460,4470.2448,3992.4917,-4639.9802,-4063.6459,1948.5234,-496.8790,-3080.1597,2379.9369,-456.8504,-3747.1764,137785.3056,136584.2045,137781.9816,139910.0835,144305.6858,136298.3681,128584.5605,138659.0874,59924987.3173,59905368.9147,59939329.4244,59924142.6188,137728.9354,59935002.4160,
10800.000,5314.1665,2946.5227,-4275.6536,-1006.3677,2774.9839,4435.3171,-6730.0560,-2589.5595,-3546.1109,-6768.7888,-198687.5461,-203936.1330,-196826.3129,-202790.8629,-198751.9107,-201251.0163,-204086.8692,-204126.3340,-32115263.5218,-32136130.5692,-32128559.4479,-32119537.3150,-202696.1711,-32117098.7608,-1443.0098,4316.8719,-4260.9243,-6773.9321,4546.8398,3384.2741,-1027.6903,-3661.1312,-3250.4157,-1399.5214,-310067.4034,-306704.0171,-313663.2037,-314586.7033,-307054.8364,-311805.6361,-310817.9858,-312134.9004,-144412361.9734,-144412708.9372,-144406630.4985,-144437148.6731,-312300.8127,-144429151.6688,-4225.3315,-4458.6337,3166.3066,1096.4074,-4450.1165,-3935.6500,-1233.3485,-5272.8619,4695.5119,-368.4473,136093.3661,135594.1977,137805.0115,135316.2739,143913.9132,138755.7096,127010.7515,135518.3955,59901280.3802,59882358.8637,59913281.9521,59902695.5380,136614.3251,59912774.6657,
14400.000,-5013.1114,-6141.6010,6385.2738,3004.3624,-5303.9779,-3957.8711,4884.0407,4909.8343,4260.6083,5439.5785,-119966.1785,-116649.7360,-112920.1726,-120883.1688,-114454.3246,-120305.9735,-118735.8662,-116945.9413,6418003.2012,6396073.6098,6397489.5339,6420093.4333,-118042.4280,6415467.6808,4576.5839,-2462.8345,2304.8689,5723.1350,-1337.1847,1231.8963,-1162.5840,-53.6273,-2030.5956,-606.2645,-352955.2824,-351410.7960,-356475.0706,-351648.3962,-348766.4912,-356656.2895,-351455.6957,-353447.2541,-147761533.0357,-147767621.0602,-147759512.2124,-147786070.7444,-353744.7611,-147777700.9475,1417.7400,1819.6455,669.7171,2509.4478,4255.2686,5412.2883,4751.9893,4863.8677,-4801.9021,4229.6277,135069.4768,134995.4133,137497.3862,134374.1421,143018.1369,135812.1293,126073.4104,136867.7670,59878321.2838,59859627.4479,59887218.8597,59883725.1563,135488.1607,59890550.3613,
18000.000,3148.6336,6546.8274,-5424.1180,-4541.7285,6590.4539,3109.6101,-1641.5950,-6182.4903,-3757.9971,-2356.9447,-25697.4722,-23932.9110,-21503.8218,-29472.7718,-22126.6538,-28151.5182,-26030.2811,-26381.0490,44492182.3464,44470972.8080,44466490.5855,44497722.0886,-25536.7189,44488735.7688,-5764.4162,26.9637,989.1518,-2481.6949,-1551.4090,-5354.2328,4091.8477,2752.1802,5543.2921,3487.3840,-377416.5377,-375853.1468,-376678.3057,-368418.0242,-368088.0127,-376808.6433,-369318.1440,-373218.5096,-141009773.2431,-141021148.7681,-141014175.8360,-141029128.1895,-372650.4109,-141025815.2759,2221.5628,2059.1613,-4023.2003,-4625.1654,-1518.3552,-2878.6542,-5337.2778,-1449.6797,636.3847,-5500.2632,135443.9084,135065.1829,136639.8489,135791.0487,141586.0190,130981.1944,125780.3473,132868.5109,59856157.6348,59837216.3277,59861266.0269,59866993.3908,134350.5517,59868329.5228,
21600.000,289.0188,-4219.9230,2515.4140,5516.0729,-5566.5988,-1477.9223,-1147.5743,4944.2905,979.6551,-597.4069,73370.9761,69365.5658,71671.0624,64260.4234,72346.5343,66968.7314,68089.2151,69201.1767,79505440.8050,79486465.0153,79477578.5057,79506277.9522,68915.8150,79501145.9230,5238.3466,2973.9997,-4620.3989,-1440.3710,3537.5894,6409.4177,-6310.5988,-3881.6974,-5261.9982,-6020.1595,-373663.4342,-374268.5223,-372854.0143,-362882.2589,-363680.5485,-371872.8802,-363436.2852,-367103.7558,-124623906.7646,-124639564.3490,-124636321.1088,-124636960.9118,-367724.4560,-124640358.1096,-4544.4489,-4532.2814,4331.4745,3942.1528,-2156.0403,-1824.3708,2582.9299,-2893.8585,4068.9113,3354.0515,135300.3603,134438.9267,135157.4512,136862.6422,139549.1122,127076.0752,126177.2113,134866.1391,59834785.7495,59815175.8210,59835537.1684,59850642.8391,133201.6082,59846112.1702,
25200.000,-4093.9532,711.6672,607.5782,-5334.4926,2348.3396,-1474.7402,2714.4519,-1262.1411,3465.0984,2394.6745,167872.9932,159900.8378,160668.1694,154139.7238,162852.4304,157943.8603,157755.5594,159278.4181,109066535.0515,109050851.2848,109039918.4954,109056655.0489,159262.6044,109061711.7461,-3787.6239,-5632.7405,6650.9474,4343.0586,-4708.8941,-4226.6526,6116.0829,4112.2240,2516.9006,6439.8168,-343432.6510,-348233.1659,-345075.7473,-334441.9259,-335807.0673,-342633.4909,-334442.6572,-339762.2746,-99728977.5992,-99747451.7932,-99749559.4921,-99743711.7684,-339198.0470,-99746272.2199,4113.5500,3849.3873,-1401.1866,-905.6678,4509.4128,5142.7144,1755.0711,5409.2650,-5195.4098,842.1189,134840.1764,133500.4345,133139.6686,137409.9552,136779.7604,124032.4351,127356.1078,130347.2336,59814150.8937,59793567.3221,59810140.1647,59829110.4882,132041.4411,59823898.3237,
28800.000,6537.1144,2289.7822,-3082.8236,3299.5043,1686.4806,4928.4519,-3623.8567,-3066.1446,-6498.4239,-3411.5526,251075.2089,241673.2156,239729.3405,234370.1925,243332.3779,238565.1643,237737.4640,239283.3807,131158159.2734,131146205.2805,131135968.5999,131144860.8307,239691.7089,131153300.7649,1976.5471,6452.7369,-5502.3417,-5476.4849,5288.0091,841.1490,-3085.0954,-4187.5502,328.3897,-3958.9697,-289489.9937,-299777.0647,-294960.1652,-284448.5749,-286478.6534,-291221.4293,-284620.7594,-288636.8570,-68030993.3888,-68050529.0092,-68058411.4295,-68054258.6581,-288818.1153,-68049350.0350,-1225.0031,-519.6685,-2605.0592,-2698.0166,-4167.7497,-4651.4179,-5026.1688,-4580.9043,1702.7018,-4543.6591,134186.0869,132423.8408,130816.4512,137447.1182,133050.3490,121725.6133,129440.5102,132624.9140,59794150.8285,59772466.3041,59785182.3726,59801826.3040,130870.1614,59801688.0033,
