sl_20_5400_20240114 Coordinates.csv
2024/01/14 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:30 2024,
Start: 2024/01/14 07:47:00.00, Stop: 2024/01/14 09:17:00.00,
TIME_UNITS,STARLINK-5299 - X-Coordinate,STARLINK-30397 - X-Coordinate,STARLINK-1228 - X-Coordinate,STARLINK-1172 - X-Coordinate,STARLINK-31623 - X-Coordinate,STARLINK-3675 - X-Coordinate,STARLINK-2059 - X-Coordinate,STARLINK-2213 - X-Coordinate,STARLINK-11182 [DTC] - X-Coordinate,STARLINK-30555 - X-Coordinate,STARLINK-5870 - X-Coordinate,STARLINK-30256 - X-Coordinate,STARLINK-3279 - X-Coordinate,STARLINK-31268 - X-Coordinate,STARLINK-4298 - X-Coordinate,STARLINK-31074 - X-Coordinate,STARLINK-2429 - X-Coordinate,STARLINK-1981 - X-Coordinate,STARLINK-4739 - X-Coordinate,STARLINK-3557 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5299 - Y-Coordinate,STARLINK-30397 - Y-Coordinate,STARLINK-1228 - Y-Coordinate,STARLINK-1172 - Y-Coordinate,STARLINK-31623 - Y-Coordinate,STARLINK-3675 - Y-Coordinate,STARLINK-2059 - Y-Coordinate,STARLINK-2213 - Y-Coordinate,STARLINK-11182 [DTC] - Y-Coordinate,STARLINK-30555 - Y-Coordinate,STARLINK-5870 - Y-Coordinate,STARLINK-30256 - Y-Coordinate,STARLINK-3279 - Y-Coordinate,STARLINK-31268 - Y-Coordinate,STARLINK-4298 - Y-Coordinate,STARLINK-31074 - Y-Coordinate,STARLINK-2429 - Y-Coordinate,STARLINK-1981 - Y-Coordinate,STARLINK-4739 - Y-Coordinate,STARLINK-3557 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5299 - Z-Coordinate,STARLINK-30397 - Z-Coordinate,STARLINK-1228 - Z-Coordinate,STARLINK-1172 - Z-Coordinate,STARLINK-31623 - Z-Coordinate,STARLINK-3675 - Z-Coordinate,STARLINK-2059 - Z-Coordinate,STARLINK-2213 - Z-Coordinate,STARLINK-11182 [DTC] - Z-Coordinate,STARLINK-30555 - Z-Coordinate,STARLINK-5870 - Z-Coordinate,STARLINK-30256 - Z-Coordinate,STARLINK-3279 - Z-Coordinate,STARLINK-31268 - Z-Coordinate,STARLINK-4298 - Z-Coordinate,STARLINK-31074 - Z-Coordinate,STARLINK-2429 - Z-Coordinate,STARLINK-1981 - Z-Coordinate,STARLINK-4739 - Z-Coordinate,STARLINK-3557 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2012.5681,-3081.4888,3676.1414,-5717.3098,-1176.5472,-4199.7932,-3610.3840,1519.9170,-4634.2862,1326.5293,-5266.8720,543.8928,1178.4924,-5005.2854,4828.9175,4417.9729,-5052.6812,-1234.7107,-6333.1372,-2833.9522,110391.7291,81111.7012,93169.1152,100408.0969,92974.1984,96916.4701,93805.8159,97001.8200,-218246475.0381,-218264277.0592,-218270378.5696,-218253930.9569,96698.2070,-218249770.5400,2117.6408,5269.8681,1953.5500,-3333.8454,4035.5308,1843.0034,-5277.4285,-6602.0580,52.1760,5316.5520,-636.4468,6775.6530,-4758.2001,4210.8121,2190.8844,2530.1678,-4294.8741,-5267.3800,-2243.6395,-3031.6960,340383.7401,336546.3454,343089.3725,342040.5172,344065.2527,342627.9613,334811.8924,338756.7578,241686234.8064,241674020.1945,241677682.1370,241674159.3469,338593.2025,241670088.7689,6297.8335,3289.2425,5530.4247,2101.1180,5403.8201,-5190.3775,-2685.1722,-1463.9112,-4895.7312,-4259.0332,-4477.0115,1394.1747,-4892.1321,-1594.7145,-4453.6192,-4738.0995,2000.3450,-4340.0057,1646.4191,-5546.1797,-85286.6391,-88200.9610,-89756.2248,-80588.6373,-84567.6592,-95069.0027,-92964.7420,-85751.8758,-144409580.1963,-144428201.4878,-144411576.5682,-144393090.8826,-87506.9930,-144397504.3647,
300.000,169.2477,-1753.5201,4555.8596,-5629.7206,1012.7426,-3886.2039,-4169.4113,334.3485,-3584.9791,2602.3100,-4863.4379,2021.7130,-390.7400,-4007.0541,6087.3101,5233.5476,-5246.6374,-2558.9888,-6039.2960,-4266.6729,103094.0770,74109.7041,86141.0807,93277.3464,85781.2272,89758.1740,86740.0171,89370.7874,-223467931.6740,-223485565.2111,-223491935.9964,-223476186.0608,89563.2672,-223471302.1224,2405.8422,6400.0871,-11.9801,-1798.2882,4086.3192,3799.3714,-3725.9082,-6912.6914,1934.4892,3817.4834,1462.2414,6026.9984,-5784.1893,5411.0595,985.4843,549.8926,-2783.8954,-3785.0404,-814.8215,-1420.2290,342750.4105,338298.2003,345178.0109,343982.2450,346092.8113,344706.4840,336814.9002,340826.3241,236864464.9456,236851919.5004,236855273.8655,236852026.3608,340588.3938,236848294.9917,6510.0321,2018.7696,5212.6768,3641.0117,5399.0428,-4292.6023,-4104.0590,337.9751,-5371.3261,-5179.3519,-4733.1371,2775.9608,-3786.8485,-53.5685,-3148.1161,-4547.5942,3558.9583,-5218.7984,3268.5014,-5268.4460,-85195.9277,-88081.0307,-89601.5185,-80542.6923,-84257.7696,-94792.7898,-93043.0113,-85623.0194,-144408189.6150,-144426834.3950,-144410488.6233,-144392222.6093,-87375.9552,-144396166.5854,
600.000,2324.0943,-275.3193,5036.0329,-5018.2481,3096.2129,-3236.1999,-4362.7255,-888.1979,-2201.5026,3676.5029,-4035.3169,3330.4633,-1885.4036,-2582.3287,6750.5370,5586.5533,-4954.0011,-3684.9282,-5164.0434,-5318.6274,95743.3386,67071.4129,79072.6587,86106.8255,78548.1125,82555.0119,79634.3015,81711.1228,-228582889.9768,-228600346.2583,-228606972.5743,-228591879.6174,82387.1097,-228586334.3335,2535.5381,6912.2263,-1946.4718,-57.1792,3781.1985,5372.3511,-1795.8968,-6539.4333,3647.2730,1966.5182,3433.4203,4699.8946,-6260.8830,6034.4997,-282.9331,-1462.5757,-974.0020,-1955.7073,726.7990,287.7521,344960.0256,339904.7957,347114.4496,345773.0086,347964.0680,346632.5482,338672.9646,342705.6983,231929908.0126,231917040.2522,231920075.9993,231917037.2444,342433.2324,231913710.4587,6031.7517,532.4685,4336.2710,4793.0296,4796.3956,-2934.7504,-5084.9540,2103.5703,-5224.1728,-5548.6851,-4485.7772,3861.1763,-2275.2955,1493.8488,-1504.5459,-3875.8803,4735.5708,-5541.4094,4538.3156,-4426.9763,-85105.5108,-87960.9535,-89442.5093,-80501.6169,-83951.2503,-94511.1550,-93114.9698,-85630.3716,-144406793.2921,-144425463.9936,-144409397.2577,-144391392.9829,-87244.8518,-144394828.5010,
900.000,4232.2728,1224.3337,5059.9042,-3953.3033,4859.6362,-2298.1725,-4182.9163,-2046.5075,-631.6166,4447.1896,-2860.1037,4353.7904,-3171.1846,-870.3515,6746.9925,5436.6542,-4215.5405,-4504.7196,-3803.1718,-5877.8998,88342.8744,59999.8542,71966.9470,78899.6393,71278.1038,75310.2528,72491.4116,74065.8342,-233588914.2712,-233606184.7903,-233613052.5299,-233598567.3172,75172.9030,-233592431.3398,2486.9852,6755.8935,-3662.6840,1726.6735,3144.2516,6407.1188,323.9319,-5521.1617,5004.4894,-51.7091,5085.6230,2925.2504,-6130.0590,6023.8671,-1506.6463,-3316.7493,962.2381,37.9280,2239.6109,1929.8038,347011.3212,341365.4104,348897.7400,347411.9505,349678.5014,348405.0236,340385.0689,344392.5001,226884915.6044,226871734.3070,226874440.9590,226871550.6120,344126.8657,226868686.8149,4913.5002,-1010.7574,2994.9677,5434.7261,3662.4176,-1261.7974,-5523.9091,3643.3548,-4471.1113,-5328.0665,-3761.1095,4533.9341,-519.2104,2866.1461,300.8561,-2793.7111,5404.1499,-5273.7261,5319.2510,-3111.1650,-85015.3907,-87840.7266,-89279.2504,-80465.5071,-83648.1168,-94224.0336,-93180.7108,-85764.8507,-144405391.2540,-144424090.2428,-144408302.4116,-144390596.7162,-87113.6829,-144393490.1116,
1200.000,5700.3759,2615.3169,4611.6580,-2545.8233,6122.0917,-1145.9892,-3653.0394,-3043.1186,962.7970,4835.7710,-1444.1922,4998.9883,-4136.8905,957.1182,6071.9796,4788.1930,-3111.5496,-4934.2843,-2098.0803,-5877.6196,80896.0759,52898.0692,64827.0641,71658.9029,63974.4668,68027.1982,65314.1353,66474.5096,-238483620.7938,-238500697.3168,-238507792.0316,-238493858.3558,67923.8331,-238487209.2219,2250.0558,5946.3743,-4998.0951,3382.1611,2227.3993,6803.1876,2425.0327,-3961.5999,5853.6241,-2039.0751,6256.6041,876.8490,-5393.1361,5388.5806,-2583.9989,-4839.1120,2836.3380,2000.1747,3580.0561,3353.8360,348903.1032,342679.3866,350527.0002,348898.2735,351235.6384,350022.8395,341950.2625,345889.3533,221731891.9026,221718406.1006,221720773.7548,221717978.7168,345668.5078,221715628.2970,3273.5018,-2446.0781,1332.4690,5498.0619,2122.5071,546.8372,-5374.5020,4792.1370,-3198.8193,-4540.7174,-2635.8732,4722.4381,1292.7324,3902.1574,2073.8171,-1415.3403,5493.2408,-4443.9713,5527.4794,-1461.4105,-84925.5696,-87720.3471,-89111.8031,-80434.4641,-83348.3796,-93931.3582,-93240.3256,-86006.6417,-144403983.5296,-144422713.1013,-144407204.0252,-144389828.0369,-86982.4486,-144392151.4171,
1500.000,6581.3024,3777.3367,3719.7486,-935.4213,6754.9874,126.1512,-2823.6368,-3792.2322,2422.0657,4794.9761,86.4745,5205.2214,-4704.0893,2712.5961,4789.0571,3691.2255,-1752.8579,-4921.9048,-220.7117,-5304.4016,73406.3637,45769.1120,57656.1481,64387.7391,56640.4813,60709.1806,58105.3022,58969.6803,-243264678.8277,-243281553.4032,-243288860.3242,-243275416.7266,60643.1025,-243268337.1095,1827.0635,4562.9211,-5830.5943,4746.3204,1106.7475,6524.7910,4299.2569,-2018.2302,6093.0795,-3803.1114,6829.4192,-1245.9217,-4112.7042,4202.7042,-3427.5983,-5889.4505,4462.3384,3741.2416,4616.1938,4432.2062,350634.2473,343846.1307,352001.4153,350231.2401,352635.0567,351484.9853,343367.6607,347203.4987,216473292.5285,216459511.5013,216461530.8394,216458785.9992,347057.4397,216456990.5878,1285.6224,-3620.5588,-472.9288,4976.3973,347.2636,2296.5640,-4652.4455,5426.9029,-1554.3979,-3269.7788,-1229.5551,4406.5375,2965.3761,4479.6475,3623.2440,113.2655,4993.3802,-3139.9434,5140.7165,345.4567,-84836.0500,-87599.8121,-88940.2364,-80408.5945,-83052.0448,-93633.0584,-93293.9032,-86326.5700,-144402570.1500,-144421332.5269,-144406102.0383,-144389080.9109,-86851.1490,-144390812.4176,
1800.000,6789.6797,4610.0490,2455.8989,723.5421,6695.6956,1411.0284,-1768.0738,-4226.7718,3604.5919,4314.7709,1597.2601,4949.2241,-4833.2466,4211.6857,3023.9249,2238.3115,-269.6259,-4454.6438,1643.9091,-4201.6542,65877.1868,38616.0488,50457.3552,57089.2766,49279.4394,53359.5634,50867.7803,51573.7676,-247929811.8128,-247946476.7798,-247953980.8392,-247940962.3798,53333.9284,-247933538.2918,1235.0286,2740.5124,-6089.8616,5680.4137,-123.2051,5604.3814,5759.2008,114.1316,5684.9741,-5175.5366,6744.5465,-3237.5800,-2407.4136,2596.4106,-3971.0561,-6374.0331,5675.3076,5095.4947,5240.6666,5073.3255,352203.7005,344865.1134,353320.2383,351410.1722,353876.3869,352790.5096,344636.4448,348345.8101,211111623.3726,211097556.6396,211099218.9369,211096487.5931,348293.0103,211095279.6459,-838.9321,-4409.4774,-2227.6886,3925.1397,-1466.4943,3798.9132,-3434.0673,5479.8325,271.1387,-1650.0134,308.0333,3619.8485,4318.4952,4529.6057,4782.1961,1629.8127,3958.0482,-1500.2249,4200.5044,2115.1012,-84746.8341,-87479.1185,-88764.6271,-80388.0103,-82759.1150,-93329.0612,-93341.5302,-86688.5811,-144401151.1489,-144419948.4769,-144404996.3909,-144388349.2636,-86719.7842,-144389473.1130,
2100.000,6310.6273,5041.2745,929.5719,2276.7304,5953.9535,2597.2339,-576.4886,-4304.1516,4400.6859,3425.3159,2956.4833,4248.0281,-4525.7716,5292.2115,951.6189,557.0434,1201.0558,-3561.6265,3315.9315,-2666.8925,58312.0205,31441.9560,43233.8583,49766.6478,41894.6438,45981.7399,43604.4729,44297.0996,-252476798.4292,-252493246.4256,-252500932.2787,-252488272.2552,45999.5415,-252480591.3013,506.7600,656.2347,-5763.0896,6084.2607,-1357.1687,4138.7114,6657.0246,2223.1404,4661.3252,-6028.5718,6006.5513,-4906.5421,-440.7007,741.9967,-4173.6813,-6254.1600,6348.2918,5937.4808,5381.9877,5229.4485,353610.4812,345735.8698,354482.7904,352434.4507,354959.3135,353938.5203,345755.8624,349329.3281,205649439.4005,205635096.7137,205636393.8479,205633647.8204,349374.6359,205633050.5117,-2874.3984,-4729.3422,-3744.1332,2456.0196,-3117.9059,4892.1930,-1848.7127,4945.3256,2065.0151,146.0602,1812.6752,2446.2751,5206.4832,4044.6335,5426.0139,2973.0543,2498.1100,300.1373,2807.8862,3656.9072,-84657.9243,-87358.2630,-88585.0596,-80372.8299,-82469.5903,-93019.2908,-93383.2901,-87053.0593,-144399726.5623,-144418560.9075,-144403887.0224,-144387627.1785,-86588.3544,-144388133.5034,
2400.000,5200.5481,5032.7953,-721.5657,3584.2209,4610.1529,3578.6531,651.3936,-4010.4352,4742.7258,2196.1947,4046.8042,3158.3457,-3822.0413,5831.9682,-1221.3185,-1201.0998,2527.7709,-2313.3591,4638.1580,-843.0925,50714.3654,24249.9193,35988.8460,42422.9864,34489.4063,38579.1333,36318.3159,37137.3109,-256903473.6549,-256919697.6255,-256927549.6730,-256915181.2071,38643.1844,-256907330.9719,-309.6928,-1488.0824,-4894.5108,5907.3723,-2487.7839,2278.1317,6899.9529,4100.1473,3122.2308,-6287.2933,4684.2653,-6093.7946,1595.2667,-1164.2233,-4022.9070,-5549.1041,6406.0423,6193.9852,5013.0017,4899.7606,354853.6798,346457.9999,355488.4620,353303.5150,355883.5772,354928.1841,346725.2273,350167.5281,200089343.4355,200074734.7718,200075659.2311,200072878.6969,350301.8011,200072906.0893,-4604.9913,-4546.4011,-4860.6807,725.3872,-4424.6410,5458.9816,-65.4665,3880.5558,3617.8964,1926.4742,3123.4592,1011.1824,5533.9863,3080.4844,5485.5855,4000.1411,770.1248,2068.2848,1112.7569,4804.8821,-84569.3230,-87237.2425,-88401.6255,-80363.1778,-82183.4683,-92703.6686,-93419.2639,-87380.5364,-144398296.4287,-144417169.7745,-144402773.8723,-144386909.0616,-86456.8595,-144386793.5887,
