sl_20_5400_20240530 Coordinates.csv
2024/05/30 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:30 2024,
Start: 2024/05/30 07:47:00.00, Stop: 2024/05/30 09:17:00.00,
TIME_UNITS,STARLINK-31808 - X-Coordinate,STARLINK-30116 - X-Coordinate,STARLINK-30239 - X-Coordinate,STARLINK-5666 - X-Coordinate,STARLINK-3252 - X-Coordinate,STARLINK-11259 [DTC] - X-Coordinate,STARLINK-1978 - X-Coordinate,STARLINK-1066 - X-Coordinate,STARLINK-2000 - X-Coordinate,STARLINK-6202 - X-Coordinate,STARLINK-31646 - X-Coordinate,STARLINK-3621 - X-Coordinate,STARLINK-5593 - X-Coordinate,STARLINK-11139 [DTC] - X-Coordinate,STARLINK-30478 - X-Coordinate,STARLINK-4162 - X-Coordinate,STARLINK-30399 - X-Coordinate,STARLINK-11249 [DTC] - X-Coordinate,STARLINK-30076 - X-Coordinate,STARLINK-5373 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31808 - Y-Coordinate,STARLINK-30116 - Y-Coordinate,STARLINK-30239 - Y-Coordinate,STARLINK-5666 - Y-Coordinate,STARLINK-3252 - Y-Coordinate,STARLINK-11259 [DTC] - Y-Coordinate,STARLINK-1978 - Y-Coordinate,STARLINK-1066 - Y-Coordinate,STARLINK-2000 - Y-Coordinate,STARLINK-6202 - Y-Coordinate,STARLINK-31646 - Y-Coordinate,STARLINK-3621 - Y-Coordinate,STARLINK-5593 - Y-Coordinate,STARLINK-11139 [DTC] - Y-Coordinate,STARLINK-30478 - Y-Coordinate,STARLINK-4162 - Y-Coordinate,STARLINK-30399 - Y-Coordinate,STARLINK-11249 [DTC] - Y-Coordinate,STARLINK-30076 - Y-Coordinate,STARLINK-5373 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31808 - Z-Coordinate,STARLINK-30116 - Z-Coordinate,STARLINK-30239 - Z-Coordinate,STARLINK-5666 - Z-Coordinate,STARLINK-3252 - Z-Coordinate,STARLINK-11259 [DTC] - Z-Coordinate,STARLINK-1978 - Z-Coordinate,STARLINK-1066 - Z-Coordinate,STARLINK-2000 - Z-Coordinate,STARLINK-6202 - Z-Coordinate,STARLINK-31646 - Z-Coordinate,STARLINK-3621 - Z-Coordinate,STARLINK-5593 - Z-Coordinate,STARLINK-11139 [DTC] - Z-Coordinate,STARLINK-30478 - Z-Coordinate,STARLINK-4162 - Z-Coordinate,STARLINK-30399 - Z-Coordinate,STARLINK-11249 [DTC] - Z-Coordinate,STARLINK-30076 - Z-Coordinate,STARLINK-5373 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4976.7561,1823.6114,4648.8366,5018.0959,3056.7378,-615.0693,-2805.5238,-612.4596,-4523.1011,-5949.3655,4822.3767,-5307.3965,1245.9065,-5493.8242,196.3574,-4344.8104,-374.5387,-2429.8974,4048.3053,5168.7083,-327249.9221,-310034.4007,-321736.6553,-325217.3787,-321366.2188,-323110.2826,-315422.9551,-318696.6087,-265434454.0923,-265419227.1939,-265456257.2736,-265455378.6858,-320054.2823,-265450549.1160,328.5113,-6689.0012,-2478.5578,-4754.4870,3571.7542,6327.0168,-3190.4854,4270.8448,3733.1502,-2626.3575,268.0016,2936.1045,3429.7919,545.2841,-6031.5198,4715.3206,-4574.0150,6281.3304,3403.8912,-1411.9807,-151942.0882,-178231.9098,-173740.8254,-167853.2972,-174777.3679,-171114.3856,-167557.0241,-169416.8340,77655432.3509,77617697.7496,77658219.0598,77649250.4664,-168233.4162,77649906.7286,4643.0126,-259.3724,4507.4662,603.8618,-5085.2562,2189.3717,-5476.5921,5406.2241,-3685.6432,-2419.0523,-4870.9234,3319.6505,5905.7389,-3869.0012,3416.7620,-2610.2557,5081.5519,226.7063,4480.1168,-4408.6579,-78886.2533,-84413.1291,-85657.3623,-76863.4415,-80225.3157,-90833.0284,-89307.7217,-83675.9991,37435003.2241,37406985.1595,37434833.8334,37429606.8852,-83520.2749,37423698.4338,
300.000,-4654.5270,313.0902,3129.7842,3647.7603,4832.7136,785.0098,-4485.3430,1383.4726,-4031.3937,-6755.8242,3866.8605,-3674.5087,2022.4886,-5938.5097,-1597.1051,-2722.6058,-2310.9644,-1138.5930,5484.6571,4850.6279,-324084.5137,-306371.4880,-318276.3258,-321586.5163,-317751.4308,-319548.1018,-311887.0273,-315091.9650,-267063831.3045,-267048081.0848,-267085888.0690,-267084393.6402,-316457.4741,-267080006.1214,2458.0378,-6810.8225,-3992.2136,-5521.1434,2792.4728,5544.2445,-1929.0509,4840.0129,5202.3097,-1236.6853,-1616.8528,3654.1494,1440.1268,2119.1505,-5209.8607,4911.4659,-4951.9645,6323.3980,1967.6058,-3391.5813,-158826.4769,-184717.1084,-180434.9413,-174538.0100,-181555.3480,-177913.1156,-174242.5409,-175976.4761,71840905.8862,71803932.3378,71843158.0190,71833960.1705,-174956.0974,71835397.9053,4327.8474,1276.7675,4725.9516,2083.4715,-4098.8508,3716.8627,-4919.3246,4745.5274,-2154.9937,-980.0818,-5430.5230,4573.9894,6481.6760,-2382.4233,4287.5349,-4050.5923,4128.6242,2023.5329,3756.1287,-3620.7595,-78753.6645,-84288.6523,-85484.4103,-76823.5293,-79920.1644,-90545.1387,-89372.5854,-84012.4354,37439376.7169,37411289.3695,37439690.6079,37434154.0085,-83386.0478,37428177.6983,
600.000,-3900.1394,-1239.7017,1337.4048,1912.6023,6133.0825,2140.7406,-5747.4570,3216.3017,-3162.5268,-6908.3763,2568.2386,-1672.9468,2675.6180,-5759.9933,-3267.5612,-809.0875,-3986.7105,297.5029,6404.9130,4097.9715,-320773.6275,-302574.4831,-314673.4459,-317814.6491,-313992.3730,-315840.4589,-308213.8812,-311454.1152,-268565862.2412,-268549608.4521,-268588145.4827,-268585992.8858,-312719.4179,-268582117.9701,4336.5667,-6276.4282,-5154.9823,-5769.9433,1783.1305,4176.0389,-527.3296,4976.4094,6146.3268,263.2516,-3374.2645,4060.6342,-670.0451,3442.1301,-3911.3633,4661.6851,-4863.9923,5692.5472,373.9669,-5035.2713,-165646.2028,-191125.8301,-187050.3258,-181144.4925,-188252.0422,-184635.5697,-180854.3325,-182387.0348,65992249.9637,65956045.8330,65993951.8604,65984569.8385,-181601.9145,65986755.9625,3525.9907,2676.3753,4439.7769,3340.4757,-2672.8925,4808.5451,-3836.4257,3574.8402,-392.9400,563.6271,-5392.2501,5335.3855,6369.6820,-618.5909,4700.3375,-5056.3808,2718.2204,3584.3302,2630.5139,-2446.6146,-78621.3426,-84163.9729,-85307.4039,-76788.5507,-79618.4853,-90251.7430,-89431.2892,-84303.0334,37443744.9787,37415594.0049,37444534.2756,37438647.5748,-83251.7612,37432656.7958,
900.000,-2782.4269,-2697.3948,-556.1247,-26.1869,6826.4314,3316.6091,-6460.3099,4709.7714,-1983.8071,-6392.3305,1058.9940,497.3264,3136.9910,-4964.1179,-4655.9550,1210.4427,-5237.7286,1739.8069,6714.8480,2971.8127,-317318.5511,-298645.0297,-310929.5469,-313903.3493,-310090.9478,-311988.8832,-304404.7735,-307779.0854,-269939833.4306,-269923095.9237,-269962315.3825,-269959467.5302,-308841.7554,-269956171.0312,5771.4369,-5141.4606,-5851.6562,-5487.1054,627.2004,2377.1340,887.1750,4654.2423,6478.6187,1743.1687,-4824.1486,4123.9672,-2685.1965,4387.7984,-2265.0205,4002.0671,-4304.5928,4465.2918,-1232.4706,-6185.9537,-172398.1702,-197455.3042,-193583.9941,-187669.8088,-194864.6368,-191278.4884,-187389.5818,-188667.8838,60112253.2668,60076826.3902,60113390.9290,60103878.1270,-188167.8989,60106769.5386,2327.4145,3789.8194,3679.4227,4240.6780,-959.8102,5336.7493,-2342.9717,2019.8001,1411.3408,2047.0388,-4760.2930,5521.9840,5581.5982,1217.3152,4611.2134,-5520.5476,1006.5114,4727.1425,1223.5333,-1011.1714,-78489.2862,-84039.0858,-85126.4244,-76758.6056,-79320.2802,-89952.7725,-89483.9237,-84517.5080,37448108.0596,37419899.0729,37449364.5854,37443085.5068,-83117.4153,37437135.7261,
1200.000,-1403.5226,-3929.1134,-2371.9565,-1985.4540,6841.9755,4190.3965,-6544.7446,5724.0742,-593.6523,-5258.7052,-512.7503,2619.2176,3349.2002,-3624.1924,-5626.7705,3137.6175,-5946.1670,3044.4047,6378.9391,1567.3103,-313720.6390,-294584.8300,-307046.2252,-309854.2403,-306049.1076,-307994.9718,-300461.0394,-304055.0604,-271185092.4606,-271167891.1729,-271207744.7954,-271204171.2895,-304826.1911,-271201512.7317,6615.6967,-3519.6052,-6008.6220,-4707.7794,-580.2133,346.4966,2189.7276,3889.9314,6174.5730,3074.0020,-5813.3849,3840.0330,-4402.4105,4871.6498,-430.1078,3003.4410,-3314.2662,2781.1687,-2708.5610,-6735.1434,-179079.3079,-203702.7955,-200032.9946,-194111.0584,-201390.3440,-197838.6309,-193845.4888,-194841.0681,54203719.3608,54169077.0469,54204280.4740,54194698.2692,-194651.1170,54198242.1608,866.8607,4498.1966,2525.9508,4688.1132,856.5144,5239.8337,-598.3582,247.5610,3063.6875,3311.4682,-3603.7092,5113.7184,4200.7623,2911.1638,4029.6640,-5393.8515,-816.7643,5318.9761,-314.3321,532.3691,-78357.4934,-83913.9854,-84941.5607,-76733.7988,-79025.5477,-89648.1560,-89530.5768,-84631.3443,37452466.0122,37424204.5811,37454181.3189,37447466.5868,-82983.0102,37441614.4894,
1500.000,110.1570,-4822.0821,-3941.4905,-3777.5021,6177.4053,4665.7217,-5983.4123,6169.2728,886.3471,-3618.9944,-1997.4148,4480.3119,3272.8940,-1874.4967,-6081.3073,4780.2104,-6051.6911,4076.3020,5424.6363,6.0798,-309981.3115,-290395.6440,-303025.1418,-305668.9942,-301868.8549,-303860.3893,-296384.0907,-300263.3091,-272301048.2887,-272283403.2282,-272323842.2162,-272319520.7054,-300674.4908,-272317551.8667,6783.6077,-1570.7959,-5601.9192,-3511.5256,-1739.7457,-1694.9270,3269.1874,2742.3535,5273.2274,4139.0530,-6232.0957,3232.3167,-5652.0652,4858.4598,1419.2298,1763.6640,-1977.2773,826.3005,-3925.3091,-6633.5856,-185686.5714,-209865.6048,-206394.4099,-200465.3778,-207826.4036,-204312.7755,-200219.2729,-200929.3298,48269465.3562,48235614.3873,48269439.3048,48259856.3845,-201048.6715,48263990.9083,-691.2811,4725.9703,1102.5087,4635.1462,2580.5545,4529.1294,1210.4670,-1551.3143,4386.2272,4221.7507,-2049.3279,4154.4031,2373.5361,4265.3161,3017.6603,-4689.7600,-2549.6521,5291.0711,-1818.6081,2018.9368,-78225.9630,-83788.6660,-84752.9090,-76714.2412,-78734.2839,-89337.8192,-89571.3337,-84627.1204,37456818.8909,37428510.5370,37458984.2897,37451790.5783,-82848.5459,37446093.0856,
1800.000,1619.3435,-5291.7731,-5122.1674,-5228.0740,4899.4141,4682.7208,-4823.9361,6013.2928,2322.0159,-1633.8064,-3257.9856,5894.2961,2892.9843,103.4855,-5967.9518,5971.0520,-5556.2838,4723.2553,3940.1709,-1574.1650,-306102.0545,-286079.2890,-298868.0220,-301349.3309,-297552.2422,-299586.8670,-292175.4140,-296379.4847,-273287171.5219,-273269102.7532,-273310077.8877,-273304995.2393,-296388.4813,-273303758.8798,6259.6603,514.8358,-4660.7975,-2014.0080,-2755.6191,-3528.2634,4037.3868,1308.7229,3872.1387,4844.0217,-6026.3628,2350.1916,-6315.1304,4363.9857,3110.4790,398.2299,-414.6334,-1187.4557,-4779.0483,-5895.8206,-192216.9438,-215941.0711,-212665.3587,-206729.9415,-214170.0862,-210697.7199,-206508.1754,-206954.2496,42312320.5657,42279267.1991,42311698.4406,42302189.7835,-207357.7029,42306845.0694,-2171.6738,4448.8759,-438.7786,4087.4169,4026.5332,3287.6587,2889.1876,-3183.7078,5236.7630,4680.7177,-268.3529,2747.1938,294.0205,5121.9981,1683.1815,-3483.1082,-4000.7524,4646.6443,-3128.6461,3289.4566,-78094.6932,-83663.1218,-84560.5724,-76700.0490,-78446.4828,-89021.6853,-89606.2768,-84495.4451,37461166.7527,37432816.9482,37463773.3430,37456058.2978,-82714.0226,37450571.5146,
2100.000,2984.6583,-5289.8345,-5810.5497,-6193.3378,3136.7271,4225.8046,-3175.0770,5283.5836,3578.7312,503.2077,-4182.6554,6720.0199,2222.8445,2100.2932,-5288.3096,6585.1523,-4522.1355,4908.0140,2066.0956,-3031.7186,-302084.4189,-281637.6385,-294576.6543,-296897.0151,-293101.3717,-295176.2027,-287836.5684,-292375.2628,-274142994.6684,-274124522.2986,-274165984.0496,-274160137.2508,-291970.0496,-274159666.1145,5099.8929,2535.5953,-3266.0864,-355.8107,-3543.2296,-4960.2999,4436.0808,-283.6130,2116.3330,5125.0917,-5205.6301,1265.3619,-6335.0389,3451.1934,4488.9248,-970.1148,1226.9699,-3045.4967,-5199.9505,-4598.1456,-198667.4374,-221926.5722,-218842.9968,-212901.9634,-220418.6948,-216990.2807,-212709.4612,-212934.5574,36335125.1544,36302875.1251,36333899.7546,36324545.3029,-213575.3906,36329644.7925,-3408.0348,3696.4350,-1933.2094,3103.2566,5038.7490,1660.7147,4257.3637,-4474.9749,5524.0096,4639.4423,1542.3059,1043.7032,-1816.7691,5381.6109,168.7957,-1902.5985,-5010.4804,3460.5403,-4104.9067,4208.0674,-77963.6828,-83537.3464,-84364.6613,-76691.3449,-78162.1367,-88699.6749,-89635.4856,-84235.5355,37465509.6565,37437123.8222,37468548.3542,37460271.6255,-82579.4404,37455049.7765,
2400.000,4079.3210,-4809.1781,-5951.2894,-6574.3727,1066.6055,3327.3518,-1196.2332,4062.5392,4533.9612,2584.3913,-4694.7399,6876.1362,1305.6063,3900.8397,-4098.2767,6553.3462,-3063.3455,4597.8043,-18.3930,-4233.5281,-297930.0201,-277072.6220,-290152.8906,-292313.8545,-288518.3953,-290630.2592,-283369.1841,-288220.2930,-274868112.3581,-274849256.5234,-274891155.1587,-274884551.8803,-287421.1419,-274884868.0358,3425.4300,4297.7575,-1543.3089,1310.6605,-4035.8029,-5844.2382,4440.7991,-1888.5547,182.9024,4954.5233,-3843.4057,66.5075,-5722.4950,2221.9812,5431.9422,-2222.0780,2788.9340,-4553.4317,-5157.1730,-2870.3493,-205035.0953,-227819.5258,-224924.5192,-218978.6986,-226569.5677,-223187.2936,-218820.4213,-218884.6578,30340728.7869,30309287.3096,30338894.6134,30329777.7029,-219698.9541,30335239.7317,-4261.9153,2548.8944,-3221.3313,1787.6153,5508.3760,-160.9810,5168.0917,-5287.5743,5217.1743,4102.3284,3182.0368,-772.3452,-3734.9548,5014.0239,-1363.6412,-117.5403,-5468.2950,1870.8076,-4643.7192,4676.6802,-77832.9302,-83411.3332,-84165.2924,-76688.2579,-77881.2368,-88371.7062,-89659.0364,-83855.4240,37469847.6635,37441431.1668,37473309.2288,37464433.4481,-82444.7993,37459527.8713,
