sl_20_5400_20240828 Coordinates.csv
2024/08/28 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:25 2024,
Start: 2024/08/28 07:47:00.00, Stop: 2024/08/28 09:17:00.00,
TIME_UNITS,STARLINK-5539 - X-Coordinate,STARLINK-11130 [DTC] - X-Coordinate,STARLINK-30799 - X-Coordinate,STARLINK-31282 - X-Coordinate,STARLINK-1894 - X-Coordinate,STARLINK-1475 - X-Coordinate,STARLINK-5685 - X-Coordinate,STARLINK-1681 - X-Coordinate,STARLINK-5776 - X-Coordinate,STARLINK-2672 - X-Coordinate,STARLINK-2332 - X-Coordinate,STARLINK-3054 - X-Coordinate,STARLINK-30384 - X-Coordinate,STARLINK-1714 - X-Coordinate,STARLINK-31220 - X-Coordinate,STARLINK-30564 - X-Coordinate,STARLINK-11117 [DTC] - X-Coordinate,STARLINK-5221 - X-Coordinate,STARLINK-30094 - X-Coordinate,STARLINK-4605 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5539 - Y-Coordinate,STARLINK-11130 [DTC] - Y-Coordinate,STARLINK-30799 - Y-Coordinate,STARLINK-31282 - Y-Coordinate,STARLINK-1894 - Y-Coordinate,STARLINK-1475 - Y-Coordinate,STARLINK-5685 - Y-Coordinate,STARLINK-1681 - Y-Coordinate,STARLINK-5776 - Y-Coordinate,STARLINK-2672 - Y-Coordinate,STARLINK-2332 - Y-Coordinate,STARLINK-3054 - Y-Coordinate,STARLINK-30384 - Y-Coordinate,STARLINK-1714 - Y-Coordinate,STARLINK-31220 - Y-Coordinate,STARLINK-30564 - Y-Coordinate,STARLINK-11117 [DTC] - Y-Coordinate,STARLINK-5221 - Y-Coordinate,STARLINK-30094 - Y-Coordinate,STARLINK-4605 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5539 - Z-Coordinate,STARLINK-11130 [DTC] - Z-Coordinate,STARLINK-30799 - Z-Coordinate,STARLINK-31282 - Z-Coordinate,STARLINK-1894 - Z-Coordinate,STARLINK-1475 - Z-Coordinate,STARLINK-5685 - Z-Coordinate,STARLINK-1681 - Z-Coordinate,STARLINK-5776 - Z-Coordinate,STARLINK-2672 - Z-Coordinate,STARLINK-2332 - Z-Coordinate,STARLINK-3054 - Z-Coordinate,STARLINK-30384 - Z-Coordinate,STARLINK-1714 - Z-Coordinate,STARLINK-31220 - Z-Coordinate,STARLINK-30564 - Z-Coordinate,STARLINK-11117 [DTC] - Z-Coordinate,STARLINK-5221 - Z-Coordinate,STARLINK-30094 - Z-Coordinate,STARLINK-4605 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2926.8386,3089.3109,6125.0084,4552.8727,4700.0314,2884.6555,-2732.5481,-3242.3824,2621.1967,3275.2490,-6612.5590,-5572.5510,-4676.2281,4275.2507,-3251.4077,36.6286,4268.1385,-1756.2863,1222.8833,-4784.0315,-337545.1055,-332003.3774,-332428.0395,-338315.8649,-331158.4540,-334755.1233,-338267.3780,-338348.4855,-197405337.0851,-197355674.0585,-197387295.0946,-197387555.9194,-337683.1048,-197388781.3777,-592.2477,2790.3259,-2965.0972,2171.9981,-4797.5729,-5397.0309,5012.8825,-2694.3900,-4371.1232,3196.8296,-230.8400,403.6630,-2092.2853,-5445.4078,-3973.5344,5875.1329,3862.9343,-3984.9068,-6728.7318,-1593.8387,-32046.4037,-7132.9802,-28427.2869,-31197.5756,-27512.2961,-29135.0759,-21397.1041,-26273.7472,-30505695.1548,-30459498.2335,-30487082.2129,-30485245.8928,-25982.2704,-30494075.4056,-6281.8888,5289.4620,1339.4596,4582.0606,1693.7664,3149.4616,3930.1218,-5502.0710,-4712.6199,5194.4663,-2060.3259,-4143.4158,4667.4456,-324.2003,4548.5113,3492.9893,3495.7960,5366.3307,-1171.6458,-4743.9510,184428.2327,185513.4635,182627.9191,191133.6082,188181.9003,177521.7527,178666.4164,183025.9394,85592388.5270,85588892.8169,85568548.7994,85580397.9372,184661.4533,85589512.6704,
300.000,-1963.9248,4674.1628,4902.0413,5046.2053,3269.6553,1889.4297,-677.5774,-4661.9740,759.4216,4974.1321,-5818.5273,-4037.7414,-5134.7281,3067.9580,-4912.7555,1494.7138,5640.5949,-3337.5328,-276.4724,-4292.6724,-336610.9611,-331738.2197,-331863.7786,-337742.8515,-330499.5806,-334071.8759,-337693.6213,-337930.8088,-196689499.0921,-196640641.4819,-196672071.1652,-196672407.7081,-337074.9456,-196673026.8856,1378.3682,1391.8697,-4073.3793,51.8362,-5132.0262,-6445.8180,5168.9532,-1125.8597,-5378.5222,2167.8903,1078.0519,1154.3643,14.6345,-5854.5964,-2717.3408,4746.9806,3148.4767,-2493.1552,-6921.5696,415.9604,-38862.6544,-14084.9076,-35635.7570,-38241.1315,-34574.5240,-36244.7664,-28539.1099,-33755.9365,-34807675.2477,-34760704.6782,-34789101.7327,-34787218.9516,-33060.7497,-34796002.5063,-6528.1528,4641.3704,2729.6622,4579.8399,3304.0244,1508.7013,4565.9798,-5003.7229,-4321.9142,4302.5199,-3608.3963,-5545.1459,4654.4257,-2090.5890,3942.4815,4682.6478,1914.3310,5514.3084,367.7744,-5415.9212,184389.8897,185513.1739,182687.6825,191044.9743,188359.1045,177692.7690,178485.6748,183275.4505,85591939.7219,85587989.5850,85567898.2172,85579456.4828,184673.1683,85588810.1705,
600.000,-879.3446,5781.5066,3198.6981,5068.8674,1494.8741,720.6277,1452.5382,-5657.0019,-1149.1581,6192.0694,-4461.8797,-2111.2263,-5139.9770,1539.9856,-6096.0833,2846.8505,6398.1144,-4631.6383,-1752.6687,-3432.2538,-335541.3342,-331327.8864,-331152.9858,-337022.8488,-329696.4101,-333239.9785,-336968.3886,-337282.0957,-195879915.1961,-195831881.6250,-195863098.4971,-195863513.3857,-336318.4759,-195863528.3005,3249.3824,-108.7434,-4812.9267,-2062.8175,-4989.4642,-6841.9464,4867.6369,509.2497,-5899.8006,971.9584,2319.4693,1859.7435,2109.8477,-5701.0873,-1225.7481,3154.7297,2116.0399,-797.7252,-6444.4585,2411.1033,-45640.6902,-21029.8656,-42828.4607,-45270.5904,-41619.8206,-43336.1191,-35670.7248,-41176.8737,-39092935.7338,-39045211.2017,-39074427.3280,-39072514.0329,-40125.1740,-39081213.3859,-6085.7457,3452.5076,3827.8323,4062.8398,4559.5764,-297.0411,4713.5242,-3970.7796,-3471.1063,2949.2736,-4770.3271,-6361.1862,4143.7499,-3633.1656,2901.6187,5350.2970,109.6868,5068.5298,1867.8460,-5507.6746,184352.0649,185512.7187,182751.1088,190951.1956,188532.6131,177869.1756,178310.8234,183633.3072,85591489.3444,85587086.2246,85567255.0036,85578531.8641,184684.7662,85588107.5133,
900.000,221.9393,6284.0455,1178.5425,4613.2474,-455.2991,-524.1772,3450.9161,-6120.5047,-2925.1535,6804.1713,-2682.1656,7.9492,-4686.3400,-169.9313,-6678.7950,3960.1209,6465.2530,-5505.4203,-3077.1748,-2289.3599,-334338.4101,-330772.5321,-330295.9947,-336156.1494,-328749.1278,-332260.0569,-336091.8609,-336396.1112,-194976974.2426,-194929782.7886,-194960764.8809,-194961259.1799,-335414.0172,-194960674.3204,4827.4755,-1561.5279,-5122.7229,-3956.5996,-4396.7605,-6548.2094,4139.7261,2058.2729,-5877.2685,-287.4551,3383.4114,2458.8204,3990.7868,-5013.1964,361.5071,1267.3303,856.7105,935.5753,-5343.9663,4193.5573,-52376.7976,-27964.8275,-50002.1873,-52282.7625,-48645.3252,-50405.9166,-42788.4798,-48501.0674,-43359434.0255,-43310975.7031,-43341016.3129,-43339088.0374,-47172.4372,-43347665.5311,-5000.7604,1861.1901,4516.5713,3089.0701,5325.9081,-2070.3457,4357.0034,-2512.9452,-2250.3697,1279.6927,-5422.5283,-6506.1196,3189.9141,-4787.3913,1540.6173,5421.8429,-1707.7701,4076.9067,3168.0843,-5009.3894,184314.9726,185512.0990,182818.0995,190852.1703,188702.4313,178051.0437,178141.7742,184073.7438,85591037.2805,85586182.7428,85566619.2493,85577624.1200,184696.2468,85587404.6989,
1200.000,1240.8901,6118.2948,-963.1250,3716.2272,-2391.3246,-1739.4015,5122.4594,-5995.2282,-4404.1401,6745.7137,-658.6186,2103.6743,-3808.5283,-1901.9606,-6598.0025,4720.0417,5842.5508,-5863.2391,-4134.2181,-972.1209,-333004.6995,-330072.3741,-329293.2057,-335143.1108,-327657.9918,-331132.8193,-335064.3017,-335275.0341,-193981109.5763,-193934777.7598,-193965502.6060,-193966075.8927,-334361.9560,-193964898.1396,5944.8050,-2826.1076,-4979.5882,-5438.0584,-3420.8703,-5598.3622,3052.4120,3380.7190,-5303.0618,-1504.1442,4171.8913,2892.5488,5476.8941,-3869.2220,1898.1723,-719.2890,-513.8532,2541.8177,-3727.8556,5583.2445,-59067.2422,-34886.7697,-57153.7364,-59274.4527,-55648.1725,-57450.9541,-49888.9277,-55698.7652,-47605136.5451,-47555965.0743,-47586834.9674,-47584906.7519,-54199.4406,-47593325.4326,-3386.8217,52.8650,4722.3294,1767.9157,5521.1214,-3617.6843,3534.4609,-785.7554,-789.4897,-527.1561,-5495.8356,-5964.7180,1894.8332,-5430.6382,9.6236,4889.4265,-3326.5238,2646.0560,4129.4058,-3973.9568,184278.8816,185511.3155,182888.5488,190747.7911,188868.5666,178238.4471,177978.4419,184563.5392,85590583.4169,85585279.1463,85565991.0450,85576733.2769,184707.6102,85586701.7273,
1500.000,2093.0732,5292.9899,-3018.3441,2456.7029,-4121.6899,-2820.1371,6303.0586,-5281.1330,-5451.9745,6019.3375,1407.9454,3964.5019,-2579.4086,-3490.0269,-5857.6405,5042.3213,4605.1752,-5657.8267,-4830.7216,399.6871,-331543.1050,-329227.6930,-328145.0860,-333984.1544,-326423.3325,-329859.0570,-333886.0550,-333929.3094,-192892798.8339,-192847343.6042,-192877788.2537,-192878438.6938,-333162.7435,-192876677.2411,6477.2179,-3785.2669,-4399.5252,-6359.3213,-2161.0129,-4092.8020,1703.1981,4361.0505,-4221.4114,-2577.9242,4607.5947,3109.5100,6427.2435,-2388.1367,3244.9271,-2602.6201,-1865.8723,3872.6915,-1754.1740,6436.2196,-65708.2787,-41792.6727,-64279.9199,-66242.4610,-62625.4952,-64468.0409,-56968.6435,-62748.9373,-51828019.6940,-51778156.1699,-51809859.5066,-51807945.8235,-61203.0944,-51816169.5536,-1413.9042,-1761.6528,4423.1363,247.9381,5124.4424,-4770.8043,2333.7670,1025.7588,755.7259,-2277.5339,-4982.4390,-4793.4379,397.0342,-5494.7534,-1522.4539,3812.2281,-4558.8497,930.0456,4649.0818,-2511.7365,184244.1316,185510.3691,182962.3442,190637.9451,189031.0284,178431.4626,177820.7439,185064.7294,85590127.6409,85584375.4422,85565370.4814,85575859.3512,184718.8565,85585998.5985,
1800.000,2715.4350,3889.2182,-4786.7656,949.0036,-5471.8828,-3670.8281,6876.0339,-4037.1686,-5977.1591,4695.0317,3314.7941,5404.7952,-1104.2982,-4777.4467,-4528.5139,4882.4067,2893.1246,-4896.6466,-5104.2498,1705.1806,-329957.0085,-328238.8321,-326852.1689,-332679.7656,-325045.5506,-328439.6462,-332557.5450,-332376.5479,-191712563.7138,-191668001.4371,-191698142.4701,-191698866.8938,-331816.8957,-191696533.1676,6358.7829,-4355.6297,-3435.8752,-6631.2030,-738.4722,-2187.2365,211.3645,4918.8656,-2725.8545,-3422.5612,4641.3291,3071.9892,6754.2264,-717.0750,4281.9587,-4194.2532,-3067.5220,4810.3400,384.5562,6660.0112,-72296.1714,-48679.5231,-71377.5632,-73183.5828,-69574.4256,-71454.0021,-64024.2240,-69641.4566,-56026070.8177,-55975536.7707,-56008077.0447,-56006191.7294,-68180.3185,-56014185.2945,709.1214,-3371.1858,3650.8962,-1299.9317,4178.3263,-5404.8843,883.3429,2727.0400,2220.1017,-3784.1533,-3936.6751,-3115.0309,-1143.2419,-4972.8772,-2886.8385,2310.0851,-5262.4586,-886.1924,4671.6330,-779.2994,184211.1563,185509.2606,183039.3667,190522.5136,189189.8274,178630.1691,177668.6009,185538.0112,85589669.8407,85583471.6374,85564757.6489,85575002.3501,184729.9856,85585295.3126,
2100.000,3070.5480,2052.0755,-6095.3095,-667.3570,-6302.1522,-4213.2403,6784.0629,-2376.6946,-5938.8812,2902.8976,4876.9533,6283.5596,487.9091,-5632.1510,-2741.1978,4241.7051,894.7743,-3642.6868,-4928.4174,2832.8009,-328250.3868,-327106.1978,-325415.0537,-331230.4932,-323525.1171,-326875.5487,-331079.2747,-330639.5745,-190440969.7266,-190397316.1745,-190427129.7172,-190427923.6948,-330324.9929,-190425031.2713,5590.4947,-4494.2726,-2174.5252,-6231.9240,715.0082,-76.0668,-1292.4137,5015.3259,-951.3597,-3972.1710,4257.7065,2761.7567,6431.7336,983.0875,4919.3600,-5338.9476,-3997.3874,5277.8228,2480.3078,6224.3161,-78827.2346,-55544.3144,-78443.5066,-80094.6084,-76492.0976,-78405.6799,-71052.2893,-76378.0874,-60197289.1648,-60146106.5428,-60179486.5544,-60177642.7401,-75128.0443,-60185371.9520,2756.7503,-4589.0839,2488.0712,-2701.8727,2784.0466,-5451.5778,-661.5954,4135.2854,3446.9621,-4886.3815,-2469.6421,-1106.3921,-2561.4087,-3920.1534,-3933.6566,550.3700,-5356.3883,-2607.0648,4194.6387,1037.0782,184180.5144,185507.9909,183119.4909,190401.3715,189344.9751,178834.6483,177521.9365,185946.4089,85589209.9053,85582567.7386,85564152.6377,85574162.2733,184740.9976,85584591.8694,
2400.000,3147.8830,-24.9223,-6815.4091,-2240.5798,-6522.3748,-4393.2596,6035.1278,-456.9282,-5349.8720,819.7800,5945.2869,6518.9750,2055.9753,-5960.3228,-672.7433,3169.4115,-1173.9364,-2009.3128,-4315.4390,3689.7152,-326427.9642,-325830.2588,-323834.4051,-329636.9490,-321862.5712,-325167.8134,-329451.8249,-328743.8946,-189078625.9237,-189035896.2615,-189065358.0038,-189066215.9213,-328687.6798,-189062780.4438,4241.5636,-4200.7979,-726.4866,-5208.4192,2069.3175,2027.4932,-2677.4233,4655.1780,937.9310,-4185.6292,3478.3593,2184.6225,5496.9099,2552.9188,5104.3948,-5930.1073,-4556.2812,5245.0478,4329.8613,5165.4083,-85297.9046,-62384.0481,-85474.6075,-86972.3226,-83375.6487,-85319.9348,-78049.4825,-82972.0988,-64339686.8404,-64287877.9913,-64322099.8195,-64320309.8776,-82043.2157,-64327741.6728,4511.3721,-5274.7272,1059.0009,-3800.8957,1091.0625,-4905.9432,-2135.8390,5099.3846,4305.0878,-5467.1573,-737.8867,1019.7126,-3706.3177,-2448.2859,-4548.3215,-1270.7143,-4829.7946,-4047.7181,3268.9953,2741.5941,184152.9332,185506.5609,183202.5851,190274.3873,189496.4837,179044.9835,177380.6774,186258.6940,85588747.7246,85581663.7527,85563555.5373,85573339.1139,184751.8923,85583888.2691,
