sl_20_5400_20241126 Coordinates.csv
2024/11/26 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:25 2024,
Start: 2024/11/26 07:47:00.00, Stop: 2024/11/26 09:17:00.00,
TIME_UNITS,STARLINK-1795 - X-Coordinate,STARLINK-3750 - X-Coordinate,STARLINK-4313 - X-Coordinate,STARLINK-11174 [DTC] - X-Coordinate,STARLINK-1221 - X-Coordinate,STARLINK-2087 - X-Coordinate,STARLINK-30450 - X-Coordinate,STARLINK-3106 - X-Coordinate,STARLINK-30829 - X-Coordinate,STARLINK-3182 - X-Coordinate,STARLINK-30966 - X-Coordinate,STARLINK-5474 - X-Coordinate,STARLINK-31045 - X-Coordinate,STARLINK-31879 - X-Coordinate,STARLINK-31540 - X-Coordinate,STARLINK-30213 - X-Coordinate,STARLINK-2682 - X-Coordinate,STARLINK-32227 - X-Coordinate,STARLINK-1834 - X-Coordinate,STARLINK-3840 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1795 - Y-Coordinate,STARLINK-3750 - Y-Coordinate,STARLINK-4313 - Y-Coordinate,STARLINK-11174 [DTC] - Y-Coordinate,STARLINK-1221 - Y-Coordinate,STARLINK-2087 - Y-Coordinate,STARLINK-30450 - Y-Coordinate,STARLINK-3106 - Y-Coordinate,STARLINK-30829 - Y-Coordinate,STARLINK-3182 - Y-Coordinate,STARLINK-30966 - Y-Coordinate,STARLINK-5474 - Y-Coordinate,STARLINK-31045 - Y-Coordinate,STARLINK-31879 - Y-Coordinate,STARLINK-31540 - Y-Coordinate,STARLINK-30213 - Y-Coordinate,STARLINK-2682 - Y-Coordinate,STARLINK-32227 - Y-Coordinate,STARLINK-1834 - Y-Coordinate,STARLINK-3840 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1795 - Z-Coordinate,STARLINK-3750 - Z-Coordinate,STARLINK-4313 - Z-Coordinate,STARLINK-11174 [DTC] - Z-Coordinate,STARLINK-1221 - Z-Coordinate,STARLINK-2087 - Z-Coordinate,STARLINK-30450 - Z-Coordinate,STARLINK-3106 - Z-Coordinate,STARLINK-30829 - Z-Coordinate,STARLINK-3182 - Z-Coordinate,STARLINK-30966 - Z-Coordinate,STARLINK-5474 - Z-Coordinate,STARLINK-31045 - Z-Coordinate,STARLINK-31879 - Z-Coordinate,STARLINK-31540 - Z-Coordinate,STARLINK-30213 - Z-Coordinate,STARLINK-2682 - Z-Coordinate,STARLINK-32227 - Z-Coordinate,STARLINK-1834 - Z-Coordinate,STARLINK-3840 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6227.7871,-6224.4210,-711.0299,-3192.8597,-4230.4989,1186.5299,-3554.3728,5498.5425,5271.1150,5753.7790,-3601.6534,-67.8254,3842.8583,992.0263,-5287.5183,-830.4064,-1331.0519,-543.7413,865.5695,-959.9820,-392189.8518,-402529.4561,-398311.9516,-396209.9453,-399726.7866,-398226.3202,-406001.4863,-400182.5624,-68512915.7873,-68554590.6346,-68533141.7993,-68524911.5970,-401468.1710,-68525447.6085,312.1589,1031.0240,-1529.8096,-2482.6621,-5016.6834,6478.8559,4060.8083,-2541.1711,-2425.2295,-3710.3702,5870.0906,-6524.6525,-1592.0570,-6232.9519,-3077.9619,5838.0999,-6195.3255,-4801.1226,-6866.6833,-4222.7811,30252.9468,42738.9123,51054.5930,45270.6427,52638.4245,49121.1371,45646.6130,45812.2155,-94551360.0580,-94536250.5912,-94537560.7355,-94571199.2019,46143.2918,-94561831.3732,3006.2190,2827.3702,6725.3656,-5394.6584,-2042.5966,2121.9951,-4360.8124,3407.0380,3639.3974,972.9651,819.5160,-2400.7182,-5545.5930,-2588.4817,3004.3395,-3657.3224,-2797.7778,4813.6067,-220.2282,5298.7282,-26742.8552,-30272.8215,-32899.4746,-24712.1199,-27253.3757,-37950.0583,-37185.3124,-29782.0584,45246337.8657,45274126.9398,45253474.7597,45252487.7110,-30989.8995,45258613.2715,
300.000,-5132.0311,-6386.8350,1207.5935,-4374.9212,-4667.8856,2298.1771,-1577.3782,3983.7486,5171.1088,5026.8491,-2244.5803,-750.1542,2819.2402,-591.8088,-5391.5799,1086.5643,-2701.2906,-2388.6289,-376.5814,-3016.0144,-392664.0138,-403751.2160,-399070.2766,-397125.8059,-400621.1570,-399078.5222,-406815.3777,-401359.9864,-66426948.4277,-66469356.2037,-66447844.1327,-66438414.7175,-402347.9378,-66439540.6321,1637.4444,2397.8704,-295.2857,-644.6394,-3539.1160,5403.1910,4835.7611,-2691.6714,-3976.9284,-4675.6454,6523.5844,-5473.0218,-3491.2955,-6693.7431,-1147.3747,5230.2017,-6280.6111,-5212.9326,-6621.5410,-4129.7296,21951.4284,34048.8299,42457.1652,36699.0210,44145.7225,40655.7717,37075.7475,37545.2172,-96024420.3322,-96009759.4948,-96010817.4323,-96044223.7726,37603.9788,-96034842.6422,4344.5458,1134.5531,6821.0929,-5089.2482,-3595.0247,3658.3882,-4718.7020,5014.0807,2093.9196,-843.8698,-725.7294,-4224.3401,-5283.6360,-1166.8738,4006.8582,-4428.9810,-1105.7091,3696.1829,-1994.4562,4546.7974,-26890.4872,-30342.9187,-32979.4569,-24955.2448,-27230.3140,-37921.8991,-37508.0460,-29618.0585,45245141.5765,45272737.9539,45251947.8111,45251688.6424,-31126.7301,45257396.8779,
600.000,-3544.3122,-5919.2638,2942.1517,-5134.2381,-4669.5120,3222.9838,541.8474,2051.1543,4560.2328,3793.7099,-663.9886,-1411.6093,1572.8845,-2104.2236,-4980.7272,2925.5024,-3793.0502,-3960.4634,-1603.5977,-4751.6099,-392963.1570,-404775.2402,-399649.0280,-397860.3393,-401336.5942,-399753.4107,-407444.2853,-402440.7594,-64309329.0277,-64352462.6685,-64330887.8078,-64320271.3719,-403046.0372,-64321984.0271,2846.8026,3514.4778,1050.3641,1225.1037,-1685.4554,3794.6853,5188.6565,-2633.9506,-5106.1718,-5183.0279,6548.6511,-3875.2619,-5070.0748,-6474.6763,918.1300,4151.0652,-5749.6883,-5118.8018,-5724.1961,-3664.2154,13644.5047,25352.3862,33841.5446,28109.5800,35632.8431,32173.9337,28491.5329,29251.1922,-97451475.7772,-97437285.0733,-97438092.5067,-97471198.3603,29048.1237,-97461852.0524,5216.2366,-680.6826,6191.0027,-4193.7411,-4753.0243,4801.1316,-4573.7877,6089.0366,316.2350,-2569.7239,-2193.3970,-5600.7316,-4457.6597,385.9220,4558.6611,-4728.7249,705.1160,2164.2024,-3554.5201,3290.0069,-27038.3806,-30418.8300,-33055.8957,-25203.4125,-27210.8485,-37888.1538,-37824.8469,-29566.5664,45243950.9358,45271348.2696,45250422.1650,45250906.0203,-31263.5445,45256180.5915,
900.000,-1626.7091,-4859.2111,4307.6545,-5379.5897,-4248.2996,3882.1226,2598.2713,-104.1229,3485.1482,2166.1777,999.6214,-2003.2282,218.1847,-3405.4944,-4102.4218,4510.1942,-4515.5971,-5106.2416,-2711.3564,-5990.2767,-393087.2940,-405601.6085,-400047.9980,-398413.3397,-401872.5628,-400250.7905,-407888.2465,-403394.6095,-62161072.0003,-62204923.8002,-62183286.3897,-62171499.6061,-403562.1638,-62173792.0760,3829.3930,4288.2019,2352.7615,2931.4915,360.8497,1815.5898,5083.7277,-2388.2592,-5710.0830,-5198.6110,5950.0497,-1898.3383,-6167.6100,-5593.4564,2909.3237,2707.7700,-4644.5467,-4513.6982,-4268.2791,-2859.1727,5335.8460,16650.1887,25211.5882,19506.2099,27103.7715,23679.1697,19897.9638,20911.7327,-98831846.5674,-98818147.3864,-98818705.8798,-98851442.2599,20479.5922,-98842179.8793,5527.9837,-2422.5550,4901.7201,-2811.2671,-5390.1956,5427.6007,-3941.3721,6518.1827,-1496.5317,-4018.8343,-3426.8000,-6385.5106,-3155.2757,1895.2698,4597.8897,-4524.7868,2440.1132,389.3912,-4733.4180,1667.4455,-27186.5344,-30499.8847,-33128.9058,-25456.7269,-27194.9683,-37848.7489,-38135.8007,-29639.8501,45242765.9322,45269957.9023,45248897.8859,45250139.3267,-31400.3427,45254964.4122,
1200.000,428.2885,-3304.5403,5164.5780,-5070.5723,-3454.3967,4217.2879,4393.9228,-2262.6168,2040.5634,297.4714,2595.7912,-2475.4255,-1124.6934,-4377.1952,-2847.1008,5685.7493,-4814.6852,-5719.7557,-3603.4804,-6608.1558,-393036.5140,-406230.6826,-400267.0577,-398784.6964,-402228.6207,-400570.5433,-408147.3681,-404187.3342,-59983206.3543,-60027767.9671,-60006068.0488,-59993132.2676,-403896.0944,-59995993.6526,4490.7930,4660.5631,3454.7331,4300.4519,2394.5189,-335.5438,4524.5176,-1985.4516,-5741.0401,-4735.5210,4792.3739,254.1521,-6668.4861,-4136.6256,4622.3535,1038.3801,-3065.7965,-3444.1816,-2402.1609,-1778.7705,-2970.8809,7943.5853,16571.1568,10892.8076,18562.4916,15175.0131,11299.0239,12512.6691,-100164875.2414,-100151688.8390,-100151999.8066,-100184297.3183,11902.2553,-100175168.7574,5246.4737,-3903.5885,3089.9955,-1101.7748,-5437.1722,5470.7240,-2888.4932,6256.0887,-3143.5907,-5035.8033,-4294.6257,-6496.8670,-1515.1596,3191.2771,4120.2014,-3838.7234,3912.7372,-1429.1227,-5405.4227,-140.6523,-27334.9478,-30585.4970,-33198.6085,-25715.2972,-27182.6608,-37803.6080,-38440.9899,-29841.0507,45241586.5515,45268566.8669,45247375.0385,45249387.9355,-31537.1246,45253748.3400,
1500.000,2417.2130,-1404.0458,5433.6347,-4224.2332,-2369.0617,4195.5749,5756.9160,-4202.9352,360.8743,-1632.4943,3977.5888,-2781.7569,-2340.1920,-4932.8327,-1338.8206,6333.6755,-4676.0650,-5751.5037,-4199.2779,-6547.0363,-392810.9823,-406662.9824,-400306.1566,-398974.3965,-402404.4181,-400712.6282,-408221.8276,-404783.3327,-57776775.2005,-57822037.6419,-57800275.0681,-57786216.5145,-404047.6881,-57789631.7293,4761.9747,4610.9133,4215.3576,5196.8939,4208.9052,-2444.0033,3554.5071,-1463.1447,-5209.8380,-3850.5331,3192.6300,2363.0004,-6515.3856,-2250.8762,5879.6292,-701.0509,-1163.3194,-2005.3835,-313.3506,-513.9542,-11272.0145,-765.5006,7924.1132,2273.2743,10012.9848,6664.9813,2698.6853,4045.2375,-101449927.0156,-101437274.4940,-101437339.1898,-101469128.2735,3319.9879,-101460183.9930,4401.8080,-4964.9509,948.6575,736.0637,-4888.7966,4925.9187,-1527.1030,5330.2289,-4443.0630,-5512.0052,-4704.7435,-5923.3945,287.3544,4128.1792,3179.2192,-2743.2560,4964.8441,-3087.5122,-5499.0792,-1933.1149,-27483.6201,-30675.1608,-33265.1316,-25979.2385,-27173.9122,-37752.6523,-38740.4938,-30164.4054,45240412.7772,45267175.1782,45245853.6867,45248651.0953,-31673.8901,45252532.3750,
1800.000,4145.7789,657.2237,5103.5757,-2915.6003,-1096.4193,3812.6906,6558.1590,-5724.5495,-1392.5348,-3434.4248,5014.8680,-2883.3670,-3327.1396,-5025.1813,276.8723,6384.0698,-4124.9772,-5212.1166,-4440.6704,-5820.0069,-392410.9405,-406899.1174,-400165.3228,-398982.5251,-402399.6974,-400677.0812,-408111.8736,-405148.0734,-55542835.2529,-55588788.9028,-55566963.3453,-55551813.3158,-404016.8866,-55555762.8772,4606.6154,4156.3299,4528.0817,5538.4042,5616.7690,-4300.3721,2254.3762,-862.2905,-4182.5131,-2636.8691,1308.0866,4215.3505,-5716.1879,-127.8571,6548.4161,-2350.8142,878.3525,-332.5508,1790.4175,824.8884,-19563.9001,-9474.7014,-725.6791,-6348.4851,1459.2295,-1847.4277,-5899.0923,-4493.2597,-102686390.0865,-102674292.3750,-102674111.8828,-102705323.0867,-5263.3330,-102696613.8664,3084.4049,-5493.2632,-1293.9034,2488.0318,-3804.6697,3851.5484,-2.4237,3838.3099,-5252.0445,-5396.7158,-4613.6874,-4725.0901,2059.0150,4600.7955,1880.6399,-1354.8600,5483.6917,-4400.4459,-5004.4109,-3510.7118,-27632.5503,-30768.4411,-33328.6086,-26248.6716,-27168.7083,-37695.8006,-39034.3891,-30595.9139,45239244.5900,45265782.8510,45244333.8943,45247927.9100,-31810.6392,45251316.5172,
2100.000,5448.0338,2676.1163,4230.7784,-1271.4728,246.2159,3094.2374,6723.9886,-6668.9515,-3046.8259,-4927.9580,5606.2661,-2753.8231,-4006.9786,-4649.8126,1846.8471,5823.5974,-3222.0818,-4169.1673,-4297.7483,-4508.9887,-391836.7062,-406939.7505,-399844.6627,-398809.2681,-402214.2927,-400464.0158,-407817.8267,-405250.4177,-53282456.3216,-53329090.9281,-53307201.8871,-53290996.9409,-403803.7138,-53295456.7607,4025.9952,3348.2178,4335.2895,5302.8401,6469.6570,-5721.4387,735.7976,-224.3763,-2771.7141,-1214.2767,-679.2008,5625.9357,-4344.2068,2015.6431,6555.2373,-3762.1019,2858.1973,1411.8538,3701.6172,2117.4455,-27842.8913,-18181.3070,-9374.3579,-14968.5644,-7094.8002,-10358.7390,-14490.3628,-13099.2600,-103873675.9221,-103862153.7572,-103861728.9807,-103892293.2682,-13843.8304,-103883869.9229,1435.5715,-5432.2455,-3398.6358,3949.7901,-2303.0363,2362.8797,1522.4990,1938.3875,-5481.9088,-4702.1930,-4031.0634,-3027.5432,3609.6901,4556.1967,370.4894,178.3709,5413.7920,-5221.7919,-3973.9264,-4698.7072,-27781.7377,-30864.9639,-33389.1791,-26523.7237,-27167.0342,-37632.9700,-39322.7490,-31114.3475,45238081.9686,45264389.8996,45242815.7249,45247217.3177,-31947.3718,45250100.7665,
2400.000,6202.6609,4451.1968,2930.5925,541.9993,1538.8094,2094.7417,6243.2088,-6936.9318,-4434.5050,-5959.5266,5689.0583,-2383.7602,-4329.6063,-3844.8018,3224.8510,4698.1012,-2056.6098,-2738.2677,-3772.5492,-2754.7622,-391088.6726,-406785.5805,-399344.3610,-398454.9135,-401848.1288,-400073.6220,-407340.0805,-405064.7531,-50996720.8010,-51044025.4838,-51022072.2977,-51004854.4396,-403408.2763,-51009795.6246,3060.6931,2266.3736,3637.0495,4528.8788,6674.0409,-6568.6482,-867.9052,410.7067,-1124.0666,282.5891,-2579.7733,6455.8635,-2531.3104,3959.9523,5894.3197,-4810.4822,4578.5453,3053.9523,5233.2408,3244.1446,-36105.3515,-26882.3437,-18018.0634,-23583.0569,-15645.1355,-18865.5042,-23071.1949,-21763.1698,-105011219.5419,-105000293.4484,-104999625.1017,-105029474.1960,-22417.6286,-105021387.2535,-367.5518,-4788.3654,-5141.9746,4951.0949,-548.3296,619.9366,2884.4099,-167.6757,-5107.5221,-3502.4619,-3018.5970,-1009.4901,4773.1148,3999.4678,-1181.3453,1692.4989,4762.6325,-5460.4706,-2517.3778,-5366.1968,-27931.1816,-30964.4069,-33446.9878,-26804.5283,-27168.8748,-37564.0755,-39605.6439,-31692.5465,45236924.8889,45262996.3383,45241299.2416,45246518.0663,-32084.0877,45248885.1230,
