sl_20_86400_20240404 Coordinates.csv
2024/04/04 07:47:00.0000 UTC

Generated: Tue Oct  8 16:56:52 2024,
Start: 2024/04/04 07:47:00.00, Stop: 2024/04/05 07:47:00.00,
TIME_UNITS,STARLINK-30075 - X-Coordinate,STARLINK-1770 - X-Coordinate,STARLINK-5101 - X-Coordinate,STARLINK-1749 - X-Coordinate,STARLINK-2502 - X-Coordinate,STARLINK-32042 - X-Coordinate,STARLINK-30898 - X-Coordinate,STARLINK-3620 - X-Coordinate,STARLINK-11084 [DTC] - X-Coordinate,STARLINK-4738 - X-Coordinate,STARLINK-32375 - X-Coordinate,STARLINK-2223 - X-Coordinate,STARLINK-5014 - X-Coordinate,STARLINK-30464 - X-Coordinate,STARLINK-4359 - X-Coordinate,STARLINK-11131 [DTC] - X-Coordinate,STARLINK-5866 - X-Coordinate,STARLINK-2591 - X-Coordinate,STARLINK-31243 - X-Coordinate,STARLINK-5362 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30075 - Y-Coordinate,STARLINK-1770 - Y-Coordinate,STARLINK-5101 - Y-Coordinate,STARLINK-1749 - Y-Coordinate,STARLINK-2502 - Y-Coordinate,STARLINK-32042 - Y-Coordinate,STARLINK-30898 - Y-Coordinate,STARLINK-3620 - Y-Coordinate,STARLINK-11084 [DTC] - Y-Coordinate,STARLINK-4738 - Y-Coordinate,STARLINK-32375 - Y-Coordinate,STARLINK-2223 - Y-Coordinate,STARLINK-5014 - Y-Coordinate,STARLINK-30464 - Y-Coordinate,STARLINK-4359 - Y-Coordinate,STARLINK-11131 [DTC] - Y-Coordinate,STARLINK-5866 - Y-Coordinate,STARLINK-2591 - Y-Coordinate,STARLINK-31243 - Y-Coordinate,STARLINK-5362 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30075 - Z-Coordinate,STARLINK-1770 - Z-Coordinate,STARLINK-5101 - Z-Coordinate,STARLINK-1749 - Z-Coordinate,STARLINK-2502 - Z-Coordinate,STARLINK-32042 - Z-Coordinate,STARLINK-30898 - Z-Coordinate,STARLINK-3620 - Z-Coordinate,STARLINK-11084 [DTC] - Z-Coordinate,STARLINK-4738 - Z-Coordinate,STARLINK-32375 - Z-Coordinate,STARLINK-2223 - Z-Coordinate,STARLINK-5014 - Z-Coordinate,STARLINK-30464 - Z-Coordinate,STARLINK-4359 - Z-Coordinate,STARLINK-11131 [DTC] - Z-Coordinate,STARLINK-5866 - Z-Coordinate,STARLINK-2591 - Z-Coordinate,STARLINK-31243 - Z-Coordinate,STARLINK-5362 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-306.1114,6666.1334,-3142.9188,-983.5789,4233.5403,3825.5697,3614.2314,-916.3236,-3168.8336,1174.3964,0.0000,6346.6324,-1748.2326,-3211.0240,-5982.2456,-3559.6010,3825.9227,4581.9553,4711.4507,2841.9295,-329513.0708,-337560.9586,-345353.1358,-342708.5266,-346120.6836,-344069.4479,-336823.4559,-340135.6021,-260959929.8498,-260946882.3182,-260957706.3337,-260936357.7592,-340030.8106,-260943557.0223,5065.7740,1801.1800,-4070.6213,-5736.1813,212.0551,5630.8794,3121.0631,4666.2761,-2749.6270,6795.8393,0.0000,1448.4769,-6662.9823,6021.0265,3305.1756,1976.7858,-3344.7579,-1794.6360,-4920.5177,-6212.3360,56061.6415,46091.3439,42059.1242,48582.2494,41526.3594,45096.4106,40750.7018,42826.3802,161566950.1707,161528669.3021,161546772.0677,161564590.2044,44206.0936,161567068.5637,4721.9470,572.3451,-4660.5490,3749.3357,5472.2876,779.2507,4892.2114,5019.9911,5264.5984,-567.6231,0.0000,-2383.3969,676.1764,-1262.9287,1240.9483,-5388.6187,-4727.4256,-4885.2586,636.9821,-1213.8587,-129133.4115,-133087.2545,-135811.0264,-126855.3420,-130469.8761,-141038.2863,-139276.5619,-134784.1494,-49213630.5376,-49185365.6917,-49209629.3302,-49211752.0333,-133621.8588,-49201411.8195,
3600.000,-3589.9211,-5946.5231,5692.7497,2972.1148,-5032.8635,-4265.0838,-4379.7011,-1649.3289,5113.4291,-2572.4310,0.0000,-6653.6976,2978.1263,192.9015,5707.3895,533.4190,-1158.8206,-1102.5329,-2448.0407,-596.3319,-334013.0808,-334503.2438,-346506.1576,-342587.6132,-346824.5178,-345456.6985,-337702.2185,-340863.1247,-293889005.1279,-293865911.9716,-293879454.7443,-293864824.2237,-340595.6193,-293872627.1777,-4832.9375,-9.4986,965.7928,6248.8413,3493.8358,-2677.7311,1588.1092,-6480.1323,-1981.0642,-4695.9577,0.0000,71.1342,4390.6674,-5563.3785,-732.4708,-5792.8516,6069.4221,4353.6865,5159.5333,6474.9272,-26727.6083,-41437.7875,-42644.2867,-37646.2883,-45238.1914,-41497.8304,-44576.9030,-40793.7529,88467167.0984,88426252.7054,88443990.8222,88471266.5571,-42006.3656,88466365.7535,-3451.4729,3547.7264,3837.4894,310.5901,-3239.9117,-4652.7439,-5016.0968,-1788.6854,-3921.7226,4373.7732,0.0000,-1944.1638,-4451.8974,4133.3837,3882.5927,3417.7852,3148.1801,5270.5580,3760.6442,-2426.4306,-127738.0798,-131224.8083,-133896.9884,-127024.4638,-127340.0206,-137592.9527,-140057.7615,-131078.9831,-49144888.1105,-49118747.6178,-49144382.1457,-49142606.5360,-132351.7790,-49132702.0051,
7200.000,5913.8268,3151.0688,-6690.6942,-3779.7616,4478.6912,3955.1657,4396.3961,3021.0257,-4821.4865,4165.8603,0.0000,4221.9158,-4233.7680,3517.1795,-1242.3503,1717.0411,-1177.9458,-1770.4899,-1805.6207,-2399.9749,-318033.2851,-310951.8238,-325699.1727,-320707.5426,-325539.0120,-324447.2772,-317571.0752,-319109.8718,-306761477.6686,-306727272.0879,-306744053.8085,-306740922.7688,-319628.8565,-306744574.0588,3625.9657,-2757.4799,1687.2440,-4008.5125,-5194.9318,-2000.5933,-5020.3203,5672.2268,4630.9566,729.6916,0.0000,-2110.4729,-307.9723,3901.4922,-965.3244,6366.2475,-6829.9327,-6228.3179,-3705.6582,-4603.9855,-108519.2965,-125153.9476,-124910.1400,-121465.5983,-129331.4750,-125870.0310,-127619.5680,-126497.9722,9336396.3647,9295974.9102,9313434.8174,9345365.0036,-125712.0340,9334814.7943,91.8586,-5524.3713,-721.9740,-4203.9624,-990.7013,5218.1123,1505.3785,-2575.1468,-852.5622,-5479.6363,0.0000,5066.0564,5459.6423,-4536.7879,-6769.8444,1445.5123,307.2528,-2475.6320,-5465.3834,4593.8241,-126385.8756,-129692.6796,-131554.8327,-128112.6753,-124692.6575,-133232.3583,-140056.4773,-132621.9992,-49075351.8965,-49052222.6935,-49078767.8494,-49071238.6957,-131067.6938,-49063987.6024,
10800.000,-5995.0522,-102.0750,5236.6134,4190.8266,-1801.7162,-3310.6651,-2542.4280,-3812.5025,1228.8490,-5432.1435,0.0000,-683.2179,5206.3352,-6308.1145,-3963.3708,-3392.5339,3172.2207,3276.7027,5710.0797,5351.8738,-282262.6131,-267723.8032,-284135.0874,-277962.8282,-283818.5330,-280914.0961,-277437.2522,-279014.0895,-298700512.4542,-298655213.0906,-298676096.9392,-298685581.5226,-278415.7384,-298682700.0211,-1095.5724,5566.2137,-3555.5236,-143.0811,4855.7988,5616.6924,5557.6624,-2228.1237,-4489.8300,2883.7649,0.0000,4613.7825,-3334.9736,-1858.7638,-447.1185,-2852.2549,5018.8430,5824.1747,1961.4055,1841.0746,-184288.2306,-199873.6478,-199486.8458,-198734.3111,-205365.2661,-201811.9407,-203357.4250,-201169.5666,-70425023.1476,-70461486.2773,-70444599.8693,-70415512.1953,-201614.2963,-70427005.6268,3307.1889,4117.4877,-2845.3134,5504.9531,4593.7629,-2115.5580,3069.8961,5320.0105,4864.0852,3163.0359,0.0000,-5130.5000,-3118.0198,2206.0007,5679.1779,-5095.9478,-3594.2915,-1846.0306,3212.4413,-4016.8564,-125071.8519,-128283.0273,-129068.2329,-130340.1341,-122518.0399,-128174.7354,-139353.6011,-128165.8971,-49005075.1451,-48985769.4997,-49012681.8398,-48998184.4538,-129769.7165,-48995268.6385,
14400.000,4447.6270,-1928.9559,-1755.5032,-4453.3678,-2304.6531,1602.6649,-1338.3217,4554.5429,3831.7235,5052.6165,0.0000,-2117.9277,-4657.6797,6780.2545,5848.7054,4636.1675,-4873.4754,-3886.0142,-6704.4149,-6822.7982,-228625.4967,-207491.6443,-224392.2662,-217713.0222,-224424.5211,-216906.0045,-219562.1337,-219078.7202,-270257808.3740,-270202609.7084,-270228584.1187,-270246513.9839,-219524.1155,-270238942.0031,-2448.3872,-6650.9710,4797.1029,4027.0895,-3662.5024,-6176.5274,-3918.5327,-2062.5010,3001.7351,-4595.0797,0.0000,-6266.9500,4987.6666,-297.2028,3515.2144,-2171.1400,-1461.1051,-2759.0779,-243.5322,742.7301,-249269.4122,-261046.9870,-261562.4913,-267016.3073,-268511.2188,-263330.3207,-267042.1591,-264913.9271,-145374100.2553,-145403201.9962,-145387777.1526,-145369357.0440,-264899.1075,-145375963.9286,-4731.6164,-220.1673,4685.3609,-3459.3247,-5415.0448,-2506.0004,-5451.5229,-4789.3260,-4664.9656,1100.4001,0.0000,2060.0257,-1171.7117,1434.1465,-1303.4464,4392.8662,4708.9268,5023.3949,1337.7753,1014.4553,-123792.3787,-126934.2327,-126755.8522,-130116.9185,-120822.6976,-127362.9136,-137985.0016,-130227.7744,-48934158.7690,-48919369.4066,-48946016.0176,-48924328.6527,-128457.9624,-48926545.1403,
18000.000,-2285.5726,3085.8423,-2173.1572,3739.2632,5774.9943,1591.1916,5339.2217,-4650.4851,-6627.3749,-2232.1229,0.0000,3464.4782,1853.2928,-4783.7685,-3500.9353,-4330.7918,5869.9715,4354.0477,4269.5576,5807.1036,-160197.6153,-134112.9115,-150272.1025,-144474.7205,-151179.3380,-142694.8068,-147361.1252,-146850.2272,-223375874.6625,-223313081.9823,-223344943.1541,-223361328.8417,-146644.9605,-223356085.5786,5653.3711,4880.8039,-5438.4585,-5787.2476,2470.2925,3986.9494,1773.3485,4964.1034,-1153.1763,4564.0785,0.0000,5565.7538,-4709.8676,2722.4864,-4588.5112,5179.6642,-2155.2721,-1545.3190,-2047.0663,-2776.2189,-299264.3391,-304936.0145,-307121.6290,-316590.6419,-314781.3958,-308720.9039,-314538.1534,-311752.1169,-210396607.5956,-210415425.8234,-210403047.5579,-210399466.2046,-311540.4317,-210397828.5539,3301.0212,-3834.7056,-3723.1315,-725.3093,2918.5168,5332.9878,3886.3516,1272.2672,389.6547,-4701.1521,0.0000,2240.1798,4714.0264,-4228.5387,-3872.0061,31.9368,-3010.1208,-5169.9999,-4943.9915,2581.2553,-122544.8078,-125619.6854,-124885.9734,-126328.3856,-119637.4550,-129835.8419,-135949.6705,-125395.1781,-48862744.8107,-48853005.9445,-48878654.8208,-48851876.3559,-127132.5489,-48857817.1349,
21600.000,106.5663,-4049.5766,4893.6242,-1248.7593,-6705.3612,-5148.4460,-6826.6023,3029.9368,5099.1097,-2059.0442,0.0000,-3986.1319,2360.2869,1465.8534,-195.4345,1256.8537,-5258.7989,-4457.8187,-294.4525,-2614.7350,-81045.4558,-52293.9148,-66529.6882,-61655.5416,-68726.3657,-60920.1238,-65234.2285,-64559.9707,-161255406.3378,-161188216.5440,-161226194.2379,-161230784.4350,-64361.4568,-161235067.9736,-6935.7151,-962.5110,4890.7344,5159.1273,-1110.3915,-1019.3409,58.3827,-5440.6980,-1290.0262,-3848.0807,0.0000,-2266.6710,3687.1483,-5090.6169,1589.9812,-4923.6218,4497.7032,4845.1323,4688.4653,4449.3745,-330921.4065,-328874.3751,-333242.8092,-344634.9904,-341252.9923,-335334.3740,-342599.3449,-338218.6482,-261056057.3570,-261062523.8872,-261055429.8139,-261060869.4599,-338556.5919,-261056244.8006,100.3574,5530.4604,507.3532,4442.0905,1337.2015,-4410.8496,461.3856,3010.5929,4204.5241,5360.4722,0.0000,-5200.9490,-5366.4612,4472.9227,6749.8894,-4448.4003,-511.6429,2160.2760,4966.4912,-4641.3298,-121327.2595,-124325.2809,-123604.6311,-122640.9785,-119027.5580,-131448.8968,-133209.5700,-127580.3488,-48791007.2454,-48786664.3107,-48810472.0877,-48785219.7804,-125793.5952,-48789084.6495,
25200.000,2158.5977,4906.8648,-5676.7645,-2607.2788,4872.2193,6731.3445,4743.8063,522.0814,-827.0405,5578.4222,0.0000,4347.5097,-5802.0056,1633.9269,1590.8212,3469.6159,2611.9092,3234.6387,-2766.1107,-1249.3051,4002.7069,32733.2226,21477.2473,25397.3953,17787.1805,24696.7716,21651.5708,22688.1425,-88136803.1514,-88068959.2065,-88112343.4517,-88107866.5251,22138.8999,-88116433.5404,5616.7918,-2991.5574,-2621.8068,-3376.6122,-1132.1078,-1238.4079,-2030.0596,4240.5575,4258.9121,3074.2370,0.0000,-2049.8308,-2644.0555,6426.3209,3615.6501,2800.9139,-5243.4210,-5740.6960,-6094.6570,-5593.1249,-341971.5597,-331446.0137,-338293.1345,-350416.1546,-346211.8384,-341296.9045,-349064.5828,-344439.7853,-293896423.9027,-293889593.5684,-293890451.9077,-293894091.3482,-344201.1923,-293895422.5632,-3457.1958,-3874.5870,2996.4259,-5461.6823,-4799.0920,350.4944,-4498.3928,-5448.6619,-5160.7162,-2706.7948,0.0000,4984.3475,2689.5613,-2046.8095,-5717.7583,5060.5539,3709.6483,2140.1320,-1427.3412,3903.3270,-120138.4869,-123042.5480,-122896.5069,-119429.0116,-119114.5942,-132147.5974,-129681.7448,-122786.4445,-48719140.7158,-48720330.9750,-48741329.8579,-48723228.8837,-124441.2226,-48720347.7111,
28800.000,-4444.8169,-4665.8136,4979.3454,5955.5908,-1723.2689,-4894.1097,-619.9197,-4525.9985,-2891.8598,-6492.9981,0.0000,-4316.7423,6605.1651,-3704.5549,118.2033,-6585.6350,1356.7604,-140.9443,4013.0886,4124.5931,89642.0796,115549.2156,108168.5574,111035.7758,103149.3387,109289.7327,107570.1143,106512.3898,-9010736.5681,-8946105.6814,-8992945.2114,-8986812.2964,107391.1269,-8990862.8415,-2450.0947,5120.7239,-1075.6602,1646.9312,4084.4790,2730.5983,4306.5806,-2671.5337,-5867.4729,-1733.5162,0.0000,5130.3662,1273.2094,-5639.2384,-6819.5210,-561.1263,4929.4267,4628.0108,4553.7278,5516.1346,-331402.4473,-312576.8263,-322002.8125,-333970.9391,-329173.1350,-326010.6321,-332893.8675,-328091.1745,-306677951.9993,-306658125.5870,-306669621.3281,-306669123.4444,-328076.3625,-306675882.8369,4721.5760,-165.2137,-4713.5751,3124.0726,5316.5275,3935.3852,5272.1948,4494.9768,1611.0863,-1652.8796,0.0000,-1759.9428,1626.4291,-1624.0209,1315.3348,-1383.7632,-4693.9602,-5161.6402,-3164.3814,-835.8528,-118977.7916,-121765.9468,-122589.0671,-116700.2509,-120121.4558,-132064.5503,-125239.3439,-124680.1122,-48647347.9281,-48653993.3566,-48671082.1146,-48659729.3833,-123075.5544,-48651606.3469,
