sl_20_86400_20240615 Coordinates.csv
2024/06/15 07:47:00.0000 UTC

Generated: Tue Oct  8 16:56:44 2024,
Start: 2024/06/15 07:47:00.00, Stop: 2024/06/16 07:47:00.00,
TIME_UNITS,STARLINK-31511 - X-Coordinate,STARLINK-30763 - X-Coordinate,STARLINK-1488 - X-Coordinate,STARLINK-5406 - X-Coordinate,STARLINK-5925 - X-Coordinate,STARLINK-5293 - X-Coordinate,STARLINK-5295 - X-Coordinate,STARLINK-32160 - X-Coordinate,STARLINK-31458 - X-Coordinate,STARLINK-3231 - X-Coordinate,STARLINK-2500 - X-Coordinate,STARLINK-3993 - X-Coordinate,STARLINK-1660 - X-Coordinate,STARLINK-3705 - X-Coordinate,STARLINK-3334 - X-Coordinate,STARLINK-2115 - X-Coordinate,STARLINK-1676 - X-Coordinate,STARLINK-30405 - X-Coordinate,STARLINK-11265 [DTC] - X-Coordinate,STARLINK-3879 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31511 - Y-Coordinate,STARLINK-30763 - Y-Coordinate,STARLINK-1488 - Y-Coordinate,STARLINK-5406 - Y-Coordinate,STARLINK-5925 - Y-Coordinate,STARLINK-5293 - Y-Coordinate,STARLINK-5295 - Y-Coordinate,STARLINK-32160 - Y-Coordinate,STARLINK-31458 - Y-Coordinate,STARLINK-3231 - Y-Coordinate,STARLINK-2500 - Y-Coordinate,STARLINK-3993 - Y-Coordinate,STARLINK-1660 - Y-Coordinate,STARLINK-3705 - Y-Coordinate,STARLINK-3334 - Y-Coordinate,STARLINK-2115 - Y-Coordinate,STARLINK-1676 - Y-Coordinate,STARLINK-30405 - Y-Coordinate,STARLINK-11265 [DTC] - Y-Coordinate,STARLINK-3879 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31511 - Z-Coordinate,STARLINK-30763 - Z-Coordinate,STARLINK-1488 - Z-Coordinate,STARLINK-5406 - Z-Coordinate,STARLINK-5925 - Z-Coordinate,STARLINK-5293 - Z-Coordinate,STARLINK-5295 - Z-Coordinate,STARLINK-32160 - Z-Coordinate,STARLINK-31458 - Z-Coordinate,STARLINK-3231 - Z-Coordinate,STARLINK-2500 - Z-Coordinate,STARLINK-3993 - Z-Coordinate,STARLINK-1660 - Z-Coordinate,STARLINK-3705 - Z-Coordinate,STARLINK-3334 - Z-Coordinate,STARLINK-2115 - Z-Coordinate,STARLINK-1676 - Z-Coordinate,STARLINK-30405 - Z-Coordinate,STARLINK-11265 [DTC] - Z-Coordinate,STARLINK-3879 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3242.0732,-717.6210,3977.5847,-3437.0710,663.5052,1927.8161,-3060.0120,2010.4986,5155.2213,2526.4728,-1013.1254,2183.7420,-2081.9432,1965.6953,-1544.5407,3447.6317,-789.0308,-5554.2555,-5639.5453,3287.6421,376338.6965,397477.7459,390366.1998,385513.9395,391112.7494,388450.6396,394867.5861,389025.9932,-258253069.1050,-258192647.9349,-258221131.9739,-258239224.6190,390604.8868,-258233737.5544,4745.7960,-6032.4021,-4833.4603,-6006.0350,-4596.6612,2348.2351,-4738.8283,6353.4951,4321.0097,-5706.8592,4362.1620,-6342.8355,-6475.2536,3697.6987,5353.8490,5212.5715,-6391.0323,-370.0881,1830.1329,3754.3842,108157.6831,93959.8665,95136.0143,99881.1860,94239.0774,97267.0150,102805.1441,101517.4110,54013717.3709,53993828.1369,54003985.6950,54023357.7201,100897.1640,54013697.3490,3666.3632,3139.8712,2220.8123,474.8468,-5181.6909,-6260.8917,4055.2976,1476.6329,1152.1371,2975.8720,-5290.3362,1685.0020,-1325.1131,5497.2300,-4105.9372,2982.0078,2547.6403,3970.8306,3154.5053,4783.3656,-12259.5033,-16248.1169,-17273.5025,-8532.4556,-11816.8751,-22437.4368,-20981.6218,-14652.5227,56145138.7657,56158323.0606,56132487.2466,56146398.3618,-15156.6037,56151747.1940,
3600.000,-1345.5391,3215.8884,-1622.9045,4682.1736,2224.3318,-5509.5274,3962.1348,-3400.6186,-5985.5213,-1165.3566,-1962.8325,-598.0170,3217.2175,-5602.8808,-177.0072,-5006.6455,2337.6937,2679.5032,1144.0345,-6089.6162,337564.7568,357892.7755,350616.9664,347613.5392,353408.8154,350431.8399,355769.6526,354041.8836,-263396849.9643,-263331035.4336,-263364661.7764,-263386281.6452,352448.1259,-263376790.4789,-4927.9871,2591.2461,5654.1103,3541.7763,1155.9955,-2880.8200,5670.6560,-3135.0498,-1713.6034,6691.4181,-6158.2686,6363.3814,3845.6057,-2313.6275,-6913.0629,-4621.3879,6284.1884,-3181.3047,-3876.5901,-3025.3796,198274.8869,191079.9293,190383.4479,195688.5007,189139.4296,191581.2185,197931.1689,195980.5647,-14714827.9785,-14723022.3630,-14717011.2047,-14709527.7548,196078.4776,-14713963.8396,-4525.5380,-5460.3193,3078.2698,-3703.5774,6473.0482,3104.6273,682.1572,-5026.7801,2785.1584,1315.7161,2478.8871,2643.7578,4772.5013,-3344.0149,107.2626,1258.3213,1741.9574,-5439.9740,-5375.0345,-1299.8192,-14307.2541,-17872.7568,-18201.3776,-11684.0557,-11661.0816,-21855.9271,-24623.9539,-17689.8627,56191449.9931,56199426.5870,56174562.0690,56195115.1094,-16807.6166,56195225.0269,
7200.000,5214.4644,-5520.4838,-2909.8726,-5087.0724,-5516.6320,5998.6712,-3097.4322,4560.5310,4435.8751,-1119.7577,3449.2805,-2017.0661,-4418.0352,6798.7655,1759.7905,4717.3238,-3422.0022,235.1262,3456.7110,6089.2889,277900.5820,294183.4821,288350.3489,287181.4475,292939.0339,290185.3708,293986.7779,290157.3003,-250564861.6290,-250497232.9404,-250535801.0948,-250550645.7671,291534.6813,-250544543.4808,3930.1637,1294.6155,-2814.2712,415.1218,1205.8222,3013.0830,-3618.9821,-1567.3139,-2300.6998,-4843.7812,5721.2222,-3895.3535,301.1857,901.3009,5407.9124,1775.3500,-3373.2035,6155.6391,5060.7898,1311.1382,275951.2070,274882.4848,273289.3224,278968.9498,271768.4256,273964.1069,279779.3705,278198.9056,-82421414.9885,-82416566.3852,-82416913.7810,-82422026.5023,278533.4465,-82419398.2105,1972.1003,3817.8087,-5291.9275,4689.3386,-4062.3843,1799.1227,-5072.9602,4821.6462,-4652.2730,-4817.3640,1824.0341,-5356.5913,-5334.7760,-916.0004,3929.2179,-4760.0862,-4997.7712,2969.9397,2746.6752,-3020.0758,-16398.5464,-19312.6811,-18754.4345,-15773.8520,-12002.1561,-20365.7095,-27503.9902,-17409.2971,56237976.9743,56240478.5786,56217423.1245,56243573.4116,-18457.3359,56238674.1343,
10800.000,-6321.1215,5796.6302,6280.3921,4801.2000,6691.1810,-3825.9470,2332.2757,-4727.0770,-1819.8100,4111.4876,-3983.0138,4997.6610,5199.8553,-5051.2893,-3753.6074,-3692.7742,4510.0680,-2123.9261,-5148.4262,-3906.0879,201093.1595,209909.4992,207578.8350,209523.9751,213493.5184,211224.1353,213807.2716,212860.1324,-220637492.1530,-220571913.2123,-220614228.2966,-220613438.4020,211818.1205,-220617456.1645,-1531.3277,-3592.4512,-676.3344,-4104.0827,-1744.5913,-1089.5967,-769.5640,4812.5753,5836.3768,1663.5266,-2605.1561,722.1532,-3746.1251,1152.6773,-1770.1835,2401.4909,-823.7175,-6300.2133,-3635.4471,1719.7181,336574.2276,341755.7978,338580.5110,344372.6392,336589.4130,340838.8243,343205.9269,343606.1481,-144485535.5459,-144467513.7600,-144476682.2407,-144485763.9311,342937.6396,-144482364.5957,2049.1873,556.9294,2057.2448,-2874.5545,-742.2487,-5710.5076,6492.7566,-1060.9145,3027.4502,5299.8116,-5037.9560,4720.1303,2623.0862,4576.5253,-5539.5298,5338.3555,5184.8530,1613.5941,2324.0488,5437.2220,-18535.8214,-20086.6784,-19226.4455,-20955.1688,-12828.5857,-18292.8433,-29699.0465,-21451.8398,56284520.3720,56281492.3728,56261211.4565,56287212.6565,-20105.6308,56282094.5087,
14400.000,4630.8289,-2928.9024,-5041.4287,-3387.3523,-4455.1415,1178.5600,-2652.2869,2585.1565,-851.1491,-6368.1857,4290.5260,-6632.0980,-4394.1531,1739.6102,5553.5148,2685.3864,-5129.0539,3443.3037,4025.6576,1253.6879,111837.1682,115157.6103,113460.4945,121376.5497,120168.7146,117786.5925,120546.2302,117868.5430,-175661665.9125,-175601846.9818,-175645496.7531,-175634234.3519,118466.1208,-175642382.9797,-2118.3682,4185.1731,2881.6532,6017.1992,1632.7335,-2699.1015,4868.2533,-5253.8035,-6715.9531,1027.8990,-1733.7585,1593.7190,5090.8277,-3945.3999,-1853.5417,-5798.2439,4091.4873,3067.2929,-767.2714,-5104.9649,376640.3457,388666.6650,382078.8843,386093.0116,379282.4496,388366.8566,384328.4797,384361.5503,-196672964.6169,-196642879.9123,-196663121.3371,-196665289.3694,385138.4478,-196668905.3367,-4544.2482,-4556.8384,3219.3057,-687.6470,5069.6392,6286.7063,-4202.8892,-3515.7104,848.1749,-2511.9281,5143.1139,-1175.6616,1662.1317,-5416.9948,3672.8935,-2689.2397,-2237.0707,-5061.9494,-5332.1439,-4508.0687,-20721.6671,-20799.7020,-19932.5210,-23231.5670,-14146.6151,-20924.4657,-31242.1633,-20290.7110,56330877.9249,56322480.4122,56306076.8705,56324764.7190,-21752.3709,56325486.1425,
18000.000,-1597.4937,-1790.7331,-229.0551,579.4255,70.2961,116.1531,3040.3473,1627.5324,3360.8789,6135.1659,-4282.0365,5452.9932,1358.5414,1208.9691,-5716.8315,-1301.6316,4057.7584,-4565.8203,-1895.2012,737.8892,15431.0691,13229.8209,12011.6630,23117.7349,19004.4176,16100.7079,20222.7661,17717.0418,-118710831.4975,-118659917.5300,-118701239.4891,-118689243.3733,17524.8845,-118692579.4382,5557.7179,-4001.4530,-4069.9523,-5758.1193,-2467.5319,6136.2010,-6229.9262,3753.4244,4298.8390,-2600.6770,5017.4748,-2895.9150,-4647.5383,6173.9535,3867.8426,6609.6144,-5210.0475,1561.5725,5388.5673,6836.9419,393960.5411,408735.4430,400950.7647,402791.5762,397009.1856,407091.4676,400727.1891,403168.0208,-235424672.6466,-235384736.5239,-235417472.1072,-235411838.4720,402423.1266,-235420188.6149,3612.8885,5242.1257,-5271.1935,3815.7724,-6505.9169,-3274.7824,-560.2216,5454.6898,-4104.0486,-1866.6168,-2123.4546,-3128.8468,-4961.3993,2868.7509,460.8118,-1626.3709,-2103.4109,4841.4935,3529.6732,758.2828,-22956.6532,-22088.4460,-21124.6263,-22363.2681,-15987.3713,-26340.8123,-32129.7740,-25057.5156,56376857.5460,56363454.5083,56352161.8593,56362255.0111,-23397.4255,56368849.0281,
21600.000,-1296.1923,5510.7701,4991.3789,3075.8380,3670.0792,-274.9447,-1753.8130,-5632.2738,-5311.7214,-3094.8957,2966.9493,-1783.0978,2837.1094,-2854.1627,3249.2501,-1070.7549,-866.5636,4767.5362,-262.9887,-2151.0438,-82690.7864,-90536.4799,-90235.2561,-77817.1723,-83435.4400,-86399.4870,-80833.3627,-84317.5502,-53674907.9827,-53635153.3976,-53669497.8784,-53661432.6310,-84473.1053,-53657698.9855,-6696.8605,3433.3773,3951.4649,4114.6109,4192.3454,-6745.6848,4542.5091,-1893.4970,-75.0895,3556.4362,-5851.4212,3842.9062,3561.1238,-6135.8801,-4305.2514,-4749.1289,4562.9341,-4772.9246,-6562.2135,-5605.8124,387806.1572,401580.5888,393908.9668,394229.7510,388606.5115,397947.5379,391554.7505,393232.4005,-258099569.9268,-258052819.8327,-258097913.5191,-258088177.3407,393693.2960,-258095200.9991,19.4351,-2167.7032,1903.1639,-4668.0324,4148.8577,-1676.7675,4951.0182,-3368.9520,4276.6746,5054.5622,-2226.4813,5460.6691,5212.1707,1437.5249,-4335.8192,4921.4807,5132.0774,-1159.5453,1418.2224,3432.8565,-25226.5147,-23571.1085,-22924.0201,-21700.3173,-18417.0180,-30866.2646,-32321.0286,-23347.9454,56422289.7624,56404426.0713,56399557.7762,56402206.0187,-25040.6640,56412183.1579,
25200.000,3575.1043,-6137.2651,-5550.7560,-6064.8122,-4768.0759,848.2932,-1677.5407,6712.7076,5688.3334,-1202.7272,110.9772,-2400.9105,-6032.9077,3682.4817,1006.6472,4190.5880,-3315.9741,-2750.3839,2763.9808,3682.9880,-178048.7399,-189343.0478,-186634.9522,-173997.6531,-180521.8833,-182799.3681,-176426.3650,-181262.0056,15005447.1199,15032874.4188,15010453.1827,15013719.2484,-180932.4956,15021869.4328,4523.4770,-1708.4425,-1440.9012,-2004.7311,-5026.2500,4001.2747,-1752.8172,78.5819,-3552.2013,-4496.9461,4582.9520,-4753.1724,-2513.9329,3250.9034,4086.0161,1737.8713,-3389.7388,5276.0158,3375.7222,1974.6210,358934.4336,367933.7666,361342.9726,360525.0823,354701.6102,362847.9734,357537.9780,359697.4099,-263154519.0675,-263104454.2081,-263159511.2593,-263149619.3983,359534.6676,-263150739.9292,-3652.4644,-2499.9857,3347.0283,2700.3967,564.7897,5610.4482,-6522.4328,-1245.2839,-1264.3815,-5125.1955,5182.4698,-4425.0325,-2309.1872,-4877.9562,5479.2987,-5243.6766,-5058.4432,-3386.7165,-5117.4910,-5521.6195,-27370.8040,-25147.5889,-25288.7225,-21534.9873,-21559.1026,-34498.6709,-31729.5974,-28471.0340,56467038.6899,56445406.3181,56448208.7702,56444773.2664,-26681.9557,56455488.5244,
28800.000,-5092.9436,3974.5984,2628.4489,6879.2529,3638.4841,-2853.4699,5460.8681,-4218.5000,-3502.3866,4451.3445,-4012.8412,4971.3846,6542.6882,-4350.0378,-4843.5551,-6466.4671,6275.3024,-1344.5959,-5047.2481,-5157.7345,-268507.3109,-276638.5749,-270879.0947,-258863.2406,-266039.1005,-266878.3946,-261047.1851,-265313.2422,82642085.2759,82657151.9635,82650671.2948,82650437.5762,-265622.1499,82658178.4022,-192.6475,-1565.9914,-3157.6353,-147.4043,3192.5157,142.6000,-21.0438,2153.9429,5196.5538,4905.3050,-2652.8596,4771.2476,1047.1832,1073.2367,-3744.0250,787.7565,2248.9520,-3876.8535,1404.3713,1961.3985,303646.7123,310030.6184,305340.7592,303610.8152,297822.5774,304624.1758,300848.2437,302480.8148,-250249343.3626,-250199530.4457,-250259538.1233,-250252492.8892,302177.5752,-250246439.1632,4527.0232,5334.1406,-5247.2327,871.2529,-4998.7527,-6345.6976,4293.9050,4906.4963,-2710.1523,1987.3942,-4990.1309,615.4988,-2031.0401,5261.7017,-3228.6324,2350.7036,1879.8727,5465.7227,4198.1320,4165.1083,-27963.0828,-26780.0009,-28024.7306,-21865.7443,-25638.6221,-37368.0230,-30228.6532,-26608.3071,56511010.8328,56486406.4668,56497754.1772,56489719.0561,-28321.1701,56498765.1199,
