sl_5_5400_20240922 Coordinates.csv
2024/09/22 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:14 2024,
Start: 2024/09/22 07:47:00.00, Stop: 2024/09/22 09:17:00.00,
TIME_UNITS,STARLINK-11103 [DTC] - X-Coordinate,STARLINK-3864 - X-Coordinate,STARLINK-11256 [DTC] - X-Coordinate,STARLINK-4459 - X-Coordinate,STARLINK-2607 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11103 [DTC] - Y-Coordinate,STARLINK-3864 - Y-Coordinate,STARLINK-11256 [DTC] - Y-Coordinate,STARLINK-4459 - Y-Coordinate,STARLINK-2607 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11103 [DTC] - Z-Coordinate,STARLINK-3864 - Z-Coordinate,STARLINK-11256 [DTC] - Z-Coordinate,STARLINK-4459 - Z-Coordinate,STARLINK-2607 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5231.2109,-6002.8787,2294.3392,-6170.8620,-4201.1127,-164328.8230,-145937.5069,-146322.8829,-150548.0589,-145546.2782,-148118.2638,-154567.3096,-151655.6380,-170222123.5371,-170202755.0326,-170216351.6697,-170213532.3871,-152125.5923,-170219104.3801,-4192.7055,1723.5143,-3565.8408,3180.4820,-1748.5858,-312650.7171,-291309.6945,-301615.2248,-306433.2897,-300084.3857,-303038.0186,-297495.3023,-300994.2149,-53098314.3575,-53078503.5749,-53121410.7880,-53110434.6974,-301400.2985,-53117300.9858,675.4131,-2984.4141,5200.7479,69.2616,-5227.9913,153852.0708,148321.3629,147406.2011,155828.5450,152988.2360,142317.6175,143357.7380,151104.3873,77085306.9115,77057612.3299,77094465.0290,77079856.2044,149409.0613,77078395.0949,
300.000,-5574.6157,-4641.3675,758.3911,-6014.7481,-4148.5651,-157708.8048,-139778.6674,-139950.0119,-144231.8646,-139145.7576,-141675.3565,-148208.3871,-145288.3631,-169018750.7538,-169000191.0402,-169012419.4145,-169010413.0875,-145763.3156,-169015666.4880,-2892.6538,2757.4266,-4971.3234,2604.3224,401.5993,-316117.1469,-294469.8228,-304857.9940,-309522.5332,-303155.7415,-306140.4576,-300674.4336,-303634.1783,-56801854.1127,-56781902.9818,-56824656.1267,-56813476.4043,-304506.9539,-56820908.2527,2433.2649,-4333.6767,4445.0905,2278.8738,-5537.9572,153949.0262,148405.0887,147546.6787,155816.4711,153242.0691,142568.3800,143256.9733,151016.7758,77083515.6905,77055880.2076,77093008.6026,77077778.0145,149498.9465,77076821.8407,
600.000,-5336.2819,-2825.5490,-815.8562,-5190.2403,-3749.6067,-151014.5415,-133552.7671,-133516.1497,-137853.5673,-132686.6355,-135170.6824,-141781.7342,-138911.4151,-167734810.3720,-167717058.2720,-167727933.9313,-167726770.7913,-139337.6960,-167731658.0145,-1259.7369,3567.0540,-5864.0582,1773.5409,2519.0906,-319442.3594,-297502.4501,-307965.5926,-312477.9633,-306091.9193,-309104.6235,-303721.1978,-306204.4517,-60478170.0777,-60458097.2554,-60500652.8255,-60489340.6760,-307479.3515,-60497289.3179,3907.2710,-5217.9356,3166.6193,4245.2091,-5256.7232,154045.4900,148489.0047,147690.7648,155799.2519,153492.2068,142824.5594,143162.0821,150817.5723,77081721.3581,77054148.7833,77091539.2350,77075694.9110,149588.7232,77075248.5019,
900.000,-4554.9734,-738.0172,-2269.2153,-3776.2906,-3040.3143,-144249.0816,-127262.4474,-127024.1821,-131416.0113,-126171.5230,-128607.4001,-135290.2099,-132520.2236,-166370917.4177,-166353971.3272,-166363511.4041,-166363215.3193,-132851.5658,-166367694.0921,541.4236,4082.5291,-6137.6303,803.7771,4393.6143,-322624.7420,-300406.2411,-310936.6430,-315298.1993,-308891.7926,-311929.2567,-306633.9238,-308734.2108,-64125509.8606,-64105333.8674,-64147649.3245,-64136276.9225,-310316.2020,-64144691.6630,4925.6331,-5543.0707,1515.5317,5758.5299,-4414.0472,154141.4656,148573.1244,147838.3561,155776.7848,153738.6559,143086.2276,143072.9770,150529.0398,77079924.0143,77052418.0655,77090057.1077,77073609.5921,149678.3916,77073675.0784,
1200.000,-3324.7328,1412.9178,-3459.8079,-1919.7498,-2080.7683,-137415.5089,-120910.3773,-120477.0215,-124922.0721,-119603.0693,-121988.7080,-128736.7087,-126105.9371,-164927725.0258,-164911582.9201,-164919806.0683,-164920394.6880,-126307.7832,-164924427.9674,2323.9317,4256.5695,-5751.6614,-179.5466,5837.9733,-325662.7487,-303179.9197,-313769.8305,-317981.9085,-311554.2878,-314613.1693,-309411.0200,-311245.1975,-67742134.9458,-67721874.1564,-67763907.9820,-67752547.8814,-313016.2759,-67761376.6506,5369.8837,-5274.5704,-313.9071,6657.8862,-3099.3195,154236.9561,148657.4623,147989.3421,155748.9618,153981.4255,143353.4593,142989.5733,150179.1525,77078123.7601,77050688.0631,77088562.4110,77071524.4603,149767.9514,77072101.5702,
1500.000,-1783.1414,3413.7910,-4276.9654,180.6186,-950.4883,-130516.9408,-114499.2519,-113877.6051,-118374.6553,-112983.9595,-115317.8447,-122124.1590,-119656.6352,-163405924.1267,-163390583.5674,-163397509.8973,-163398994.8429,-119709.2315,-163402550.6880,3898.1262,4068.5657,-4737.8399,-1057.3097,6706.8770,-328554.9013,-305822.2691,-316463.9050,-320527.8057,-314078.3845,-317155.2468,-312050.9736,-313750.3755,-71326321.5217,-71305994.1565,-71347705.8992,-71336430.5126,-315578.4040,-71345620.3524,5188.4220,-4440.9453,-2106.4783,6847.9860,-1452.5759,154331.9646,148742.0337,148143.6059,155715.6693,154220.5258,143626.3316,142911.7893,149799.6893,77076320.6983,77048958.7849,77087055.3432,77069441.6444,149857.4028,77070527.9774,
1800.000,-95.7152,5066.8670,-4651.2726,2295.8350,257.5563,-123556.5269,-108031.7912,-107228.8941,-111776.6955,-106316.9114,-108598.0883,-115455.5214,-113158.7140,-161806243.1160,-161791701.2578,-161797352.2714,-161799739.3615,-113058.8177,-161802790.7714,5091.7391,3527.0631,-3197.5340,-1731.0277,6912.1195,-331299.7896,-308332.1332,-319017.6811,-322934.6522,-316463.1162,-319554.4492,-314552.3495,-316253.1240,-74876361.3029,-74855985.4190,-74897335.7387,-74886216.8803,-318001.4777,-74895714.3712,4402.3055,-3130.9054,-3651.7998,6308.8361,350.0157,154426.4942,148826.8549,148301.0240,155676.7877,154455.9687,143904.9242,142839.5465,149424.2580,77074514.9326,77047230.2396,77085536.1094,77067363.0233,149946.7455,77068954.3000,
2100.000,1561.8458,6209.7014,-4559.6507,4191.7441,1444.1091,-116537.4475,-101510.7393,-100533.8714,-105131.1563,-99604.6743,-101832.7565,-108733.7872,-106598.3646,-160129447.5063,-160115701.1034,-160120099.6291,-160123389.1270,-106359.4712,-160125913.8567,5768.8482,2670.3186,-1291.1888,-2133.8751,6432.2037,-333896.0728,-310708.4176,-321430.0385,-325201.2548,-318707.5716,-321809.8116,-316913.7903,-318746.9443,-78390562.3440,-78370155.8268,-78411106.5348,-78400215.0204,-320284.4498,-78409966.6552,3102.9011,-1484.4178,-4769.2664,5097.6810,2114.9712,154520.5478,148911.9435,148461.4668,155632.1913,154687.7664,144189.3190,142772.7692,149086.2867,77072706.5679,77045502.4363,77084004.9203,77065290.2498,150035.9796,77067380.5379,
2400.000,3021.9330,6731.5514,-4025.2778,5655.0476,2511.4423,-109462.9123,-94938.8625,-93795.5402,-98441.0284,-92850.0259,-95025.2073,-101961.9766,-99963.0735,-158376339.5602,-158363384.9741,-158366555.1005,-158370741.9777,-99614.1424,-158372722.3377,5845.7516,1564.5344,778.9262,-2237.3641,5314.9435,-336342.4792,-312950.0899,-323699.9233,-327326.4649,-320810.8944,-323920.4465,-319134.0150,-321215.6807,-81867249.8456,-81846830.4012,-81887344.4966,-81876749.7952,-322426.3347,-81886702.3045,1441.5431,321.8341,-5328.8908,3343.2036,3652.5656,154614.1283,148997.3181,148624.7986,155581.7477,154915.9318,144479.5999,142711.3848,148816.9951,77070895.7103,77043775.3840,77082461.9917,77063224.7744,150125.1050,77065806.6912,
