sl_20_5400_20250312 Coordinates.csv
2025/03/12 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:57 2024,
Start: 2025/03/12 07:47:00.00, Stop: 2025/03/12 09:17:00.00,
TIME_UNITS,STARLINK-30585 - X-Coordinate,STARLINK-2537 - X-Coordinate,STARLINK-5721 - X-Coordinate,STARLINK-4194 - X-Coordinate,STARLINK-30236 - X-Coordinate,STARLINK-5496 - X-Coordinate,STARLINK-2449 - X-Coordinate,STARLINK-5210 - X-Coordinate,STARLINK-4407 - X-Coordinate,STARLINK-1414 - X-Coordinate,STARLINK-3878 - X-Coordinate,STARLINK-2343 - X-Coordinate,STARLINK-1527 - X-Coordinate,STARLINK-3113 - X-Coordinate,STARLINK-11255 [DTC] - X-Coordinate,STARLINK-3238 - X-Coordinate,STARLINK-2392 - X-Coordinate,STARLINK-3088 - X-Coordinate,STARLINK-5925 - X-Coordinate,STARLINK-5829 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30585 - Y-Coordinate,STARLINK-2537 - Y-Coordinate,STARLINK-5721 - Y-Coordinate,STARLINK-4194 - Y-Coordinate,STARLINK-30236 - Y-Coordinate,STARLINK-5496 - Y-Coordinate,STARLINK-2449 - Y-Coordinate,STARLINK-5210 - Y-Coordinate,STARLINK-4407 - Y-Coordinate,STARLINK-1414 - Y-Coordinate,STARLINK-3878 - Y-Coordinate,STARLINK-2343 - Y-Coordinate,STARLINK-1527 - Y-Coordinate,STARLINK-3113 - Y-Coordinate,STARLINK-11255 [DTC] - Y-Coordinate,STARLINK-3238 - Y-Coordinate,STARLINK-2392 - Y-Coordinate,STARLINK-3088 - Y-Coordinate,STARLINK-5925 - Y-Coordinate,STARLINK-5829 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30585 - Z-Coordinate,STARLINK-2537 - Z-Coordinate,STARLINK-5721 - Z-Coordinate,STARLINK-4194 - Z-Coordinate,STARLINK-30236 - Z-Coordinate,STARLINK-5496 - Z-Coordinate,STARLINK-2449 - Z-Coordinate,STARLINK-5210 - Z-Coordinate,STARLINK-4407 - Z-Coordinate,STARLINK-1414 - Z-Coordinate,STARLINK-3878 - Z-Coordinate,STARLINK-2343 - Z-Coordinate,STARLINK-1527 - Z-Coordinate,STARLINK-3113 - Z-Coordinate,STARLINK-11255 [DTC] - Z-Coordinate,STARLINK-3238 - Z-Coordinate,STARLINK-2392 - Z-Coordinate,STARLINK-3088 - Z-Coordinate,STARLINK-5925 - Z-Coordinate,STARLINK-5829 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3368.9714,3269.8898,-5593.5067,-5518.6168,2402.3895,5974.5889,4364.5792,4528.5387,5899.5564,1287.2379,4150.1700,6067.0044,-5715.7491,4089.2184,4699.8558,3382.6664,-1750.1844,5692.4758,6352.7478,-3974.6634,281495.0960,259501.6719,262390.1491,267342.1790,260942.6702,263861.1834,269291.2235,267913.4915,129311770.5002,129299375.6835,129295601.9551,129301917.9343,267690.0763,129295893.6490,-5227.6226,-3279.8814,191.8170,2070.2066,6469.7645,3455.5617,-2199.0197,476.9951,-2666.8631,-4291.6397,5527.3104,2001.6923,-1436.7378,1138.1140,3181.7225,2411.8903,4094.4139,-1469.2294,-2000.9889,-1675.5554,-266290.7305,-292112.8603,-274017.3359,-271180.7987,-276434.1180,-274202.3155,-280776.3617,-274831.7566,-8101933.5458,-8102384.9870,-8121024.7236,-8107610.8188,-276587.7572,-8113386.9052,3059.0639,-5134.7511,4092.6985,3611.7756,675.4325,-705.8930,4894.0521,-5206.3098,2500.3189,-5281.8271,133.3606,-2667.4107,-3613.8131,5454.7931,-3632.1916,5521.7728,-5305.9470,3696.8107,1978.6413,5432.2393,98770.2762,93818.7299,92687.6540,100466.5553,98403.8263,87687.0490,88007.2177,94081.6728,61320871.5555,61298053.9185,61294349.7652,61314501.4867,94429.1428,61315029.7472,
300.000,-4332.5182,1244.3952,-5832.0274,-3956.6212,3642.0426,6305.6311,4107.3615,5224.6367,5029.2194,-474.3462,4921.1663,6800.6041,-6594.0083,4848.1765,5990.0849,4605.2394,-88.1214,4152.7233,5260.5127,-5092.9311,287086.0014,265634.2979,268256.3126,273205.8735,266730.7361,269610.6678,275125.2116,273564.7716,129462491.7328,129450138.1346,129446923.2291,129452188.2713,273515.5267,129446709.4558,-3575.3492,-3976.8901,2097.4374,3051.3764,5493.8422,1911.8445,-4066.5642,-1383.9156,-1795.5773,-5272.7239,4563.0113,865.3193,-176.4799,-815.6888,2274.9647,655.6237,5252.6804,-1902.0229,-2360.5577,-2803.6629,-260202.6531,-286489.5825,-268190.9115,-265507.8439,-270756.3506,-268498.1852,-275001.3104,-269078.1233,-5273354.2369,-5273516.0637,-5292247.4107,-5278724.0366,-270886.1410,-5284819.2693,4057.0278,-5518.5368,3111.3107,4774.3210,2148.2019,-2175.6926,3801.3292,-4315.8670,4428.3481,-4466.0826,-1666.0152,-958.2731,-2066.4431,4859.3257,-2082.1352,5110.5109,-4514.5721,5228.3910,3872.4363,3787.6560,98650.2834,93683.3978,92632.0598,100231.3462,98434.8224,87736.6766,87706.7675,94428.3994,61322636.2198,61300003.3848,61295923.8203,61316629.7102,94307.0175,61316565.5250,
600.000,-4915.3706,-890.7352,-5530.0363,-2008.5137,4548.9229,6040.0300,3483.9087,5440.2071,3585.1872,-2153.1126,5217.1579,6858.8365,-6820.0352,5171.6289,6631.1891,5412.3801,1543.2320,2190.9028,3624.4544,-5628.1750,292544.1450,271645.6489,274003.1349,278949.5251,272401.1878,275240.2004,280833.8736,279091.7900,129551338.6710,129539013.2399,129536360.6066,129540536.0989,279219.5553,129535650.9784,-1576.8157,-4340.4222,3781.7934,3782.7002,3980.7603,166.8032,-5518.8380,-3076.9495,-784.7996,-5768.0907,3133.0021,-346.1742,1078.5090,-2658.5382,1147.0750,-1126.3754,5924.3016,-2210.7076,-2530.6047,-3671.0222,-253998.0550,-280736.2881,-262243.7491,-259712.4814,-264957.4337,-262675.5041,-269101.5619,-263341.6457,-2442062.9737,-2441933.7376,-2460733.2422,-2447186.1187,-265061.7712,-2453535.8428,4620.6843,-5309.1220,1797.3570,5422.2056,3390.9710,-3413.2113,2299.6055,-2961.0597,5884.2403,-3171.8817,-3285.6401,853.9487,-295.9314,3740.4747,-289.3994,4148.5261,-3239.6825,6204.3400,5354.5438,1739.1740,98529.8960,93548.0621,92579.5994,99990.9902,98462.1286,87791.8958,87412.0744,94766.2155,61324398.1140,61301960.4093,61297505.3842,61318757.4217,94184.8369,61318101.2778,
900.000,-5066.5619,-2922.9647,-4706.3717,129.4265,5047.0571,5212.0575,2539.4147,5140.4566,1717.4541,-3592.6867,5024.7774,6236.0613,-6366.2121,5015.8739,6555.4407,5714.6984,2993.0882,8.4557,1609.4256,-5537.4001,297867.1284,277532.9488,279628.0569,284570.5579,277951.2815,280747.5485,286414.5978,284510.7393,129578264.8312,129565954.4271,129563866.5777,129566919.5618,284799.5739,129562671.5682,573.2526,-4331.6833,5089.2568,4198.6494,2075.2554,-1619.8722,-6415.4355,-4442.4630,236.5427,-5717.0685,1369.9735,-1532.9918,2222.6506,-4213.1423,-101.4176,-2763.4502,6032.2435,-2376.9949,-2513.6265,-4159.1242,-247679.8546,-274855.5723,-256178.5176,-253797.4167,-259039.7756,-256736.8704,-263080.0431,-257616.6806,390586.8803,391007.9153,372164.0417,385643.2479,-259117.2335,379110.0072,4689.7904,-4528.8614,291.2397,5485.8191,4270.7638,-4286.7625,550.3392,-1287.1729,6713.4038,-1537.3812,-4551.2895,2574.1999,1506.5517,2218.4835,1537.0849,2739.1799,-1617.3130,6521.5723,6267.9419,-494.8790,98409.1167,93412.7245,92530.1401,99745.3810,98485.7612,87852.7830,87123.0560,95061.7670,61326157.1360,61303925.0011,61299094.5543,61320880.2059,94062.6014,61319637.0055,
1200.000,-4772.0361,-4651.4040,-3429.5276,2243.1001,5096.8276,3908.1867,1348.7241,4339.6213,-374.0485,-4663.2456,4376.3906,4995.6131,-5274.0370,4381.5459,5774.0559,5469.7851,4131.7220,-2171.0075,-579.7460,-4848.8188,303052.6179,283293.4766,285128.5751,290066.4542,283378.3362,286130.5524,291864.8396,289835.9125,129543253.3292,129530944.7551,129529423.2419,129531327.4770,290253.0498,129527754.1757,2665.5154,-3942.1966,5902.4765,4258.3266,-38.7950,-3281.8705,-6673.0047,-5355.8806,1146.2698,-5110.9272,-557.8476,-2596.6390,3161.8323,-5333.8751,-1356.8992,-4103.1374,5553.2970,-2388.2500,-2323.7679,-4189.6942,-241251.0188,-268850.0896,-249997.9359,-247765.4243,-253005.8477,-250684.9268,-256939.7205,-251887.9614,3223241.2273,3223954.0703,3205089.9225,3218404.1654,-253055.1677,3211764.1724,4256.9158,-3261.1263,-1246.0220,4958.2977,4693.5601,-4703.6813,-1258.1793,525.5981,6828.1307,262.2759,-5327.3937,4017.2421,3146.0518,457.2807,3184.0586,1034.2783,178.7598,6146.7788,6516.2387,-2676.1962,98287.9480,93277.3868,92483.5436,99494.4071,98505.7371,87919.4170,86839.6335,95285.3104,61327913.1848,61305897.1603,61300691.4279,61322993.1889,93940.3108,61321172.7083,
1500.000,-4055.9397,-5906.6471,-1812.1708,4122.0583,4697.6974,2257.7042,10.8483,3101.6304,-2461.1896,-5273.3993,3344.9466,3263.0383,-3650.3256,3315.4561,4375.6181,4688.1997,4862.1729,-4124.7117,-2719.4559,-3656.7479,308098.3451,288924.5680,290502.2429,295434.7552,288679.7349,291387.1283,297182.1213,295078.2747,129446316.8892,129433996.9250,129433042.3203,129433779.3620,295577.5061,129430911.3609,4496.4474,-3195.9436,6152.9744,3949.4707,-2156.3706,-4661.5736,-6273.2207,-5739.3379,1843.4645,-3995.6953,-2462.9396,-3447.7793,3820.8274,-5920.7433,-2502.7398,-5025.5808,4522.2409,-2238.2632,-1983.8823,-3736.0857,-234714.5618,-262722.5526,-243704.7724,-241619.3483,-246858.1821,-244522.3588,-250683.5998,-246132.1349,6054545.8824,6055549.8028,6036689.7509,6049737.4168,-246878.2674,6043072.4505,3368.2366,-1641.8458,-2650.2232,3896.2464,4614.2194,-4619.8550,-2931.4239,2281.5739,6216.4022,2033.7060,-5531.1569,5027.8742,4445.2860,-1353.2398,4459.3094,-782.2426,1955.5894,5119.6845,6073.4144,-4572.6220,98166.3925,93142.0510,92439.6657,99237.9513,98522.0739,87991.8789,86561.7306,95412.4227,61329666.1608,61307876.8770,61302296.1025,61325091.0994,93817.9654,61322708.3860,
1800.000,-2978.8887,-6567.7496,-1.1241,5580.5713,3887.6748,419.8076,-1359.0646,1535.4869,-4312.5367,-5377.9938,2035.5266,1212.8413,-1656.3261,1907.6865,2515.4694,3434.0859,5128.4723,-5653.5574,-4590.2201,-2108.6186,313002.1077,294423.6159,295746.6706,300673.0628,293852.9242,296515.2712,302364.0333,300244.3437,129287497.8403,129275153.2771,129274765.1527,129274325.3977,300770.5234,129272185.2894,5888.2620,-2148.9527,5826.6164,3290.5342,-4071.2817,-5624.7598,-5263.6562,-5568.3345,2259.6359,-2469.2366,-4156.5896,-4013.3530,4148.8180,-5928.3987,-3429.8797,-5454.3756,3029.9392,-1928.4807,-1522.7733,-2828.3301,-228073.5431,-256475.7309,-237301.8429,-235362.1033,-240599.3711,-238251.8931,-244314.7255,-240319.6606,8883147.2213,8884440.7369,8865609.3944,8878285.3748,-240589.2783,8871681.1924,2118.7416,154.6712,-3771.7106,2413.8879,4041.1909,-4044.1764,-4289.9071,3791.0402,4943.0360,3586.3600,-5140.9234,5497.6106,5264.0024,-3018.0316,5214.3268,-2514.4405,3522.0710,3549.0053,4986.3468,-5983.3149,98044.4525,93006.7189,92398.3571,98975.8905,98534.7893,88070.2516,86289.2745,95425.3569,61331415.9656,61309864.1306,61303908.6755,61327168.3666,93695.5651,61324244.0387,
2100.000,-1633.2011,-6574.4303,1836.1070,6476.3657,2739.7234,-1431.5754,-2639.4952,-214.3307,-5719.1149,-4980.9550,574.6738,-949.5040,508.7929,284.0328,397.7913,1820.0323,4919.4826,-6602.7903,-5999.2886,-386.2767,317761.7711,299788.0727,300859.5270,305779.0406,298895.4151,301513.0579,307408.2345,305335.4143,129066868.0976,129054485.7731,129054662.6807,129053046.3136,305829.7408,129051647.7138,6706.4886,-885.9266,4963.5501,2330.4279,-5596.3034,-6073.5627,-3751.6365,-4872.6306,2365.5008,-672.6615,-5467.3101,-4242.4666,4122.6791,-5369.1423,-4046.8752,-5362.5969,1215.3228,-1469.4757,-972.9372,-1551.2574,-221331.0666,-250112.4497,-230792.0097,-228996.6745,-234232.0644,-231876.2958,-237836.1809,-234416.9874,11707692.8271,11709273.6944,11690495.8842,11702692.9102,-234190.9970,11696237.9495,642.2092,1934.4484,-4491.3277,671.0065,3035.6423,-3037.6388,-5188.4895,4891.0620,3143.1605,4753.3470,-4198.3144,5376.0915,5514.0007,-4358.2497,5361.4182,-3975.8925,4709.8317,1601.3050,3370.0544,-6759.7894,97922.1305,92871.3927,92359.4636,98708.0956,98543.9010,88154.6195,86022.1954,95314.0667,61333162.5024,61311858.8885,61305529.2441,61329219.2587,93573.1101,61325779.6663,
2400.000,-135.2830,-5932.8608,3526.8293,6725.0099,1355.4016,-3124.0268,-3713.0785,-1981.3783,-6518.4712,-4133.0633,-901.5511,-3008.2783,2628.0997,-1405.3742,-1747.1507,-3.2951,4268.1133,-6878.3195,-6800.9462,1315.6015,322375.2683,305015.4503,305838.5401,310750.4150,303804.7831,306378.6503,312312.4528,310347.1558,128784529.1294,128772095.9650,128772835.4175,128770053.1875,310752.8566,128769399.9420,6873.3601,486.1150,3652.9720,1145.5955,-6581.6860,-5956.6020,-1892.2058,-3731.5303,2172.7339,1222.9667,-6258.1358,-4110.7639,3748.0373,-4309.8050,-4288.6038,-4773.4708,-747.8431,-882.2343,-368.8757,-36.1946,-214490.2788,-243635.5887,-224178.1800,-222526.1191,-227758.9687,-225398.3707,-231251.0867,-228388.9526,14526832.1371,14528697.3430,14509998.0625,14521608.2763,-227686.2700,14515392.1205,-903.1434,3505.0745,-4732.8440,-1144.3044,1705.0715,-1707.1296,-5531.5616,5463.1193,1008.2891,5409.4570,-2804.0524,4676.2954,5168.3767,-5230.4970,4883.5678,-5009.9207,5391.4288,-516.5319,1395.8907,-6820.7714,97799.4287,92736.0744,92322.8260,98434.4311,98549.4263,88245.0681,85760.4264,95076.9022,61334905.6759,61313861.1061,61307157.9051,61331238.0584,93450.6004,61327315.2689,
