sl_20_5400_20251023 Coordinates.csv
2025/10/23 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:54 2024,
Start: 2025/10/23 07:47:00.00, Stop: 2025/10/23 09:17:00.00,
TIME_UNITS,STARLINK-31898 - X-Coordinate,STARLINK-1138 - X-Coordinate,STARLINK-5625 - X-Coordinate,STARLINK-31923 - X-Coordinate,STARLINK-11289 [DTC] - X-Coordinate,STARLINK-5301 - X-Coordinate,STARLINK-5815 - X-Coordinate,STARLINK-31117 - X-Coordinate,STARLINK-32101 - X-Coordinate,STARLINK-30253 - X-Coordinate,STARLINK-1117 - X-Coordinate,STARLINK-30997 - X-Coordinate,STARLINK-5509 - X-Coordinate,STARLINK-30853 - X-Coordinate,STARLINK-5514 - X-Coordinate,STARLINK-11115 [DTC] - X-Coordinate,STARLINK-2433 - X-Coordinate,STARLINK-3558 - X-Coordinate,STARLINK-5559 - X-Coordinate,STARLINK-32028 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31898 - Y-Coordinate,STARLINK-1138 - Y-Coordinate,STARLINK-5625 - Y-Coordinate,STARLINK-31923 - Y-Coordinate,STARLINK-11289 [DTC] - Y-Coordinate,STARLINK-5301 - Y-Coordinate,STARLINK-5815 - Y-Coordinate,STARLINK-31117 - Y-Coordinate,STARLINK-32101 - Y-Coordinate,STARLINK-30253 - Y-Coordinate,STARLINK-1117 - Y-Coordinate,STARLINK-30997 - Y-Coordinate,STARLINK-5509 - Y-Coordinate,STARLINK-30853 - Y-Coordinate,STARLINK-5514 - Y-Coordinate,STARLINK-11115 [DTC] - Y-Coordinate,STARLINK-2433 - Y-Coordinate,STARLINK-3558 - Y-Coordinate,STARLINK-5559 - Y-Coordinate,STARLINK-32028 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31898 - Z-Coordinate,STARLINK-1138 - Z-Coordinate,STARLINK-5625 - Z-Coordinate,STARLINK-31923 - Z-Coordinate,STARLINK-11289 [DTC] - Z-Coordinate,STARLINK-5301 - Z-Coordinate,STARLINK-5815 - Z-Coordinate,STARLINK-31117 - Z-Coordinate,STARLINK-32101 - Z-Coordinate,STARLINK-30253 - Z-Coordinate,STARLINK-1117 - Z-Coordinate,STARLINK-30997 - Z-Coordinate,STARLINK-5509 - Z-Coordinate,STARLINK-30853 - Z-Coordinate,STARLINK-5514 - Z-Coordinate,STARLINK-11115 [DTC] - Z-Coordinate,STARLINK-2433 - Z-Coordinate,STARLINK-3558 - Z-Coordinate,STARLINK-5559 - Z-Coordinate,STARLINK-32028 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4425.4488,966.8635,-6219.8830,2822.7262,-1351.1095,2205.5427,2171.6278,-2502.1667,-4602.7625,-5145.6011,-4112.8161,3668.9279,4988.3732,6463.6927,-1616.3229,2823.5470,6492.8811,2839.1240,-1192.5766,-6206.3261,-77304.9030,-85036.4138,-76360.1355,-78554.2972,-77063.0127,-77742.7744,-86196.5500,-81769.3607,-58642994.8740,-58637280.5588,-58631668.3941,-58632710.3983,-82363.3538,-58629584.6179,3500.4608,-4141.0136,-2940.5088,2973.5254,5920.6749,912.2020,1217.3729,3450.2367,611.7094,4097.8295,5468.1788,-3562.6398,1053.0797,-307.7007,-6020.7473,-2959.1921,2243.2460,-3963.1320,-2368.7561,-2337.1354,351859.7292,384469.5031,367397.4210,363275.0875,371611.3020,368373.9420,369347.9576,367626.7022,335410534.4430,335440851.3717,335384040.2174,335391053.0107,367371.0258,335397398.8671,3824.2722,5450.1493,849.4427,5442.6434,2789.4466,-6544.4939,6479.7500,-5467.9787,4893.9611,2179.8966,-764.9449,-4692.0540,-4706.0926,2468.3060,3032.0390,-5353.3463,-825.6366,4897.4300,-6494.3971,1761.9430,-150231.6152,-153525.3869,-153996.5836,-147212.5462,-148255.7915,-158942.1369,-159566.4235,-151058.9739,-113180388.3447,-113206915.3934,-113182589.7456,-113192429.6467,-152696.6791,-113188450.7420,
300.000,5829.2715,-1025.6117,-6728.7158,4168.5353,235.4302,3050.3042,3650.5642,-471.8390,-3330.9611,-4269.1622,-3057.4693,2171.2463,5068.4299,5579.9383,-3034.5325,1332.7410,6368.4130,744.4099,452.0271,-6755.5623,-84658.1809,-93062.9453,-84083.5655,-86343.1657,-84793.2492,-85438.3818,-93884.5715,-89947.3283,-65951170.0076,-65946267.6984,-65939244.8504,-65940246.4820,-90103.5662,-65937674.9878,2239.7180,-4801.6697,-1522.0317,1250.3101,5211.4586,-1089.3719,-320.6027,4224.3643,2351.5788,5414.3039,6076.3180,-5043.3979,-1096.3848,-1894.0631,-4744.5956,-4501.7500,913.9438,-4159.0997,-871.5636,-1213.3353,350210.1109,382490.5581,365419.3822,361422.6393,369791.0943,366570.8984,367438.8589,366040.9334,334050039.5013,334080040.2042,334023650.8542,334030149.1582,365515.6262,334036869.9158,2737.0580,4867.1315,-696.1360,5243.5269,4173.4815,-6166.5992,5897.4970,-5477.3074,5373.3850,710.3078,1051.5340,-4244.9744,-4609.9648,3635.7378,4038.8517,-4831.2990,-2549.4460,5466.4140,-6946.0672,-37.1265,-150346.6130,-153624.6253,-153999.0073,-147425.6852,-148203.5877,-158841.8412,-159814.9481,-151110.3873,-113184820.2179,-113211318.0757,-113186320.1875,-113196094.7812,-152782.6989,-113192683.2345,
600.000,6641.5931,-2888.8873,-6587.4974,5126.6896,1837.1160,3661.1315,4810.0496,1582.4165,-1747.8954,-2984.3461,-1683.1695,498.5736,4703.8329,4167.5081,-4195.9742,-254.3353,5624.1378,-1429.1033,1981.5009,-6616.1926,-91976.9638,-101043.4308,-91768.5531,-94092.2908,-92485.0174,-93096.8783,-101527.4017,-98106.5583,-73227889.0482,-73223787.9994,-73215369.1176,-73216291.5490,-97802.1027,-73214307.4947,777.3114,-5033.3159,50.2720,-561.9508,3954.4835,-2945.3612,-1767.0493,4640.3831,3883.6304,6201.7837,6077.2362,-6060.0483,-3136.0459,-3328.7848,-3020.7740,-5591.7194,-532.0747,-4003.3009,784.0641,34.5130,348408.4337,380342.8135,363279.1123,359406.9572,367806.8601,364606.1678,365368.4774,364230.5103,332530322.5565,332559990.5284,332504074.7880,332510099.7236,363497.1948,332517122.3618,1342.0405,3760.1210,-2167.1990,4455.4749,5059.6890,-5140.6525,4689.3346,-4902.3653,5231.0359,-835.4246,2752.9267,-3345.7468,-4022.6122,4412.9283,4613.5420,-3747.5218,-3998.9713,5446.2331,-6683.5618,-1832.1241,-150461.7709,-153723.7088,-153999.0329,-147643.8806,-148154.9493,-158735.6509,-160057.7881,-151296.0720,-113189255.4520,-113215719.9056,-113190058.0679,-113199733.7565,-152868.6362,-113196915.5325,
900.000,6777.5827,-4443.0828,-5815.7032,5589.8376,3285.0735,3963.1704,5520.6255,3459.5528,-22.7697,-1403.4715,-112.9242,-1194.7905,3923.6934,2367.5404,-4993.2093,-1776.8969,4342.9063,-3463.8004,3236.5219,-5807.3840,-99258.1584,-108974.2946,-99411.7205,-101798.3762,-100134.6945,-100715.1156,-109121.8105,-106203.8596,-80469683.4481,-80466372.5899,-80456574.5540,-80457383.9040,-105455.5305,-80456013.7390,-751.1688,-4801.2430,1637.2521,-2280.3628,2295.9666,-4473.3336,-2986.2283,4650.4911,5041.6251,6392.3180,5482.0679,-6508.6748,-4868.6416,-4479.0822,-1018.9176,-6102.8387,-1965.7039,-3511.0372,2420.5044,1299.3655,346455.4126,378027.3275,360977.5763,357229.0709,365659.5059,362480.4020,363137.9650,362179.8071,330852108.5578,330881427.6320,330826036.5559,330831636.1225,361316.6653,330838881.2275,-203.9016,2248.0363,-3406.4935,3166.6917,5342.7466,-3573.4531,2983.2181,-3804.0941,4483.3065,-2291.7011,4153.0461,-2089.7987,-3006.3277,4716.5884,4694.7178,-2227.3264,-5018.9787,4838.9788,-5733.5450,-3425.1815,-150577.0892,-153822.6353,-153996.8237,-147867.2416,-148109.8525,-158623.4853,-160295.0183,-151607.6396,-113193693.9551,-113220120.8756,-113193803.9408,-113203349.9180,-152954.4910,-113201147.6358,
1200.000,6222.2742,-5541.8679,-4493.6506,5498.0631,4421.4442,3906.2971,5694.8485,4978.0971,1665.3420,331.4883,1507.1520,-2755.3622,2793.0588,357.0329,-5349.4140,-3085.2314,2658.6779,-5155.4700,4093.1667,-4417.0307,-106498.6864,-116851.9851,-107009.7074,-109458.1614,-107738.6880,-108289.9756,-116664.5877,-114197.3318,-87673101.3181,-87670569.2667,-87659411.1454,-87660079.4946,-113060.4375,-87659341.9826,-2204.9989,-4113.3500,3096.4188,-3735.9221,422.2065,-5527.0141,-3871.0186,4241.1981,5694.4255,5976.2612,4361.1157,-6338.4933,-6126.8763,-5235.5070,1065.9365,-5968.6160,-3254.8961,-2724.2644,3855.4544,2470.3453,344351.8241,375545.2340,358515.8075,354890.0942,363350.0113,360194.3018,360748.5294,359881.5812,329016198.0060,329045152.3605,328990336.1302,328995564.5237,358975.0437,329002947.0809,-1726.9511,493.6732,-4281.9475,1521.7835,4989.0931,-1629.1433,960.1889,-2299.1791,3216.4501,-3502.8274,5098.8530,-610.7827,-1669.1288,4514.1825,4273.6661,-447.3035,-5500.7175,3709.8375,-4192.7969,-4641.2843,-150692.5682,-153921.4027,-153992.5475,-148095.8823,-148068.2738,-158505.2620,-160526.7104,-152026.2379,-113198135.6339,-113224520.9780,-113197558.3363,-113206947.3258,-153040.2633,-113205379.5445,
1500.000,5032.1920,-6086.6082,-2753.6307,4846.9265,5116.5015,3472.7527,5298.3428,5993.8272,3146.0432,2061.7426,3021.4910,-4044.3031,1408.0318,-1668.6862,-5225.7819,-4055.4280,742.0868,-6334.0267,4475.3053,-2591.4965,-113695.4861,-124672.9762,-114559.1723,-117068.4246,-115293.4361,-115818.3726,-124152.5443,-122050.1053,-94834709.0732,-94832944.1416,-94820447.1427,-94820953.4686,-120613.4343,-94820858.7944,-3451.1794,-3021.2631,4294.5581,-4790.3354,-1461.4570,-6010.8327,-4352.4167,3436.3905,5761.2037,5001.9207,2835.1656,-5558.0051,-6789.8266,-5522.2930,3032.4092,-5191.5789,-4276.5315,-1708.3278,4922.1000,3442.1388,342098.5063,372897.7425,355894.9078,352391.2258,360879.4289,357748.6146,358201.4347,357337.4232,327023466.5726,327052040.7346,326997848.5394,327002765.1835,356473.4078,327010195.6538,-3056.1431,-1313.9033,-4700.5771,-294.3180,4040.7376,487.4303,-1164.8443,-548.1174,1576.9311,-4339.7197,5487.1422,933.4818,-153.5570,3827.3379,3395.2798,1384.9459,-5393.0243,2180.3321,-2219.1117,-5347.4078,-150808.2083,-154020.0086,-153986.3756,-148329.9221,-148030.1901,-158380.8978,-160752.9330,-152524.5415,-113202580.3935,-113228920.2052,-113201321.7591,-113210530.7415,-153125.9529,-113209611.2585,
1800.000,3329.2022,-6035.3343,-766.3310,3689.7984,5283.6105,2681.8674,4355.3191,6413.8930,4274.9461,3626.1830,4279.9700,-4949.7926,-111.9452,-3514.9652,-4625.9051,-4601.1690,-1216.8498,-6881.1169,4361.7515,-519.6412,-120845.5134,-132433.7687,-122056.7934,-124625.9863,-122795.4089,-123297.2567,-131582.5148,-129733.3609,-101951093.0693,-101950083.2781,-101936270.6919,-101936601.6566,-128111.1550,-101937150.6867,-4376.3719,-1616.9756,5119.5811,-5349.3700,-3153.0908,-5889.1987,-4404.6132,2297.1322,5221.9003,3569.5478,1062.0743,-4235.3383,-6794.9896,-5305.0528,4692.2992,-3844.8610,-4927.8630,-546.9921,5488.7334,4124.0231,339696.3582,370086.1369,353116.0470,349733.7510,358248.8836,355144.1321,355498.0018,354557.1728,324874864.6818,324903043.5322,324849523.4559,324854191.7465,353812.9067,324861577.4241,-4042.6936,-2980.0896,-4618.0497,-2077.3560,2610.4523,2552.3428,-3166.3590,1261.6790,-245.3435,-4713.4742,5275.5635,2377.9168,1378.4228,2729.6051,2153.3972,3055.2786,-4707.4061,415.4349,-15.8129,-5466.6153,-150924.0099,-154118.4507,-153978.4829,-148569.4855,-147995.5791,-158250.3087,-160973.7516,-153069.4793,-113207028.1376,-113233318.5495,-113205094.6871,-113214105.5688,-153211.5599,-113213842.7780,
2100.000,1287.5203,-5405.4764,1275.9174,2133.7862,4890.4013,1590.8231,2947.5539,6205.6751,4947.9182,4876.1695,5152.7297,-5396.6667,-1634.1382,-5006.6476,-3596.5714,-4681.1353,-3027.3003,-6742.5581,3787.1423,1586.8245,-127945.7433,-140130.8921,-129499.2708,-132127.7122,-130241.1091,-130723.6171,-138951.3578,-137228.3305,-109018861.2306,-109018594.3183,-109003491.4538,-109003641.9781,-135550.2594,-109004825.7423,-4896.7605,-25.1591,5490.7282,-5371.1250,-4475.9224,-5189.1001,-4045.0894,917.7613,4121.2290,1820.6789,-779.7110,-2492.4465,-6144.4900,-4595.0580,5888.8148,-2065.4423,-5136.7503,664.0498,5475.3523,4447.9235,337146.3393,367111.7757,350180.4628,346919.0430,355459.5725,352381.6870,352639.6082,351557.4931,322571417.0571,322599185.8353,322546384.7471,322550870.5382,350994.7601,322558117.1622,-4576.5189,-4326.0478,-4043.1527,-3627.1478,868.6719,4346.8267,-4832.6536,2936.0945,-2039.2334,-4584.4971,4487.0908,3568.0395,2762.8622,1338.7273,680.9056,4368.5153,-3516.8718,-1394.3231,2189.0856,-4985.9758,-151039.9733,-154216.7267,-153969.0474,-148814.7024,-147964.4191,-158113.4111,-161189.2290,-153625.2766,-113211478.7684,-113237716.0030,-113208877.5697,-113217677.7446,-153297.0843,-113218074.1027,
2400.000,-884.3953,-4270.2794,3177.5442,329.5958,3964.4749,291.0408,1206.9334,5399.2009,5110.5210,5689.3935,5543.6800,-5352.3631,-3024.0074,-6004.9441,-2224.6021,-4301.2630,-4516.0142,-5933.9247,2836.1858,3514.7120,-134993.1706,-147760.9060,-136883.3268,-139570.5170,-137627.0730,-138094.4850,-146255.9586,-144527.1970,-116034644.6667,-116035108.1002,-116018742.2149,-116018715.7765,-142927.4342,-116020515.2311,-4965.0974,1608.0103,5366.4209,-4868.3295,-5297.1308,-3995.6226,-3329.9907,-581.6087,2565.2772,-75.8890,-2509.0946,-493.6927,-4904.6135,-3449.4488,6511.7012,-39.8066,-4869.8344,1824.7462,4864.7368,4375.0519,334449.4694,363976.0906,347089.4598,343948.5652,352512.7643,349462.1502,349627.6884,348359.8929,320114222.2331,320141566.5407,320089529.9926,320093899.8795,348020.2583,320100913.4426,-4598.1830,-5207.9366,-3036.8897,-4770.3278,-976.7757,5681.0158,-5988.3454,4295.4748,-3597.2831,-3966.4937,3207.6448,4376.6405,3851.5891,-195.9368,-864.5064,5171.5064,-1948.5724,-3053.7873,4166.9551,-3957.8605,-151156.0990,-154314.8340,-153958.2498,-149065.7078,-147936.6893,-157970.1228,-161399.4248,-154156.4227,-113215932.1867,-113242112.5581,-113212670.8270,-113221253.5796,-153382.5258,-113222305.2328,
