sl_20_5400_20251214 Contact Analysis.csv
2025/12/14 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:55 2024,
Start: 2025/12/14 07:47:00.00, Stop: 2025/12/14 09:17:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
Contact STARLINK-3748 - STARLINK-3448,3342.668,3786.194,443.526,
Contact STARLINK-3748 - STARLINK-3306,0.000,141.375,141.375,
Contact STARLINK-3748 - STARLINK-3306,4939.795,5400.000,460.205,
Contact STARLINK-3748 - STARLINK-1713,3061.302,3808.486,747.184,
Contact STARLINK-3748 - STARLINK-31903,2911.593,4148.620,1237.027,
Contact STARLINK-3748 - MoonARTEMIS1,0.000,5400.000,5400.000,
Contact STARLINK-3748 - MoonARTEMIS2,0.000,5400.000,5400.000,
Contact STARLINK-3748 - MoonIOAGEO,0.000,5400.000,5400.000,
Contact STARLINK-3748 - MoonIOAGNO,0.000,5400.000,5400.000,
Contact STARLINK-3748 - MoonIOAGNO 0001,0.000,5400.000,5400.000,
Contact STARLINK-3748 - MoonIOAGSO,0.000,5400.000,5400.000,
Contact STARLINK-3748 - MoonIOAGSO 0001,0.000,5400.000,5400.000,
Contact STARLINK-3748 - MoonLRO,2399.413,5400.000,3000.587,
Contact STARLINK-3748 - MarsSat1,0.000,1816.137,1816.137,
Contact STARLINK-3748 - MarsSat1,3936.689,5400.000,1463.311,
Contact STARLINK-3748 - MarsSat2,0.000,1816.183,1816.183,
Contact STARLINK-3748 - MarsSat2,3936.737,5400.000,1463.263,
Contact STARLINK-3748 - MarsSat3,0.000,1816.152,1816.152,
Contact STARLINK-3748 - MarsSat3,3936.703,5400.000,1463.297,
Contact STARLINK-3748 - MarsSat4,0.000,1816.144,1816.144,
Contact STARLINK-3748 - MarsSat4,3936.698,5400.000,1463.302,
Contact STARLINK-3448 - STARLINK-31504,714.996,5400.000,4685.004,
Contact STARLINK-3448 - STARLINK-1713,0.000,5400.000,5400.000,
Contact STARLINK-3448 - STARLINK-31903,0.000,5400.000,5400.000,
Contact STARLINK-3448 - MoonARTEMIS1,0.000,5400.000,5400.000,
Contact STARLINK-3448 - MoonARTEMIS2,0.000,5400.000,5400.000,
Contact STARLINK-3448 - MoonIOAGEO,0.000,5400.000,5400.000,
Contact STARLINK-3448 - MoonIOAGNO,0.000,5400.000,5400.000,
Contact STARLINK-3448 - MoonIOAGNO 0001,0.000,5400.000,5400.000,
Contact STARLINK-3448 - MoonIOAGSO,0.000,5400.000,5400.000,
Contact STARLINK-3448 - MoonIOAGSO 0001,0.000,5400.000,5400.000,
Contact STARLINK-3448 - MoonLRO,3565.024,5400.000,1834.976,
Contact STARLINK-3448 - MarsSat1,0.000,2689.821,2689.821,
Contact STARLINK-3448 - MarsSat1,4797.821,5400.000,602.179,
Contact STARLINK-3448 - MarsSat2,0.000,2689.801,2689.801,
Contact STARLINK-3448 - MarsSat2,4797.823,5400.000,602.177,
Contact STARLINK-3448 - MarsSat3,0.000,2689.772,2689.772,
Contact STARLINK-3448 - MarsSat3,4797.781,5400.000,602.219,
Contact STARLINK-3448 - MarsSat4,0.000,2689.800,2689.800,
Contact STARLINK-3448 - MarsSat4,4797.819,5400.000,602.181,
Contact STARLINK-30802 - STARLINK-30465,2925.959,3708.651,782.692,
Contact STARLINK-30802 - MoonARTEMIS1,1210.827,4832.108,3621.281,
Contact STARLINK-30802 - MoonARTEMIS2,1245.971,4864.773,3618.802,
Contact STARLINK-30802 - MoonIOAGEO,1251.515,4853.732,3602.218,
Contact STARLINK-30802 - MoonIOAGNO,1245.130,4852.744,3607.614,
Contact STARLINK-30802 - MoonIOAGNO 0001,1265.408,4877.953,3612.544,
Contact STARLINK-30802 - MoonIOAGSO,1249.891,4855.509,3605.618,
Contact STARLINK-30802 - MoonIOAGSO 0001,1234.796,4838.378,3603.583,
Contact STARLINK-30802 - MoonLRO,1536.102,4858.164,3322.062,
Contact STARLINK-30802 - MarsSat1,1855.091,5400.000,3544.909,
Contact STARLINK-30802 - MarsSat2,1855.047,5400.000,3544.953,
Contact STARLINK-30802 - MarsSat3,1855.044,5400.000,3544.956,
Contact STARLINK-30802 - MarsSat4,1855.066,5400.000,3544.934,
Contact STARLINK-3796 - STARLINK-30465,4598.992,5400.000,801.008,
Contact STARLINK-3796 - STARLINK-31504,3112.564,3868.700,756.136,
Contact STARLINK-3796 - STARLINK-2426,2872.046,4323.533,1451.487,
Contact STARLINK-3796 - STARLINK-5103,0.000,5400.000,5400.000,
Contact STARLINK-3796 - STARLINK-1177,3314.950,4199.593,884.643,
Contact STARLINK-3796 - STARLINK-30327,0.000,5400.000,5400.000,
Contact STARLINK-3796 - MoonARTEMIS1,0.000,3119.537,3119.537,
Contact STARLINK-3796 - MoonARTEMIS1,5277.228,5400.000,122.772,
Contact STARLINK-3796 - MoonARTEMIS2,0.000,3142.590,3142.590,
Contact STARLINK-3796 - MoonARTEMIS2,5300.589,5400.000,99.411,
Contact STARLINK-3796 - MoonIOAGEO,0.000,3134.105,3134.105,
Contact STARLINK-3796 - MoonIOAGEO,5292.113,5400.000,107.887,
Contact STARLINK-3796 - MoonIOAGNO,0.000,3136.380,3136.380,
Contact STARLINK-3796 - MoonIOAGNO,5291.442,5400.000,108.558,
Contact STARLINK-3796 - MoonIOAGNO 0001,0.000,3152.609,3152.609,
Contact STARLINK-3796 - MoonIOAGNO 0001,5312.149,5400.000,87.851,
Contact STARLINK-3796 - MoonIOAGSO,0.000,3131.302,3131.302,
Contact STARLINK-3796 - MoonIOAGSO,5293.463,5400.000,106.537,
Contact STARLINK-3796 - MoonIOAGSO 0001,0.000,3119.422,3119.422,
Contact STARLINK-3796 - MoonIOAGSO 0001,5278.032,5400.000,121.968,
Contact STARLINK-3796 - MoonLRO,5295.954,5400.000,104.046,
Contact STARLINK-3796 - MarsSat1,0.000,5400.000,5400.000,
Contact STARLINK-3796 - MarsSat2,0.000,5400.000,5400.000,
Contact STARLINK-3796 - MarsSat3,0.000,5400.000,5400.000,
Contact STARLINK-3796 - MarsSat4,0.000,5400.000,5400.000,
Contact STARLINK-31261 - STARLINK-30465,0.000,4405.109,4405.109,
Contact STARLINK-31261 - STARLINK-2426,0.000,116.408,116.408,
Contact STARLINK-31261 - STARLINK-2426,4853.823,5400.000,546.177,
Contact STARLINK-31261 - STARLINK-1177,0.000,331.212,331.212,
Contact STARLINK-31261 - STARLINK-1177,5009.230,5400.000,390.770,
Contact STARLINK-31261 - STARLINK-30516,0.000,5400.000,5400.000,
Contact STARLINK-31261 - MoonARTEMIS1,0.000,3513.740,3513.740,
Contact STARLINK-31261 - MoonARTEMIS2,0.000,3535.602,3535.602,
Contact STARLINK-31261 - MoonIOAGEO,0.000,3551.653,3551.653,
Contact STARLINK-31261 - MoonIOAGNO,0.000,3535.210,3535.210,
Contact STARLINK-31261 - MoonIOAGNO 0001,0.000,3543.601,3543.601,
Contact STARLINK-31261 - MoonIOAGSO,0.000,3563.361,3563.361,
Contact STARLINK-31261 - MoonIOAGSO 0001,0.000,3565.157,3565.157,
Contact STARLINK-31261 - MarsSat1,965.408,4477.955,3512.547,
Contact STARLINK-31261 - MarsSat2,965.440,4478.000,3512.560,
Contact STARLINK-31261 - MarsSat3,965.397,4477.965,3512.568,
Contact STARLINK-31261 - MarsSat4,965.398,4477.964,3512.566,
Contact STARLINK-30465 - STARLINK-2426,0.000,280.849,280.849,
Contact STARLINK-30465 - STARLINK-2426,5226.785,5400.000,173.215,
Contact STARLINK-30465 - STARLINK-5103,4766.275,5400.000,633.725,
Contact STARLINK-30465 - STARLINK-1177,0.000,402.272,402.272,
Contact STARLINK-30465 - STARLINK-30327,0.000,111.805,111.805,
Contact STARLINK-30465 - STARLINK-30327,4701.021,5400.000,698.979,
Contact STARLINK-30465 - MoonARTEMIS1,516.040,4256.744,3740.704,
Contact STARLINK-30465 - MoonARTEMIS2,545.096,4274.745,3729.649,
Contact STARLINK-30465 - MoonIOAGEO,563.835,4287.178,3723.343,
Contact STARLINK-30465 - MoonIOAGNO,546.305,4274.931,3728.626,
Contact STARLINK-30465 - MoonIOAGNO 0001,562.821,4280.551,3717.730,
Contact STARLINK-30465 - MoonIOAGSO,569.488,4296.999,3727.511,
Contact STARLINK-30465 - MoonIOAGSO 0001,555.303,4301.539,3746.236,
Contact STARLINK-30465 - MoonLRO,1565.326,4282.561,2717.235,
Contact STARLINK-30465 - MarsSat1,1603.883,5217.023,3613.140,
Contact STARLINK-30465 - MarsSat2,1603.916,5217.068,3613.151,
Contact STARLINK-30465 - MarsSat3,1603.873,5217.029,3613.156,
Contact STARLINK-30465 - MarsSat4,1603.876,5217.034,3613.159,
Contact STARLINK-31504 - STARLINK-5103,3091.338,4055.280,963.942,
Contact STARLINK-31504 - MoonARTEMIS1,0.000,2128.599,2128.599,
Contact STARLINK-31504 - MoonARTEMIS1,4253.015,5400.000,1146.985,
Contact STARLINK-31504 - MoonARTEMIS2,0.000,2159.694,2159.694,
Contact STARLINK-31504 - MoonARTEMIS2,4277.037,5400.000,1122.963,
Contact STARLINK-31504 - MoonIOAGEO,0.000,2169.288,2169.288,
Contact STARLINK-31504 - MoonIOAGEO,4286.915,5400.000,1113.085,
Contact STARLINK-31504 - MoonIOAGNO,0.000,2156.700,2156.700,
Contact STARLINK-31504 - MoonIOAGNO,4275.715,5400.000,1124.285,
Contact STARLINK-31504 - MoonIOAGNO 0001,0.000,2174.612,2174.612,
Contact STARLINK-31504 - MoonIOAGNO 0001,4288.594,5400.000,1111.406,
Contact STARLINK-31504 - MoonIOAGSO,0.000,2174.713,2174.713,
Contact STARLINK-31504 - MoonIOAGSO,4295.540,5400.000,1104.460,
Contact STARLINK-31504 - MoonIOAGSO 0001,0.000,2164.202,2164.202,
Contact STARLINK-31504 - MoonIOAGSO 0001,4292.916,5400.000,1107.084,
Contact STARLINK-31504 - MoonLRO,4283.284,5400.000,1116.716,
Contact STARLINK-31504 - MarsSat1,0.000,3262.974,3262.974,
Contact STARLINK-31504 - MarsSat2,0.000,3262.966,3262.966,
Contact STARLINK-31504 - MarsSat3,0.000,3262.931,3262.931,
Contact STARLINK-31504 - MarsSat4,0.000,3262.959,3262.959,
Contact STARLINK-31231 - STARLINK-3306,0.000,3719.568,3719.568,
Contact STARLINK-31231 - STARLINK-4539,0.000,5400.000,5400.000,
Contact STARLINK-31231 - MoonARTEMIS1,0.000,5400.000,5400.000,
Contact STARLINK-31231 - MoonARTEMIS2,0.000,5400.000,5400.000,
Contact STARLINK-31231 - MoonIOAGEO,0.000,5400.000,5400.000,
Contact STARLINK-31231 - MoonIOAGNO,0.000,5400.000,5400.000,
Contact STARLINK-31231 - MoonIOAGNO 0001,0.000,5400.000,5400.000,
Contact STARLINK-31231 - MoonIOAGSO,0.000,5400.000,5400.000,
Contact STARLINK-31231 - MoonIOAGSO 0001,0.000,5400.000,5400.000,
Contact STARLINK-31231 - MoonLRO,2652.031,5400.000,2747.969,
Contact STARLINK-31231 - MarsSat1,0.000,2727.744,2727.744,
Contact STARLINK-31231 - MarsSat1,4306.954,5400.000,1093.046,
Contact STARLINK-31231 - MarsSat2,0.000,2727.842,2727.842,
Contact STARLINK-31231 - MarsSat2,4307.009,5400.000,1092.991,
Contact STARLINK-31231 - MarsSat3,0.000,2727.801,2727.801,
Contact STARLINK-31231 - MarsSat3,4306.916,5400.000,1093.084,
Contact STARLINK-31231 - MarsSat4,0.000,2727.772,2727.772,
Contact STARLINK-31231 - MarsSat4,4306.957,5400.000,1093.043,
Contact STARLINK-2426 - STARLINK-5103,0.000,4626.763,4626.763,
Contact STARLINK-2426 - STARLINK-1177,0.000,5400.000,5400.000,
Contact STARLINK-2426 - STARLINK-30327,0.000,5400.000,5400.000,
Contact STARLINK-2426 - STARLINK-30516,4882.023,5400.000,517.977,
Contact STARLINK-2426 - MoonARTEMIS1,0.000,3633.703,3633.703,
Contact STARLINK-2426 - MoonARTEMIS2,0.000,3668.447,3668.447,
Contact STARLINK-2426 - MoonIOAGEO,0.000,3659.155,3659.155,
Contact STARLINK-2426 - MoonIOAGNO,0.000,3658.867,3658.867,
Contact STARLINK-2426 - MoonIOAGNO 0001,0.000,3683.156,3683.156,
Contact STARLINK-2426 - MoonIOAGSO,0.000,3658.542,3658.542,
Contact STARLINK-2426 - MoonIOAGSO 0001,0.000,3642.096,3642.096,
Contact STARLINK-2426 - MoonLRO,1540.188,3658.964,2118.776,
Contact STARLINK-2426 - MarsSat1,647.315,4264.687,3617.372,
Contact STARLINK-2426 - MarsSat2,647.272,4264.667,3617.395,
