sl_20_86400_20250322 Coordinates.csv
2025/03/22 07:47:00.0000 UTC

Generated: Tue Oct  8 16:58:27 2024,
Start: 2025/03/22 07:47:00.00, Stop: 2025/03/23 07:47:00.00,
TIME_UNITS,STARLINK-4293 - X-Coordinate,STARLINK-5900 - X-Coordinate,STARLINK-6072 - X-Coordinate,STARLINK-32123 - X-Coordinate,STARLINK-5903 - X-Coordinate,STARLINK-31989 - X-Coordinate,STARLINK-2369 - X-Coordinate,STARLINK-5269 - X-Coordinate,STARLINK-1966 - X-Coordinate,STARLINK-31152 - X-Coordinate,STARLINK-30982 - X-Coordinate,STARLINK-6368 - X-Coordinate,STARLINK-30824 - X-Coordinate,STARLINK-5804 - X-Coordinate,STARLINK-5655 - X-Coordinate,STARLINK-11205 [DTC] - X-Coordinate,STARLINK-2025 - X-Coordinate,STARLINK-31380 - X-Coordinate,STARLINK-4186 - X-Coordinate,STARLINK-3553 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4293 - Y-Coordinate,STARLINK-5900 - Y-Coordinate,STARLINK-6072 - Y-Coordinate,STARLINK-32123 - Y-Coordinate,STARLINK-5903 - Y-Coordinate,STARLINK-31989 - Y-Coordinate,STARLINK-2369 - Y-Coordinate,STARLINK-5269 - Y-Coordinate,STARLINK-1966 - Y-Coordinate,STARLINK-31152 - Y-Coordinate,STARLINK-30982 - Y-Coordinate,STARLINK-6368 - Y-Coordinate,STARLINK-30824 - Y-Coordinate,STARLINK-5804 - Y-Coordinate,STARLINK-5655 - Y-Coordinate,STARLINK-11205 [DTC] - Y-Coordinate,STARLINK-2025 - Y-Coordinate,STARLINK-31380 - Y-Coordinate,STARLINK-4186 - Y-Coordinate,STARLINK-3553 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4293 - Z-Coordinate,STARLINK-5900 - Z-Coordinate,STARLINK-6072 - Z-Coordinate,STARLINK-32123 - Z-Coordinate,STARLINK-5903 - Z-Coordinate,STARLINK-31989 - Z-Coordinate,STARLINK-2369 - Z-Coordinate,STARLINK-5269 - Z-Coordinate,STARLINK-1966 - Z-Coordinate,STARLINK-31152 - Z-Coordinate,STARLINK-30982 - Z-Coordinate,STARLINK-6368 - Z-Coordinate,STARLINK-30824 - Z-Coordinate,STARLINK-5804 - Z-Coordinate,STARLINK-5655 - Z-Coordinate,STARLINK-11205 [DTC] - Z-Coordinate,STARLINK-2025 - Z-Coordinate,STARLINK-31380 - Z-Coordinate,STARLINK-4186 - Z-Coordinate,STARLINK-3553 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4992.0939,5275.3491,-5376.3399,351.4691,3403.9490,-5209.6576,4806.4251,-4862.5365,4410.6274,-1180.8778,3919.4304,4543.6388,-4808.7758,-2828.8013,2810.9994,-223.4153,3008.8119,-1529.2192,-2873.8578,-4045.1672,-297395.8824,-316294.1021,-315002.9953,-310620.7264,-316027.4492,-313551.5559,-307055.8503,-309002.8210,142136511.8565,142137757.9018,142129210.9363,142151835.0855,-309353.1548,142146684.3992,592.0810,4338.3446,1187.0091,5798.9177,3828.5048,-4298.8927,2875.0872,-761.5504,-4525.1867,5820.5745,-3700.4104,2919.3482,-4905.9687,3033.7179,-5119.6782,4751.7500,-5015.6034,-3850.3394,-2994.3965,4959.3869,-144147.7415,-162937.7399,-153502.8383,-149911.5401,-156196.0079,-153506.2844,-159030.4397,-156848.1707,9706089.1403,9680076.0268,9674506.7223,9686076.6557,-155188.1897,9692148.9010,-4753.0618,1290.5975,-4252.2900,3585.5509,-4679.4009,1000.6854,4063.6935,4851.0820,-2829.2385,3567.3775,-4371.3891,-4356.7745,-968.7211,-5583.3093,3731.4787,-4725.8453,3696.9004,5434.5954,5526.1360,-2623.1348,-185406.0879,-190872.5948,-191372.3492,-183635.9143,-185650.8791,-196369.5722,-196092.4674,-190144.2097,65582374.4056,65562202.6615,65585120.9244,65582909.5490,-189649.5694,65593309.1976,
3600.000,-2937.5538,-3711.0596,1315.2961,-2494.8955,-5791.8859,4725.7741,-4004.6788,6559.3741,-3399.6941,-2533.3991,-2043.0552,-6703.4321,5771.3181,3748.5080,-669.0720,-3118.1925,901.7794,5537.1981,5897.2503,507.9701,-252431.2864,-265656.9870,-265957.1029,-261368.1504,-267549.9227,-265577.0952,-258738.5859,-261546.4094,134812743.6258,134818299.9165,134812911.7193,134830807.9059,-260714.5236,134823395.5628,3276.5300,-2273.8730,-2050.8010,-6289.6034,-605.8871,1105.3363,1196.6827,-1681.5431,5841.4880,-4414.8418,6392.0885,-462.5792,2805.6036,-5644.6558,6881.4641,-5920.4068,4069.5212,2656.1307,371.5747,-4354.6992,-212522.0691,-233866.0057,-224256.0388,-222398.6783,-228765.3993,-226059.5142,-230315.1339,-225987.8997,46254225.7231,46229350.3327,46218511.1228,46240526.5501,-227370.2914,46239391.6657,5325.4951,-5430.1556,6500.9108,919.0775,3759.1644,-4809.2812,-5524.3801,-1415.3039,-1498.4346,-4710.9206,1753.8518,1715.6844,-2641.5515,1559.2130,-538.3350,380.1699,-5531.8268,-3017.2744,-3602.2614,5338.4043,-185211.8132,-190736.4535,-190265.2528,-185240.4234,-183934.3600,-193786.8455,-197733.9632,-188671.0792,65601196.4627,65579817.5129,65598775.9758,65601303.4303,-189526.4219,65610354.3855,
7200.000,1087.4284,1876.5942,2659.1724,3605.5888,6594.9780,-3058.8263,3089.1900,-5503.5803,565.4745,5761.1555,-129.3492,6431.0755,-5088.4101,-3270.6633,-1609.8673,4145.2454,-4860.2399,-6572.5617,-6744.1327,3758.3616,-192208.6200,-199289.9957,-200074.2830,-195350.7161,-202287.4543,-200022.7368,-194455.2765,-194553.7244,118255361.9999,118264009.8960,118263942.0231,118270838.8729,-195639.0500,118266929.9001,-6324.2121,-1900.3617,4014.4948,3313.9171,-2064.9474,3429.6447,-5059.0367,3000.6065,-4872.2490,2435.4603,-6667.7418,-1715.6098,749.8002,5144.9360,-6045.7717,3032.4108,-2951.0710,-1019.7316,1427.9026,3375.6487,-267870.4220,-289149.8146,-280881.0318,-280896.4963,-286844.8540,-284474.7419,-287386.3743,-286040.4154,79665796.3786,79643443.4398,79629354.2303,79657912.2125,-285107.3101,79650385.7406,-2582.0565,6411.2189,-5017.3434,-4766.4376,-584.5179,5042.6248,3571.4353,-2928.2840,4874.8186,2982.8457,1902.0328,1943.1148,4646.6630,3330.5982,-2997.8197,4295.7960,3942.0930,-1606.1533,-587.3239,-4725.7302,-185052.2201,-190434.2764,-188943.9042,-187781.3720,-182700.0522,-190267.5752,-198625.0202,-190413.7246,65620603.6350,65597917.4537,65612785.6586,65622732.0960,-189387.0271,65627391.6017,
10800.000,487.7895,-1240.6474,-4348.5267,-4318.2469,-4962.4883,1360.6137,-1922.6013,1881.7606,3374.9455,-6903.4961,2740.0515,-3767.6746,3611.5747,316.9119,4002.6151,-3771.3902,6697.0468,4315.1716,4579.0097,-6414.6402,-120288.1406,-120749.8041,-121475.7391,-116739.4066,-124546.6319,-118882.6778,-118099.9655,-119453.6151,93590560.1212,93600627.3968,93606933.3826,93600290.8583,-118254.9159,93603266.6247,6659.8754,5738.1066,-5393.0511,1458.0951,3840.0739,-6507.1041,6628.0226,-3851.4617,2990.6008,-312.0098,4586.5779,3766.4157,-4486.1221,-2876.8584,3137.0407,2367.8739,1755.1035,-1623.9719,-2750.4919,-2317.8133,-306881.3383,-324543.2436,-319757.5019,-323715.9037,-326690.1215,-324296.2195,-326858.9870,-324324.1757,107651502.4639,107632470.9221,107617839.8719,107642712.8712,-324766.1317,107636007.3803,-1803.3334,-3730.5494,595.9815,5079.0802,-2960.4067,-1569.2196,559.0221,5419.4396,-5255.0421,540.7181,-4430.0207,-4446.6607,-3871.5329,-6326.6225,4706.2712,-5013.4354,57.9235,5044.4361,4388.0757,1130.3382,-184922.9031,-189634.0790,-187725.0508,-190900.9289,-181933.3407,-186870.8067,-198830.5710,-187921.7288,65640442.4200,65616592.2086,65627261.0530,65646576.0911,-189231.3716,65644420.8274,
14400.000,-2369.7951,1251.1601,3674.5591,4326.9796,1366.1196,581.6981,-262.0247,2371.3356,-6373.6992,5445.1269,-5274.5132,47.3952,-1746.7405,3919.4706,-5930.0627,2529.3418,-5616.7289,-724.0167,-546.5159,6122.9597,-40935.0195,-31452.8288,-35145.3236,-32376.9343,-39359.5844,-29636.9469,-34290.9095,-32438.7561,62500328.0432,62509951.4624,62522394.1184,62510414.9410,-33462.9430,62514123.3384,-4094.9480,-6748.6606,4200.0634,-5016.4636,-4903.1630,6066.0008,-5370.1611,4647.7921,-1283.7820,-2089.7868,-1380.0046,-5469.0465,6671.0114,1027.9813,316.4292,-6113.2936,245.8091,4771.6903,4199.2720,581.8739,-327172.7736,-340562.0818,-338362.6622,-347698.0489,-345769.5010,-342570.8493,-346308.8187,-343830.9854,128291721.0344,128276048.9597,128263759.0701,128273947.9011,-343858.8300,128276679.7539,5034.4436,-1137.4671,4134.2548,-1665.0477,4702.3299,-3088.5717,-4367.7968,-4544.4970,2366.6899,-3752.9452,4281.7836,4258.0242,753.4160,5641.5881,-3585.6612,1066.5346,-4044.9391,-4851.6138,-5474.2150,3152.0956,-184820.5675,-188236.3123,-186893.6149,-189723.3087,-181641.3374,-189309.6310,-198374.0216,-190490.2600,65660530.8456,65635951.2418,65642320.3702,65667607.6807,-189059.4434,65661442.0434,
18000.000,4629.8504,-272.5826,-2458.5914,-2464.2357,2572.8688,-3154.1856,3400.1058,-5055.0991,6629.7781,-2288.2423,6583.6866,3068.2408,-561.5345,-6711.3649,6246.1369,93.4570,2697.6671,-2066.0616,-3105.2213,-3555.0202,41115.8630,58581.0371,53386.5034,54184.8565,47824.3091,57845.6572,51876.1451,52609.1727,27107711.7265,27115197.1308,27132261.6787,27125984.3031,53373.4133,27122286.4274,303.8981,4466.7403,-281.1015,5623.3082,5329.4411,-2645.8440,2524.0982,-4649.4148,-250.1199,4573.3549,-1521.9525,6033.5546,-6317.8716,-555.0049,-3000.5342,5480.1785,-3179.4943,-6421.9413,-5324.0021,2283.0429,-327440.8917,-336817.8367,-335480.8572,-347084.3560,-342894.0071,-339147.6833,-344443.2310,-341576.8448,140168180.5634,140155086.6154,140147642.6012,140145785.9785,-341198.3158,140154036.5775,-5131.6637,5312.0823,-6501.0515,-3000.4163,-3620.3128,5439.4155,5469.9547,810.8214,1964.9124,4672.2887,-1574.0650,-1518.4301,2801.2561,-1728.1982,282.7219,3847.1570,5518.2561,1129.1131,3134.5212,-5477.6274,-184742.7537,-187562.3649,-186626.3322,-186987.8586,-181857.7962,-192698.1029,-197242.9051,-187253.1381,65680670.2535,65656123.5706,65658093.1424,65682125.9847,-188871.2316,65678455.2307,
21600.000,-6055.5146,-2449.7170,2206.0599,-1400.1834,-5190.2972,5545.3930,-6127.3275,5325.6617,-4088.5041,-984.8083,-5602.5658,-4754.4103,3336.8534,6154.1301,-4244.9784,-3839.4327,196.0953,3418.0599,4786.9604,540.3014,120926.2089,143750.5771,138429.5886,137803.2789,131495.4668,140598.9875,135103.1968,137053.0716,-10168200.2356,-10163961.8988,-10144858.8842,-10143036.7253,136766.8624,-10153334.1858,2672.4331,-855.3977,-4192.0193,-3886.7302,-4588.1347,-1246.8175,138.7420,2795.2242,2280.7388,-6280.2293,3516.7512,-4571.4203,3882.5318,379.8651,4465.8523,-1732.8399,5907.1068,4854.0661,4861.3801,-5339.4299,-307550.3406,-310890.1029,-311315.1487,-323641.7850,-318261.9316,-314658.0258,-321177.7578,-316441.4067,142461397.7208,142449400.9735,142448394.8795,142442738.5925,-316971.8221,142448383.7255,1995.6347,-6456.0833,5080.6563,5430.3320,337.6492,-3790.7523,-3227.0816,3407.4694,-5102.1829,-2770.2056,-2097.9062,-2153.9968,-4685.8439,-3222.5960,3173.7784,-5217.5060,-3610.4485,3389.8341,1138.4266,4351.9386,-184687.6590,-187154.2457,-186944.3837,-184667.4874,-182653.6577,-195110.1451,-195386.1994,-190322.9692,65700658.1641,65677246.7154,65674723.4200,65694152.6825,-188666.7266,65695460.3703,
25200.000,5154.8487,5544.4146,-2608.4285,5389.7517,5779.3125,-5778.5410,6588.1919,-4069.1196,429.1138,3333.3761,2410.6687,5131.8343,-5791.8147,-2780.9964,454.7318,6185.1587,-2068.9366,-4070.9291,-4637.8102,1566.4369,193637.3806,219077.7944,214545.6533,212876.8236,206483.6217,214388.6656,210162.9419,211541.5980,-46777647.3727,-46776788.3913,-46758900.4338,-46751360.5574,211452.5023,-46763028.9748,-3949.3063,-1647.5928,6398.8345,1617.7932,2199.0665,3576.6093,-1873.1900,944.5763,-4688.5598,6023.0408,-4697.4341,1160.2960,-729.5473,1047.3695,-5057.7883,-1905.1423,-6585.1357,-543.7200,-2019.1345,6715.6262,-268559.6899,-264377.8454,-267472.5520,-279557.0505,-273402.5674,-270739.2789,-277596.0015,-273249.6419,135007185.0379,134994457.9687,135000102.3288,134996014.5187,-272727.6973,134995262.1376,2368.9544,3854.7582,-751.1024,-3874.7502,3131.8760,-682.9924,-1023.3101,-5516.3849,5064.8493,-830.4842,4491.2690,4511.2252,3740.5002,6275.2028,-4727.2088,1734.7925,-544.2358,-5474.3076,-4723.5153,-516.4301,-184654.0223,-186852.5036,-187707.7172,-182853.5045,-184160.7043,-196653.7823,-192705.6082,-186699.7510,65720301.3874,65699425.9272,65692370.0495,65706484.8746,-188445.9199,65712457.4432,
28800.000,-1678.5278,-6540.5748,1928.2179,-6801.5076,-4852.2569,2804.3852,-4130.4017,2555.3137,2394.3825,-4593.6546,1621.6677,-4734.1922,6646.7053,-899.7749,3460.7325,-4515.9174,3176.6744,4335.8895,3756.3767,-2843.0149,254754.6615,279898.3598,276928.0006,274485.5507,268507.8977,274993.6048,272106.2081,272200.1351,-80214614.0129,-80216071.0710,-80202711.1314,-80193018.8544,272719.6636,-80200692.1350,4155.5286,2161.0414,-5316.7411,317.5228,1505.6885,-4155.8926,3075.3196,-4889.7620,6207.3463,-3407.0434,5282.2251,2896.5697,-1906.2450,-3836.4385,4942.0212,3652.4860,4351.2572,-3888.1535,-2250.0289,-5130.5090,-212679.0730,-200392.4456,-206824.2446,-217917.3624,-211005.9821,-210083.1248,-215662.4478,-211048.9601,118308341.2762,118293313.2108,118304099.1720,118303547.9031,-211276.4398,118297209.3632,-5270.5447,934.1920,-4050.8514,-560.7736,-4725.3873,4628.0067,4620.8402,4163.1865,-1913.9306,3909.4060,-4198.9233,-4164.6770,-560.1532,-5731.7139,3412.2319,3334.3475,4340.3399,3581.0397,5347.4074,-3666.3518,-184641.0494,-186604.4305,-188652.5783,-181521.6689,-186604.1274,-197446.9416,-189088.4135,-189884.5623,65739428.5341,65722631.0011,65711199.0263,65720238.9058,-188208.8043,65729446.4303,
