sl_20_86400_20250711 Coordinates.csv
2025/07/11 07:47:00.0000 UTC

Generated: Tue Oct  8 16:58:28 2024,
Start: 2025/07/11 07:47:00.00, Stop: 2025/07/12 07:47:00.00,
TIME_UNITS,STARLINK-30963 - X-Coordinate,STARLINK-31906 - X-Coordinate,STARLINK-4403 - X-Coordinate,STARLINK-1123 - X-Coordinate,STARLINK-30280 - X-Coordinate,STARLINK-4345 - X-Coordinate,STARLINK-6103 - X-Coordinate,STARLINK-4522 - X-Coordinate,STARLINK-31011 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-31518 - X-Coordinate,STARLINK-2122 - X-Coordinate,STARLINK-3398 - X-Coordinate,STARLINK-1797 - X-Coordinate,STARLINK-2081 - X-Coordinate,STARLINK-2089 - X-Coordinate,STARLINK-32006 - X-Coordinate,STARLINK-31681 - X-Coordinate,STARLINK-4441 - X-Coordinate,STARLINK-11238 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30963 - Y-Coordinate,STARLINK-31906 - Y-Coordinate,STARLINK-4403 - Y-Coordinate,STARLINK-1123 - Y-Coordinate,STARLINK-30280 - Y-Coordinate,STARLINK-4345 - Y-Coordinate,STARLINK-6103 - Y-Coordinate,STARLINK-4522 - Y-Coordinate,STARLINK-31011 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-31518 - Y-Coordinate,STARLINK-2122 - Y-Coordinate,STARLINK-3398 - Y-Coordinate,STARLINK-1797 - Y-Coordinate,STARLINK-2081 - Y-Coordinate,STARLINK-2089 - Y-Coordinate,STARLINK-32006 - Y-Coordinate,STARLINK-31681 - Y-Coordinate,STARLINK-4441 - Y-Coordinate,STARLINK-11238 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30963 - Z-Coordinate,STARLINK-31906 - Z-Coordinate,STARLINK-4403 - Z-Coordinate,STARLINK-1123 - Z-Coordinate,STARLINK-30280 - Z-Coordinate,STARLINK-4345 - Z-Coordinate,STARLINK-6103 - Z-Coordinate,STARLINK-4522 - Z-Coordinate,STARLINK-31011 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-31518 - Z-Coordinate,STARLINK-2122 - Z-Coordinate,STARLINK-3398 - Z-Coordinate,STARLINK-1797 - Z-Coordinate,STARLINK-2081 - Z-Coordinate,STARLINK-2089 - Z-Coordinate,STARLINK-32006 - Z-Coordinate,STARLINK-31681 - Z-Coordinate,STARLINK-4441 - Z-Coordinate,STARLINK-11238 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5297.6625,-117.1915,5920.1705,-4461.5726,-2675.3212,3430.4640,-3142.9793,-3950.2476,5309.7965,-1415.4252,5308.3518,2327.8213,547.5151,2624.7014,937.4480,-4118.7067,-2821.6374,810.6353,552.2853,2695.2150,94910.9574,130989.6712,111982.0468,107802.6385,115587.6084,112396.9045,115299.0587,112665.4575,144426821.7381,144443051.8515,144462203.5830,144448320.2199,112497.8581,144447070.0821,4382.1302,-5708.4853,-2703.1732,188.4895,5533.5144,1255.0579,4155.7922,3907.9105,1910.3161,-3794.1476,2026.5409,-3493.9674,5457.2106,-4453.7611,-4400.4721,3933.1232,6239.2541,-5880.6074,-6482.3940,3377.7624,-332840.4463,-332490.8568,-339326.7741,-336290.6424,-339421.4461,-338027.4719,-330012.5836,-332634.9647,258426005.8648,258420193.3674,258421840.5406,258418290.8534,-333396.8438,258423645.1334,920.7659,3719.2875,2408.0505,5269.3906,3203.6110,5895.3958,4569.0397,-4112.5821,-4036.3691,-5357.0534,3759.4943,-5501.7753,-4193.8521,4594.1737,-5260.7287,3926.3975,-1.5938,-3372.1885,2385.1735,4989.5985,-162787.5096,-166449.8885,-167482.7705,-160219.8540,-161732.7119,-172446.5669,-172634.9610,-167581.9265,37257707.9094,37232017.8946,37237373.4213,37262993.9730,-165966.5441,37256361.7735,
3600.000,3289.2545,3295.5072,-2970.6810,2656.5640,592.5308,-4705.2161,-664.1356,3189.3151,-4752.0186,5737.0798,-3468.7765,1491.5417,-3482.6988,1672.3852,3361.2804,7.8258,365.1872,3213.1288,-1635.0551,-6425.1858,175983.1370,209496.5181,190370.7111,187776.8752,195800.1700,192811.9038,194431.8381,192474.2245,72539788.0044,72552627.6921,72570835.9396,72569275.9576,192326.9354,72559702.7209,-5493.4591,5967.4544,-211.5965,-4194.9094,-6904.5818,-4823.2843,-5589.0053,-6128.4990,2116.0382,1225.3967,2224.6121,5298.8774,-2308.2949,3999.6635,3591.8801,-4167.2724,-5393.6900,3865.1068,2452.8126,-1339.7156,-299639.2586,-290282.2395,-300731.4627,-297123.0072,-300971.5074,-299959.1825,-292192.5827,-295585.7409,287073384.2579,287067162.0390,287075820.0579,287069212.4388,-294926.6969,287072151.0816,2662.3630,-146.7081,-6276.7195,-4816.6637,243.1792,-1676.7078,-4056.0305,92.5020,4577.8584,3252.4536,-5436.1009,4180.8312,5484.2030,-5399.1197,4857.2028,-5530.6936,-4206.8381,4606.2055,-6280.5779,-775.7625,-162240.8298,-165771.7704,-165577.2652,-161189.0444,-159382.5413,-169051.2721,-173467.5382,-163463.4355,37214151.1027,37188958.9554,37189565.2309,37213928.5662,-165122.3382,37209762.0349,
7200.000,333.7120,-4821.1467,-2503.9548,-1072.4796,1798.0715,2305.3279,3670.8977,-1033.9289,3590.3797,-6379.8263,1334.8404,-3831.0592,6041.5364,-5299.9841,-6207.6282,4024.3108,3307.4867,-6293.4105,-624.3313,4781.7708,246624.5297,275100.1682,256879.8462,256082.2827,263786.7041,260940.4635,261874.3273,259565.0850,-4327066.1933,-4316981.2110,-4302755.0480,-4295899.2694,260068.8483,-4307931.8717,5132.7917,-3264.9899,750.8825,6700.1535,5676.1471,5495.6444,5782.6127,5560.0173,-5442.0719,1042.7064,-5975.3558,-5754.1215,-707.0554,-3415.5168,-2692.1514,4238.8854,2610.2025,-1090.5116,2614.6034,-1546.2594,-246841.8949,-229971.5045,-242898.9149,-238651.1121,-243480.9668,-241846.7750,-235943.1396,-237499.7690,296115859.2536,296107470.6441,296122009.5795,296119081.0533,-237699.9790,296115449.4766,-4659.2621,-3556.3081,6422.7285,1319.3749,-3559.8327,-3567.2057,1080.8862,3962.7928,-2369.3180,1796.1663,2991.4414,-272.6427,-3267.2518,2845.7986,-1455.3619,3699.7027,5388.6957,-2407.2114,6382.9850,-4296.2470,-161715.2874,-165071.7186,-163535.2903,-163092.5299,-157514.6583,-164725.2019,-173561.1085,-165986.0778,37170284.6666,37146879.5693,37142613.2150,37162842.2398,-164263.5819,37163136.9124,
10800.000,-4182.3596,4893.4740,6151.0010,-564.2667,-4338.0709,522.7063,-5070.8932,-2507.1947,-1652.0888,2683.1458,543.4625,4423.7205,-6325.2287,6402.2063,6213.9462,-5937.1385,-6276.8712,6439.2278,4423.4017,240.1612,302119.8534,323738.2619,307196.4549,310509.2821,315190.8471,310881.7276,313444.2385,311962.8078,-80923517.7315,-80914660.1777,-80906763.5954,-80896806.4315,311410.6472,-80905401.5755,-3975.7705,-1313.9250,1553.2304,-6208.7140,-2648.5704,-1804.8211,-3991.9782,-3306.2799,6612.4581,-3250.2682,6580.6233,3695.4671,2544.8690,2190.9055,1013.0748,-3535.6006,95.1819,-1590.3810,-4612.6335,4617.5472,-177505.5169,-155361.8547,-169442.6170,-163943.5696,-170734.2535,-165461.1141,-164564.0600,-165201.4248,284929561.3894,284917926.6432,284935702.3179,284938689.9117,-165316.6173,284929490.1125,3842.8181,4553.8106,-2824.7388,2982.0440,4709.0228,6674.1655,2532.2997,-5529.2995,-1288.0931,-5228.1491,1690.7192,-3828.9556,-1075.0017,1449.9877,-2874.5717,399.0407,-2740.3114,-1612.9677,-2690.2769,4711.2493,-161211.6117,-164346.4697,-161674.0049,-165217.8812,-156113.9691,-160995.1291,-172975.9675,-161702.6630,37125929.9525,37105846.7260,37096683.2803,37111742.1987,-163390.3347,37116486.4159,
14400.000,6494.3306,-3830.9473,-5280.1178,2846.4063,6210.1770,-624.6697,5152.0470,5823.4273,-1186.7524,2284.3917,-2696.1835,-4137.7832,3622.9148,-4905.6100,-3904.4675,5322.9502,6290.2381,-3423.9474,-5820.2251,-3988.0428,338603.6015,352433.4114,338030.8674,346669.7468,346730.2462,340428.8192,345808.3698,342638.9787,-152016214.8485,-152006585.1976,-152005940.5289,-151997206.5050,343071.7165,-151999083.5766,2329.0422,5226.5446,-3773.0295,3197.7454,-630.1546,-3639.9317,389.9242,981.2716,-5422.0871,4972.9933,-3614.6795,386.5204,-3511.7332,404.3521,1852.8852,1161.1568,-1941.8009,3916.5771,2684.8853,-5268.7607,-95814.1667,-71143.2495,-85041.5328,-80007.8956,-87420.5292,-79018.7787,-82343.5555,-83017.0505,254272469.7490,254257739.2223,254274876.2844,254282730.3010,-82343.0880,254272198.4401,-729.9173,-2127.8899,-2477.1332,-5433.9436,-3025.5272,-5882.3978,-4629.8180,3578.8997,4149.2714,3877.0213,-5118.2107,5521.3081,4700.9463,-4869.2161,5395.0076,-4273.9365,-1888.9180,4406.6796,-2654.9296,-64.4586,-160730.8388,-163591.4149,-160258.2617,-162814.3870,-155188.1333,-163181.0252,-171731.8637,-164132.8680,37080938.2906,37065729.4903,37051947.7691,37061680.1943,-162502.6576,37069810.5555,
18000.000,-6332.0853,1414.7006,1273.3889,-5264.6566,-6198.4623,-1839.9586,-4444.2490,-6844.2916,4396.5330,-4925.6013,4911.8090,3710.6498,747.6206,2267.2719,1034.0969,-3338.3057,-2997.7358,-917.9934,2700.8471,4417.4116,353321.8559,359478.9926,347373.1840,358425.3612,356382.9103,349566.0322,356725.8012,353157.7736,-212746201.4971,-212734123.3378,-212739529.7676,-212734201.0003,353013.4973,-212729759.7554,30.6519,-6389.4007,2647.7929,385.2498,3069.6793,6499.9474,3593.8685,721.1398,2895.5662,-4449.0037,-727.9741,-4443.9465,4334.3211,-3879.1605,-5083.4939,2564.6976,3367.1202,-5515.8351,257.4162,1539.6892,-6849.1430,17403.7144,4878.4306,8665.6131,1145.2028,9471.3430,5674.8198,6882.4024,206233046.1813,206216780.9389,206228994.1215,206238749.9219,5975.1692,206232123.8401,-2839.0692,-1926.1914,6280.5115,4456.2638,-503.5451,1597.2440,3920.4238,617.6352,-4519.1729,986.9196,4663.0558,-3791.3412,-5323.1747,5255.6941,-4583.5791,5485.6711,5145.2530,-3916.5166,6370.8037,-4672.3516,-160274.1479,-162799.5831,-159429.6435,-159398.5443,-154771.9702,-165756.0453,-169812.8277,-160088.1626,37035200.6186,37026032.4932,37008553.7637,37013459.5524,-161600.6130,37023109.3412,
21600.000,4135.2015,2149.4659,1918.4836,6284.8235,3803.7243,3596.1078,3080.5027,4762.6404,-6588.3240,4469.1092,-5658.6996,-2759.3027,-4343.9376,-7.3577,1103.3004,1396.3124,-1544.5773,4245.8817,2811.4169,-2775.2186,344826.0851,344546.5634,334638.8748,346582.3079,343484.8680,337174.7826,345202.2212,340926.3866,-258960974.7920,-258945934.3244,-258953864.4031,-258951373.6044,340570.9543,-258944742.8160,-3000.1312,4636.1032,1824.4714,-2797.6023,-4448.4478,-4720.9806,-6154.9747,-2309.1784,-228.0455,631.8803,3737.7189,6335.2557,-4738.4450,6491.3666,6769.3887,-5910.5942,-4693.3060,5320.8551,-746.6793,4122.0050,83698.9633,104735.4857,94536.9249,97160.4457,89361.9185,96831.3560,93964.1619,92873.1575,144087974.5886,144072549.9802,144076721.7486,144085195.9248,94044.9107,144086155.9697,4684.7578,4504.7495,-6422.3024,-702.5937,3710.8441,3594.3849,-856.4932,-4446.0024,2146.3180,-4972.3518,-708.8554,-324.2381,2503.2945,-2407.5653,904.8748,-3325.8669,-4745.0197,477.1186,-6296.8600,4346.2816,-159842.2771,-161959.4735,-159168.5359,-156449.9137,-154938.1923,-167353.1772,-167163.7321,-162036.6387,36988654.5455,36985937.9167,36966544.4495,36967957.4093,-160684.2645,36976382.7831,
25200.000,-1228.7470,-5532.3055,-1727.0821,-4590.1245,141.4374,-1784.9681,-743.5527,-844.8777,6471.1414,-2513.0384,3410.9381,517.5276,5539.1735,-1573.5149,-2467.7199,187.6696,4633.5360,-5365.2708,-6299.8193,455.9542,313075.4363,308710.8142,300684.6458,312527.2002,308713.0517,303754.3703,311527.6457,305703.3014,-287498392.7614,-287481271.5860,-287486880.1826,-287484316.3711,306497.2941,-287481832.3675,5723.0737,-1505.8549,-6131.8680,3794.0568,5111.0796,409.0274,6329.1056,4165.8243,-1981.3009,4385.4156,-4518.4162,-5455.1894,3646.6743,-6451.5951,-5546.0987,6859.4843,4952.5302,-2610.4903,-1591.2691,-6559.4777,169850.8350,185376.1750,178211.7809,179777.9779,171738.2538,178372.0165,176785.8748,177351.8064,72078692.4144,72066156.4540,72062097.5005,72068653.5769,176278.9509,72076002.3256,-3727.7558,-3696.7695,2755.6497,-3518.2285,-4688.8218,-6700.3241,-2740.6022,5438.7932,1506.8278,4406.9009,-3804.4448,4214.1816,1906.0956,-1953.8828,3313.8574,-912.8960,935.3811,3301.9034,2418.2732,649.3081,-159433.2907,-161049.6811,-159299.4014,-154013.5608,-155821.1929,-168099.1758,-163681.8496,-158602.2198,36941288.3926,36944715.3952,36925710.1519,36926079.7341,-159753.6774,36929630.8910,
28800.000,-1336.6708,6655.8753,-629.2955,614.8408,-3856.1213,-2892.4057,-2438.9763,-2657.6430,-3886.4787,381.0213,1190.0635,2940.3200,-4620.6214,3035.1495,3770.2049,-1943.2560,-5108.5941,4680.8648,5127.8615,2503.7177,259406.4323,254391.9955,247707.2351,258684.0011,253886.8151,251154.5546,257061.4192,254238.9448,-296403028.4338,-296385583.8199,-296384868.8850,-296381498.9601,252918.9090,-296385684.3202,-6787.5358,-1483.8370,6444.2355,-4124.4257,-5022.5415,2381.1632,-4504.3989,-5627.5893,3850.9446,-6698.7423,3944.1584,3006.9583,-448.3308,3574.6294,1877.3125,-4820.3459,-2886.7617,-1822.7602,3665.8264,3578.5804,245632.9896,254198.8850,250618.3626,251192.8406,243468.1647,249248.3776,248339.8686,246583.5145,-4878052.9001,-4886785.0530,-4895823.1464,-4886029.9666,247450.3652,-4881326.0752,514.6118,76.9755,2495.7434,5505.6426,2819.9327,5836.4715,4667.4045,-3008.4148,-4266.4208,153.6087,5423.0254,-5496.3057,-5111.1897,5082.2907,-5493.7293,4563.3595,3521.5694,-4623.9620,2876.5685,-4963.9252,-159032.1005,-160022.1123,-159537.8398,-152059.8698,-157638.8493,-168106.5673,-159269.5890,-159731.4965,36893141.9510,36902068.9743,36885420.2288,36886551.8377,-158808.9185,36882853.6751,
