sl_20_86400_20250920 Coordinates.csv
2025/09/20 07:47:00.0000 UTC

Generated: Tue Oct  8 16:58:14 2024,
Start: 2025/09/20 07:47:00.00, Stop: 2025/09/21 07:47:00.00,
TIME_UNITS,STARLINK-30406 - X-Coordinate,STARLINK-30761 - X-Coordinate,STARLINK-5048 - X-Coordinate,STARLINK-1517 - X-Coordinate,STARLINK-11288 [DTC] - X-Coordinate,STARLINK-1609 - X-Coordinate,STARLINK-5614 - X-Coordinate,STARLINK-31317 - X-Coordinate,STARLINK-4146 - X-Coordinate,STARLINK-4059 - X-Coordinate,STARLINK-4411 - X-Coordinate,STARLINK-5986 - X-Coordinate,STARLINK-4789 - X-Coordinate,STARLINK-1031 - X-Coordinate,STARLINK-4147 - X-Coordinate,STARLINK-30146 - X-Coordinate,STARLINK-2054 - X-Coordinate,STARLINK-32004 - X-Coordinate,STARLINK-3521 - X-Coordinate,STARLINK-6096 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30406 - Y-Coordinate,STARLINK-30761 - Y-Coordinate,STARLINK-5048 - Y-Coordinate,STARLINK-1517 - Y-Coordinate,STARLINK-11288 [DTC] - Y-Coordinate,STARLINK-1609 - Y-Coordinate,STARLINK-5614 - Y-Coordinate,STARLINK-31317 - Y-Coordinate,STARLINK-4146 - Y-Coordinate,STARLINK-4059 - Y-Coordinate,STARLINK-4411 - Y-Coordinate,STARLINK-5986 - Y-Coordinate,STARLINK-4789 - Y-Coordinate,STARLINK-1031 - Y-Coordinate,STARLINK-4147 - Y-Coordinate,STARLINK-30146 - Y-Coordinate,STARLINK-2054 - Y-Coordinate,STARLINK-32004 - Y-Coordinate,STARLINK-3521 - Y-Coordinate,STARLINK-6096 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30406 - Z-Coordinate,STARLINK-30761 - Z-Coordinate,STARLINK-5048 - Z-Coordinate,STARLINK-1517 - Z-Coordinate,STARLINK-11288 [DTC] - Z-Coordinate,STARLINK-1609 - Z-Coordinate,STARLINK-5614 - Z-Coordinate,STARLINK-31317 - Z-Coordinate,STARLINK-4146 - Z-Coordinate,STARLINK-4059 - Z-Coordinate,STARLINK-4411 - Z-Coordinate,STARLINK-5986 - Z-Coordinate,STARLINK-4789 - Z-Coordinate,STARLINK-1031 - Z-Coordinate,STARLINK-4147 - Z-Coordinate,STARLINK-30146 - Z-Coordinate,STARLINK-2054 - Z-Coordinate,STARLINK-32004 - Z-Coordinate,STARLINK-3521 - Z-Coordinate,STARLINK-6096 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,48.2987,-5586.1384,2814.0445,-1818.4906,-3350.0013,1188.3339,6010.6892,-2713.4975,2232.7565,4565.5830,1592.1340,-1655.4260,-5580.8335,-4391.2118,3616.4964,-1160.4282,-6119.8783,4270.4625,-4290.6759,-4418.7041,-280918.0913,-263235.8748,-264990.2810,-269134.5039,-263430.0271,-265780.0668,-272358.5589,-270808.2119,2609927.0017,2643205.8878,2617201.4878,2621208.0690,-270172.7119,2626197.9226,5915.8801,4053.4310,-6201.1516,4275.5521,4937.0093,-4050.2157,-604.4311,-4538.2370,-5000.8337,4900.7446,196.9525,-6454.3470,3158.5753,-5320.2974,5896.2965,4933.3929,-3103.5755,-459.5417,-314.9890,-2513.0545,271929.9761,294067.2775,275568.1772,273095.2102,279322.3167,276906.7629,282314.1176,280208.2056,341894027.6081,341936069.1598,341890679.0124,341895799.0454,278565.9946,341891532.3852,-3204.4247,702.0138,1153.7283,-5138.0664,3053.9978,-5484.5675,-3446.1334,4345.9026,4213.2970,1722.3202,6742.7843,-1992.2319,-2602.8105,562.0035,-8.9711,4721.3454,-938.5885,-5305.6294,5401.7156,4707.8184,60795.0281,56438.1517,55927.3504,62869.6795,61672.9357,50977.2840,50493.4827,57532.0826,-66225990.2607,-66247741.4675,-66253993.4898,-66246959.2506,57300.1501,-66238090.3253,
3600.000,-4027.8757,3557.5631,-158.1061,-525.5546,1431.4158,3051.3087,-6738.7909,4275.2346,-731.1978,-4440.0149,3629.8928,1692.7938,2095.1774,4840.8470,-4230.2470,-2708.6830,5954.3741,-4678.4488,5418.2198,5831.2488,-340561.0445,-328462.7061,-327419.5777,-331441.8578,-324986.2108,-326964.0255,-333653.4126,-330760.2870,-86053467.6472,-86032333.9964,-86047143.8795,-86043147.1697,-331874.3390,-86037482.6803,-2957.1399,-5229.3504,5017.0758,-6588.2474,-6223.4944,4491.7216,848.7991,169.7305,6870.7680,-1753.9634,-1581.5207,3461.0193,-3868.6606,3414.6215,-3711.0017,-5419.9930,1280.1311,4397.3429,-3209.1649,-1174.1041,190905.6628,217427.0101,197635.1203,196807.8945,202946.7405,200636.0810,204742.8912,200431.0530,330908594.1031,330952063.0025,330897959.3190,330901341.0077,201855.5049,330905224.1101,4515.3888,2840.3603,-4753.0227,2050.0781,2042.6401,4272.4856,-1491.8201,-5357.9315,-310.0207,-5013.4145,-5710.9396,5773.5680,5327.3966,3570.9055,-4029.3889,-3374.2224,-3301.5642,2293.2086,-2863.5184,-3570.1673,59437.5463,54655.1437,55396.7027,59369.7026,61488.4412,51953.2781,47237.7642,55608.1025,-66290992.0258,-66315209.6340,-66314972.7561,-66308786.6221,55666.0233,-66303260.0554,
7200.000,6430.8814,146.1637,-3547.5631,2021.3485,2142.8485,-5490.9174,4053.9260,-5213.1789,-1031.4127,3795.8726,-6822.6533,-2876.4499,2223.7163,-4147.1242,4124.0144,5178.0413,-3774.9372,3188.1263,-4782.7314,-5750.9630,-377338.4132,-372047.0369,-368971.8219,-372908.3021,-365594.6795,-368278.4174,-373280.5208,-373808.4972,-168845587.7897,-168836075.1109,-168836024.1688,-168828674.0511,-372333.0693,-168829350.4952,-753.7258,5112.3223,-2617.4485,6214.5116,3539.4218,-4185.8157,-1155.2877,3637.2387,-5677.9330,-2596.2071,-142.9667,1026.9532,4507.9175,509.1553,-454.0879,4611.3071,1881.4423,-5523.4409,4764.1877,3868.0365,97736.8500,126703.7484,106936.1468,108038.5290,113396.3717,111429.0665,114303.2969,112939.4531,297327911.1061,297369496.6977,297310964.4442,297316541.7677,111996.7446,297323644.1943,-1830.2483,-4693.0812,5307.7022,2274.6242,-5283.4159,-414.1265,5514.9894,2543.6884,-3819.0485,5157.6049,1275.2088,-6251.4584,-4759.9084,-5525.1313,5523.2711,-37.9826,5480.5481,2413.4250,-1502.8792,257.8358,57995.6738,52883.2457,54933.3956,54922.2512,60804.0159,53834.0044,44695.7075,53667.9274,-66356780.2185,-66382611.9623,-66374612.7298,-66366795.4250,54027.0599,-66368421.7090,
10800.000,-5198.0317,-4038.7377,6416.9555,-3347.9452,-5609.7749,5434.1432,252.1160,4139.4899,3409.4756,-3063.7737,5315.7942,4604.9400,-5107.0782,3256.4010,-3892.8867,-5668.9292,1262.9730,615.6653,1765.1003,3549.8310,-389116.6491,-391056.1694,-386971.1650,-390520.6088,-382457.7544,-389370.1712,-388828.7389,-387241.4041,-240112968.3723,-240113674.9542,-240097145.5727,-240091064.7147,-388897.8424,-240096000.0788,3497.9503,-4241.1618,494.1329,-3080.7902,345.0033,2098.5582,2758.2802,-5058.0260,2344.2366,5833.3824,2234.4217,-4198.6095,-4506.9421,-4569.3959,4450.3944,-2061.9269,-5271.6718,4212.1938,-4543.1902,-5024.7718,-1308.2274,27837.3591,9216.3707,14810.8755,16333.1631,14154.4272,16967.6936,14283.8517,243443978.8631,243480817.4243,243424254.3616,243439648.7772,14751.2345,243439062.6671,-2455.5129,3710.4038,-2518.2673,-5223.7315,3649.9999,-3734.3840,-6382.2738,2046.0482,5530.8141,-2115.9383,3855.9336,3070.8181,1199.6027,4043.0114,-3596.7417,3407.3133,-4315.2909,-5335.9278,4893.6366,3190.6428,56482.6728,51129.6309,54222.5035,50515.3357,59635.0740,54738.6877,42810.1929,52902.4202,-66423314.2354,-66449936.9609,-66433382.8103,-66426838.2611,52383.4073,-66433575.2588,
14400.000,712.2512,6348.1472,-6547.4207,4737.3597,5907.2101,-3821.3026,-3420.0414,-517.9331,-5677.6240,1574.2364,-592.0818,-4875.5314,5503.7440,-2187.6144,2973.9825,4764.4105,623.6542,-4897.8970,2566.4421,291.2089,-375411.1397,-384141.8569,-380186.8822,-381346.3661,-374354.3803,-384584.4943,-379459.1715,-382001.1761,-294988801.4173,-294997678.7634,-294966373.3478,-294970017.4968,-380452.2530,-294970808.7652,-4877.2465,2749.9435,1126.4841,-1059.2362,-2887.7411,1630.4390,-4919.0276,4421.6007,1060.9114,-6343.6821,-1460.1387,4594.5459,2834.9515,6567.1362,-6216.5547,-1754.1640,6879.6449,-2124.9013,3717.9615,5069.8476,-99696.6858,-72673.1155,-89328.3865,-79259.0799,-82036.2469,-85024.2134,-80979.8566,-83753.1054,172935272.9553,172965151.8501,172917691.5667,172938801.8363,-83630.5896,172930160.0416,4589.0185,-515.1670,-1902.0369,4924.6309,1316.2566,5518.1189,3515.3559,-5214.2916,-3811.1915,-2275.1372,-6769.3429,1843.2718,3076.9829,-89.8960,-605.4212,-4726.4297,468.2962,4235.2218,-5240.9668,-4728.2150,54907.7218,49405.8809,53014.1967,50649.7719,57973.7724,49786.9357,41564.0560,49827.6600,-66490504.6472,-66517172.6822,-66492192.1303,-66492629.7819,50735.2132,-66498720.6774,
18000.000,4049.7213,-6245.2755,3740.4326,-5394.5096,-1970.1980,2055.3481,4019.3668,-3978.3266,6160.1897,1192.4988,-3207.7708,2288.8255,-4186.5748,156.8865,-599.7358,-3198.0055,-2068.5342,6817.7195,-5889.3597,-4145.7477,-337385.0222,-351618.1913,-348926.7010,-348096.7936,-341716.3502,-351937.6035,-345918.4539,-346140.4156,-329725314.5419,-329739925.8006,-329698924.9376,-329712776.5844,-347490.1210,-329706266.6206,4666.4701,-327.7649,-2791.4325,4031.1450,3898.1680,-5351.1601,5506.4523,-3051.2061,-3128.8527,4370.2844,-2387.4814,-3203.3649,729.7771,-5686.5748,5296.8878,5270.2699,-5511.6920,248.3735,-2810.4333,-4395.9467,-191046.9380,-168200.7213,-182399.1359,-170739.1101,-175387.2571,-178863.2849,-173333.9268,-176267.6275,90615653.6509,90637115.3127,90604328.8358,90621162.4173,-176811.5431,90610882.9574,-2661.2048,-3010.6565,5082.4075,-1611.8066,-5094.5709,-3876.5053,1345.1810,4657.2225,-320.9325,5217.8401,5664.6594,-5736.7980,-5465.1452,-3950.6516,4396.9792,3164.6919,3635.6111,16.7333,2275.6997,3395.5750,53277.4452,47733.0606,51190.7340,51479.1355,55784.8343,44724.1837,40975.7962,50117.4885,-66558218.9883,-66584306.5113,-66552084.1098,-66561396.4803,49082.6251,-66563857.9376,
21600.000,-6080.1449,4221.9288,277.6870,4029.1275,-3390.8740,-516.7769,-3011.4083,6607.2020,-3871.6670,-4586.3412,3288.7571,2192.1667,2501.9536,2920.7131,-3016.2666,1254.7520,3729.2563,-4999.9383,6447.2472,6278.6176,-277743.9451,-295401.4131,-295064.2953,-292872.4353,-286620.7772,-295825.7569,-290447.1364,-292943.4944,-341949764.4331,-341967532.2425,-341923741.3496,-341941624.7105,-292087.2617,-341929901.1375,-2402.2573,-2836.9310,4700.2096,-4928.2510,-4000.0115,6893.2454,-3062.6238,1621.3177,3865.4620,-1585.2530,5981.7821,2021.6466,-4682.4462,2963.1381,-2980.3055,-6810.8368,1875.7946,1797.1467,1358.1139,2943.0973,-269529.2453,-252458.0981,-263970.9692,-252037.0078,-257714.8368,-260978.3211,-254376.3662,-259627.0552,2105717.4400,2118073.1710,2102177.0006,2107956.5967,-258776.4303,2101773.0787,-1600.8465,4707.7312,-5061.6628,-2727.8347,4171.5384,-218.1215,-5473.2237,-824.0258,4220.4415,-4937.1168,-1277.5605,6267.1020,4424.3804,5521.0191,-5471.2761,299.2144,-5530.8088,-4284.0370,2088.3726,-28.8565,51596.7626,46157.1389,48798.0572,51799.0748,52994.6828,40618.6434,41103.4958,46075.8051,-66626290.3342,-66651324.9316,-66613724.9853,-66630945.5464,47425.7909,-66628987.0120,
25200.000,4742.4554,-1548.3805,-3337.2989,-482.7548,6071.0669,-1288.2717,2284.6478,-5802.1421,-364.4694,6709.6565,-708.6602,-5841.3504,-1059.0600,-5846.9638,6127.0346,1264.0284,-5297.4526,868.0810,-4407.5738,-6051.2842,-200535.4561,-218756.6817,-221973.4326,-218891.6643,-212725.2622,-220650.6153,-216573.0265,-217316.9493,-330826549.6763,-330844967.5002,-330805010.1425,-330818412.3693,-217771.0201,-330806319.0927,-1710.1528,5732.7939,-5771.3382,4350.0583,2793.6699,-5376.3480,-1459.2328,411.7403,-4175.0048,-625.8121,-5694.9671,-1988.9941,6805.9833,-207.1780,766.7899,5792.0919,1945.2266,-4175.7662,1304.6633,-363.7459,-330224.2898,-320118.0638,-328692.7094,-317337.5483,-323766.9069,-326012.2295,-319305.3555,-323268.2737,-86550975.0830,-86547699.0276,-86548048.4230,-86554253.7805,-324220.9503,-86553790.6577,4464.6890,-3592.1375,1801.5779,5352.5143,563.0671,4145.3186,6388.7067,-3626.6397,-5508.0181,1556.5821,-3917.7430,-3208.3889,-654.3087,-3706.8714,3107.0658,-3601.2445,4001.9947,5312.9347,-5171.6144,-3375.1254,49869.3939,44817.0072,46033.5180,51587.5739,49467.7128,37336.3155,42052.8915,47191.5817,-66694528.1095,-66718213.2557,-66677226.9949,-66700056.0749,45764.8584,-66694107.8733,
28800.000,-1593.5151,-897.5333,4448.0258,-3748.4583,-4655.3724,3725.2973,-2631.9639,2483.5093,4280.6865,-5988.8508,-965.1188,6414.3658,-685.2851,6707.2778,-6763.5671,-4100.9552,5533.8336,2789.9354,1426.7751,4087.2847,-110867.7873,-126978.1621,-134342.7003,-130724.0919,-125335.5135,-131598.2468,-128745.7246,-129224.3507,-297114356.7975,-297131153.0640,-297099877.6996,-297101571.4585,-129295.7506,-297094298.0291,5595.2705,-6873.1187,4611.6916,-3442.1716,541.6878,1924.2805,5308.4135,-3269.2417,4284.9368,2073.7171,1208.1395,2031.1537,-5898.3317,-1658.6324,844.6025,-3009.0278,-4162.5380,5754.3061,-4561.7539,-2999.4503,-369417.3002,-368942.2607,-372277.1278,-362163.2007,-369454.0676,-369852.6899,-364839.0409,-369687.4917,-169300588.9793,-169305746.3645,-169294462.1713,-169308061.4126,-368895.5862,-169302234.1958,-3376.0820,298.8185,2573.3714,-4699.3672,-4802.4772,-5506.0867,-3642.1787,5472.9073,3328.9505,2764.0264,6756.2892,-1759.2325,-3556.4777,-427.2979,1168.0955,4701.6211,-38.6265,-2383.4539,4985.2554,4722.4696,48098.1737,44282.6979,43193.0282,50877.0335,44994.1860,34768.5148,43907.8721,42462.4371,-66762730.4289,-66784955.3086,-66742352.6200,-66767804.4349,44099.9753,-66759220.4941,
