sl_5_86400_20250409 Coordinates.csv
2025/04/09 07:47:00.0000 UTC

Generated: Tue Oct  8 16:57:54 2024,
Start: 2025/04/09 07:47:00.00, Stop: 2025/04/10 07:47:00.00,
TIME_UNITS,STARLINK-6074 - X-Coordinate,STARLINK-30081 - X-Coordinate,STARLINK-2427 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-3894 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6074 - Y-Coordinate,STARLINK-30081 - Y-Coordinate,STARLINK-2427 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-3894 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6074 - Z-Coordinate,STARLINK-30081 - Z-Coordinate,STARLINK-2427 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-3894 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5156.0510,34.1612,-2855.4064,-1683.2214,528.9379,357650.2603,353577.1591,345324.5885,348431.9469,345162.4322,346700.9284,354574.7302,351627.1324,161281711.6725,161266754.8353,161274081.6876,161277934.0737,351229.1876,161270670.4996,-1969.1662,-6829.7064,3219.3947,5409.2613,4536.6346,-161226.4802,-197278.9173,-177986.3486,-173346.0378,-180982.8678,-177693.4371,-180967.6172,-179467.4961,44742928.4904,44713714.9590,44768517.7163,44756843.0666,-178012.9736,44757604.4667,4190.2120,-1212.9990,5414.1223,-3609.9231,-5199.1274,71099.7650,66663.8028,65106.6616,72770.6894,70834.9332,60116.3233,60318.9115,67757.1983,71957074.4583,71929736.5752,71957751.7734,71938350.6131,66799.0204,71948125.2242,
3600.000,4850.5948,2419.9653,-986.0674,-2843.2956,-3809.3700,386163.8629,391450.4554,379201.2936,382998.4994,379013.8107,380081.8588,387874.6705,384125.6252,144217800.2886,144212793.9377,144203457.3658,144210657.9058,385115.7658,144205799.1830,-2103.0925,5025.3398,-5124.8983,-2967.8122,-5347.0232,-65692.6129,-101762.2683,-82424.3276,-79377.0189,-87312.1464,-84168.9302,-86132.1361,-82535.2440,85049539.6674,85022706.5479,85071848.1116,85071089.8812,-83929.7907,85064729.4332,-4496.0346,4110.2361,-4553.6470,5299.0561,2173.8643,69456.3689,64917.2601,64528.5755,69453.0048,70837.9248,61014.3493,56991.9240,64630.4217,71966415.7525,71939504.7498,71973801.9054,71953420.9165,65222.6054,71959886.9664,
7200.000,-3855.4091,-4925.2887,3566.0722,6342.6446,4951.6468,389676.6817,403925.5007,388777.1278,393250.3675,388400.2716,389884.4024,396023.7529,395590.6501,117278882.8721,117282352.2436,117260599.3347,117263843.2761,394224.0796,117265735.2327,5376.5399,-1804.5990,5870.8456,155.5172,4302.7855,33610.9597,243.9625,18555.1337,19847.4347,12109.3481,15030.2334,13941.2118,14702.3242,119567099.1414,119544904.7833,119582781.7756,119590160.5819,15758.8143,119582295.7560,2074.6381,-4542.4477,864.9116,-2202.1489,2184.9216,67766.6656,63168.1606,64131.0430,65177.1292,70337.3809,62827.2485,54392.0829,64051.4797,71975318.1021,71949364.3197,71987922.1772,71971514.0012,63640.7457,71971632.5822,
10800.000,1945.1343,6432.2376,-4355.7771,-5698.3965,-4462.2818,368184.2257,390145.3805,373418.1274,379085.9806,372480.7848,377271.7621,378679.4219,376190.5603,82300302.3496,82310341.2147,82282085.5224,82281373.2946,377913.4838,82286096.6413,-6465.8400,-1336.3790,-4218.1285,2032.5269,-959.0736,130291.3900,102082.0805,118519.4501,115994.7225,110908.7805,114928.7920,112666.7745,115213.5874,145930671.7787,145914777.9279,145938697.8540,145945214.2498,114628.5246,145945341.9567,1576.4473,2212.6891,3332.3540,-2918.2936,-5202.6785,66032.6376,61418.6913,63596.8021,60351.2577,69348.0975,64427.8476,52455.3660,62033.8394,71983965.6279,71959330.1539,72000230.7068,71989050.0677,62053.5760,71983362.0564,
14400.000,1068.0169,-5828.3827,4200.4243,1197.3966,3477.8434,323273.7460,350972.4698,334031.0839,339387.0294,332119.7088,340467.3311,337129.3973,338940.2474,41668596.7773,41683063.2723,41654257.9274,41655595.2727,337184.2571,41653673.5272,5343.2685,3469.2727,346.0294,-3840.3812,-3331.6068,218208.7764,197077.3841,211091.8906,202906.0532,202703.0049,208705.6881,203686.7635,206241.5963,162331253.0045,162322685.9555,162332843.7328,162337634.1795,206293.6673,162344976.6901,-4298.4399,1433.4240,-5497.3316,5365.3809,4956.9732,64255.7214,59671.6029,62643.8053,59852.6876,67862.9788,60141.7923,51159.1124,60274.7343,71992557.9080,71969418.6655,72011061.6402,72000163.1516,60461.2313,71995075.3734,
18000.000,-4422.9116,2901.6058,-3853.0585,3565.1363,-2476.8062,257995.0224,288940.0230,273026.0080,277167.8770,269816.8223,278251.5328,274175.0002,272952.7933,-1841294.1388,-1824604.3243,-1849110.0283,-1846949.1849,274616.7277,-1856431.4014,-2998.8508,-4668.9111,3859.9067,4858.1181,6247.7070,291860.9104,278975.4971,290315.1692,279433.9315,281535.3076,288135.2707,281251.2173,284311.0180,167639911.7693,167639071.8530,167637905.4989,167646341.1623,284820.2142,167652492.0366,4411.7829,-4234.6648,4256.7975,-2966.3763,-1640.4371,62436.8844,57930.5582,61100.8442,60797.8740,65848.2027,54983.1948,50516.5074,59418.9227,72001297.0523,71979648.2075,72020775.7461,72007372.2079,58863.8466,72006772.5180,
21600.000,6654.6461,1161.7190,3114.5755,-5357.9580,845.7074,176641.0660,208092.8698,194210.9483,197203.8789,189552.8596,197148.0324,193908.2052,195511.9368,-45255519.5940,-45238725.7826,-45255810.8481,-45258214.6828,194207.9978,-45270336.1158,545.1163,5173.7969,-6169.0665,-3432.6268,-6304.7601,346719.4634,342353.1793,351015.3395,339056.5353,342293.3288,348468.6934,340580.6906,346017.7919,161485527.4536,161492227.9107,161483552.0159,161496915.9043,345110.5528,161497041.9324,-1884.7231,4458.9890,-414.5264,-2149.7036,-2724.9305,60576.6716,56200.7575,58953.4685,61298.0141,63232.6349,50780.9319,50579.3942,56501.0020,72010374.6117,71990039.5619,72029687.1764,72014163.6431,57261.5573,72018453.4747,
25200.000,-6488.7656,-4521.4941,-1108.9727,4036.8562,1886.5108,84454.6572,113726.3143,102598.2276,104524.9901,96572.8063,103306.9514,101377.6908,100244.7490,-85604571.8078,-85589580.5313,-85598050.1006,-85609535.9337,101116.5833,-85618641.5706,1671.2797,-4862.3858,5744.1173,-831.4692,3923.6711,379497.3201,382974.0798,389155.5913,377147.6103,381098.2968,386003.1773,378202.1616,382031.9599,144280759.8515,144294282.8776,144282410.3792,144297406.0131,383235.0332,144291540.2008,-1801.3101,-2007.7018,-3708.9107,5289.9005,5366.1125,58675.2292,54490.1732,56347.8954,61270.1661,59884.1106,47423.4997,51446.9820,56722.3283,72019959.1726,72000616.5506,72038051.1721,72022007.6631,55654.4986,72030118.2282,
28800.000,3899.7542,5949.3020,-2232.0182,-1636.5945,-5016.2406,-12719.0984,12037.3990,4105.6091,5005.5576,-2752.9302,3141.2027,2078.6494,1675.7432,-120126413.0716,-120114800.9287,-120115255.3976,-120137171.8151,1331.2864,-120139530.2537,-3692.3968,3147.6888,-3513.3692,5394.4187,-901.7364,388331.6188,398062.7598,402146.8129,390880.5000,395697.7047,398495.9162,392352.6100,397889.2856,117194425.7008,117213593.4392,117202558.6399,117213268.3755,396688.6829,117204970.5097,4378.8359,-1679.7226,5523.0208,-3652.2842,-4680.9858,56732.3123,52812.2995,53551.8598,60739.5960,55578.2098,44794.0025,53230.2499,52803.0263,72030185.4373,72011406.8124,72046072.5818,72031641.6648,54042.8060,72041766.7632,
