sl_10_86400_20260930 Coordinates.csv
2026/09/30 07:47:00.0000 UTC

Generated: Tue Oct  8 16:59:36 2024,
Start: 2026/09/30 07:47:00.00, Stop: 2026/10/01 07:47:00.00,
TIME_UNITS,STARLINK-5095 - X-Coordinate,STARLINK-31333 - X-Coordinate,STARLINK-5113 - X-Coordinate,STARLINK-31681 - X-Coordinate,STARLINK-30236 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-6104 - X-Coordinate,STARLINK-31416 - X-Coordinate,STARLINK-5500 - X-Coordinate,STARLINK-3552 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5095 - Y-Coordinate,STARLINK-31333 - Y-Coordinate,STARLINK-5113 - Y-Coordinate,STARLINK-31681 - Y-Coordinate,STARLINK-30236 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-6104 - Y-Coordinate,STARLINK-31416 - Y-Coordinate,STARLINK-5500 - Y-Coordinate,STARLINK-3552 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5095 - Z-Coordinate,STARLINK-31333 - Z-Coordinate,STARLINK-5113 - Z-Coordinate,STARLINK-31681 - Z-Coordinate,STARLINK-30236 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-6104 - Z-Coordinate,STARLINK-31416 - Z-Coordinate,STARLINK-5500 - Z-Coordinate,STARLINK-3552 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4097.4121,2835.1157,-4415.2150,-679.6181,-4401.5597,-5996.2747,-5797.5188,-874.7958,-2255.5391,4945.5506,-83996.3766,-86223.9829,-81548.0393,-84148.0802,-79164.6271,-80901.4474,-88403.2917,-87428.5088,-233325680.8575,-233340349.8047,-233327140.4787,-233332795.5417,-85854.4616,-233341986.8723,-3659.0873,-4422.5135,4728.7691,-6783.6493,5331.5241,380.6591,1778.5730,-5254.1177,792.5620,3122.8703,-342008.0234,-307893.7794,-331908.0314,-333089.1226,-326057.9168,-328150.2679,-324405.9063,-327126.0109,-8402038.7235,-8368298.2859,-8388259.4633,-8395932.5669,-327553.8713,-8400704.0741,-4233.8175,-4384.8461,2421.9286,-357.1317,-448.7906,-2975.2205,3348.0330,-4246.5057,6518.0253,3666.1931,151011.9933,149941.7826,149011.0861,154031.3673,154495.9528,144070.0522,142022.9598,148820.0040,88901599.0106,88933154.8945,88926633.8206,88922475.2091,149485.5271,88913834.7436,
3600.000,-2401.9446,-1274.0784,3243.0492,3110.1284,1971.9999,5740.1841,2760.5874,4554.7605,1841.0778,-6609.5345,4377.6432,-6372.2662,1617.0086,-667.4274,5195.9510,3364.7418,-3462.6718,-63.8857,-223150975.4216,-223174169.4002,-223155943.9463,-223161386.5755,-1600.5540,-223167238.5355,6341.6156,6713.6673,-5781.4139,5042.8645,-5881.9691,-2692.4405,-4257.2949,4933.8639,-5013.3316,-1946.5475,-350015.9563,-318828.8313,-343354.3882,-343082.3065,-336396.2589,-338219.8696,-335646.5369,-338085.1315,-68560945.7725,-68524100.2275,-68539604.8035,-68547913.8115,-338172.3217,-68558692.7027,1425.2428,252.8263,1949.1610,-3398.8681,-3088.1118,-2182.5139,-4727.0266,1115.1803,-4455.5693,502.0951,151489.6414,150634.5101,151096.2494,152800.3892,156528.8565,147880.8445,141576.2201,151362.3224,88867465.6897,88897101.6757,88889402.5629,88885007.9758,150373.3691,88879623.6243,
7200.000,180.8286,-854.9457,-144.6915,-4942.1104,1700.4106,-1346.8903,642.6948,-5703.5368,-2026.3834,5338.6079,91125.5539,73521.6291,84328.4000,81917.0346,89214.5565,85541.8367,81599.1354,81310.9268,-197740898.3820,-197774017.9024,-197752579.3789,-197758141.9511,82526.1568,-197757645.9388,-6558.2591,-5446.6465,4648.2590,-942.0808,4775.7967,3866.6751,6102.3353,-2367.4997,6644.1802,-284.9623,-335431.0323,-309583.5869,-333113.9767,-330647.5294,-325468.7133,-327430.7195,-325188.5784,-327992.7413,-124021919.6336,-123984789.6581,-123995168.8296,-124006496.3017,-327501.4645,-124018858.0268,2230.8823,4038.5634,-5119.0545,4604.4599,4711.4081,5296.4700,3212.6418,2857.0648,-218.7017,-4381.9175,151921.8685,151309.5557,152972.1135,150744.7545,158064.0260,152437.4106,141803.8032,150071.4425,88834110.2792,88860879.4195,88851778.2742,88846309.3955,151245.6419,88845403.0413,
10800.000,2663.6386,3744.8154,-3850.7577,5572.7159,-5222.6647,-3813.0161,-3151.8319,4599.6555,1138.1202,-2414.4960,170439.0397,148478.9229,161396.3251,159424.0677,167707.1943,159027.5062,161230.8237,162103.7350,-158834741.5567,-158878144.3026,-158855048.7146,-158858283.9550,161240.7435,-158852377.3395,4506.3279,1849.6220,-2734.1421,-3134.7509,-2962.4511,-4236.1097,-6168.6466,-1917.8845,-4955.0499,3469.5646,-299660.3572,-280803.6374,-301980.2368,-294384.9559,-294074.4195,-297584.9226,-293675.9249,-295499.3091,-170999231.8416,-170965106.2420,-170970365.3800,-170987772.7319,-296273.7586,-170995718.6453,-4549.2669,-5420.2859,5035.6805,-2398.8252,-3461.3863,-3531.8454,241.2319,-4644.5314,4733.9508,5453.6302,152312.4210,151968.4249,154369.6222,150704.7948,159116.2238,153586.5663,142663.0190,153517.0309,88801476.7694,88824521.1730,88813917.7147,88807419.5177,152102.2495,88811173.0154,
14400.000,-5397.3773,-6000.3737,6586.9826,-3997.8403,6871.3059,5893.4824,4537.3346,-2351.4740,1716.4892,-304.3105,237044.4274,213837.8117,228067.0872,228204.3887,235807.8508,225503.3213,230254.3201,229258.8328,-109092900.2201,-109145769.1344,-109122126.1627,-109116865.1997,229614.6525,-109111598.3726,-1462.0105,1610.1004,1082.5895,5296.1338,873.2713,2810.1350,3841.0350,5720.5365,1656.3710,-6175.4586,-245676.5588,-234336.0728,-252031.7807,-241539.6931,-244274.9119,-248891.1360,-243205.1082,-247296.4814,-206287529.1093,-206259763.7513,-206260312.9518,-206284853.3236,-246509.8810,-206284074.8128,4086.3331,2849.6463,-1801.2784,-1613.9029,69.8669,-1524.9355,-3568.4070,2836.2174,-6532.4719,-3090.2114,152676.0630,152612.5883,155143.7211,154051.5024,159675.4256,150630.7928,144148.5348,151406.8698,88769461.7872,88788054.4212,88775956.2697,88770489.6780,152943.0976,88776933.5673,
18000.000,6716.3731,5633.2990,-6384.2314,207.6803,-5871.3250,-4163.4483,-5080.4892,-275.8330,-5208.5868,2048.6814,286537.9857,265537.4735,280282.0963,282050.4704,289276.3516,279507.1105,284230.3667,283372.0740,-51914923.7912,-51975293.2447,-51951715.5264,-51931552.2964,283383.6481,-51934582.9211,-1277.1747,-3448.8525,532.3492,-5203.5651,1507.9622,998.5441,91.7495,-6704.8552,798.9475,6476.7899,-178107.0188,-173113.9490,-186459.6075,-175191.6115,-179286.0434,-184164.9918,-177175.5686,-180681.5451,-227480563.5625,-227462150.5081,-227458504.0169,-227483431.8075,-181387.6089,-227477698.4341,-1155.5983,1767.9059,-2600.5362,4403.9924,3344.3707,5146.7294,4703.8032,1140.8185,4523.3691,-1264.3790,153085.6769,153243.5595,155312.2063,157112.2241,159703.3232,148419.3036,146290.8437,155451.0233,88737921.2923,88751502.4055,88738015.6747,88739290.3754,153768.0936,88742684.7179,
21600.000,-5576.4588,-2085.5110,3490.3231,4162.7897,2937.7458,964.3638,4912.7506,3107.8344,6799.3967,-3220.4787,317121.5175,300364.9056,314876.1931,317688.4911,324741.0035,316076.1312,319787.7886,319553.3370,8792861.6664,8727919.0609,8751226.6460,8780563.4633,319212.9970,8772592.1742,3276.4180,4025.3984,-2656.3930,3723.5867,-4133.9179,-5273.2011,-3873.0798,4315.2768,-1450.8741,-3789.8150,-104873.9471,-100975.0214,-109362.6367,-98355.2363,-103308.5863,-107600.8441,-100082.9202,-105351.0832,-233135274.1071,-233128445.1770,-233120949.3954,-233134002.0957,-105038.6642,-233133409.2449,-2498.3881,-5124.9535,5330.9732,-3931.9269,-4724.4171,-4028.1051,-2991.2203,-4257.1485,82.6352,4785.0756,154246.5739,153862.9783,155050.9302,159587.9544,159122.2550,147114.1831,149162.3292,152869.9557,88706679.9064,88714885.1082,88700210.5068,88712176.8528,154577.1468,88708426.4879,
25200.000,2258.9755,-2687.7172,195.3788,-6641.8257,395.1754,1621.8959,-3572.4267,-5442.7384,-4950.2312,4420.0921,336168.6106,316149.7544,329734.4587,333098.4243,339809.2887,332385.6759,334929.3804,334459.0739,68884264.5643,68818314.9096,68841352.7101,68867873.4373,334903.4577,68863892.9193,-4645.4107,-4118.8664,5047.3568,-1492.2465,6130.4347,6450.4886,5912.5685,-201.3025,1415.4446,-469.9363,-26879.4371,-22425.8240,-25524.8973,-15497.6075,-21332.4958,-24159.2448,-17321.2033,-22277.9403,-222870029.4321,-222875955.1311,-222864596.9294,-222863619.9266,-22286.5261,-222869349.0453,4612.9789,4742.5092,-4724.4105,513.3575,3191.9663,-841.3114,-562.1338,4075.0470,-4672.6188,-5295.0339,156553.1573,154472.7109,154646.6494,161525.8299,157796.3022,146572.8141,152878.5064,157132.4057,88675542.2732,88678219.9996,88662653.8583,88682725.0915,155370.1680,88674158.8982,
28800.000,1728.0031,5760.3354,-2816.2894,5845.3900,-2903.6699,-3348.8640,776.1525,5917.9007,720.2891,-5123.8293,335561.5047,311895.4269,323920.2958,327464.1610,332673.2785,327216.3410,329441.8124,329866.5735,124256425.6789,124193262.3073,124215962.4354,124232795.2098,329525.4129,124236484.7563,5439.9252,3568.0884,-6211.1449,-1301.0039,-6283.2168,-3084.2504,-5769.8449,-3278.8500,-2264.8535,3944.8102,57313.4996,57634.5972,59833.4608,68337.9229,61062.0638,60721.4214,64672.5750,62171.0728,-197390348.7344,-197408978.5640,-197393313.1495,-197383776.4031,61658.1496,-197390761.8830,-3939.8748,-939.3234,1112.1718,3267.8446,281.4315,4908.8927,3752.4450,-769.3480,6523.2183,2421.4885,158248.0413,155074.9847,154420.1506,162965.4309,155645.3224,146705.2003,157339.7046,154479.0245,88644305.7107,88641522.6147,88625462.6066,88649822.6205,156147.0700,88639881.9697,
