sl_10_86400_20261016 Coordinates.csv
2026/10/16 07:47:00.0000 UTC

Generated: Tue Oct  8 16:59:31 2024,
Start: 2026/10/16 07:47:00.00, Stop: 2026/10/17 07:47:00.00,
TIME_UNITS,STARLINK-31232 - X-Coordinate,STARLINK-31576 - X-Coordinate,STARLINK-6273 - X-Coordinate,STARLINK-30916 - X-Coordinate,STARLINK-3053 - X-Coordinate,STARLINK-30495 - X-Coordinate,STARLINK-11110 [DTC] - X-Coordinate,STARLINK-4342 - X-Coordinate,STARLINK-1644 - X-Coordinate,STARLINK-6376 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31232 - Y-Coordinate,STARLINK-31576 - Y-Coordinate,STARLINK-6273 - Y-Coordinate,STARLINK-30916 - Y-Coordinate,STARLINK-3053 - Y-Coordinate,STARLINK-30495 - Y-Coordinate,STARLINK-11110 [DTC] - Y-Coordinate,STARLINK-4342 - Y-Coordinate,STARLINK-1644 - Y-Coordinate,STARLINK-6376 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31232 - Z-Coordinate,STARLINK-31576 - Z-Coordinate,STARLINK-6273 - Z-Coordinate,STARLINK-30916 - Z-Coordinate,STARLINK-3053 - Z-Coordinate,STARLINK-30495 - Z-Coordinate,STARLINK-11110 [DTC] - Z-Coordinate,STARLINK-4342 - Z-Coordinate,STARLINK-1644 - Z-Coordinate,STARLINK-6376 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3582.2857,-3369.8001,4996.6634,893.0861,4115.0258,-4576.4823,-2148.4040,5750.4161,-65.1430,-2955.6604,201797.0994,203928.3069,212983.3037,210842.7046,213762.3265,212654.7150,204426.9187,209155.1981,-217791666.4656,-217776619.1591,-217784381.0175,-217772440.7384,207714.4233,-217776713.8728,-2492.5292,-3007.6838,-906.7226,-6464.1404,5265.0082,-2186.8192,-3830.5836,3130.2921,-6354.5893,4207.0108,284612.0058,310699.6000,287862.4702,286106.1620,294218.0183,291772.4692,293334.9057,291163.6447,-32197563.1473,-32218730.1516,-32213191.0340,-32212473.0340,290990.0207,-32206320.6353,5253.7598,-5117.9659,-4720.1579,2032.1407,1875.7604,-4722.4076,-5120.7220,2286.1368,2698.0017,4637.8626,-186529.5276,-189033.7588,-189420.4557,-184490.6117,-183950.9280,-194360.1514,-196476.7108,-187874.5179,75302852.1970,75303610.7602,75278338.0760,75299065.3504,-188988.7091,75292030.6009,
3600.000,-2278.3571,6504.2995,-4110.5029,1911.0883,-3925.5093,5836.9768,5167.0171,-4030.3795,1706.2459,-816.3344,124947.6395,120319.3195,132781.3399,130569.4734,134442.1332,133146.8327,125907.6353,127307.0391,-201975242.5665,-201958550.9151,-201963809.6457,-201952304.3040,128364.3313,-201959463.9066,6064.8465,1147.5879,4639.1921,3987.9426,-4828.0854,-1555.1439,-418.1104,-4790.6595,6483.1753,-5698.1177,323634.7570,352074.1862,329555.8073,329279.3746,337279.3381,335061.2609,335696.8703,333223.0223,-87511685.2737,-87529209.3595,-87533466.6552,-87520048.3300,333755.4944,-87521039.5452,-2189.1604,1707.6328,3092.0843,-5217.8431,3079.2599,3382.2939,4300.5583,2978.2789,1662.1282,-3863.5214,-185963.1805,-189166.6956,-188161.0469,-186554.9630,-182754.4775,-191359.3739,-197733.5893,-190228.0896,75264855.9042,75272468.5485,75247053.7350,75265679.8736,-188923.7664,75255860.7906,
7200.000,452.3658,-6096.8554,2459.5824,-5049.3233,2680.6032,-5551.0712,-5879.0330,306.2970,-3107.4725,3707.5493,41437.3675,29030.7496,43971.4777,41037.9737,46731.7095,43652.3277,39319.0497,41532.4458,-172371326.5859,-172355041.6293,-172353097.7224,-172350011.8813,40822.5138,-172354467.6092,-6351.3026,759.9471,-6465.8127,-402.8472,1393.1664,4143.6003,3290.3854,2381.5518,-3633.3352,5809.9537,342996.7932,371252.6671,350353.0146,352174.2487,359069.4172,356182.9457,357325.6139,356084.8235,-136830230.9042,-136843642.1418,-136854354.9591,-136831642.5029,355327.0342,-136839706.0781,-2494.2387,2959.7387,407.2274,4583.3667,-6256.4573,18.6977,218.1959,-6514.7628,-4990.8389,716.6494,-185522.8371,-189282.7099,-187091.0528,-189400.8931,-182024.8016,-187596.2873,-198286.7369,-187341.6623,75226276.3713,75239901.7579,75216955.8982,75229293.6875,-188843.8313,75219690.2832,
10800.000,2348.0503,2601.8914,247.5636,6438.9772,-2176.2549,3110.1173,2748.4310,1539.7708,4585.8219,-5019.0636,-43997.1773,-64124.7401,-47777.9519,-51632.7349,-43698.9884,-51183.8809,-50060.0803,-49545.5135,-131006217.1900,-130992288.3428,-130981348.6041,-130990113.7155,-49353.6778,-130988292.3850,3557.4481,-3210.8021,5873.2765,-2212.5960,3244.3509,-5158.3869,-4127.8407,2818.0687,-554.3741,-3829.2306,341659.5178,367044.5079,348839.7111,355728.7878,358170.3184,352422.2936,356850.9091,353631.4130,-176786990.5909,-176797074.1256,-176808466.1937,-176784687.6774,354324.1613,-176796046.8283,5336.4512,-5433.1533,-3675.1552,-626.8474,5730.9829,-3426.0860,-4573.4129,6138.3889,5126.4100,2850.6512,-185169.7559,-189380.1480,-186475.8157,-190106.0362,-181747.0130,-187319.8869,-198178.2067,-190363.2523,75187269.6335,75206056.6956,75187280.4291,75190639.3296,-188748.9130,75183519.1002,
14400.000,-5311.4107,1447.2035,-3572.8182,-4484.9187,2565.0098,838.2401,2496.2132,-145.0729,-5414.9744,5102.0692,-126417.5665,-153232.0932,-136553.8582,-139132.0274,-131052.9760,-139756.1230,-136719.3167,-136559.9682,-80708785.3947,-80698580.8373,-80680428.4750,-80698241.6054,-136436.6324,-80690074.4284,86.2136,5453.1378,-3636.2396,3486.6626,-6182.0222,4997.4430,3828.0025,-6596.1265,3785.4932,78.5280,319721.3625,339759.0224,325059.3212,335233.1562,334610.4056,327386.7882,334182.5423,331372.6483,-204656162.6874,-204664603.8171,-204671001.8777,-204654900.2474,330799.0484,-204664337.5642,-4308.1899,3830.0428,4686.1272,-3808.5599,-1865.6219,4714.2053,4946.1846,-2151.1426,-2026.3407,-4693.4809,-184881.6243,-189457.1846,-186454.7896,-187477.7499,-181931.0634,-191008.0886,-197412.7866,-186917.1625,75148019.3488,75171168.9109,75156970.0451,75150399.5485,-188639.0212,75147347.2628,
18000.000,6320.0791,-3811.7951,6235.9316,-4.9119,-2247.0567,-4593.6484,-6045.5564,-2134.0006,4239.2478,-4421.1010,-200992.6293,-232654.3280,-216620.6111,-217835.4678,-209763.6147,-217870.7547,-215229.5509,-214487.7393,-24917053.1042,-24911103.9159,-24889901.3003,-24908699.4475,-214891.8725,-24898027.7670,-2603.8216,-5624.4474,1014.2927,-4120.2879,5777.4598,-4142.1790,-2789.2132,5796.3362,-4905.5298,3876.0408,278453.8033,291180.0862,280536.6668,291853.3926,289839.6915,282520.9547,290541.1969,286110.9700,-218538317.3667,-218547298.5877,-218545319.1236,-218542073.3931,286234.0740,-218545346.9591,119.0081,617.3757,-2853.3129,5446.9404,-3131.9117,-3123.7931,-1062.4616,-3167.2426,-2388.3788,3659.9256,-184644.2500,-189511.7072,-187004.1697,-185129.0161,-182615.2028,-193903.0210,-195959.4304,-190239.3960,75108724.9055,75135459.8464,75125178.9294,75109413.7003,-188514.1669,75111174.7925,
21600.000,-3999.0765,4288.0351,-6763.5291,4257.4652,-118.6909,6459.3271,5588.7878,1827.0009,-765.5955,3005.5493,-263290.7510,-297393.5822,-282835.7540,-282983.2439,-274858.9229,-282060.1120,-280533.4743,-280168.9170,32556780.9948,32558878.8116,32578538.7415,32569307.0367,-279729.4425,32575580.1935,3685.0529,2613.8778,1322.6572,4337.9470,-3002.2969,2471.0976,275.4939,-1310.9627,4403.3917,-6231.4061,220255.8139,224446.2477,218167.1751,229482.7663,226597.8632,220151.2903,228385.6578,223275.7482,-217489882.9056,-217501694.5132,-217490829.4640,-217499077.4469,223448.6588,-217495770.8564,4135.3335,-4623.6841,-736.7008,-3134.9082,6251.9208,-400.9234,-3767.4521,6551.2222,5257.9491,-407.6506,-184447.9876,-189541.1548,-187943.2745,-183336.2041,-183877.0000,-195862.7561,-193745.1427,-186627.9139,75069588.5107,75099109.0640,75091592.4617,75069272.5438,-188374.3618,75075001.7106,
25200.000,-631.6020,-3875.2135,4694.1925,-5870.2124,3923.8593,-5870.7895,-2226.3821,1784.6200,-3560.4144,-517.3764,-309548.8726,-343409.6384,-331002.8184,-330370.7568,-322354.4600,-328751.9016,-328147.5522,-326553.8976,87786815.9223,87786374.6187,87800868.3790,87808466.8961,-326821.0106,87804921.1676,-4158.2445,2207.5260,-3321.3313,-3177.5861,285.9060,224.8290,3489.5049,-2840.4754,-3460.3706,6173.3673,148537.2707,143844.5333,141987.3908,152483.9906,148645.3654,143956.4262,151197.8561,147112.8638,-201587319.4678,-201603994.6747,-201585914.2738,-201595932.3265,146421.2214,-201592335.9319,-5393.7133,5155.6045,3859.6840,-1484.1572,-5728.1412,3661.4387,5310.7708,-6078.3507,-4808.8557,-3111.0529,-184285.9731,-189542.2746,-188982.9717,-182050.1608,-185851.7028,-197029.6428,-190654.3597,-189846.0527,75030802.0962,75062255.3618,75056318.9931,75033436.0582,-188219.6187,75038828.0385,
28800.000,4707.0105,3053.9226,-1019.1418,4654.5987,-6649.4794,3637.5425,-1180.0178,-5705.0266,6343.6688,-2787.9635,-336905.8749,-367875.7558,-358123.7979,-356930.1243,-350011.3658,-355154.8984,-354030.2479,-353156.9822,137001628.4949,137000728.1331,137007952.0702,137025962.6132,-353162.5497,137018767.0275,4151.3112,-5814.7321,5047.0971,-30.1604,823.1597,-3578.1527,-6234.6225,3428.4716,2408.8754,-4235.6460,67539.2452,54531.8830,56868.6655,65930.7564,60265.7825,58525.5935,62862.7049,59162.1090,-171921605.7415,-171944593.9372,-171922090.2964,-171922614.4715,60037.4707,-171926216.4884,2703.4670,-1853.5713,-4642.8844,4998.9426,1811.0454,-4689.6009,-2282.7590,1948.9226,1282.2458,4714.8123,-184153.1636,-189510.7249,-189803.1677,-181230.9503,-188607.8618,-197492.8841,-186801.5514,-186479.9615,74992534.8902,75025004.9488,75019645.7357,75003642.7775,-188049.9512,75002653.7975,
