sl_20_5400_20260215 Coordinates.csv
2026/02/15 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:28 2024,
Start: 2026/02/15 07:47:00.00, Stop: 2026/02/15 09:17:00.00,
TIME_UNITS,STARLINK-31069 - X-Coordinate,STARLINK-31935 - X-Coordinate,STARLINK-5987 - X-Coordinate,STARLINK-1622 - X-Coordinate,STARLINK-31462 - X-Coordinate,STARLINK-1133 - X-Coordinate,STARLINK-2640 - X-Coordinate,STARLINK-31422 - X-Coordinate,STARLINK-11249 [DTC] - X-Coordinate,STARLINK-2317 - X-Coordinate,STARLINK-30841 - X-Coordinate,STARLINK-5226 - X-Coordinate,STARLINK-5929 - X-Coordinate,STARLINK-2504 - X-Coordinate,STARLINK-11135 [DTC] - X-Coordinate,STARLINK-5605 - X-Coordinate,STARLINK-30927 - X-Coordinate,STARLINK-2696 - X-Coordinate,STARLINK-1588 - X-Coordinate,STARLINK-2159 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31069 - Y-Coordinate,STARLINK-31935 - Y-Coordinate,STARLINK-5987 - Y-Coordinate,STARLINK-1622 - Y-Coordinate,STARLINK-31462 - Y-Coordinate,STARLINK-1133 - Y-Coordinate,STARLINK-2640 - Y-Coordinate,STARLINK-31422 - Y-Coordinate,STARLINK-11249 [DTC] - Y-Coordinate,STARLINK-2317 - Y-Coordinate,STARLINK-30841 - Y-Coordinate,STARLINK-5226 - Y-Coordinate,STARLINK-5929 - Y-Coordinate,STARLINK-2504 - Y-Coordinate,STARLINK-11135 [DTC] - Y-Coordinate,STARLINK-5605 - Y-Coordinate,STARLINK-30927 - Y-Coordinate,STARLINK-2696 - Y-Coordinate,STARLINK-1588 - Y-Coordinate,STARLINK-2159 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31069 - Z-Coordinate,STARLINK-31935 - Z-Coordinate,STARLINK-5987 - Z-Coordinate,STARLINK-1622 - Z-Coordinate,STARLINK-31462 - Z-Coordinate,STARLINK-1133 - Z-Coordinate,STARLINK-2640 - Z-Coordinate,STARLINK-31422 - Z-Coordinate,STARLINK-11249 [DTC] - Z-Coordinate,STARLINK-2317 - Z-Coordinate,STARLINK-30841 - Z-Coordinate,STARLINK-5226 - Z-Coordinate,STARLINK-5929 - Z-Coordinate,STARLINK-2504 - Z-Coordinate,STARLINK-11135 [DTC] - Z-Coordinate,STARLINK-5605 - Z-Coordinate,STARLINK-30927 - Z-Coordinate,STARLINK-2696 - Z-Coordinate,STARLINK-1588 - Z-Coordinate,STARLINK-2159 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6069.6999,-2792.3898,-1661.3331,-1614.2770,-6304.1907,2988.0858,6517.3005,-4372.0269,-4370.8560,-3028.7541,5139.8555,855.6029,-3987.5942,4391.5283,-4149.5808,-5602.4695,3693.7657,3703.3077,779.0695,-37.5934,-255873.4671,-284364.9366,-271743.2003,-267708.9547,-276040.1149,-272982.2514,-270377.6179,-270163.3003,-176031367.2460,-176050478.0518,-176010011.2854,-176013774.9995,-270082.1739,-176015990.5873,-3338.0591,-6065.4868,-5773.6713,6508.6087,1652.0925,5499.6674,479.8643,4075.7055,1367.1517,-4749.7501,1247.0634,-4105.3927,3282.8841,1404.4342,-4606.4856,3867.4139,-3701.7493,5350.8825,5029.4355,-4545.1393,251160.2061,233677.3377,246313.3716,245642.9726,243784.2051,244349.5590,236278.7336,242247.9812,289261119.4840,289252113.2159,289279821.2461,289279977.5180,240491.9054,289274451.1245,-295.6136,-1370.4543,-3501.2926,-1466.4273,2004.2455,2934.7855,2237.6001,-3279.3792,4933.0638,-3987.9263,4472.5555,5489.5113,-4657.0287,-5136.6003,-2648.3015,1385.1405,4396.8015,1466.2189,-4671.1038,-5183.4158,-151650.9707,-155854.9466,-155734.2930,-149513.9077,-150042.6761,-160670.9849,-161775.7490,-154805.2267,-100095221.8629,-100119413.0293,-100083230.8210,-100091135.2092,-154694.7739,-100097012.4769,
300.000,5000.4421,-3931.8599,-2570.1302,-425.8792,-6000.0099,3706.7676,6849.1925,-3405.1422,-2836.7466,-3721.4521,5789.0423,-1322.3399,-4250.2513,4094.2381,-4490.9795,-5305.8519,1693.8811,4756.9236,2557.0003,-1992.0453,-261210.5693,-289188.6897,-276657.9829,-272721.4313,-281099.4469,-278071.6027,-275380.3245,-275372.2982,-182303884.1879,-182322442.9894,-182283153.0838,-182287087.0390,-275108.0779,-182288555.5924,-4454.1364,-4836.9760,-6272.7331,6840.5333,3203.7587,3950.4491,-773.4223,5553.8279,2897.1070,-2952.1733,-677.1645,-4082.5940,4652.7642,-720.7658,-2951.4927,4426.4154,-4066.8049,4665.0499,5400.0749,-3636.7463,245766.4648,227750.5414,240626.5843,239861.1962,238047.6259,238629.6033,230617.4085,236459.5000,285350830.1934,285341272.1887,285369775.9438,285369867.1180,234759.2203,285364249.1889,-1801.7568,-2761.4383,-1545.8298,343.4389,505.7869,4290.6068,481.3735,-2006.1861,5372.2344,-5008.0521,3744.2453,5413.1700,-2940.6239,-5510.5761,-4072.0026,-738.8809,5220.1738,-367.3049,-3466.3698,-5508.0176,-151587.5654,-155780.3750,-155557.9395,-149561.8283,-149826.2850,-160391.1257,-161844.3548,-154239.8193,-100090343.9685,-100114428.3789,-100077806.3278,-100085612.7075,-154608.7756,-100091875.4024,
600.000,3439.5998,-4696.7811,-3199.8225,809.9364,-5086.2867,4104.8591,6498.1486,-2109.6564,-1035.6478,-4099.5562,5904.4367,-3367.1984,-4114.5862,3449.3453,-4394.2715,-4463.5681,-485.5119,5285.5161,4055.2380,-3778.4858,-266435.0643,-293887.6068,-281450.8515,-277611.3705,-286035.2322,-283038.1631,-280264.4875,-280432.9743,-188489568.8041,-188507566.3135,-188469474.6275,-188473581.1296,-280012.3456,-188474291.6499,-5154.5288,-3109.7276,-6144.0995,6475.2841,4424.2382,2002.4315,-1944.0350,6460.3124,4164.8638,-860.9070,-2512.5867,-3714.9810,5529.9573,-2789.2452,-961.4451,4542.8057,-4072.8644,3458.3074,5262.6046,-2418.5169,240258.3054,221725.0587,234831.2647,233972.2273,232203.6639,232799.7627,224853.1625,230422.7285,281304551.7389,281294456.5796,281323711.7186,281323700.7526,228921.4994,281318056.2664,-3115.1545,-3841.8395,573.7061,2115.3539,-1049.5752,5183.5652,-1326.9585,-507.1310,5185.6459,-5486.5603,2614.7040,4753.0803,-912.5024,-5289.0741,-5022.9943,-2784.3561,5461.3749,-2156.8399,-1886.9089,-5235.2589,-151524.2972,-155705.5797,-155379.6870,-149614.8054,-149613.4378,-160105.2763,-161907.3678,-153703.9655,-100085466.5561,-100109442.6668,-100072394.7318,-100080128.6900,-154522.6853,-100086738.1174,
900.000,1534.0802,-5020.3631,-3511.1610,1987.2598,-3648.6763,4153.0720,5496.8293,-603.1583,838.5709,-4131.0721,5465.9069,-5074.2353,-3570.9854,2518.9439,-3881.3682,-3146.2057,-2618.6709,5247.2051,5134.4928,-5215.2715,-271544.4773,-298459.6680,-286119.6156,-282376.6093,-290845.3179,-287879.3331,-285028.0107,-285324.8267,-194585473.3354,-194602900.6327,-194566026.4979,-194570302.0304,-284792.7818,-194570250.9192,-5383.8342,-1059.3070,-5387.6024,5452.4024,5202.4773,-150.2762,-2935.5768,6704.7201,5031.1629,1313.7977,-4087.5992,-3031.4011,5838.8455,-4592.7799,1152.6938,4227.4111,-3722.2305,1851.0487,4615.5890,-1010.2596,234638.0454,215603.5523,228929.9445,227978.4539,226255.0652,226862.4734,218988.3157,224157.9327,277124211.5863,277113593.9838,277143555.5867,277143407.3873,222981.3225,277137799.6790,-4095.7169,-4490.6842,2632.2451,3653.5802,-2487.0415,5517.5245,-2991.8932,1049.0688,4395.0130,-5372.1865,1204.8779,3580.1485,1212.4745,-4495.9055,-5391.6727,-4534.2304,5093.5811,-3688.2698,-103.1579,-4394.5251,-151461.1663,-155630.5568,-155199.7109,-149672.9482,-149404.1084,-159813.3548,-161964.8590,-153233.6484,-100080589.5083,-100104455.8842,-100066996.0397,-100074682.8256,-154436.5030,-100081600.6220,
1200.000,-534.6009,-4876.5536,-3497.2723,3003.4038,-1827.3242,3850.5031,3944.0448,975.1775,2588.8033,-3811.4508,4505.5834,-6272.8385,-2651.2526,1387.0111,-3012.0646,-1475.6484,-4484.1483,4661.5703,5699.2867,-6152.3101,-276536.3799,-302902.9103,-290662.1378,-287015.0452,-295527.6037,-292592.5404,-289668.8388,-290032.2365,-200588692.7928,-200605541.3255,-200569902.0457,-200574337.8967,-289447.2459,-200573528.3235,-5129.5493,1105.2830,-4068.8997,3879.4304,5472.2498,-2292.4474,-3668.3964,6265.3602,5394.4021,3353.7832,-5258.0874,-2086.3823,5563.5362,-5947.8823,3164.4231,3532.5887,-3046.7211,10.4164,3507.5862,454.9955,228908.0560,209388.7264,222925.2058,221882.2886,220204.6141,220820.2182,213025.2408,217696.4583,272811801.0869,272800675.8733,272831298.5381,272830980.4006,216941.3155,272825470.6380,-4639.2097,-4635.5095,4410.9856,4788.2878,-3645.4682,5256.4844,-4333.9658,2486.9027,3092.2134,-4677.2342,-334.1143,2020.6933,3208.5800,-3216.2882,-5135.6381,-5803.7447,4157.6053,-4779.1159,1691.7481,-3076.4700,-151398.1725,-155555.3027,-155018.1898,-149736.3708,-149198.2715,-159515.2786,-162016.8963,-152859.0432,-100075712.7073,-100099468.0221,-100061610.2374,-100069274.4626,-154350.2289,-100076462.9163,
1500.000,-2567.7450,-4281.6108,-3181.6581,3767.5562,197.1228,3224.2198,1994.3730,2477.3504,4035.4658,-3164.2265,3105.9713,-6844.0817,-1427.8570,152.2662,-1876.9921,386.7270,-5887.8735,3604.9646,5706.5686,-6486.9872,-281408.3919,-307215.4283,-295076.3349,-291524.6383,-300080.0426,-297175.2379,-294184.9595,-294545.9595,-206496366.3409,-206512627.9246,-206478238.7806,-206482821.6703,-293973.6530,-206481262.9337,-4421.8717,3162.8355,-2313.6764,1920.0695,5217.1485,-4209.3124,-4085.3718,5191.2843,5202.8821,5054.5780,-5920.7802,-956.3233,4747.9966,-6714.5971,4855.6163,2544.1553,-2104.9918,-1867.4042,2034.2284,1843.2141,223070.7611,203083.3261,216819.6807,215686.1659,214055.1324,214675.5243,206966.3619,211077.6673,268369374.5286,268357756.6484,268388994.5865,268388476.5260,210804.1488,268383123.2950,-4688.0392,-4260.1246,5721.0930,5394.4045,-4395.4079,4428.3554,-5209.1210,3644.1378,1428.8950,-3476.3225,-1837.3313,243.0077,4863.7223,-1588.1518,-4284.2641,-6459.6656,2757.5536,-5300.0057,3303.1256,-1423.7279,-151335.3160,-155479.8132,-154835.3051,-149805.1917,-148995.9023,-159210.9649,-162063.5446,-152601.9096,-100070836.0351,-100094479.0717,-100056237.2912,-100063902.7013,-154263.8628,-100071325.0002,
1800.000,-4368.4222,-3292.2298,-2613.1607,4208.5556,2221.5966,2326.9901,-157.7712,3760.3878,5035.1615,-2239.8457,1392.9199,-6733.0531,-8.4787,-1079.9622,-588.4535,2255.8891,-6683.7439,2200.1286,5168.6541,-6175.9859,-286158.1822,-311395.3752,-299360.1793,-295903.4135,-304500.6425,-301624.9019,-298574.4050,-298863.8107,-212305678.6616,-212321345.4797,-212288219.7385,-212292932.4305,-298369.9749,-212290639.3325,-3329.9590,4902.2589,-295.1536,-223.3657,4470.5723,-5708.1730,-4155.5917,3596.5546,4462.3148,6245.8564,-6022.2882,266.2107,3489.5317,-6811.5048,6039.9112,1370.6126,-977.9020,-3578.0296,330.1211,3031.3990,217128.6368,196690.1358,210616.0499,209392.5377,207809.4783,208430.9617,200814.1527,204345.1753,263799048.1570,263786952.6586,263818759.7884,263818014.7788,204572.5366,263812873.7634,-4237.0834,-3406.3426,6423.7860,5405.2171,-4653.2879,3122.1304,-5523.8149,4390.3212,-401.0426,-1898.8042,-3143.9298,-1560.9374,6002.3392,212.3213,-2935.5680,-6433.5575,1049.5251,-5189.3796,4556.2181,384.1225,-151272.5966,-155404.0842,-154651.2405,-149879.5342,-148796.9773,-158900.3315,-162104.8659,-152473.9981,-100065959.3737,-100089489.0239,-100050877.1489,-100058566.4571,-154177.4050,-100066186.8737,
2100.000,-5760.3327,-2000.4516,-1858.8982,4281.2829,4040.8281,1233.2411,-2297.6538,4699.8492,5495.1218,-1112.4947,-475.8601,-5954.2940,1473.5344,-2206.3505,730.2044,3941.3698,-6789.4420,601.8338,4150.2984,-5241.2924,-290783.4698,-315440.9637,-303511.6996,-300149.4633,-308787.4675,-305939.0292,-302835.2532,-302990.5186,-218013861.2958,-218028925.8992,-217997074.8283,-218001896.7112,-302634.2407,-217998888.9555,-1955.2040,6144.0875,1783.4197,-2331.0685,3311.1784,-6638.1296,-3875.9694,1647.6721,3237.2022,6808.8975,-5562.9253,1479.7414,1926.7741,-6225.0167,6583.5004,131.1857,237.9484,-4930.7157,-1443.5975,3918.4032,211084.2103,190211.9785,204317.0415,203003.8692,201470.5462,202089.1409,194571.1353,197542.9454,259102999.1673,259090441.1949,259122771.2329,259121775.3676,198249.2352,259116899.1110,-3334.1866,-2169.5680,6444.6995,4819.4956,-4390.3689,1478.5980,-5244.5227,4641.4695,-2184.2874,-115.2756,-4114.5045,-3196.6079,6503.9293,1989.6997,-1245.5118,-5728.3233,-775.7404,-4460.3001,5315.3156,2150.0443,-151210.0145,-155328.1116,-154466.1821,-149959.5259,-148601.4737,-158583.2982,-162140.9194,-152476.5564,-100061082.6049,-100084497.8696,-100045529.7413,-100053264.5128,-154090.8553,-100061048.5369,
2400.000,-6605.0522,-525.6066,-996.2924,3971.2889,5467.8554,33.3430,-4211.4100,5201.7255,5381.6116,125.1706,-2325.4574,-4589.6312,2871.7358,-3133.9495,1955.9957,5266.3737,-6195.3681,-1019.8355,2760.6023,-3769.2262,-295282.0252,-319350.4665,-307528.9822,-304260.9504,-312938.6389,-310115.1344,-306965.6291,-306936.8652,-223618193.9623,-223632649.2692,-223602082.1543,-223606989.7873,-306764.5380,-223603291.4111,-422.1029,6759.2416,3709.3344,-4188.3250,1854.5767,-6905.8617,-3270.9945,-454.1573,1645.4737,6689.0467,-4595.1706,2582.0231,224.0249,-5011.4880,6420.9846,-1056.1024,1438.1343,-5769.3237,-3114.6331,4433.3919,204940.0583,183651.7140,197925.4303,196522.6342,195041.2652,195652.7110,188239.8788,190711.7233,254283464.6670,254270459.4524,254303266.0018,254301998.5902,191837.0422,254297436.3221,-2075.2978,-688.5111,5781.4233,3701.6412,-3635.8058,-324.7277,-4401.0674,4369.3700,-3713.4185,1680.7493,-4645.8475,-4488.2108,6315.4204,3550.7974,589.5917,-4417.8542,-2514.4578,-3199.0169,5498.3295,3681.3266,-151147.5698,-155251.8908,-154280.3174,-150045.2980,-148409.3697,-158259.7885,-162171.7612,-152600.8246,-100056205.6103,-100079505.5995,-100040194.9836,-100047995.5622,-154004.2140,-100055909.9898,
