sl_20_5400_20260605 Coordinates.csv
2026/06/05 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:27 2024,
Start: 2026/06/05 07:47:00.00, Stop: 2026/06/05 09:17:00.00,
TIME_UNITS,STARLINK-11264 [DTC] - X-Coordinate,STARLINK-32243 - X-Coordinate,STARLINK-5867 - X-Coordinate,STARLINK-5810 - X-Coordinate,STARLINK-32085 - X-Coordinate,STARLINK-31841 - X-Coordinate,STARLINK-1683 - X-Coordinate,STARLINK-4168 - X-Coordinate,STARLINK-6364 - X-Coordinate,STARLINK-4774 - X-Coordinate,STARLINK-31494 - X-Coordinate,STARLINK-11113 [DTC] - X-Coordinate,STARLINK-1153 - X-Coordinate,STARLINK-2672 - X-Coordinate,STARLINK-4609 - X-Coordinate,STARLINK-1407 - X-Coordinate,STARLINK-5944 - X-Coordinate,STARLINK-1896 - X-Coordinate,STARLINK-3004 - X-Coordinate,STARLINK-4676 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11264 [DTC] - Y-Coordinate,STARLINK-32243 - Y-Coordinate,STARLINK-5867 - Y-Coordinate,STARLINK-5810 - Y-Coordinate,STARLINK-32085 - Y-Coordinate,STARLINK-31841 - Y-Coordinate,STARLINK-1683 - Y-Coordinate,STARLINK-4168 - Y-Coordinate,STARLINK-6364 - Y-Coordinate,STARLINK-4774 - Y-Coordinate,STARLINK-31494 - Y-Coordinate,STARLINK-11113 [DTC] - Y-Coordinate,STARLINK-1153 - Y-Coordinate,STARLINK-2672 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,STARLINK-1407 - Y-Coordinate,STARLINK-5944 - Y-Coordinate,STARLINK-1896 - Y-Coordinate,STARLINK-3004 - Y-Coordinate,STARLINK-4676 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11264 [DTC] - Z-Coordinate,STARLINK-32243 - Z-Coordinate,STARLINK-5867 - Z-Coordinate,STARLINK-5810 - Z-Coordinate,STARLINK-32085 - Z-Coordinate,STARLINK-31841 - Z-Coordinate,STARLINK-1683 - Z-Coordinate,STARLINK-4168 - Z-Coordinate,STARLINK-6364 - Z-Coordinate,STARLINK-4774 - Z-Coordinate,STARLINK-31494 - Z-Coordinate,STARLINK-11113 [DTC] - Z-Coordinate,STARLINK-1153 - Z-Coordinate,STARLINK-2672 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,STARLINK-1407 - Z-Coordinate,STARLINK-5944 - Z-Coordinate,STARLINK-1896 - Z-Coordinate,STARLINK-3004 - Z-Coordinate,STARLINK-4676 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6659.6792,6025.1642,1624.9624,-6462.5385,3762.7973,0.0000,-1113.6003,2672.6783,-4784.9838,6679.5889,3977.8242,6229.9178,2334.0697,-1354.0987,-1448.4995,-3054.7174,-4781.7612,5134.3607,-948.8196,-6744.0550,-195936.6209,-184438.6638,-202071.3051,-202332.9925,-198011.5121,-199350.4900,-192628.8961,-195088.6426,-271354860.4296,-271324431.2934,-271347224.9384,-271349559.7186,-196642.8858,-271351195.7866,-433.2895,-2625.1679,-6730.6241,-1005.5222,-5157.8948,0.0000,6755.2881,-3345.3284,-1717.3844,-1741.8104,5493.0114,132.8842,-5126.1945,4189.1841,-3942.7251,3124.9958,1703.8268,-1815.7392,-2109.6640,1053.8440,-313184.3322,-332147.0494,-323022.6442,-319526.2301,-326942.7594,-324351.6100,-319246.8933,-319381.1046,157853634.7566,157855770.1541,157852165.0747,157874979.6651,-320254.1724,157870089.7096,-480.1819,-1852.9792,-664.3861,-2398.8550,2348.4535,0.0000,700.4939,-5421.9723,-4714.7047,-572.6526,-702.5258,2533.4468,3999.6367,5117.2490,5484.2755,5337.7470,4711.9447,-4062.8197,-6548.5708,1086.7570,-134526.1083,-137625.5176,-137284.4359,-131633.2649,-131674.8878,-142220.3931,-143783.6827,-136155.2877,85116278.6570,85148403.2511,85141213.1540,85121844.8045,-136511.8393,85127819.2584,
300.000,-6500.0213,5650.8148,886.9669,-6944.3823,1962.8871,0.0000,172.6520,650.8556,-5196.5418,5856.7362,4913.1494,5273.5551,446.3197,824.5771,-3473.3956,-1076.6541,-3945.1774,5197.6426,-784.3231,-6500.6326,-189448.4602,-177489.2340,-195331.5051,-195483.8193,-191196.9240,-192534.7404,-185901.6084,-188359.4127,-274734578.1479,-274703586.2397,-274726302.7595,-274729970.2534,-189840.8754,-274730875.0505,803.4890,-3830.3323,-6344.4954,-411.9306,-5464.4619,0.0000,6430.3301,-4150.2326,392.0823,-3077.1567,4196.5510,-1239.2574,-4726.7363,3975.9344,-3332.9489,4029.6962,3660.6930,-3490.2394,-4139.4373,2239.2721,-317060.7489,-335984.3093,-327028.9360,-323605.4533,-331077.4066,-328516.4038,-323358.4992,-323326.1292,151891161.5202,151893654.5810,151889474.5880,151912801.5946,-324359.9491,151907545.8157,1358.5401,-54.8716,-2715.2104,-322.2839,3541.1803,0.0000,2439.7075,-5485.1619,-4573.5657,-2056.3023,-2181.5842,3984.2082,5015.3557,5392.0607,4955.6604,5494.0350,4360.1130,-2637.4181,-5521.2603,-729.6836,-134363.1058,-137539.5278,-137090.1893,-131674.5912,-131453.2605,-141920.4282,-143832.0043,-136525.5279,85120288.5176,85152367.4564,85145089.4984,85126283.4246,-136413.0094,85131917.0387,
600.000,-5623.5906,4691.0614,24.9578,-6724.1544,-55.9664,0.0000,1468.4134,-1413.1544,-5148.2830,4462.2186,5366.2031,3762.2644,-1516.0294,2925.9664,-5158.9249,985.1371,-2766.9366,4739.0569,-458.1407,-5607.2561,-182884.4122,-170461.0456,-188502.5106,-188546.6702,-184295.0379,-185629.0956,-179089.2297,-181658.4964,-277983302.7380,-277951753.0803,-277974377.7068,-277979405.9102,-182953.1198,-277979558.0443,1967.8340,-4638.0010,-5326.3137,219.1558,-5240.1020,0.0000,5462.5226,-4600.3393,2452.0036,-4133.2182,2461.8285,-2521.3629,-3904.6569,3400.4637,-2447.3416,4589.4564,5272.1588,-4779.3624,-5722.1982,3209.4682,-320810.5362,-339675.3385,-330889.6175,-327538.5718,-335065.3349,-332533.5277,-327329.1887,-327208.3449,145856371.7417,145859241.8387,145854493.4146,145878235.8541,-328321.2737,145872687.5636,3035.3811,1749.3615,-4478.6341,1788.3036,4332.9771,0.0000,3911.7479,-4957.1789,-3944.0453,-3319.3806,-3415.4034,4968.7323,5489.5202,5044.4913,3892.5014,5055.4107,3541.1536,-912.3273,-3908.0859,-2467.3707,-134202.0946,-137453.3596,-136894.5763,-131720.9856,-131235.1715,-141614.4064,-143874.8410,-136887.2916,85124303.4045,85156329.8508,85148961.3420,85130768.2338,-136314.1025,85136014.5870,
900.000,-4128.6597,3233.7106,-895.6380,-5825.3103,-2089.3084,0.0000,2658.6825,-3314.9335,-4638.3713,2631.0627,5302.6363,1865.2812,-3359.1592,4723.6352,-6334.6264,2925.3245,-1353.6811,3789.9714,-27.9051,-4149.5290,-176246.5881,-163357.2009,-181587.3559,-181524.3916,-177309.0522,-178636.6294,-172194.5665,-174972.8295,-281099487.6463,-281067385.8741,-281089904.2484,-281096311.1263,-175982.6861,-281095698.3118,2951.2062,-4981.6778,-3788.3494,851.7060,-4515.3804,0.0000,3955.1723,-4644.4460,4263.8726,-4820.1510,461.0708,-3585.1911,-2747.2280,2520.3187,-1362.0399,4743.0659,6379.1635,-5558.9256,-6683.9517,3887.4960,-324431.8280,-343218.5328,-334602.8892,-331323.7546,-338904.8336,-336400.7309,-331157.1687,-331037.6398,139752142.7832,139755409.2210,139750099.2245,139774154.7496,-332136.3552,139768392.4490,4350.6177,3357.2954,-5768.9976,3709.7305,4634.3840,0.0000,4955.5331,-3894.5120,-2893.0344,-4226.8665,-4265.7927,5372.2141,5371.0545,4114.5119,2409.2423,4069.1685,2342.6546,916.5665,-1879.3030,-3939.0829,-134042.9694,-137367.0106,-136697.7812,-131772.5565,-131020.5930,-141302.2457,-143912.2601,-137205.8807,85128323.3550,85160290.4632,85152828.8115,85135298.1038,-136215.1186,85140111.9036,
1200.000,-2182.4863,1420.4972,-1797.6062,-4341.6178,-3928.8214,0.0000,3634.3445,-4868.3477,-3705.6746,541.0305,4737.4504,-208.9281,-4897.5562,6022.6308,-6881.0159,4553.3535,168.7043,2433.4955,431.4530,-2270.4542,-169537.1862,-156180.8350,-174589.1183,-174419.8425,-170242.1969,-171560.4627,-165220.4727,-168281.3022,-284081649.5107,-284049001.8715,-284071400.0510,-284079192.6560,-168932.6791,-284077812.5940,3660.8668,-4841.8441,-1893.6074,1446.9587,-3367.9592,0.0000,2065.3568,-4265.9056,5654.1914,-5080.7144,-1604.8325,-4319.6593,-1369.2153,1418.7229,-168.3871,4464.2088,6871.2337,-5759.9001,-6918.6858,4223.0897,-327922.8145,-346612.3540,-338167.0174,-334959.2350,-342594.2531,-340115.7985,-334840.7015,-334816.2871,133581385.0637,133585067.0594,133579202.7047,133603464.6844,-335803.4673,133597571.0200,5147.8908,4588.5890,-6451.1698,5238.8897,4411.4106,0.0000,5457.0255,-2411.1671,-1532.4888,-4682.0824,-4637.8059,5147.7320,4672.6448,2709.2313,665.8744,2641.8861,893.0010,2641.0222,349.7368,-4986.9181,-133885.6336,-137280.4782,-136499.9902,-131829.4159,-130809.4985,-140983.8644,-143944.3261,-137448.7790,85132348.4041,85164249.3220,85156692.0318,85139871.0392,-136116.0577,85144208.9883,
1500.000,-1.9165,-567.0265,-2598.0347,-2426.7469,-5383.7055,0.0000,4301.9468,-5923.8723,-2427.4764,-1604.8368,3732.1347,-2235.7360,-5972.7744,6681.0639,-6742.2889,5712.4318,1666.1677,797.5886,838.8794,-155.8197,-162758.4840,-148935.1146,-167510.9161,-167235.8903,-163097.7323,-164403.7623,-158169.8478,-161556.5050,-286928368.8674,-286895182.2199,-286917446.6855,-286926620.4955,-161806.2395,-286924481.5355,4028.1580,-4245.9559,161.9243,1964.7734,-1914.1164,0.0000,-12.9117,-3486.0194,6491.2861,-4894.4933,-3526.4517,-4642.2856,98.4909,197.0791,1034.4099,3765.6035,6697.9276,-5374.4958,-6401.0302,4195.4874,-331281.7428,-349855.3308,-341580.3345,-338443.3121,-346132.0056,-343676.5486,-338378.1058,-338537.8992,127347040.6713,127351157.3362,127344746.1719,127369105.0273,-339320.9500,127363165.4896,5332.6537,5305.3678,-6453.9648,6214.5618,3689.2641,0.0000,5361.4864,-666.9423,-7.7855,-4636.6724,-4489.9768,4321.4784,3469.4489,990.8393,-1149.3852,928.1357,-652.3892,4064.5659,2541.4060,-5498.9666,-133729.9985,-137193.7597,-136301.3913,-131891.6802,-130601.8621,-140659.1818,-143971.1002,-137588.3386,85136378.5843,85168206.4550,85160551.1254,85144484.1289,-136016.9199,85148305.8412,
1800.000,2171.1354,-2525.9664,-3215.6294,-277.5836,-6300.5793,0.0000,4592.5018,-6383.4259,-913.6195,-3597.8283,2387.8653,-3998.6637,-6470.0903,6626.2507,-5932.2781,6295.0488,3008.2293,-957.0931,1119.5108,1984.3992,-155912.8320,-141623.2363,-160355.9080,-159975.4054,-155878.9479,-157169.7395,-151045.6354,-154767.2212,-289638290.8260,-289604572.6389,-289626690.3008,-289637228.8493,-154606.5429,-289634350.3600,4014.7335,-3263.7590,2169.4640,2365.5735,-297.0049,0.0000,-2068.7991,-2364.1181,6698.1577,-4279.1418,-5106.7660,-4508.5357,1521.2056,-1033.9973,2147.2367,2699.6425,5874.2332,-4455.2911,-5189.5018,3813.7628,-334506.9181,-352946.0596,-344841.2407,-341774.3522,-349516.5668,-347080.8298,-341767.7580,-342187.1567,121052081.9610,121056652.2814,121049702.1702,121074046.9347,-342687.2096,121068148.3325,4883.0564,5427.4966,-5776.9891,6534.2653,2549.5588,0.0000,4679.2694,1149.5238,1517.7321,-4095.4944,-3838.7240,2989.8050,1891.2448,-842.0753,-2840.7595,-886.2613,-2127.9215,5025.2012,4461.6804,-5420.7479,-133575.9825,-137106.8522,-136102.1739,-131959.4688,-130397.6594,-140328.1197,-143992.6410,-137604.3763,85140413.9258,85172161.8894,85164406.2128,85149133.5480,-135917.7053,85152402.4622,
2100.000,4096.5536,-4252.8745,-3578.8244,1886.4876,-6579.9707,0.0000,4468.6780,-6209.9091,702.6404,-5243.6341,835.5397,-5312.6612,-6331.2667,5863.1380,-4532.8045,6253.1889,4079.2415,-2653.1602,1216.2451,3936.6982,-149002.6483,-134248.4254,-153127.2909,-152641.2560,-148589.1613,-149861.6493,-143850.8212,-147881.5170,-292210125.7152,-292175884.0649,-292197842.2676,-292209717.1234,-147336.7977,-292206129.5147,3616.4545,-1998.8951,3928.2563,2612.9288,1327.3235,0.0000,-3896.0779,-993.8327,6259.8355,-3288.7456,-6181.1610,-3918.0863,2772.7568,-2164.4081,3078.9062,1355.0544,4479.1640,-3107.8548,-3419.6227,3115.0395,-337596.7043,-355883.2044,-347948.2043,-344950.7903,-352746.4766,-350326.5175,-345008.0935,-345740.5054,114699510.1377,114704552.9560,114697072.0535,114721292.0979,-345900.7202,114715520.8684,3852.4122,4941.2830,-4490.7209,6164.6141,1121.2314,0.0000,3484.7604,2841.2907,2880.4008,-3116.1153,-2756.6354,1308.2824,108.5711,-2577.8039,-4226.3882,-2604.6898,-3375.8108,5413.8258,5905.7349,-4760.6288,-133423.5100,-137019.7530,-135902.5285,-132032.9043,-130196.8669,-139990.6039,-144009.0043,-137486.3450,85144454.4562,85176115.6523,85168257.4126,85153814.6158,-135818.4138,85156498.8514,
2400.000,5562.6272,-5564.8795,-3634.0782,3846.0986,-6187.5282,0.0000,3929.6957,-5430.1539,2276.2859,-6381.2455,-776.5803,-6043.9563,-5561.7147,4473.6805,-2684.7563,5601.9715,4788.0621,-4114.4666,1098.8029,5505.0334,-142030.4136,-126813.9342,-145828.2990,-145236.3015,-141231.7173,-142482.7890,-136588.4313,-140870.1262,-294642649.6961,-294607893.2641,-294629679.7907,-294642850.9197,-140000.2446,-294638595.2846,2864.6797,-577.9183,5265.4656,2676.7611,2804.9234,0.0000,-5313.9753,504.3814,5224.3144,-2009.4207,-6634.7371,-2916.9541,3746.6556,-3094.0977,3753.1365,-150.3039,2647.7506,-1478.2078,-1288.0022,2160.9688,-340549.5246,-358665.4984,-350899.7634,-347971.1320,-355820.3405,-353411.5094,-348097.6074,-349167.8946,108292353.8251,108297887.8210,108289884.5555,108313871.3945,-348960.0234,108308311.8307,2363.0981,3900.9711,-2729.8014,5144.5714,-434.0173,0.0000,1908.5148,4224.8358,3934.0173,-1802.9477,-1364.7295,-526.3519,-1685.8636,-4016.4076,-5157.9369,-4041.4282,-4263.0392,5186.3600,6719.9475,-3588.9753,-133272.5112,-136932.4591,-135702.6462,-132112.1113,-129999.4622,-139646.5664,-144020.2429,-137234.7134,85148500.2009,85180067.7699,85172104.8412,85158521.9155,-135719.0456,85160595.0087,
