sl_20_5400_20260927 Coordinates.csv
2026/09/27 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:23 2024,
Start: 2026/09/27 07:47:00.00, Stop: 2026/09/27 09:17:00.00,
TIME_UNITS,STARLINK-3977 - X-Coordinate,STARLINK-2283 - X-Coordinate,STARLINK-4641 - X-Coordinate,STARLINK-32048 - X-Coordinate,STARLINK-1810 - X-Coordinate,STARLINK-5394 - X-Coordinate,STARLINK-5128 - X-Coordinate,STARLINK-6111 - X-Coordinate,STARLINK-3265 - X-Coordinate,STARLINK-11135 [DTC] - X-Coordinate,STARLINK-31186 - X-Coordinate,STARLINK-32236 - X-Coordinate,STARLINK-3549 - X-Coordinate,STARLINK-5969 - X-Coordinate,STARLINK-1956 - X-Coordinate,STARLINK-6369 - X-Coordinate,STARLINK-2437 - X-Coordinate,STARLINK-30817 - X-Coordinate,STARLINK-3864 - X-Coordinate,STARLINK-4623 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3977 - Y-Coordinate,STARLINK-2283 - Y-Coordinate,STARLINK-4641 - Y-Coordinate,STARLINK-32048 - Y-Coordinate,STARLINK-1810 - Y-Coordinate,STARLINK-5394 - Y-Coordinate,STARLINK-5128 - Y-Coordinate,STARLINK-6111 - Y-Coordinate,STARLINK-3265 - Y-Coordinate,STARLINK-11135 [DTC] - Y-Coordinate,STARLINK-31186 - Y-Coordinate,STARLINK-32236 - Y-Coordinate,STARLINK-3549 - Y-Coordinate,STARLINK-5969 - Y-Coordinate,STARLINK-1956 - Y-Coordinate,STARLINK-6369 - Y-Coordinate,STARLINK-2437 - Y-Coordinate,STARLINK-30817 - Y-Coordinate,STARLINK-3864 - Y-Coordinate,STARLINK-4623 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3977 - Z-Coordinate,STARLINK-2283 - Z-Coordinate,STARLINK-4641 - Z-Coordinate,STARLINK-32048 - Z-Coordinate,STARLINK-1810 - Z-Coordinate,STARLINK-5394 - Z-Coordinate,STARLINK-5128 - Z-Coordinate,STARLINK-6111 - Z-Coordinate,STARLINK-3265 - Z-Coordinate,STARLINK-11135 [DTC] - Z-Coordinate,STARLINK-31186 - Z-Coordinate,STARLINK-32236 - Z-Coordinate,STARLINK-3549 - Z-Coordinate,STARLINK-5969 - Z-Coordinate,STARLINK-1956 - Z-Coordinate,STARLINK-6369 - Z-Coordinate,STARLINK-2437 - Z-Coordinate,STARLINK-30817 - Z-Coordinate,STARLINK-3864 - Z-Coordinate,STARLINK-4623 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,423.4799,-4274.6102,-183.6612,-2305.1953,4157.7251,2486.4039,-4054.5238,-71.0762,3922.6038,-5023.8042,-4303.3988,3442.5438,-1677.8791,1493.7207,-739.0421,-5068.1531,6619.0847,-5979.4053,1132.1655,2036.9495,138979.2158,151528.6022,150626.6891,147954.8467,153290.2074,151449.5357,144151.0926,145074.6613,-235754226.4128,-235758633.1392,-235749821.0719,-235757604.9849,146534.8058,-235766961.0010,-5165.8491,-707.6350,5707.2094,-6409.3731,-980.6482,-4657.9358,1465.1317,5979.1460,-1333.2613,617.2116,-2836.4316,3169.9320,-4081.5399,6688.1450,6875.2443,-623.7990,-1173.6020,-3276.1566,-5981.3836,-1296.7805,-347327.9378,-342604.1758,-348024.7273,-349083.7460,-342316.7168,-344321.3848,-340191.8808,-343056.3434,-3955905.1691,-3925079.7258,-3927918.9826,-3940951.0514,-343469.1459,-3944764.3342,-4583.9054,5326.9153,3882.1503,282.1547,-5445.1465,-4508.3498,5407.6050,-3510.3644,-5532.8878,4440.9859,4539.0643,-5014.9002,-5330.8690,-1057.6042,77.8057,-4685.2813,-1669.2160,-1247.9509,3258.1744,6505.1747,55054.1929,51409.4956,52169.2397,57205.2374,57659.1429,47229.0758,45193.2185,51758.1981,91339393.3607,91319168.8844,91357609.5365,91359701.4097,52651.1596,91350842.9297,
300.000,-1177.7280,-3901.0711,1280.1346,-3299.2449,3114.0234,384.9974,-3639.0130,1681.8119,3011.5081,-5459.3351,-5524.3200,3991.3500,-3249.1318,2851.4136,494.6293,-5282.2352,6492.1076,-6188.8001,-131.6129,1140.7912,146185.4199,158513.0329,157755.2013,155121.3927,160521.8349,158700.9742,151399.5248,152535.9224,-235609210.2719,-235614112.3088,-235605178.5962,-235612646.8760,153744.8545,-235621963.4013,-5947.9741,1442.1785,6350.5443,-5593.7348,-2888.3415,-5065.1511,3494.3239,6319.9109,-3293.5233,2365.2690,-1157.8475,1103.0809,-2591.2180,5812.3479,6639.0248,1472.9590,-2405.5448,-1651.2770,-6709.8614,-3259.6298,-344506.1634,-339593.1103,-344904.5626,-345842.8411,-339094.5825,-341081.9508,-337054.5853,-340100.5808,-9103362.9088,-9072565.2604,-9074744.9444,-9087719.6893,-340267.7823,-9092143.0921,-3331.7198,5463.0707,2396.3053,2066.1206,-5464.6102,-4733.3374,4732.0708,-2301.5827,-5278.2557,3157.9182,3914.9446,-5468.6807,-5533.9012,-2487.3714,1861.9003,-4237.2554,124.3918,-2652.1658,1633.6878,6018.7745,55243.8548,51593.0921,52407.4899,57198.0215,57913.0295,47576.8434,45192.6935,51522.2765,91336702.2612,91316356.8438,91354526.4582,91356722.7647,52790.1973,91348053.6477,
600.000,-2631.2300,-3193.3614,2591.8007,-3972.6926,1816.6235,-1748.9150,-2916.1345,3254.0824,1857.4924,-5333.2004,-6217.7414,4196.4657,-4544.2661,3957.0508,1699.9966,-5023.4558,5720.7492,-5815.4261,-1363.9584,203.4712,153339.2566,165421.1780,164811.5723,162215.3149,167681.1298,165877.3901,158581.3455,160034.5922,-235351824.8682,-235357217.8354,-235348190.6601,-235355360.0370,160884.9919,-235364600.3184,-6161.2180,3458.4052,6372.0873,-4188.6294,-4539.6974,-5030.2359,5175.3050,6061.6463,-4946.7831,3832.7181,605.1828,-1067.9014,-887.6803,4373.3109,5744.1484,3414.1648,-3400.3042,152.7472,-6771.4637,-4918.4815,-341532.3105,-336442.8170,-341630.0721,-342448.7476,-335720.4849,-337688.9268,-333764.9162,-336993.4994,-14246368.9245,-14215612.3501,-14217131.7091,-14230044.5838,-336915.0867,-14235070.7241,-1721.0091,4999.4783,651.1261,3617.2968,-4898.1293,-4455.0459,3547.7524,-846.4699,-4455.3114,1506.7930,2860.6802,-5320.3623,-5143.5023,-3651.2348,3444.9107,-3335.8954,1904.5981,-3772.5476,-167.6964,4892.5911,55431.9987,51780.9830,52646.4329,57185.6427,58163.2963,47930.6389,45197.4480,51388.1739,91334016.2184,91313546.9412,91351441.7125,91353730.3915,52929.1992,91345264.2898,
900.000,-3806.8228,-2218.1384,3637.9294,-4272.9928,388.6424,-3709.2763,-1944.0229,4504.0829,566.5754,-4644.4499,-6307.8568,4035.0977,-5430.7333,4715.4158,2774.6098,-4307.8311,4374.9165,-4903.9919,-2461.8693,-693.2351,160437.2301,172248.2512,171792.6143,169233.2953,174765.0247,172975.1580,165693.2724,167538.1379,-234982195.4737,-234988074.6110,-234978982.0284,-234985869.1600,167952.0419,-234994996.9953,-5772.3430,5134.2266,5760.6027,-2336.2304,-5766.8571,-4553.6223,6340.5149,5220.0485,-6123.8782,4874.2255,2285.0100,-3121.1186,862.6749,2511.3611,4283.1494,5013.4953,-4078.1740,1968.7153,-6156.3999,-6097.6527,-338407.2630,-333154.7912,-338202.7682,-338902.7755,-332196.0340,-334144.0490,-330324.1796,-333712.9859,-19382470.4730,-19351768.1133,-19352627.4051,-19365475.3591,-333412.5852,-19371094.6493,75.1967,3986.8219,-1164.5197,4761.0370,-3806.0190,-3702.9189,1981.8099,699.3284,-3152.0657,-319.9877,1492.0280,-4586.1967,-4201.2076,-4425.3065,4655.9201,-2077.2495,3479.9343,-4489.7244,-1950.9689,3245.7644,55618.6849,51973.7171,52885.8783,57167.9955,58409.9717,48290.5428,45207.4183,51377.4071,91331335.1858,91310739.2023,91348355.3828,91350724.6975,53068.1651,91342474.8560,
1200.000,-4603.9080,-1062.9385,4333.0972,-4182.2036,-1039.1721,-5307.1420,-801.3928,5322.3639,-746.6760,-3452.3669,-5777.7482,3514.7068,-5811.6490,5061.2187,3624.8607,-3192.5948,2583.4363,-3548.5701,-3336.0547,-1478.3015,167475.8750,178989.1099,178695.1756,176172.0383,181770.4800,179990.6586,172732.0514,175006.9694,-234500500.8925,-234506861.0618,-234497730.9669,-234504352.3497,174942.8621,-234513332.2000,-4807.8326,6296.3150,4568.9399,-227.1807,-6440.9482,-3673.4734,6874.5887,3867.7494,-6701.1209,5392.8638,3725.0659,-4847.5245,2493.1891,407.5943,2405.1158,6118.8795,-4389.1123,3625.5709,-4923.8082,-6668.5551,-335131.9964,-329730.4045,-334624.2348,-335206.2752,-328522.9031,-330449.1419,-326733.7603,-330240.5384,-24509218.1591,-24478583.0050,-24478783.4885,-24491564.9500,-329761.8706,-24497765.6342,1863.2534,2536.0585,-2854.3585,5368.7912,-2304.8745,-2556.5934,202.6512,2170.1089,-1508.4431,-2109.5241,-40.6079,-3346.5143,-2807.5069,-4727.4758,5364.3567,-595.8469,4680.9988,-4727.5343,-3523.4730,1253.1946,55803.9695,52171.9390,53125.6348,57144.9716,58653.0834,48656.6340,45222.5438,51500.9368,91328659.1143,91307933.6532,91345267.5512,91347706.0881,53207.0951,91339685.3463,
1500.000,-4960.0888,171.3568,4626.3976,-3717.0764,-2340.0953,-6388.9296,418.3922,5641.2654,-1968.9482,-1871.6545,-4672.1778,2673.5296,-5636.7190,4964.2448,4173.8293,-1772.2701,521.3214,-1882.6066,-3917.7044,-2096.7148,174451.7580,185638.1685,185516.1422,183028.2712,188694.4859,186920.2762,179694.4587,182398.0628,-233906973.3743,-233913809.0621,-233904669.1573,-233911041.0390,181854.3447,-233919838.1392,-3352.8459,6823.2374,2909.3114,1919.4302,-6486.0567,-2463.1289,6726.2698,2128.2761,-6613.8942,5348.9600,4794.5179,-6072.1527,3852.6228,-1733.8739,299.9605,6627.2812,-4315.7680,4964.2917,-3195.5963,-6564.4687,-331707.5752,-326170.7883,-330896.1264,-331360.6324,-324702.8278,-326606.1197,-322995.1207,-326563.2191,-29624167.1045,-29593611.9859,-29593155.9105,-29605870.7657,-325964.6017,-29612638.9598,3450.0468,806.4923,-4236.2821,5372.3440,-555.6178,-1137.7735,-1598.3275,3408.0754,298.3216,-3653.6736,-1568.8020,-1737.3992,-1111.6383,-4525.7900,5493.9436,949.5076,5378.8139,-4460.7945,-4715.9673,-872.9281,55987.9048,52376.4048,53365.5103,57116.4596,58892.6576,49028.9886,45242.7665,51758.4794,91325987.9526,91305130.3204,91342178.2989,91344674.9675,53345.9889,91336895.7607,
1800.000,-4855.6756,1379.0292,4504.2709,-2926.2896,-3402.5110,-6851.5128,1614.6231,5440.2455,-2997.7189,-61.1633,-3093.9483,1578.6898,-4909.1581,4431.7630,4368.0033,-171.0733,-1607.7211,-65.8129,-4163.1649,-2512.6523,181361.4780,192189.3054,192252.4389,189798.7452,195534.0637,193760.3969,186577.3022,189668.7646,-233201898.5023,-233209203.8231,-233200081.5857,-233206219.8793,188683.4177,-233214800.3460,-1543.7360,6658.7328,942.2217,3878.9474,-5888.3735,-1025.5502,5913.4480,164.6564,-5864.5100,4762.1843,5400.0947,-6672.2505,4819.2612,-3705.5472,-1821.0703,6494.6436,-3873.5086,5852.9050,-1143.7282,-5788.7764,-328135.1510,-322476.6543,-327020.1672,-327367.2637,-320737.6057,-322616.9871,-319109.7998,-322674.8289,-34724878.1134,-34694415.6875,-34693306.2825,-34705955.8535,-322022.5024,-34713275.5880,4664.2185,-1011.7412,-5162.0128,4771.2352,1253.5094,402.4477,-3227.7036,4280.4557,2072.7462,-4773.5109,-2924.8367,63.7960,704.0424,-3841.6507,5030.6987,2392.8276,5498.5428,-3717.8244,-5400.6936,-2906.1315,56170.5398,52587.9949,53605.3124,57082.3466,59128.7192,49407.6777,45268.0314,52139.0029,91323321.6473,91302329.2309,91339087.7063,91341631.7390,53484.8465,91334106.0992,
2100.000,-4313.7580,2458.3216,3989.7200,-1885.3589,-4139.3865,-6652.4777,2687.2583,4746.5663,-3749.6374,1792.3475,-1194.1329,321.6302,-3687.3576,3508.1310,4182.4649,1467.8009,-3591.5918,1730.8977,-4056.3931,-2710.3328,188201.6680,198635.7804,198901.0319,196480.2360,202286.2684,200507.4044,193377.4230,196780.2842,-232385615.0559,-232393383.7554,-232384306.4058,-232390226.6049,195427.0469,-232398557.5434,445.0421,5818.0231,-1139.4613,5444.6817,-4699.0353,515.0307,4520.6715,-1836.0826,-4522.9798,3707.0685,5493.8595,-6590.2059,5311.9944,-5316.4325,-3746.6730,5739.7659,-3107.8199,6199.4655,1027.2867,-4415.2673,-324415.9602,-318648.0198,-322998.1499,-323227.6101,-316629.0954,-318483.8410,-315079.4118,-318576.2356,-39808918.8365,-39778561.5764,-39776803.0381,-39789390.0579,-317937.3609,-39797243.3247,5374.8358,-2718.9082,-5532.6529,3632.8358,2927.3516,1899.6630,-4511.0956,4693.7715,3622.5551,-5339.8321,-3960.2547,1857.9019,2443.7127,-2747.6435,4024.4037,3578.9926,5027.3070,-2577.5772,-5504.5866,-4630.4076,56351.9200,52807.7156,53844.8488,57042.5189,59361.2921,49792.7654,45298.2861,52622.1990,91320660.1424,91299530.4122,91335995.8528,91338576.8068,53623.6678,91331316.3619,
2400.000,-3396.1963,3319.6756,3138.4848,-689.6822,-4495.1385,-5814.2321,3544.8859,3631.5643,-4166.8980,3493.4249,842.6645,-989.0271,-2080.6569,2271.5481,3624.1379,2994.9770,-5230.9865,3341.2627,-3609.3675,-2692.6661,194968.9953,204970.2075,205458.9291,203069.5444,208948.1895,207157.6762,200091.6973,203700.5284,-231458514.8477,-231466740.3065,-231457734.7776,-231463451.8721,202082.2367,-231471501.4804,2418.0645,4386.1916,-3129.4346,6449.9556,-3029.9484,2023.6514,2689.6663,-3680.8697,-2720.3535,2303.1326,5076.3064,-5839.4601,5297.0697,-6410.5481,-5286.6583,4441.6847,-2089.5810,5961.8414,3100.7180,-2580.4527,-320551.3224,-314683.7979,-318831.9352,-318943.1303,-312379.2162,-314208.8722,-310905.6452,-314274.9330,-44873864.9301,-44843625.1136,-44841222.5929,-44853751.1774,-313711.0290,-44862117.9789,5505.3890,-4128.0035,-5308.7303,2085.0648,4285.2493,3193.8807,-5311.7627,4603.7494,4779.8753,-5287.4924,-4562.0234,3446.2360,3919.5439,-1360.1362,2583.4441,4380.5901,4015.5384,-1161.5595,-5016.6085,-5863.4676,56532.0883,53036.6761,54083.9277,56996.8631,59590.3988,50184.3055,45333.4810,53180.6126,91318003.3802,91296733.8919,91332902.8169,91335510.5765,53762.4527,91328526.5488,
