sl_20_5400_20261217 Coordinates.csv
2026/12/17 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:25 2024,
Start: 2026/12/17 07:47:00.00, Stop: 2026/12/17 09:17:00.00,
TIME_UNITS,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-30392 - X-Coordinate,STARLINK-30078 - X-Coordinate,STARLINK-2468 - X-Coordinate,STARLINK-2641 - X-Coordinate,STARLINK-5670 - X-Coordinate,STARLINK-4310 - X-Coordinate,STARLINK-2058 - X-Coordinate,STARLINK-4779 - X-Coordinate,STARLINK-31025 - X-Coordinate,STARLINK-3759 - X-Coordinate,STARLINK-6218 - X-Coordinate,STARLINK-6343 - X-Coordinate,STARLINK-11161 [DTC] - X-Coordinate,STARLINK-30238 - X-Coordinate,STARLINK-30560 - X-Coordinate,STARLINK-30893 - X-Coordinate,STARLINK-31116 - X-Coordinate,STARLINK-5651 - X-Coordinate,STARLINK-2324 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-30392 - Y-Coordinate,STARLINK-30078 - Y-Coordinate,STARLINK-2468 - Y-Coordinate,STARLINK-2641 - Y-Coordinate,STARLINK-5670 - Y-Coordinate,STARLINK-4310 - Y-Coordinate,STARLINK-2058 - Y-Coordinate,STARLINK-4779 - Y-Coordinate,STARLINK-31025 - Y-Coordinate,STARLINK-3759 - Y-Coordinate,STARLINK-6218 - Y-Coordinate,STARLINK-6343 - Y-Coordinate,STARLINK-11161 [DTC] - Y-Coordinate,STARLINK-30238 - Y-Coordinate,STARLINK-30560 - Y-Coordinate,STARLINK-30893 - Y-Coordinate,STARLINK-31116 - Y-Coordinate,STARLINK-5651 - Y-Coordinate,STARLINK-2324 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-30392 - Z-Coordinate,STARLINK-30078 - Z-Coordinate,STARLINK-2468 - Z-Coordinate,STARLINK-2641 - Z-Coordinate,STARLINK-5670 - Z-Coordinate,STARLINK-4310 - Z-Coordinate,STARLINK-2058 - Z-Coordinate,STARLINK-4779 - Z-Coordinate,STARLINK-31025 - Z-Coordinate,STARLINK-3759 - Z-Coordinate,STARLINK-6218 - Z-Coordinate,STARLINK-6343 - Z-Coordinate,STARLINK-11161 [DTC] - Z-Coordinate,STARLINK-30238 - Z-Coordinate,STARLINK-30560 - Z-Coordinate,STARLINK-30893 - Z-Coordinate,STARLINK-31116 - Z-Coordinate,STARLINK-5651 - Z-Coordinate,STARLINK-2324 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3976.7754,-5435.3128,3200.3613,1343.2809,3967.2999,-4685.1089,-62.8767,-5654.0550,5000.2694,-2608.4473,-2751.0848,4772.9383,1730.1321,-5117.5859,3590.5405,-5582.8228,5830.1691,4403.7104,3575.5514,4881.4177,363546.8770,331615.6248,351924.6538,352244.9609,346593.6877,348082.5138,342825.1654,347323.6282,-111319197.6713,-111359758.7362,-111336765.0849,-111336154.7684,346432.6287,-111327307.7470,-2193.4973,2195.9753,4983.5794,-4993.1735,-1210.2275,3520.9368,1039.5749,3903.2011,-4729.0949,-4259.0299,6223.0692,4146.7303,-5689.2595,4310.8129,4988.8615,-2851.3632,-3636.9286,-5212.1640,4665.8580,2008.8095,171397.4935,176732.6978,180548.3855,178155.7220,184680.7618,182571.0639,176098.7640,179354.4252,-103197023.6442,-103201885.3824,-103193575.6155,-103206719.1864,177810.7101,-103211198.7886,4917.8704,-3512.6493,-3610.4635,4557.8719,-5505.7056,3692.6671,-6861.1265,773.6298,-209.3550,-4648.0467,1191.5673,-2847.4686,-3572.6330,449.7274,-3198.6340,2635.3230,256.4237,-667.8663,3656.8374,-4426.2420,11285.0124,9630.2772,7911.4006,12495.4191,13300.5923,2969.2674,596.3030,7765.7667,30846918.6145,30877611.4729,30871584.5146,30856630.4725,8179.4886,30859193.4882,
300.000,-4028.2994,-3848.6939,4870.7819,-100.5024,3107.5958,-2891.7496,-1973.4719,-4516.5019,3962.4839,-4344.8771,-1367.7370,5230.6396,131.9239,-3952.3067,4482.7115,-5316.0426,4838.5454,3367.6253,5196.2007,6094.6019,359817.1792,327661.3004,348112.2915,348327.9778,342712.7167,344184.1332,339027.6945,343351.9553,-109033360.3564,-109074409.0519,-109051627.5766,-109050359.5233,342567.1248,-109041543.9257,-18.5312,3138.1232,4296.3135,-6049.8000,-3197.6101,4454.9720,-187.4124,4594.2591,-5397.4233,-2991.7744,6126.3196,2329.0894,-6512.9144,4933.7588,3271.6340,-1198.4671,-4438.1143,-5856.7829,3836.3077,747.4130,179136.1435,183775.2967,187737.8157,185410.0984,191995.9133,189903.0654,183418.9704,186752.3561,-105602969.4075,-105608418.4565,-105599558.9506,-105613295.6703,185101.1096,-105617119.2555,5345.3813,-4696.3035,-2433.3000,3306.2365,-5256.4310,4445.1914,-6651.0108,2502.9271,1596.6944,-4326.3057,2878.0619,-3912.3549,-2382.9993,2232.1172,-4149.6716,4063.8727,2035.8532,1153.7203,2496.4225,-3120.8416,11404.4443,9758.7422,8151.2203,12484.0081,13548.7601,3322.4315,601.1334,8375.8206,30845440.8266,30875959.9498,30869847.7661,30854732.4203,8318.5089,30857696.0935,
600.000,-3701.3611,-1871.5141,6062.7394,-1500.1187,1993.2436,-823.0319,-3621.0674,-2915.2567,2511.8534,-5658.9891,179.9215,5218.2577,-1457.8020,-2338.5416,4980.5539,-4526.8163,3344.9287,1976.1417,6306.5243,6703.6822,355921.4296,323559.2913,344143.0524,344254.9028,338677.2572,340129.4128,335076.1397,339168.9898,-106695541.3807,-106737065.3585,-106714508.2483,-106712525.7549,338548.1985,-106703799.6874,2164.6433,3811.0512,3215.5755,-6515.4708,-4883.4094,4999.4823,-1472.4793,4852.4465,-5533.8590,-1458.3116,5435.0050,274.1029,-6715.0561,5037.8038,1237.0699,612.4183,-4809.6900,-5909.8569,2657.3039,-555.0269,186793.9975,190729.6500,194841.7143,192577.9125,199224.9493,197145.9562,190658.4576,193942.8007,-107958305.9583,-107964360.1788,-107954960.8007,-107969276.5569,192307.4868,-107972434.1266,5139.9092,-5356.7666,-996.0234,1695.1696,-4436.5101,4721.4174,-5734.9377,3961.8844,3228.0832,-3519.7549,4252.9662,-4559.3579,-938.7034,3750.4725,-4656.5955,5031.9847,3591.7312,2847.4246,1067.8628,-1475.0915,11523.6565,9887.0149,8391.3533,12467.4904,13793.3631,3681.7090,611.2107,8981.7460,30843968.7260,30874307.3476,30868107.6078,30852845.7526,8457.5240,30856198.8446,
900.000,-3029.4119,290.3157,6664.1997,-2731.5225,727.1090,1319.0381,-4832.1951,-1003.0174,782.7356,-6412.2058,1749.8041,4743.6197,-2897.9130,-443.3831,5041.0572,-3307.1487,1493.0175,356.6433,6801.1970,6640.8120,351861.3663,319311.5353,340018.7581,340027.2997,334489.2307,335920.3236,330972.1047,334793.4579,-104306860.9375,-104348847.2642,-104326526.2340,-104323771.5153,334377.6760,-104315195.0679,4114.9888,4153.3595,1832.3248,-6335.2114,-6094.0245,5104.2637,-2664.6291,4667.2344,-5138.8278,192.3655,4227.8530,-1820.6112,-6269.9665,4626.9368,-916.6799,2398.3938,-4730.1070,-5378.2417,1229.9716,-1785.2588,194367.4587,197592.6902,201856.8475,199655.8222,206364.7231,204296.0027,197813.9249,200920.9142,-110261910.5185,-110268587.4701,-110258658.3174,-110273535.0254,199426.6130,-110276020.6744,4325.6587,-5421.1238,547.8326,-100.2095,-3134.3122,4491.8481,-4209.3063,4993.1019,4506.4464,-2318.3537,5167.6811,-4719.7562,606.0086,4825.3797,-4665.4784,5430.2774,4753.3348,4225.5200,-475.4026,331.7721,11642.6492,10015.1006,8631.6071,12445.7643,14034.4308,4047.1779,626.4738,9549.8770,30842502.3013,30872653.6892,30866364.1487,30850972.6884,8596.5340,30854701.7415,
1200.000,-2076.3657,2413.0601,6621.3667,-3689.9766,-577.8370,3326.0710,-5485.2485,1033.8743,-1059.1471,-6521.3031,3193.1107,3854.4316,-4062.6870,1531.8473,4658.4175,-1789.1935,-534.4882,-1336.7422,6635.9831,5906.5943,347638.8056,314920.0347,335741.3032,335646.7688,330150.6230,331558.9226,326717.2719,330246.9722,-101868463.4647,-101910898.6295,-101888824.9188,-101885239.3844,330057.4513,-101876874.3459,5616.4309,4130.4641,266.4185,-5519.2039,-6701.7426,4756.7624,-3615.6675,4068.3251,-4264.1327,1802.6672,2632.5945,-3752.2418,-5215.1731,3757.6619,-2980.1011,3974.5982,-4220.0288,-4327.3017,-321.2991,-2838.9996,201852.9671,204361.3919,208780.0230,206640.5192,213412.1232,211349.4768,204882.1051,207691.3009,-112512685.0992,-112520002.0213,-112509553.4018,-112524968.6879,206455.2991,-112526780.9533,2998.7518,-4882.3022,2033.0008,-1884.7296,-1490.8053,3781.0279,-2235.3668,5485.5765,5292.2787,-856.5350,5523.5851,-4376.5240,2085.8193,5330.0934,-4175.3623,5213.8167,5393.4582,5135.4523,-1967.6541,2102.3247,11761.4227,10143.0041,8871.7889,12418.7256,14271.9909,4418.9136,646.8645,10048.6898,30841041.5386,30870998.9971,30864617.4965,30849115.6353,8735.5387,30853204.7842,
1500.000,-930.9603,4277.9546,5943.6436,-4298.7217,-1808.2215,5003.6167,-5523.2962,2993.8746,-2832.8178,-5968.1445,4368.3879,2633.4560,-4852.7468,3373.2098,3864.5870,-130.7539,-2534.2471,-2937.9533,5831.6178,4570.9435,343255.6419,310386.8547,331312.6541,331114.9421,325663.4826,327047.3524,322313.4010,325552.4300,-99381517.0968,-99424387.0202,-99402571.3918,-99398095.9849,325589.4856,-99390005.4946,6502.1433,3737.9942,-1343.5981,-4142.5923,-6638.8443,3983.6213,-4198.5491,3121.1383,-3005.9738,3221.2673,812.0236,-5332.2109,-3648.5069,2531.0056,-4752.4805,5173.3141,-3338.4975,-2872.5276,-1859.6005,-3629.5556,209247.0016,211032.7729,215608.0922,213528.7303,220364.0755,218302.6532,211859.7656,214267.9288,-114709557.0232,-114717530.8170,-114706573.2285,-114722500.1027,213390.3971,-114723642.3229,1316.2152,-3799.7860,3300.3887,-3464.7456,315.2931,2664.9830,-22.8901,5386.4349,5500.0358,701.5986,5282.4116,-3566.0551,3342.2500,5205.2053,-3238.3612,4407.0048,5442.1641,5476.6969,-3248.9120,3642.8649,11879.9773,10270.7304,9111.7059,12386.2691,14506.0700,4796.9867,672.3276,10450.8919,30839586.4215,30869343.2937,30862867.7568,30847277.1960,8874.5380,30851707.9728,
1800.000,301.0061,5693.5304,4702.0433,-4514.5264,-2859.8769,6190.1894,-4959.5672,4680.2559,-4359.8836,-4802.7642,5155.3291,1191.0540,-5203.3385,4877.3039,2726.9533,1501.0859,-4302.7798,-4285.3017,4470.9469,2766.2510,338713.8465,305714.1227,326734.8488,326433.4766,321029.9208,322387.8421,317762.3282,320732.2796,-96847213.1045,-96890503.1475,-96868955.8879,-96863531.4986,320975.8065,-96855779.6222,6673.7543,3003.2189,-2852.7277,-2338.2146,-5905.8057,2849.0375,-4324.2663,1919.4763,-1494.0393,4317.3126,-1052.7796,-6404.5136,-1718.8555,1080.5553,-6061.3517,5861.9155,-2175.8949,-1166.4352,-3247.5036,-4094.5837,216546.0814,217603.8954,222337.9513,220317.2190,227217.5444,225151.8062,218743.7106,220673.4097,-116851479.4369,-116860126.6471,-116848670.7568,-116865077.2809,220228.8016,-116865557.9593,-522.4573,-2293.4608,4214.3259,-4669.3899,2086.9315,1263.2328,2191.9971,4706.4031,5107.1789,2180.7402,4470.1931,-2374.4881,4240.8336,4465.3879,-1954.3672,3100.9373,4894.1811,5211.6230,-4182.1899,4784.9834,11998.3133,10398.2840,9351.1658,12348.2892,14736.6933,5181.4608,702.8102,10735.4681,30838136.9313,30867686.6005,30861115.0340,30845460.1702,9013.5318,30850211.3073,
2100.000,1506.0736,6515.5252,3021.3796,-4329.7706,-3646.4470,6773.1472,-3874.5357,5920.9167,-5482.4657,-3139.0679,5467.1873,-344.4225,-5089.2314,5873.7707,1343.1372,2946.7584,-5657.2067,-5237.7717,2689.8971,673.7432,334015.4669,300904.0276,322009.9949,321604.0480,316252.1105,317582.7078,313065.9644,315806.7445,-94266765.3247,-94310460.2982,-94289191.2182,-94282759.1812,316218.5064,-94275410.4018,6112.8248,1984.1113,-4122.5450,-283.2667,-4572.1926,1449.8357,-3954.7331,576.2356,121.9689,4992.4746,-2780.4561,-6861.3709,388.3209,-442.0350,-6779.5153,5957.9257,-844.6312,617.5941,-4359.1205,-4200.4066,223746.7680,224071.8677,228966.5432,227002.7879,233969.5351,231893.2044,225530.7824,226937.5436,-118937431.8091,-118946768.6058,-118934825.2307,-118951674.1895,226967.4512,-118951507.3538,-2299.2318,-530.8896,4677.1235,-5368.9155,3630.5622,-273.9564,4172.5007,3518.6653,4156.5066,3414.3495,3174.5376,-928.8569,4685.5383,3197.7472,-460.7054,1443.3920,3809.4364,4369.4922,-4668.0042,5404.0843,12116.4310,10525.6694,9589.9775,12304.6816,14963.8849,5572.3890,738.2625,10889.5517,30836693.0466,30866028.9392,30859359.4305,30843667.5512,9152.5201,30848714.7875,
2400.000,2573.2733,6662.2180,1067.3421,-3771.2753,-4106.1103,6699.6705,-2404.8564,6586.2268,-6079.6792,-1143.4965,5260.6226,-1837.7600,-4526.0124,6244.9608,-166.9309,4069.9161,-6454.3846,-5689.9099,663.5552,-1495.1770,329162.6259,295958.8183,317140.2693,316628.3424,311332.2856,312634.3526,308226.2944,310792.1363,-91641409.5783,-91685493.7535,-91664512.1898,-91657014.8782,311319.7423,-91650133.4898,4882.7860,765.6779,-5033.7808,1818.3673,-2769.8910,-92.5302,-3109.5740,-787.0508,1687.0974,5189.5432,-4207.0640,-6654.5510,2469.0631,-1882.7513,-6837.8591,5439.3537,531.5878,2302.9296,-5091.1850,-3943.7358,230845.6666,230433.8454,235490.8591,233582.2805,240617.0951,238523.1061,232217.8636,233095.0720,-120966420.4168,-120976462.5780,-120964042.6654,-120981291.2518,233603.3295,-120980496.7991,-3803.8748,1291.0584,4639.3927,-5488.2156,4777.6693,-1781.8068,5707.0965,1951.1978,2751.6443,4263.6214,1535.4154,616.2565,4628.9082,1551.8834,1082.4176,-377.7820,2306.7028,3043.3379,-4654.6814,5432.7898,12234.3306,10652.8908,9827.9506,12255.3453,15187.6671,5969.8108,778.6371,10909.9217,30835254.7436,30864370.3306,30857601.0474,30841902.5129,9291.5028,30847218.4136,
