sl_20_86400_20261109 Coordinates.csv
2026/11/09 07:47:00.0000 UTC

Generated: Tue Oct  8 17:00:07 2024,
Start: 2026/11/09 07:47:00.00, Stop: 2026/11/10 07:47:00.00,
TIME_UNITS,STARLINK-3279 - X-Coordinate,STARLINK-5342 - X-Coordinate,STARLINK-2368 - X-Coordinate,STARLINK-6092 - X-Coordinate,STARLINK-3742 - X-Coordinate,STARLINK-31039 - X-Coordinate,STARLINK-11259 [DTC] - X-Coordinate,STARLINK-1433 - X-Coordinate,STARLINK-31950 - X-Coordinate,STARLINK-2214 - X-Coordinate,STARLINK-30245 - X-Coordinate,STARLINK-31906 - X-Coordinate,STARLINK-31483 - X-Coordinate,STARLINK-4562 - X-Coordinate,STARLINK-2733 - X-Coordinate,STARLINK-2267 - X-Coordinate,STARLINK-30864 - X-Coordinate,STARLINK-3254 - X-Coordinate,STARLINK-31413 - X-Coordinate,STARLINK-5432 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3279 - Y-Coordinate,STARLINK-5342 - Y-Coordinate,STARLINK-2368 - Y-Coordinate,STARLINK-6092 - Y-Coordinate,STARLINK-3742 - Y-Coordinate,STARLINK-31039 - Y-Coordinate,STARLINK-11259 [DTC] - Y-Coordinate,STARLINK-1433 - Y-Coordinate,STARLINK-31950 - Y-Coordinate,STARLINK-2214 - Y-Coordinate,STARLINK-30245 - Y-Coordinate,STARLINK-31906 - Y-Coordinate,STARLINK-31483 - Y-Coordinate,STARLINK-4562 - Y-Coordinate,STARLINK-2733 - Y-Coordinate,STARLINK-2267 - Y-Coordinate,STARLINK-30864 - Y-Coordinate,STARLINK-3254 - Y-Coordinate,STARLINK-31413 - Y-Coordinate,STARLINK-5432 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3279 - Z-Coordinate,STARLINK-5342 - Z-Coordinate,STARLINK-2368 - Z-Coordinate,STARLINK-6092 - Z-Coordinate,STARLINK-3742 - Z-Coordinate,STARLINK-31039 - Z-Coordinate,STARLINK-11259 [DTC] - Z-Coordinate,STARLINK-1433 - Z-Coordinate,STARLINK-31950 - Z-Coordinate,STARLINK-2214 - Z-Coordinate,STARLINK-30245 - Z-Coordinate,STARLINK-31906 - Z-Coordinate,STARLINK-31483 - Z-Coordinate,STARLINK-4562 - Z-Coordinate,STARLINK-2733 - Z-Coordinate,STARLINK-2267 - Z-Coordinate,STARLINK-30864 - Z-Coordinate,STARLINK-3254 - Z-Coordinate,STARLINK-31413 - Z-Coordinate,STARLINK-5432 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-740.5063,-316.5293,-5832.7055,3948.2566,2026.7717,5396.9656,2368.1179,5497.0352,2961.0154,-515.9999,-6782.1087,-4780.6135,-638.6272,5868.0466,2091.9849,5299.8420,5637.2531,-1370.7598,3125.0990,-461.9513,-186183.8479,-206070.1244,-189477.5106,-190718.4459,-191263.4019,-191326.7723,-199472.5201,-193954.9845,-185087013.7320,-185110786.6285,-185095538.7670,-185092437.9676,-195539.2642,-185099602.7754,5978.5445,-5500.2534,1085.2904,-4883.3706,-6492.4358,-1371.1677,-6134.6535,-3695.1063,-4913.6771,-6588.1989,1103.4667,2099.3718,-5965.3303,-2946.9145,6589.5709,1393.8664,-3252.7270,-4290.9432,-5104.4624,-5933.0941,297909.2282,317697.6793,312744.1657,310424.4098,319033.2910,316386.5471,314499.1746,314101.7810,-65919319.8643,-65903719.9281,-65912787.3505,-65928928.3245,313665.0713,-65929919.1654,3379.9789,4195.7145,-3376.2066,2917.1044,-1174.6978,-4114.6080,-1646.5073,1971.4400,3677.9497,-1942.8059,-900.0185,-4383.3444,3247.5200,-2242.0097,-70.1101,4193.7705,-2417.9519,-5243.9063,3288.0163,-3553.1559,-144035.2970,-145575.1739,-147586.1610,-142788.7432,-142148.3126,-152527.6915,-154742.3204,-148000.5981,54959903.8972,54941675.2093,54986258.6290,54981770.2233,-147217.1709,54972009.7376,
3600.000,-2328.5601,3426.2279,5890.0958,-2205.0384,-236.5276,-5880.1451,-186.4926,-2218.3820,-427.4075,2130.6428,5556.0641,3444.2526,3992.4932,-3105.5366,-3209.9675,-6887.5231,-4461.3065,4696.0705,-758.4228,3647.2701,-254250.9268,-280433.2973,-262032.1382,-263907.8682,-263506.5694,-263858.9360,-270706.7317,-269108.6694,-161636859.5958,-161665211.6462,-161652405.6432,-161645964.9099,-267694.9393,-161649924.7506,-3464.9262,5867.1722,-3217.2368,6535.8087,6117.8777,3644.6439,5969.4823,4091.9665,6804.1274,6035.3213,-3124.5654,-5686.8943,3036.7899,-68.0726,-4579.2357,440.2289,5177.5330,1368.5397,6771.7818,3533.3736,242494.4608,257147.2084,252225.6613,251231.9890,260109.1115,257574.0624,255267.3641,253561.9155,-111615748.2301,-111605172.4304,-111604918.6587,-111617714.0262,254457.6205,-111625560.3114,-5511.4965,-1375.8237,-1237.5760,636.4768,-3188.2039,141.3291,-3206.5211,-5115.0017,-77.5335,-2545.3377,-2724.9111,1487.6177,-4635.5710,6189.5221,4056.9229,-246.9593,-1219.5894,4871.4921,470.2410,4701.5480,-145324.2627,-146671.1614,-147438.8765,-145977.8310,-142082.7213,-150618.1573,-157092.9593,-147700.2328,54926452.1073,54907601.7512,54950235.4091,54948683.0127,-148263.5703,54938716.0936,
7200.000,5487.8283,-4993.8843,-2605.9448,-560.8470,-2533.7551,3810.1564,-3059.7048,-2202.9745,-2321.9321,-3505.7318,-2182.3452,-794.6568,-6309.3381,-2365.8937,4149.0521,5346.0330,1451.0747,-6702.3315,-2124.9868,-6211.5536,-306652.4734,-337163.2164,-317898.4368,-321297.8478,-318716.8210,-320477.6483,-324836.8858,-321508.5361,-127152104.3505,-127183141.4822,-127176130.3371,-127168591.0666,-322666.7316,-127166013.9197,624.7319,-4222.4980,3954.7081,-5755.9854,-3340.2098,-4258.9490,-2667.5524,-4199.8515,-5310.2102,-2591.5851,4626.8986,6274.6344,480.2749,841.6434,479.6769,-2020.6715,-5397.0141,888.5938,-5197.4636,-732.3787,172021.1871,179515.8615,175691.5861,176347.4841,184909.8349,180969.2128,180375.0677,180516.9366,-149663941.8491,-149659113.9091,-149652435.7211,-149662610.5302,179121.1536,-149673359.7382,4145.0314,-2304.5112,4903.0638,-3821.4752,5472.2369,3896.1612,5414.0812,5020.7451,-3600.1233,5321.6411,4663.1920,2525.8998,2555.9849,-6468.0582,-5513.1238,-3881.0481,4104.7382,-1435.3072,-3898.3324,-2984.5736,-146631.8623,-147800.7293,-147500.4131,-149933.2730,-142485.4148,-147969.7936,-158744.3091,-149517.7314,54893805.2553,54873804.9888,54913743.8925,54913245.0012,-149297.7750,54905433.1452,
10800.000,-6775.0954,5162.3876,-2251.4986,3852.9598,5439.7014,305.1750,5869.5052,5381.1360,4858.9689,4848.6495,-1745.7976,-2872.6484,5902.0733,6178.4928,-4863.4018,-1583.7597,2518.6797,5802.2847,4944.1412,6698.3148,-340191.4348,-372522.9614,-353481.5010,-359700.7945,-353303.7635,-357942.0024,-358644.2720,-357659.0601,-83994191.7775,-84025905.5354,-84026417.8504,-84017935.6420,-356979.9442,-84009070.9037,1356.2359,708.1741,-4153.2030,3385.9123,128.3213,4143.6630,-1035.4066,3957.4386,1481.5821,-1702.5505,-5549.7408,-4098.8994,-3121.4683,1338.7898,3452.3761,3837.5404,4595.1902,-2344.1947,1576.9300,-1671.7833,90728.0064,89852.6691,87985.4457,92950.1012,98274.0429,89924.5206,94547.1306,90861.7263,-177467579.4044,-177468569.9015,-177459230.0090,-177468644.6219,92485.8309,-177477127.1923,-179.4711,4559.8009,-4928.2111,4646.8544,-4249.1859,-5538.2960,-3232.4415,-1785.6271,4539.6583,-4588.3970,-3770.2804,-4628.9698,1411.7927,2846.2830,3489.4588,5509.5457,-4557.7456,-2934.4655,4435.1169,-584.0543,-147957.6597,-148949.1764,-148031.3686,-151616.6255,-143341.5575,-148972.6033,-159737.4258,-150360.1853,54861922.1646,54840322.7886,54876954.2895,54876079.6060,-150319.7100,54872160.9108,
14400.000,5014.8032,-4532.3244,5615.9763,-6366.3229,-6575.3758,-4346.1685,-5736.2010,-5933.7096,-6054.6335,-5135.4915,4559.4540,5962.4587,-2502.2760,-5402.5291,4355.3577,-2169.2397,-5710.7211,-2267.7599,-6312.2044,-4588.5217,-352774.3559,-384164.9757,-366453.4555,-372740.7952,-365043.6507,-370154.1781,-370115.2702,-368320.9800,-35116125.5550,-35146617.4680,-35154650.3014,-35142908.3355,-368482.9013,-35131823.2209,-2693.5319,3329.8411,3664.7052,-715.9548,2075.1590,-3875.3003,3227.2081,-2420.3152,2364.1493,4517.1723,5187.9465,816.5408,4638.9961,-3589.7891,-5321.3357,-5455.2785,-3219.1597,3620.7029,1973.7917,3553.5979,3493.5810,-6028.9114,-5284.6070,3119.3969,5746.2416,-4380.2458,3105.9770,1878.0345,-193131601.7207,-193137791.0907,-193129701.4206,-193139522.6193,92.9994,-193141797.0510,-3922.9100,-4057.0968,1253.6315,-2643.8157,265.8012,3730.4533,-1615.3654,-2597.6442,-2065.1521,792.1701,553.8392,3188.2245,-4344.2782,2440.7647,707.7960,-3641.2497,2270.8355,5421.9057,-1715.3980,3772.1111,-149301.4345,-150107.5045,-149163.2505,-150096.4381,-144661.1739,-153779.9352,-160076.2356,-150961.1021,54830712.8896,54807200.5229,54840011.3313,54837957.5423,-151329.3015,54838899.4089,
18000.000,-1063.8739,3199.1312,-5737.0571,6664.4866,4714.3673,6214.7540,1980.2753,4329.5404,4608.1636,3174.8160,-5505.6128,-6461.5490,-2111.5947,1330.4778,-1729.4814,4225.7635,6690.4198,-1893.5659,4886.5427,824.1768,-343528.0827,-371284.5069,-355952.7530,-361423.7960,-353199.6946,-357716.2081,-358542.9351,-356130.5018,16139623.4197,16111891.6325,16097916.2731,16117060.9844,-356481.4226,16123495.0156,4000.6819,-6054.5333,-1570.5722,-1612.8960,-3223.4857,3022.8683,-3964.2282,-790.1508,-4620.0487,-4998.4055,-2960.8802,2053.3788,-5086.6797,2578.1522,4975.9075,5432.3081,1247.4070,-4896.6325,-4195.8241,-5060.0950,-84442.8580,-101921.0800,-98101.3796,-88161.2289,-86795.6421,-96745.7566,-88332.3671,-93761.1173,-195591376.1351,-195601502.6952,-195598056.2788,-195606470.8634,-92159.2887,-195602594.3809,5525.0351,1065.5528,3335.2496,-1000.1278,3865.7075,370.7764,5115.2507,5321.9646,-1989.6499,3507.5339,2979.0495,667.8918,4025.3925,-6304.0959,-4481.9178,-573.9916,1350.7929,-4497.7511,-2288.1279,-4665.0304,-150663.0993,-151269.7071,-150863.2127,-148889.5387,-146482.5986,-157772.9163,-159728.7872,-152965.6688,54800044.5421,54774493.1148,54803042.6115,54800370.0166,-152326.4770,54805648.6577,
21600.000,-2840.3181,-932.4622,3449.7349,-4384.8151,-593.0145,-5405.1268,3083.7089,-2135.9839,-630.1969,873.2861,5022.4692,3665.8728,5374.6116,2015.4377,-2362.3900,-4487.0629,-5323.3127,4542.4079,-903.4190,2820.7662,-312845.9841,-334670.6908,-322676.6403,-327166.6246,-318560.1107,-322597.3843,-324520.0994,-322570.7544,66269721.8103,66245689.3124,66228547.6030,66257038.5421,-321780.1720,66253685.8223,-5134.3007,6371.6480,-2227.6521,3551.8477,4096.8488,-717.5817,4061.7793,4585.1537,5056.1209,4055.2692,-810.7671,-4096.9987,4146.4772,1840.7752,-3570.0799,-2851.2291,1534.6783,5157.5195,4974.1480,5727.1260,-167780.1668,-191621.7860,-184458.1808,-174139.7836,-173558.0028,-182329.3352,-174192.0113,-177021.3266,-184685035.0318,-184697346.8022,-184700875.8352,-184700823.1986,-178392.7247,-184697410.7564,-3657.1971,2553.2863,-5453.7958,4009.2201,-5525.2819,-4265.3543,-4469.2637,-4715.9841,4521.6473,-5500.4096,-4710.8043,-4031.8871,-723.4901,6365.8170,5420.3078,4399.0205,-4188.0463,705.3307,4586.0200,2680.5670,-152042.5218,-152431.4949,-152942.8385,-148241.9379,-148883.4780,-160836.7016,-158621.0187,-152395.7850,54769749.8982,54742267.5999,54766165.5923,54766750.5838,-153311.1649,54772408.6757,
25200.000,4862.9827,-2260.7068,-744.3035,615.2317,-3467.8608,3103.2476,-5985.2619,327.6349,-3895.4601,-4970.7604,-3771.2198,900.9459,-5919.6032,-1926.4903,5852.1500,4001.2885,2627.2252,-4973.7596,-3576.3886,-4943.5247,-262359.1585,-276653.2159,-268837.5647,-272297.7968,-263419.0997,-267425.4304,-269761.4769,-265624.5837,111849446.6433,111829274.4574,111812403.9237,111840884.3140,-266628.4595,111834024.6738,4880.2955,-4635.2044,5815.6106,-5166.5787,-4746.0792,-2824.7342,-3170.5881,-6812.2206,-4244.2480,-2826.0190,4597.6372,5196.5702,-1332.1430,-6111.0148,2178.0824,-1475.5658,-4569.3353,-3261.0114,-4642.3114,-4761.1858,-241456.1137,-269336.0230,-258794.7994,-248958.8603,-249322.4666,-256138.2169,-249300.8536,-253995.2891,-161164078.7320,-161176590.4582,-161188009.1912,-161173258.8757,-253123.1351,-161177470.2583,-542.9944,-4637.1644,3482.0620,-4580.5384,3606.5008,5493.9339,150.5692,1121.8011,-3652.9863,3828.8045,3547.7563,4305.7008,-3135.8768,-2654.8563,-2972.0681,-5435.5186,4504.9657,3510.2434,-3515.9410,928.3772,-153439.0794,-153589.6259,-155108.6168,-148102.2848,-151998.4450,-163112.8798,-156637.0102,-155441.4255,54739638.2298,54710606.1261,54729493.6091,54739471.5783,-154283.2947,54739179.4812,
28800.000,-4805.2277,5368.7741,-1272.5559,2884.8504,5423.4153,-873.6791,5241.1314,1264.0955,6412.1285,6718.3674,2015.6569,-4608.2623,4189.0948,-439.5919,-6742.3795,-3350.4495,101.1998,4101.8054,6134.2197,5375.4333,-194828.6856,-200948.5183,-197984.5233,-200379.7068,-191806.7380,-195819.0381,-196430.8961,-195696.1904,149766651.6673,149749655.5883,149736529.6170,149753108.6709,-194574.1650,149752227.2672,-2334.7527,2018.9134,-6616.7121,5848.7847,4221.6379,6003.2465,438.0637,6014.5784,2323.3642,1466.4027,-6625.3993,-4845.9925,-2724.8322,6382.1960,-700.7940,5244.4516,6600.4657,-669.7426,3006.7206,1798.5085,-300932.1469,-330050.9986,-316390.8795,-307683.7111,-310229.1185,-313784.4667,-309428.5312,-311144.7914,-126641558.4279,-126652392.5448,-126671061.1000,-126647810.0632,-311608.9867,-126655584.8005,4376.3873,3881.3812,1069.8085,2329.6578,617.3613,-3336.3795,4262.3481,3156.5347,5.6818,363.0856,-235.8653,-1312.3490,4641.5839,-2687.5216,-1366.4980,2985.4267,-2150.7477,-5524.3897,-164.9044,-3989.1831,-154850.3777,-154741.5224,-157040.5834,-148430.4739,-155879.1263,-164689.3537,-153913.9756,-153882.3955,54709507.6576,54679608.8446,54693141.2969,54712577.5871,-155242.7971,54705961.0923,
