sl_5_86400_20261105 Coordinates.csv
2026/11/05 07:47:00.0000 UTC

Generated: Tue Oct  8 16:59:24 2024,
Start: 2026/11/05 07:47:00.00, Stop: 2026/11/06 07:47:00.00,
TIME_UNITS,STARLINK-11112 [DTC] - X-Coordinate,STARLINK-30845 - X-Coordinate,STARLINK-5744 - X-Coordinate,STARLINK-31573 - X-Coordinate,STARLINK-31500 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11112 [DTC] - Y-Coordinate,STARLINK-30845 - Y-Coordinate,STARLINK-5744 - Y-Coordinate,STARLINK-31573 - Y-Coordinate,STARLINK-31500 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11112 [DTC] - Z-Coordinate,STARLINK-30845 - Z-Coordinate,STARLINK-5744 - Z-Coordinate,STARLINK-31573 - Z-Coordinate,STARLINK-31500 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4111.2400,4406.4077,-6295.0178,-5319.7921,-63.6336,-372729.7578,-372445.1682,-366809.6884,-368209.9889,-368170.4564,-368412.3282,-376671.3600,-373254.3476,-191345325.4612,-191367734.4640,-191359599.3582,-191361265.3883,-372799.6477,-191362342.2418,-4861.2119,5020.9731,-201.4626,4253.0219,-6693.2091,96966.7244,107017.0766,93543.2850,91292.0754,99917.6593,97269.3385,95945.6825,95133.0935,-60654266.0390,-60631927.2279,-60627755.4271,-60639615.7049,94849.0558,-60651805.3894,-1659.2362,-1809.9165,2884.7422,113.6998,-1295.2490,-5821.3862,-6980.6800,-5649.9272,-828.8855,-209.7971,-10592.7888,-12788.6625,-3553.0682,58204079.0846,58183343.2139,58221628.1552,58219651.9969,-5269.8897,58215113.3473,
3600.000,-1149.4442,-5816.1141,4192.2470,2245.0410,2960.0178,-387852.6979,-385923.1521,-379279.6741,-381227.3867,-380229.9849,-380746.3702,-387742.9231,-383936.0127,-169050160.1037,-169076051.6954,-169073257.8256,-169073368.9653,-384789.9738,-169068134.3286,5256.6185,-3220.8169,-2906.4414,-5246.0482,4375.5300,-4858.9560,8324.0990,-4482.6513,-5368.6698,3463.8923,950.7753,-887.8281,-1793.2166,-108153677.8250,-108135723.0213,-108125929.4202,-108140475.4144,-1894.0953,-108150898.1463,-3788.6971,-1927.0930,-4699.8911,-3727.7164,4297.9294,-5999.6321,-8694.0164,-6169.2366,-4683.4087,-809.0781,-9354.7277,-15811.2892,-8564.3363,58171577.1225,58149070.9337,58183777.0309,58180649.9547,-6984.7442,58180882.0241,
7200.000,-3833.4253,5294.2621,-1360.3282,2358.4076,-5469.8570,-372405.0189,-373561.4962,-367525.8619,-370877.2612,-367738.7188,-369747.4500,-374148.7628,-372949.3487,-135213731.0141,-135241164.5240,-135245560.3494,-135240327.8807,-372068.5682,-135232761.5722,-2033.5317,-164.7049,5732.9006,4551.4892,-418.9881,-105591.0761,-90686.7253,-102300.2721,-101441.7419,-93063.9372,-96868.6678,-97184.8596,-99015.6273,-148242956.8413,-148229833.3605,-148217755.3125,-148237022.1533,-98574.7056,-148240388.4551,4933.0756,4442.3100,3642.7781,4479.9634,-4049.8590,-6721.0121,-10306.8285,-6906.5700,-9319.8982,-1888.2648,-7385.1492,-18145.9904,-7208.5951,58139686.5935,58115182.9777,58145838.4749,58141876.7282,-8699.0686,58146659.5286,
10800.000,6417.5199,-3738.8185,-1137.4857,-5922.6453,6078.5949,-331467.6667,-335923.7894,-332230.4612,-338109.8976,-331382.3504,-336564.3011,-336954.7794,-334587.9606,-92152989.5884,-92180001.9502,-92191844.3856,-92174644.2492,-335437.8343,-92172899.8572,-1345.9345,4030.6681,-6826.6201,-2832.5111,-3000.3155,-197377.7873,-183689.2929,-193689.7350,-188345.1829,-183450.1024,-191453.2191,-186817.4775,-187975.2951,-178186384.1391,-178177784.8920,-178167086.4546,-178188742.6193,-188977.8525,-178184537.3007,-524.7662,-4207.7682,-390.7036,-1822.4847,709.2928,-7787.2526,-11716.5080,-8123.6025,-11720.7469,-3432.4909,-9050.7988,-19833.8558,-11657.2100,58108256.4949,58081740.0294,58107934.0862,58106383.5000,-10412.7070,58112445.8811,
14400.000,-3421.0152,1766.7020,3133.3173,6433.4905,-3756.8323,-268863.4070,-275330.8462,-275554.2169,-281278.9074,-273429.2179,-279211.1737,-278655.5819,-277783.5706,-42814066.7718,-42838969.9522,-42856971.3663,-42827377.0600,-277238.6993,-42834450.6465,3374.1846,-6554.5188,5342.5614,174.5967,4726.5410,-274687.9803,-265749.4150,-272781.5210,-263985.0925,-261880.8548,-271635.4313,-264179.4792,-268582.9175,-195942702.4286,-195937576.7803,-195931600.0004,-195945035.4996,-267288.5266,-195941933.6118,-4496.9929,1334.6236,-3121.2412,-2243.1595,3153.8647,-9044.0676,-12514.2182,-9953.2676,-10907.4408,-5451.7277,-14561.3605,-20878.8238,-11039.3587,58077106.5782,58048816.3620,58070178.4971,58077393.7123,-12125.5036,58078241.1019,
18000.000,-2572.4474,525.1656,-4717.1236,-3940.4764,-719.8036,-189242.0356,-200191.4027,-201051.5054,-205861.4735,-197567.6679,-202744.8924,-202988.4616,-201099.3801,9429327.7680,9407648.9576,9386043.8499,9415993.9518,-201200.8852,9408999.7048,-4131.2951,6483.5819,-1861.1211,3136.6649,-4949.6296,-332922.7302,-332235.2793,-334427.4618,-324143.3922,-323337.9538,-332960.8855,-324512.7913,-326818.7717,-200304248.0347,-200300942.7159,-200302130.1619,-200300856.0214,-328466.2198,-200304666.5167,4415.0513,2349.7589,4715.7812,4579.7068,-4635.2127,-10427.7998,-12824.2458,-12364.0896,-10412.5330,-7984.2541,-19273.3858,-21248.9519,-14603.4994,58046039.0242,58016502.9075,58032685.0299,58049875.9301,-13837.3031,58044045.2113,
21600.000,5868.3641,-3215.8933,5683.2239,283.8431,4887.8005,-98101.6536,-112526.5190,-113485.2362,-117291.9591,-108666.2404,-113283.5967,-114643.1047,-111814.8429,61006611.9086,60988461.2747,60966607.8859,60987094.3992,-112203.6136,60986853.9004,2900.1680,-4066.2395,-1950.6128,-5881.3292,3983.6231,-368730.5428,-375405.9387,-374565.0652,-363962.3036,-363964.9361,-372446.0456,-364192.9902,-370203.0550,-190979052.0302,-190975590.5272,-190985045.9322,-190973324.7224,-368569.8507,-190980491.2579,636.0214,-4589.2372,-3462.4562,-3430.2385,2581.0221,-11905.3966,-14075.2743,-15168.5773,-10487.4882,-11107.6865,-23067.1118,-20870.1843,-14998.1782,58014851.2555,57984909.5205,57995570.9775,58019356.0519,-15547.9508,58009858.2296,
25200.000,-4150.7120,5628.1514,-5222.8809,2751.2359,-6431.3247,-1505.7078,-16196.5579,-18528.4287,-21339.5391,-12502.8699,-16955.8539,-18824.4839,-16907.7046,108394361.6254,108379119.8315,108360568.6882,108368538.5653,-15962.1210,108375538.2321,1100.0955,704.4456,4557.9894,6224.2103,-1747.7626,-380212.7209,-394310.1721,-390532.6487,-380474.9017,-381434.7885,-387969.1169,-380980.9884,-383462.3045,-168610338.3223,-168604822.7765,-168622058.2321,-168607580.9660,-385012.0453,-168612399.5646,-4987.4509,3954.0551,84.4334,-354.8572,1419.2918,-13457.1350,-15635.5549,-18073.4299,-11081.4639,-14956.8461,-26084.0344,-19626.4052,-17458.3387,57983349.0568,57954163.0982,57958962.8211,57985744.5054,-17257.2923,57975680.1772,
28800.000,138.0367,-6522.6472,2806.3326,-4471.0881,4950.9180,94278.1072,82379.3110,77632.5957,75810.6018,84201.3448,79958.6609,79624.5155,82655.4515,148356988.1387,148343196.1464,148331007.2284,148328497.0060,81339.8468,148339218.9544,-5442.7501,2140.3810,-5391.1336,-3391.8503,-1734.8812,-367020.5749,-388028.7294,-381283.8395,-372419.9420,-375523.6184,-378812.4262,-374413.2879,-377895.9130,-134732127.5180,-134723218.4565,-134746117.8210,-134735652.6589,-376726.3419,-134734284.3632,3681.2575,-873.6809,3322.7601,3853.9423,-4356.8317,-15070.1452,-17324.0306,-20758.0995,-12154.4053,-19586.8377,-28412.1188,-17650.4110,-19019.5459,57951359.1542,57924392.4529,57923001.4885,57949692.8506,-18965.1736,57941511.0742,
