sl_10_5400_20270822 Coordinates.csv
2027/08/22 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:51 2024,
Start: 2027/08/22 07:47:00.00, Stop: 2027/08/22 09:17:00.00,
TIME_UNITS,STARLINK-6254 - X-Coordinate,STARLINK-4061 - X-Coordinate,STARLINK-5221 - X-Coordinate,STARLINK-6228 - X-Coordinate,STARLINK-30106 - X-Coordinate,STARLINK-6227 - X-Coordinate,STARLINK-3260 - X-Coordinate,STARLINK-31212 - X-Coordinate,STARLINK-2712 - X-Coordinate,STARLINK-11234 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6254 - Y-Coordinate,STARLINK-4061 - Y-Coordinate,STARLINK-5221 - Y-Coordinate,STARLINK-6228 - Y-Coordinate,STARLINK-30106 - Y-Coordinate,STARLINK-6227 - Y-Coordinate,STARLINK-3260 - Y-Coordinate,STARLINK-31212 - Y-Coordinate,STARLINK-2712 - Y-Coordinate,STARLINK-11234 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6254 - Z-Coordinate,STARLINK-4061 - Z-Coordinate,STARLINK-5221 - Z-Coordinate,STARLINK-6228 - Z-Coordinate,STARLINK-30106 - Z-Coordinate,STARLINK-6227 - Z-Coordinate,STARLINK-3260 - Z-Coordinate,STARLINK-31212 - Z-Coordinate,STARLINK-2712 - Z-Coordinate,STARLINK-11234 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-1035.3012,2615.1455,5421.1627,2482.0804,-4544.6225,6804.1284,5.9138,6084.1665,3704.6956,-5514.1359,-170271.9596,-159584.8878,-158591.4228,-159378.8582,-150959.3440,-153171.1642,-156862.2753,-158133.2825,114593002.7179,114577735.8303,114563960.9348,114569847.7139,-157003.7545,114578167.8335,-5086.2942,-6169.0693,-2871.2895,6374.0713,2496.8528,-1231.3071,6644.0618,549.4866,5092.5131,1153.8295,-358445.3478,-342899.3240,-351367.3380,-350811.0954,-348880.0876,-348891.0197,-341621.4326,-344651.6242,255696405.4380,255686565.6715,255678560.8409,255675348.8729,-345447.2355,255682401.3690,-4599.1406,1671.2935,-3172.4264,1009.5829,-4595.6995,-490.5113,-1937.4651,3083.6177,2734.4914,3618.0412,101440.3158,99216.9875,98587.7617,101743.1121,103591.4120,93657.8781,90257.5802,99367.9417,-44857672.4885,-44836388.5526,-44860197.6046,-44855260.3291,98186.7960,-44858764.6554,
300.000,-3077.8926,1165.1351,3832.4454,3693.8647,-3620.6524,6103.6290,1272.3336,6518.6532,4216.3362,-5761.6855,-162574.6313,-152214.8371,-151341.9242,-152026.0957,-143572.7700,-145777.8681,-149495.8751,-151047.2047,108982659.3511,108967652.5523,108953803.0224,108959930.8129,-149646.0226,108967883.7972,-4755.4817,-5956.3878,-3611.1977,5305.9889,4349.6652,-2625.6900,5827.5550,-1120.4805,3492.6901,2719.9954,-361978.2332,-345738.2487,-354532.7253,-353935.0338,-352082.7485,-352067.7280,-344896.4585,-347779.7433,258139593.8336,258129999.8022,258121168.8908,258118024.7116,-348650.4102,258125509.3631,-3999.6830,3289.8510,-4469.4877,2446.2623,-3996.6348,-1981.0736,-3511.7325,1761.8371,4138.6108,2064.9998,101535.1936,99395.3160,98799.2468,101692.3908,103794.0571,93999.7458,90250.6132,99076.0344,-44862574.8183,-44840888.9685,-44864295.6396,-44859465.2930,98297.8839,-44863406.2425,
600.000,-4817.6430,-432.0884,1858.1366,4567.7540,-2383.6281,4810.1787,2451.1938,6303.3099,4344.9364,-5391.8316,-154803.2187,-144779.0309,-144026.5399,-144609.3759,-136121.9754,-138324.4179,-142061.1486,-143797.0518,103320256.1339,103305497.9925,103291620.1437,103297991.1309,-142223.0891,103305542.9885,-4002.9852,-5169.6527,-4041.6684,3714.5863,5787.1197,-3784.6316,4442.6754,-2661.8782,1524.8969,3968.3001,-365344.8448,-348438.0525,-357537.7278,-356897.3279,-355126.9297,-355082.9259,-348014.8856,-350823.3705,260459693.1017,260450356.2849,260440699.4435,260437645.3638,-351696.8652,260445530.5215,-2972.9867,4552.0688,-5283.7358,3618.8070,-2969.5517,-3259.6137,-4708.6947,244.0888,5087.0103,266.9702,101629.7979,99566.2007,99009.7172,101636.6667,103993.1796,94347.8116,90248.6556,98727.7949,-44867477.5574,-44845396.5874,-44868392.6428,-44863679.9850,98408.9118,-44868047.8627,
900.000,-6086.3788,-2027.9383,-303.9757,5029.6907,-943.4934,3049.4538,3438.8524,5453.4153,4088.4415,-4431.8292,-146961.3383,-137283.1535,-136648.6146,-137132.0152,-128610.2842,-130814.7839,-134561.4328,-136371.4507,97608493.2786,97593971.9013,97580111.9173,97586725.8677,-134738.2923,97593845.5186,-2891.1159,-3897.0020,-4129.5484,1754.1908,6666.8142,-4608.6670,2631.8317,-3932.6488,-612.3845,4778.2429,-368543.6071,-350995.8117,-360381.0510,-359696.2691,-358011.4027,-357935.2154,-350975.1863,-353776.3180,262655594.7284,262646526.1862,262636045.8737,262633103.9354,-354585.2767,262641356.4610,-1628.2982,5321.5135,-5527.8343,4400.7102,-1624.0409,-4189.7305,-5400.4962,-1300.8178,5475.5476,-1562.7496,101724.1294,99730.5908,99218.9837,101575.8595,104188.8092,94702.1368,90251.6540,98356.5810,-44872380.5875,-44849911.2686,-44872489.2649,-44867905.0525,98519.8795,-44872689.5162,
1200.000,-6762.0867,-3469.3107,-2437.2916,5042.2992,572.8665,992.5505,4145.0600,4049.0050,3477.6767,-2974.6194,-139052.6412,-129732.2799,-129211.5194,-129597.3419,-121041.0495,-123253.0156,-127000.1001,-128767.1319,91850094.5844,91835797.6350,91822001.4263,91828855.8162,-127194.9972,91835515.0794,-1514.2713,-2272.0872,-3869.0175,-383.8191,6900.2223,-5027.5774,577.9055,-4818.8716,-2701.7285,5078.8645,-371573.0236,-353408.8184,-363061.4770,-362330.1770,-360735.0059,-360623.2678,-353775.9102,-356627.4542,264726249.4282,264717459.7865,264706160.7458,264703352.5587,-357314.3920,264711938.0217,-109.2171,5515.2145,-5175.5994,4707.7278,-104.1621,-4672.4961,-5513.4588,-2701.2443,5261.6318,-3207.4031,101818.1889,99889.2889,99426.8588,101509.8919,104380.9739,95062.7726,90259.5576,97996.9903,-44877283.7905,-44854432.8731,-44876586.1622,-44872141.0773,98630.7870,-44877331.2029,
1500.000,-6781.1216,-4613.2299,-4327.8208,4607.5194,2032.5270,-1160.8492,4500.8154,2227.0995,2572.5522,-1169.6172,-131080.8104,-122131.0446,-121718.6499,-122008.6905,-113417.6508,-115643.2465,-119380.5571,-120989.4628,86047806.1380,86033720.8565,86020033.9215,86027124.0704,-119596.5942,86033297.6454,8.6087,-459.6770,-3281.7569,-2489.9446,6462.1263,-5005.8593,-1514.2745,-5244.7142,-4528.9719,4854.3115,-374431.6778,-355674.6060,-365577.8649,-364797.3947,-363296.6453,-363145.8233,-356415.6851,-359361.7646,266670667.6449,266662167.0828,266650056.3073,266647402.9027,-359883.0302,266656285.7688,1421.5532,5112.3573,-4264.6452,4506.8239,1426.8918,-4656.6619,-5035.5029,-3801.9979,4468.7263,-4472.8311,101911.9769,100042.9722,99633.1580,101438.6923,104569.7003,95429.7567,90272.3183,97682.7828,-44882187.0482,-44858961.2636,-44880683.9938,-44876388.5827,98741.6341,-44881972.9229,
1800.000,-6144.5493,-5341.0058,-5785.4354,3765.9728,3308.0540,-3201.7539,4464.9681,167.9367,1456.2594,793.0577,-123049.5596,-114483.7638,-114173.4246,-114369.3954,-105743.4929,-107989.7001,-111706.2423,-113052.5469,80204395.0042,80190508.2259,80176975.5143,80184294.7228,-111946.4975,80189960.1637,1544.0765,1361.1553,-2415.4282,-4357.1856,5393.6699,-4545.4021,-3438.0890,-5178.3377,-5905.2571,4143.0209,-377118.2339,-357790.9490,-367929.1513,-367096.2825,-365695.2955,-365501.6891,-358893.2167,-361961.5963,268487920.0254,268479718.2619,268466804.9535,268464326.6559,-362290.0822,268473470.4653,2799.7928,4156.4169,-2892.6510,3819.6357,2804.4715,-4143.8598,-4017.3774,-4481.4966,3183.8657,-5210.3122,102005.4941,100192.2128,99837.6995,101362.1975,104755.0136,95803.1080,90289.8906,97444.8519,-44887090.2423,-44863496.3046,-44884783.4189,-44880648.0406,98852.4209,-44886614.6759,
2100.000,-4917.7617,-5570.7137,-6663.1929,2593.2414,4288.5372,-4931.9065,4029.0919,-1923.0893,227.8963,2702.7757,-114962.6311,-106794.5234,-106579.2831,-106682.7838,-98022.0041,-100296.6981,-103980.6243,-104978.8529,74322647.9056,74308946.0806,74295611.8615,74303151.5493,-104248.1434,74308289.2348,2955.8011,3014.7173,-1340.4240,-5801.4748,3798.4788,-3685.3483,-5005.3118,-4633.4803,-6686.8998,3031.2658,-379631.4372,-359755.8516,-370114.3504,-369225.2112,-367930.0003,-367689.7381,-361207.2896,-364408.0270,270177137.8635,270169244.1457,270155539.6637,270153255.9782,-364534.5119,270162623.5160,3877.6365,2750.6152,-1207.3996,2720.1978,3880.4216,-3188.4580,-2567.6300,-4664.9149,1548.3426,-5333.5030,102098.7412,100337.4960,100040.3046,101280.3566,104936.9375,96182.8198,90312.2313,97309.2629,-44891993.2544,-44868037.8626,-44888885.0940,-44884919.8776,98963.1473,-44891256.4622,
2400.000,-3223.4462,-5266.7355,-6872.7623,1193.3173,4889.0390,-6182.9761,3220.0059,-3835.8263,-1006.0246,4350.7297,-106823.7944,-99067.2418,-98939.6842,-98952.1660,-90256.6343,-92568.6685,-96207.2001,-96798.3156,68405369.8943,68391839.1067,68378746.8405,68386496.6855,-96504.9889,68391089.7835,4116.6193,4345.7423,-144.8310,-6680.0747,1832.2834,-2499.1348,-6064.6721,-3666.9931,-6790.9565,1642.4383,-381970.1153,-361567.5312,-372132.5549,-371182.5537,-369999.8732,-369708.9060,-363356.7675,-366682.3077,271737513.5152,271729936.6070,271715454.4093,271713383.9238,-366615.3561,271722937.3829,4539.5808,1046.9989,608.7924,1327.0974,4539.1492,-1892.0694,-841.5420,-4332.0954,-257.7299,-4827.9802,102191.7187,100479.2351,100240.7983,101193.1364,105115.4943,96568.8517,90339.2997,97295.4019,-44896895.9666,-44872585.8061,-44892989.6703,-44889204.4797,99073.8131,-44895898.2816,
