sl_20_5400_20270224 Coordinates.csv
2027/02/24 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:58 2024,
Start: 2027/02/24 07:47:00.00, Stop: 2027/02/24 09:17:00.00,
TIME_UNITS,STARLINK-3922 - X-Coordinate,STARLINK-11271 [DTC] - X-Coordinate,STARLINK-2002 - X-Coordinate,STARLINK-31708 - X-Coordinate,STARLINK-30423 - X-Coordinate,STARLINK-5280 - X-Coordinate,STARLINK-5929 - X-Coordinate,STARLINK-4440 - X-Coordinate,STARLINK-3782 - X-Coordinate,STARLINK-4374 - X-Coordinate,STARLINK-5006 - X-Coordinate,STARLINK-4053 - X-Coordinate,STARLINK-2450 - X-Coordinate,STARLINK-3775 - X-Coordinate,STARLINK-4407 - X-Coordinate,STARLINK-1715 - X-Coordinate,STARLINK-3725 - X-Coordinate,STARLINK-2373 - X-Coordinate,STARLINK-1996 - X-Coordinate,STARLINK-6242 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3922 - Y-Coordinate,STARLINK-11271 [DTC] - Y-Coordinate,STARLINK-2002 - Y-Coordinate,STARLINK-31708 - Y-Coordinate,STARLINK-30423 - Y-Coordinate,STARLINK-5280 - Y-Coordinate,STARLINK-5929 - Y-Coordinate,STARLINK-4440 - Y-Coordinate,STARLINK-3782 - Y-Coordinate,STARLINK-4374 - Y-Coordinate,STARLINK-5006 - Y-Coordinate,STARLINK-4053 - Y-Coordinate,STARLINK-2450 - Y-Coordinate,STARLINK-3775 - Y-Coordinate,STARLINK-4407 - Y-Coordinate,STARLINK-1715 - Y-Coordinate,STARLINK-3725 - Y-Coordinate,STARLINK-2373 - Y-Coordinate,STARLINK-1996 - Y-Coordinate,STARLINK-6242 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3922 - Z-Coordinate,STARLINK-11271 [DTC] - Z-Coordinate,STARLINK-2002 - Z-Coordinate,STARLINK-31708 - Z-Coordinate,STARLINK-30423 - Z-Coordinate,STARLINK-5280 - Z-Coordinate,STARLINK-5929 - Z-Coordinate,STARLINK-4440 - Z-Coordinate,STARLINK-3782 - Z-Coordinate,STARLINK-4374 - Z-Coordinate,STARLINK-5006 - Z-Coordinate,STARLINK-4053 - Z-Coordinate,STARLINK-2450 - Z-Coordinate,STARLINK-3775 - Z-Coordinate,STARLINK-4407 - Z-Coordinate,STARLINK-1715 - Z-Coordinate,STARLINK-3725 - Z-Coordinate,STARLINK-2373 - Z-Coordinate,STARLINK-1996 - Z-Coordinate,STARLINK-6242 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,848.7208,-1173.4423,-3755.3220,-1060.6235,6811.5021,1015.8882,1927.5684,3759.1672,4271.0922,5931.1563,-1452.8185,5732.8461,-3239.2399,4304.5393,1407.5101,1521.9991,-3996.8231,1255.3804,2327.9310,4156.1630,-85568.3010,-114984.1785,-100098.0812,-98184.9606,-106393.5634,-103963.8544,-99904.9403,-99019.4227,46025570.0445,46004659.1257,45987307.3834,46017050.5824,-100104.2416,46009642.1229,-6167.9724,5526.9301,-4289.0329,5195.2821,-862.6502,-5183.8121,2116.6661,-4559.2165,1692.7878,-3245.5374,2339.9736,-2984.3959,-5765.6763,-5350.4559,317.4961,4467.9474,3451.7618,4460.1324,5379.0297,-3157.0684,-348567.0068,-369263.8132,-351216.2929,-351840.2105,-354535.8105,-354064.9676,-361297.8215,-358551.4242,-86284163.8907,-86296258.4824,-86307593.0145,-86292315.9987,-357358.1246,-86296908.3421,-3002.0708,-3620.9876,-3923.1491,-4290.3644,-218.9354,-4447.8135,-6335.3064,3370.5696,5143.2022,-1536.1580,6358.5421,-2464.0153,-2008.3030,-728.4498,6784.5082,-5018.8155,4433.5170,-5124.5802,3662.0945,4558.8782,-74085.2270,-78977.1448,-78050.4735,-73857.1270,-72761.5931,-82995.2492,-85652.0621,-77251.1254,28015036.6606,27985127.5410,28005932.3331,28014245.3753,-77967.1484,28013913.7880,
300.000,-652.2422,549.0811,-5270.8934,384.6823,6369.2683,-451.1492,3920.3739,4623.1217,5461.1649,5387.2593,757.5343,4304.0508,-3947.0327,3030.1924,-646.8115,3456.1555,-2042.0723,3220.0962,3875.9567,2440.3121,-78185.1718,-107159.0490,-92413.7586,-90601.4919,-98851.4414,-96440.0353,-92339.3497,-91254.7504,47904313.9861,47883709.0463,47866519.7469,47895656.9213,-92533.5599,47888460.2841,-5336.1648,4711.9199,-3752.5129,6143.3453,-2018.4573,-6131.9602,1679.5407,-4834.7110,118.1526,-2452.9479,2361.4342,-3720.0083,-4414.1416,-5695.5924,1314.0569,4408.3548,3959.1002,4456.0325,5314.8268,-4453.5936,-350186.6845,-371534.0951,-353244.5276,-353933.4662,-356567.6735,-356111.2604,-363251.6630,-360585.6502,-85256129.8184,-85268151.5248,-85280159.7776,-85263769.0757,-359385.7319,-85268941.0570,-4346.2227,-4747.7781,-2452.8350,-2936.3804,1588.2488,-3142.4656,-5489.1278,1247.1820,4211.9339,-3612.2250,6471.0442,-3936.4889,-3566.3390,-2467.0581,6779.5357,-4010.7104,5261.0389,-4183.5588,2126.4074,4715.2727,-74218.4403,-79126.2431,-78082.4702,-74144.5082,-72790.9482,-82910.1104,-85915.4169,-77856.4482,28016175.8898,27986161.4293,28006526.0635,28015687.6298,-78100.7913,28014792.8236,
600.000,-2130.9246,2253.5963,-6254.0054,1759.1715,5276.7789,-1841.1998,5522.3339,4966.8065,6131.1614,4232.1004,2890.1267,2440.4565,-4300.9834,1433.2031,-2671.4596,5027.8401,117.9299,4848.3443,5022.3922,513.4583,-70773.1176,-99288.5130,-84688.5084,-82975.6348,-91266.9263,-88871.1687,-84736.0452,-83551.3017,49760100.0389,49739795.6555,49722794.0228,49751247.4488,-84921.8900,49744322.9958,-3998.4763,3421.5471,-2869.5261,6467.5426,-2987.0437,-6483.3070,1144.5641,-4540.1375,-1428.4937,-1437.2114,2227.8580,-4130.2609,-2612.9015,-5491.4064,2082.6493,3948.7200,4129.7947,4052.6801,4739.7313,-5356.9005,-351650.7920,-373637.7859,-355116.1481,-355870.1168,-358440.8833,-358001.7510,-365044.6783,-362359.0895,-84187200.5008,-84199136.1355,-84211813.6093,-84194360.2306,-361252.9410,-84200075.5633,-5222.0540,-5316.3306,-718.5149,-1252.5229,3220.4916,-1496.9365,-4062.0023,-1017.3995,2823.7471,-5302.3758,5893.5008,-4985.5177,-4739.6898,-3938.7137,6053.8828,-2565.8703,5517.6274,-2790.7846,361.1435,4367.4514,-74351.9217,-79275.2230,-78114.4489,-74436.9087,-72823.7835,-82818.7533,-86173.5195,-78481.0754,28017314.5437,27987199.8774,28007121.6585,28017125.0866,-78234.3814,28015671.9094,
900.000,-3448.4762,3758.8614,-6612.3760,2937.4067,3643.7683,-3031.6121,6567.2549,4728.0912,6204.2088,2582.3554,4725.6991,326.7363,-4279.6964,-337.8218,-4440.8571,6083.0569,2265.4234,5981.6147,5665.9052,-1438.9790,-63335.3860,-91376.1285,-76925.7258,-75310.7814,-83643.4509,-81260.1026,-77098.4343,-75922.3801,51592038.2035,51572028.4696,51555239.5432,51582937.3383,-77272.6306,51576340.1287,-2294.6647,1802.1913,-1708.7494,6124.7029,-3688.6211,-6192.9611,546.9531,-3732.9281,-2804.8889,-330.6364,1945.1396,-4187.0227,-539.4189,-4771.7440,2548.1986,3118.8356,3949.7038,3274.4478,3695.7297,-5776.1894,-352958.8602,-375573.9615,-356830.3238,-357649.6462,-360154.5013,-359735.6628,-366676.2657,-363884.0880,-83077888.4017,-83089724.9828,-83103066.2513,-83084605.1654,-362958.9251,-83090824.2229,-5535.9684,-5260.4083,1093.2209,572.2477,4498.1317,310.8688,-2204.0190,-3166.8769,1129.0687,-6427.2195,4687.3663,-5499.1021,-5402.5743,-4984.8898,4684.2031,-841.1969,5175.4871,-1096.1914,-1443.1226,3552.5672,-74485.6680,-79424.0831,-78146.6032,-74734.4264,-72860.0694,-82721.1024,-86426.4286,-79086.5294,28018452.5050,27988242.9486,28007719.1851,28018555.1807,-78367.9187,28016551.0454,
1200.000,-4476.5700,4899.7073,-6317.2381,3816.0014,1636.1729,-3921.5256,6945.5058,3914.6414,5662.2931,612.1560,6075.7772,-1827.0544,-3893.3441,-2113.6852,-5753.6025,6521.4143,4183.9301,6512.4037,5756.6925,-3231.8370,-55875.2314,-83425.4725,-69128.8225,-67610.3480,-75984.4625,-73609.6601,-69429.9314,-68371.6452,53399249.9153,53379528.4452,53362977.0488,53389853.2324,-69589.1971,53383632.9841,-397.1251,30.4705,-366.3323,5141.6368,-4066.7775,-5280.5543,-77.2414,-2529.6944,-3889.1888,731.7062,1525.9802,-3891.0234,1600.6423,-3618.5441,2676.8282,1983.3429,3432.7960,2180.4225,2272.0074,-5663.8531,-354110.4868,-377341.7739,-358386.2908,-359271.6443,-361707.6657,-361312.2878,-368145.8882,-365179.8820,-81928725.3498,-81940450.1187,-81954448.8342,-81935038.3322,-364502.9296,-81941718.7679,-5254.5628,-4586.5211,2787.0309,2332.5359,5280.8362,2084.9069,-111.7696,-4958.5039,-688.1781,-6867.9345,2980.9945,-5422.6451,-5484.1966,-5493.4011,2815.7121,975.3208,4271.5423,717.0998,-3091.8174,2357.6759,-74619.6763,-79572.8218,-78179.1258,-75037.1601,-72899.7779,-82617.0865,-86674.2000,-79636.9013,28019589.6566,27989290.7075,28008318.7108,28019975.7054,-78501.4030,28017430.2314,
1500.000,-5109.6190,5544.8788,-5405.6207,4322.5369,-541.2831,-4440.2697,6616.4554,2604.7287,4549.4852,-1465.5668,6802.5082,-3806.2064,-3181.5296,-3720.6890,-6455.9550,6306.1489,5680.1689,6394.9015,5299.7895,-4697.8651,-48395.9132,-75440.1396,-61301.2261,-59877.7758,-68293.4213,-65922.6330,-61733.9571,-60893.3620,55180868.4653,55161428.4013,55145139.1107,55171133.5904,-61875.0197,55165334.7148,1506.4625,-1705.6719,1041.7358,3613.5272,-4092.3993,-3829.5359,-692.1789,-1089.4623,-4590.7650,1628.1791,990.4606,-3270.8815,3593.7345,-2152.1169,2478.1016,637.4440,2620.3052,860.7142,597.3095,-5021.0932,-355105.3368,-378940.4516,-359783.3520,-360735.8122,-363099.5920,-362730.9882,-369453.0741,-366270.2401,-80740262.2825,-80751862.7228,-80766511.6234,-80746212.7356,-365884.2721,-80753310.0451,-4407.9267,-3373.2209,4180.2398,3830.0303,5482.8670,3632.5524,1992.3432,-6190.8389,-2430.8136,-6577.9943,956.3340,-4764.3772,-4975.8808,-5409.9343,647.1796,2685.2188,2903.6202,2452.6381,-4407.6871,910.5521,-74753.9438,-79721.4375,-78212.2091,-75345.2086,-72942.8821,-82506.6409,-86916.8869,-80101.5753,28020725.8820,27990343.2194,28008920.3036,28021384.7790,-78634.8342,28018309.4676,
1800.000,-5275.5933,5612.3238,-3975.5461,4421.0413,-2666.2437,-4552.5348,5613.4116,939.1657,2968.4341,-3421.8102,6833.4132,-5412.4740,-2209.2361,-4997.3373,-6460.5313,5467.2263,6603.8903,5649.0520,4352.5681,-5703.5161,-40900.6946,-67423.7402,-53446.3783,-52116.5318,-60573.7991,-58201.7746,-54013.9363,-53473.4443,56936039.4162,56916873.4357,56900870.5468,56925929.0479,-54133.5424,56920590.7415,3231.4053,-3226.5200,2389.5230,1694.4741,-3765.3877,-1979.4446,-1263.0399,407.5531,-4857.4735,2264.2177,366.5034,-2380.4002,5239.4546,-518.4895,2001.7334,-800.7256,1577.9463,-570.5624,-1171.9158,-3899.0732,-355943.1417,-380369.3000,-361020.8774,-362041.9675,-364329.5729,-363991.1968,-370597.4175,-367180.9634,-79513068.9829,-79524532.8390,-79539823.7559,-79518699.7265,-367102.3430,-79526167.7528,-3086.6093,-1762.5006,5122.7856,4896.2239,5082.1836,4785.8527,3884.2165,-6725.9737,-3910.1954,-5587.6772,-1170.4470,-3594.4980,-3931.9233,-4743.4747,-1590.3333,4101.6055,1220.1252,3922.2686,-5249.8611,-633.9778,-74888.4676,-79869.9286,-78246.0439,-75658.6691,-72989.3566,-82389.7105,-87154.5396,-80457.2208,28021861.0648,27991400.5505,28009524.0315,28022780.8095,-78768.2124,28019188.7539,
2100.000,-4944.4580,5080.1497,-2174.9798,4113.6370,-4521.4575,-4259.9348,4040.1125,-894.2165,1070.4983,-5036.3288,6169.0077,-6483.9096,-1061.2250,-5810.3661,-5757.4010,4097.1499,6863.5325,4357.4690,3017.1816,-6161.2348,-33392.8413,-59379.8987,-45567.7338,-44330.1106,-52829.0783,-50449.7910,-46273.2977,-46091.0664,58663921.0114,58645021.3351,58629328.8324,58653402.7856,-46368.2212,58648559.1620,4613.7766,-4379.1320,3552.3106,-418.5624,-3114.3141,87.9123,-1756.7345,1782.4519,-4678.7113,2582.2225,-310.1526,-1294.3186,6370.6158,1124.9127,1329.1517,-2200.3575,391.1427,-1985.0251,-2866.2070,-2395.1809,-356623.7005,-381627.7013,-362098.3047,-363190.0505,-365396.9779,-365092.4190,-371578.5786,-367937.5244,-78247733.8052,-78259049.1015,-78274972.9679,-78253088.7819,-368156.6053,-78260880.1671,-1432.4016,56.2350,5513.3341,5411.4263,4122.7257,5419.8483,5362.5417,-6504.1266,-4966.8131,-4001.2745,-3172.4445,-2038.0911,-2464.1301,-3565.3825,-3658.7231,5069.8612,-596.0004,4966.8305,-5528.5599,-2110.7686,-75023.2449,-80018.2935,-78280.8196,-75977.6355,-73039.1774,-82266.2535,-87387.2060,-80689.0210,28022995.0893,27992462.7680,28010129.9631,28024162.4612,-78901.5374,28020068.0903,
2400.000,-4133.1212,3991.4146,-186.1114,3438.5999,-5917.0680,-3599.1559,2059.2922,-2681.6129,-959.1707,-6122.4657,4882.1347,-6911.6058,164.8533,-6068.8036,-4415.8220,2340.2543,6435.7163,2655.8113,1429.2396,-6036.9133,-25875.6197,-51312.2522,-37668.7589,-36522.0372,-45062.7502,-42669.3326,-38515.4725,-38720.6227,60363684.5789,60345042.9799,60329684.5047,60352730.9039,-38582.5226,60348411.1557,5526.1646,-5052.9674,4417.9755,-2506.3474,-2194.1402,2166.6639,-2142.6494,2878.7284,-4084.2830,2566.8498,-996.7380,-102.6234,6870.5910,2624.1396,561.1761,-3429.7907,-841.5595,-3251.4682,-4319.1309,-644.5916,-357146.8787,-382715.1156,-363015.1392,-364180.1316,-366301.2541,-366034.2339,-372396.2840,-368563.0279,-76944863.3938,-76956018.4528,-76972565.3134,-76949987.2727,-369046.5956,-76958053.8602,376.4998,1868.2866,5309.9322,5317.9509,2709.7563,5465.9341,6270.5016,-5549.8126,-5487.2494,-1986.9756,-4836.7256,-262.2004,-730.3155,-2002.1678,-5338.8277,5484.4845,-2347.4204,5473.4087,-5214.1840,-3362.2254,-75158.2730,-80166.5306,-78316.7239,-76302.1952,-73092.3218,-82136.2463,-87614.9315,-80791.2110,28024127.8405,27993529.9401,28010738.1672,28025528.6231,-79034.8092,28020947.4767,
