sl_20_86400_20270307 Coordinates.csv
2027/03/07 07:47:00.0000 UTC

Generated: Tue Oct  8 17:20:03 2024,
Start: 2027/03/07 07:47:00.00, Stop: 2027/03/08 07:47:00.00,
TIME_UNITS,STARLINK-1358 - X-Coordinate,STARLINK-2108 - X-Coordinate,STARLINK-31844 - X-Coordinate,STARLINK-2100 - X-Coordinate,STARLINK-2495 - X-Coordinate,STARLINK-32045 - X-Coordinate,STARLINK-1365 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-30975 - X-Coordinate,STARLINK-4463 - X-Coordinate,STARLINK-2484 - X-Coordinate,STARLINK-4719 - X-Coordinate,STARLINK-30314 - X-Coordinate,STARLINK-5369 - X-Coordinate,STARLINK-2257 - X-Coordinate,STARLINK-4760 - X-Coordinate,STARLINK-32197 - X-Coordinate,STARLINK-3633 - X-Coordinate,STARLINK-5715 - X-Coordinate,STARLINK-4526 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1358 - Y-Coordinate,STARLINK-2108 - Y-Coordinate,STARLINK-31844 - Y-Coordinate,STARLINK-2100 - Y-Coordinate,STARLINK-2495 - Y-Coordinate,STARLINK-32045 - Y-Coordinate,STARLINK-1365 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-30975 - Y-Coordinate,STARLINK-4463 - Y-Coordinate,STARLINK-2484 - Y-Coordinate,STARLINK-4719 - Y-Coordinate,STARLINK-30314 - Y-Coordinate,STARLINK-5369 - Y-Coordinate,STARLINK-2257 - Y-Coordinate,STARLINK-4760 - Y-Coordinate,STARLINK-32197 - Y-Coordinate,STARLINK-3633 - Y-Coordinate,STARLINK-5715 - Y-Coordinate,STARLINK-4526 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1358 - Z-Coordinate,STARLINK-2108 - Z-Coordinate,STARLINK-31844 - Z-Coordinate,STARLINK-2100 - Z-Coordinate,STARLINK-2495 - Z-Coordinate,STARLINK-32045 - Z-Coordinate,STARLINK-1365 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-30975 - Z-Coordinate,STARLINK-4463 - Z-Coordinate,STARLINK-2484 - Z-Coordinate,STARLINK-4719 - Z-Coordinate,STARLINK-30314 - Z-Coordinate,STARLINK-5369 - Z-Coordinate,STARLINK-2257 - Z-Coordinate,STARLINK-4760 - Z-Coordinate,STARLINK-32197 - Z-Coordinate,STARLINK-3633 - Z-Coordinate,STARLINK-5715 - Z-Coordinate,STARLINK-4526 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5215.8931,0.0000,3764.7671,-2872.8861,2761.3998,-1218.6265,-4519.2402,-3054.4776,-1628.4453,4004.3984,2545.7503,-4015.6997,0.0000,-416.7992,-4875.1601,3655.8043,6312.5837,1275.3633,-4403.6569,6247.7433,-219073.7986,-242731.4260,-231442.6003,-229509.5349,-237066.2535,-234786.7734,-229429.8441,-229566.3205,68411125.9280,68411488.4885,68409137.3733,68417087.5516,-230359.7408,68425265.9418,792.8267,0.0000,-5251.1137,-4279.0500,-3148.8616,-4865.1044,-4205.2549,2911.6900,5805.6480,-1468.8512,-4251.2716,3688.6881,0.0000,5585.0214,-2740.5105,-3264.3634,326.1733,4496.7563,-2527.3766,2715.1818,324098.8391,303984.4286,324603.4514,324340.9826,320152.4301,321052.7777,314732.2094,318427.4498,-73774427.2218,-73810812.7942,-73785860.1314,-73779616.6311,318557.4918,-73782629.2567,4468.2592,0.0000,2154.5890,4587.8298,-5452.8706,4674.7126,-3106.2820,-5207.3378,3388.2496,-5466.6563,-4756.6659,-4282.3485,0.0000,4076.2414,-4047.7627,4845.4468,2572.6069,-5095.3004,4702.0589,-1055.0288,-57353.1787,-61691.1305,-60748.9725,-56619.8700,-55472.2580,-65691.1371,-68396.4479,-62323.7200,30984491.5155,31016486.7475,31011950.3458,31007132.3039,-60695.4494,30996745.7884,
3600.000,2084.5583,0.0000,-2000.7907,4345.9114,-24.4421,4235.7741,5998.1827,-1758.9123,-769.6058,739.3073,2084.0539,-126.2536,0.0000,-3354.9899,3919.6448,673.4394,-6304.4190,-4474.4388,5830.1694,-5027.3246,-293517.6748,-311836.4753,-302891.7496,-301895.4712,-310127.2417,-307647.8648,-302704.2462,-303797.7046,85242343.4576,85249014.3866,85239310.7767,85246423.4441,-303195.2299,85256084.1351,-3739.9134,0.0000,5975.3140,132.3983,6137.5560,1339.2809,3201.2795,-5178.3995,-6877.9653,-1144.1896,3986.5556,-4189.5872,0.0000,-4012.7536,-1415.9384,4454.8293,1535.6552,-1431.1521,-1194.8428,-80.6856,260453.4792,234006.3461,256443.1231,255118.6844,251818.3628,252345.9224,247379.4370,250268.1961,-53478493.4837,-53521107.9698,-53498099.5585,-53491413.5299,250410.7596,-53487523.9653,-5439.1264,0.0000,2580.7726,-5369.2397,3083.3561,-5235.1129,-1230.1591,3857.4810,27.3319,6787.8033,5176.1924,5511.2457,0.0000,-4556.8712,5490.7229,-5227.8981,2111.2428,5060.3562,-3551.7782,4706.6741,-55530.9018,-60284.3885,-57989.7456,-57237.9386,-52868.8983,-61049.7185,-68023.7661,-57448.5874,30996454.8416,31026529.3842,31021297.1993,31016524.9262,-59106.6916,31008580.2181,
7200.000,783.4313,0.0000,-1581.9771,-5346.5133,-1803.8334,-6295.7738,-4975.1552,4456.4629,2901.4066,-5605.5350,-5607.5011,3965.7707,0.0000,6236.8983,-2832.9113,-4110.7390,2888.5671,6583.8767,-5718.3635,2501.3579,-350202.7991,-361283.5339,-354785.1184,-354615.0295,-363526.9478,-358688.6456,-356849.1721,-356382.2231,96226050.0398,96241471.7480,96225918.1762,96233908.8770,-356548.8363,96239919.0906,6175.6742,0.0000,-3886.0781,3425.9716,-6487.7298,1686.4568,-462.3456,4885.4574,5257.8924,549.8000,-3396.9818,4548.5319,0.0000,2008.4117,5288.2679,-5078.0559,-3278.4966,-1010.4534,3904.7428,-3636.7893,179807.5959,148921.4699,171638.0782,168047.2478,167240.0773,167129.2832,163558.4629,166424.2176,-29503183.0035,-29550065.3795,-29530786.6630,-29522600.2229,166100.3955,-29513149.8821,3012.3909,0.0000,-5373.0253,2706.1750,1366.5307,2144.0879,4762.5793,1064.9853,-3447.2449,-4040.0491,-2044.0522,-3415.1619,0.0000,2256.7500,-3415.2181,2203.1921,-5250.9340,-1852.1319,202.6051,-5299.0441,-53780.4572,-58861.0293,-55524.9676,-58511.4990,-50735.3669,-55813.2315,-66967.0480,-59300.4121,31009205.7432,31036402.1481,31030103.4919,31023988.5805,-57513.0438,31020416.9578,
10800.000,-2483.4862,0.0000,5375.4259,4578.5025,3197.0637,5538.2940,2852.1247,-4346.9131,-4761.3337,6559.6584,6152.1076,-5692.3997,0.0000,-6788.1484,1475.0043,5223.7938,1632.5312,-5924.8600,3451.8208,-226.9738,-385213.1682,-387944.1068,-383749.5384,-386424.6817,-393859.4611,-383813.8668,-388202.7556,-386815.4306,100606133.3962,100631991.3430,100612304.9190,100621404.6753,-386971.6642,100620642.9397,-6331.2138,0.0000,1009.6745,-4892.4588,3601.0176,-3248.9137,-3413.3189,-921.7892,-1727.6377,1912.8206,1711.4322,-3877.4861,0.0000,151.8604,-6683.6996,3911.9390,4884.9050,2487.1225,-5045.0322,6452.3955,87024.7747,54135.6300,75732.1875,67942.0307,71933.9854,71319.1648,68532.0988,70761.7298,-3493324.2601,-3541651.3201,-3527055.9746,-3513520.4910,71048.7257,-3504059.7091,1266.9825,0.0000,4053.8567,1663.9401,-4907.3711,2412.4973,-5289.6672,-5017.6272,4706.4287,-1174.5872,-2526.4746,-775.5947,0.0000,1391.9593,-886.4854,2228.1246,4472.2411,-2549.4905,3248.7855,2404.9176,-52088.5630,-57417.8102,-53588.2279,-56884.0205,-49057.4735,-54995.0532,-65263.2761,-54182.2277,31022684.9967,31046140.6852,31038544.9456,31030360.6238,-55914.6348,31032255.9869,
14400.000,3482.2997,0.0000,-6701.4311,-1410.8408,-4539.2052,-1815.6434,-913.7267,2844.8969,5892.7603,-3024.4457,-4060.3713,5106.7967,0.0000,4837.3629,799.0640,-4467.8745,-4503.2487,2535.0649,453.4232,-1408.1665,-395972.7869,-390149.0500,-387956.9198,-393471.3845,-399171.7465,-387689.1167,-394538.6670,-393032.7204,98079649.9963,98116585.9240,98094340.1704,98099849.1662,-392490.9134,98095162.1257,3596.3339,0.0000,1178.3555,4561.2436,817.6894,3948.2811,6394.8436,-4292.8594,-1963.1457,-2618.2169,1476.1236,1376.2370,0.0000,-2633.3063,5081.1555,-484.2320,-5115.2629,-3601.8695,5050.2279,-6429.5438,-12122.4767,-44344.9940,-25019.9262,-33914.8000,-27917.0232,-28089.3291,-31586.7263,-28563.3921,22766033.4306,22719633.1462,22729302.5333,22753350.8740,-28626.2002,22754929.1635,-4780.5703,0.0000,330.3085,-4993.4989,5085.6139,-5316.4295,2441.6974,4273.0115,-3059.7934,5651.3534,5325.5462,4471.9476,0.0000,-4217.4870,4591.2367,-5237.1149,-396.4139,5317.5096,-4726.1015,2041.4994,-50446.1636,-55950.3998,-52270.3275,-52723.2119,-47845.9743,-57159.0642,-62912.9129,-56057.2079,31036786.3573,31055774.4206,31046770.5442,31038264.3156,-54311.5938,31044097.2851,
18000.000,-4382.4021,0.0000,4273.0228,-2934.7095,5141.7283,-2783.8256,-677.9803,-877.8147,-5319.5885,-1586.7957,1217.7814,-3431.4679,0.0000,-1535.2126,-3905.9771,3122.9918,4862.2111,1720.8806,-4302.9395,3039.8939,-381449.0656,-367791.1581,-367215.7260,-374261.4402,-379081.1061,-368139.6181,-375253.2557,-372038.7582,88817752.2945,88865210.8963,88841596.1728,88833789.5553,-372738.0599,88834383.9575,671.7643,0.0000,-2841.5295,-3578.3529,-4183.8393,-4348.1347,-6594.5465,6626.9650,4399.4325,-302.6174,-5071.2703,2518.5598,0.0000,5065.9227,-1927.3543,-3792.5320,2649.9681,4720.8862,-4312.5796,3397.5549,-111325.8967,-140299.1568,-124102.4969,-132734.3453,-125837.8690,-125576.4697,-130221.4504,-126230.1399,47472156.6194,47431196.9696,47436173.1471,47468084.8600,-126504.7985,47461210.5781,5303.2166,0.0000,-4487.6193,5116.7483,-1819.5385,4513.2823,1937.1766,430.9776,-507.7954,-6741.6239,-4469.9990,-5473.9952,0.0000,4466.9168,-5356.8217,4832.6117,-3999.7570,-4750.5179,3288.1318,-5174.2527,-48846.8115,-54452.7091,-51494.9794,-49010.2244,-47139.9155,-58428.1081,-59880.3255,-51112.5893,31051363.4380,31065328.0523,31054910.8779,31052534.7903,-52704.0507,31055940.8320,
21600.000,4905.5029,0.0000,347.2364,6102.3981,-3654.0103,5570.0087,2572.7299,-1881.3820,2607.2337,3345.1922,982.6877,1817.7763,0.0000,-1564.1741,6305.9831,-1829.7817,-3719.5461,-4597.5518,6344.4156,-4775.1870,-342255.1612,-322329.8717,-322932.0251,-330539.9084,-334760.7149,-325152.4710,-331449.5879,-329720.2900,73454059.3729,73510296.6451,73486021.7821,73464030.6893,-328973.5750,73471651.4978,-4164.1583,0.0000,4371.4124,2549.4747,5153.4160,3963.4387,3882.5648,-4330.7085,-5201.4100,4772.7875,6774.9818,-5901.8683,0.0000,-6445.6245,-887.9933,6521.3131,1865.2921,-5024.7223,2776.5352,771.8755,-204156.1130,-227688.1314,-215172.6309,-222993.1676,-215454.4050,-215333.6678,-220717.8651,-216995.8360,68928401.1092,68896098.6878,68896798.6068,68923394.5391,-216279.8614,68918129.6337,-2548.9108,0.0000,5204.6455,-1993.6425,-2710.4537,-599.8514,-5106.0433,-4756.5337,3738.3452,3746.1890,504.5625,3138.1325,0.0000,-2025.4180,2650.3977,-1315.7874,5402.4215,1165.9842,147.8865,4901.3067,-47285.7769,-52915.6399,-51039.2878,-45868.6158,-47017.3219,-58793.4948,-56087.1295,-52601.3142,31066239.1888,31074822.6599,31063085.2621,31070850.0546,-51092.1360,31067786.6072,
25200.000,-3903.3820,0.0000,-4103.3385,-6398.1050,-108.7027,-5480.3755,-4741.8691,4825.2075,1463.1975,-1565.7700,-2512.5707,-382.8838,0.0000,3657.7080,-6172.3944,69.3724,2300.9945,5161.6139,-5972.2391,5587.0274,-280642.5158,-256700.7793,-257973.0884,-265384.5804,-268719.7152,-260977.3658,-265922.2091,-263456.8298,53041270.3758,53103525.7763,53078863.4469,53051004.1027,-264006.5146,53059429.3335,5419.2624,0.0000,-5067.1107,-943.9178,-4276.0514,-1736.8832,-3.9457,-279.1061,4904.7533,-6583.6561,-5141.3813,6834.9154,0.0000,5651.1221,2540.7025,-6174.3120,-5778.9471,3357.9324,-111.0829,-3774.5683,-284492.9885,-301040.1440,-292442.6701,-299101.4877,-290883.8159,-291659.7100,-296624.2828,-291053.2906,85660719.3990,85639585.9407,85636324.5726,85649918.8459,-292163.4661,85651492.9338,-1813.6078,0.0000,-1981.2133,-2426.3138,5369.8074,-3754.5874,5015.6386,4627.3539,-4664.6247,1484.8879,3783.8882,1082.7356,0.0000,-1667.1239,1742.8785,-3078.8785,-2818.2304,3131.8311,-3515.2993,-1441.2566,-45759.5225,-51324.4828,-50593.5188,-43238.0677,-47608.1250,-58393.2258,-51418.1132,-48224.2155,31081217.3616,31084276.5384,31071407.8565,31087765.7567,-49475.9809,31079634.5902,
28800.000,823.3780,0.0000,5189.3420,4091.1745,4421.3558,3503.8620,6003.4056,-5641.8489,-5059.2607,-781.6391,4010.4888,-1560.1556,0.0000,-4746.6975,3089.1354,2581.4046,-533.3632,-4207.2988,3878.8113,-4069.1591,-200381.8797,-175143.1645,-176469.5271,-183124.0703,-183968.1117,-179470.7791,-183033.5413,-182232.4948,28979001.9462,29043809.0498,29018767.6975,28993682.1549,-182014.1074,28997202.4825,-4675.6715,0.0000,3437.6048,-1746.6140,2904.5915,-2163.0184,-2934.2872,3606.7911,-3884.1776,3645.5040,1025.3465,-4883.0244,0.0000,-2594.6739,-3573.5079,3328.9500,6542.7493,380.5137,-3270.3547,4696.5299,-346943.3480,-355795.6905,-351002.1096,-356243.6277,-347335.1076,-349550.2947,-351403.6989,-350698.7909,96518902.3782,96510430.7690,96503196.0519,96503853.8129,-349260.5973,96510848.5137,5024.6821,0.0000,-2777.3698,5273.2990,-4391.5620,5480.8950,-1759.2884,-209.1473,2677.6826,-5845.8413,-5481.7843,-4668.5540,0.0000,4325.8061,-5035.2779,5453.1358,-1884.7401,-5474.1674,4706.2713,-2987.3721,-44265.3754,-49652.6749,-49844.1437,-41078.1176,-48854.8912,-57309.7182,-46155.1692,-48960.3974,31096095.2179,31093705.8381,31079993.1832,31102022.7933,-47855.7169,31091484.7606,
