sl_20_86400_20271021 Coordinates.csv
2027/10/21 07:47:00.0000 UTC

Generated: Tue Oct  8 17:20:00 2024,
Start: 2027/10/21 07:47:00.00, Stop: 2027/10/22 07:47:00.00,
TIME_UNITS,STARLINK-6120 - X-Coordinate,STARLINK-2575 - X-Coordinate,STARLINK-5638 - X-Coordinate,STARLINK-30210 - X-Coordinate,STARLINK-30590 - X-Coordinate,STARLINK-4680 - X-Coordinate,STARLINK-3762 - X-Coordinate,STARLINK-3278 - X-Coordinate,STARLINK-2026 - X-Coordinate,STARLINK-1755 - X-Coordinate,STARLINK-2377 - X-Coordinate,STARLINK-30958 - X-Coordinate,STARLINK-31196 - X-Coordinate,STARLINK-4075 - X-Coordinate,STARLINK-30185 - X-Coordinate,STARLINK-30342 - X-Coordinate,STARLINK-11089 [DTC] - X-Coordinate,STARLINK-6362 - X-Coordinate,STARLINK-3612 - X-Coordinate,STARLINK-5864 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6120 - Y-Coordinate,STARLINK-2575 - Y-Coordinate,STARLINK-5638 - Y-Coordinate,STARLINK-30210 - Y-Coordinate,STARLINK-30590 - Y-Coordinate,STARLINK-4680 - Y-Coordinate,STARLINK-3762 - Y-Coordinate,STARLINK-3278 - Y-Coordinate,STARLINK-2026 - Y-Coordinate,STARLINK-1755 - Y-Coordinate,STARLINK-2377 - Y-Coordinate,STARLINK-30958 - Y-Coordinate,STARLINK-31196 - Y-Coordinate,STARLINK-4075 - Y-Coordinate,STARLINK-30185 - Y-Coordinate,STARLINK-30342 - Y-Coordinate,STARLINK-11089 [DTC] - Y-Coordinate,STARLINK-6362 - Y-Coordinate,STARLINK-3612 - Y-Coordinate,STARLINK-5864 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6120 - Z-Coordinate,STARLINK-2575 - Z-Coordinate,STARLINK-5638 - Z-Coordinate,STARLINK-30210 - Z-Coordinate,STARLINK-30590 - Z-Coordinate,STARLINK-4680 - Z-Coordinate,STARLINK-3762 - Z-Coordinate,STARLINK-3278 - Z-Coordinate,STARLINK-2026 - Z-Coordinate,STARLINK-1755 - Z-Coordinate,STARLINK-2377 - Z-Coordinate,STARLINK-30958 - Z-Coordinate,STARLINK-31196 - Z-Coordinate,STARLINK-4075 - Z-Coordinate,STARLINK-30185 - Z-Coordinate,STARLINK-30342 - Z-Coordinate,STARLINK-11089 [DTC] - Z-Coordinate,STARLINK-6362 - Z-Coordinate,STARLINK-3612 - Z-Coordinate,STARLINK-5864 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6068.0492,-401.0411,-1905.3886,-2891.8202,1430.9694,0.0000,4026.0363,1012.6318,0.0000,3999.8763,3541.9390,-3709.1092,6673.0015,-221.5746,233.5451,6754.2688,-3989.5592,-5254.2899,744.0784,1513.1815,-237032.4304,-242031.4130,-230799.1163,-231401.1903,-228652.7971,-229838.9061,-237922.6080,-233446.8093,27983517.0181,27965209.5807,27983968.0052,27984667.5643,-234758.3383,27977349.9840,618.0256,-6442.5252,5791.3933,5945.1097,5384.3602,0.0000,-4519.3600,6188.9661,0.0000,1670.3609,4379.2303,4204.9686,92.5241,-4758.6037,-5287.4433,-25.5131,-595.6614,-3115.7762,4495.5201,-6563.2201,-255522.3506,-235915.5448,-246185.6473,-246330.4637,-238146.6187,-239933.9479,-239430.1590,-240704.0299,296476695.8850,296537446.7980,296521069.8118,296491369.5770,-241523.3416,296496015.7793,3297.6358,1533.4942,-3320.0679,-2056.5088,4139.0199,0.0000,-3329.1644,-2924.5259,0.0000,-5395.2259,-3932.4667,4068.8766,-1524.9090,4992.3804,4454.5758,-1543.0390,5375.1520,-3288.3298,5175.9086,1674.6122,164135.4319,162183.0075,161133.5243,163937.8806,166028.3638,156213.3305,152566.5424,159730.8987,-118354733.7114,-118343478.1862,-118350292.3174,-118341878.0798,160570.9017,-118352265.9300,
3600.000,-6692.9542,3088.9008,-447.2219,730.2964,-4443.2356,0.0000,-3037.0261,-3004.8703,0.0000,-6174.5296,-4149.8164,1856.2205,-4453.1511,3973.6042,3722.3793,-4784.1732,4447.2849,5012.5742,-4421.8757,-1235.8014,-164783.8761,-177023.2342,-164721.3969,-165347.1410,-161203.1272,-163139.8889,-169674.9636,-168537.8701,-49757039.1400,-49787251.2370,-49765794.2000,-49757181.0264,-167375.2179,-49764364.8096,1823.8178,2771.3776,-2813.9356,-6679.4743,-5179.3948,0.0000,6120.6934,-3063.8553,0.0000,1305.4935,-11.6305,-6585.2822,2815.8385,2351.9678,4054.9653,2584.1400,-4142.1935,-745.7623,-1951.3305,5984.6408,-307569.6239,-286675.4941,-297776.4552,-296626.0879,-288803.8707,-290688.6257,-290517.5362,-293759.2779,293612074.2412,293669410.4326,293657185.1773,293633880.5429,-292482.1000,293631134.3556,97.9491,-5183.8171,6314.9673,-1670.5185,-1305.3870,0.0000,-991.8439,5416.5898,0.0000,2823.6022,5461.5799,-1128.7201,4358.8594,-5142.1033,-4206.6918,4279.6757,-2894.6407,4722.7046,-4934.1596,3278.3395,163709.1070,161591.1948,161647.0261,161082.2864,166301.3778,158892.3508,150963.7712,160619.3968,-118389677.0586,-118383913.0133,-118392040.7984,-118380039.0408,160017.2669,-118390330.6469,
7200.000,4798.3110,-5108.6270,4134.1584,2094.0160,5647.7299,0.0000,425.7143,5165.3197,0.0000,6074.2837,4430.4047,438.7150,755.9251,-6602.1837,-6385.4360,1519.6912,-2845.0051,-4094.9526,6733.1349,-743.1921,-81708.9645,-101458.4249,-88335.6817,-90244.0837,-83335.8789,-88103.5256,-90862.5862,-88610.6365,-124104849.8731,-124145697.3072,-124122290.7775,-124110896.4970,-89391.4253,-124113093.0780,-3635.0892,2359.3372,-46.6205,4960.1895,3317.6596,0.0000,-5077.5122,-683.8089,0.0000,-2953.5906,-4122.1996,6448.4486,-5457.5024,-287.8168,-2311.7731,-5131.0702,5698.3193,4511.3480,-133.5376,-2783.0202,-339415.1581,-320230.0757,-330712.5172,-327005.7160,-321155.0556,-325002.5921,-322817.4557,-323538.5212,270711789.8495,270762203.6998,270753915.2090,270738254.5769,-325099.4680,270730106.4435,-3457.0991,3509.1164,-5573.8657,4339.8779,-2323.1782,0.0000,4650.0724,-4557.0560,0.0000,1488.1950,-3251.4722,-2517.6080,-4065.8368,1997.4916,1345.0338,-4403.2927,-2173.6317,-3316.7505,1503.7469,-6319.3645,163206.2200,160912.6886,161707.5878,157949.5786,166096.8727,161669.2639,150009.7319,159201.8224,-118424633.6279,-118424357.8621,-118433707.1902,-118420852.2667,159447.4635,-118428366.2580,
10800.000,-1125.1371,4173.0563,-6668.4706,-5018.6832,-5232.0060,0.0000,3361.2365,-6064.0748,0.0000,-3144.9334,-3442.2328,-3147.9181,2511.6076,6348.3128,6518.0371,1550.5683,-1192.1005,2453.6101,-6047.7424,4071.7748,6614.7889,-19902.3596,-6357.6441,-8433.3444,130.7003,-8191.5228,-6611.6695,-6046.7288,-189986792.1580,-190035920.4683,-190010861.0016,-190000160.0579,-5696.3500,-189995504.4066,4948.1167,-4856.0604,1217.9998,-1996.2160,97.5765,0.0000,2785.8752,3218.6569,0.0000,3747.7715,5815.5893,-4092.5895,6311.9935,-1280.9882,43.5540,6503.2963,-3967.0769,-6485.0130,1677.9283,-501.5661,-349046.6884,-334392.1014,-342966.0514,-334652.9762,-333180.7604,-340192.8652,-334328.4453,-339093.5460,229337636.2532,229378202.7485,229373650.3185,229362494.5671,-337302.8773,229354907.9989,4721.2054,1737.3118,1478.6975,-4334.6691,4557.4812,0.0000,-5353.9819,836.1187,0.0000,-4894.4138,-1221.1630,4617.2582,824.6206,2395.2528,2326.5856,1802.1257,5292.3627,-116.2800,2867.1259,5589.6770,162635.5036,160175.6097,161146.3193,158603.0813,165428.1267,158906.2132,149675.6027,158867.3785,-118459802.8024,-118464796.6884,-118475176.9680,-118464409.4913,158861.5376,-118466372.7411,
14400.000,-2624.2038,427.7604,5874.6724,6669.7252,3995.7209,0.0000,-6351.1843,4429.7653,0.0000,-1198.3699,463.4437,5640.2551,-4377.6690,-3262.9708,-4365.4543,-3592.9676,5470.3453,118.8127,2651.3191,-6471.5656,94326.3328,62688.0351,76167.5093,75522.0000,83987.1770,75440.6493,77675.3088,78313.1602,-242907157.5412,-242961406.4249,-242934658.6718,-242921704.6132,78455.2145,-242915800.3954,-5589.5847,4075.2564,-1237.2482,-874.6195,-3917.5610,0.0000,-680.3366,-4094.2702,0.0000,-4356.9548,-4852.0967,898.6249,-4320.2475,3025.9543,2820.7802,-5609.3341,1163.8446,6003.7213,-3358.4816,1947.0098,-335957.6862,-328196.4151,-333741.4215,-323498.3230,-324145.0501,-332146.0551,-324452.8009,-326577.2372,172311972.1224,172340678.3372,172339940.6723,172328210.5326,-328299.4314,172328158.8317,-3169.9496,-5225.1710,3464.1109,1623.7749,-4123.1189,0.0000,2610.0115,3380.0769,0.0000,5228.3973,4828.1375,-3937.0723,2993.3600,-5286.8384,-4581.1985,1886.3699,-3747.2103,3457.3900,-5421.4484,-1578.9883,162003.2701,159394.9389,159956.6602,160489.2088,164283.7054,154689.9842,149968.1392,158638.9024,-118495368.3100,-118505215.0725,-118516331.6528,-118508789.7891,158259.5371,-118504350.0739,
18000.000,4987.5683,-5413.5811,-2052.0166,-5885.1906,-2313.9502,0.0000,6604.3382,-499.2225,0.0000,4621.3746,3665.4071,-6622.2088,5008.3013,-746.9365,1245.7203,4745.6634,-6524.6090,-3375.0813,1393.3861,5745.9490,175674.1047,141262.8133,154125.5074,154647.1835,162966.0978,155219.5199,156696.2257,158364.9029,-279254419.7502,-279310194.1545,-279281630.9995,-279259782.8174,157772.4274,-279262505.8418,4814.5705,-1866.4215,1841.9185,2988.4611,6430.9544,0.0000,-926.6049,4154.1185,0.0000,4597.2198,2726.3062,1866.3819,91.7523,-4907.9973,-5511.6654,2415.9435,1186.1970,-3798.3488,5057.9404,-1901.0191,-301154.9291,-301945.1703,-303526.6478,-292905.4776,-294669.1724,-302418.1778,-294014.5668,-300240.1606,103525228.8040,103541172.0615,103544787.3765,103535307.7868,-298627.6173,103540561.7191,-305.0156,3345.2553,-6370.5748,2074.5818,1236.4819,0.0000,1781.6204,-5514.0010,0.0000,-2321.8438,-5131.5423,852.7640,-4668.9896,4791.9858,3992.4185,-4435.3867,-1139.8973,-4724.2762,4475.9599,-3406.1856,161314.2291,158579.7283,158296.1513,161771.1126,162624.3484,151422.3513,150930.7948,157050.5091,-118531486.3235,-118545599.8245,-118557043.2969,-118547841.5247,157641.5114,-118542298.2340,
21600.000,-5517.4377,6318.8695,-2253.4102,2731.3027,124.5139,0.0000,-3865.0312,-3723.8454,0.0000,-5663.8526,-6558.0390,5188.7854,-4559.6326,3561.8642,1505.1625,-5197.5819,3237.8001,6090.5971,-3998.9271,-1928.2891,245395.1248,210989.8111,222614.3106,223857.8263,232053.2710,225180.9522,225649.7149,226375.2314,-296547707.1205,-296601380.2073,-296571101.9799,-296544803.4988,227260.5744,-296554927.7807,-2201.3707,-566.4275,-3635.4933,-4495.4551,-6529.7154,0.0000,2682.7966,-4039.4529,0.0000,-3399.6302,-751.3214,-3695.6036,4149.4812,5783.0147,6691.3268,1700.9071,-3123.9849,1103.0803,-5587.4158,2040.5332,-247066.4147,-257188.3799,-254103.5162,-244034.4060,-246747.8939,-253298.6033,-245213.0384,-248915.9194,27670533.4349,27673968.2234,27682981.7134,27683886.4104,-250125.5745,27685454.3849,3574.2943,1939.1698,5454.3096,-4505.1785,2356.0546,0.0000,-5057.5449,4193.8120,0.0000,-2057.4014,1882.7873,2727.0942,2963.3497,-1267.7044,-957.4407,4240.2308,4993.4733,3116.8621,-679.4763,6336.7663,160571.9743,157735.9690,156444.2268,162465.2229,160373.6866,149002.8450,152650.6876,157965.3955,-118568275.3449,-118585938.6623,-118597168.6570,-118581382.7232,157007.5121,-118580217.1993,
25200.000,4809.0009,-2384.5095,4403.2731,1323.9733,2685.3254,0.0000,-134.7033,6018.4245,0.0000,4624.6912,6259.2776,-1684.3626,2771.2125,-4474.9115,-3468.0619,4721.2296,1821.4849,-6811.3412,4626.1236,-2535.9356,299054.8899,267555.2199,277251.6959,278830.6861,286670.2700,280580.3607,280723.5440,283647.8447,-293606157.2327,-293654444.9061,-293623120.6616,-293602137.9503,282535.2392,-293612463.2887,-1679.3343,3280.0350,5195.3409,5390.9444,4486.6688,0.0000,-4669.6023,3402.3878,0.0000,269.4035,-981.9566,4842.6885,-6197.0696,-4260.8327,-5359.2064,-4855.7009,4714.7109,1244.5029,3669.1174,-3325.6046,-177357.0549,-196632.4007,-188492.7350,-179661.2888,-183772.2980,-188125.7411,-181590.5612,-186694.8724,-50076460.4213,-50084220.1708,-50068375.7581,-50056330.3792,-185817.7531,-50061415.0518,-4717.0092,-5258.1221,-1316.6774,4125.0985,-4580.6165,0.0000,5073.5613,-282.8575,0.0000,5128.4657,2640.7458,-4673.5282,862.9793,-3090.6672,-2690.2951,-1456.6305,-4447.1996,358.0867,-3580.2996,-5542.3419,159779.2903,156867.9226,154727.3408,162641.7424,157421.7202,147303.9767,155233.6064,155237.1120,-118605808.5293,-118626219.9422,-118636543.2339,-118614010.2710,156357.5922,-118618106.9473,
28800.000,-3462.0407,-2653.3650,-3965.6967,-4425.8327,-5400.0468,0.0000,3190.5490,-5612.4921,0.0000,-2899.4457,-2989.2691,-2310.4887,543.5131,4203.3173,4756.0057,-2724.4876,-4962.8955,4939.9014,-4120.6357,4937.4247,333326.0057,307434.6656,314490.0202,316128.4548,322007.5651,317822.7274,319997.1825,319084.7284,-270629586.3047,-270669843.9171,-270639003.3782,-270630141.1772,320098.7376,-270635200.8670,5198.4174,-5182.8724,-4381.1458,-5185.3146,-1524.0381,0.0000,5835.3769,-1308.9030,0.0000,3778.1998,3074.9162,-5332.2178,5468.6268,428.3830,1882.6369,5962.0444,-4541.8213,-3239.9467,372.7474,4663.2943,-96665.9569,-123978.4800,-110805.0319,-103688.0922,-110572.2991,-111207.7977,-108440.5690,-109327.4966,-124410700.2246,-124427493.8181,-124403302.0301,-124385846.8521,-109726.9103,-124395040.3073,3012.4187,3175.1174,-3643.2873,-1203.9532,4085.1398,0.0000,-1863.4650,-3831.1361,0.0000,-5021.5122,-5367.1818,3772.4348,-4084.8421,5454.4645,4656.8874,-2245.3645,-59.6025,-3637.5603,5515.6848,1431.7218,158938.3546,155978.8142,153431.4925,162341.0594,154193.5529,146254.1278,157913.9862,157112.4769,-118644108.9462,-118666432.4260,-118674976.4194,-118647766.2683,155691.8067,-118655967.4558,
