sl_5_86400_20270810 Distances.csv
2027/08/10 07:47:00.0000 UTC

Generated: Tue Oct  8 17:06:41 2024,
Start: 2027/08/10 07:47:00.00, Stop: 2027/08/11 07:47:00.00,
TIME_UNITS,Distance STARLINK-31885 - STARLINK-4521,Distance STARLINK-31885 - STARLINK-11151 [DTC],Distance STARLINK-31885 - STARLINK-31354,Distance STARLINK-31885 - STARLINK-31910,Distance STARLINK-31885 - MoonARTEMIS1,Distance STARLINK-31885 - MoonARTEMIS2,Distance STARLINK-31885 - MoonIOAGEO,Distance STARLINK-31885 - MoonIOAGNO,Distance STARLINK-31885 - MoonIOAGNO 0001,Distance STARLINK-31885 - MoonIOAGSO,Distance STARLINK-31885 - MoonIOAGSO 0001,Distance STARLINK-31885 - MoonLRO,Distance STARLINK-31885 - MarsSat1,Distance STARLINK-31885 - MarsSat2,Distance STARLINK-31885 - MarsSat3,Distance STARLINK-31885 - MarsSat4,Distance STARLINK-4521 - STARLINK-11151 [DTC],Distance STARLINK-4521 - STARLINK-31354,Distance STARLINK-4521 - STARLINK-31910,Distance STARLINK-4521 - MoonARTEMIS1,Distance STARLINK-4521 - MoonARTEMIS2,Distance STARLINK-4521 - MoonIOAGEO,Distance STARLINK-4521 - MoonIOAGNO,Distance STARLINK-4521 - MoonIOAGNO 0001,Distance STARLINK-4521 - MoonIOAGSO,Distance STARLINK-4521 - MoonIOAGSO 0001,Distance STARLINK-4521 - MoonLRO,Distance STARLINK-4521 - MarsSat1,Distance STARLINK-4521 - MarsSat2,Distance STARLINK-4521 - MarsSat3,Distance STARLINK-4521 - MarsSat4,Distance STARLINK-11151 [DTC] - STARLINK-31354,Distance STARLINK-11151 [DTC] - STARLINK-31910,Distance STARLINK-11151 [DTC] - MoonARTEMIS1,Distance STARLINK-11151 [DTC] - MoonARTEMIS2,Distance STARLINK-11151 [DTC] - MoonIOAGEO,Distance STARLINK-11151 [DTC] - MoonIOAGNO,Distance STARLINK-11151 [DTC] - MoonIOAGNO 0001,Distance STARLINK-11151 [DTC] - MoonIOAGSO,Distance STARLINK-11151 [DTC] - MoonIOAGSO 0001,Distance STARLINK-11151 [DTC] - MoonLRO,Distance STARLINK-11151 [DTC] - MarsSat1,Distance STARLINK-11151 [DTC] - MarsSat2,Distance STARLINK-11151 [DTC] - MarsSat3,Distance STARLINK-11151 [DTC] - MarsSat4,Distance STARLINK-31354 - STARLINK-31910,Distance STARLINK-31354 - MoonARTEMIS1,Distance STARLINK-31354 - MoonARTEMIS2,Distance STARLINK-31354 - MoonIOAGEO,Distance STARLINK-31354 - MoonIOAGNO,Distance STARLINK-31354 - MoonIOAGNO 0001,Distance STARLINK-31354 - MoonIOAGSO,Distance STARLINK-31354 - MoonIOAGSO 0001,Distance STARLINK-31354 - MoonLRO,Distance STARLINK-31354 - MarsSat1,Distance STARLINK-31354 - MarsSat2,Distance STARLINK-31354 - MarsSat3,Distance STARLINK-31354 - MarsSat4,Distance STARLINK-31910 - MoonARTEMIS1,Distance STARLINK-31910 - MoonARTEMIS2,Distance STARLINK-31910 - MoonIOAGEO,Distance STARLINK-31910 - MoonIOAGNO,Distance STARLINK-31910 - MoonIOAGNO 0001,Distance STARLINK-31910 - MoonIOAGSO,Distance STARLINK-31910 - MoonIOAGSO 0001,Distance STARLINK-31910 - MoonLRO,Distance STARLINK-31910 - MarsSat1,Distance STARLINK-31910 - MarsSat2,Distance STARLINK-31910 - MarsSat3,Distance STARLINK-31910 - MarsSat4,Distance MoonARTEMIS1 - MoonARTEMIS2,Distance MoonARTEMIS1 - MoonIOAGEO,Distance MoonARTEMIS1 - MoonIOAGNO,Distance MoonARTEMIS1 - MoonIOAGNO 0001,Distance MoonARTEMIS1 - MoonIOAGSO,Distance MoonARTEMIS1 - MoonIOAGSO 0001,Distance MoonARTEMIS1 - MoonLRO,Distance MoonARTEMIS1 - MarsSat1,Distance MoonARTEMIS1 - MarsSat2,Distance MoonARTEMIS1 - MarsSat3,Distance MoonARTEMIS1 - MarsSat4,Distance MoonARTEMIS2 - MoonIOAGEO,Distance MoonARTEMIS2 - MoonIOAGNO,Distance MoonARTEMIS2 - MoonIOAGNO 0001,Distance MoonARTEMIS2 - MoonIOAGSO,Distance MoonARTEMIS2 - MoonIOAGSO 0001,Distance MoonARTEMIS2 - MoonLRO,Distance MoonARTEMIS2 - MarsSat1,Distance MoonARTEMIS2 - MarsSat2,Distance MoonARTEMIS2 - MarsSat3,Distance MoonARTEMIS2 - MarsSat4,Distance MoonIOAGEO - MoonIOAGNO,Distance MoonIOAGEO - MoonIOAGNO 0001,Distance MoonIOAGEO - MoonIOAGSO,Distance MoonIOAGEO - MoonIOAGSO 0001,Distance MoonIOAGEO - MoonLRO,Distance MoonIOAGEO - MarsSat1,Distance MoonIOAGEO - MarsSat2,Distance MoonIOAGEO - MarsSat3,Distance MoonIOAGEO - MarsSat4,Distance MoonIOAGNO - MoonIOAGNO 0001,Distance MoonIOAGNO - MoonIOAGSO,Distance MoonIOAGNO - MoonIOAGSO 0001,Distance MoonIOAGNO - MoonLRO,Distance MoonIOAGNO - MarsSat1,Distance MoonIOAGNO - MarsSat2,Distance MoonIOAGNO - MarsSat3,Distance MoonIOAGNO - MarsSat4,Distance MoonIOAGNO 0001 - MoonIOAGSO,Distance MoonIOAGNO 0001 - MoonIOAGSO 0001,Distance MoonIOAGNO 0001 - MoonLRO,Distance MoonIOAGNO 0001 - MarsSat1,Distance MoonIOAGNO 0001 - MarsSat2,Distance MoonIOAGNO 0001 - MarsSat3,Distance MoonIOAGNO 0001 - MarsSat4,Distance MoonIOAGSO - MoonIOAGSO 0001,Distance MoonIOAGSO - MoonLRO,Distance MoonIOAGSO - MarsSat1,Distance MoonIOAGSO - MarsSat2,Distance MoonIOAGSO - MarsSat3,Distance MoonIOAGSO - MarsSat4,Distance MoonIOAGSO 0001 - MoonLRO,Distance MoonIOAGSO 0001 - MarsSat1,Distance MoonIOAGSO 0001 - MarsSat2,Distance MoonIOAGSO 0001 - MarsSat3,Distance MoonIOAGSO 0001 - MarsSat4,Distance MoonLRO - MarsSat1,Distance MoonLRO - MarsSat2,Distance MoonLRO - MarsSat3,Distance MoonLRO - MarsSat4,Distance MarsSat1 - MarsSat2,Distance MarsSat1 - MarsSat3,Distance MarsSat1 - MarsSat4,Distance MarsSat2 - MarsSat3,Distance MarsSat2 - MarsSat4,Distance MarsSat3 - MarsSat4,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4931.6898,5325.5551,9812.2152,7861.4110,384544.5125,406651.5012,391613.3461,389808.2598,396527.8156,399043.6980,401017.0390,394815.4614,273882460.5905,273923212.3095,273897813.2512,273886190.4412,5176.0473,10615.3886,10778.9057,380326.9956,402529.8912,387418.2134,385632.3414,392381.3290,394835.7129,396805.4515,390639.5539,273880492.5833,273921244.7658,273895845.5906,273884222.7715,6524.7701,11333.3499,380132.6650,402097.6527,387166.1017,385343.4501,392056.2334,394607.5803,396545.7603,390326.3907,273877355.6776,273918107.3614,273892708.2865,273881085.6166,11615.9040,381093.6763,402768.7703,388057.0520,386215.0453,392959.7777,395508.0496,397317.7347,391115.6262,273873422.2373,273914173.8107,273888774.8315,273877151.7924,389788.2444,411808.1783,396837.5023,395048.2311,401844.1459,404254.8334,406110.0178,399984.9094,273883922.2464,273924674.2212,273899275.2325,273887651.6833,29403.9961,8432.7401,8800.3849,15998.0920,14902.1327,20113.7336,14707.8106,273615457.1075,273656224.0622,273630818.7234,273619209.0084,21125.9302,21059.3246,17423.2092,18166.2818,14876.5537,15022.8122,273586561.1929,273627327.7011,273601922.3745,273590313.2186,3387.2194,9419.8108,7677.6638,12917.7557,6914.1706,273607343.0533,273648109.9798,273622704.6113,273611095.0987,8824.2938,10417.3071,14944.3531,7209.8995,273607386.8991,273648153.4299,273622748.1464,273611138.7218,10202.1133,16266.8069,10146.3675,273603269.3365,273644035.5007,273618630.1695,273607021.5216,8824.2938,8449.9065,273602897.9479,273643665.3888,273618259.8635,273606650.4913,8818.9952,273596694.8227,273637462.6680,273612057.1565,273600447.1416,273600764.1109,273641530.9863,273616125.6577,273604515.9978,53412.5330,32870.9440,22289.6780,26367.6932,47137.1328,30472.5326,
3600.000,5511.0152,6648.9273,12524.9415,8255.0796,381171.7645,402405.0489,384513.6452,385555.0348,389727.6231,391579.9023,396342.6431,391031.0595,273904074.4146,273950560.1276,273925695.3436,273908393.3182,2432.1092,10250.3582,11503.3649,383064.0227,404399.7903,386425.9598,387470.2214,391749.4954,393499.0930,398169.8405,392961.6438,273905957.4609,273952443.7441,273927578.9128,273910276.5048,10263.7871,11022.3429,382111.3342,403559.9161,385512.4387,386561.2373,390841.1586,392573.7748,397252.5396,392054.9360,273906856.0086,273953342.4483,273928477.5509,273911175.2177,13199.0406,391295.5488,412875.8522,394758.9843,395814.2804,400002.6598,401791.1071,406561.1400,401299.5289,273915802.9352,273962288.9339,273937424.1842,273920121.7708,380411.6821,401936.9714,383879.3526,384934.3139,388954.6050,390888.2884,395812.7812,390396.4751,273908752.6595,273955238.0528,273930373.1839,273913071.7501,29123.2876,7815.7652,9017.8165,13386.6100,11481.1039,18772.2568,12771.4935,273648933.3946,273695427.9196,273670555.7086,273653270.4665,22107.4450,20803.2777,19821.4666,18683.2141,16675.6964,16434.9822,273620339.0302,273666833.0278,273641960.8291,273624676.0476,1320.0017,10477.0608,7550.0858,13744.5641,6698.2972,273641474.4683,273687968.8788,273663096.7330,273645811.3783,10148.4609,6921.1324,12819.3845,5607.8613,273640174.7523,273686669.1582,273661797.0083,273644511.6723,8099.2449,17564.4894,8295.7634,273639707.3872,273686200.9326,273661328.7658,273644044.3071,10148.4609,3397.2957,273638483.0061,273684977.5142,273660105.2020,273642820.3194,9756.4485,273632022.6645,273678518.0958,273653645.6681,273636360.2979,273636414.5512,273682908.9380,273658036.7003,273640751.6804,57005.3356,35565.9980,20800.3441,26142.1622,48230.0566,29735.5446,
7200.000,9562.4474,6747.2709,10536.2300,6946.7244,390900.0760,411655.5440,392044.2152,397113.1327,396043.8256,396772.8482,404446.8772,397365.6980,273948050.9940,273999040.1499,273974719.0835,273955128.1144,3407.5673,12851.3918,12235.7723,393224.5479,413802.6469,394341.6988,399447.3131,398155.3536,399012.0978,406899.4670,399670.8861,273948665.0910,273999653.1685,273975332.3268,273955741.5619,12737.8899,10784.7607,394003.4352,414654.6030,395135.7398,400228.6785,399011.3423,399825.7852,407637.9916,400462.6600,273949728.7356,274000717.1869,273976396.2953,273956805.3950,9974.2800,381480.5510,402251.9955,382664.0133,387750.8633,386540.0760,387352.2860,395130.3793,387990.8525,273942627.3858,273993616.0564,273969294.8436,273949704.5376,386842.4433,407343.7431,387846.1879,392915.3933,391939.8737,392606.2352,400283.5459,393163.9214,273941155.5005,273992144.6873,273967823.6382,273948232.6084,28227.8876,9849.7999,11662.1637,10655.2480,10043.7134,16672.3178,11968.4248,273682999.7390,273733990.0398,273709660.8691,273690087.8576,21975.5801,18263.8999,21826.5566,18469.6001,18082.1965,17464.0750,273655316.9577,273706306.6736,273681977.5307,273662404.8473,5323.5775,11404.0296,5854.2959,14295.4857,5342.2634,273675104.3909,273726094.6890,273701765.6812,273682192.2947,12095.3889,4820.5885,9237.5517,1280.5444,273671681.0160,273722671.5180,273698342.3774,273678769.1613,7316.7799,17876.1452,11297.0382,273676841.6471,273727830.9533,273703501.8951,273683929.2906,12095.3889,3984.2530,273673346.0033,273724336.0016,273700006.9032,273680433.9273,9857.9426,273668614.8825,273719605.9894,273695276.5632,273675703.6019,273671252.4591,273722242.8211,273697913.7025,273678340.5294,60069.0204,38603.0964,20798.9604,25936.8981,47411.3095,28086.2577,
10800.000,8639.0612,5055.1154,8903.6340,6640.4521,389900.4299,409192.2279,390039.3123,398128.3121,391027.7362,394209.1137,401244.9695,395179.8216,273980922.2208,274035041.5518,274011191.6639,273992009.2696,6125.9485,12461.6390,11868.1597,384125.0668,403531.0517,384271.7525,392384.4157,385381.6880,388439.4279,395375.4006,389438.3253,273977464.8931,274031584.8556,274007734.6974,273988552.4555,8820.0772,10569.6893,385478.4877,404691.3735,385549.7937,393661.4659,386610.8427,389721.7960,396779.8536,390723.0448,273976324.7124,274030444.1349,274006594.1713,273987411.8607,9314.5440,391659.4620,410602.0726,391536.0698,399704.7984,392764.6651,395714.3423,402864.2427,396795.2344,273975818.5625,274029938.2728,274006088.5442,273986905.6978,395576.6459,414900.0395,395701.4426,403809.0815,396767.2292,399871.0881,406864.2111,400864.4938,273984660.9873,274038780.7840,274014930.9516,273995748.2390,26631.3808,11916.3517,12026.9025,8132.3194,12311.3336,13793.3629,8862.0932,273717684.2710,273771798.5079,273747940.0837,273728774.5915,20802.0806,14776.9983,23439.4144,17229.1563,19141.0555,17964.2417,273691616.8429,273745730.4657,273721872.0963,273702706.8079,8943.8499,12250.7842,4194.2524,14402.4688,7494.5964,273708944.6118,273763059.0951,273739200.8909,273720034.9071,11195.4250,5235.8965,8947.1406,3422.8094,273705700.9524,273759815.0731,273735956.6681,273716791.1995,12392.7658,17282.6646,8437.5981,273714750.3408,273768863.7566,273745005.5230,273725840.1045,11195.4250,5181.2205,273706363.7438,273760478.1734,273736619.8703,273717454.0800,10032.5009,273706535.0916,273760649.9537,273736791.2495,273717625.9298,273708970.7642,273763084.8658,273739226.4958,273720060.9771,62496.7238,41515.1340,22952.3100,25815.3387,45127.4454,25615.3193,
14400.000,5700.1856,5813.6683,12132.2296,7631.7053,389806.7336,406974.2218,389470.3459,395427.5075,387137.8688,393500.9366,397799.5525,391258.1120,274008070.5175,274063881.6193,274040364.6012,274023620.2999,5666.3333,9667.8213,11724.7056,395322.6438,412508.2617,394984.4211,400959.3817,392675.2587,399002.3118,403294.9086,396768.8847,274011786.6391,274067598.0852,274044081.1423,274027336.6142,8397.6905,10230.8346,391702.6587,409053.8208,391457.1645,397415.3407,389114.1208,395433.7369,399650.0676,393195.5734,274011747.0345,274067558.5723,274044041.4122,274027297.1312,12836.8005,396865.7636,414438.2656,396819.4591,402644.6290,394272.0283,400784.2961,404878.1875,398487.6218,274019900.5194,274075711.8311,274052194.7152,274035450.4618,386560.8931,403904.8352,386412.1870,392217.7739,383852.7975,390452.1965,394646.9802,388140.1665,274010081.4460,274065891.8267,274042374.7483,274025630.7959,24144.3557,12350.0880,8949.9467,6664.8617,12009.7385,10122.1936,7925.2682,273752834.2154,273808631.4108,273785106.1180,273768377.7803,18827.5503,15707.4875,24641.3468,17350.4059,19900.2349,19143.2527,273729296.5152,273785093.0881,273761567.8818,273744839.6660,10348.6242,12899.7920,5595.6368,13880.5607,5168.2700,273743878.7597,273799676.4537,273776151.3727,273759422.5724,9390.4921,10078.0663,10707.1666,7555.9423,273744920.4811,273800717.2130,273777192.0197,273760463.7272,15038.7725,15823.2361,10607.3766,273753426.3231,273809223.0412,273785697.9958,273768969.5164,9390.4921,4503.1780,273742504.8182,273798302.6810,273774777.3881,273758048.7996,9230.3601,273745792.1612,273801589.7602,273778064.1855,273761336.0622,273746199.1777,273801996.7536,273778471.5206,273761742.9621,64208.0727,43935.0924,26240.4238,25856.6630,41796.9243,22400.2943,
18000.000,8886.7300,6747.6854,12413.6860,6885.4178,400124.1540,415390.4638,400139.4883,401844.5749,393695.2054,402866.8656,404211.7882,399349.2061,274056782.6732,274112850.3659,274089473.3019,274076320.0086,4752.9850,10622.2699,12599.8913,398850.1700,414026.0848,398899.2944,400440.6006,392335.1636,401746.2224,403034.2001,398057.7181,274056297.2787,274112364.0238,274088987.2284,274075834.0082,12848.0396,9919.8118,402175.3276,417314.2995,402164.0262,403798.4362,395688.5645,404991.9370,406338.5158,401372.3830,274056929.4475,274112996.7270,274089619.9436,274076466.5247,12085.6158,389444.0480,404548.4926,389395.6845,391074.3899,382967.1505,392226.4474,393606.6119,388630.8379,274047244.2785,274103311.0243,274079934.0016,274066781.0001,398676.2566,413759.6686,398528.4460,400404.3371,392275.4912,401283.1851,402768.9584,397855.6288,274050948.7873,274107016.8778,274083639.8385,274070486.3822,20372.8482,9831.1114,6316.3475,7556.6759,9763.0861,6297.0896,3313.1394,273787927.0427,273843972.9927,273820588.5297,273807449.9873,16515.5725,17830.9207,25378.2971,18042.1749,20413.8463,19010.4071,273768342.3213,273824387.6016,273801003.2487,273787864.8349,11263.3364,13112.1064,7064.3120,12594.0502,7026.3262,273780741.7371,273836788.2595,273813403.9325,273800265.0582,8563.7587,13841.3092,11135.0052,5917.5349,273786031.9076,273842077.2387,273818692.9705,273805554.4572,15696.7562,13516.2226,7353.0712,273792743.3835,273848789.2776,273825405.0576,273812266.3004,8563.7587,9101.0912,273781193.0135,273837239.7870,273813855.1587,273800716.4871,8685.1589,273786311.1491,273842357.2453,273818972.5235,273805834.1795,273786192.4418,273842238.4879,273818854.1257,273805715.4524,65148.3257,45602.0020,29004.2666,26149.3936,38373.6286,18942.0772,
21600.000,10887.4858,5166.7535,9466.4885,5600.9233,394815.4629,410455.5965,397603.0746,394912.2037,388138.3306,399053.7574,397517.5143,393743.3127,274089284.7502,274144255.5807,274120777.8692,274110595.4464,6990.2679,12883.7422,12895.4270,390268.2910,406031.9250,393050.3082,390584.8919,383668.8617,394338.1012,392953.5784,389159.4161,274085210.9002,274140182.3540,274116704.1794,274106521.7779,11433.4873,9687.7897,390627.5365,406291.8513,393408.5693,390799.8273,383983.6529,394820.2661,393341.3189,389548.5313,274085606.3539,274140577.2146,274117099.3364,274106917.0000,8560.6395,401058.9512,416672.1597,403811.2402,401324.5143,394485.0983,405232.8624,403850.5789,399993.1829,274089244.0109,274144216.0104,274120738.2994,274110555.4024,399599.9558,415300.7861,402403.0747,399695.4290,392900.1244,403802.5836,402248.0940,398509.7924,274094234.2961,274149205.4634,274125727.7216,274115545.1802,17903.0343,3796.0235,9927.9145,8918.8685,8109.4766,8399.6819,2688.5239,273823876.2085,273878819.8360,273855335.7474,273845168.1285,14614.9272,19954.7926,25516.7571,18757.4074,20750.6643,20126.0179,273808667.5566,273863609.9696,273840125.9796,273829958.7949,11891.0691,12595.2823,7954.0514,10542.1714,6103.9633,273820096.5990,273875040.1840,273851556.0941,273841388.4933,8824.4871,16267.2666,10201.5885,10589.5800,273828269.1136,273883211.6640,273859727.8220,273849560.4940,14943.9137,10416.3778,7797.3289,273832401.3745,273887344.9270,273863860.9614,273853693.3002,8824.4871,7442.6743,273821699.5143,273876643.4129,273853158.9570,273842991.4456,7075.2019,273827891.9770,273882835.0847,273859350.7694,273849183.4955,273825912.8785,273880856.6217,273857372.4533,273847204.8348,65287.8994,46351.1495,29318.9351,26782.5511,37498.4609,17487.6471,
25200.000,8532.4464,4898.5986,10910.9704,6576.5259,389812.5978,410634.0602,399112.0603,393360.7688,388879.2015,399475.0745,395085.1458,393361.2669,274122944.1373,274175621.8804,274151757.3537,274140101.7011,8218.2354,11385.2666,12349.0910,397481.0778,418253.4667,406760.1775,400911.8059,396519.8767,407182.0293,402707.5956,400988.4536,274129024.3114,274181702.3575,274157838.0752,274146182.2000,7700.6877,9353.5578,392419.6308,413319.5344,401716.8779,395962.2378,391446.9769,402008.1069,397633.5608,395954.7258,274127016.9907,274179694.9183,274155830.2529,274144174.5398,10862.6485,392439.4001,413375.5452,401695.5163,395770.6771,391356.7632,401982.2008,397481.6667,395879.7462,274132563.6007,274185240.8119,274161376.1756,274149720.8305,385307.2071,406104.0370,394578.0477,388700.2090,384317.8403,394988.5660,390491.5933,388793.9200,274122522.0749,274175198.9224,274151334.4850,274139679.2787,22373.0887,9578.0171,13286.9915,5722.2507,12100.3564,10213.6506,6225.2027,273866934.8682,273919578.6546,273895710.0354,273884073.2479,14033.6769,21798.4548,24677.7297,19311.0102,20996.3723,19659.4615,273850116.3842,273902758.1541,273878889.7218,273867253.9421,12108.3120,11027.4557,8214.2796,8144.3953,6456.8977,273862068.5737,273914711.3045,273890842.6562,273879206.4293,10148.8971,17564.6449,8098.5012,7922.4965,273871299.2515,273923941.3938,273900073.1385,273888437.1176,12818.5884,6920.3500,5148.9220,273871781.2321,273924424.6188,273900556.0013,273888919.4227,10148.8971,11016.2019,273863613.7767,273916256.8816,273892387.8120,273880751.4990,4945.4985,273870072.6748,273922715.2354,273898846.5635,273887210.4320,273867799.5048,273920442.4492,273896573.9038,273884937.5382,64622.1396,46105.8151,24784.7334,27835.0089,43349.9282,22190.2638,
28800.000,8112.8947,6464.3309,13247.8258,6794.2322,392598.0145,417292.1970,405682.0827,397830.0585,398651.4852,406114.7910,398388.7621,399894.6847,274174413.7795,274223813.2939,274199234.9279,274180503.8043,7463.1235,8926.2498,12562.9418,386947.0246,411531.4299,399983.9760,392018.5445,393000.0687,400529.6093,392670.3836,394234.1989,274171100.8206,274220499.3806,274195921.3221,274177190.6955,11612.0420,8976.5522,393684.6169,418240.2424,406758.5059,398824.9366,399761.7714,407309.9175,399447.2083,401002.8557,274173215.7663,274222615.2538,274198037.2434,274179306.0361,13109.6051,383192.7688,407709.9011,396325.7985,388457.0531,389307.1065,396883.8368,389020.5219,390559.5191,274162554.5193,274211953.4280,274187375.3712,274168644.5309,393616.6762,418300.4869,406787.8287,399048.2577,399714.8659,407187.5996,399508.4169,400974.7405,274170365.1594,274219765.4573,274195186.9862,274176455.4131,26149.8147,14141.5449,14424.8260,6761.8879,15467.3147,8600.7847,8261.0808,273911476.8206,273960838.2354,273936258.1885,273917550.8319,15194.4530,23284.8761,21419.2111,19640.7408,21058.5070,20448.9135,273892472.7212,273941831.5535,273917251.8929,273898546.0063,11748.6144,7826.4248,7983.4221,7438.8301,6347.9086,273906281.6506,273955641.2206,273931061.2553,273912355.0036,12095.7143,17876.0265,7317.5103,11401.1024,273914823.8467,273964183.3814,273939603.8679,273920897.5105,9236.6737,4820.3180,1608.6908,273909672.5909,273959033.1758,273934453.0707,273915746.2378,12095.7143,8377.7979,273906590.6464,273955950.5853,273931370.1522,273912663.8066,4305.5311,273911334.1783,273960694.3576,273936114.5026,273917407.8473,273909507.9052,273958868.2610,273934288.1773,273915581.4785,63171.2778,44875.2176,17020.8658,29365.5388,52621.8275,29668.6026,
