sl_10_86400_20280612 Coordinates.csv
2028/06/12 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:05 2024,
Start: 2028/06/12 07:47:00.00, Stop: 2028/06/13 07:47:00.00,
TIME_UNITS,STARLINK-30451 - X-Coordinate,STARLINK-5166 - X-Coordinate,STARLINK-2053 - X-Coordinate,STARLINK-3920 - X-Coordinate,STARLINK-3779 - X-Coordinate,STARLINK-3210 - X-Coordinate,STARLINK-2685 - X-Coordinate,STARLINK-32113 - X-Coordinate,STARLINK-3736 - X-Coordinate,STARLINK-6220 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30451 - Y-Coordinate,STARLINK-5166 - Y-Coordinate,STARLINK-2053 - Y-Coordinate,STARLINK-3920 - Y-Coordinate,STARLINK-3779 - Y-Coordinate,STARLINK-3210 - Y-Coordinate,STARLINK-2685 - Y-Coordinate,STARLINK-32113 - Y-Coordinate,STARLINK-3736 - Y-Coordinate,STARLINK-6220 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30451 - Z-Coordinate,STARLINK-5166 - Z-Coordinate,STARLINK-2053 - Z-Coordinate,STARLINK-3920 - Z-Coordinate,STARLINK-3779 - Z-Coordinate,STARLINK-3210 - Z-Coordinate,STARLINK-2685 - Z-Coordinate,STARLINK-32113 - Z-Coordinate,STARLINK-3736 - Z-Coordinate,STARLINK-6220 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4497.4724,-2537.6409,-3084.9728,4445.6144,4047.8169,3882.6376,-5421.6096,-847.1570,-4961.5398,-5083.3944,-239001.9459,-204935.3014,-227297.6076,-227203.0483,-222910.7301,-223035.3133,-217874.3015,-221159.8141,-244044554.8588,-244023363.7861,-244012170.1675,-244032835.6680,-221428.5444,-244028169.5917,4201.2303,-3762.3679,-5788.6972,3456.4262,4275.5821,-3258.3983,3690.1180,6769.5592,2677.1218,1744.5156,-318324.0156,-329712.3267,-323030.5632,-323905.2071,-331353.4243,-329358.5065,-323438.5361,-324799.5141,230080528.2139,230061537.7400,230048089.6607,230077619.4477,-324412.4288,230068447.6250,2939.3402,5188.8142,-1917.8067,-3937.7534,3619.4528,-4686.7816,-2199.9618,374.9266,-3751.6792,-4409.1450,-83025.0579,-85523.6694,-84891.0420,-83455.8761,-80446.6315,-89717.3956,-94329.7048,-87804.4404,127536642.3264,127504155.3280,127537712.5134,127530043.4508,-86063.0587,127534920.9995,
3600.000,-6397.0899,5866.8114,3889.1621,-4028.0004,-5905.2432,423.6960,4372.3816,-1391.8964,290.5759,863.5697,-151262.5339,-114771.8265,-137930.8325,-136831.7977,-134108.8545,-133869.7385,-129788.1005,-133260.4097,-295286885.4400,-295267860.3194,-295248579.5631,-295281434.1841,-132823.2764,-295270287.5562,-2171.3067,2937.7793,2194.0719,924.2524,-3562.8462,4357.3502,-4889.6711,-4986.1080,-4104.0064,-2231.1102,-369532.3691,-371795.3343,-367315.9757,-368808.3916,-377270.5037,-374102.5865,-369716.8008,-369593.8983,159020269.0917,159004667.2735,158994786.2368,159015788.0180,-370041.2666,159009340.7652,957.5090,-2148.4615,5161.9746,5475.6678,532.3312,5322.3341,-2191.7487,-4468.9901,5364.5075,6511.6732,-81925.3012,-84449.2734,-82687.8485,-84480.0864,-78490.5788,-84999.3060,-93887.5610,-83073.1278,127573521.2065,127539520.3474,127567909.4929,127568031.8009,-84740.8312,127568781.7441,
7200.000,5285.5091,-6357.9959,-4311.4702,3363.7145,5241.6182,-3995.0228,-1023.4545,4191.0167,4027.1971,3248.3458,-52933.1893,-16830.5179,-39484.8261,-35045.4684,-36462.9393,-36207.7968,-32583.9813,-34673.8061,-326375130.3447,-326359435.5610,-326334188.6405,-326371899.5237,-35487.8453,-326358855.1530,-1185.6438,-1384.5202,2577.4420,-5015.3532,1107.1610,-5021.2801,4451.0709,1144.6710,4792.3647,3789.2057,-396933.6582,-389660.4455,-387919.6037,-390116.1754,-399288.6048,-391602.6520,-392431.5157,-392537.1819,77118132.2113,77104169.9992,77101296.8163,77108458.2851,-391928.4610,77108284.0457,-4156.0698,-2303.9145,-4636.5230,-3279.7999,-4380.6207,-2545.4282,5182.8002,5265.5175,-2581.9738,-4834.6356,-80846.3690,-83371.3198,-81028.1153,-85016.1621,-76972.9553,-81081.7733,-92787.1912,-84915.3648,127610052.9755,127575464.7524,127598093.3734,127606224.1696,-83411.8697,127602602.3153,
10800.000,-2358.5422,4247.1359,3870.0885,-2036.1014,-3260.4945,5293.7281,-3292.0709,-6079.4266,-5435.2533,-4928.8760,49597.4886,82516.4408,61621.8086,68654.3588,63684.1583,63510.9871,67532.4529,63269.4454,-335190352.8559,-335178267.3921,-335150445.8122,-335184415.7964,64323.6581,-335174829.6471,4798.1438,-1410.4151,-5587.8525,6450.7639,2682.4192,3996.8712,-3545.0388,2188.1365,-3280.5340,-4889.1280,-398436.7125,-382147.3973,-383502.9067,-388526.9908,-395940.9478,-384416.5455,-389898.2495,-388159.5557,-10035886.0709,-10050288.5844,-10043950.4779,-10050693.9950,-388613.7399,-10044981.1791,4231.3183,5243.7282,684.3656,-1193.9874,5468.2910,-1904.4766,-4945.7730,-2230.8829,-2353.9105,294.4758,-79787.3002,-82287.1772,-80000.5986,-81570.7910,-75881.7090,-82937.1807,-91049.7660,-80727.7664,127646062.0431,127612098.2758,127628379.3925,127643575.2294,-82076.2844,127636382.7060,
14400.000,-705.1547,-1293.4999,-1571.6430,-616.6734,1357.6826,-4578.8293,6225.0812,5132.3517,4096.7170,4012.7903,149556.0000,176818.5127,158835.1617,165926.1710,159816.2047,159008.0244,164035.4343,161618.1404,-321133737.5202,-321124547.8845,-321098223.5293,-321121541.3069,160183.6147,-321119177.2688,-6689.1023,4762.1783,5486.9732,-4844.8194,-6001.9402,-766.4701,2550.9734,-3785.7166,-759.3146,3584.8536,-373650.2665,-349737.9103,-354389.7867,-361271.5374,-367364.2886,-355515.0629,-362062.8386,-360522.9806,-96494125.2644,-96510931.9198,-96494874.8383,-96510684.2720,-360258.6377,-96502963.5390,-1159.2670,-4830.5464,3747.1781,4819.9125,-3167.1210,5094.3978,1587.5160,-2466.5088,5324.1987,4381.9793,-78747.3033,-81194.6900,-79522.8474,-77911.0532,-75228.7765,-84987.3592,-88661.5527,-81828.1564,127681404.0680,127649544.5376,127658888.2817,127679163.3590,-80734.1859,127670122.9090,
18000.000,3135.3409,-1004.1066,-2434.6207,4148.6338,220.0900,3190.8449,-6278.2914,-1187.2637,-1880.3077,-2377.8650,240232.3094,259962.3969,245911.4875,252386.9592,245639.7132,244616.8050,250487.7609,244370.9296,-285167235.3602,-285159343.2079,-285138519.1547,-285148729.6248,245905.2036,-285153575.6412,5379.7029,-6703.7601,-3336.2541,1838.3329,6819.3594,-3506.3698,-915.7037,4096.2975,5183.2793,322.8801,-323944.1140,-294520.4785,-302497.5117,-310067.5580,-315278.4597,-304387.0346,-310551.4166,-308737.5352,-176357172.2222,-176377711.7588,-176353368.4175,-176370211.5670,-308639.8678,-176366288.8055,-2798.5860,1283.5908,-5447.3627,-5161.8455,-1139.2871,-5019.3783,2742.8273,5329.3236,-3932.0935,-6523.3080,-77725.6617,-80091.9840,-79363.3298,-74886.9499,-75052.6887,-86059.7779,-85571.3458,-78521.6177,127715975.3057,127687921.0611,127689752.0449,127711863.9824,-79385.6853,127703822.9169,
21600.000,-4785.7760,2435.2246,5996.8125,-6543.7570,-2017.9127,-1841.2289,3920.6704,-3516.5398,-198.3811,1701.3440,315433.4641,326564.6807,317300.4185,322889.5638,315459.6921,314953.2854,320895.2481,317602.2386,-229747695.0398,-229738997.4230,-229726747.6681,-229728221.6626,315942.2033,-229734616.5978,-1412.3726,5680.0815,937.6580,741.9777,-4642.5147,6430.8938,-1894.1481,-3971.6125,-6727.5523,-4693.3328,-252393.0528,-220051.5942,-231163.9259,-238491.0208,-242814.8910,-233488.3896,-238623.5980,-236516.1962,-244176409.0961,-244200878.1710,-244171600.7056,-244182456.5273,-237038.3871,-244186237.6492,4645.4912,3063.7071,3128.2687,1939.5034,4704.4138,1679.8225,-5375.9306,-4313.9663,-724.2594,4823.6030,-76721.5898,-78977.3313,-79203.5124,-72414.3038,-75424.5419,-86297.7918,-81684.4313,-78592.1336,127749719.3261,127727280.0521,127721120.2529,127740439.1540,-78030.8937,127737482.7225,
25200.000,5365.6730,-3715.1877,-6602.7010,5908.2577,4286.7306,184.5278,-921.4699,6096.9322,2376.9351,-1850.3310,369911.4280,372316.2708,368453.1744,372983.2008,364532.5204,365411.1734,369813.6905,364268.3321,-158659000.5425,-158647565.4182,-158645125.0887,-158646549.7033,365748.3925,-158646011.1698,-2932.5700,-2009.7650,955.2838,-2351.2124,908.0198,-6336.1740,5053.2922,3088.1318,4175.0012,6685.5530,-163605.5887,-131122.8153,-144912.7456,-151285.8349,-154044.2143,-146997.1706,-151059.8370,-150943.6714,-295325728.3567,-295352895.8949,-295323564.4711,-295330505.4071,-150031.0512,-295336487.2564,-3035.6679,-5462.6945,1467.6092,2588.9513,-5357.9281,2717.6519,4619.4526,113.3020,4758.2514,-333.0340,-75733.9631,-77849.0449,-78723.2566,-70419.7157,-76410.0247,-85816.7182,-76927.4527,-76397.4767,127782630.6682,127767480.2296,127753166.6406,127766716.6174,-76669.9225,127771102.3187,
28800.000,-4034.2888,4908.7643,3687.8471,-2281.4018,-5964.9140,2371.8718,-1282.5178,-5392.2608,-4661.9737,1154.4010,399734.9417,394256.5688,396066.1159,399437.6621,390259.2236,392564.0419,391749.0104,393348.5480,-76753694.0798,-76738600.4122,-76744594.9507,-76745966.0297,392073.2243,-76740257.8218,5437.1280,-2179.6653,-2836.9978,3638.5528,2281.7908,3609.4357,-6724.4495,-612.3521,417.0021,-5265.6846,-63448.3277,-33449.0759,-49185.1508,-54141.7826,-52762.0003,-50291.7882,-53919.4617,-51886.3662,-326317059.6068,-326344484.3104,-326320529.9445,-326330565.7845,-53198.0772,-326328694.5647,-862.1409,4323.2103,-5007.9645,-5365.3250,2645.5244,-5386.2698,-987.2963,4142.7378,-4895.0148,-4389.1272,-74760.7326,-76705.3874,-77686.6445,-68864.2070,-76907.0401,-84678.0990,-72972.9546,-75268.7094,127814755.1929,127808026.2651,127786094.5652,127797641.6674,-75302.8837,127804681.6982,
