sl_20_5400_20280826 Coordinates.csv
2028/08/26 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:16 2024,
Start: 2028/08/26 07:47:00.00, Stop: 2028/08/26 09:17:00.00,
TIME_UNITS,STARLINK-5424 - X-Coordinate,STARLINK-30767 - X-Coordinate,STARLINK-6363 - X-Coordinate,STARLINK-4496 - X-Coordinate,STARLINK-4112 - X-Coordinate,STARLINK-5555 - X-Coordinate,STARLINK-4193 - X-Coordinate,STARLINK-2307 - X-Coordinate,STARLINK-5093 - X-Coordinate,STARLINK-4678 - X-Coordinate,STARLINK-30544 - X-Coordinate,STARLINK-4423 - X-Coordinate,STARLINK-32105 - X-Coordinate,STARLINK-11175 [DTC] - X-Coordinate,STARLINK-31604 - X-Coordinate,STARLINK-30296 - X-Coordinate,STARLINK-3735 - X-Coordinate,STARLINK-5393 - X-Coordinate,STARLINK-32021 - X-Coordinate,STARLINK-4277 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5424 - Y-Coordinate,STARLINK-30767 - Y-Coordinate,STARLINK-6363 - Y-Coordinate,STARLINK-4496 - Y-Coordinate,STARLINK-4112 - Y-Coordinate,STARLINK-5555 - Y-Coordinate,STARLINK-4193 - Y-Coordinate,STARLINK-2307 - Y-Coordinate,STARLINK-5093 - Y-Coordinate,STARLINK-4678 - Y-Coordinate,STARLINK-30544 - Y-Coordinate,STARLINK-4423 - Y-Coordinate,STARLINK-32105 - Y-Coordinate,STARLINK-11175 [DTC] - Y-Coordinate,STARLINK-31604 - Y-Coordinate,STARLINK-30296 - Y-Coordinate,STARLINK-3735 - Y-Coordinate,STARLINK-5393 - Y-Coordinate,STARLINK-32021 - Y-Coordinate,STARLINK-4277 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5424 - Z-Coordinate,STARLINK-30767 - Z-Coordinate,STARLINK-6363 - Z-Coordinate,STARLINK-4496 - Z-Coordinate,STARLINK-4112 - Z-Coordinate,STARLINK-5555 - Z-Coordinate,STARLINK-4193 - Z-Coordinate,STARLINK-2307 - Z-Coordinate,STARLINK-5093 - Z-Coordinate,STARLINK-4678 - Z-Coordinate,STARLINK-30544 - Z-Coordinate,STARLINK-4423 - Z-Coordinate,STARLINK-32105 - Z-Coordinate,STARLINK-11175 [DTC] - Z-Coordinate,STARLINK-31604 - Z-Coordinate,STARLINK-30296 - Z-Coordinate,STARLINK-3735 - Z-Coordinate,STARLINK-5393 - Z-Coordinate,STARLINK-32021 - Z-Coordinate,STARLINK-4277 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5915.0197,1276.8497,3131.6302,2615.0158,3711.1118,337.1039,-2641.0794,-2562.6553,5457.0549,4142.2558,3639.6968,5587.6064,-4296.3914,0.0000,489.8692,-4410.7345,3732.3191,4145.4351,-2498.6596,2780.3105,253804.7209,277656.2405,257987.2747,259239.4809,267606.4155,265694.2290,261448.7537,261864.9055,-279122064.0180,-279074893.2921,-279081234.1511,-279111486.7387,261344.9367,-279103655.8540,-933.1060,5849.3106,-4889.8693,-6136.7612,3521.9213,5933.9364,-4711.6885,3703.8155,3871.9736,180.0211,4064.0477,-2244.1350,2547.7587,0.0000,6005.8555,-507.1496,1824.1573,-3060.6456,-3736.4898,-6178.4000,211857.0724,237928.9781,222791.8481,222397.9197,224312.7758,224912.4866,231413.5713,227574.5592,125955703.3954,125994139.6226,125969759.5940,125948148.5163,227753.8141,125957445.6901,2989.6917,-3461.7154,-3797.1535,-1734.5450,-4634.8188,3510.1310,4267.5711,5175.2591,1846.0086,5524.2949,4269.8178,3453.9778,-4642.9257,0.0000,3155.3111,5199.3394,-5517.2068,4610.8182,5024.9180,1287.5833,-145727.1409,-149852.2601,-146543.3160,-145536.6715,-142249.2671,-151318.5662,-156237.0145,-146209.7672,124496175.4540,124488403.4850,124482900.0039,124492759.3474,-147897.5967,124487487.2736,
300.000,6127.6341,3055.8621,1776.9360,1518.5672,5338.0250,2118.0373,-4332.4343,-433.6897,4426.8262,3947.8014,4604.2490,4426.7429,-2937.9090,0.0000,1814.8272,-5086.4763,4657.3486,2486.6486,-4388.9511,1380.6955,249392.9317,272588.0538,253052.6500,254385.3328,262794.2491,260845.1236,256632.1640,256532.3570,-281804249.9387,-281757916.4319,-281763909.4763,-281793197.5257,256499.8732,-281785930.3753,-2361.8662,5784.9548,-6144.7356,-6720.9389,2746.3760,6154.6998,-4499.2779,4102.4509,3673.1167,-1980.3418,2181.7652,-1300.0366,4235.8287,0.0000,4814.5219,1398.4744,-102.5074,-4440.6942,-3098.3279,-6070.1690,217142.3293,243638.7773,228309.9832,227945.5604,229745.5672,230390.5220,236784.1358,232946.0716,119831446.2206,119870544.4084,119846060.8049,119823708.6894,233185.8957,119833199.5310,1304.9100,-2239.0821,-2685.8609,64.1634,-3406.9764,2303.0307,2899.4532,5481.1790,3879.3816,5311.4229,4692.7058,5183.0228,-4463.9914,0.0000,4445.7667,4351.3234,-5098.0019,4680.2269,4075.9783,2962.3978,-145818.3865,-149934.6909,-146524.8945,-145776.6654,-142250.4762,-151129.7846,-156398.2364,-146212.7753,124493611.6676,124485452.3307,124479855.4484,124490302.8002,-147964.0634,124484740.3616,
600.000,5674.4597,4522.2908,275.8270,268.3764,6429.5729,3674.2722,-5572.6482,1732.9928,2946.1429,3420.7432,5165.9345,2754.9776,-1317.0074,0.0000,2998.6132,-5279.6002,5166.3077,613.7272,-5807.5788,-185.7640,244871.6086,267401.6977,248006.2592,249416.3053,257868.5759,255874.5303,251705.3849,251087.1743,-284352074.1600,-284306593.5600,-284312240.9583,-284340530.1142,251541.9614,-284333843.1120,-3517.4907,5171.8934,-6810.3255,-6628.3287,1734.8102,5786.1514,-3863.2232,4146.6525,3030.2867,-3944.3702,100.8872,-280.4841,5517.0082,0.0000,3136.9889,3130.4916,-1986.7580,-5423.2797,-2175.5064,-5371.0163,222337.1942,249240.0299,233728.1475,233397.6225,235077.0786,235769.3769,242052.6409,238212.1307,113650117.3391,113689857.0152,113665271.8727,113642229.7650,238514.9504,113651877.8363,-534.7339,-774.9408,-1287.7260,1855.8437,-1810.0068,846.3700,1214.8145,5183.8330,5499.0245,4525.6776,4613.1152,6360.4002,-3784.1534,0.0000,5233.1754,3019.0549,-4128.3020,4245.8020,2654.1369,4314.9406,-145909.7025,-150016.8996,-146509.1121,-146020.8949,-142254.8535,-150934.6260,-156554.5317,-146354.4837,124491043.6883,124482500.9678,124476811.7866,124487836.7234,-148030.4291,124481993.2680,
900.000,4595.0908,5541.4517,-1239.7946,-1029.4531,6875.6092,4863.6143,-6244.8480,3716.2003,1190.3964,2604.5046,5269.1847,748.7844,406.5865,0.0000,3925.6905,-4957.1151,5197.8964,-1292.6933,-6601.3755,-1773.9572,240242.5654,262099.5052,242850.2862,244334.6313,252831.5777,250783.7466,246670.5593,245570.2039,-286764323.3280,-286719710.7535,-286725014.5469,-286752273.1169,246473.3912,-286746180.5451,-4292.3279,4058.5442,-6818.7094,-5873.0461,569.9084,4855.1013,-2850.2124,3828.3164,1995.9945,-5515.1425,-1976.1593,688.2258,6255.8175,0.0000,1153.2631,4519.1149,-3645.7317,-5908.6012,-1050.2505,-4160.8957,227439.4187,254730.2725,239043.9182,238752.3675,240304.8997,241046.7071,247216.9036,243376.4179,107414664.1192,107455024.4224,107430339.5289,107406660.2465,243738.6352,107416427.9818,-2311.0103,772.8659,248.0839,3444.9764,-16.6101,-702.0024,-602.4439,4315.8452,6532.7616,3251.6360,4039.4775,6861.4833,-2679.2424,0.0000,5428.7312,1350.6080,-2712.1461,3354.1764,924.1978,5198.3126,-146001.0884,-150098.8843,-146496.1251,-146269.3510,-142262.3706,-150733.1120,-156705.9432,-146630.0644,124488471.4351,124479549.4041,124473769.0872,124485360.4831,-148096.6938,124479245.9927,
1200.000,2999.3640,6023.3836,-2637.7211,-2261.5064,6631.7345,5581.2817,-6291.3528,5314.3005,-639.6102,1565.7828,4898.2353,-1375.2568,2066.0448,0.0000,4500.7772,-4136.7302,4734.4012,-3051.6470,-6685.5037,-3232.0446,235507.6610,256683.8608,237586.9659,239142.6265,247685.4838,245574.0303,241529.8721,240019.3014,-289039848.7330,-288996118.7242,-289001080.8134,-289027279.8696,241296.4011,-289021793.8003,-4620.8502,2542.4538,-6166.1129,-4536.6988,-652.0632,3443.7258,-1544.1647,3169.6088,672.2445,-6535.3229,-3848.7908,1493.9482,6369.6672,0.0000,-927.1174,5432.9202,-4921.8108,-5842.0176,176.9025,-2568.3806,232446.7899,260107.0923,244254.9143,244008.1760,245426.6690,246220.2185,252274.7812,248443.9657,101128059.7017,101169019.3991,101144236.3032,101119974.3135,248854.6535,101129823.1228,-3813.7128,2237.1316,1757.3235,4658.2279,1778.5620,-2174.3954,-2354.0300,2972.5454,6871.1164,1626.6249,3033.0550,6633.4421,-1272.9552,0.0000,5010.3814,-468.2590,-1002.1723,2101.2231,-913.0388,5516.7963,-146092.5436,-150180.6433,-146486.0845,-146522.0000,-142273.0007,-150525.3017,-156852.5114,-147023.3126,124485894.8289,124476597.6474,124470727.4191,124482873.4283,-148162.8574,124476498.5359,
1500.000,1055.6735,5930.8268,-3796.8564,-3316.7968,5724.1688,5768.9708,-5718.3991,6366.0332,-2340.8718,389.5884,4079.4717,-3383.9839,3503.4365,0.0000,4658.5704,-2886.9378,3805.5823,-4499.1188,-6052.9368,-4415.9437,230668.7992,251157.1996,232218.5827,233842.6982,242432.5693,240246.5861,236285.5498,234465.9231,-291177566.8561,-291134733.3659,-291139355.4985,-291164468.9763,236013.2772,-291159599.1949,-4484.3227,761.9465,-4913.8309,-2759.0786,-1828.8078,1682.2742,-59.5266,2222.0532,-799.7976,-6903.4191,-5337.7755,2051.5855,5838.6162,0.0000,-2887.2719,5791.5439,-5697.8871,-5220.4751,1395.7051,-756.5873,237357.1313,265368.1275,249358.7986,249163.5594,250440.0748,251287.6711,257224.1720,253420.2886,94793301.5820,94834839.0872,94809959.1064,94785170.3984,253860.7564,94795060.7765,-4865.7495,3459.5649,3078.3970,5363.5228,3380.3239,-3411.6707,-3849.2696,1301.7385,6478.4122,-173.9751,1701.5418,5700.4613,276.6996,0.0000,4025.2239,-2235.0503,816.5184,621.8639,-2644.4181,5235.9780,-146184.0675,-150262.1749,-146479.1352,-146778.7759,-142286.7182,-150311.3031,-156994.2745,-147507.9709,124483313.7923,124473645.7054,124467686.8517,124480374.8892,-148228.9200,124473750.8975,
1800.000,-1027.3272,5281.7507,-4617.5672,-4096.5478,4246.8641,5419.0387,-4593.8734,6767.3047,-3730.6924,-827.2928,2880.1177,-5053.2364,4584.8142,0.0000,4371.3242,-1321.5204,2487.8447,-5503.5322,-4774.8082,-5203.5210,225727.9280,245522.0061,226747.4704,228437.3564,237075.1549,234802.5500,230939.8595,228932.4098,-293176459.8853,-293134536.2707,-293138820.0292,-293162824.8242,230626.3523,-293158578.7543,-3910.2775,-1116.5793,-3182.3862,-722.9688,-2860.2848,-263.1999,1468.7304,1063.1487,-2254.9375,-6584.3141,-6302.6854,2312.0941,4708.8395,0.0000,-4525.6116,5572.5549,-5908.4669,-4094.0867,2495.8053,1093.6906,242168.3041,270511.0687,254353.2779,254217.1717,255342.8558,256246.8837,262063.0166,258310.3750,88413410.1811,88455503.5719,88430527.8018,88405269.7524,258754.7435,88415161.3927,-5343.7015,4308.0871,4069.8634,5484.2706,4614.5820,-4280.5134,-4926.0156,-512.4986,5396.2766,-1955.8386,187.6224,4161.2996,1795.1373,0.0000,2584.4126,-3753.5101,2546.4994,-924.5000,-4069.6011,4386.3128,-146275.6597,-150343.4771,-146475.4162,-147039.5690,-142303.4995,-150091.2896,-157131.2684,-148050.1861,124480728.2501,124470693.5857,124464647.4547,124477864.1759,-148294.8815,124471003.0775,
2100.000,-3023.2023,4146.3603,-5029.9869,-4523.2372,2351.2713,4573.6678,-3038.7244,6481.8840,-4666.3745,-1983.9364,1403.0893,-6193.1271,5212.7651,0.0000,3653.3773,410.9829,898.3506,-5977.8096,-2991.7096,-5507.3122,220687.0383,239780.8132,221176.0108,222929.2288,231615.6057,229242.9722,225495.1081,223430.3438,-295035576.1998,-294994575.2142,-294998522.0041,-295021398.0657,225138.0047,-295017780.6963,-2967.5142,-2914.3448,-1139.6094,1364.9779,-3656.9260,-2206.6664,2897.3030,-209.4864,-3522.4636,-5612.6358,-6655.4609,2266.7817,3088.9796,0.0000,-5676.8402,4811.8004,-5545.2010,-2562.3808,3376.3416,2802.0268,246878.2076,275533.6597,259236.1050,259167.8234,260132.8021,261095.7395,266789.2988,263117.6902,81991427.4053,82034054.4420,82008983.7663,81983314.9984,263534.4636,81993166.9135,-5191.6747,4691.1179,4625.6542,5007.4298,5347.4392,-4687.6107,-5467.9799,-2270.3529,3739.4579,-3527.0234,-1346.4211,2179.2832,3111.1051,0.0000,850.8925,-4855.6481,3999.8369,-2371.3765,-5024.3682,3059.9234,-146367.3195,-150424.5482,-146475.0602,-147304.2118,-142323.3220,-149865.5211,-157263.5269,-148611.7524,124478138.1290,124467741.2960,124461609.2983,124475340.5761,-148360.7419,124468255.0760,
2400.000,-4711.9855,2639.2109,-4999.6256,-4548.2661,230.2437,3319.5194,-1213.5153,5544.5556,-5060.2325,-2983.3039,-221.7036,-6670.2687,5335.0213,0.0000,2561.7340,2141.5500,-815.4410,-5886.6994,-897.4816,-5284.5383,215548.1640,233936.2010,215506.6331,217321.0803,226056.3303,223568.7973,219953.6419,217960.1513,-296754030.8229,-296713964.6087,-296717575.6469,-296739306.0705,219550.6572,-296736319.8846,-1757.7300,-4457.2561,1015.9384,3295.2878,-4147.0724,-3959.8349,4087.7278,-1486.0462,-4446.2662,-4088.5604,-6368.5282,1946.4405,1139.5747,0.0000,-6229.0936,3597.6060,-4656.2028,-765.4407,3954.6201,4206.0287,251484.7802,280433.6990,264005.0795,264014.4950,264807.7558,265832.1929,271401.0463,267843.3378,75530415.1961,75573553.3398,75548388.4402,75522368.6750,268197.8164,75532139.3230,-4427.4160,4567.3407,4686.3393,3984.8415,5499.5879,-4589.3482,-5416.7868,-3778.6759,1684.1116,-4718.8673,-2736.3498,-34.7493,4076.2683,0.0000,-979.0126,-5420.1056,5018.8385,-3563.3358,-5399.1769,1400.8410,-146459.0464,-150505.3862,-146478.1932,-147572.4604,-142346.1648,-149634.3721,-157391.0816,-149153.6640,124475543.3575,124464788.8437,124458572.4530,124472803.3541,-148426.5011,124465506.8929,
