sl_20_86400_20280218 Coordinates.csv
2028/02/18 07:47:00.0000 UTC

Generated: Tue Oct  8 21:41:25 2024,
Start: 2028/02/18 07:47:00.00, Stop: 2028/02/19 07:47:00.00,
TIME_UNITS,STARLINK-11190 [DTC] - X-Coordinate,STARLINK-5709 - X-Coordinate,STARLINK-31580 - X-Coordinate,STARLINK-5981 - X-Coordinate,STARLINK-5474 - X-Coordinate,STARLINK-3700 - X-Coordinate,STARLINK-5495 - X-Coordinate,STARLINK-4110 - X-Coordinate,STARLINK-30603 - X-Coordinate,STARLINK-30056 - X-Coordinate,STARLINK-1929 - X-Coordinate,STARLINK-30518 - X-Coordinate,STARLINK-5347 - X-Coordinate,STARLINK-5374 - X-Coordinate,STARLINK-5803 - X-Coordinate,STARLINK-6190 - X-Coordinate,STARLINK-2722 - X-Coordinate,STARLINK-4747 - X-Coordinate,STARLINK-1725 - X-Coordinate,STARLINK-2042 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11190 [DTC] - Y-Coordinate,STARLINK-5709 - Y-Coordinate,STARLINK-31580 - Y-Coordinate,STARLINK-5981 - Y-Coordinate,STARLINK-5474 - Y-Coordinate,STARLINK-3700 - Y-Coordinate,STARLINK-5495 - Y-Coordinate,STARLINK-4110 - Y-Coordinate,STARLINK-30603 - Y-Coordinate,STARLINK-30056 - Y-Coordinate,STARLINK-1929 - Y-Coordinate,STARLINK-30518 - Y-Coordinate,STARLINK-5347 - Y-Coordinate,STARLINK-5374 - Y-Coordinate,STARLINK-5803 - Y-Coordinate,STARLINK-6190 - Y-Coordinate,STARLINK-2722 - Y-Coordinate,STARLINK-4747 - Y-Coordinate,STARLINK-1725 - Y-Coordinate,STARLINK-2042 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11190 [DTC] - Z-Coordinate,STARLINK-5709 - Z-Coordinate,STARLINK-31580 - Z-Coordinate,STARLINK-5981 - Z-Coordinate,STARLINK-5474 - Z-Coordinate,STARLINK-3700 - Z-Coordinate,STARLINK-5495 - Z-Coordinate,STARLINK-4110 - Z-Coordinate,STARLINK-30603 - Z-Coordinate,STARLINK-30056 - Z-Coordinate,STARLINK-1929 - Z-Coordinate,STARLINK-30518 - Z-Coordinate,STARLINK-5347 - Z-Coordinate,STARLINK-5374 - Z-Coordinate,STARLINK-5803 - Z-Coordinate,STARLINK-6190 - Z-Coordinate,STARLINK-2722 - Z-Coordinate,STARLINK-4747 - Z-Coordinate,STARLINK-1725 - Z-Coordinate,STARLINK-2042 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5730.3798,6364.7899,-2155.2871,5848.0661,1841.9107,-2609.0650,-3891.3345,3122.1828,-2034.3506,-2892.9728,4208.5604,-1812.1565,5067.4401,-4388.3526,-4433.8459,1055.1535,4931.0448,3689.3486,1756.6366,-6186.6144,-326096.8135,-346442.7387,-334482.6003,-334736.5981,-343265.9794,-341267.1654,-337867.8977,-339163.2900,-97766346.2823,-97791041.8071,-97800960.5963,-97775175.5658,-337442.9089,-97777201.8115,111.7712,2509.0378,-3463.1988,3670.1665,-5582.6379,-6081.4672,347.5852,5906.6800,6330.2023,-6098.9802,30.0242,6574.9741,-149.0354,-5349.8831,-2452.7831,6525.2172,165.7290,2223.8402,-4330.1263,-2520.1151,-82390.5134,-109466.0931,-91117.2628,-91250.8125,-92478.5507,-92913.8276,-100135.2032,-95878.4419,332994807.6374,332971617.6305,332974418.2920,332974077.7954,-96426.7344,332978271.1548,3563.3286,998.7347,5435.2511,673.6099,-3711.6887,1945.7840,5795.9382,-1738.2114,1966.8062,1605.6454,-5068.3621,-506.7516,4720.7666,-48.7446,4719.3928,-2154.3523,-4838.0328,5396.8041,5085.4749,1666.3544,-169522.4061,-171107.1710,-171234.2581,-169132.2370,-166567.3460,-176120.1706,-180259.3816,-172066.0944,-62651852.3537,-62678883.6983,-62638779.7623,-62653073.4030,-172114.6910,-62646745.2217,
3600.000,2140.3066,-5592.0764,5906.8376,-2487.7972,-1939.1195,3921.4735,282.6303,-3825.8113,-121.7484,4368.6617,-4771.4190,-367.5920,-4704.1157,5311.5660,6067.0667,-1131.9393,-2644.6169,-4782.5170,577.2265,6253.4696,-296377.5650,-309296.0094,-298714.2301,-300022.0536,-308876.5155,-306202.9846,-303505.9030,-300972.3979,-180678848.3569,-180698685.6626,-180711686.2819,-180680620.3359,-302734.8672,-180689107.2293,-3491.1178,477.0014,1020.0331,-3652.3277,6562.0864,5112.6668,-2898.3928,-2774.4523,-6724.2149,3258.6561,4428.5080,-5617.2033,3967.2590,2858.0471,-1031.1830,-6235.8321,3630.4016,1995.3729,6612.9225,800.3676,-161262.8444,-193217.7253,-173385.2259,-174152.2962,-173764.2807,-174911.0953,-180566.8763,-177722.6813,296328747.9544,296304407.0634,296299462.4732,296313676.2442,-177638.8837,296311207.9404,-5371.9709,-4046.3391,-3224.7759,-5354.7106,-1195.5532,2462.3029,-6368.8685,5021.4392,1687.3971,-4305.6409,978.4163,-3888.9797,-3203.9952,-3398.0256,-3197.3044,-2851.0574,5237.9356,-4581.6716,-1938.3452,2766.1062,-170175.0268,-171697.1615,-170624.2064,-171837.1433,-166211.4723,-173172.0252,-181594.5022,-172713.5382,-62575283.7260,-62604755.7416,-62568700.7287,-62577831.6951,-172486.9867,-62573166.1759,
7200.000,1572.0145,3350.4986,-6562.7096,-1174.3473,687.7561,-4155.5704,2021.9069,4342.9922,2679.0754,-5298.1262,1543.6741,3454.1068,3333.3115,-4938.5617,-5947.6185,1601.3696,627.6479,4977.8563,-2109.6832,-3746.4551,-247871.6066,-252152.6596,-243934.2739,-247036.5497,-255200.5792,-248900.9027,-250311.5315,-250506.3912,-251270579.6635,-251286060.9246,-251298123.5281,-251272704.0702,-248847.2867,-251279839.3578,6026.3416,-3993.5961,988.7694,-235.1824,-4354.6900,-1506.7443,5664.7243,-1675.9220,4701.3286,700.9436,-4842.4269,2270.1775,-6075.4881,1106.9297,3549.7940,2787.8439,-6476.5984,-4716.3340,-6111.0465,2093.2062,-230734.2844,-265112.2716,-244787.1833,-248135.4917,-243985.4674,-246828.7098,-250044.8134,-247986.7577,239436840.7913,239413375.2707,239400048.1883,239428293.8348,-247631.1424,239418657.8264,2598.0061,4533.9295,-1509.8767,6825.1127,5359.8878,-5302.4517,3562.6809,-5102.0849,-4346.5207,4418.8556,4175.9574,5439.4101,-271.4102,4708.6377,-290.3553,6149.2916,-2324.0362,859.7305,-2452.6343,-5391.6683,-170838.9223,-172282.5076,-170498.2313,-174455.3039,-166293.7161,-170502.7248,-182256.5497,-172194.9004,-62498555.4289,-62530146.0479,-62498743.5779,-62499742.4682,-172844.1385,-62499564.5978,
10800.000,-3527.4027,-836.0073,3497.5274,1840.9930,2453.4995,4092.6688,-2390.5073,-4381.4324,-5177.4522,5340.2606,3894.8007,-6023.8900,-668.4646,3858.6164,3542.9745,-3342.7392,993.5277,-3159.2594,3425.3474,580.7245,-183316.5954,-178641.0675,-173590.5892,-180537.0081,-185613.7066,-175205.2975,-181506.1917,-177785.7785,-304722528.7629,-304734931.7974,-304742223.3501,-304729427.8201,-179183.1423,-304730617.4591,-5245.7282,6508.0552,-2911.1068,5147.0512,1008.1375,-2943.2538,-6488.1697,4985.8152,-1458.9436,-4002.2139,2427.4584,1066.4249,5907.4891,-4837.1796,-4756.1181,1553.4817,6507.8884,5133.5551,2851.2105,-5232.7858,-286397.5735,-320480.3413,-300700.6401,-305833.7895,-298625.8462,-302853.3489,-304289.3740,-301257.2975,166199115.3551,166178171.1768,166157557.3630,166193179.1359,-301969.8702,166180801.8537,2368.5942,-2190.1845,5047.7837,-4277.2157,-6426.4502,4702.5659,1080.9951,1883.5406,4368.7683,-1915.7547,-4726.1467,-3061.4689,3559.3268,-3104.0255,3577.8361,-5896.3959,-2094.4343,3376.7369,5276.0379,4430.5541,-171513.4004,-172859.1215,-170985.8037,-173055.0736,-166801.4376,-173605.9251,-182270.3259,-174004.4744,-62421869.9825,-62454977.1012,-62428789.8531,-62421462.2367,-173186.1404,-62425940.5144,
14400.000,4042.2494,-1480.2805,1070.3094,277.2871,-5756.7774,-3592.8564,2029.0309,2937.3409,6532.1067,-3777.4112,-6571.7621,5935.4789,-2898.5362,-2046.0457,425.0834,5159.4224,-2781.0446,-667.7522,-4798.5791,1685.7774,-106464.7278,-93445.9644,-92186.4845,-101173.6106,-104474.5360,-93319.2337,-101251.9766,-99184.9623,-337384765.9412,-337395942.8969,-337395485.2810,-337396786.4956,-98144.7024,-337391787.4283,887.4010,-6576.4143,4805.8344,-6883.2294,1134.5885,5791.4373,4226.3444,-5712.2928,-1518.9558,5556.0285,401.4834,-3020.5361,-4185.3949,6595.3296,5074.1672,-4108.3210,-3649.3879,-4124.4936,1327.7492,6655.7512,-324596.7859,-355719.9040,-337496.4526,-342081.1685,-334171.3023,-338023.7647,-339871.4142,-338139.0302,81611647.6704,81594179.3683,81568872.6909,81603387.8531,-337209.6541,81593733.8198,-5338.0848,-1550.8359,-4701.4967,-846.8044,3706.1912,-1087.5475,-5198.9883,2520.1583,-1778.0751,-1753.9862,21.6534,-1562.5691,-4715.0173,-454.3327,-4710.1473,2171.7695,5154.0446,-5512.2910,-4800.8372,-559.9148,-172197.7055,-173423.9095,-172047.9063,-170972.7090,-167746.3985,-177438.6762,-181625.4355,-172336.8038,-62345425.6746,-62379154.5633,-62358724.9509,-62344204.0459,-173512.9878,-62352293.9529,
18000.000,-3824.6739,3587.8916,-4226.6899,-1896.4994,6682.4204,1721.3614,-2448.8121,434.6355,-5644.3713,545.6197,3623.0444,-2572.7528,5939.1370,-653.3064,-4186.7347,-4916.2184,4808.6486,4716.2358,5309.0314,-3009.8239,-21882.4145,-2005.6629,-4963.7916,-14578.3990,-16828.3379,-6375.0725,-14424.8025,-10205.9246,-347025717.6047,-347037750.0641,-347027962.9703,-347039883.3976,-10855.7084,-347032023.9607,4099.0468,4050.5346,-5286.8678,3867.8680,-1517.6632,-5838.7160,-4.1808,4370.7919,3556.4467,-5369.5556,-2857.2477,3843.5879,1932.9307,-5799.3324,-4657.2809,4042.6377,-309.7600,2856.9396,-4233.8646,-4966.5831,-342654.1909,-368527.3040,-352814.7009,-356536.3287,-348315.6137,-351583.8078,-354403.9708,-350126.6839,-8554255.2737,-8568204.1484,-8594574.3255,-8568395.4016,-351111.5574,-8571360.2303,3753.5755,4296.0396,690.8842,5429.8322,1146.0504,-3253.7805,6543.7913,-5329.4778,-1907.4447,4353.7516,4686.9061,5028.5032,3003.4769,3708.0507,2962.1659,2781.2679,-4953.4910,4158.8378,1286.0924,-3707.5779,-172890.7296,-173974.3903,-173487.4893,-169498.0712,-169167.6750,-180282.7705,-180274.3948,-175134.0030,-62269403.7205,-62302566.0683,-62288432.6473,-62268725.3369,-173824.6772,-62278624.9407,
21600.000,2462.4424,-5367.2058,4790.5577,308.6164,-4134.9043,1690.1626,3879.5684,-4426.8392,2521.4679,3355.5061,2067.0457,-2191.7684,-6910.1758,3891.0335,6111.7722,1675.6318,-5881.8534,-6723.1124,-3746.3670,4041.3861,65300.9785,89839.5102,82483.4309,73238.7626,71974.7654,80872.2829,73665.9222,76859.1531,-332984670.8224,-332999412.5920,-332980471.3117,-332996221.7771,77162.1607,-332990770.0261,-6206.1680,-249.2844,2933.5697,1256.3085,1542.6567,3836.8225,-3729.6670,-2432.2823,-4703.0371,4222.7389,4611.0548,-4283.7745,271.5135,3314.8466,3219.2599,-2773.8697,3253.5898,-1599.8423,4962.0627,883.9596,-339041.3208,-358044.3157,-345724.1196,-348625.1820,-340101.1534,-343194.4915,-346624.8347,-343671.4048,-98145842.8510,-98157199.1663,-98180609.4703,-98166312.9887,-342785.2635,-98161957.6357,1006.0815,-4359.3309,3828.6880,-6820.5334,-5369.3093,5471.3387,-4481.5721,4694.1157,4420.4447,-4375.8144,-4226.1185,-4863.6635,503.5680,-4670.0126,565.9234,-6151.0126,1579.8704,-210.8325,3015.4489,5496.7993,-173590.3567,-174508.4591,-175002.2775,-168573.6563,-171139.5723,-182266.1765,-178125.9123,-172550.0788,-62193956.5289,-62225086.1337,-62217789.6102,-62195743.5856,-174121.2064,-62204933.5049,
25200.000,782.7985,5971.3331,-3776.8736,3622.9816,-302.6508,-5294.9380,-4831.4439,6775.2186,1532.4778,-6189.5255,-5281.5566,5439.3909,5274.7799,-6346.7278,-5805.5253,2949.6700,4606.9727,5702.5159,10.5433,-4848.4494,149680.1811,176224.5134,164607.7750,156489.6708,156840.4880,163269.3959,157625.6594,160389.8987,-296217076.5352,-296235644.2949,-296209608.8531,-296222125.9240,160338.1433,-296223499.2224,4551.7744,-3059.2070,1688.7366,-4224.0172,-2618.9331,-1469.9314,5058.7639,793.7431,5236.7080,-2590.7969,-3819.6361,3981.8669,-2532.4864,-471.6250,-407.8394,2150.2779,-4328.2878,-338.1213,-4269.8095,3239.6475,-313477.3612,-324911.6676,-316749.5699,-318904.3183,-310048.2983,-313504.8395,-316225.6548,-312103.3443,-181048806.1571,-181059302.9808,-181076102.4257,-181071739.0221,-312746.0977,-181064024.7328,-4928.0851,1666.8624,-5407.1339,4137.7360,6415.8361,-4178.3586,23.9656,-1065.7515,-4289.1943,1769.1869,-936.8656,1148.2128,-3729.0352,2707.3473,-3773.0477,5900.3324,2776.9322,-3897.5967,-5440.8543,-3671.8509,-174291.7375,-175024.2304,-176265.7796,-168127.0638,-173753.6057,-183510.1824,-175086.6713,-176040.0038,-62119197.8338,-62146598.9758,-62146659.5907,-62126020.2409,-174402.5744,-62131219.6727,
28800.000,-4748.7852,-4517.1339,2354.3951,-6089.7722,3795.8904,6887.3563,3606.2637,-6010.6347,-4715.7073,6664.5667,4194.6593,-5621.6330,-1933.7997,6592.8969,4001.0817,-6088.8261,-883.7178,-2673.1879,4187.3758,4352.2542,225874.0240,251638.0206,236268.0648,229785.9195,233902.4747,235824.6361,232602.9502,233459.4061,-239229539.2517,-239251854.9538,-239222523.5262,-239230112.4783,233404.5585,-239236699.5353,-1181.0970,4812.7372,-5743.9310,3177.4374,4460.7400,-374.9170,-4063.7434,905.9845,-4840.4551,473.5641,-487.8976,-1920.1823,4727.2582,-1883.3399,-3188.5562,-2496.6669,4236.3582,3159.7912,3253.2468,-5303.3987,-266930.2585,-271225.6311,-267784.8761,-269252.2226,-261071.0247,-264337.4743,-262938.9618,-263253.4251,-251604598.3163,-251616335.5865,-251624085.8436,-251622384.9491,-262883.2774,-251619265.0298,4643.2224,2053.4866,2777.7063,968.6638,-3745.4516,167.2048,4402.4256,-3275.2381,1555.1959,1870.6196,5041.2685,3379.4194,4679.8965,922.8778,4666.2488,-2242.0626,-5387.5338,5526.8327,4426.4008,-607.2191,-174981.7963,-175519.9219,-177014.7862,-168118.5569,-176280.0658,-184081.1128,-172327.2557,-172877.8610,-62045195.3299,-62067064.1402,-62074887.2066,-62059255.6612,-174668.7812,-62057483.4715,
