sl_5_5400_20281001 Coordinates.csv
2028/10/01 07:47:00.0000 UTC

Generated: Tue Oct  8 21:10:47 2024,
Start: 2028/10/01 07:47:00.00, Stop: 2028/10/01 09:17:00.00,
TIME_UNITS,STARLINK-31973 - X-Coordinate,STARLINK-11174 [DTC] - X-Coordinate,STARLINK-1846 - X-Coordinate,STARLINK-5620 - X-Coordinate,STARLINK-31763 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31973 - Y-Coordinate,STARLINK-11174 [DTC] - Y-Coordinate,STARLINK-1846 - Y-Coordinate,STARLINK-5620 - Y-Coordinate,STARLINK-31763 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31973 - Z-Coordinate,STARLINK-11174 [DTC] - Z-Coordinate,STARLINK-1846 - Z-Coordinate,STARLINK-5620 - Z-Coordinate,STARLINK-31763 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2514.2914,5205.4829,5044.2028,-3231.1586,-6616.5935,336711.6956,326108.2270,330397.2054,331863.1472,337634.4597,335695.2665,328510.5104,331596.0677,-281876220.9275,-281857441.3870,-281852621.1241,-281856333.5636,330509.6383,-281859752.8035,-4371.1395,-4081.7897,2024.7022,4470.1476,1333.0119,-244162.3003,-230056.7877,-241008.9066,-240607.3402,-234264.1841,-234802.9156,-231982.1647,-233794.6767,60389282.1922,60380099.5689,60412052.1265,60383810.0033,-235038.1340,60390867.8084,4608.8448,-1316.0791,3986.1946,-4133.9948,842.5883,-21220.2046,-19731.6238,-19823.1858,-19019.1197,-15597.4959,-24566.1702,-29633.1052,-22022.1454,88432845.3377,88402045.2911,88409708.7633,88428915.4897,-21260.6526,88420859.2089,
300.000,-4336.8164,3879.3201,4550.0020,-3117.0098,-6163.8045,341831.3547,330907.7865,335195.1971,336707.5625,342582.5759,340582.0105,333490.7598,336639.8912,-283125558.4781,-283106642.1082,-283102642.5488,-283105294.5904,335430.8018,-283109124.4641,-3287.4394,-4634.6614,109.0867,5704.7279,2789.3710,-236767.1335,-222794.6177,-233920.9290,-233450.8564,-227180.3694,-227705.3871,-224950.2064,-226660.1810,54219321.4340,54209831.5505,54242022.5655,54214354.6922,-227974.1957,54220836.1081,4130.3149,-2996.1385,4969.3973,-2289.5209,-717.3592,-21129.4879,-19597.8770,-19616.1943,-19068.7896,-15410.1868,-24184.0302,-29600.9765,-21434.7947,88428919.1297,88398448.5209,88405473.5965,88425003.1974,-21136.0398,88416877.1399,
600.000,-5732.3417,2119.8768,3615.9934,-2706.4038,-5074.9965,346786.2380,335551.4359,339841.4149,341394.8199,347378.1725,345308.2287,338321.5395,341442.8987,-284239852.7079,-284220785.5048,-284217615.1753,-284219243.6869,340200.9746,-284223449.2358,-1909.6742,-4720.7820,-1850.3541,6333.5434,3965.6009,-229261.7324,-215438.8913,-226726.8387,-226186.2008,-219992.4380,-220506.9532,-217812.8563,-219515.7011,48023598.2523,48013806.3816,48046205.6775,48019168.0484,-220807.2158,48025040.6098,3190.6940,-4328.5121,5375.8255,-195.6823,-2196.0580,-21038.7616,-19466.0605,-19412.0847,-19122.6870,-15226.1153,-23795.6279,-29564.0326,-20825.4466,88424987.4253,88394858.7406,88401241.2187,88421067.8256,-21011.4153,88412895.0195,
900.000,-6555.7625,110.1207,2347.3327,-2015.5816,-3458.7513,351573.8054,340037.0048,344333.7451,345922.4396,352019.1207,349871.0102,343000.5611,346003.3125,-285218574.3077,-285199342.5249,-285197008.7699,-285197654.3119,344817.9991,-285202197.7532,-368.6144,-4346.1489,-3644.7138,6300.1678,4755.3218,-221649.7592,-207992.5983,-219429.9355,-218816.0550,-212703.6771,-213211.3792,-210573.2437,-212368.1515,41805067.9505,41794980.0654,41827556.9788,41801203.2949,-213540.4221,41806436.7720,1894.6666,-5159.4470,5158.4892,1919.4638,-3426.2686,-20948.0136,-19336.0102,-19211.0083,-19180.7875,-15045.2532,-23401.0003,-29522.3154,-20230.1251,88421050.2016,88391275.9873,88397011.7141,88417108.1409,-20886.7790,88408912.8475,
1200.000,-6719.4135,-1937.7095,878.7049,-1090.5840,-1478.8421,356191.5896,344362.4260,348670.1473,350287.9980,356503.3585,354267.4343,347525.6039,350326.0107,-286061258.6324,-286041848.8146,-286040357.7701,-286040064.5483,349279.7868,-286044905.3223,1191.7526,-3560.8661,-5078.7946,5619.0302,5089.9957,-213934.9380,-200458.8065,-212033.5665,-211343.0610,-205317.4180,-205822.5254,-203234.5519,-205217.0685,35566696.6617,35556319.4318,35589042.8499,35563424.1854,-206177.0875,35567990.8860,386.9090,-5393.4733,4342.5001,3825.0328,-4269.2945,-20857.2308,-19207.5808,-19013.1109,-19243.0390,-14867.5739,-23000.2264,-29475.8646,-19684.9070,88417107.4382,88387700.2929,88392785.1680,88413122.8715,-20762.1311,88404930.6241,
1500.000,-6202.8531,-3804.4186,-639.9102,-5.1736,662.7658,360637.1975,348525.7304,352848.6552,354489.1306,360828.8915,358494.5592,351894.5161,354422.0813,-286767505.9218,-286747904.9397,-286747261.5068,-286746077.3040,353584.3189,-286751172.1403,2627.5815,-2452.2486,-5992.4294,4372.6950,4944.2091,-206121.0537,-192840.6555,-204541.1245,-203769.8055,-197837.0350,-198344.3509,-195800.0168,-198054.1589,29311459.9350,29300800.7216,29333639.1198,29308803.5672,-198720.5288,29312678.6604,-1164.0950,-5003.8014,3022.2855,5313.0505,-4630.4094,-20766.3989,-19080.6437,-18818.5318,-19309.3515,-14693.0521,-22593.4404,-29424.7177,-19223.1083,88413159.1175,88384131.6830,88388561.6667,88409110.7125,-20637.4716,88400948.3492,
1800.000,-5055.5253,-5286.9509,-2058.4295,1144.6415,2746.6001,364908.3101,352525.0426,356867.3776,358523.5375,364993.7941,362549.4074,356105.2155,358307.8345,-287336981.4896,-287317176.5752,-287317384.3941,-287315360.4774,357729.6477,-287320663.4856,3808.3951,-1135.1194,-6278.7829,2701.4478,4336.8985,-198211.9508,-185141.3519,-196956.0463,-196098.8008,-190265.9438,-190780.9175,-188272.9247,-190863.5626,23042341.3156,23031408.1660,23064329.6473,23040321.9380,-191174.1047,23043483.8016,-2585.1171,-4035.1691,1350.9530,6221.3829,-4469.1421,-20675.5020,-18955.0837,-18627.4044,-19379.5857,-14521.6643,-22180.8500,-29368.9098,-18872.3547,88409205.2239,88380570.1768,88384341.2977,88405070.3321,-20512.8007,88396966.0229,
2100.000,-3391.8223,-6220.3251,-3241.4818,2248.9319,4557.9522,369002.6838,356358.5784,360724.4997,362388.9915,368996.2105,366428.9504,360155.6907,362003.2756,-287769415.8824,-287749394.6642,-287750456.0903,-287747647.0874,361713.8970,-287753109.8764,4628.7882,259.7384,-5897.4261,786.9129,3328.7982,-190211.5328,-177364.1643,-189281.8107,-188332.4624,-182607.6000,-183136.3938,-180656.6112,-183622.9651,16762330.9221,16751132.5621,16784104.8975,16760965.9982,-183541.2148,16763396.5912,-3717.7771,-2599.0207,-477.3535,6451.1760,-3803.5902,-20584.5229,-18830.7979,-18439.8551,-19453.5367,-14353.3884,-21762.7603,-29308.4740,-18651.8614,88405245.7448,88377015.7863,88380124.1493,88401000.3822,-20388.1183,88392983.6451,
2400.000,-1379.2066,-6496.3708,-4081.3257,3194.2400,5908.7779,372918.1510,360024.6425,364418.2831,366083.3498,372834.3558,370130.0899,364044.0024,365530.1372,-288064605.0072,-288044355.5453,-288046271.6254,-288042735.3660,365535.2636,-288048307.1983,5017.4343,1598.1411,-4880.1820,-1168.0086,2016.5267,-182123.7614,-169512.4190,-181521.9368,-180473.0840,-174865.4979,-175415.0594,-172954.4590,-176305.5691,10474424.0206,10462969.8449,10495960.5157,10473727.1994,-175825.2979,10475412.4592,-4436.2276,-861.2585,-2250.2767,5977.2429,-2708.4831,-20493.4423,-18707.6940,-18256.0038,-19530.9122,-14188.2035,-21339.6051,-29243.4412,-18570.3197,88401280.6696,88373468.5155,88375910.3111,88396899.5114,-20263.4245,88389001.2160,
2700.000,779.0338,-6076.9962,-4507.3898,3875.1994,6657.3146,376652.6202,363521.6268,367947.0672,369604.5718,376506.5171,373649.6378,367768.2842,368909.6782,-288222410.2275,-288201921.0496,-288204691.4992,-288200488.8145,369192.0173,-288206116.8004,4942.6976,2755.1402,-3328.6051,-2960.6753,523.7446,-173952.6556,-161589.4962,-173679.9819,-172522.8081,-167043.1687,-167621.3087,-165169.8963,-168882.7677,4181619.5964,4169919.6577,4202895.8985,4181600.2902,-168029.8303,4182530.5551,-4660.9026,976.5728,-3762.3689,4850.7571,-1307.1220,-20402.2392,-18585.6884,-18075.9632,-19611.3041,-14026.0903,-20911.9901,-29173.8403,-18624.7711,88397309.9907,88369928.3601,88371699.8737,88392766.3832,-20138.7195,88385018.7354,
3000.000,2864.3863,-4999.8731,-4491.4191,4206.4213,6723.4173,380204.0765,366848.0088,371309.2697,372950.7441,380011.0540,376984.2956,371326.7436,372160.5367,-288242758.4284,-288222018.5649,-288225641.7472,-288220836.2192,372682.5023,-288226465.5608,4414.6633,3626.5472,-1403.3432,-4409.7797,-1010.0768,-165702.2910,-153598.8258,-165759.5400,-164483.5939,-159144.1792,-159759.6522,-157306.3955,-161327.1936,-2113081.0767,-2125016.0802,-2092087.2369,-2112418.1375,-160158.3243,-2112247.6818,-4367.0097,2700.7928,-4839.1226,3194.0934,242.2069,-20310.8903,-18464.7058,-17899.8386,-19694.1502,-13867.0307,-20480.7491,-29099.6982,-18800.7226,88393333.7027,88366395.3063,88367492.9289,88388599.6995,-20014.0033,88381036.2034,
