sl_5_86400_20280628 Coordinates.csv
2028/06/28 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:00 2024,
Start: 2028/06/28 07:47:00.00, Stop: 2028/06/29 07:47:00.00,
TIME_UNITS,STARLINK-3655 - X-Coordinate,STARLINK-30071 - X-Coordinate,STARLINK-11118 [DTC] - X-Coordinate,STARLINK-2550 - X-Coordinate,STARLINK-5827 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3655 - Y-Coordinate,STARLINK-30071 - Y-Coordinate,STARLINK-11118 [DTC] - Y-Coordinate,STARLINK-2550 - Y-Coordinate,STARLINK-5827 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3655 - Z-Coordinate,STARLINK-30071 - Z-Coordinate,STARLINK-11118 [DTC] - Z-Coordinate,STARLINK-2550 - Z-Coordinate,STARLINK-5827 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3142.2353,-538.1103,-4403.4313,-6680.8241,1490.3213,257507.8308,287081.2967,262214.2901,262547.2042,268690.8800,268060.3218,271387.2376,267675.5620,-253232197.4238,-253206770.0930,-253256179.9666,-253237344.4012,268233.6677,-253244150.3539,-4756.4931,6637.4694,-4636.8898,-1050.2414,-4914.2369,247600.7832,249884.3109,252601.0399,251688.2384,245679.8845,247574.3031,254667.7485,253346.3592,208858913.9476,208865031.2687,208877598.2236,208871175.9167,252771.7851,208873264.8727,3871.4783,1791.7572,-2106.2198,-1242.3831,4629.3564,-4371.0722,-4789.2574,-3466.6320,-2123.2950,946.8863,-8282.2449,-12960.4650,-3096.5087,137522997.9720,137505463.1734,137539655.2791,137529630.8487,-4677.8369,137531278.0070,
3600.000,5314.3828,-1787.0662,5439.8707,4701.5673,1982.4240,189661.9951,215856.5655,190767.2351,192234.7314,197119.9923,196502.0600,199234.6150,197343.1815,-298671204.7011,-298646425.9977,-298692039.7129,-298681106.4352,196393.0090,-298682551.7484,4387.9036,-6357.3179,2654.5353,-1337.0990,6121.7401,304498.6153,313300.7806,313274.0360,312059.0951,304626.1371,307785.7252,313073.5027,311273.6615,136139473.1693,136154187.2641,136151079.0078,136157786.0365,311944.5729,136152978.0730,272.9682,1985.8066,-2947.6462,4825.6701,-2554.9906,-6458.2147,-6715.6095,-4275.1627,-6144.1622,-106.3311,-6550.7119,-15502.9515,-7754.1431,137539055.3514,137522001.1517,137562573.5066,137542562.4248,-6351.7641,137549362.7596,
7200.000,-5081.8720,3922.2188,-3630.4589,-1247.4173,-4213.5150,109844.6423,130981.6395,107121.7342,112030.4100,113071.2536,111196.8576,114956.7954,110808.8176,-323725389.5212,-323703372.4372,-323739493.7779,-323743395.5114,112006.2947,-323735842.5804,-1892.3609,3476.2727,1758.9555,4375.5491,-5373.6731,343791.9408,356953.5542,354095.2306,353114.3937,343873.2000,351442.9524,351537.0930,351712.5589,54137301.9443,54159827.3124,54144633.4523,54154619.7692,351235.2199,54150416.4161,-4265.3928,-4490.6608,5378.2526,-5158.3165,-1128.0395,-8534.7040,-8638.1523,-5639.4961,-9619.1710,-1602.8377,-5706.5628,-17394.1040,-6819.8907,137555738.9472,137538661.0181,137583815.7900,137561123.8388,-8024.9699,137567406.1986,
10800.000,3578.6669,-5548.8199,1106.4340,-1633.0751,5033.4168,22207.0117,37838.9603,16534.6815,24634.3185,21839.1114,18510.7907,23918.7925,21999.0832,-326687234.8969,-326669775.8996,-326693340.4287,-326708789.5037,20456.0050,-326696769.4036,-2194.1883,467.1791,-5882.0287,-6376.7410,2401.4579,363566.6117,378009.5468,372388.6543,369383.4706,360891.8294,371965.4852,367773.0829,367898.9388,-31551349.7348,-31522323.1652,-31544109.0684,-31539908.6910,368130.8274,-31538087.6049,5462.1471,4062.2649,-3084.2058,1976.1174,4088.7005,-10522.0925,-10554.8150,-7642.2364,-9139.9148,-3530.3549,-10619.0281,-18654.3000,-10649.1479,137573136.8284,137555462.4073,137603410.4298,137582638.6625,-9697.2815,137585408.3265,
14400.000,-2035.0861,5792.9293,1115.5732,3145.6296,-4940.3534,-70883.2746,-57635.0606,-75229.1255,-66601.7609,-70828.6955,-74847.8384,-68193.4626,-74033.1626,-307356842.2662,-307345278.0819,-307356056.2459,-307376144.1801,-72416.4872,-307365703.4878,5802.0021,-3608.4271,6344.9245,5564.1360,1753.0615,362959.9864,375079.8536,366880.9650,362129.1853,354599.4128,365785.2933,360876.3154,361395.0782,-115079195.3803,-115045418.0293,-115067935.3207,-115073580.5946,361548.0321,-115065306.2344,-3131.0495,-1010.5579,-1953.4382,2524.2241,-4523.9772,-11825.2696,-12463.6155,-10194.6568,-8507.2252,-5900.5261,-15666.1970,-19269.0501,-10688.9384,137591288.1296,137572427.6900,137621574.4230,137604977.3175,-11368.5262,137603369.1457,
18000.000,493.2754,-3802.7683,-3260.1435,-3921.2923,4073.8835,-165021.8324,-149332.0565,-162258.3529,-154049.8633,-159125.5875,-163079.4761,-155736.3649,-158997.9883,-267055459.4274,-267050533.6522,-267050697.3018,-267068650.4234,-160684.0862,-267064098.0377,-6762.9449,5076.5954,-2657.9469,-1864.8084,-5168.5095,332643.5880,348316.7525,337839.7984,332286.5187,325438.1433,335635.3377,331335.5171,332493.7950,-190746931.2787,-190710459.3082,-190728689.8399,-190743475.6720,331902.6035,-190732120.3307,-1260.1430,-2717.8320,5245.0451,-5334.4018,2130.7687,-11874.4785,-14362.5642,-13060.4323,-8517.1453,-8751.4690,-19741.6688,-19186.3395,-13433.4843,137610180.5173,137589582.6483,137638567.6730,137626925.2873,-13038.5319,137621288.6587,
21600.000,1634.9889,-57.4507,5005.7391,4450.7163,-2162.4186,-244759.3757,-231366.9083,-238907.6711,-231622.7086,-237604.8867,-240621.9761,-233514.5202,-240182.3523,-208535201.4787,-208536965.4841,-208530332.5139,-208541852.0106,-238712.7176,-208544155.2990,4659.4707,-5076.3020,-2200.8255,-2650.8852,6382.4845,277286.7145,299411.0721,287101.7136,281570.6127,275401.5355,284228.6285,280932.4873,280116.7350,-253392139.3466,-253355143.9412,-253365695.0349,-253385529.5489,281083.1914,-253376373.8499,4805.7608,4660.8705,-3929.2063,4511.0702,1569.3378,-12611.9893,-16249.5730,-15918.9275,-9082.2466,-12153.4166,-22990.0027,-18310.7317,-14637.8054,137629750.9886,137606957.3351,137654632.3692,137647542.6427,-14707.1265,137639166.8681,
25200.000,-4346.3774,4123.2614,-4574.6652,-4176.7697,-961.1910,-306250.4955,-298460.4568,-300214.4805,-294205.9755,-301618.4619,-302662.2990,-297363.6025,-300294.3777,-135791125.6716,-135798903.6400,-135790061.1194,-135794738.7823,-301521.4083,-135800878.5717,-1077.7037,4210.2500,4859.4114,5422.7394,-5330.7945,204210.8401,231489.5168,217961.8054,213089.0641,208172.6931,215167.8131,212457.8657,213670.0153,-298741529.1315,-298706058.0448,-298707536.1765,-298727219.3206,212330.8791,-298725047.1715,-5250.1063,-3591.6662,-874.9018,-650.0834,-4312.5844,-13694.8405,-18122.3579,-18451.0806,-10128.7571,-16167.3790,-25525.3883,-16572.1423,-16168.2014,137649889.9513,137624587.1746,137669977.1704,137665773.5937,-16374.1387,137657003.7762,
28800.000,6224.1584,-6414.0273,937.3048,2018.7830,4434.5081,-346506.2102,-346284.6850,-342260.1373,-337743.0470,-346980.1454,-345415.0519,-345306.3359,-345905.3280,-53788489.1488,-53800934.1904,-53794375.4358,-53795675.3032,-345100.6571,-53799344.0852,-1911.7206,-2532.6032,-4524.1009,-5451.2223,3025.2311,118842.2628,148918.0938,134928.1600,131128.6313,130049.7553,132981.7624,129221.4620,128561.2370,-323702474.9610,-323670191.5058,-323663213.4093,-323680023.6449,130032.2361,-323685723.2694,2263.0136,170.7746,4885.3635,-3675.5963,4357.7450,-14964.6151,-19978.3232,-20424.8647,-11617.5084,-19633.4276,-27408.4216,-15721.1960,-18589.0322,137670448.3219,137642514.3765,137684778.6756,137680246.5976,-18039.3974,137674799.3857,
