sl_10_5400_20291208 Coordinates.csv
2029/12/08 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:21 2024,
Start: 2029/12/08 07:47:00.00, Stop: 2029/12/08 09:17:00.00,
TIME_UNITS,STARLINK-31661 - X-Coordinate,STARLINK-30580 - X-Coordinate,STARLINK-3822 - X-Coordinate,STARLINK-11097 [DTC] - X-Coordinate,STARLINK-31167 - X-Coordinate,STARLINK-3746 - X-Coordinate,STARLINK-1291 - X-Coordinate,STARLINK-5324 - X-Coordinate,STARLINK-5031 - X-Coordinate,STARLINK-30310 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31661 - Y-Coordinate,STARLINK-30580 - Y-Coordinate,STARLINK-3822 - Y-Coordinate,STARLINK-11097 [DTC] - Y-Coordinate,STARLINK-31167 - Y-Coordinate,STARLINK-3746 - Y-Coordinate,STARLINK-1291 - Y-Coordinate,STARLINK-5324 - Y-Coordinate,STARLINK-5031 - Y-Coordinate,STARLINK-30310 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31661 - Z-Coordinate,STARLINK-30580 - Z-Coordinate,STARLINK-3822 - Z-Coordinate,STARLINK-11097 [DTC] - Z-Coordinate,STARLINK-31167 - Z-Coordinate,STARLINK-3746 - Z-Coordinate,STARLINK-1291 - Z-Coordinate,STARLINK-5324 - Z-Coordinate,STARLINK-5031 - Z-Coordinate,STARLINK-30310 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4315.0434,1436.5079,-4266.8400,-4075.0154,-2208.2285,-3443.9682,6149.1897,2398.4791,2590.8609,-5319.0921,79690.0219,50377.1650,66741.7876,68431.8911,65995.3654,64721.7930,59671.9747,64166.0407,68359977.4435,68380801.3720,68352026.2324,68362853.4675,63328.7930,68370008.5150,-2626.7291,4818.4660,-2854.4811,1964.6181,-6009.8882,3985.7347,2734.0673,956.5238,3230.3311,-647.5039,338905.5356,350067.0265,341110.8258,344526.7492,352732.1662,350464.4027,345487.6548,346008.2426,267251335.4812,267262752.2514,267281645.8370,267260802.6151,345699.9713,267264220.7961,-4630.2744,4632.6362,4585.9655,-4991.0641,-2486.6924,-4447.5368,1207.1422,6441.2444,5498.0835,4264.6084,-117920.5925,-120629.2535,-119045.5405,-120465.4675,-115626.4925,-123143.9106,-129956.5841,-119728.1489,-112396926.1398,-112428588.7840,-112414383.8242,-112419457.9279,-121286.1405,-112409203.2255,
300.000,-5064.3811,2791.4253,-5737.9966,-3726.7985,-3464.1379,-1435.9083,6047.4312,2304.4611,4054.1002,-4817.5076,72633.9998,42926.3044,59352.4144,60987.7085,58716.8411,57415.0367,52438.6672,57238.9180,62511297.8058,62532465.9289,62503034.5333,62514563.4958,56061.9575,62521397.3596,-592.4703,3242.6540,-1824.5211,3916.6782,-4677.7685,4208.0709,1331.3512,-1252.8667,1619.1601,1428.6873,340611.4332,351204.4583,342339.8989,345772.7565,354070.4974,351673.4668,346833.6051,347043.3977,268682671.3199,268694123.8271,268712385.4981,268691563.8614,346997.2306,268695520.0315,-4579.6257,5330.7415,3340.7853,-4017.7819,-3647.3248,-5268.6945,2892.6749,6424.2296,5322.2318,4651.9133,-117862.5517,-120589.3738,-118936.3481,-120572.3942,-115527.0066,-122794.8058,-129955.5854,-119876.9182,-112395175.9783,-112426444.2084,-112412910.4385,-112417820.1008,-121219.1605,-112407435.2684,
600.000,-5347.7257,3913.4779,-6635.4509,-3023.5793,-4410.3644,725.1023,5340.1906,2061.2996,5151.6607,-3873.9791,65540.0171,35451.8669,51934.6744,53505.3574,51409.7926,50082.0149,45176.7202,50206.3519,56632710.3825,56654222.3817,56624157.0593,56636399.2296,48768.4899,56642880.2130,1484.2326,1362.6824,-648.6294,5438.6830,-2883.2062,4068.1927,-236.6756,-3337.4482,-111.2189,3379.3069,342171.0053,352182.4889,343417.4880,346861.4895,355255.2495,352714.8882,348028.2621,347935.4997,269986031.9633,269997535.4362,270015141.2933,269994373.0055,348141.7661,269998847.4467,-4022.7712,5435.6791,1730.9832,-2576.6913,-4407.1004,-5518.1803,4255.3004,5724.7668,4566.3396,4523.8681,-117804.6770,-120549.5150,-118831.4171,-120681.3584,-115430.4036,-122440.4369,-129949.9472,-120128.8178,-112393431.0719,-112424292.5017,-112411435.4959,-112416163.9724,-121152.0956,-112405667.0231,
900.000,-5131.1151,4687.7045,-6866.0103,-2023.6764,-4960.3442,2821.6671,4110.1158,1684.3152,5766.0273,-2582.4773,58411.0991,27957.2373,44491.8992,45986.9268,44077.4868,42726.2191,37889.2550,43049.1984,50727015.1138,50748869.9287,50718194.0482,50731158.9180,41451.5990,50737256.8680,3396.4699,-626.3796,572.9022,6367.7188,-806.9415,3583.2415,-1820.8736,-5083.1863,-1792.0816,5006.9853,343583.3684,353000.6736,344343.0672,347792.5304,356285.8424,353586.6459,349070.9851,348699.5973,271160793.7850,271172363.4442,271189290.4039,271168608.3643,349133.0298,271173579.4898,-3021.1292,4935.7785,-67.7818,-835.0663,-4682.9508,-5169.0957,5143.1300,4416.6448,3312.5761,3894.6210,-117746.9661,-120509.6701,-118730.8197,-120791.9614,-115336.6577,-122081.2514,-129939.7013,-120460.4748,-112391691.4099,-112422133.6215,-112409958.9216,-112414489.6664,-121084.9461,-112403898.4896,
1200.000,-4426.5816,5028.6532,-6404.7786,-814.4901,-5062.0537,4641.8236,2491.0794,1194.3536,5824.7054,-1067.2454,51250.2927,20445.8091,37027.4328,38434.3679,36723.2016,35351.1546,30579.4107,35755.3129,44797024.9142,44819220.7346,44787958.6837,44801653.7061,34114.5054,44807340.0887,4955.5771,-2521.7686,1737.4211,6606.0733,1343.0303,2797.7444,-3265.7424,-6310.5519,-3264.0582,6144.9583,344847.7020,353658.6382,345116.1815,348565.6358,357161.7626,354286.6100,349961.1974,349348.4984,272206394.4125,272218045.4375,272234271.2755,272213709.3909,349970.5408,272219153.8562,-1685.2042,3886.4316,-1859.1786,1004.0831,-4444.7547,-4258.9334,5457.4132,2638.4210,1697.4584,2833.7556,-117689.4168,-120469.8321,-118634.6196,-120903.6812,-115245.7446,-121717.8678,-129924.8770,-120841.3707,-112389956.9794,-112419967.5298,-112408480.6396,-112412797.3109,-121017.7118,-112402129.6677,
1500.000,-3292.3525,4890.0226,-5297.9069,494.4463,-4702.7274,6000.2780,653.1806,617.6548,5309.1338,529.0070,44060.6645,12920.9833,29544.6302,30849.4778,29350.2246,27960.3320,23250.3433,28321.4103,38845564.3329,38868098.5919,38836275.7549,38850706.3001,26760.4393,38855954.2707,6009.8197,-4133.7270,2748.2335,6132.1825,3352.1464,1779.7949,-4424.6432,-6893.6288,-4392.3530,6674.4280,345963.2484,354156.0796,345736.4473,349180.7736,357882.5628,354812.5209,350698.3877,349891.8260,273122332.9965,273134080.4925,273149583.8861,273129176.9439,350653.8860,273135069.7582,-162.6611,2404.1789,-3447.9960,2725.7937,-3718.4800,-2885.8315,5163.2674,579.1291,-102.8698,1458.7418,-117632.0269,-120429.9946,-118542.8722,-121015.8348,-115157.6411,-121351.1319,-129905.5018,-121236.2137,-112388227.7647,-112417794.1938,-112407000.5735,-112411087.0374,-120950.3929,-112400360.5577,
1800.000,-1828.6637,4271.0651,-3657.5428,1781.0317,-3910.5189,6757.5087,-1215.2809,-14.2606,4258.2493,2058.4341,36845.3001,5386.1668,22046.8554,23233.8875,21961.8519,20557.2540,15905.2238,20754.1413,32875468.2079,32898337.5764,32865980.3108,32881149.6269,19392.6397,32885934.0963,6459.4215,-5304.7413,3522.2069,5002.7070,5020.4883,615.6901,-5174.6316,-6773.8160,-5079.2141,6537.3906,346929.3137,354492.7659,346203.5524,349638.1726,358447.8632,355161.9720,351282.1096,350335.3494,273908170.4507,273920029.4142,273934789.9849,273914573.5274,351182.7203,273920888.1641,1377.8954,654.0076,-4661.6681,4128.7112,-2583.4933,-1198.5068,4293.4002,-1541.8810,-1892.0062,-78.0001,-117574.7941,-120390.1516,-118455.6239,-121127.5292,-115072.3258,-120982.1917,-129881.6015,-121608.0118,-112386503.7478,-112415613.5860,-112405518.6461,-112409358.9803,-120882.9895,-112398591.1593,
2100.000,-169.2575,3218.6625,-1649.8094,2921.7922,-2752.8468,6834.7438,-2927.0977,-664.9833,2765.9111,3381.7175,29607.3023,-2155.2291,14537.4795,15589.0596,14561.3867,13145.3996,8547.2366,13070.1340,26889580.3158,26912780.6981,26879916.3092,26895825.4878,12014.3522,26900123.1840,6266.1999,-5925.3124,3995.9963,3345.4138,6182.7164,-596.8182,-5429.6344,-5966.1051,-5272.2492,5743.3008,347745.2677,354668.5363,346517.2560,349938.3877,358857.3509,355332.3999,351711.9827,350680.7025,274563529.6624,274575514.9465,274589513.3026,274569523.5013,351556.7664,274576232.0093,2765.7025,-1169.0535,-5368.8985,5048.9638,-1164.2036,619.5009,2944.5934,-3498.8359,-3475.0818,-1606.1208,-117517.7165,-120350.2970,-118372.9125,-121237.5964,-114989.7783,-120612.5977,-129853.1997,-121921.4944,-112384784.9082,-112413425.6852,-112404034.7792,-112407613.2764,-120815.5015,-112396821.4728,
2400.000,1530.7288,1824.3837,522.4598,3803.5050,-1331.2560,6222.8245,-4315.0053,-1294.0851,972.3293,4380.6882,22349.7899,-9699.7904,7019.8795,7916.3042,7152.1378,5728.2003,1179.5785,5294.9241,20890752.0170,20914278.5479,20880935.2618,20897583.2087,4628.8284,20901372.7342,5456.6541,-5944.3550,4130.5431,1344.0871,6724.8104,-1756.3025,-5150.6514,-4556.9398,-4967.7140,4368.5669,348410.5452,354683.3015,346677.3892,350082.3847,359110.7807,355321.0922,351987.6926,350925.5370,275088095.6736,275100221.9525,275113439.7307,275093713.2622,351775.8153,275100786.3768,3846.9449,-2862.0234,-5493.4167,5379.2575,383.3353,2369.8547,1267.1794,-5084.1454,-4680.2374,-2956.4780,-117460.7919,-120310.4252,-118294.7672,-121344.5104,-114909.9798,-120244.4342,-129820.3182,-122146.4166,-112383071.2230,-112411230.4767,-112402548.8939,-112405850.0646,-120747.9291,-112395051.4979,
