sl_10_86400_20290323 Coordinates.csv
2029/03/23 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:41 2024,
Start: 2029/03/23 07:47:00.00, Stop: 2029/03/24 07:47:00.00,
TIME_UNITS,STARLINK-11255 [DTC] - X-Coordinate,STARLINK-6267 - X-Coordinate,STARLINK-31027 - X-Coordinate,STARLINK-30191 - X-Coordinate,STARLINK-32262 - X-Coordinate,STARLINK-2468 - X-Coordinate,STARLINK-31895 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-31020 - X-Coordinate,STARLINK-5561 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11255 [DTC] - Y-Coordinate,STARLINK-6267 - Y-Coordinate,STARLINK-31027 - Y-Coordinate,STARLINK-30191 - Y-Coordinate,STARLINK-32262 - Y-Coordinate,STARLINK-2468 - Y-Coordinate,STARLINK-31895 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-31020 - Y-Coordinate,STARLINK-5561 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11255 [DTC] - Z-Coordinate,STARLINK-6267 - Z-Coordinate,STARLINK-31027 - Z-Coordinate,STARLINK-30191 - Z-Coordinate,STARLINK-32262 - Z-Coordinate,STARLINK-2468 - Z-Coordinate,STARLINK-31895 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-31020 - Z-Coordinate,STARLINK-5561 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5048.6998,-1873.0831,-6548.4746,-737.2691,0.0000,985.0294,2414.4779,-3196.1958,328.3585,-1370.4980,320649.7961,312934.5803,325129.2229,322640.1789,315675.0035,317815.6950,324244.0260,321997.9665,35317543.5720,35323254.0009,35317434.1974,35324115.3834,322937.4517,35326983.4104,2153.5925,-5823.7015,-509.0703,5500.0463,0.0000,4019.5459,4373.6465,2662.7747,-6649.9861,326.7308,163715.7102,129774.9954,152405.8280,152533.0948,147578.6956,147405.6075,143575.2994,145575.0432,-90790571.3818,-90838044.4011,-90806392.5671,-90800351.5239,146959.3789,-90805336.8457,-3864.8280,-3265.9776,-2120.6919,4078.6545,0.0000,-5478.8017,4640.6460,5209.8452,1923.0070,6775.9434,159613.7157,156001.0594,159762.5828,159624.4414,163658.7107,155217.1730,149443.0610,157405.0043,1358056.5083,1386494.2772,1387178.7979,1375501.1242,157956.6456,1368556.5605,
3600.000,4555.6405,4383.4057,6400.4127,-2316.4271,0.0000,-5124.8868,-5946.5499,-1444.1542,2445.1018,4557.5537,268936.5517,270104.2982,279484.1700,276954.1299,268400.0946,272525.0399,276547.3679,276656.1645,57687313.8065,57702104.0047,57686794.3801,57692878.3484,275972.0076,57697323.2820,-4812.7088,5367.6552,-1119.4322,-6411.1602,0.0000,-2540.0236,-1990.0537,-5384.8041,4734.1343,3371.4021,237371.0647,204163.0521,227358.5629,226261.5720,223246.9568,223203.6087,219761.4679,224589.1341,-78488978.9930,-78539991.0872,-78512689.3205,-78508913.5196,222910.3401,-78504605.6316,-1054.8423,-194.0930,-2328.2004,-1025.3885,0.0000,3783.5368,-2695.4653,-3677.7193,-4442.8161,-3990.6651,158811.6158,155311.4090,159855.9232,156871.3119,163593.4707,158267.7458,148296.8187,157734.3406,1369399.4520,1393925.0448,1395860.4849,1381923.0890,157487.9902,1377943.4053,
7200.000,-705.1292,-5242.1903,-3374.4228,4183.8985,0.0000,6766.9776,6672.8435,4098.5742,-5200.6862,-3580.5110,200986.5845,209987.5579,216250.6861,213326.9693,203849.0933,213278.5038,211364.1161,211245.8756,76091889.4658,76117179.4727,76094872.3720,76105042.0546,211541.9527,76102875.0714,4425.2161,-2854.4086,2926.2052,4756.8036,0.0000,1009.4813,-645.9891,5069.7037,-1688.7591,-5805.0848,295464.5833,265512.1097,287929.7855,282999.2060,284661.9218,285811.4004,281412.0434,282988.1694,-60800532.7908,-60852054.2257,-60831522.7894,-60823801.6251,284722.2359,-60816666.0327,4982.5569,3514.4722,5250.9328,-2721.7027,0.0000,516.7538,-1282.7639,-1442.1695,4253.2975,-1243.5022,157975.3837,154625.5405,159300.4971,155868.8814,163091.1574,158806.3836,147772.9433,157052.6472,1381294.1329,1401205.4115,1403641.2535,1383939.2445,157005.1686,1387328.6625,
10800.000,-4369.0841,4965.4635,-623.2780,-4979.7470,0.0000,-5057.9358,-4150.4720,-4172.9829,6675.9425,473.8037,121345.8364,136349.6104,139356.0769,134168.1803,126126.1509,138025.5884,132983.6433,133642.1611,89268659.4082,89304731.0457,89278279.6554,89287120.1351,133731.1279,89280799.1961,-2614.3453,-1096.3596,-4916.2928,-945.5734,0.0000,1210.7962,3302.3678,-787.2220,-1119.9864,3918.9933,334628.5699,309903.4340,330358.2429,323710.5461,328019.2587,330179.2926,324656.2264,330281.9572,-38940571.1215,-38989153.0993,-38976576.3090,-38957183.7633,328486.1565,-38956701.2891,-4375.4850,-4717.0613,-4805.9945,4660.8972,0.0000,-4482.6932,4285.5168,5139.7381,-1504.1524,5686.1526,157107.1896,153946.2212,158115.7800,157904.2877,162163.1607,154600.9925,147859.2000,156171.8225,1393578.0174,1408368.7119,1410717.8517,1388459.5717,156508.1982,1396712.3141,
14400.000,6684.9657,-3990.4074,3471.3527,4947.2672,0.0000,1457.2695,35.6825,2999.0824,-5768.0186,979.7709,35204.8049,53818.6573,53569.3212,47094.4808,40190.9997,51886.2848,46489.9206,47884.7704,96314140.2923,96360051.6216,96332162.1191,96331195.2986,47468.8734,96327337.0466,509.2431,4780.3702,5831.4555,-3231.8349,0.0000,-4077.5386,-5463.1699,-4531.5820,3176.9071,1354.6124,352803.0499,334466.8151,351960.2592,345405.8593,350673.9122,353400.0397,346897.9370,349848.1839,-14410492.1785,-14452706.3134,-14448164.2181,-14418884.5178,351436.3451,-14426087.8600,-261.1399,3037.3895,1241.0526,-3553.4660,0.0000,5314.3736,-4092.6632,-3883.2095,-2179.0577,-6729.7353,156210.7900,153276.8041,156486.1049,159439.6211,160798.4557,150998.2706,148577.7791,156637.7549,1406063.2618,1415442.5199,1417258.7950,1396924.6395,155997.0979,1406094.3419,
18000.000,-4404.7098,2294.9293,-4401.3645,-3729.4729,0.0000,1723.0355,3422.8357,-1000.1513,2600.1385,722.9457,-51966.2861,-32399.0594,-35742.4053,-42436.3137,-48436.8754,-37882.1999,-42606.7611,-42511.3242,96745883.7371,96799553.6193,96772427.0226,96757149.6461,-41781.9745,96759790.2854,2012.2880,-6523.1013,-4309.0497,5795.4233,0.0000,6164.6808,5845.7811,6498.4882,-4559.0917,-5821.5193,349358.7225,337564.1444,351303.7358,345355.1515,351334.4532,353953.4178,346990.9395,353546.5508,11105364.9391,11072488.1515,11069737.9477,11101564.7409,352124.7949,11090717.8202,4632.9440,469.2407,3102.6759,92.8873,0.0000,-2478.7248,822.8778,-1159.9181,4519.9691,3683.7297,155293.8211,152621.4890,154711.2671,160310.7310,158962.4340,148322.1648,149989.2315,154590.3410,1418548.8773,1422450.0385,1423409.8204,1408161.0861,155471.8875,1415474.7281,
21600.000,-305.5066,409.4267,4198.5096,990.4343,0.0000,-3399.4168,-4996.7804,-2110.7669,1402.2073,-3242.3144,-134808.8250,-116841.8572,-122915.6674,-128959.1149,-133942.8649,-124992.1953,-128794.6748,-127559.7029,90535475.6598,90593923.3831,90569068.3479,90540352.4670,-128370.7259,90549585.6897,-4694.8462,5844.5582,408.4462,-5902.4715,0.0000,-5580.7041,-3500.4334,-3801.4248,5387.0401,5922.6675,325148.8021,318897.0342,328342.6312,323247.3121,330191.4549,331833.3369,325388.9440,329445.4365,35855353.0339,35833952.5242,35825115.9260,35850976.2537,330512.4978,35841842.8984,-4789.2315,-3711.9649,-5464.7317,3409.3756,0.0000,-2103.8361,3049.0892,5054.3574,-4139.1564,1550.5519,154374.8922,151985.7255,153126.1850,160634.7090,156599.5458,146418.8220,152193.9734,156086.7750,1430833.7445,1429411.1312,1429300.2837,1421116.7331,154932.5884,1424853.4545,
25200.000,3812.6224,-3684.3578,-3720.9235,2796.2644,0.0000,3989.2140,4915.6263,5240.8109,-4482.6905,2981.6782,-208524.3929,-194133.2737,-202354.1275,-207120.5938,-210170.8389,-203669.6447,-207094.7581,-207750.9287,78110380.0649,78170079.6935,78148296.4127,78111845.6777,-206816.2732,78124160.6459,5493.3292,-3532.7622,3916.6528,4214.6530,0.0000,2009.3917,-900.5155,-722.0917,-5142.7487,-2134.3755,282557.4328,279531.0638,284477.2405,280398.1164,288939.7390,288560.2416,284524.1963,288787.7548,58140729.7433,58131862.3160,58118242.2785,58131621.5201,287971.6010,58128270.1736,538.3303,4680.0648,4284.4354,-4687.5639,0.0000,5199.9415,-4650.6554,-4077.1407,1231.4720,-5886.1850,153513.9235,151376.8737,152011.1483,160484.5548,153761.8350,145188.0541,155159.8749,153051.5676,1442729.6374,1436343.1002,1435049.2602,1434898.7544,154379.2231,1434230.5032,
28800.000,-4524.3928,6273.8047,2859.4771,-5981.6912,0.0000,-4251.2405,-3696.3757,-5514.3360,5647.9716,976.7088,-270024.4020,-259320.0982,-268927.3667,-272060.5416,-270437.1354,-268842.4154,-273250.6457,-271417.3602,60324513.9656,60381805.7194,60363320.8458,60327969.5069,-272153.7327,60337545.0448,-2642.2896,872.9630,-6270.1047,-1853.1336,0.0000,2626.7832,5025.8311,3660.5447,3217.3659,-1702.1018,225884.7986,221834.1212,222502.3871,219505.5969,228990.5623,227034.5995,228931.3988,226657.5288,76432209.2736,76435749.5984,76418434.7813,76417299.8505,227198.3556,76420461.8561,4180.2854,-2821.8548,-359.5179,2870.6286,0.0000,-4707.7659,2759.1968,-874.2840,2401.6416,6637.2229,153059.0061,150805.3632,151516.7074,159897.4699,152676.1653,144579.7638,155612.3027,155337.5595,1454073.4122,1443261.2828,1440771.1960,1448444.1745,153811.8153,1443605.8562,
