sl_20_5400_20290428 Coordinates.csv
2029/04/28 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:04 2024,
Start: 2029/04/28 07:47:00.00, Stop: 2029/04/28 09:17:00.00,
TIME_UNITS,STARLINK-3915 - X-Coordinate,STARLINK-5589 - X-Coordinate,STARLINK-5209 - X-Coordinate,STARLINK-5330 - X-Coordinate,STARLINK-2612 - X-Coordinate,STARLINK-5827 - X-Coordinate,STARLINK-11234 [DTC] - X-Coordinate,STARLINK-3284 - X-Coordinate,STARLINK-11143 [DTC] - X-Coordinate,STARLINK-30823 - X-Coordinate,STARLINK-2520 - X-Coordinate,STARLINK-5316 - X-Coordinate,STARLINK-4383 - X-Coordinate,STARLINK-5527 - X-Coordinate,STARLINK-30102 - X-Coordinate,STARLINK-5274 - X-Coordinate,STARLINK-5091 - X-Coordinate,STARLINK-6235 - X-Coordinate,STARLINK-6328 - X-Coordinate,STARLINK-30198 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3915 - Y-Coordinate,STARLINK-5589 - Y-Coordinate,STARLINK-5209 - Y-Coordinate,STARLINK-5330 - Y-Coordinate,STARLINK-2612 - Y-Coordinate,STARLINK-5827 - Y-Coordinate,STARLINK-11234 [DTC] - Y-Coordinate,STARLINK-3284 - Y-Coordinate,STARLINK-11143 [DTC] - Y-Coordinate,STARLINK-30823 - Y-Coordinate,STARLINK-2520 - Y-Coordinate,STARLINK-5316 - Y-Coordinate,STARLINK-4383 - Y-Coordinate,STARLINK-5527 - Y-Coordinate,STARLINK-30102 - Y-Coordinate,STARLINK-5274 - Y-Coordinate,STARLINK-5091 - Y-Coordinate,STARLINK-6235 - Y-Coordinate,STARLINK-6328 - Y-Coordinate,STARLINK-30198 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3915 - Z-Coordinate,STARLINK-5589 - Z-Coordinate,STARLINK-5209 - Z-Coordinate,STARLINK-5330 - Z-Coordinate,STARLINK-2612 - Z-Coordinate,STARLINK-5827 - Z-Coordinate,STARLINK-11234 [DTC] - Z-Coordinate,STARLINK-3284 - Z-Coordinate,STARLINK-11143 [DTC] - Z-Coordinate,STARLINK-30823 - Z-Coordinate,STARLINK-2520 - Z-Coordinate,STARLINK-5316 - Z-Coordinate,STARLINK-4383 - Z-Coordinate,STARLINK-5527 - Z-Coordinate,STARLINK-30102 - Z-Coordinate,STARLINK-5274 - Z-Coordinate,STARLINK-5091 - Z-Coordinate,STARLINK-6235 - Z-Coordinate,STARLINK-6328 - Z-Coordinate,STARLINK-30198 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-382.3794,-4899.2679,4607.7295,-5381.0799,1842.0725,6216.3115,-3984.5874,-3956.5664,6395.9436,5415.8660,5072.2885,2703.8840,619.0332,-1660.1985,2801.3050,-3675.6389,4167.2188,-3234.6377,-765.6602,5924.9832,164774.9009,170142.3508,172065.8140,169765.9695,166886.4782,168809.2284,176217.5984,173660.1208,100340402.4202,100355650.6313,100345754.3340,100351632.0557,173203.8315,100352289.4717,4300.3170,-1438.6338,-3293.3380,2605.7111,6308.5904,2920.5880,-5261.6443,-5262.5482,-2050.5235,3878.2657,3376.5190,1263.5628,-3124.9628,2159.6387,-4267.6297,5729.1367,5002.4629,4682.5383,-6876.9139,2529.3410,-291242.9442,-293037.9915,-287946.8023,-289335.9391,-297383.8327,-296314.8932,-295700.6539,-292813.0250,-42884793.7957,-42919798.9942,-42915973.2895,-42907727.0900,-293683.0106,-42900476.1546,5377.6137,-4639.3693,3916.4032,-3503.4037,1575.9118,808.4793,-924.8951,2063.9334,-461.3364,1784.6035,-3228.8008,6248.0694,6142.8678,-6385.6842,4672.8912,1249.2569,2289.3562,3954.6422,223.7092,2553.6399,-110406.8897,-110771.9822,-108008.0141,-108336.3402,-104188.5355,-112509.9028,-118426.2452,-111393.1240,7095311.3208,7068100.6999,7117210.5680,7102169.7560,-109886.8192,7100801.5117,
300.000,1735.5594,-5055.2507,2781.0877,-5720.5180,2846.2096,6712.9751,-4605.1627,-5079.5499,5560.0530,5753.3629,4968.5983,4418.4027,872.7047,-730.4144,801.7203,-2738.7028,5488.7066,-1204.7255,-2216.0712,5815.4834,170978.5158,176545.0529,178300.1608,176002.0877,172970.6639,174976.0254,182255.6166,179796.6536,101257438.7208,101273078.3598,101263288.6622,101269402.7425,179305.0999,101269421.6012,3790.5052,715.6135,-3872.9303,3590.8270,5217.5437,1495.6528,-4017.7205,-4664.4676,-3068.2532,2193.7923,1609.6138,204.1929,-949.1930,4012.0843,-5077.5890,5462.1485,4103.6275,5061.2316,-6427.5612,703.9806,-287899.9886,-289040.9197,-284228.8314,-285682.9400,-293702.4128,-292591.9571,-291992.0996,-289552.2343,-40679691.7469,-40714366.2605,-40711345.8039,-40702829.9683,-289968.1490,-40695381.7609,5493.4251,-4639.8908,4965.7864,-1546.1274,3212.3515,-738.9876,-2662.2278,288.2938,-2240.3015,3101.3131,-4504.3468,5328.6044,6797.8682,-5619.1188,4633.7578,3243.9347,830.8226,4576.8525,-1312.5360,3699.5468,-110530.3785,-110718.3986,-108035.9327,-108605.9610,-104233.7271,-112332.7975,-118599.0265,-111648.7783,7095703.8090,7068251.8095,7117201.6848,7101693.8451,-109980.0030,7100958.7696,
600.000,3696.0061,-4759.8481,671.4285,-5485.2338,3583.9344,6556.4168,-4740.1982,-5691.3616,4117.2737,5548.2519,4411.0216,5708.5585,936.0160,203.6752,-1257.7936,-1485.5554,6266.8920,946.3709,-3463.3412,5169.1786,177120.4635,182899.3559,184456.2098,182168.1258,178977.0856,181071.5606,188214.1330,185836.6642,102126026.2725,102142044.4883,102132393.7783,102138732.0370,185326.7230,102138105.5500,2962.0104,2795.8833,-4119.3835,4191.1077,3566.2497,-82.0428,-2310.3208,-3601.5450,-3780.1082,275.2469,-345.2349,-811.1194,1334.4556,5482.1531,-5434.9959,4659.1277,2808.6320,4993.7238,-5351.1135,-1212.8236,-284425.9317,-284918.2350,-280386.5153,-281905.9881,-289894.7838,-288733.8913,-288159.5052,-286195.1499,-38455000.0865,-38489335.2346,-38487109.8510,-38478246.5576,-286126.6126,-38470693.9637,5013.9386,-4137.5967,5473.8636,576.9580,4477.9160,-2206.7859,-4079.4630,-1518.6641,-3757.7980,4080.7159,-5291.2496,3838.7105,6725.0268,-4255.8233,4097.1278,4889.4047,-717.8502,4709.4350,-2707.7251,4449.1290,-110653.3983,-110652.7618,-108067.4663,-108878.9771,-104281.9525,-112149.6427,-118767.0418,-111776.5542,7096098.5697,7068405.1143,7117187.9272,7101211.0530,-110073.1005,7101115.9240,
900.000,5300.1290,-4036.7675,-1507.8094,-4682.0176,3991.5227,5767.7658,-4390.9075,-5745.0909,2221.1090,4829.1034,3464.2628,6432.6761,803.0263,1063.6962,-3178.2863,-28.9469,6433.2119,3009.4758,-4399.9344,4055.0407,183198.2887,189208.1856,190531.2419,188262.1016,184903.0786,187093.7584,194090.6646,191776.0657,102945746.9452,102962130.6305,102952650.7739,102959192.2156,191266.0726,102957923.0243,1892.6848,4597.2930,-4013.9279,4367.1826,1531.2487,-1671.6815,-322.7108,-2165.3807,-4127.5661,-1693.2533,-2295.8841,-1696.0086,3474.7069,6412.2651,-5299.8399,3417.6280,1231.8937,4487.9486,-3751.9006,-3039.1751,-280821.6954,-280679.9855,-276421.5051,-278007.3132,-285962.6027,-284741.3864,-284204.5858,-282707.3026,-36211783.1708,-36245770.6862,-36244329.0861,-36235042.7485,-282160.1083,-36227477.0984,3990.9983,-3186.6068,5385.5098,2638.0683,5226.7785,-3436.8927,-5007.0904,-3161.0194,-4837.4942,4616.4371,-5504.8546,1937.4117,5932.2482,-2439.8131,3120.4873,6008.8877,-2188.7253,4338.2390,-3812.2376,4722.2481,-110775.8990,-110575.1481,-108102.7320,-109155.2381,-104333.1845,-111960.6063,-118930.3277,-111771.8101,7096495.4955,7068560.6401,7117169.3972,7100727.2798,-110166.1115,7101272.9747,
1200.000,6383.4628,-2947.2829,-3535.9935,-3377.9950,4034.5048,4429.5471,-3607.2532,-5249.4196,74.9853,3671.7053,2225.9030,6506.0633,499.2615,1784.4958,-4776.2765,1491.6502,5979.7227,4783.5289,-4946.0450,2583.8108,189209.5672,195472.9623,196522.5704,194282.1238,190746.0168,193040.6532,199882.7623,197610.6716,103716205.9887,103732941.7926,103723664.0972,103730379.5418,197120.5568,103728479.1092,678.3552,5942.6031,-3566.2079,4123.6169,-669.3198,-3129.2945,1728.1483,-486.7340,-4086.6163,-3520.0357,-4047.3997,-2382.8101,5235.7767,6698.2510,-4676.2277,1876.3889,-483.6486,3589.2732,-1785.5806,-4598.9328,-277088.2211,-276339.6220,-272335.5071,-273989.3090,-281907.5801,-280615.0823,-280129.1031,-279053.7386,-33951114.2728,-33984746.3109,-33984076.1137,-33974294.8557,-278070.3976,-33966804.4236,2535.3021,-1889.6470,4710.3724,4415.8804,5372.8304,-4297.2663,-5334.6692,-4461.2709,-5354.5322,4650.3636,-5122.2398,-171.6672,4504.0616,-363.8138,1808.6001,6482.3787,-3422.6126,3502.8643,-4507.9922,4489.7263,-110897.8247,-110486.9578,-108141.8397,-109434.5344,-104387.3973,-111765.9389,-119088.9186,-111640.4730,7096894.4780,7068718.4128,7117146.1957,7100247.9799,-110259.0361,7101429.9219,
1500.000,6833.2200,-1585.6060,-5207.6877,-1695.0593,3710.0892,2676.5437,-2480.6012,-4265.7179,-2089.8623,2190.8558,816.3873,5911.4808,77.8286,2318.5678,-5901.5022,2923.4351,4958.6295,6095.2896,-5055.8781,896.8687,195151.9079,201691.2440,202427.5420,200226.3946,196503.3134,198910.4041,205588.0113,203336.4728,104437032.2230,104454106.5632,104445061.7443,104451914.6305,202887.6219,104449402.4597,-575.4965,6699.8787,-2813.4336,3505.8803,-2799.3747,-4320.6106,3615.2070,1276.5641,-3668.3315,-5024.5678,-5421.2111,-2827.3215,6423.5561,6301.7707,-3613.2071,199.4654,-2179.5524,2376.5934,356.3670,-5738.6908,-273226.4655,-271913.4278,-268130.2825,-269854.5554,-277731.4803,-276355.5555,-275934.8654,-275202.2168,-31674075.0679,-31707344.2159,-31707431.9741,-31697088.8486,-273859.2957,-31689757.6080,804.6218,-387.2708,3521.8402,5719.7497,4899.2978,-4695.8406,-5023.3220,-5279.4657,-5249.3687,4178.8159,-4184.5042,-2262.3732,2593.0398,1750.9787,302.3717,6259.0982,-4286.3686,2292.5452,-4720.8217,3776.3856,-111019.1119,-110391.6151,-108184.8918,-109716.5788,-104444.5666,-111566.0002,-119242.8469,-111399.0708,7097295.4076,7068878.4589,7117118.4223,7099778.0569,-110351.8741,7101586.7655,
1800.000,6600.5656,-71.2346,-6353.6886,201.9181,3047.2007,681.9029,-1133.0419,-2900.0819,-4039.0626,528.9351,-632.3732,4702.0542,-388.4741,2638.3422,-6451.3256,4115.5738,3475.8475,6816.5548,-4721.0363,-847.3179,201022.9540,207854.2638,208243.5386,206093.2088,202172.4217,204701.3117,211204.0330,208950.0122,105107878.2164,105125277.2928,105116495.4396,105123442.7380,208564.7525,105120345.4788,-1762.6414,6795.8862,-1817.6487,2593.0674,-4630.2501,-5133.1055,5126.0327,2954.4666,-2916.6571,-6055.3390,-6273.2077,-3010.6972,6907.6713,5255.7368,-2201.3739,-1441.3243,-3696.4451,955.6967,2465.3367,-6342.9763,-269237.3946,-267417.8345,-263807.6468,-265605.8460,-273436.1198,-271963.3045,-271623.7264,-271126.4053,-29381755.1172,-29414654.4022,-29415485.6271,-29404519.5635,-269528.6706,-29397426.2126,-1013.3258,1157.2318,1949.2861,6410.1816,3860.5919,-4590.0643,-4110.0291,-5527.8457,-4534.1808,3252.9371,-2792.6419,-4110.9097,403.8837,3678.7960,-1236.3538,5362.6950,-4687.0817,836.7576,-4428.0797,2658.4706,-111139.6887,-110294.8553,-108231.9830,-110000.9821,-104504.6699,-111361.2953,-119392.1427,-111073.6536,7097698.1741,7069040.8052,7117086.1750,7099321.8049,-110444.6255,7101743.5055,
2100.000,5706.1619,1461.2536,-6858.6351,2121.5583,2104.2033,-1359.9523,295.4701,-1291.6311,-5560.1011,-1157.7082,-1988.9959,2996.0915,-818.0722,2736.2031,-6380.1840,4935.1345,1679.6632,6877.0875,-3970.9916,-2488.0242,206820.3847,213946.4329,213967.9782,211880.9481,207750.8362,210411.8367,216728.4853,214448.7945,105728420.4531,105746130.2607,105737640.8040,105744633.9823,214149.4736,105740984.4857,-2784.8535,6223.5640,-661.1203,1487.6952,-5965.3771,-5486.3555,6086.4749,4380.8657,-1903.9196,-6505.3297,-6509.1924,-2938.4213,6636.5740,3661.6827,-565.3355,-2883.9632,-4888.7627,-549.7157,4335.7247,-6346.2517,-265121.9768,-262864.7637,-259369.4691,-261246.2217,-269023.3669,-267438.7364,-267197.5853,-266808.6254,-27075251.3453,-27107774.2428,-27109333.4308,-27097689.9196,-265080.4423,-27090907.1695,-2721.5452,2575.6988,164.1409,6413.3915,2376.2777,-3991.2330,-2703.5307,-5179.7769,-3291.5306,1973.2695,-1097.1861,-5520.2743,-1828.6146,5213.9222,-2642.4013,3888.9540,-4581.7474,-708.6278,-3660.9326,1255.6469,-111259.4733,-110203.9139,-108283.2002,-110287.2211,-104567.6856,-111152.5220,-119536.8344,-110697.6094,7098102.6662,7069205.4789,7117049.5510,7098882.8883,-110537.2902,7101900.1419,
2400.000,4238.1341,2874.0591,-6673.1136,3865.3299,964.2990,-3252.0555,1661.1799,401.5574,-6485.5001,-2713.4187,-3134.3438,964.6865,-1133.0071,2622.4719,-5703.0444,5282.2239,-254.1284,6271.7022,-2870.6984,-3877.1119,212541.9163,219948.4564,219598.3165,217588.0680,213236.0934,216040.6203,222159.0637,219831.6569,106298359.4888,106316365.8319,106308197.5124,106315183.5048,219639.3507,106311019.8717,-3559.6639,5042.5404,560.0091,304.0618,-6661.8583,-5339.9663,6381.0808,5409.7357,-724.3812,-6323.4977,-6095.9214,-2636.8275,5643.3282,1679.3789,1147.3051,-3992.3401,-5638.4439,-2008.6593,5784.8171,-5740.3664,-260881.1753,-258257.6702,-254817.6714,-256779.0105,-264495.1404,-262782.1557,-262658.3855,-262241.7162,-24755667.5161,-24787807.9576,-24790078.6172,-24777710.1547,-260516.5823,-24771304.2569,-4135.4524,3713.6462,-1638.9246,5728.8454,617.5690,-2963.3405,-972.0265,-4272.4337,-1665.3606,478.9498,717.7154,-6341.1531,-3865.3360,6192.8860,-3765.1905,1996.0492,-3981.6691,-2178.2090,-2501.1967,-281.7584,-111378.3720,-110125.5958,-108338.6222,-110574.5957,-104633.5939,-110940.6345,-119676.9482,-110308.5986,7098508.7717,7069372.5077,7117008.6459,7098464.3552,-110629.8681,7102056.6747,
