sl_5_5400_20291122 Coordinates.csv
2029/11/22 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:21 2024,
Start: 2029/11/22 07:47:00.00, Stop: 2029/11/22 09:17:00.00,
TIME_UNITS,STARLINK-5988 - X-Coordinate,STARLINK-11113 [DTC] - X-Coordinate,STARLINK-30903 - X-Coordinate,STARLINK-11117 [DTC] - X-Coordinate,STARLINK-5684 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5988 - Y-Coordinate,STARLINK-11113 [DTC] - Y-Coordinate,STARLINK-30903 - Y-Coordinate,STARLINK-11117 [DTC] - Y-Coordinate,STARLINK-5684 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5988 - Z-Coordinate,STARLINK-11113 [DTC] - Z-Coordinate,STARLINK-30903 - Z-Coordinate,STARLINK-11117 [DTC] - Z-Coordinate,STARLINK-5684 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-1441.2711,-6636.2147,-6396.8152,252.2826,5469.5215,107663.8881,99498.3620,110192.3031,112674.8253,112520.4106,110715.9550,104482.8485,107413.1499,76427393.4020,76410769.5706,76429267.9062,76423320.1262,108056.6471,76423572.2851,-1950.9473,-693.7476,-1218.7173,-6417.0203,-1498.6501,-359105.1440,-350730.6489,-358702.4222,-355908.5465,-347357.2623,-349175.9622,-352602.0292,-353705.4468,252232385.0959,252221198.9033,252201851.2986,252204543.2369,-353386.3122,252215308.2445,-6508.1885,691.1340,2051.2887,1847.2181,-3985.4936,162335.6186,161929.4884,162774.5064,161429.6958,166229.4586,158649.4002,151896.8837,158930.5512,-117527688.1392,-117493739.4960,-117518830.3826,-117524268.7131,160559.3256,-117517144.8579,
300.000,483.9038,-6588.5446,-6799.0923,-1015.0753,4164.3489,115415.9240,106717.7749,117478.7137,119915.0121,119942.5878,118075.7269,111950.9027,114530.7950,70905471.7396,70888400.9524,70907844.4196,70901960.5400,115478.5979,70901644.7834,-789.7999,542.7487,313.7776,-6607.0857,-3102.2816,-356980.0258,-348364.7338,-356370.0067,-353542.6708,-344948.4345,-346880.4821,-350198.0542,-350982.1075,253842477.5335,253831344.0858,253812192.2006,253814618.6048,-351019.7628,253825484.3310,-6884.2599,-1149.8507,558.7546,31.0439,-4591.9887,162416.1925,161920.6077,162826.0177,161262.9061,166270.6232,158938.2730,151837.6298,159049.6112,-117527360.8391,-117493290.5330,-117517832.8859,-117523478.5112,160566.9241,-117516685.3510,
600.000,2303.8212,-5821.4394,-6511.2318,-2169.7281,2481.6715,123126.3660,113886.3464,124711.9748,127091.2934,127310.9695,125380.0085,119365.6773,121653.3843,65349676.4632,65332152.8257,65352531.1362,65346726.7093,122848.7936,65345839.9233,536.2886,1733.4703,1808.8794,-6066.4675,-4442.1121,-354676.4423,-345852.0492,-353880.1053,-351022.2393,-342384.0898,-344443.3803,-347636.3112,-348117.8138,255331689.8041,255320590.6856,255301683.6606,255303852.6133,-348497.3935,255314779.4647,-6531.8346,-2855.1520,-996.3806,-1788.8714,-4707.7997,162493.3183,161910.8844,162873.1397,161093.7888,166308.7179,159232.3060,151782.8508,159284.6551,-117527028.4358,-117492845.6235,-117516833.7243,-117522675.6118,160574.4344,-117516225.5681,
900.000,3823.1382,-4421.5949,-5561.2121,-3105.7861,585.7523,130790.5596,121000.9261,131888.9392,134199.3749,134622.3327,132625.4055,126723.7907,128796.1870,59762653.4340,59744671.6799,59765972.2444,59760261.9773,130163.9642,59758803.6039,1879.0404,2768.7479,3130.0251,-4852.9698,-5388.9745,-352195.9965,-343193.5966,-351233.8603,-348347.9734,-339665.4037,-341867.2525,-344917.9951,-345136.3463,256699310.3812,256688226.9420,256669613.2427,256671534.2075,-345820.3346,256682481.9580,-5487.9634,-4224.0570,-2440.0334,-3395.5220,-4320.6550,162567.2360,161900.3711,162915.7969,160922.7200,166343.7687,159531.0782,151732.5147,159616.7436,-117526690.8718,-117492404.6750,-117515833.5516,-117521860.3653,160581.8564,-117515765.5092,
1200.000,4884.2255,-2544.9437,-4045.1657,-3739.5827,-1341.5624,138403.9993,128058.3962,139006.4862,141234.8738,141873.4785,139808.5046,134021.8920,135969.3582,54147063.4332,54128618.9313,54150826.9154,54145224.5331,137420.8643,54143196.6508,3080.3737,3552.2991,4157.6710,-3099.9911,-5847.4448,-349540.3400,-340390.4489,-348432.4794,-345520.5258,-336793.6212,-339154.9303,-342044.3740,-342057.3239,257944685.6440,257933599.0216,257915326.3076,257917010.1193,-342989.7850,257927938.0311,-3862.2757,-5096.1962,-3610.9789,-4598.0698,-3471.6711,162638.1595,161889.1161,162953.9222,160750.1935,166375.8001,159834.0059,151686.5917,160020.3503,-117526348.0917,-117491967.5967,-117514833.0206,-117521033.1493,160589.1901,-117515305.1742,
1500.000,5383.7128,-398.5417,-2117.1501,-4016.3572,-3118.0225,145962.3091,135055.6714,146061.5233,148193.3145,149061.2335,146925.8626,141256.6617,143177.1659,48505580.8945,48486669.6560,48509768.0429,48504286.1453,144616.2747,48501693.5492,3990.7863,4009.5328,4799.7532,-1001.0369,-5765.5420,-346711.1739,-337443.7492,-345477.2356,-342540.4427,-333770.0567,-336309.4983,-339016.7890,-338895.3672,259067220.1899,259056111.3305,259038226.3302,259039685.1733,-340007.0117,259050552.1246,-1826.2701,-5369.8740,-4378.8736,-5254.3606,-2251.1925,162706.2806,161877.1634,162987.4571,160576.8563,166404.8353,160140.2898,151645.0540,160465.5338,-117526000.0422,-117491534.3002,-117513832.7804,-117520194.3731,160596.4356,-117514844.5631,
1800.000,5283.1545,1782.4685,26.9406,-3914.0623,-4578.0880,153461.2284,141989.6999,153050.9872,155070.1316,156182.4514,153973.9932,148424.8138,150417.6107,42840892.6305,42821511.3148,42845480.9766,42840130.8911,151747.0034,42836981.1697,4487.9487,4094.0305,4999.3865,1212.1233,-5140.9122,-343710.2511,-334354.7097,-342369.4659,-339408.1150,-330596.0925,-333334.3091,-335836.6525,-335659.7477,260066377.1194,260055226.7994,260037775.1892,260039022.5653,-336873.3491,260049787.1840,404.1190,-5013.3008,-4658.5097,-5287.1331,-789.5058,162771.7711,161864.5537,163016.3513,160403.5555,166430.8961,160448.8436,151607.8755,160920.1491,-117525646.6725,-117491104.6991,-117512833.4737,-117519344.4807,160603.5928,-117514383.6761,
2100.000,4612.2583,3760.2825,2169.3709,-3444.4500,-5588.4735,160896.6004,148857.4632,159971.8448,161860.6848,163234.0148,160949.3512,155523.0968,157682.3806,37155696.5531,37135842.4733,37160662.2489,37155453.8777,158809.8877,37151757.4890,4493.0695,3791.9901,4739.3833,3294.9147,-4022.5949,-340539.3775,-331124.6104,-339110.5708,-336123.7174,-327273.1788,-330232.9900,-332505.4482,-332354.4238,260941678.2920,260930467.1396,260913493.4300,260914544.1112,-333590.1985,260925164.9172,2591.3883,-4068.0147,-4418.9194,-4692.5593,756.8607,162834.7864,161851.3239,163040.5636,160231.4000,166454.0028,160758.1992,151575.0324,161351.9664,-117525287.9340,-117490678.7088,-117511835.7344,-117518483.9558,160610.6617,-117513922.5129,
2400.000,3463.9244,5319.9960,4092.4572,-2651.7207,-6060.5354,168264.3628,155655.9774,166821.0944,168560.2948,170212.8365,167848.3154,162548.2952,164957.0916,31452700.3888,31432371.5166,31458018.2957,31452959.9603,165801.7950,31448730.3047,3982.5143,3124.4141,4043.5045,5016.5376,-2507.7761,-337200.4141,-327754.7986,-335702.0139,-332687.1334,-323802.8327,-327009.4335,-329024.7296,-328978.3632,261692704.5554,261681413.0724,261664960.4999,261665830.4684,-330159.0277,261676266.0227,4502.2786,-2644.3526,-3686.6337,-3540.6509,2221.9402,162895.4665,161837.5086,163060.0613,160061.8405,166474.1747,161066.3811,151546.5024,161730.6348,-117524923.7804,-117490256.2467,-117510840.1847,-117517613.3268,160617.6423,-117513461.0737,
