sl_5_86400_20290609 Coordinates.csv
2029/06/09 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:27 2024,
Start: 2029/06/09 07:47:00.00, Stop: 2029/06/10 07:47:00.00,
TIME_UNITS,STARLINK-5303 - X-Coordinate,STARLINK-4745 - X-Coordinate,STARLINK-31721 - X-Coordinate,STARLINK-11210 [DTC] - X-Coordinate,STARLINK-11078 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5303 - Y-Coordinate,STARLINK-4745 - Y-Coordinate,STARLINK-31721 - Y-Coordinate,STARLINK-11210 [DTC] - Y-Coordinate,STARLINK-11078 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5303 - Z-Coordinate,STARLINK-4745 - Z-Coordinate,STARLINK-31721 - Z-Coordinate,STARLINK-11210 [DTC] - Z-Coordinate,STARLINK-11078 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-293.0873,-4114.6734,-747.9517,-2002.4412,6410.0897,-349507.9026,-315824.1752,-336153.6262,-337114.0842,-334084.1151,-333244.1777,-328113.1984,-332830.1470,146227672.6444,146277844.4386,146245178.2994,146252311.0172,-331717.1282,146245621.5535,5451.9991,104.3366,-6583.3361,-4841.5170,-68.4278,183849.3645,168839.1215,182018.1986,179271.4039,171283.8547,173378.7113,178669.2972,178744.1518,34607969.3093,34599468.0498,34600624.3233,34612747.4048,178245.9606,34610959.4806,4286.2070,5489.6013,1581.4134,-4216.1170,2080.2082,144165.9142,140711.8855,143146.6871,142604.0596,146893.8271,138713.5762,132625.3488,142557.2701,-235149.8626,-208879.7871,-207185.1005,-234080.2529,141193.0282,-225861.3692,
3600.000,-1687.2362,4076.1378,3487.5681,4357.7498,-3115.2070,-384080.4283,-347336.0727,-368511.1897,-368177.2671,-367594.9675,-366478.3404,-362193.1313,-364127.4411,132289175.6644,132344748.0930,132314388.2788,132309483.6750,-365445.2687,132308059.7220,-1731.3757,-4318.3721,3849.9348,102.9041,2809.6699,89300.0113,83405.5072,94045.2726,91095.8507,81955.2942,86270.3224,89063.3384,88948.7758,71366687.8678,71366760.1112,71357711.8121,71377794.5314,89301.9964,71370212.7605,-6517.6502,-3461.3146,-4415.6701,5107.3405,-5282.4470,144683.5492,141144.6711,144336.7081,141099.2437,147964.2953,142971.0885,132731.2728,140810.2264,-250314.6372,-228414.5524,-225566.7689,-253207.7776,141922.0574,-243361.3597,
7200.000,4650.2160,-3049.4408,-5595.3360,-5353.4981,-1315.8722,-393406.4065,-356392.6180,-377318.9035,-373354.6520,-377558.6878,-376452.2835,-372509.7525,-377354.8181,109289131.0779,109347312.8323,109322094.6081,109302621.7522,-375788.4030,109308621.3950,-1572.8576,6080.3489,326.4655,3800.8971,-5333.5582,-10716.8272,-6963.0091,359.6765,-3969.4171,-12723.9138,-2853.2177,-6145.2358,-5042.8474,103263070.8964,103273669.3074,103256360.4399,103275878.8531,-5155.7869,103267558.4293,4902.0770,-964.1618,3865.1545,-1443.5089,3901.6617,145163.6213,141573.2676,144868.3180,141714.5503,148607.4563,144203.1689,133458.5727,143576.3703,-265050.5251,-248103.2413,-244822.2829,-269555.4008,142639.7961,-260882.7727,
10800.000,-6358.5677,284.5187,5749.2196,3095.5737,3946.1217,-377004.1439,-342528.1236,-362147.1615,-357305.0747,-363468.5380,-362826.8724,-358458.5289,-360492.3840,78796153.1687,78853550.6358,78835190.1150,78804211.4130,-362138.5789,78815751.9257,2766.0014,-4992.5627,-3637.8394,-4809.6389,5401.2536,-109535.2313,-96516.9167,-93120.1454,-99893.7031,-106664.8643,-94461.3892,-100715.1747,-98900.8320,128111777.7542,128133793.5072,128110749.8304,128121632.7915,-99090.1146,128117437.4406,-451.8223,4700.5707,-383.7333,-3536.5535,833.4743,145607.5830,141999.6177,144791.3335,144970.6938,148834.4851,141167.0227,134797.2873,142742.8131,-279537.9234,-267915.1936,-264765.3152,-283933.1627,143346.1787,-278425.6086,
14400.000,4882.3567,3636.4565,-3055.2658,1844.4977,-4297.1396,-336132.3591,-306716.0281,-324028.1086,-319609.3671,-326366.2982,-326311.5507,-321104.0859,-327099.9081,42892415.3286,42945454.0716,42934574.7510,42899265.5302,-325419.3354,42911585.9924,-2428.3593,2557.4926,5050.6889,3649.3134,-1829.2383,-200613.9582,-179583.1214,-180534.9551,-188369.1817,-193814.3156,-181779.7562,-188477.5028,-187091.9708,144208478.4404,144241589.5211,144215407.8439,144212939.8234,-186511.4274,144215246.4056,-4307.6183,-5243.0157,-3410.3901,5325.3330,-4867.4754,146016.7002,142425.5225,144315.6305,147629.5998,148634.7344,138854.6908,136771.8087,144445.5686,-293974.7090,-287824.8660,-285235.6725,-297095.6106,144041.1407,-295989.8677,
18000.000,-693.4343,-6504.9046,-1502.2081,-6010.8988,3488.5003,-273692.5451,-251302.2047,-265382.3225,-261562.4129,-268794.4904,-268862.5460,-263132.5471,-266490.8265,4031465.3091,4076834.2618,4073167.9263,4042385.8068,-268022.9270,4049772.9958,2312.9252,-327.1878,-4802.5995,-1865.4183,-3369.0574,-277984.6345,-250918.1355,-256399.2292,-264153.5190,-268514.1894,-257665.3136,-263771.6010,-260971.9782,150446708.5281,150489396.2484,150462344.3622,150447125.4208,-261859.6224,150454264.1731,6501.7725,2173.7995,4584.1280,-2364.2429,4675.7917,146392.1512,142852.7575,143754.8802,149631.6384,147975.1810,137459.5050,139445.1054,144704.7326,-308563.4243,-307810.6085,-306093.6697,-310041.5768,144724.6180,-313575.5504,
21600.000,-3644.8000,6303.1752,5422.0924,6130.6738,-2066.9947,-194018.3393,-179853.3263,-189899.7541,-186681.8094,-194656.4733,-194092.6362,-188780.3924,-194972.3519,-35129428.4459,-35094376.9966,-35091679.3411,-35111187.0650,-193654.1059,-35112203.2474,-3284.0712,-1366.0223,3445.0133,-364.3664,6400.9095,-336657.9803,-306032.9478,-315905.9210,-322694.7425,-325758.3658,-316755.2482,-321863.2320,-321592.9097,146393884.9753,146443611.9850,146417376.7493,146396088.8538,-320357.3812,146401734.9185,-4925.7297,2358.4021,-2278.9436,-2738.4492,-461.4984,146735.1545,143283.1693,143442.4695,151097.3722,146806.7443,136828.7060,142917.9675,145223.4387,-323498.1596,-327853.7510,-327213.9564,-324731.3909,145396.5475,-331182.6570,
25200.000,5534.9840,-3031.0835,-6507.4062,-2392.3876,-552.4195,-102567.2311,-96930.1190,-102359.7005,-99734.6755,-108873.0048,-106865.7136,-104055.4808,-106091.8253,-71910947.1880,-71887899.1920,-71879913.3443,-71889496.5540,-107090.6909,-71894751.3345,4171.3484,3155.4262,-961.5676,3252.0875,-5271.4500,-372960.5362,-341469.6457,-355227.8710,-360431.0411,-361051.3151,-355059.3033,-359332.5680,-356951.2142,132321270.2615,132374786.9138,132350386.7073,132331989.3922,-358312.6540,132328877.5605,427.2002,-5301.4094,-1784.8843,5364.4038,-4172.4712,147047.1690,143718.7714,143642.1365,152098.9276,145233.4042,136866.1039,147106.7590,146623.0526,-338951.9838,-347937.9094,-348479.6636,-344809.1033,146056.8667,-348811.1876,
28800.000,-4515.6785,-1191.9161,4521.7794,-1961.1265,4049.5586,-5536.6100,-7799.8872,-8367.0043,-6300.5652,-15072.7210,-12900.8454,-16177.2253,-14527.2337,-103794996.7063,-103784517.0781,-103772214.0433,-103779703.1166,-13876.4164,-103779518.5738,-3080.6232,-4957.9816,-2437.0919,-5575.5327,1463.1373,-384779.8331,-355012.9317,-371798.6322,-375089.1427,-370921.4880,-370067.9410,-374024.9757,-374866.9697,109185816.2369,109239542.7606,109217398.9603,109200690.0419,-373351.1786,109192741.0245,4277.8664,4592.7398,4466.8012,-3205.5588,5179.7872,147330.2637,144161.8493,144477.2733,152672.8141,145780.9872,137524.4832,148268.0652,145974.7962,-355065.7357,-368048.4493,-369776.9039,-369593.4911,146705.5139,-366461.1427,
