sl_10_5400_20300612 Coordinates.csv
2030/06/12 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:56 2024,
Start: 2030/06/12 07:47:00.00, Stop: 2030/06/12 09:17:00.00,
TIME_UNITS,STARLINK-2683 - X-Coordinate,STARLINK-3716 - X-Coordinate,STARLINK-4144 - X-Coordinate,STARLINK-4354 - X-Coordinate,STARLINK-31251 - X-Coordinate,STARLINK-4567 - X-Coordinate,STARLINK-3870 - X-Coordinate,STARLINK-11095 [DTC] - X-Coordinate,STARLINK-6310 - X-Coordinate,STARLINK-5179 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2683 - Y-Coordinate,STARLINK-3716 - Y-Coordinate,STARLINK-4144 - Y-Coordinate,STARLINK-4354 - Y-Coordinate,STARLINK-31251 - Y-Coordinate,STARLINK-4567 - Y-Coordinate,STARLINK-3870 - Y-Coordinate,STARLINK-11095 [DTC] - Y-Coordinate,STARLINK-6310 - Y-Coordinate,STARLINK-5179 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2683 - Z-Coordinate,STARLINK-3716 - Z-Coordinate,STARLINK-4144 - Z-Coordinate,STARLINK-4354 - Z-Coordinate,STARLINK-31251 - Z-Coordinate,STARLINK-4567 - Z-Coordinate,STARLINK-3870 - Z-Coordinate,STARLINK-11095 [DTC] - Z-Coordinate,STARLINK-6310 - Z-Coordinate,STARLINK-5179 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4150.2761,4151.3365,2977.3304,5967.0267,4547.9999,403.3011,6201.1367,906.7632,-2535.8572,491.5799,330622.2009,357824.6166,340033.6746,337796.3771,340111.0421,341629.9365,346328.6244,344093.1449,-184004331.2823,-183978343.5495,-184012485.4047,-184010341.6000,342586.8808,-184018242.8736,-997.2519,-260.1923,3421.6742,-3308.2095,-1409.7811,-5565.1567,-804.6969,-4708.5806,-6336.9423,-5359.6323,-77361.6569,-81493.1075,-67822.1987,-71842.2509,-80148.6633,-77510.6626,-72624.3071,-72518.4720,296372894.6760,296369832.7582,296390922.3327,296380263.1235,-72854.1461,296387299.0509,5368.5187,5372.0867,5202.0345,-1302.3804,4878.9730,-4093.7982,-2904.1017,4677.8393,-1105.8336,4300.8631,-99921.9714,-100711.6616,-97431.6465,-99621.5740,-94282.4218,-101054.3947,-108598.0390,-100813.9401,149730391.0135,149713790.8939,149717364.0009,149734071.5105,-99858.5211,149734436.0331,
300.000,-4016.1268,3463.5336,4758.3900,6223.6912,4584.7404,-1239.2299,6425.3223,-726.1737,-3903.2354,-1029.5716,332296.5249,359452.0293,341581.9714,339419.1249,341544.1380,343069.9790,347722.5668,345710.3290,-190430199.1335,-190403977.5850,-190438829.2831,-190435750.4609,344002.2731,-190444134.7189,1185.1979,-2348.8635,2526.3961,-2932.7113,-3322.8358,-4532.9626,-2178.0337,-5658.0900,-5688.7664,-6145.5479,-70448.6760,-74038.3946,-60552.3387,-64554.5363,-72978.2762,-70167.1569,-65460.6168,-65484.3929,292285092.5837,292282823.0218,292303446.1392,292292703.4125,-65639.8398,292299402.2711,5431.6989,5352.1792,4315.8658,939.7679,3800.3683,-5081.3508,-1220.0584,3515.9076,438.0370,2943.5008,-100036.0805,-100825.9645,-97495.3931,-99872.2736,-94346.5523,-100849.3503,-108736.7186,-100509.9574,149731948.2431,149715427.1832,149719250.6364,149735409.6855,-99942.5444,149736239.2662,
600.000,-3535.5830,2472.4931,6071.6552,5798.3868,4185.9864,-2803.9823,6009.3662,-2245.2422,-4892.4031,-2418.1077,333828.8688,360923.0530,342979.4318,340903.8264,342827.3152,344355.5899,348966.7528,347057.3994,-196765297.5485,-196738859.4512,-196774418.7099,-196770423.5588,345265.7785,-196779253.3393,3251.4306,-4210.0036,1427.3067,-2250.4551,-4873.2435,-3088.0047,-3319.8849,-6011.5935,-4481.7971,-6330.3798,-63498.1600,-66550.6016,-53256.6514,-57234.2888,-65779.6242,-62778.4202,-58270.5820,-58428.2720,288057996.6139,288056522.2753,288076654.6580,288065887.0432,-58398.2918,288072211.0244,4896.5578,4726.0384,2962.6246,3081.7209,2295.0548,-5523.7966,596.8613,1937.9944,1934.5671,1265.5466,-100150.0946,-100940.1215,-97563.7243,-100123.1810,-94413.4433,-100640.4227,-108870.8688,-100163.7909,149733507.1202,149717063.8974,149721147.7480,149736750.1217,-100026.4932,149738042.2066,
900.000,-2751.3242,1275.2779,6782.4998,4724.9776,3376.8337,-4139.3226,4985.3882,-3499.0384,-5419.1277,-3550.7680,335218.4054,362237.0136,344225.4091,342251.3983,343959.9945,345485.8626,350060.7242,348125.6520,-203006607.5713,-202979970.2073,-203016233.7671,-203011343.3777,346376.8787,-203020579.7573,4989.4603,-5645.1354,219.0308,-1362.7780,-5906.4902,-1377.8000,-4133.6827,-5719.0728,-2827.0038,-5885.6069,-56512.9195,-59033.0358,-45938.3680,-49885.0324,-58555.8627,-55345.8211,-51057.3032,-51344.9212,283693621.4424,283692944.8325,283712561.8067,283701825.2893,-51132.6992,283707740.1503,3821.8105,3564.3266,1288.5953,4895.2128,531.9783,-5374.1640,2348.6704,130.7208,3222.0302,-550.2649,-100264.0063,-101054.1309,-97636.6698,-100373.5318,-94483.0697,-100428.5046,-109000.5171,-99807.2713,149735067.7553,149718701.0437,149723055.5001,149738094.0616,-100110.3674,149739844.8543,
1200.000,-1730.7204,-15.4844,6817.0246,3111.1276,2222.8749,-5110.9483,3448.3702,-4368.2028,-5443.1567,-4332.0952,336464.3612,363393.3074,345319.3244,343463.0020,344941.6638,346459.9679,351004.0831,348915.4341,-209151154.9434,-209124335.6039,-209161299.1874,-209155536.8438,347335.1226,-209165139.6998,6220.5334,-6498.8974,-996.4972,-389.7579,-6324.0934,428.5790,-4555.7040,-4800.9953,-880.9061,-4846.4897,-49495.7796,-51489.0177,-38600.7326,-42510.4970,-51310.1558,-47870.5222,-43823.8883,-44229.1306,279194047.1643,279194170.4271,279213246.9568,279202594.8868,-43846.2688,279208069.9085,2325.6314,1998.4494,-524.9782,6187.3923,-1290.8499,-4648.4279,3844.2766,-1692.0490,4161.3582,-2306.2184,-100377.8076,-101167.9913,-97714.2504,-100622.3416,-94555.4079,-100214.8028,-109125.6890,-99474.0183,149736630.2578,149720338.6289,149724974.0531,149739442.6242,-100194.1669,149741647.2094,
1500.000,-560.5017,-1281.9433,6170.1504,1126.8035,825.3770,-5615.2567,1547.1866,-4776.6749,-4970.7787,-4702.1975,337566.0163,364391.4011,346260.6665,344540.0450,345771.8778,347277.1727,351796.4931,349436.6927,-215196011.5216,-215169027.5002,-215206685.7725,-215200076.7628,348140.1267,-215210005.0160,6817.9891,-6676.4467,-2118.3689,545.7260,-6093.1457,2156.9465,-4559.5566,-3347.4372,1169.5032,-3309.3861,-42449.5791,-43921.8800,-31247.0014,-35114.6863,-44045.6755,-40353.4707,-36573.4522,-37075.9330,274561418.3025,274562343.2217,274580853.9456,274570337.0548,-36542.2154,274575344.9869,572.8909,205.8907,-2281.7831,6821.3014,-2968.9634,-3423.8951,4920.6518,-3314.9737,4651.2182,-3811.5545,-100491.4900,-101281.7009,-97796.4777,-100868.3410,-94630.4354,-100000.9418,-109246.4083,-99196.8572,149738194.7360,149721976.6603,149726903.5622,149740796.8181,-100277.8917,149743449.2717,
1800.000,660.1838,-2411.5920,4906.2136,-1014.2036,-687.4872,-5590.5947,-530.2255,-4697.6755,-4053.0124,-4640.5819,338522.7049,365230.8322,347048.9929,345484.1608,346450.2584,347936.8664,352437.6787,349708.7218,-221138296.6729,-221111165.2594,-221149511.7887,-221142083.2330,348791.5751,-221152295.0726,6720.8718,-6154.5573,-3054.7804,1333.3313,-5248.3588,3644.5501,-4156.8733,-1508.9236,3124.9244,-1422.3979,-35377.1686,-36334.9658,-23880.4405,-27701.9680,-36765.5999,-32795.4070,-29309.1151,-29880.9465,269797942.7862,269799670.7855,269817590.0569,269807256.4826,-29223.7610,269811773.4799,-1243.0593,-1610.0408,-3792.0932,6729.9246,-4314.7374,-1831.4098,5460.6552,-4547.0328,4638.8338,-4903.3925,-100605.0445,-101395.2583,-97883.3547,-101109.8926,-94708.1314,-99789.0990,-109362.6967,-99004.9894,149739761.2975,149723615.1449,149728844.1771,149742157.5530,-100361.5418,149745251.0413,
2100.000,1827.8457,-3307.0319,3152.0082,-3077.4625,-2172.3796,-5025.1262,-2575.7481,-4154.0297,-2779.9176,-4165.9730,339333.8150,365911.2091,347683.9300,346297.1540,346976.4947,348438.5990,352927.4261,349758.9598,-226975178.6474,-226947917.1214,-226986944.3409,-226978725.0346,349289.2196,-226989178.1266,5940.4301,-4984.6966,-3730.0775,1888.1404,-3886.6282,4755.4024,-3394.5289,519.6996,4793.1815,629.3776,-28281.4099,-28731.6272,-16504.3252,-20277.1897,-29473.1123,-25196.9097,-22034.0016,-22640.7792,264905890.8983,264908423.0427,264925724.9716,264915620.2842,-21894.1330,264919625.8354,-2922.0634,-3243.6923,-4893.4595,5922.8725,-5178.3654,-41.8137,5405.5822,-5243.8856,4125.5440,-5464.1355,-100718.4614,-101508.6620,-97974.8750,-101344.8887,-94788.4760,-99582.1789,-109474.5743,-98921.2180,149741330.0486,149725254.0898,149730796.0409,149743525.6508,-100445.1169,149747052.5183,
2400.000,2843.1116,-3893.9108,1083.3861,-4833.5087,-3484.2037,-3960.0573,-4382.0179,-3213.4233,-1271.7386,-3332.6352,339998.7886,366432.2113,348165.1737,346980.8827,347350.3428,348782.1337,353265.5829,349620.8342,-232703875.9281,-232676501.5526,-232716200.7229,-232707220.9934,349632.8797,-232717872.6745,4558.5584,-3287.5384,-4090.2067,2159.8146,-2155.2925,5392.9167,-2349.0480,2520.1366,6008.1601,2642.1633,-21165.1744,-21115.2238,-9121.9376,-12845.8226,-22171.3996,-17558.5055,-14751.2392,-15353.4556,259887594.1941,259890931.1902,259907589.6890,259897756.9222,-14556.5628,259901233.7732,-4279.5898,-4510.7060,-5467.9699,4485.4491,-5464.1055,1752.2597,4761.3526,-5324.2145,3166.6606,-5433.6325,-100831.7304,-101621.9103,-98071.0236,-101570.6309,-94871.4507,-99384.0280,-109582.0593,-98959.6119,149742901.0945,149726893.5023,149732759.2893,149744901.8546,-100528.6171,149748853.7025,
