sl_10_5400_20300828 Coordinates.csv
2030/08/28 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:52 2024,
Start: 2030/08/28 07:47:00.00, Stop: 2030/08/28 09:17:00.00,
TIME_UNITS,STARLINK-31488 - X-Coordinate,STARLINK-1056 - X-Coordinate,STARLINK-30140 - X-Coordinate,STARLINK-3702 - X-Coordinate,STARLINK-11137 [DTC] - X-Coordinate,STARLINK-30808 - X-Coordinate,STARLINK-3005 - X-Coordinate,STARLINK-2031 - X-Coordinate,STARLINK-4635 - X-Coordinate,STARLINK-11200 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31488 - Y-Coordinate,STARLINK-1056 - Y-Coordinate,STARLINK-30140 - Y-Coordinate,STARLINK-3702 - Y-Coordinate,STARLINK-11137 [DTC] - Y-Coordinate,STARLINK-30808 - Y-Coordinate,STARLINK-3005 - Y-Coordinate,STARLINK-2031 - Y-Coordinate,STARLINK-4635 - Y-Coordinate,STARLINK-11200 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31488 - Z-Coordinate,STARLINK-1056 - Z-Coordinate,STARLINK-30140 - Z-Coordinate,STARLINK-3702 - Z-Coordinate,STARLINK-11137 [DTC] - Z-Coordinate,STARLINK-30808 - Z-Coordinate,STARLINK-3005 - Z-Coordinate,STARLINK-2031 - Z-Coordinate,STARLINK-4635 - Z-Coordinate,STARLINK-11200 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,2941.6263,-1874.4049,-4958.8928,-4909.5965,3371.5835,3011.8282,-163.1535,-4542.8871,-1190.1896,2690.4139,-222846.0498,-211021.2323,-227896.6111,-224490.8395,-215819.1880,-218125.3592,-221537.3589,-223216.7349,-274891603.1433,-274911759.8377,-274915973.6310,-274917619.7119,-222319.3057,-274910055.0965,5774.2337,4004.6200,1182.8009,3687.5682,-4899.0887,5298.4976,2093.7175,-1703.4811,-4286.7898,3265.0698,294797.0373,323014.7638,309908.1404,306413.7571,306333.5924,308628.6833,314335.6704,309764.0495,209498015.0226,209497163.7875,209496942.9781,209489755.5400,310618.1421,209493556.6791,-1816.7802,5289.9086,4652.6501,-3168.6772,-2986.6026,-3277.6333,-6580.9456,-4898.1337,-5298.7245,-5231.1360,53692.3669,52263.1885,55450.4362,52983.4881,58501.0369,52057.4341,44219.3306,51631.2260,121161394.7468,121190496.6218,121153335.3998,121167727.7182,52976.8477,121168946.5128,
300.000,4126.9162,-238.6896,-4042.7098,-3226.5231,2472.6468,4093.5935,-983.0920,-4204.3488,-3208.1907,4487.6368,-228933.8077,-217699.6733,-234421.0966,-231025.4109,-222283.2125,-224776.0349,-228005.7969,-229728.5850,-279400025.9705,-279419949.1280,-279424723.5992,-279425562.0590,-228832.0668,-279418388.0842,5314.2329,5216.4126,3139.9624,4169.7992,-6039.2284,3674.9597,-23.9698,377.5422,-4170.7894,2208.1325,290106.7877,318505.5757,305287.6360,301883.9254,301576.5242,303918.3957,309541.2841,305427.1077,203445194.7902,203444686.8968,203443645.6472,203436434.8740,305853.1992,203440716.9009,-4.3028,4503.8016,4629.7859,-4467.0825,-1298.4376,-4199.1120,-6836.9854,-5451.3753,-4491.3492,-4499.0732,53552.5459,52119.8641,55349.9535,52710.4368,58404.5796,52237.0306,44058.0603,51333.1438,121157281.1692,121186733.0890,121149625.7313,121164407.9071,52865.6101,121165037.5768,
600.000,4864.9809,1380.4526,-2771.3338,-1210.8636,1311.4665,4817.4301,-1604.6674,-3503.6819,-4896.6680,5814.4888,-234923.0419,-224282.8372,-240841.8326,-237459.1700,-228645.6694,-231344.2630,-234370.8972,-236093.5813,-283775205.4981,-283794911.0422,-283800207.5381,-283800197.2239,-235242.7189,-283793477.4852,4278.3122,5937.1608,4807.5052,4286.2909,-6498.3749,1698.8490,-2170.6173,2440.6623,-3690.6229,963.3950,285292.7448,313857.3300,300530.9099,297233.4117,296685.1228,299073.3235,304612.2301,300985.0921,197295383.3501,197295229.0364,197293342.2433,197286171.3161,300951.7055,197290889.7345,1808.6467,3228.8833,4105.8536,-5283.6498,546.8184,-4669.5048,-6357.3082,-5413.4258,-3201.1528,-3241.4941,53412.6146,51976.5752,55244.7077,52438.1036,58305.3129,52419.5375,43901.1716,51145.4365,121153170.9298,121182961.6507,121145928.1578,121161092.0130,52754.3395,121161128.4719,
900.000,5092.7737,2831.7193,-1265.0255,937.3249,-3.3600,5117.6322,-1965.2226,-2511.0193,-6089.6288,6521.3189,-240811.2916,-230767.7997,-247155.9534,-243788.3809,-234903.7565,-237829.2184,-240629.8770,-242312.2819,-288015055.8024,-288034560.0863,-288040338.6596,-288039441.5731,-241548.3990,-288033237.5408,2765.7608,6084.8385,6018.9829,4035.2845,-6229.6396,-435.9817,-4106.4610,4277.9545,-2878.7890,-348.7833,280356.9917,309072.0315,295640.0154,292465.8031,291661.5272,294095.7790,299550.7691,296409.1426,191051513.2973,191051722.1801,191048966.4852,191041904.7797,295915.8489,191047007.7835,3409.7447,1603.3566,3137.4493,-5530.9567,2325.8046,-4638.5981,-5192.7522,-4788.3896,-1566.2290,-1604.5978,53272.5749,51833.3238,55134.6876,52167.4674,58203.2613,52603.7848,43748.6385,51074.6461,121149064.1195,121179182.4605,121142242.7612,121157776.1654,52643.0360,121157219.1980,
1200.000,4801.4520,3984.2560,336.9755,3003.6603,-1344.6770,4964.5349,-2039.7502,-1319.0351,-6671.5192,6524.8111,-246596.1413,-237151.6790,-253360.6363,-250009.0602,-241054.7189,-244230.3316,-246780.0035,-248386.8057,-292117555.4922,-292136875.2712,-292143094.7525,-292141277.0560,-247746.2912,-292135647.0249,930.1127,5633.2699,6651.1897,3444.8841,-5269.1713,-2521.0919,-5611.4138,5701.8117,-1797.3725,-1604.7525,275301.6595,304151.7469,290617.0657,287584.8523,286507.9360,288988.2171,294359.2158,291669.5393,184716562.0733,184717143.1361,184713496.9966,184706619.9513,290747.8770,184712048.4905,4611.5795,-196.2941,1829.3019,-5182.5388,3822.9765,-4109.6733,-3467.5616,-3643.5575,237.6293,220.3894,53132.4291,51690.1118,55019.8908,51899.7838,58098.4483,52788.1988,43600.4371,51119.1982,121144960.8278,121175395.6710,121138569.6095,121154456.0031,52531.6996,121153309.7551,
1500.000,4035.1871,4739.5363,1889.2138,4780.5240,-2578.8922,4367.4329,-1842.3814,-34.6816,-6589.0356,5818.6176,-252275.2216,-243431.6372,-259453.1032,-256116.8953,-247095.8507,-250547.2760,-252818.5948,-254320.6747,-296080748.6732,-296099901.0766,-296106519.1504,-296103752.2724,-253833.6272,-296098750.2082,-1036.8046,4616.2986,6637.0780,2569.8712,-3731.1059,-4353.5684,-6510.3330,6564.1120,-534.0927,-2688.9366,270128.9260,299098.6039,285464.2333,282594.4371,281226.6062,283753.2589,289039.9385,286737.7376,178293550.5458,178294512.1285,178289955.8848,178283344.6759,285450.0967,178289032.7178,5273.7561,-1974.6754,323.0413,-4275.5484,4857.1505,-3139.1811,-1367.0583,-2102.5878,2015.7917,2019.4707,52992.1793,51546.9410,54900.3239,51636.6642,57990.8959,52970.6713,43456.5451,51269.1096,121140861.1422,121171601.4332,121134908.7554,121151126.6992,52420.3304,121149400.1433,
1800.000,2884.4423,5039.5881,3253.1913,6087.7260,-3579.1011,3374.5145,-1422.8121,1229.9642,-5856.3461,4475.1590,-257846.2098,-249604.8812,-265430.6222,-262107.1464,-253024.4958,-256779.9199,-258743.0210,-260118.6547,-299902745.8802,-299921748.3839,-299928721.6684,-299924983.4791,-259807.6886,-299920657.7902,-2925.2090,3125.5260,5973.2062,1486.8938,-1793.3186,-5755.6623,-6694.2611,6772.1039,804.3405,-3504.2640,264841.0148,293914.7900,280183.7492,277498.4810,275819.8525,278393.7177,283595.3576,281588.5958,171785541.5686,171786891.3574,171781407.2987,171775148.2850,280024.8728,171781023.3063,5319.0893,-3539.0933,-1218.2091,-2907.0741,5303.4566,-1830.9879,881.6981,-332.6434,3576.1108,3581.3570,52851.8279,51403.8135,54776.0025,51380.1735,57880.6247,53148.3905,43316.9421,51506.2165,121136765.1487,121167799.8965,121131260.2355,121147783.0175,52308.9285,121145490.3625,
2100.000,1475.0119,4870.7273,4309.6788,6791.0215,-4237.8624,2069.5848,-857.9841,2367.1501,-4552.9534,2638.0159,-263306.8313,-255668.6645,-271290.5082,-267974.5358,-258838.0492,-262928.2153,-264550.7051,-265786.5618,-303581724.9785,-303600595.3773,-303607879.5083,-303603155.5213,-265665.8073,-303599547.8002,-4529.7776,1301.7671,4720.6507,288.2628,323.7095,-6592.2362,-6134.5136,6299.0745,2101.0344,-3980.4985,259440.1943,288602.5521,274777.9023,272300.8100,270290.0454,272912.6243,278027.9446,276202.6618,165195638.5211,165197383.5394,165190955.9663,165185139.8755,274474.6270,165191123.6154,4742.3092,-4720.6764,-2627.7221,-1224.2685,5108.1033,-325.5726,3034.6574,1473.5489,4750.0706,4722.7460,52711.3773,51260.7309,54646.9515,51132.9452,57767.6545,53317.6321,43181.6095,51805.0510,121132672.9316,121163991.2088,121127624.0684,121144419.4068,52197.4940,121141580.4128,
2400.000,-45.7521,4262.7033,4968.9142,6816.5452,-4478.5434,565.5262,-240.1391,3282.3894,-2814.5936,505.9739,-268654.8600,-261620.2877,-277030.1245,-273713.1407,-264533.9581,-268991.9858,-270239.1241,-271331.0034,-307115932.0323,-307134688.4126,-307142238.1319,-307136522.6707,-271405.3670,-307133666.4654,-5671.9632,-678.6607,2999.1599,-925.3975,2382.1327,-6784.2198,-4887.1390,5188.1435,3238.9982,-4079.6526,253928.7766,283164.1948,269249.0389,267004.9120,264639.6108,267313.2443,272340.2214,270568.2974,158526983.8279,158529130.4289,158521745.7128,158516466.5536,268801.8369,158522476.0428,3610.6454,-5392.4533,-3753.3956,591.1089,4294.6161,1214.9312,4858.0049,3118.8907,5411.1290,5309.9767,52570.8298,51117.6950,54513.2043,50898.3021,57652.0034,53473.5181,43050.5304,52134.4561,121128584.5732,121160175.5157,121124000.2542,121141030.1343,52086.0268,121137670.2941,
