sl_10_86400_20300127 Coordinates.csv
2030/01/27 07:47:00.0000 UTC

Generated: Tue Oct  8 21:12:08 2024,
Start: 2030/01/27 07:47:00.00, Stop: 2030/01/28 07:47:00.00,
TIME_UNITS,STARLINK-11075 [DTC] - X-Coordinate,STARLINK-5060 - X-Coordinate,STARLINK-31398 - X-Coordinate,STARLINK-32093 - X-Coordinate,STARLINK-6326 - X-Coordinate,STARLINK-4398 - X-Coordinate,STARLINK-30270 - X-Coordinate,STARLINK-31135 - X-Coordinate,STARLINK-4415 - X-Coordinate,STARLINK-1614 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11075 [DTC] - Y-Coordinate,STARLINK-5060 - Y-Coordinate,STARLINK-31398 - Y-Coordinate,STARLINK-32093 - Y-Coordinate,STARLINK-6326 - Y-Coordinate,STARLINK-4398 - Y-Coordinate,STARLINK-30270 - Y-Coordinate,STARLINK-31135 - Y-Coordinate,STARLINK-4415 - Y-Coordinate,STARLINK-1614 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11075 [DTC] - Z-Coordinate,STARLINK-5060 - Z-Coordinate,STARLINK-31398 - Z-Coordinate,STARLINK-32093 - Z-Coordinate,STARLINK-6326 - Z-Coordinate,STARLINK-4398 - Z-Coordinate,STARLINK-30270 - Z-Coordinate,STARLINK-31135 - Z-Coordinate,STARLINK-4415 - Z-Coordinate,STARLINK-1614 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6083.7323,3602.7940,6062.7665,1055.4052,3869.7272,4224.8635,3502.7636,3371.0697,-2596.0948,5822.9146,-313509.0150,-327351.5470,-317700.9193,-319168.8195,-326918.4753,-326055.0087,-325627.2047,-323582.5410,23520806.1880,23465729.0563,23485505.7837,23506086.6025,-323347.4728,23501293.1622,2715.9687,-2963.7519,667.9383,4903.3682,627.8915,4511.2070,-4183.6325,2249.8149,-6200.2863,-2704.3734,-131460.0466,-137157.2212,-131917.5908,-128155.3516,-124499.5418,-127067.3936,-134060.8295,-130466.0798,319465924.8685,319440726.1880,319466031.3625,319463733.3455,-131170.2694,319459890.1374,443.0593,5112.6183,-3047.7786,4431.5621,-5819.3515,-2718.8446,-4266.5300,5284.8912,-1494.4780,1426.2415,-120402.0994,-121778.1704,-120927.3499,-122566.5362,-117582.2060,-124906.6881,-131919.1410,-121601.3262,-58896281.9779,-58884744.6944,-58879009.9994,-58890930.8382,-123226.7024,-58895829.8523,
3600.000,-4605.1418,978.5857,-6395.8326,-5417.9348,-6636.3742,33.6798,-1368.0692,-6123.8695,50.1352,-1177.8816,-269280.5992,-285155.9141,-275083.4750,-277610.7695,-284269.4732,-281125.4667,-282822.1070,-280127.7333,-60025605.1955,-60075581.7386,-60064594.8645,-60049866.7815,-280192.5444,-60044578.7297,677.9331,2337.2997,2184.9763,-2173.2445,147.6084,-1628.6718,6622.5631,1551.7462,5606.8689,3895.0601,-203302.1275,-215697.7523,-209816.1315,-207486.3677,-200671.2295,-205332.9540,-209723.9084,-208318.7645,314687798.0660,314652033.7095,314680729.2703,314682800.2276,-207428.6826,314680706.7783,-4793.2738,-6453.7048,-877.8487,-3292.8437,2249.5719,6544.4135,1471.3162,-2140.1917,-3991.8000,-5173.3882,-120912.5846,-122783.1316,-121610.7797,-125341.5359,-118240.5567,-122288.2893,-133199.2600,-125619.5768,-58827996.0567,-58821910.1267,-58816078.7183,-58825745.3295,-124045.2357,-58830660.4911,
7200.000,909.8440,-5062.8210,3479.5451,6557.7952,6574.2478,-1941.7898,-892.3186,4712.2430,1015.8947,-4484.2662,-209528.3805,-224111.9804,-215098.3007,-221094.5123,-224017.7800,-216611.6446,-222689.2343,-219625.9816,-139492686.4829,-139534401.3866,-139531953.4184,-139518305.1717,-219456.5602,-139510725.5405,-4840.9584,-2741.0607,-4161.4651,-1011.1238,-109.5246,-4226.3981,-6494.9054,-3550.5275,-596.5436,-3654.1758,-261757.6220,-281161.6696,-274345.2573,-273364.2433,-263881.5747,-272044.5978,-272421.4233,-269507.8594,288431803.4386,288387207.6722,288416465.4966,288418453.0910,-270464.6312,288424024.0830,4499.5616,3839.6646,4117.5842,-931.1376,2429.6044,-4907.8093,2215.7715,-3112.5363,6767.2808,3123.2759,-121525.1643,-123869.5581,-122933.7934,-125047.0587,-119280.2397,-124116.5771,-133845.0715,-123364.6425,-58759855.1375,-58759108.8456,-58753654.2411,-58766225.0241,-124850.9248,-58765463.5773,
10800.000,2069.7095,6139.2158,1097.3955,-3476.7042,-3691.7374,57.3892,3389.7660,441.6306,1246.3154,5958.7245,-137907.0366,-148227.8435,-141586.5156,-149224.9114,-149895.1938,-140945.3311,-148925.3340,-144781.1115,-209455865.6415,-209486889.5350,-209491931.3729,-209474918.7994,-145003.0573,-209472809.0786,6347.6823,3027.3118,5226.0848,3804.6541,833.4461,6690.4766,3973.0888,3995.0820,-4481.1031,1408.6936,-303680.9273,-329302.9461,-321360.3673,-319316.2936,-310146.3262,-318914.4435,-318299.4451,-317554.2236,242485083.2456,242434351.2120,242461958.1709,242467744.6036,-316333.3117,242477131.0753,112.8817,1073.4222,-4240.4150,4270.4096,-5907.8986,-893.4411,-4549.5125,5310.2769,-5080.8649,2396.7609,-122209.4370,-124984.0326,-124757.6643,-123385.5534,-120689.8399,-128592.2446,-133859.6710,-126974.3318,-58692049.9015,-58696321.0153,-58691601.3145,-58706659.0993,-125643.6847,-58700239.1320,
14400.000,-3595.8079,-4158.7101,-4725.5296,-1496.5426,-95.7771,1510.8594,-5586.9000,-5217.2355,-4331.1352,-2748.7092,-58708.2254,-62389.9643,-59293.0410,-67080.6979,-66465.2779,-57483.7003,-66025.6967,-61999.4683,-265137981.7060,-265156888.6259,-265167959.1063,-265149394.9298,-61550.9356,-265153944.2050,-3193.8893,-1358.0575,-4778.2959,-5420.8987,-2966.6224,-2898.6054,-469.8366,-3421.2318,5342.9204,2849.9665,-326840.6971,-356956.9601,-347879.5222,-345146.1770,-336556.0702,-344637.3585,-344469.5755,-340931.0276,179979135.6569,179925596.2983,179950113.8100,179964441.5853,-342179.9914,179971537.7378,-4637.9802,-5376.0683,1122.4207,-3646.4699,6342.3023,5902.0185,4050.8948,-2359.5760,-34.9301,-5257.8815,-122947.0719,-126103.8168,-126805.9738,-122455.4968,-122477.5281,-132127.8143,-133211.9312,-125257.0500,-58624747.5072,-58633529.3819,-58629797.5857,-58644881.5232,-126423.4318,-58634987.1761,
18000.000,4144.9653,1317.7955,5788.0080,4957.7973,2583.4378,739.7365,6380.4423,5897.1159,4110.3797,-1429.3065,23374.3279,27902.7104,26487.0351,19350.4036,21206.9088,29194.9656,20989.0089,26337.4040,-302735515.3326,-302742010.2457,-302757617.4106,-302742816.9283,25624.6695,-302750857.1017,-2351.3582,-2348.9160,2209.5309,4489.2299,5455.5801,-3052.5087,-2471.4863,1111.5865,-2143.5444,-6019.1769,-330062.0804,-362269.6020,-352298.1886,-349603.8902,-341462.8018,-348656.2050,-349134.2061,-347813.9843,105176390.5808,105123616.4697,105144364.9702,105168862.1933,-346417.0925,105169547.7455,4668.4997,6370.8083,2833.1447,-391.8925,-3575.4445,-5987.0911,-1061.0909,-2912.9900,5076.2028,2227.1622,-123726.0122,-127217.1503,-128738.6682,-122134.7355,-124668.8769,-134760.9496,-131831.8550,-128126.2342,-58558080.7665,-58570718.6684,-58568128.1207,-58580596.5928,-127190.0841,-58569707.7307,
21600.000,-3319.0182,271.7851,-4571.2807,-5296.5907,-3020.5695,-4492.0813,-4817.6933,-2764.3086,400.1089,3622.0749,103504.3858,116874.1642,110300.9697,104370.1014,107993.3486,113925.9511,106934.8334,110036.8366,-319678435.0670,-319673331.1561,-319692265.8021,-319687041.4864,111025.7324,-319693667.1945,5790.5949,5962.9468,1996.7953,-600.6438,-6240.3837,4934.2492,4236.6943,2891.4124,-1130.8456,4402.6648,-313299.8007,-344821.9446,-334470.4766,-332420.6015,-324655.6250,-331088.6906,-331546.2356,-327544.1380,23179527.1103,23130942.7582,23147834.8232,23180005.9526,-328821.0878,23173608.9968,-217.6326,-3527.0309,-4648.8159,4048.4053,-1054.3517,1003.5916,-2606.5615,5324.6855,-6782.2932,3273.1568,-124537.8257,-128317.0911,-130243.1703,-122299.1277,-127284.1997,-136636.1013,-129622.6394,-127241.0466,-58492139.5448,-58507875.1032,-58506480.0989,-58513863.2680,-127943.5609,-58504400.8169,
25200.000,115.2645,-534.4878,2242.5804,3320.3659,2421.0612,4356.8769,1212.3650,-986.8216,-5523.2826,-3899.3484,176971.8194,198835.1312,186910.7551,182537.6670,189325.5070,191584.3726,187186.9443,190594.7488,-314805898.0311,-314790963.0020,-314812494.2123,-314820489.3513,189277.8428,-314821548.2993,-4968.9944,-6740.8856,-5733.3399,-4279.2258,4142.4469,-1917.8927,-4983.3242,-6074.2134,1113.8438,1319.0675,-277645.0996,-305658.4496,-295661.9296,-294649.2289,-287962.0734,-293163.4179,-291484.3868,-291736.0978,-60416639.1670,-60458094.9313,-60444830.6694,-60411311.1054,-290543.3421,-60421738.4851,-4465.0310,-1503.6343,2914.0862,-3948.1644,5104.1753,4785.6255,4640.0686,-2573.6738,3934.2543,-5135.9034,-125376.3393,-129399.0944,-131118.1280,-122879.3639,-129980.4659,-137837.7264,-126926.1751,-129120.5166,-58426964.9422,-58444986.0427,-58444737.4420,-58444842.3554,-128683.7829,-58439066.4559,
28800.000,4320.2442,1020.9636,381.7782,-354.9142,-2421.7125,923.6733,2872.5324,3205.1377,6601.7126,2726.0776,239455.5052,268545.6045,251604.8209,248904.3934,258374.8615,257438.9083,257036.2718,253969.4997,-288445787.4999,-288423497.2810,-288447416.9500,-288467510.0382,255468.0528,-288462261.8238,1615.1235,3971.1141,6727.0100,6687.9756,16.0209,-1198.3308,5014.5985,5185.4817,1246.9615,-5854.5622,-225268.5726,-247219.8907,-238408.3392,-238623.9511,-235660.8399,-237259.1013,-231182.1519,-233124.1902,-139906941.5058,-139939059.3243,-139929206.9758,-139903115.2757,-234034.4570,-139911575.6701,4819.4930,5574.4515,1022.5542,152.7709,-6585.5075,-6588.3053,-3817.6969,-2707.8777,1490.7932,1242.3399,-126236.8702,-130459.9045,-131327.3545,-123840.4218,-129605.9651,-138404.5684,-128677.2948,-129259.5286,-58362546.6337,-58382039.6638,-58382775.0156,-58374020.5605,-129410.6722,-58373704.6687,
