sl_20_86400_20300214 Coordinates.csv
2030/02/14 07:47:00.0000 UTC

Generated: Tue Oct  8 21:51:18 2024,
Start: 2030/02/14 07:47:00.00, Stop: 2030/02/15 07:47:00.00,
TIME_UNITS,STARLINK-1039 - X-Coordinate,STARLINK-3917 - X-Coordinate,STARLINK-11120 [DTC] - X-Coordinate,STARLINK-5697 - X-Coordinate,STARLINK-2251 - X-Coordinate,STARLINK-31641 - X-Coordinate,STARLINK-31733 - X-Coordinate,STARLINK-3132 - X-Coordinate,STARLINK-31049 - X-Coordinate,STARLINK-31376 - X-Coordinate,STARLINK-31774 - X-Coordinate,STARLINK-6263 - X-Coordinate,STARLINK-3734 - X-Coordinate,STARLINK-31789 - X-Coordinate,STARLINK-30536 - X-Coordinate,STARLINK-1222 - X-Coordinate,STARLINK-1887 - X-Coordinate,STARLINK-30094 - X-Coordinate,STARLINK-5894 - X-Coordinate,STARLINK-4559 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1039 - Y-Coordinate,STARLINK-3917 - Y-Coordinate,STARLINK-11120 [DTC] - Y-Coordinate,STARLINK-5697 - Y-Coordinate,STARLINK-2251 - Y-Coordinate,STARLINK-31641 - Y-Coordinate,STARLINK-31733 - Y-Coordinate,STARLINK-3132 - Y-Coordinate,STARLINK-31049 - Y-Coordinate,STARLINK-31376 - Y-Coordinate,STARLINK-31774 - Y-Coordinate,STARLINK-6263 - Y-Coordinate,STARLINK-3734 - Y-Coordinate,STARLINK-31789 - Y-Coordinate,STARLINK-30536 - Y-Coordinate,STARLINK-1222 - Y-Coordinate,STARLINK-1887 - Y-Coordinate,STARLINK-30094 - Y-Coordinate,STARLINK-5894 - Y-Coordinate,STARLINK-4559 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1039 - Z-Coordinate,STARLINK-3917 - Z-Coordinate,STARLINK-11120 [DTC] - Z-Coordinate,STARLINK-5697 - Z-Coordinate,STARLINK-2251 - Z-Coordinate,STARLINK-31641 - Z-Coordinate,STARLINK-31733 - Z-Coordinate,STARLINK-3132 - Z-Coordinate,STARLINK-31049 - Z-Coordinate,STARLINK-31376 - Z-Coordinate,STARLINK-31774 - Z-Coordinate,STARLINK-6263 - Z-Coordinate,STARLINK-3734 - Z-Coordinate,STARLINK-31789 - Z-Coordinate,STARLINK-30536 - Z-Coordinate,STARLINK-1222 - Z-Coordinate,STARLINK-1887 - Z-Coordinate,STARLINK-30094 - Z-Coordinate,STARLINK-5894 - Z-Coordinate,STARLINK-4559 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,2645.9981,-4813.2014,-4769.3375,6076.5460,4555.9341,-1291.8573,-5457.8213,-2355.5323,2549.5248,4538.6913,-3038.7325,-6345.8035,3841.8968,5081.1559,-6167.7660,2030.7027,50.1823,-1093.5852,3281.8596,5005.5365,361152.5707,334252.9002,354728.2662,352172.4672,343683.6663,345291.0031,347788.6959,347824.4322,-2571456.8194,-2547857.6851,-2550508.0373,-2555621.5848,349107.7466,-2552718.2846,-4871.8497,-4368.3412,-3494.5908,-2188.5609,-232.6964,-4334.8031,3331.7525,3773.2687,-3280.1605,-2743.2486,-5102.9667,1500.3842,-2762.3262,4136.0611,-714.2959,-6487.4021,4361.7952,5666.1847,-1464.7820,4717.3377,-101219.0754,-108848.5855,-108250.0809,-105021.3013,-103825.4179,-106056.1413,-112569.5073,-109678.5455,334065146.6724,334073316.1024,334066645.5420,334076169.1377,-109124.3802,334072726.9512,-4091.4222,2211.7817,-3058.6751,2488.7506,5035.8030,-5124.1927,2335.4785,5262.1940,-5452.0746,-4273.2752,-3353.1325,-2338.0519,5012.7200,1349.2514,-2959.6072,-1149.2827,5346.4271,3827.8578,-5962.8692,-582.7073,150855.2610,143748.6000,149752.9075,148037.3208,153073.1881,145819.2629,138734.9541,148583.8947,-28499518.9771,-28477608.6669,-28513426.5064,-28490785.3658,147434.6240,-28496554.6460,
3600.000,-1185.9090,5752.1868,6100.2080,-3023.6926,-5493.0040,4823.4072,1509.8792,74.7008,506.5393,-640.5910,4923.7597,5695.4084,237.1597,-5906.3222,4156.8682,503.5923,-4210.5292,-2742.0666,1046.9268,-5215.3259,374862.8226,352029.4038,370910.1461,367782.7734,359394.4713,363886.0766,363496.6208,366345.8705,-89018443.4106,-88998641.7148,-88992861.3997,-89008303.5748,365332.3166,-89000680.2234,6784.0436,2945.2959,1394.3693,4180.6427,3727.2080,1060.6740,-4791.6775,-6488.8894,6109.5894,5425.8415,986.4125,-3701.9063,4645.4467,-976.2683,-2829.3419,4965.0642,-2921.5771,-4348.1581,3097.9092,-2659.4489,-6084.8427,-20607.5146,-19184.1674,-17694.0909,-13105.6687,-16653.4877,-21326.2350,-17828.9208,322030459.2295,322035608.5561,322037183.7010,322034434.0455,-18331.5430,322038660.8009,-13.4231,2322.7656,-2269.5254,-4622.7690,-1488.5174,4707.5561,-4602.7024,-2348.6316,3047.1591,4053.1497,4602.4007,-1354.9777,-5102.2090,2979.3304,4679.7117,4746.7660,-4633.8790,-4651.8638,6128.7364,-3659.2588,150346.6643,143264.6122,149307.5690,145558.1676,152665.3675,148684.1396,137732.2778,145497.4458,-28427642.5570,-28400281.1687,-28436366.9407,-28420399.9960,146880.6517,-28421761.7427,
7200.000,-819.0644,-4359.0301,-3155.5084,-795.6331,3627.2871,-6615.6824,3047.7079,1561.5499,-2401.5936,-2773.2333,-5569.2765,-2728.6105,-3380.3340,3482.2834,-1350.1057,-3947.6164,6661.6176,5906.7989,-3854.2761,3937.3867,363828.5427,347100.4330,363620.7861,357592.8183,351982.6133,361575.6797,355822.9145,357482.9458,-169405173.5537,-169387050.7344,-169378563.3447,-169391838.8857,358332.9623,-169388509.2953,-5477.1811,496.6918,2477.4958,-5666.2994,-4759.1031,1481.1157,5098.6797,6379.2357,-6235.0432,-6175.9204,3134.2911,4779.4908,-5711.1664,-3517.5153,5915.7870,-2075.8268,1549.7673,2492.4780,-5063.2227,-1250.7879,89137.1707,69678.9681,71148.0937,70349.8455,78549.2458,72977.3824,70774.9205,73042.2509,288013332.9215,288013961.9413,288026895.0940,288012183.5207,73640.9297,288021630.3034,4086.7288,-5290.9895,5298.4835,3891.2514,-3239.5828,-844.3597,3322.9871,-2114.0683,1498.7399,-720.5484,-2380.4161,4195.1391,1877.1396,-4507.2799,-3239.4474,-5260.4895,949.6051,2622.2786,-2823.2052,5518.0025,149770.4472,142853.3325,148199.2993,146178.4269,151852.5241,146978.9563,137337.6494,147781.1521,-28355368.6540,-28324089.5961,-28357557.6196,-28351597.5110,146314.1560,-28346952.2108,
10800.000,3606.5815,2224.2636,-846.2263,3713.0505,807.8297,4926.6860,-5692.8892,-3103.2128,3556.6137,4614.4102,3953.5865,-1398.7196,4520.3606,81.1831,-1258.4209,6473.6771,-6048.5929,-6846.6294,4094.8134,-2467.0983,328996.3822,319614.4700,333261.8539,325398.2017,322004.5167,333205.8964,325394.4588,329282.7559,-238243968.8247,-238224882.2770,-238220495.9924,-238224816.6317,328550.5441,-238228251.1192,2120.7850,-4567.4893,-5862.2032,5794.1121,4006.6615,-2991.6674,-3704.0737,-3322.0870,3045.6768,3866.1634,-5301.8433,-5108.5086,4551.8167,6452.1409,-6747.0172,-456.6288,217.3273,-380.2394,5201.4449,5176.4429,178136.1174,156327.2503,157096.5534,156827.4061,165371.9046,159716.1819,157855.8785,161322.9227,234331884.0225,234327592.9479,234351298.4066,234331415.8808,160947.5445,234339759.8432,-5474.7404,4613.3779,-3038.4895,-773.6037,5427.1235,-3671.4637,493.3898,5178.8597,-5005.9281,-3184.3993,-1662.1271,-4466.4409,2534.9460,1761.0521,-418.2451,2316.0803,3320.0723,992.2182,-2144.8914,-3846.9754,149135.2332,142546.9115,146573.3244,148040.6147,150646.0805,142728.6219,137548.3982,144135.3639,-28282533.0817,-28248785.4402,-28277187.9259,-28281054.1289,145735.1689,-28272126.0766,
14400.000,-5974.2593,-408.1581,3269.8788,-5055.1358,-5203.7970,-541.8991,5545.4425,4774.2391,-4465.9890,-4952.3689,-92.2551,4793.4898,-4285.9174,-3058.9880,3404.6838,-6218.4417,3078.1544,5223.7013,-2913.5634,1025.2728,272872.9822,271161.8498,281659.9265,273476.7589,271482.2468,282487.1287,274300.9841,277211.5505,-290834402.2615,-290811716.9489,-290816968.0211,-290811583.4370,277873.6723,-290819242.9531,1139.6178,6812.2647,5325.7080,-3789.5696,-2742.2287,4065.7426,300.3293,-849.3680,1602.9196,650.2173,5175.4215,4589.0873,-909.6159,-5331.3426,4623.9329,2078.3695,-2846.9041,-2150.9353,-2390.7155,-6816.3703,255107.5764,233903.2472,233220.9387,233542.8515,241912.7057,236923.2532,234469.7336,237649.3482,164646726.8153,164638278.7084,164668374.2201,164651320.9060,238038.1446,164653807.3132,3223.2872,-798.5579,-2291.8089,-2839.6971,-3420.5033,5450.6671,-3947.1370,-4912.0906,4930.1585,4616.9399,4428.1030,1973.3029,-5335.2885,2634.4621,3772.5898,2121.7043,-5491.3294,-4018.5284,5837.0647,-326.9008,148447.3038,142405.8474,144710.2675,149139.2738,149038.0817,139401.0787,138396.0636,146756.2660,-28209006.9531,-28174162.0914,-28195967.1041,-28208107.8901,145143.7234,-28197283.3663,
18000.000,6085.7892,-1382.8188,-3977.7812,5092.1379,6604.2187,-3746.8474,-3461.8652,-5528.5520,4590.4850,4087.5787,-4295.9318,-6105.3655,3672.9114,4857.8122,-5091.7242,2998.9198,264.6417,-2076.8156,2224.7141,961.4226,199330.1577,204764.0986,212010.3944,204480.7078,203816.9886,213592.5426,205935.2659,210289.7753,-323584218.6748,-323555773.8923,-323572929.7971,-323561978.5808,209519.0600,-323569095.7953,-3013.9518,-5693.5730,-501.1302,25.9443,1029.9491,-4711.0769,3917.9443,3861.1790,-4896.5669,-4837.2672,-3633.9430,-2775.6047,-3493.4513,683.7319,-633.7609,-3405.3585,5510.0435,4763.0680,-2184.5541,5334.8883,315124.1176,297650.9505,294625.5810,295077.4385,303392.5044,298943.7413,295995.4592,300183.8275,83711371.0949,83700575.8012,83730521.0735,83722304.8194,300010.5342,83717523.9803,1142.1383,-3591.1218,5300.4812,4683.3641,-1267.1380,-3236.0060,4355.4669,1441.0695,-1374.3096,-2502.5890,-3854.6573,1719.0061,4671.1440,-4555.1133,-4582.1678,-5193.5770,4147.2903,4575.8773,-6226.0710,4262.4260,147711.4036,142570.9796,142950.9514,149605.0552,147003.6717,136947.3977,139951.0265,142910.7859,-28134705.0301,-28100059.8581,-28114936.9403,-28132706.7415,144539.8536,-28122424.1065,
21600.000,-3184.3456,3571.5534,3598.8697,-4371.6503,-4357.2494,5546.0657,781.4596,4048.4265,-2692.8084,-1801.7948,6676.1707,5356.7543,-2827.2502,-4818.3280,5675.5532,1316.1290,-2460.7411,-1051.1558,-2558.3077,-3713.9819,113324.8224,125438.8738,128724.2154,122551.5701,123711.8100,131278.2648,124775.9917,127020.2379,-334254689.9091,-334219172.3757,-334246867.5010,-334236979.1731,127827.5078,-334239084.7139,3814.3241,2034.0842,-4717.2744,3941.4057,1649.5074,3737.5013,-6612.6799,-4745.6529,5436.3591,6378.8841,1336.9580,-468.5144,6214.1782,4106.5841,-3144.5343,4708.5950,-6451.4463,-6434.1167,5716.6727,-1973.9774,354441.4373,343926.0877,337305.1579,337475.2639,345969.0570,341617.4763,339092.2519,342700.3052,-2952000.6344,-2962549.5051,-2938976.9177,-2936904.2813,342922.0457,-2946631.6030,-4773.1581,5493.8831,-3018.1294,-3652.1450,4946.0695,-1394.5926,-1434.9223,2938.1513,-3188.4308,-1558.9646,345.8001,-4368.9721,-1014.3101,2156.4022,2266.2770,4850.6531,-176.8112,-2354.7300,3016.9830,-5476.7660,146931.2243,143501.7477,141605.0681,149562.0887,144525.4901,135223.8280,142309.1430,145488.7216,-28059591.2446,-28026357.7091,-28034966.0453,-28054923.8165,143923.5946,-28047548.3232,
25200.000,-1317.1660,-5539.1701,-1512.5260,2880.9355,515.3200,-4656.8266,1914.8360,-233.5129,-1238.5274,-1766.6321,-5703.0262,-3462.1544,949.3734,2222.3754,-4273.3465,-4346.3149,3506.3824,3283.4712,2647.5141,6021.2599,20553.7301,40849.0516,37158.0536,32787.8348,37341.7290,40991.1498,36317.1236,39043.4504,-322113651.9452,-322070841.4338,-322105221.3378,-322101708.7790,37988.4465,-322097185.1038,-4277.3472,1784.4394,6055.1373,-6286.5257,-4792.4579,-445.2317,5996.8305,4243.8194,-3937.7931,-4876.2030,1509.7883,4157.7581,-5973.6409,-5887.0320,5149.6861,-5177.8728,4472.7937,5958.8632,-6151.7682,-1191.0020,370720.7674,366240.6624,358459.0229,358079.9586,366487.5688,362217.0755,362587.9241,364229.2808,-89429271.0343,-89436571.0148,-89423543.9477,-89415059.5711,364040.2600,-89424303.8198,5226.0019,-3657.1056,-2314.1628,351.3941,-4803.6497,4966.3691,-2604.6447,-5438.1914,5455.5959,4401.1280,3408.5775,4314.2187,-3324.9033,2265.3941,1571.0123,-1355.8679,-3927.5225,-1322.6063,1878.5913,3144.3722,146109.7131,144563.4251,140868.1914,149079.4323,141972.1428,134146.6946,145099.1087,141823.9272,-27983681.0363,-27952963.7111,-27956457.0794,-27975032.0274,143294.9829,-27972656.0428,
28800.000,4871.0701,5588.0052,-2439.4245,-379.0293,2459.3827,2658.2143,-4346.7894,-4076.3624,5284.9817,5316.0721,2270.7020,1302.5887,2200.8592,2346.8513,743.1732,5081.4254,-4142.1913,-4564.3133,-831.3314,-6108.7039,-72932.8443,-47927.5372,-56761.1863,-59170.7204,-50994.8341,-51412.4198,-53639.6209,-55400.4299,-287985762.2133,-287936620.4615,-287972883.0998,-287975439.5679,-54289.4980,-287968293.4618,4326.7211,-3931.6998,-3178.4967,6151.3114,6275.1757,-3953.7841,-2447.3560,-3400.1863,2016.2117,1789.0481,-4500.0520,-6608.1106,3536.7721,4301.5848,-5269.1856,3524.8315,-331.4397,-3113.7755,3847.2116,2981.4702,363154.4941,364011.0984,356719.0370,355645.4524,361290.1484,359518.9040,365263.2070,361664.1794,-169817949.1401,-169819027.4378,-169818178.9368,-169810341.2074,362016.9429,-169812863.6446,-2239.7501,-711.0448,5302.3743,3148.5422,908.7448,-4901.0534,4627.4995,4395.0063,-3869.4152,-3862.5981,-4595.3629,-1617.2921,5490.8721,-4561.0735,-4359.5192,-3050.2668,5508.0941,4173.5069,-5742.5916,1189.3589,145249.2814,144113.1056,140769.3734,148191.9836,142519.1715,133677.8044,143317.8804,143981.0939,-27907040.3549,-27879807.2249,-27879433.8829,-27894278.9411,142654.0559,-27897747.2916,
