sl_20_86400_20300817 Coordinates.csv
2030/08/17 07:47:00.0000 UTC

Generated: Tue Oct  8 21:51:08 2024,
Start: 2030/08/17 07:47:00.00, Stop: 2030/08/18 07:47:00.00,
TIME_UNITS,STARLINK-4605 - X-Coordinate,STARLINK-5654 - X-Coordinate,STARLINK-31203 - X-Coordinate,STARLINK-31802 - X-Coordinate,STARLINK-6358 - X-Coordinate,STARLINK-31554 - X-Coordinate,STARLINK-3724 - X-Coordinate,STARLINK-5742 - X-Coordinate,STARLINK-30875 - X-Coordinate,STARLINK-31358 - X-Coordinate,STARLINK-32250 - X-Coordinate,STARLINK-5057 - X-Coordinate,STARLINK-11272 [DTC] - X-Coordinate,STARLINK-31335 - X-Coordinate,STARLINK-3341 - X-Coordinate,STARLINK-1844 - X-Coordinate,STARLINK-4288 - X-Coordinate,STARLINK-6240 - X-Coordinate,STARLINK-2431 - X-Coordinate,STARLINK-5040 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4605 - Y-Coordinate,STARLINK-5654 - Y-Coordinate,STARLINK-31203 - Y-Coordinate,STARLINK-31802 - Y-Coordinate,STARLINK-6358 - Y-Coordinate,STARLINK-31554 - Y-Coordinate,STARLINK-3724 - Y-Coordinate,STARLINK-5742 - Y-Coordinate,STARLINK-30875 - Y-Coordinate,STARLINK-31358 - Y-Coordinate,STARLINK-32250 - Y-Coordinate,STARLINK-5057 - Y-Coordinate,STARLINK-11272 [DTC] - Y-Coordinate,STARLINK-31335 - Y-Coordinate,STARLINK-3341 - Y-Coordinate,STARLINK-1844 - Y-Coordinate,STARLINK-4288 - Y-Coordinate,STARLINK-6240 - Y-Coordinate,STARLINK-2431 - Y-Coordinate,STARLINK-5040 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4605 - Z-Coordinate,STARLINK-5654 - Z-Coordinate,STARLINK-31203 - Z-Coordinate,STARLINK-31802 - Z-Coordinate,STARLINK-6358 - Z-Coordinate,STARLINK-31554 - Z-Coordinate,STARLINK-3724 - Z-Coordinate,STARLINK-5742 - Z-Coordinate,STARLINK-30875 - Z-Coordinate,STARLINK-31358 - Z-Coordinate,STARLINK-32250 - Z-Coordinate,STARLINK-5057 - Z-Coordinate,STARLINK-11272 [DTC] - Z-Coordinate,STARLINK-31335 - Z-Coordinate,STARLINK-3341 - Z-Coordinate,STARLINK-1844 - Z-Coordinate,STARLINK-4288 - Z-Coordinate,STARLINK-6240 - Z-Coordinate,STARLINK-2431 - Z-Coordinate,STARLINK-5040 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-1353.4700,5989.5901,-551.3037,4040.2222,5643.2048,5071.2891,6174.5497,1916.1510,-2599.6358,-4515.7116,-5426.9736,4894.2987,214.6523,-6292.0490,-5923.4495,0.0000,299.7031,-4398.3702,-5406.0020,1371.6231,-114347.0476,-102289.3339,-121457.2706,-118765.6558,-110259.3660,-112084.1079,-114393.5932,-116059.8761,-262380091.0116,-262351992.9690,-262374033.7569,-262370492.2356,-115840.6628,-262373768.2996,4159.7869,3363.8892,5150.9015,-4917.3096,2087.1937,-3077.3907,-2562.9124,-6539.9303,-6199.1948,3267.2342,-664.1653,-1315.7794,-4390.0474,1767.9186,-2750.3552,0.0000,4048.7722,2510.5947,-675.5081,4987.9061,-378463.6345,-358951.1509,-368752.3073,-372775.4561,-374439.4783,-371779.4587,-365521.8009,-370607.3498,226614812.0522,226647646.0953,226624982.5724,226641371.4638,-369024.8444,226632416.1388,5319.7065,814.8787,-4374.7244,-2464.0653,-3433.3026,-3305.9380,179.3164,-499.1573,1348.4342,-3951.7737,4155.0338,4634.4731,-5117.2420,-1710.4586,-2268.4289,0.0000,5300.7577,-4699.5173,4185.9698,4522.2004,60993.2675,60982.7864,64196.3382,61765.1709,67252.8981,60763.1844,52969.0146,62551.8406,132631957.9065,132607913.1285,132657688.4931,132630537.6718,61724.7965,132640173.7460,
3600.000,-3110.4601,-6246.0700,-4117.4594,141.3128,-4743.3643,-3548.7969,-3201.4325,928.0899,4508.2601,-20.6418,6715.0541,-5403.0379,3583.6690,4826.2407,6455.0240,0.0000,-5235.5725,2273.5050,2931.1889,-4103.3986,-15247.9003,-7793.1128,-24815.3269,-21587.5906,-13329.5663,-18883.0895,-17487.5344,-19593.2388,-312128025.9067,-312106311.5167,-312115861.7654,-312125721.7953,-19476.8653,-312121972.0652,-4012.4543,-977.2001,-3814.4156,5013.0851,1779.4817,5754.0784,3832.8231,5922.4572,4506.5507,-4148.1436,-1458.9028,4162.8032,5514.6835,-3467.8617,1251.8558,0.0000,-2413.6289,-5809.6247,-3025.6803,-1369.6854,-392034.7970,-372923.5555,-384304.7997,-386009.0574,-391573.2388,-387559.7366,-383110.5463,-384637.9146,150912772.6047,150949065.1558,150926812.6851,150938265.5656,-386282.1134,150931451.9407,-4670.0720,2801.1255,3788.5320,4614.8172,4711.0454,-619.7247,4438.3692,-3284.2730,2520.1292,5416.7763,-42.7944,-853.3842,1481.6497,-3215.2439,-2141.6489,0.0000,-3389.4475,2952.2882,-5440.9200,-5351.7212,62001.2696,61891.1594,65317.3801,61551.3072,68546.4626,65173.0268,53932.7239,62323.1121,132594748.9355,132567553.8097,132619423.7459,132589918.8776,63010.8381,132600389.3236,
7200.000,5916.3804,4498.5599,6605.8812,-4496.6832,3193.1822,10.6252,-2291.7684,-4117.5500,-5032.3264,4193.3398,-4698.0866,3435.3079,-4677.9484,-106.2494,-4356.1091,0.0000,6446.5305,-14.9023,-465.0204,6115.7831,82191.7096,86999.1106,73309.1267,79346.1108,84713.7996,74408.8800,80757.0056,78499.8064,-340567922.4856,-340552827.3226,-340552371.9154,-340570382.1664,78130.6309,-340562636.5051,3409.7411,-2393.4879,1507.9918,-3921.2002,-5309.1529,-5454.1199,-3954.6960,-2860.9665,-518.3049,4546.0405,2867.6928,-4795.8917,-3443.7630,4047.2040,1382.0178,0.0000,237.5592,6871.9409,6166.4786,-1829.8716,-379536.6263,-362612.1763,-375300.8587,-375224.3211,-383693.0708,-378042.9545,-375627.7129,-380530.4666,64908836.7784,64946262.9808,64929356.3055,64928849.1174,-378788.1848,64928385.4575,953.2993,-4684.9236,-130.3442,-3313.5371,-3097.3965,4031.7478,-4887.0443,4631.9995,-4635.1253,-2903.8753,-4116.5758,-3534.8470,3414.4992,5396.7287,5176.1608,0.0000,-1760.6718,669.6021,2998.1155,2552.7119,63211.8149,62806.5260,65814.6796,64771.4963,69461.1997,64243.1025,55502.7916,64616.8961,132557875.7602,132527441.5035,132579908.2917,132551886.8965,64291.2848,132560575.4133,
10800.000,-5824.1081,-1939.6779,-5481.1940,6563.4444,-1186.4808,4249.6471,5949.4081,6288.1041,4514.2367,-5695.7409,438.8246,721.7883,3822.9699,-4566.9171,1342.6340,0.0000,-3175.8069,-2449.6680,-1301.4337,-5618.2327,169200.0469,176001.3431,166703.9587,174117.5133,177482.0029,165991.9633,173904.5209,170002.2104,-345758772.7468,-345749687.7946,-345743384.9975,-345760444.2975,170725.6566,-345754586.8333,-1505.6795,5555.8926,1609.1046,1795.9822,6808.3338,3180.0514,2971.7440,-697.9964,-3805.1432,-3327.1394,-4152.6112,4051.4125,-1398.5402,-3948.7673,-4615.4473,0.0000,2698.3610,-5163.8954,-6594.0746,3452.5878,-345388.6993,-328773.8487,-342393.8933,-342856.6626,-351370.8360,-345891.2722,-343559.8141,-345411.3730,-25525677.3623,-25489340.9118,-25497713.9104,-25512115.8500,-347024.7477,-25505685.2211,3359.4719,3629.1583,-3651.8264,-496.7656,-445.8497,-4237.0430,700.2705,-2586.3205,3479.5601,-1775.8199,5449.5787,5495.6326,-5379.2587,-3033.8458,-4971.8904,0.0000,5216.7994,-3881.2349,1444.8083,1943.3479,65599.0796,63731.0414,65898.0156,68309.6646,70009.0835,62000.5725,57681.4639,65410.6124,132521147.9493,132487612.6152,132539341.9442,132516809.2300,65566.0340,132520732.0320,
14400.000,3686.0348,-486.1054,1836.6536,-5420.3201,-1369.0350,-6699.1170,-5254.3152,-5803.2435,-2895.9281,4508.3633,3502.7510,-4901.7292,-2311.8079,6042.5469,1038.1489,0.0000,-1453.9956,4852.1777,2916.6097,2189.2929,249083.3186,253522.0627,249485.5484,256942.8192,258891.3900,247795.3496,255841.7814,253358.6046,-327346744.6627,-327342290.4024,-327335025.9725,-327342565.7849,252373.8726,-327343737.2322,-1925.5166,-6893.9221,-4769.5953,1325.8271,-5687.8782,-320.3880,-118.7078,3333.9437,6215.2389,-94.1847,5048.6136,-3037.5632,5736.2427,2333.6542,6639.7053,0.0000,-5344.9362,1729.5215,3801.0014,-4001.1294,-296770.1497,-273656.4132,-287692.1919,-288487.5889,-296764.8696,-291962.5066,-289084.7505,-294545.2819,-114217166.1012,-114183722.5057,-114182510.3201,-114204170.4533,-293029.5316,-114197264.9945,-5504.6706,-323.7628,4440.5933,3914.5921,3694.8006,1039.7464,4125.9798,-1382.1385,104.0005,5120.9185,-3079.8823,-3745.6464,2679.4172,-1919.9603,1614.3370,0.0000,-3747.7253,4589.5876,-4938.8561,-5153.4029,68428.9964,64666.5078,65886.5821,71061.0167,70185.1690,60730.6860,60505.1472,66621.5742,132484363.7488,132448110.5079,132497910.4887,132483731.3933,66834.9840,132480859.1969,
18000.000,-1205.1661,2662.3008,1934.1414,2239.3346,4247.5926,5610.7553,1713.3368,2415.9143,-88.7841,-2312.5279,-5200.1937,6637.4399,255.9560,-4072.4671,-2460.9178,0.0000,4120.2624,-6267.4312,-4607.4684,2401.6065,317272.1461,314622.5408,316414.3525,323027.7777,323503.7971,313794.6937,321196.6557,316632.8671,-286589265.3111,-286587495.7460,-286583951.4934,-286583011.5100,317843.3655,-286587240.4939,5447.9826,5527.5933,6289.8604,-4707.0842,2838.0143,-2390.3252,-4007.3455,-4706.9684,-5819.0400,4381.4087,-4265.7987,1696.9681,-6323.7209,1277.5782,-5846.7810,0.0000,5103.1708,1672.3885,475.7279,4212.6972,-227871.0051,-200850.1579,-214627.3878,-215236.4522,-223485.5309,-219148.3843,-215989.3203,-219041.6059,-195111203.6455,-195081754.0872,-195072035.7331,-195089554.8577,-220265.4630,-195091896.8624,4042.5940,-3203.5358,-1626.4139,-4406.2413,-4679.3649,2971.7389,-5077.5532,4313.9137,-3633.3104,-4706.1395,-1410.1010,-575.2460,2316.5140,5225.1805,2735.5239,0.0000,-1299.7833,-2373.8139,5072.0561,4868.0617,70468.8353,65614.5707,66123.4177,73211.6467,69973.6760,60308.3926,64048.6627,68493.6747,132447323.1492,132408987.3063,132455777.9798,132447058.5536,68098.0337,132440956.9251,
21600.000,-638.8545,-4595.4166,-4272.1122,1113.4989,-6340.2056,-1655.7277,1626.2384,2175.5392,3761.5164,320.1109,4662.2820,-5168.2925,2744.0780,912.9200,3636.1329,0.0000,-4209.6109,5512.6796,5479.6308,-5508.9378,366613.4291,355425.7014,363190.2815,368331.0603,366702.6238,359430.8488,365678.2771,364286.4148,-226269107.6847,-226267826.6383,-226271675.5615,-226269081.6756,362940.1274,-226267646.7103,-6864.4766,-2110.1693,-4614.8555,6543.0981,276.3847,4691.3389,6370.9636,5029.8880,3419.8994,-6774.5443,1102.5272,624.0937,3093.7931,-5269.2721,2370.2048,0.0000,-973.7980,-3925.1667,-3746.6127,-3900.1753,-142502.5632,-115055.0121,-127780.7836,-127793.8629,-136307.1834,-131966.0259,-129630.2820,-134395.3706,-262685837.3225,-262660593.1891,-262645241.0439,-262658141.2383,-133398.3904,-262667465.2997,31.9369,4712.1585,-2531.8861,1570.0690,2762.5257,-4623.5453,1214.1624,-4086.1560,4592.9145,797.6307,4918.8084,4478.3051,-5329.8858,-4130.7416,-5384.8543,0.0000,5090.7101,-1382.2676,-1803.2742,-1323.7664,72186.3632,66576.8534,66883.4450,74883.0443,69394.7061,60599.2541,68394.3954,68626.6859,132409840.8395,132370306.1084,132413088.2849,132404000.9239,69355.0829,132401025.2337,
25200.000,2219.7106,5862.4059,4955.4296,-3490.7120,6342.6097,-2654.3475,-3381.6582,-5462.1242,-6425.9216,1563.3449,-3237.3741,1955.3914,-5505.2055,1560.1446,-4784.6136,0.0000,3055.7484,-2388.8888,-4082.3126,5770.5473,392926.1988,373356.3816,386732.9162,390041.8349,384511.5549,381596.5949,386051.4493,383419.7725,-150504361.3790,-150501508.9051,-150514821.2985,-150511218.8153,384776.8918,-150502932.3760,5075.3398,-1636.8306,211.9703,-5329.8592,-2643.7655,-5692.9190,-4355.5633,-4017.5482,-526.7692,5533.3577,3300.7555,-3838.8023,1119.1314,6554.5218,1853.9456,0.0000,-4333.9203,4896.9578,4826.5869,2045.9737,-46323.9777,-21778.7844,-32651.2448,-31827.5973,-40109.0024,-36021.6064,-37399.7344,-37324.1593,-312328502.6035,-312306739.1213,-312289828.2747,-312302868.2171,-37997.6622,-312311153.9611,-4111.9801,-3294.6784,4608.2467,2428.8482,842.3860,2564.9308,3774.4657,833.9834,-2342.6117,3678.1411,-5086.3910,-5360.9096,3721.1555,-481.3580,4623.1731,0.0000,-4075.4994,4232.9894,-2713.7261,-3140.7289,73723.6202,67555.0609,68299.7653,76141.3263,69146.4681,61528.0521,72768.5478,71503.6906,132371758.2096,132332143.4868,132369969.5838,132358901.0730,70606.0322,132361064.1399,
28800.000,-4002.4924,-5479.4672,-4283.6416,4835.9115,-3822.9940,5069.2276,4080.8825,5989.6908,6363.0277,-3793.8946,1788.3057,964.6968,5578.0181,-3191.4288,5067.8162,0.0000,-1147.7961,-1853.8560,282.3099,-3881.5276,393911.6128,367298.2786,385426.0925,386834.8395,378388.7703,378785.9970,381228.6663,383296.3575,-64467272.1430,-64461319.6611,-64484238.0123,-64476466.7949,381958.0831,-64465369.5769,-1140.4675,4219.7852,4351.8576,1368.0251,4220.1048,4245.1356,-936.2391,1291.2969,-2021.9301,-1583.4214,-6392.7948,6294.5684,-3626.6625,-3688.1813,-4599.4290,0.0000,6534.3467,-5004.0978,-4275.5029,1516.5925,54225.8513,73014.0872,64656.8092,66425.5224,61022.0863,62434.2817,56095.7530,59366.2613,-340650836.6953,-340631017.3144,-340617070.5230,-340631970.6558,59821.2119,-340634325.2659,5487.6343,-198.3846,-2945.1788,-4618.7041,-3945.6673,1528.0729,-5219.8002,3014.3768,-1572.5435,-5458.2054,1768.7542,2580.5959,1083.5555,4663.1344,-971.7186,0.0000,-828.7619,-4387.8844,5367.8385,5461.3003,75139.6850,68551.0745,70327.9609,77020.2018,72331.8419,63062.5922,71801.6050,70688.8897,132332953.6234,132294591.7127,132326539.5231,132314364.3606,71850.7830,132321073.6608,
