sl_20_86400_20301024 Coordinates.csv
2030/10/24 07:47:00.0000 UTC

Generated: Tue Oct  8 21:51:23 2024,
Start: 2030/10/24 07:47:00.00, Stop: 2030/10/25 07:47:00.00,
TIME_UNITS,STARLINK-5703 - X-Coordinate,STARLINK-30788 - X-Coordinate,STARLINK-31079 - X-Coordinate,STARLINK-5108 - X-Coordinate,STARLINK-5705 - X-Coordinate,STARLINK-5470 - X-Coordinate,STARLINK-2221 - X-Coordinate,STARLINK-31245 - X-Coordinate,STARLINK-1138 - X-Coordinate,STARLINK-1327 - X-Coordinate,STARLINK-6098 - X-Coordinate,STARLINK-2431 - X-Coordinate,STARLINK-5851 - X-Coordinate,STARLINK-1361 - X-Coordinate,STARLINK-30117 - X-Coordinate,STARLINK-6074 - X-Coordinate,STARLINK-1782 - X-Coordinate,STARLINK-3451 - X-Coordinate,STARLINK-1147 - X-Coordinate,STARLINK-11151 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5703 - Y-Coordinate,STARLINK-30788 - Y-Coordinate,STARLINK-31079 - Y-Coordinate,STARLINK-5108 - Y-Coordinate,STARLINK-5705 - Y-Coordinate,STARLINK-5470 - Y-Coordinate,STARLINK-2221 - Y-Coordinate,STARLINK-31245 - Y-Coordinate,STARLINK-1138 - Y-Coordinate,STARLINK-1327 - Y-Coordinate,STARLINK-6098 - Y-Coordinate,STARLINK-2431 - Y-Coordinate,STARLINK-5851 - Y-Coordinate,STARLINK-1361 - Y-Coordinate,STARLINK-30117 - Y-Coordinate,STARLINK-6074 - Y-Coordinate,STARLINK-1782 - Y-Coordinate,STARLINK-3451 - Y-Coordinate,STARLINK-1147 - Y-Coordinate,STARLINK-11151 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5703 - Z-Coordinate,STARLINK-30788 - Z-Coordinate,STARLINK-31079 - Z-Coordinate,STARLINK-5108 - Z-Coordinate,STARLINK-5705 - Z-Coordinate,STARLINK-5470 - Z-Coordinate,STARLINK-2221 - Z-Coordinate,STARLINK-31245 - Z-Coordinate,STARLINK-1138 - Z-Coordinate,STARLINK-1327 - Z-Coordinate,STARLINK-6098 - Z-Coordinate,STARLINK-2431 - Z-Coordinate,STARLINK-5851 - Z-Coordinate,STARLINK-1361 - Z-Coordinate,STARLINK-30117 - Z-Coordinate,STARLINK-6074 - Z-Coordinate,STARLINK-1782 - Z-Coordinate,STARLINK-3451 - Z-Coordinate,STARLINK-1147 - Z-Coordinate,STARLINK-11151 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5245.7413,-2373.0368,5439.5707,-6617.1759,-5231.0923,1666.3282,-4077.4754,11.4497,512.2582,5440.7615,-4035.4872,-247.5969,-5466.4381,-728.1257,-4935.5645,-3746.2604,4079.4909,-1046.7342,-4097.7560,3360.7397,-323068.9891,-329168.7487,-338881.0163,-333872.4826,-328772.6220,-332125.7831,-338663.7465,-335633.4792,-307534768.5355,-307519749.8172,-307518901.3827,-307519186.7295,-336022.8228,-307523245.3457,-4218.2807,-4844.7940,-1516.1753,-1915.8305,1501.9043,-4445.0709,-1275.1679,4124.4016,-4273.9282,3440.5287,5578.6092,5645.8307,2987.7929,4409.9831,-1150.5605,5508.4707,5181.4985,4579.0854,-2032.0499,-2590.5785,155015.9708,171690.1144,158754.0935,159516.2504,166585.8523,165931.4255,166374.9315,164346.5508,86697106.0172,86714031.0349,86733403.5512,86716753.2832,163584.8196,86710301.6884,-1602.6460,-4193.6096,3989.5554,303.7525,4239.7589,5007.5342,5412.1490,5393.7230,5372.7691,-2417.8826,688.7719,3906.3524,-3095.3635,-5253.4654,4702.0957,-1906.4741,1985.6905,4989.3905,-5183.2297,5256.9781,-21496.3094,-25708.1782,-19552.8064,-22206.4334,-16566.6217,-22761.0040,-30814.1812,-20481.7010,43955995.8799,43915924.2730,43956237.0221,43950841.0953,-22047.5795,43945485.3646,
3600.000,6227.3191,4190.7616,-2580.8138,5394.2685,4810.9417,2736.3696,4289.2917,-4310.0206,3045.6663,-6256.1263,1105.9530,-1832.2264,1933.6827,-3648.2498,5650.9169,373.5315,-4237.2433,-3444.2919,6561.3850,872.5300,-352063.3470,-361113.8588,-370224.5922,-367321.2973,-358619.8463,-364833.8958,-368132.4810,-366310.5364,-319464237.2849,-319448267.0473,-319456371.7664,-319454854.8873,-365970.1403,-319452894.6413,2136.5495,506.0622,4511.7094,-299.0088,-4754.1257,3738.2814,-3093.4899,-4467.1414,5540.4015,-1913.5982,-5637.7510,-6618.7572,-2376.3684,-3385.9557,-2630.6826,-5304.1659,-1752.2896,-3219.5641,-313.1361,5315.9215,70524.9195,81237.8038,70333.9622,72613.5710,77757.1622,73927.3158,77340.7211,73385.8652,4052380.1781,4065761.1754,4089400.2894,4075868.7769,74162.8978,4064624.7427,-2132.4308,5357.3724,-4573.7537,-4288.7432,-1395.3448,-5127.8386,-4439.9935,-2777.7451,-2747.4939,-2119.2327,-3865.4005,297.7883,6229.6587,4761.8037,-3011.7676,4428.9711,-5146.6229,-4987.5538,2138.0355,-4097.8629,-23226.5081,-26619.8015,-21200.9226,-24878.2115,-17992.1144,-21198.8225,-32470.8281,-25018.2158,43898590.3746,43859487.2170,43894263.4230,43887915.5668,-23429.8167,43886809.2183,
7200.000,-5095.4307,-5355.4832,-407.1336,-2383.1732,-2723.2759,-5953.4299,-3842.6564,5725.3889,-4617.3952,4356.0252,2784.5330,3131.9865,2689.0438,6400.8906,-4787.9174,3591.3651,3962.2549,6451.4139,-6260.6033,-3577.2909,-359625.2961,-368984.9556,-377904.1275,-375349.7518,-365413.5107,-374797.3680,-374506.6531,-371999.0166,-309573154.1263,-309554381.3609,-309572911.0639,-309569713.0787,-372560.7254,-309561461.7555,1194.9319,3362.7537,-6512.9457,3465.1371,5890.6682,-2893.6537,5702.8370,3048.3549,-4825.2691,-1097.9277,4323.6111,4336.0494,2736.4519,2274.1843,4964.5855,4132.6637,-2772.8881,1789.6860,1870.2272,-5718.2291,-18712.9914,-14774.1967,-22526.9385,-17111.6204,-15658.7963,-23067.4934,-16066.3645,-19081.9239,-78851799.2619,-78840852.1451,-78817249.4406,-78831154.2606,-19822.8569,-78840412.6981,4514.3001,-2584.9873,2293.8903,5454.0502,-2364.6762,1960.5164,593.5471,-2038.7968,-1705.3232,5194.7348,4621.4430,-4323.7403,-5805.7290,-1181.3211,-573.1971,-4248.7691,4898.3022,1481.5635,2240.1039,-497.7428,-24958.5016,-27252.6859,-23444.1256,-24102.3594,-19781.4765,-25125.5727,-33516.5972,-23272.8478,43840429.4193,43803769.7427,43832064.6243,43824435.3223,-24809.8026,43828140.5951,
10800.000,2931.7917,4261.8415,2673.4019,-461.0035,-871.3140,6320.8593,1810.3209,-4283.3179,4448.7702,-1529.9360,-5948.4827,-4248.3247,-5555.4440,-6096.5622,1968.5811,-6318.9924,-3354.0117,-6147.3092,3116.7742,4200.7861,-345225.4253,-352434.0061,-361379.7628,-357868.0868,-348746.4363,-358325.0263,-357463.7736,-355932.5521,-278541798.7640,-278519116.2632,-278547520.9619,-278540113.6350,-355419.6513,-278529342.3789,-4750.1628,-4896.5313,6225.8290,-6152.0537,-5077.4038,1342.8961,-5591.3711,613.7888,1570.9120,4714.1888,-2485.6689,17.4544,-3670.7037,-437.0645,-5444.9627,-2439.6329,5843.6570,50.7914,-3289.9232,2524.5259,-107474.6241,-110648.6068,-113856.6747,-107522.9602,-107832.2609,-116294.3537,-108019.7503,-113229.0363,-156353242.9784,-156342892.7895,-156323872.3184,-156339292.6042,-112377.6457,-156342370.8282,-4092.4017,-2128.0626,1395.7813,-3086.7887,4587.7271,2431.9902,3610.8768,5233.1502,5014.4041,-4768.5546,-2522.7421,5395.5992,1990.6842,-3195.2829,3780.1772,1441.8917,-1443.0673,3035.2360,-5220.3465,4652.0947,-26683.0860,-27300.9524,-26050.9328,-23290.6436,-21922.0116,-29951.9886,-33947.2997,-27674.4810,43781480.1603,43748886.8717,43769751.6116,43761863.6184,-26187.3946,43769479.5189,
14400.000,-594.8450,-492.4153,-4273.4801,2250.7101,4667.4363,-4173.5962,1845.6506,1852.1710,-3693.6036,-739.0862,6816.8649,4935.9168,5308.4154,3393.7955,2058.6056,6551.2820,1563.9021,3090.4541,1056.8192,-3794.2978,-309554.6947,-315737.8760,-321720.8298,-318019.9641,-309700.1651,-318478.1249,-318067.8424,-315001.5736,-228494097.2329,-228467479.6654,-228503171.5509,-228488812.3453,-315684.6411,-228480687.2935,6803.6326,4340.7035,-3425.1420,6383.1580,3293.6517,1501.0966,3723.4452,-4888.4870,2894.1107,-6746.9122,305.3370,-3862.6773,3395.3432,-2465.6726,4697.1877,201.3682,-6010.8787,-2791.7338,4769.3745,2613.3143,-190625.5273,-200202.5940,-197744.8904,-191545.1495,-193065.2695,-201370.6863,-192844.4192,-196589.9085,-223159949.0100,-223148052.8692,-223137515.2617,-223152652.4004,-197610.2496,-223149087.4290,1096.0152,5238.1729,-4235.7090,-1318.4684,-3884.1970,-5298.9229,-5515.3105,-4350.8669,-5051.2915,1088.6139,-1165.0156,-2829.4805,2929.0781,5461.8500,-4651.7933,2230.4988,-2987.5962,-5455.0277,4878.8281,-4958.7568,-28381.5000,-26546.5394,-28691.7750,-23259.1320,-24416.8631,-33792.4811,-33724.6516,-26235.2877,43721761.2850,43694946.9604,43707438.2176,43700991.1437,-27562.4501,43710826.0139,
18000.000,-1665.5390,-4120.2357,5278.5669,-3367.7991,-6774.0838,1249.1122,-5483.2470,281.7393,2758.5931,2291.3463,-5081.7848,-3956.2289,-3091.0584,-264.6979,-5498.6488,-4493.8051,1699.3881,496.5569,-4024.0642,2720.2213,-254396.7341,-259964.9894,-261550.2126,-258489.9085,-250791.0207,-258597.0383,-258631.5063,-256466.7092,-162852283.2789,-162822938.5233,-162861611.1065,-162839367.1541,-255930.1940,-162838004.8515,-6201.2816,-3076.3057,-623.4761,-3566.1090,-1152.2537,-4826.7784,-1620.2490,6791.3118,-6064.8453,5569.4091,2262.8934,5367.4964,-648.7990,5477.2481,-3283.5897,2668.4650,3877.7734,5509.4458,-5423.2118,-6088.7970,-263469.9783,-274096.6339,-268779.2682,-263286.0176,-266204.5574,-273358.1311,-265378.1932,-271295.6244,-274711433.9887,-274696149.3813,-274696442.4373,-274707078.0831,-270108.2153,-274700051.0994,2565.5166,-4500.0960,4421.0244,4836.9907,671.4164,4769.5214,3858.8768,38.3127,1753.4032,3306.8036,4107.0967,-1680.3099,-6200.7503,-4182.7855,2612.6234,-4551.9554,5426.0370,4045.9447,-1468.1791,1114.7371,-30005.8435,-27517.7278,-31027.2814,-23810.2751,-27277.1464,-36788.5853,-32772.4494,-30143.5047,43661341.8132,43641997.0465,43645246.8729,43642480.9057,-28934.8262,43652180.1042,
21600.000,3951.4506,6626.6203,-5312.8782,4431.3960,6109.4421,973.1545,6896.7992,-2217.1319,-1078.1965,-3786.5166,1876.6857,704.7956,1122.0770,-1911.1117,6719.2320,1428.0960,-5232.6836,-2804.5148,4883.1542,-355.5373,-182126.4309,-186237.8188,-184842.3659,-183032.3621,-175941.3504,-182779.4121,-182363.4705,-179486.9235,-86102926.6941,-86073124.5229,-86109473.4527,-86082150.2494,-180000.3080,-86088117.3426,3278.7978,1597.1492,4022.5700,-810.7239,-1256.0950,6729.5048,-52.3755,-4785.0143,6255.8574,-1713.9416,-4904.2017,-4627.6534,-3557.8140,-6622.6836,1284.2897,-5418.9300,-1243.4098,-6258.0805,3943.4615,5689.6413,-322210.0395,-330921.1304,-322442.7039,-318044.0710,-323114.4420,-327934.4299,-321395.0970,-323828.1070,-307490047.5917,-307470541.7855,-307481652.5477,-307482591.9941,-325281.6232,-307477723.0564,-4642.0611,408.6368,-1870.4516,-5225.2122,2952.7567,-1223.1835,256.6219,4280.4100,2674.3811,-5480.3251,-4514.0015,5025.4960,5855.3671,150.4352,1034.1317,4061.8479,-4310.1459,166.8990,-2895.5942,3632.1045,-31370.7438,-29083.0679,-32799.1923,-24823.5875,-30463.9596,-39071.0090,-31016.8782,-29340.2754,43600336.6287,43589903.5775,43583315.2896,43587036.6352,-30304.3796,43593541.8138,
25200.000,-5758.0443,-5527.3842,3642.6650,-4943.7010,-3215.8515,-2414.2467,-5151.2904,4289.3842,-1859.6423,5072.7327,1268.4668,3627.2843,-535.5538,3127.2276,-5407.3209,1320.2729,6838.5439,3765.5570,-4288.8704,-3302.4580,-92340.7604,-99920.3332,-96606.6879,-96386.4949,-91206.6701,-95929.6307,-92528.9248,-92997.8784,-3490314.5124,-3462727.5498,-3491665.2430,-3467783.7555,-92760.6982,-3475476.0153,416.7244,585.8246,-5582.2542,4274.3829,3911.2046,-5666.3346,1802.8259,336.4498,-3908.4048,-2469.0579,6469.1322,3052.1211,6587.8992,4693.1761,1496.0151,6711.8618,-768.3843,3810.3790,-246.1311,-2442.7964,-362078.7120,-367528.3299,-355414.3864,-352318.5298,-360999.0864,-361829.6425,-358517.3637,-361220.5081,-319261019.7350,-319238028.0916,-319257144.0347,-319245661.6743,-359653.6000,-319247555.0984,3802.6645,3957.2025,-1866.1995,2187.4179,-4699.7572,-3129.5671,-4230.9538,-5267.6849,-5366.6884,3920.4896,2099.0303,-4983.1951,-2167.7043,3956.4183,-4057.2345,-1094.9257,332.9482,-4288.6697,5403.4292,-5379.5814,-31375.3013,-30788.8245,-33899.5335,-26233.6180,-33119.2574,-40711.8256,-29439.7945,-32454.6243,43538899.0407,43538194.7436,43521804.4720,43534836.9567,-31670.9669,43534911.1667,
28800.000,6060.3229,2027.0314,-254.4055,3725.8002,-298.2416,3697.3883,1412.5483,-5433.8762,5123.0432,-4941.0081,-3425.2943,-6526.6055,403.1555,-4128.2368,2581.8701,-3322.4517,-5234.1430,-4162.9871,3372.9697,6151.7119,5527.9849,-6704.3486,-2512.1321,-3981.2973,-2486.4646,-3535.0262,3468.0726,222.3444,79341869.5762,79365267.2882,79347021.4482,79355907.1343,213.4817,79356202.5458,-3282.3258,-3632.8295,5310.1140,-5344.0572,-5987.4312,2023.8780,-3959.9957,3491.6998,867.3977,4771.0591,-5793.7749,-1506.2272,-6345.5329,-533.5818,-4532.2852,-5513.1919,2292.4371,736.9881,-4007.9921,-969.1061,-370973.8330,-381490.9548,-365746.5847,-363949.7102,-373879.7550,-373041.4710,-373302.2136,-369321.0507,-309224855.2076,-309200611.8778,-309222525.7240,-309205608.7750,-371079.1912,-309210326.0908,-604.4816,-5421.4128,4419.5870,2252.7746,3416.9971,5461.6945,5465.0422,2109.5381,4518.4690,277.2563,1601.1926,1541.5083,-2821.0389,-5499.8653,4537.6360,-2566.2656,3840.2638,5391.5782,-4510.2308,2627.6178,-31311.2464,-32541.3380,-34399.5147,-28006.6344,-32326.1640,-41740.9187,-33351.2065,-32542.9557,43477210.8569,43486072.8442,43460908.1010,43482081.3341,-33034.4446,43476288.1871,
