sl_5_86400_20300418 Coordinates.csv
2030/04/18 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:57 2024,
Start: 2030/04/18 07:47:00.00, Stop: 2030/04/19 07:47:00.00,
TIME_UNITS,STARLINK-31181 - X-Coordinate,STARLINK-6132 - X-Coordinate,STARLINK-31159 - X-Coordinate,STARLINK-30421 - X-Coordinate,STARLINK-11232 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31181 - Y-Coordinate,STARLINK-6132 - Y-Coordinate,STARLINK-31159 - Y-Coordinate,STARLINK-30421 - Y-Coordinate,STARLINK-11232 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31181 - Z-Coordinate,STARLINK-6132 - Z-Coordinate,STARLINK-31159 - Z-Coordinate,STARLINK-30421 - Z-Coordinate,STARLINK-11232 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5328.7997,3389.2376,4194.5346,-2367.7644,267.5373,140134.4415,152293.3868,152857.6898,148522.0046,143311.7044,146194.7435,153008.2434,150810.0344,-109751394.3049,-109743363.2994,-109752547.5579,-109741027.7497,150608.0464,-109744089.5429,4072.8975,4583.5987,5230.4146,3333.2797,6533.0400,-297336.2944,-330109.9403,-307011.8036,-307657.7275,-314494.9719,-314156.7270,-315047.2701,-311039.0096,336899801.5016,336860184.1434,336874121.0367,336871122.0463,-312207.4029,336881184.9208,-1496.2912,3885.5145,1685.4476,5450.7794,-1600.0556,-92754.9825,-95659.5847,-92338.0798,-94314.2536,-89112.6258,-96112.4552,-103442.8867,-96085.9540,87682289.3782,87653483.9774,87705535.2640,87680587.0579,-94720.0809,87686465.9728,
3600.000,-5303.4004,-6060.2012,-5628.0904,-1310.2870,-2766.4163,209240.9807,229083.4831,227073.6449,224179.4726,215892.1424,221451.0745,225151.8581,223337.3673,-193262790.1983,-193249948.0215,-193259750.5351,-193246576.5245,223362.9285,-193254310.2424,-569.5228,-3233.6423,-3458.2063,-5806.6336,-3322.1140,-253886.5484,-282340.0809,-260327.7520,-262372.7366,-267393.1326,-264899.6512,-267705.6655,-265657.4216,296978728.0835,296943024.5426,296946680.0913,296955158.0478,-264595.2199,296960175.1256,4320.9210,-701.6298,2036.9731,-3336.5569,5149.2194,-94150.4641,-97104.6500,-93423.8965,-97217.3973,-90115.9382,-93870.3431,-104949.3965,-94397.5984,87753680.7095,87721769.1123,87772918.8032,87745294.0967,-95821.4743,87754802.6154,
7200.000,4025.6541,6202.5389,5258.0439,3421.2152,5104.3802,265774.7059,291635.1480,286853.0372,284466.2124,274534.7543,284145.8387,283304.1086,282011.8472,-263584283.7037,-263568688.6281,-263574415.5676,-263567015.6520,281906.7586,-263574769.8680,-3662.6403,713.9774,-38.2435,5756.8347,-1361.0378,-194782.8558,-216949.0693,-197260.8374,-202855.6750,-203773.7791,-197762.9811,-204097.0585,-199566.4311,236789549.9309,236758690.6983,236753680.3515,236773790.2142,-200443.3439,236771582.0231,-4199.6359,-2952.9472,-4496.4127,-1304.0101,-4175.8287,-95554.0060,-98526.5077,-95141.5079,-96836.7573,-91494.6277,-96490.2173,-105827.5659,-98502.0117,87825120.5666,87790379.2365,87839474.7926,87812229.1262,-96912.1174,87823115.1267,
10800.000,-2076.1063,-4277.1254,-3864.5962,-4032.2920,-5196.8148,306298.1728,335982.0821,328363.1902,324701.9236,315577.8096,325867.6671,323922.1867,322514.1250,-315916255.0378,-315900134.0430,-315898360.7876,-315902999.2158,322592.0636,-315906087.7818,6440.2009,2696.8407,3984.8088,-2398.9930,4247.1491,-123468.7072,-138049.0170,-121831.3665,-128635.6235,-127564.5661,-120266.4508,-128141.8419,-124616.8373,160440325.7130,160414369.6401,160404005.1480,160431152.6799,-123825.2199,160423326.3489,1181.1370,4691.2878,4114.5066,4942.2441,-503.9608,-96963.7438,-99923.0733,-97322.7590,-95529.5968,-93236.9967,-101194.9922,-106078.2242,-96413.5538,87896406.3945,87859365.3296,87905368.5162,87881563.8370,-97991.8812,87891403.4857,
14400.000,-448.2112,1602.3328,2020.9847,4061.0604,1768.5520,328275.0299,359317.0915,348975.4267,344761.8152,336477.5498,346048.9679,344480.2751,343158.8064,-346686958.0036,-346672347.7982,-346661422.7319,-346680547.7228,342903.3064,-346676657.3379,-6328.6860,-5775.9019,-6511.3618,-2476.5050,-4454.0265,-44110.4316,-50618.0985,-38891.4697,-45647.5056,-43438.7276,-36055.6575,-44460.5831,-38812.7773,73142112.1182,73120225.8387,73108818.1781,73134990.7647,-39587.3648,73126226.5880,2628.1994,-3431.6884,-1162.3578,-4893.8798,4716.9202,-98377.4064,-101292.4161,-99672.3267,-94978.9070,-95349.9566,-104931.9033,-105668.0143,-100694.2588,87967344.0498,87928789.1069,87970744.3539,87953369.1320,-99060.6385,87959667.6711,
18000.000,3456.1355,910.5205,347.4332,-3440.2069,3419.6853,330212.3724,360172.7928,347461.2046,343568.6950,335980.8202,344489.5153,343567.0173,341321.3285,-353796318.3481,-353784707.9047,-353764949.3682,-353794859.5198,341611.7728,-353786407.6692,3696.3096,6843.5696,6424.6832,5774.5067,3275.3367,38632.6579,39818.6749,46232.5301,40125.0720,43522.1214,50020.4653,41918.6844,46148.9982,-19146741.3839,-19166150.0322,-19174092.0980,-19157752.5574,46957.2914,-19161643.8378,-4653.1009,-50.9312,-2540.3628,1154.6013,-4787.9528,-99791.8495,-102632.6320,-101846.8306,-95029.3740,-97855.4722,-107782.5387,-104524.8150,-98580.2494,88037760.3714,87998725.5395,88035730.8179,88027337.5960,-100118.2630,88027907.6619,
21600.000,-5920.2584,-3040.2294,-3170.4462,1300.7128,-6511.9623,311743.1690,338516.2848,324053.6351,321167.9165,314308.8215,321679.0166,320817.4610,319242.0007,-336759262.8435,-336751304.2502,-336724887.8699,-336754624.0194,318849.1800,-336750131.8834,-193.0647,-5122.4301,-4033.6339,-5746.6164,-1581.4708,119865.8689,127544.0333,128135.5550,123077.6926,128259.3205,132776.6524,125959.8726,131344.3399,-110127307.5690,-110146303.3131,-110146874.4626,-110144777.3779,130364.4272,-110141599.2527,3471.2463,3481.3181,4626.9479,3428.9610,613.8890,-101202.0904,-103941.7404,-103546.8254,-95557.2692,-100759.5899,-109887.5159,-102556.0885,-102658.8309,88107514.3944,88069265.2402,88100445.9739,88101167.0752,-101164.6302,88096123.4368,
25200.000,6347.9146,4860.2212,5713.3818,2447.1952,5265.1133,273639.0647,295751.5565,280377.9399,278925.5597,273870.6816,279198.7931,276407.4882,275736.3817,-296738796.8408,-296734150.1577,-296704709.8312,-296724883.6639,276095.6524,-296730599.6476,-2628.1130,1443.6824,785.3321,3282.1309,-924.5009,194730.4445,207015.5476,201706.8758,197941.6093,206208.5238,207202.8475,203491.0744,204277.2168,-193590033.5959,-193610742.4472,-193601346.6719,-193606982.5872,205400.5951,-193604230.5624,73.9199,-4691.3191,-3821.1309,-5460.4105,4081.0290,-102599.0197,-105217.5901,-104597.0174,-96494.3695,-103595.7953,-111327.4371,-100247.9391,-100893.5308,88176506.4774,88140515.1369,88165002.7407,88169095.6216,-102199.6170,88164314.9748,
28800.000,-3951.5474,-5821.7219,-6591.6298,-5903.6113,-1148.4402,217737.3099,234629.3996,219285.5000,219445.1725,218485.2588,219731.2101,213392.6697,216342.1495,-236466579.7652,-236463947.7613,-236435933.8619,-236450069.1089,216083.0966,-236459194.4521,4330.6943,2338.9156,2001.3086,-456.5892,4128.7989,258671.9006,273221.5689,262437.6291,260013.3481,269940.9821,268784.4020,269599.2908,268737.5560,-263838573.4502,-263862698.1075,-263842579.1861,-263848886.1244,267371.2289,-263853200.0261,-3588.6322,2872.6180,596.3133,3378.1878,-5194.3221,-103962.8902,-106457.7582,-104993.2098,-97806.0719,-103146.8896,-112138.2790,-102802.1906,-104411.3426,88244684.7542,88212592.9435,88229514.1375,88231927.0662,-103223.1017,88232482.2547,
