sl_20_5400_20310204 Coordinates.csv
2031/02/04 07:47:00.0000 UTC

Generated: Tue Oct  8 21:54:54 2024,
Start: 2031/02/04 07:47:00.00, Stop: 2031/02/04 09:17:00.00,
TIME_UNITS,STARLINK-30836 - X-Coordinate,STARLINK-5585 - X-Coordinate,STARLINK-31358 - X-Coordinate,STARLINK-1832 - X-Coordinate,STARLINK-5339 - X-Coordinate,STARLINK-11135 [DTC] - X-Coordinate,STARLINK-5092 - X-Coordinate,STARLINK-5951 - X-Coordinate,STARLINK-1654 - X-Coordinate,STARLINK-4331 - X-Coordinate,STARLINK-31052 - X-Coordinate,STARLINK-3636 - X-Coordinate,STARLINK-31681 - X-Coordinate,STARLINK-32278 - X-Coordinate,STARLINK-3648 - X-Coordinate,STARLINK-2241 - X-Coordinate,STARLINK-3133 - X-Coordinate,STARLINK-1958 - X-Coordinate,STARLINK-2580 - X-Coordinate,STARLINK-3528 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30836 - Y-Coordinate,STARLINK-5585 - Y-Coordinate,STARLINK-31358 - Y-Coordinate,STARLINK-1832 - Y-Coordinate,STARLINK-5339 - Y-Coordinate,STARLINK-11135 [DTC] - Y-Coordinate,STARLINK-5092 - Y-Coordinate,STARLINK-5951 - Y-Coordinate,STARLINK-1654 - Y-Coordinate,STARLINK-4331 - Y-Coordinate,STARLINK-31052 - Y-Coordinate,STARLINK-3636 - Y-Coordinate,STARLINK-31681 - Y-Coordinate,STARLINK-32278 - Y-Coordinate,STARLINK-3648 - Y-Coordinate,STARLINK-2241 - Y-Coordinate,STARLINK-3133 - Y-Coordinate,STARLINK-1958 - Y-Coordinate,STARLINK-2580 - Y-Coordinate,STARLINK-3528 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30836 - Z-Coordinate,STARLINK-5585 - Z-Coordinate,STARLINK-31358 - Z-Coordinate,STARLINK-1832 - Z-Coordinate,STARLINK-5339 - Z-Coordinate,STARLINK-11135 [DTC] - Z-Coordinate,STARLINK-5092 - Z-Coordinate,STARLINK-5951 - Z-Coordinate,STARLINK-1654 - Z-Coordinate,STARLINK-4331 - Z-Coordinate,STARLINK-31052 - Z-Coordinate,STARLINK-3636 - Z-Coordinate,STARLINK-31681 - Z-Coordinate,STARLINK-32278 - Z-Coordinate,STARLINK-3648 - Z-Coordinate,STARLINK-2241 - Z-Coordinate,STARLINK-3133 - Z-Coordinate,STARLINK-1958 - Z-Coordinate,STARLINK-2580 - Z-Coordinate,STARLINK-3528 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2027.2445,-2844.0476,-2208.1548,854.2739,-5636.2586,-6306.6011,2386.0231,-1878.2413,5325.0599,-1456.1493,6483.2229,2312.9206,-3374.6448,3478.2656,3832.4305,-1232.3225,1380.0865,-1638.5194,4737.2128,3735.2301,329932.7574,323812.8084,336446.9815,334891.6028,327031.0133,328465.9848,329090.0459,330489.8938,-146912360.5021,-146885427.0901,-146899600.9921,-146903839.0218,331427.2114,-146892519.7760,-5029.7984,4934.1880,4269.9923,-5566.0227,3975.8831,-1481.8471,-764.9071,5017.8094,-2727.3298,347.7985,-2183.5482,-3833.6543,-3725.8608,2984.8267,-1619.4033,-6689.6214,-5008.5635,6414.2990,3059.7152,-2174.9831,-177864.1954,-192316.8432,-187637.1805,-182512.3193,-178499.3849,-181944.0173,-188299.6430,-186188.7496,-99316907.6825,-99312948.4166,-99322884.9154,-99314323.2719,-185140.7284,-99314672.9643,-4163.8151,3925.9589,4838.5016,-3757.3129,424.0855,1852.2061,-6423.1085,-4400.2626,3290.0249,-6768.4813,-1058.5897,-5248.9527,-4640.4404,-5052.4011,-5492.0069,-329.0637,4563.4540,1920.0373,-3840.6017,-5393.6753,138662.9868,140561.4579,142266.2529,139314.0660,145141.8765,139412.3043,130981.8563,140876.1489,-39830508.1844,-39809317.1689,-39842917.3616,-39822919.2881,139756.5291,-39826180.1141,
300.000,-3561.9541,-1395.7888,-892.6974,-836.3097,-4576.8089,-6734.3139,2345.9003,-87.9509,3698.1270,-3352.2139,5903.7435,872.6358,-4707.5256,5120.6599,2630.1298,-2375.6228,-555.3131,-462.6945,6044.5102,2980.1441,333506.4505,327612.2263,340228.6979,338655.1269,330822.3914,332458.4408,332901.3121,334319.7417,-144702719.0589,-144676206.8153,-144689406.6844,-144694506.9011,335271.4714,-144682941.5742,-3564.0533,6138.9363,5639.1235,-4659.4467,5057.1921,-281.0623,-2893.5441,5919.0854,-3508.1332,-684.7757,-3579.0975,-5236.3057,-2016.5663,1896.0990,-3433.7781,-6204.4653,-4365.7978,6878.0781,2118.6452,-4096.5417,-171118.3828,-185482.6533,-180734.0414,-175738.4857,-171456.0500,-175026.1797,-181228.5855,-178763.9694,-102499724.0895,-102495838.1131,-102505703.2418,-102497627.3378,-178106.5421,-102497415.3729,-4621.5782,2869.8169,3735.2544,-4840.2677,-1119.7412,43.2636,-5801.1400,-3608.1977,4539.6924,-6029.2460,485.5428,-4406.1291,-4535.9041,-4088.2669,-5363.3720,1486.9170,5331.3968,137.1844,-2348.8371,-4702.0431,138606.3496,140486.8397,142216.1613,139126.2115,145105.6483,139663.0596,130900.7143,141103.8406,-39830993.0632,-39809232.2893,-39843222.5149,-39823512.0108,139715.9153,-39826421.2474,
600.000,-4774.4471,161.8745,474.7078,-2481.4755,-3062.8214,-6435.9436,2139.6566,1684.2455,1687.7239,-4848.1053,4746.5527,-611.1075,-5599.4133,6243.5571,1216.5354,-3287.7258,-2467.8721,758.0103,6723.1136,1981.4679,336945.0253,331270.3183,343859.8010,342262.1741,334464.2199,336322.7072,336561.7675,338052.4528,-142424129.3785,-142398035.0284,-142410263.9608,-142416183.6945,338966.4723,-142404417.7909,-1764.5082,6753.1932,6438.9482,-3295.8533,5652.0827,949.4407,-4715.9742,6269.6994,-3978.7941,-1719.0378,-4629.9457,-6139.1603,-133.3977,656.7104,-4934.7869,-5067.8060,-3340.6965,6650.5415,984.7922,-5617.9966,-164308.9136,-178571.2966,-173750.1241,-168901.7822,-164335.3222,-168038.8727,-174079.1670,-171210.2415,-105633401.5231,-105629607.3359,-105639358.1993,-105631804.5902,-170992.5570,-105631021.5727,-4565.0586,1504.7518,2213.1814,-5368.9804,-2542.5875,-1770.7533,-4550.2628,-2430.2861,5281.5830,-4647.2463,1977.3839,-3085.6648,-3927.2701,-2665.6423,-4651.8793,3134.8377,5525.6515,-1660.6284,-593.3934,-3503.6830,138550.9003,140411.8642,142161.2332,138941.8930,145066.6950,139914.0177,130823.8283,141228.3430,-39831475.7230,-39809157.6735,-39843519.1981,-39824111.1882,139675.2253,-39826662.2292,
900.000,-5541.2800,1689.6762,1768.6550,-3911.1006,-1234.8603,-5445.8618,1771.4871,3274.9383,-497.1508,-5787.1636,3118.2168,-2002.4975,-5954.7921,6724.7907,-273.0436,-3892.2761,-4167.6547,1921.4006,6702.6438,824.8507,340247.9210,334785.4085,347338.6802,345709.1434,337954.9278,340059.2129,340069.8101,341681.1769,-140077683.7704,-140052003.0941,-140063266.1564,-140069961.7850,342510.5582,-140058040.6139,186.7454,6713.0081,6579.7716,-1625.0430,5714.2496,2098.4586,-6042.1423,6027.1960,-4099.4521,-2624.1626,-5246.5845,-6442.8272,1737.1708,-620.8149,-5966.1352,-3395.5187,-2037.6602,5756.7554,-244.6088,-6584.3233,-157438.8430,-171585.7402,-166688.4678,-162006.1943,-157140.3484,-160986.4482,-166854.6352,-163561.2743,-108716446.6893,-108712762.5829,-108722356.4266,-108715358.8963,-163801.9395,-108713998.3814,-4000.5029,-22.3065,442.8870,-5283.5495,-3691.0201,-3378.8057,-2805.1380,-992.1687,5433.0047,-2768.8211,3256.2754,-1430.1590,-2881.7721,-943.5715,-3434.3296,4428.5155,5125.3260,-3277.8544,1228.7320,-1927.1532,138496.7792,140336.5561,142101.4959,138762.7011,145025.0406,140163.1616,130751.1755,141238.9443,-39831956.0548,-39809093.2476,-39843807.2240,-39824715.8114,139634.4592,-39826903.0593,
1200.000,-5779.5732,3053.0079,2874.4073,-4972.3388,734.1861,-3873.7909,1255.9875,4540.2411,-2629.4365,-6076.7158,1172.8803,-3178.2489,-5728.9208,6508.6998,-1700.6231,-4141.3057,-5482.2526,2929.2600,5986.7213,-392.3509,343414.7201,338155.8890,350663.7884,348992.0740,341293.0119,343668.5399,343423.9097,345197.3524,-137664506.8796,-137639234.7352,-137649538.9543,-137656966.0427,345902.1403,-137644934.5619,2095.3124,6018.7233,6040.4673,175.8830,5247.7655,3061.5364,-6734.4081,5205.5414,-3859.4237,-3277.0979,-5380.4378,-6106.7016,3412.6512,-1823.1219,-6415.6507,-1360.9950,-582.7701,4289.5645,-1462.7769,-6895.5330,-150511.2378,-164528.9843,-159552.1458,-155055.5530,-149874.3090,-153873.4814,-159558.2679,-155851.5718,-111747390.5657,-111743834.5866,-111753228.8774,-111746818.4698,-156537.8905,-111744876.8829,-2990.3858,-1546.9836,-1377.0864,-4593.8010,-4441.5799,-4594.5362,-754.7151,552.2862,4977.0916,-593.9862,4184.5728,380.8627,-1515.2714,884.6355,-1842.5889,5222.0372,4173.2929,-4539.1434,2912.5986,-142.2878,138444.1471,140260.9382,142036.9855,138590.6549,144980.7076,140407.8045,130682.7349,141133.1817,-39832433.9501,-39809038.9257,-39844086.4036,-39825324.9288,139593.6171,-39827143.7378,
1500.000,-5456.1782,4133.6937,3697.8773,-5545.7510,2655.5714,-1891.8109,619.4064,5368.9245,-4487.6382,-5698.0398,-902.6273,-4038.4663,-4933.8114,5613.1844,-2938.0845,-4018.3277,-6274.4699,3695.2039,4652.5206,-1568.8013,346445.1623,341380.2194,353833.6427,352106.5922,344477.0376,347151.3176,346622.6078,348591.2950,-135185755.1480,-135160885.4947,-135170239.8451,-135178353.2765,349139.6976,-135166255.9456,3773.6124,4735.3233,4871.5363,1921.0158,4305.1658,3749.9364,-6722.7410,3875.1362,-3278.0568,-3578.9742,-5027.2110,-5154.7421,4732.2955,-2845.7900,-6228.0169,823.3710,888.3408,2399.2647,-2562.3446,-6517.7018,-143529.1713,-157404.0609,-152344.2643,-148053.3668,-142540.4168,-146704.7607,-152193.3718,-148114.5199,-114724789.1016,-114721379.0157,-114730531.5209,-114724736.5734,-149203.6436,-114722213.1272,-1646.7990,-2905.3782,-3042.8978,-3378.1864,-4713.8151,-5277.7315,1377.9480,2037.4794,3964.6106,1644.5126,4662.5086,2150.3856,20.2459,2613.1819,-49.7728,5426.0897,2771.7729,-5308.3083,4268.7783,1657.9510,138393.1897,140185.0313,141967.7471,138428.3068,144933.7176,140644.3888,130618.4872,140916.6366,-39832909.3017,-39808994.6110,-39844356.5472,-39825937.6406,139552.6988,-39827384.2646,
1800.000,-4592.4804,4839.9829,4173.1632,-5558.9330,4342.6508,285.0503,-100.0656,5692.2253,-5878.9493,-4707.6585,-2906.9574,-4514.9966,-3638.6774,4128.5280,-3878.5954,-3538.7494,-6457.0935,4151.5418,2842.0239,-2607.2795,349339.1611,344456.9273,356846.8248,355047.8927,347505.6398,350508.0319,349664.5184,351852.6843,-132642616.2593,-132618142.1829,-132626557.5712,-132635311.6694,352221.7777,-132623192.3140,5059.3050,2986.0592,3190.0834,3434.5223,2981.2705,4098.1537,-6012.5177,2157.0190,-2403.4871,-3469.3198,-4226.1160,-3674.3606,5572.7051,-3602.1217,-5412.0810,2928.6187,2243.0560,277.6515,-3444.5307,-5487.1145,-136495.7160,-150214.0327,-145067.9613,-141002.5677,-135141.9149,-139485.2377,-144763.2804,-140380.6650,-117647223.9062,-117643977.1649,-117652846.0318,-117647692.2086,-141802.4640,-117644588.8186,-119.3402,-3951.8349,-4368.5811,-1775.3190,-4478.5904,-5349.9327,3360.3137,3304.0536,2508.5154,3706.4425,4638.7986,3685.6482,1553.4763,4047.3339,1748.4520,5017.7350,1071.5863,-5502.6214,5144.9240,3278.5650,138344.1225,140108.8552,141893.8345,138278.8521,144884.0908,140868.2528,130558.4148,140602.3420,-39833382.0035,-39808960.1970,-39844617.4639,-39826553.0952,139511.7045,-39827624.6399,
2100.000,-3263.9210,5113.8614,4266.9858,-4996.0680,5628.7679,2422.1300,-853.3336,5489.2966,-6659.6777,-3229.4947,-4643.8466,-4576.3814,-1964.3482,2207.9749,-4445.7424,-2747.9018,-6002.9865,4254.7944,746.3133,-3422.3900,352096.8250,347384.6089,359701.9819,357810.7979,350377.5230,353738.7051,352548.3286,354970.9410,-130036308.5704,-130012222.3089,-130019711.5558,-130029060.2016,355146.9974,-130016961.8849,5831.2184,940.1869,1167.4604,4568.3329,1403.6147,4069.6262,-4683.5535,211.7376,-1309.2075,-2935.8153,-3055.3595,-1808.2972,5859.5523,-4030.0525,-4041.4008,4733.2510,3363.7215,-1861.5619,-4027.6588,-3906.7531,-129413.9337,-142961.9915,-137726.4057,-133905.1517,-127682.0759,-132219.9017,-137271.3529,-132676.1866,-120513302.9242,-120510236.6325,-120518780.4670,-120514290.7934,-134337.6469,-120510611.9909,1421.4368,-4574.4897,-5206.7802,31.3446,-3761.0571,-4802.8994,4976.3775,4216.1974,771.6014,5370.5139,4116.0143,4819.4881,2913.0873,5025.6749,3355.4767,4042.8874,-744.0720,-5101.2469,5442.8018,4544.0093,138297.1970,140032.4277,141815.3106,138146.2167,144831.8462,141073.3928,130502.5019,140209.8806,-39833851.9504,-39808935.5685,-39844868.9621,-39827170.4843,139470.6341,-39827864.8636,
2400.000,-1593.8416,4935.2289,3979.9395,-3901.8277,6383.6337,4290.0249,-1582.8663,4787.8920,-6750.6710,-1439.0398,-5941.3846,-4229.0533,-72.0052,51.3683,-4599.3781,-1716.9621,-4949.0052,3989.6726,-1414.9747,-3947.1696,354718.4828,350161.9288,362397.8269,360389.9663,353091.4624,356842.4061,355272.7987,357935.5051,-127368080.5275,-127344373.4975,-127350951.3176,-127360848.0590,357914.0433,-127348812.9615,6020.9813,-1203.6699,-988.6490,5216.8359,-279.6071,3660.4586,-2880.5200,-1775.8920,-88.4371,-2018.0441,-1624.4919,259.5455,5574.0445,-4096.6190,-2247.6369,6046.6571,4157.8078,-3804.0314,-4254.3829,-1935.5612,-122286.8622,-135651.0573,-130322.7959,-126761.7072,-120164.1996,-124913.5336,-129720.9726,-125021.5600,-123321661.0990,-123318791.9848,-123326969.9300,-123323164.8264,-126812.5161,-123318917.6705,2803.2263,-4706.9501,-5464.6874,1834.3800,-2638.0996,-3699.4696,6050.5878,4676.2456,-1051.7002,6458.5050,3150.3021,5428.6417,3947.1313,5438.2707,4595.6190,2611.3415,-2479.6702,-4147.3211,5129.0365,5317.3926,138252.7093,139955.7659,141732.2467,138035.0700,144777.0019,141252.2978,130450.7342,139764.2158,-39834319.0385,-39808920.6023,-39845110.8499,-39827789.0397,139429.4878,-39828104.9357,
