sl_20_5400_20311003 Coordinates.csv
2031/10/03 07:47:00.0000 UTC

Generated: Tue Oct  8 21:54:55 2024,
Start: 2031/10/03 07:47:00.00, Stop: 2031/10/03 09:17:00.00,
TIME_UNITS,STARLINK-5227 - X-Coordinate,STARLINK-1444 - X-Coordinate,STARLINK-30115 - X-Coordinate,STARLINK-4290 - X-Coordinate,STARLINK-31937 - X-Coordinate,STARLINK-1015 - X-Coordinate,STARLINK-2191 - X-Coordinate,STARLINK-1398 - X-Coordinate,STARLINK-4801 - X-Coordinate,STARLINK-31207 - X-Coordinate,STARLINK-3700 - X-Coordinate,STARLINK-30701 - X-Coordinate,STARLINK-2334 - X-Coordinate,STARLINK-5047 - X-Coordinate,STARLINK-6329 - X-Coordinate,STARLINK-4060 - X-Coordinate,STARLINK-5799 - X-Coordinate,STARLINK-4752 - X-Coordinate,STARLINK-31924 - X-Coordinate,STARLINK-4724 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5227 - Y-Coordinate,STARLINK-1444 - Y-Coordinate,STARLINK-30115 - Y-Coordinate,STARLINK-4290 - Y-Coordinate,STARLINK-31937 - Y-Coordinate,STARLINK-1015 - Y-Coordinate,STARLINK-2191 - Y-Coordinate,STARLINK-1398 - Y-Coordinate,STARLINK-4801 - Y-Coordinate,STARLINK-31207 - Y-Coordinate,STARLINK-3700 - Y-Coordinate,STARLINK-30701 - Y-Coordinate,STARLINK-2334 - Y-Coordinate,STARLINK-5047 - Y-Coordinate,STARLINK-6329 - Y-Coordinate,STARLINK-4060 - Y-Coordinate,STARLINK-5799 - Y-Coordinate,STARLINK-4752 - Y-Coordinate,STARLINK-31924 - Y-Coordinate,STARLINK-4724 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5227 - Z-Coordinate,STARLINK-1444 - Z-Coordinate,STARLINK-30115 - Z-Coordinate,STARLINK-4290 - Z-Coordinate,STARLINK-31937 - Z-Coordinate,STARLINK-1015 - Z-Coordinate,STARLINK-2191 - Z-Coordinate,STARLINK-1398 - Z-Coordinate,STARLINK-4801 - Z-Coordinate,STARLINK-31207 - Z-Coordinate,STARLINK-3700 - Z-Coordinate,STARLINK-30701 - Z-Coordinate,STARLINK-2334 - Z-Coordinate,STARLINK-5047 - Z-Coordinate,STARLINK-6329 - Z-Coordinate,STARLINK-4060 - Z-Coordinate,STARLINK-5799 - Z-Coordinate,STARLINK-4752 - Z-Coordinate,STARLINK-31924 - Z-Coordinate,STARLINK-4724 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2452.7482,0.0000,0.0000,-4676.1622,5264.1090,-77.1865,0.0000,4689.6917,689.7087,3942.0583,-6382.0876,1752.9169,-4791.3523,-6694.7321,5769.7908,5596.3372,-5426.0533,-911.2363,-4423.8412,2596.9811,6300.7824,-1683.4696,-8849.9393,-3537.3029,4875.0144,358.7433,-4669.1454,-5080.7715,122601482.0310,122601199.0576,122606879.2825,122600049.5035,-3367.1746,122602286.3470,-3422.4569,0.0000,0.0000,4295.9044,4025.3045,-6614.0766,0.0000,2167.4974,5245.4342,3043.4833,-652.6204,4570.7731,1396.0788,-1641.0240,1603.8451,-1392.2320,-2297.9160,-4606.9946,-2666.4052,-3897.6436,-385658.9352,-355293.0490,-371548.9713,-373829.0469,-370111.8371,-369516.9850,-366169.0411,-369602.5055,119090149.2193,119116541.3117,119092779.0578,119062933.5893,-370156.4094,119069966.0876,-5455.5159,0.0000,0.0000,-2606.2359,-1663.2637,2014.1978,0.0000,4528.4617,4440.1181,4554.1191,2457.2873,-4799.9723,4742.8846,-622.9920,3456.0033,-3780.7233,-3658.4055,-5080.9614,-4424.6562,-5080.2690,107658.2001,105423.1759,108689.1684,105278.3281,111408.3547,106806.2301,97550.2286,105971.3593,-80934677.3517,-80951538.0014,-80944782.0327,-80936974.2569,106295.6062,-80937739.1882,
300.000,-4256.6728,0.0000,0.0000,-4034.9364,5665.1156,-1346.7756,0.0000,5974.3358,2622.7727,4903.9070,-5583.7751,3623.2695,-4912.0402,-6317.6070,5396.0746,5803.0828,-6422.6100,-2842.4257,-5611.2821,1358.0018,14474.7083,5880.8141,-1100.0336,4050.7948,12709.9412,7920.1114,3170.1964,2755.4530,119974833.1794,119973660.6294,119979661.1802,119974122.2728,4431.8273,119975730.6711,-2335.3962,0.0000,0.0000,5480.7285,2360.4201,-5763.5087,0.0000,924.7952,4318.8548,1078.4532,760.4138,4520.3263,3239.9919,-901.1772,-345.9890,-2952.7026,-779.2157,-4798.1553,-984.0617,-5395.5715,-385366.4054,-355150.7857,-371403.0602,-373556.5751,-370050.3764,-369618.6564,-366139.0535,-369422.3966,121739815.1469,121766093.5432,121742364.7323,121712413.7322,-370143.3191,121719599.0503,-4890.4960,0.0000,0.0000,-879.4772,-3004.0706,3570.5513,0.0000,3267.3267,4708.3783,4509.1353,3925.5471,-3665.0240,3577.4941,-2681.3699,4307.1073,-2267.7445,-2496.9818,-4094.3841,-3714.5786,-4096.7383,107703.7889,105452.6007,108719.8042,105238.6438,111467.9986,107155.1975,97594.3514,106478.4349,-80936391.0116,-80953188.5828,-80946528.6387,-80937780.1527,106365.9467,-80939198.9503,
600.000,-5652.6364,0.0000,0.0000,-2990.7566,5516.0305,-2521.6543,0.0000,6663.0954,4323.4673,5390.2786,-4236.8926,5107.1492,-4573.7046,-5301.0488,4529.9805,5444.0638,-6804.6740,-4471.1481,-6242.9778,27.5917,22638.2214,13438.0178,6649.9062,11628.4982,20540.6603,15453.8636,11006.7149,10702.8623,117290932.0888,117288874.4483,117295195.6426,117290962.8434,12228.7821,117291924.1441,-1066.2906,0.0000,0.0000,6101.3798,439.1070,-4348.9515,0.0000,-375.5696,3008.5468,-978.8062,2137.3816,4046.9032,4737.6499,-34.5854,-2285.9343,-4197.3584,792.0305,-4554.7988,769.0761,-6371.2049,-384899.5458,-354849.3593,-371093.1619,-373098.9661,-369823.0968,-369571.6030,-365943.0283,-369125.2938,124331550.7141,124357696.7450,124333999.4414,124304057.1364,-369965.9347,124311305.2268,-3793.9268,0.0000,0.0000,944.3509,-4009.2973,4741.7241,0.0000,1647.4267,4468.1033,3942.5351,4962.2858,-2124.8804,2021.8641,-4451.5051,4694.0548,-508.0342,-1068.5547,-2667.5323,-2584.0176,-2670.9545,107749.2134,105482.0750,108745.8907,105209.4726,111525.1263,107496.6375,97642.6155,106977.3476,-80938105.8125,-80954838.5658,-80948273.1321,-80938598.8331,106436.2195,-80940658.5838,
900.000,-6494.4320,0.0000,0.0000,-1631.9779,4841.1689,-3497.6139,0.0000,6680.7199,5623.3545,5344.4444,-2484.3544,6058.4141,-3794.5430,-3758.7216,3259.7674,4541.0145,-6530.0037,-5641.4770,-6246.3088,-1276.7538,30787.5720,20984.8278,14396.5021,19194.3727,28363.6742,22954.0745,18836.8699,18750.1323,114551056.1837,114548118.3189,114554760.8497,114551838.6489,20020.2291,114552144.0355,269.0865,0.0000,0.0000,6104.9092,-1548.9367,-2515.7998,0.0000,-1619.5143,1441.1785,-2913.9166,3348.9703,3181.5645,5746.3239,891.7153,-4028.0447,-5015.3531,2276.6712,-3885.4362,2421.6838,-6720.1999,-384258.6854,-354388.9838,-370619.4528,-372453.7709,-369430.1739,-369376.5809,-365581.0684,-368715.4268,126864119.1047,126890114.2595,126866446.5207,126836625.6821,-369624.3366,126843847.8573,-2284.3770,0.0000,0.0000,2663.7926,-4567.1486,5401.6705,0.0000,-153.4192,3745.2073,2919.7267,5453.8582,-349.4069,245.6007,-5743.9614,4575.2611,1307.0021,474.2650,-953.3676,-1160.5722,-956.3602,107794.4749,105511.6013,108767.5120,105193.8478,111579.7611,107826.1833,97695.0022,107437.0680,-80939821.6392,-80956487.9442,-80950015.4161,-80939435.4309,106506.4245,-80942118.0888,
1200.000,-6690.1517,0.0000,0.0000,-80.9200,3714.2862,-4184.5770,0.0000,6020.8159,6390.8520,4761.7550,-507.6600,6387.0853,-2635.7021,-1856.5851,1708.9263,3171.1551,-5620.5909,-6244.8959,-5612.1355,-2443.0964,38919.0201,28517.9356,22136.3798,26748.0137,36175.4885,30415.0055,26657.1253,26878.6340,111756509.6023,111752696.7537,111759661.6918,111758044.2901,27802.7105,111757694.3261,1552.5770,0.0000,0.0000,5501.8994,-3404.8858,-449.7829,0.0000,-2700.9545,-235.5799,-4527.7349,4276.8904,1993.7169,6174.8363,1798.5414,-5400.8843,-5339.8839,3544.9011,-2838.6123,3815.0590,-6400.4010,-383444.2344,-353769.9427,-369982.1782,-371618.7059,-368871.8572,-369033.9653,-365053.3547,-368194.2312,129336311.6667,129362137.6003,129338497.4972,129308907.9693,-369118.6782,129316018.3398,-525.7561,0.0000,0.0000,4088.7839,-4615.7349,5479.4949,0.0000,-1937.4498,2617.6669,1558.9449,5346.4704,1464.7900,-1557.4781,-6421.0908,3963.5092,2979.4870,1966.2406,863.6138,394.5699,861.7791,107839.5744,105541.1824,108784.7606,105195.4543,111631.9249,108138.2019,97751.4947,107828.7720,-80941538.3757,-80958136.7118,-80951755.3922,-80940294.3851,106576.5617,-80943577.4652,
1500.000,-6212.8964,0.0000,0.0000,1517.1209,2250.3078,-4514.6953,0.0000,4747.0197,6544.8554,3691.5319,1492.0967,6068.2902,-1196.9319,205.4821,24.1728,1460.8317,-4161.1872,-6230.7819,-4397.2009,-3374.4599,47028.8370,36034.0390,29866.1696,34290.3421,43972.6138,37831.5174,34463.9512,35062.9609,108908622.5754,108903940.3525,108911229.1478,108910901.1208,35572.7723,108909905.0872,2673.8127,0.0000,0.0000,4363.9797,-4940.4632,1642.1066,0.0000,-3530.5924,-1866.8895,-5657.0880,4825.2906,586.2639,5991.8729,2600.9681,-6266.4801,-5153.4276,4487.5721,-1500.2762,4818.4288,-5437.4101,-382456.6845,-352992.5884,-369181.6517,-370592.0304,-368148.4707,-368543.4703,-364360.1456,-367560.4650,131746948.4896,131772587.0290,131748972.6655,131719720.1390,-368449.1857,131726636.8068,1290.2449,0.0000,0.0000,5061.9635,-4149.6582,4966.8296,0.0000,-3509.0726,1207.2401,17.6850,4651.8587,3116.3500,-3190.8603,-6411.0248,2924.6040,4327.0170,3247.4275,2587.3148,1904.8714,2586.4708,107884.5133,105570.8205,108797.7372,105218.6307,111681.6386,108425.6129,97812.0775,108127.8073,-80943255.9056,-80959784.8626,-80953492.9603,-80941179.4002,106646.6310,-80945036.7130,
1800.000,-5104.7704,0.0000,0.0000,3007.5412,593.7097,-4449.0290,0.0000,2986.4252,6063.6778,2233.4012,3314.6869,5143.9678,391.9554,2214.6677,-1638.3598,-426.3220,-2291.2517,-5610.6937,-2719.3833,-3996.6401,55113.3072,43529.8443,37582.5079,41823.8391,51751.5673,45199.7135,42253.8252,43271.9422,106008750.7930,106003205.1686,106010819.6512,106011756.7577,43326.9661,106010131.8475,3539.5117,0.0000,0.0000,2814.9233,-5996.8298,3552.3818,0.0000,-4042.7903,-3305.0276,-6191.5670,4930.7099,-913.0410,5227.6503,3216.0061,-6534.4522,-4487.6989,5025.4392,12.8705,5341.2742,-3922.8573,-381296.6078,-352057.3423,-368218.2552,-369373.1433,-367260.4121,-367903.7995,-363501.7775,-366810.4023,134094878.9675,134120312.1177,134096721.6519,134067906.6930,-367616.1580,134074552.6882,2965.2176,0.0000,0.0000,5476.0451,-3220.5873,3918.7026,0.0000,-4696.5779,-333.6491,-1525.6442,3446.0609,4421.9184,-4477.0819,-5714.7549,1570.4238,5202.7972,4180.5490,4031.5461,3198.7140,4030.6902,107929.2927,105600.5181,108806.5503,105268.2194,111728.9221,108679.8868,97876.7371,108315.6130,-80944974.1121,-80961432.3903,-80955228.0184,-80942093.4493,106716.6325,-80946495.8322,
2100.000,-3473.3121,0.0000,0.0000,4241.3569,-1095.4409,-3982.2581,0.0000,916.2638,4988.0862,528.1463,4780.8816,3717.2010,1982.8664,3966.8748,-3127.5706,-2305.3014,-191.2609,-4455.9515,-746.1343,-4263.6467,63168.7300,51002.0670,45282.0380,49352.5573,59508.8740,52517.8026,50023.2344,51470.2128,103058274.7588,103051872.0635,103059814.4432,103061984.5178,51061.8506,103059754.9484,4080.9467,0.0000,0.0000,1016.7571,-6461.0862,5093.7153,0.0000,-4199.9890,-4422.7870,-6084.3575,4569.6403,-2363.1665,3969.0180,3571.0693,-6171.8236,-3418.6701,5115.4876,1563.4823,5341.2887,-2005.4199,-379964.6573,-350964.6945,-367092.4382,-367963.3939,-366208.1534,-367112.2996,-362478.6637,-365938.1098,136378982.3480,136404192.2985,136380623.9629,136352341.2911,-366619.9665,136358645.2610,4316.0924,0.0000,0.0000,5285.4166,-1931.7841,2447.8450,0.0000,-5370.7764,-1838.5290,-2892.6515,1861.3520,5236.7477,-5276.9856,-4406.0684,46.9405,5511.5743,4665.7727,5040.4335,4129.1452,5037.9614,107973.9140,105630.2773,108811.3165,105349.1554,111773.7942,108891.4275,97945.4615,108381.4518,-80946692.8782,-80963079.2888,-80956960.4632,-80943038.8100,106786.5660,-80947954.8228,
2400.000,-1480.6978,0.0000,0.0000,5090.0380,-2656.7012,-3144.7895,0.0000,-1254.3262,3417.8749,-1255.9948,5750.3876,1940.1976,3423.1470,5287.3460,-4311.1625,-3987.9782,1935.0223,-2889.0484,1322.5386,-4160.3960,71191.4211,58447.4337,52961.4119,56881.6675,67241.0690,59787.0052,57768.6771,59620.3589,100058599.1328,100051346.0493,100059618.9150,100062982.7938,58773.9931,100060178.8861,4258.8659,0.0000,0.0000,-847.3655,-6278.7505,6117.6212,0.0000,-3994.5827,-5124.6213,-5355.8554,3762.6938,-3623.0502,2349.0511,3612.5644,-5207.2288,-2057.6190,4753.9379,3006.0604,4827.2455,124.2503,-378461.5661,-349715.2035,-365804.7183,-366366.9444,-364992.2403,-366164.7760,-361291.2947,-364935.8206,138598168.2676,138623137.3984,138599589.5206,138571927.5114,-365461.0550,138577824.1837,5195.3969,0.0000,0.0000,4511.0032,-426.9489,712.7988,0.0000,-5458.5958,-3145.0952,-3925.7768,71.9100,5470.6657,-5504.3769,-2624.3232,-1481.6210,5219.7681,4651.2865,5505.2599,4590.6279,5499.3279,108018.3783,105660.1004,108812.1598,105465.7088,111816.2729,109050.5657,98018.2402,108323.7472,-80948412.0862,-80964725.5519,-80958690.1894,-80944017.1244,106856.4315,-80949413.6848,
