sl_20_5400_20311202 Coordinates.csv
2031/12/02 07:47:00.0000 UTC

Generated: Tue Oct  8 21:54:51 2024,
Start: 2031/12/02 07:47:00.00, Stop: 2031/12/02 09:17:00.00,
TIME_UNITS,STARLINK-30077 - X-Coordinate,STARLINK-3708 - X-Coordinate,STARLINK-5975 - X-Coordinate,STARLINK-5047 - X-Coordinate,STARLINK-30233 - X-Coordinate,STARLINK-32112 - X-Coordinate,STARLINK-30879 - X-Coordinate,STARLINK-2640 - X-Coordinate,STARLINK-31665 - X-Coordinate,STARLINK-4732 - X-Coordinate,STARLINK-11172 [DTC] - X-Coordinate,STARLINK-30980 - X-Coordinate,STARLINK-31647 - X-Coordinate,STARLINK-2616 - X-Coordinate,STARLINK-30446 - X-Coordinate,STARLINK-3599 - X-Coordinate,STARLINK-31836 - X-Coordinate,STARLINK-5336 - X-Coordinate,STARLINK-3809 - X-Coordinate,STARLINK-1174 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30077 - Y-Coordinate,STARLINK-3708 - Y-Coordinate,STARLINK-5975 - Y-Coordinate,STARLINK-5047 - Y-Coordinate,STARLINK-30233 - Y-Coordinate,STARLINK-32112 - Y-Coordinate,STARLINK-30879 - Y-Coordinate,STARLINK-2640 - Y-Coordinate,STARLINK-31665 - Y-Coordinate,STARLINK-4732 - Y-Coordinate,STARLINK-11172 [DTC] - Y-Coordinate,STARLINK-30980 - Y-Coordinate,STARLINK-31647 - Y-Coordinate,STARLINK-2616 - Y-Coordinate,STARLINK-30446 - Y-Coordinate,STARLINK-3599 - Y-Coordinate,STARLINK-31836 - Y-Coordinate,STARLINK-5336 - Y-Coordinate,STARLINK-3809 - Y-Coordinate,STARLINK-1174 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30077 - Z-Coordinate,STARLINK-3708 - Z-Coordinate,STARLINK-5975 - Z-Coordinate,STARLINK-5047 - Z-Coordinate,STARLINK-30233 - Z-Coordinate,STARLINK-32112 - Z-Coordinate,STARLINK-30879 - Z-Coordinate,STARLINK-2640 - Z-Coordinate,STARLINK-31665 - Z-Coordinate,STARLINK-4732 - Z-Coordinate,STARLINK-11172 [DTC] - Z-Coordinate,STARLINK-30980 - Z-Coordinate,STARLINK-31647 - Z-Coordinate,STARLINK-2616 - Z-Coordinate,STARLINK-30446 - Z-Coordinate,STARLINK-3599 - Z-Coordinate,STARLINK-31836 - Z-Coordinate,STARLINK-5336 - Z-Coordinate,STARLINK-3809 - Z-Coordinate,STARLINK-1174 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1634.3769,-5604.2225,4425.8942,1552.7616,1433.9977,-5415.3172,4773.7950,-3218.0614,-5595.2835,4569.8337,0.0000,-2950.3862,-3799.5866,5934.2570,-1499.0304,1762.8773,-5516.2129,-1203.6299,839.1284,2762.9140,-54528.7199,-82335.7563,-72212.6319,-67371.5160,-65940.7675,-68853.4826,-74346.7483,-68831.1338,126777146.0118,126738752.6322,126769106.4810,126761448.0298,-70192.9550,126758809.4111,-5043.6398,2723.9470,-3480.3955,-1814.3973,5858.3699,-4151.7608,2943.9460,-3840.0470,6.3142,813.0478,0.0000,-4482.4389,-5619.5031,1884.0553,6077.3671,3749.3850,-3955.0242,-4985.8725,-6458.4727,3438.2424,-383271.8914,-366042.8244,-383365.5287,-380121.2888,-370911.9421,-374707.2882,-377059.4402,-376936.5003,186925887.4960,186949811.6289,186930578.1785,186941341.5182,-378055.3487,186933755.8735,4414.3922,-2222.3680,3989.5474,-6497.5687,3348.5553,-263.4185,3966.0222,-4616.7848,-3932.9916,5127.4182,0.0000,-4395.4864,872.5726,-3014.2048,-2905.0849,5499.6802,-763.5545,4657.7253,2266.6715,-5212.7312,127024.9615,121989.5864,126308.4181,122839.7070,129004.5508,124687.8636,115245.6277,123763.3765,-79414822.0728,-79443362.3762,-79396271.4657,-79401346.9797,123973.4724,-79410435.9261,
300.000,-508.0086,-4176.1198,3510.9841,31.5236,2934.9667,-5922.6515,6026.2303,-3844.4806,-5903.9618,5433.5736,0.0000,-4732.9334,-4488.3214,6743.1269,53.9876,3560.9546,-5781.1046,-3144.8578,-390.7901,4578.4110,-46330.5264,-74598.8892,-64349.3479,-59719.7145,-57966.6002,-60874.1825,-66344.0167,-60810.0493,122668800.8995,122630212.0225,122660605.9903,122652507.3911,-62193.6390,122650383.8600,-5021.8676,3511.3278,-5150.3255,-3358.4850,4580.9386,-3019.9754,1505.8016,-1854.9545,1887.2875,-946.5148,0.0000,-3571.8491,-4453.8384,726.6943,6724.1582,2523.4316,-2642.7410,-4046.5516,-6868.2145,2525.6434,-384296.6569,-367629.4482,-384751.3212,-381586.5263,-372274.3173,-376411.0894,-378436.1842,-378555.3066,189651461.5601,189674788.3501,189656666.6369,189667287.0697,-379474.2890,189659274.7556,4702.3839,-3743.0153,2964.3341,-6053.9781,4239.2306,1550.5004,2934.4725,-5310.3493,-2890.1829,4176.0066,0.0000,-3598.4298,2600.6626,-1352.8465,-1545.6071,5326.4921,-2503.9316,4662.6414,507.7000,-4390.9597,126970.2032,121905.1019,126215.3133,122696.6296,128944.0828,124913.3603,115176.7684,123277.1989,-79412618.4898,-79441454.3698,-79393989.4923,-79399447.1908,123927.3167,-79408477.5719,
600.000,-2606.4669,-2266.5024,2280.0491,-1431.8480,4185.0614,-5827.0913,6686.0863,-4132.9139,-5636.9447,5791.1827,0.0000,-6060.1524,-4741.1631,6881.4206,1587.2363,5032.1029,-5467.8968,-4800.7133,-1575.6628,5930.1540,-38114.9395,-66830.7557,-56455.8209,-52062.0519,-49966.2231,-52866.3226,-58314.4834,-52856.1777,118501870.3719,118463103.1017,118493495.2810,118484962.0254,-54165.6677,118483374.8937,-4552.3838,3944.4432,-6312.7048,-4610.8999,2870.0592,-1560.8818,-54.9480,317.1110,3558.4330,-2578.2460,0.0000,-2350.5304,-2815.3391,-487.7661,6713.1015,1096.2070,-1035.8826,-2755.9624,-6589.1039,1401.9944,-385145.5907,-369053.6055,-385966.2692,-382877.0112,-373468.5996,-377977.1636,-379643.5791,-380076.5990,192286757.4055,192309485.4766,192292470.2396,192302915.2036,-380723.9903,192294512.1491,4480.7367,-4805.2522,1617.7576,-4962.4567,4669.9198,3190.5528,1580.2243,-5407.3668,-1525.3270,2775.4757,0.0000,-2417.1032,4038.6533,454.4195,-18.2697,4573.4562,-3964.3933,4168.6523,-1306.4970,-3078.4250,126915.0972,121820.7231,126117.7850,122566.4454,128881.1517,125128.3483,115112.0202,122841.0635,-79410412.7973,-79439544.3673,-79391716.9808,-79397566.0499,123881.0937,-79406518.9806,
900.000,-4453.7265,-91.9414,840.8923,-2697.3892,5064.9016,-5150.7098,6683.1290,-4054.4667,-4810.4026,5595.3006,0.0000,-6801.6510,-4547.4759,6333.7924,2964.0245,6022.8661,-4621.9426,-6007.8952,-2617.2692,6673.9216,-29885.7304,-59034.7569,-48535.5100,-44402.8107,-41943.1517,-44834.4059,-50261.7439,-44963.0972,114278337.9098,114239409.3636,114269758.3079,114260798.1099,-46112.6211,114259766.1322,-3679.2034,3987.7145,-6853.8253,-5432.1935,896.5789,88.9187,-1595.3106,2449.1936,4859.2104,-3930.9436,0.0000,-924.8777,-866.3500,-1658.8455,6040.8348,-395.6973,711.2240,-1235.1402,-5647.8023,168.3118,-385818.4613,-370314.6559,-387009.7719,-383988.5400,-374494.2945,-379407.1450,-380681.1247,-381482.1659,194830516.1626,194852644.6497,194836728.9037,194846966.1509,-381803.8743,194838209.2733,3773.4144,-5279.9489,95.7830,-3339.0644,4594.0029,4472.9091,52.1062,-4897.0368,9.6694,1076.3204,0.0000,-977.3085,5026.3457,2212.5780,1511.0334,3322.3505,-4982.4135,3228.5529,-2978.7970,-1421.2287,126859.6475,121736.4511,126015.9308,122452.6183,128815.7806,125327.6211,115051.3655,122483.8295,-79408205.1072,-79437632.3521,-79389453.9371,-79395702.8424,123834.8033,-79404560.1523,
1200.000,-5866.7260,2100.3892,-679.8274,-3650.8839,5486.9081,-3974.0050,6013.6696,-3610.8963,-3496.6583,4852.0148,0.0000,-6883.9971,-3938.2996,5154.6884,4063.1154,6425.5887,-3340.1441,-6645.0024,-3430.5651,6728.1851,-21646.6715,-51214.3074,-40591.8895,-36745.3593,-33900.9116,-36783.2828,-42189.4007,-37119.0654,110000214.0359,109961141.3283,109991406.1183,109982028.8553,-38038.0910,109981568.2333,-2481.1955,3642.4725,-6722.0733,-5722.6746,-1145.0063,1769.3917,-2976.0351,4319.1957,5668.0269,-4884.1780,0.0000,581.0697,1196.1033,-2689.7009,4770.1508,-1814.2843,2426.2061,376.6135,-4138.6112,-1066.6265,-386315.1181,-371412.0302,-387881.3015,-384916.0918,-375350.9833,-380702.0299,-381548.3976,-382749.9473,197281522.5326,197303051.0832,197288226.1564,197298223.8890,-382713.4387,197289150.9244,2656.9565,-5109.5950,-1436.5912,-1357.1327,4019.6952,5254.1016,-1481.7506,-3836.2198,1543.5734,-738.6524,0.0000,567.1101,5453.9598,3731.6568,2875.9600,1709.2542,-5445.1712,1942.8741,-4328.0020,395.3356,126803.8581,121652.2870,125909.8567,122359.2553,128747.9915,125504.5783,114994.7884,122227.5397,-79405995.5318,-79435718.3072,-79387200.3570,-79393856.8733,123788.4456,-79402601.0869,
1500.000,-6705.0207,4060.4670,-2147.6330,-4214.2516,5404.0739,-2425.8675,4741.4888,-2835.3751,-1818.2152,3621.8735,0.0000,-6298.4765,-2981.5674,3462.7371,4789.2925,6190.6103,-1759.4537,-6645.1014,-3950.0506,6083.7743,-13401.5343,-43372.8337,-32628.4477,-29091.5652,-25843.0366,-28718.1466,-34101.0607,-29308.6521,105669535.3574,105630335.5846,105660475.8919,105650693.5436,-29945.6794,105650817.9351,-1065.2044,2945.7952,-5932.9231,-5434.9612,-3055.7626,3312.7213,-4074.1487,5732.7973,5913.7479,-5359.0874,0.0000,2036.1685,3160.5115,-3494.8250,3024.0955,-3032.8551,3935.4785,1934.3951,-2213.4020,-2195.4969,-386635.4905,-372345.2309,-388580.4033,-385653.8701,-376038.3229,-381861.5213,-382245.0511,-383855.5896,199638605.3684,199659534.1433,199645789.7163,199655516.7151,-383452.2570,199646166.0558,1252.3346,-4314.8081,-2813.4544,770.7477,3009.1807,5446.9564,-2852.6392,-2343.5013,2905.1250,-2474.2362,0.0000,2050.7346,5274.0885,4847.6129,3928.0529,-90.1132,-5301.5089,449.2208,-5208.4909,2167.4801,126747.7329,121568.2317,125799.6764,122291.0038,128677.8052,125651.1523,114942.2747,122086.2219,-79403784.1846,-79433802.2154,-79384956.2271,-79392027.4669,123742.0205,-79400641.7845,
1800.000,-6885.1460,5563.4829,-3432.0091,-4351.9011,4815.3902,-669.0775,2991.5430,-1790.8980,63.7023,2015.0933,0.0000,-5102.2156,-1774.3534,1428.2842,5081.3318,5332.6428,-42.2217,-6003.0760,-4134.3344,4805.5594,-5154.0881,-35513.7731,-24648.6852,-21441.1002,-17773.0670,-20644.4312,-26000.3342,-21514.3879,101288363.5971,101249053.8210,101279029.9692,101268856.5536,-21838.9964,101269577.0868,443.2383,1966.7181,-4566.8607,-4581.3600,-4651.7812,4560.0527,-4793.7279,6543.9149,5581.7658,-5324.5879,0.0000,3313.4855,4822.6291,-4006.7468,973.7282,-3947.2874,5081.4651,3300.6933,-65.7894,-3121.4790,-386779.5881,-373113.8324,-389106.6964,-386195.6015,-376556.0462,-382883.1584,-382770.8146,-384774.0185,201900638.2339,201920967.9080,201908292.0553,201917717.7988,-384019.9789,201908128.3379,-288.1147,-2992.0174,-3886.1213,2815.6054,1672.0141,5030.0432,-3910.0486,-586.4883,3942.4045,-3944.1690,0.0000,3314.5145,4506.7517,5440.1516,4553.0030,-1879.6931,-4567.2391,-1092.5175,-5525.5772,3696.1431,126691.2758,121484.2862,125685.5112,122252.7236,128605.2417,125758.0494,114893.8117,122065.3767,-79401571.1794,-79431884.0594,-79382721.5253,-79390213.9660,123695.5283,-79398682.2450,
2100.000,-6389.2347,6435.6908,-4417.7548,-4072.2260,3767.1992,1116.9184,937.2582,-566.0253,1964.8306,181.4453,0.0000,-3412.4320,-433.0635,-744.2482,4916.7587,3930.2393,1640.1736,-4776.7284,-3968.8198,3025.7054,3091.9020,-27640.5716,-16656.1139,-13790.8415,-9694.5482,-12567.5529,-17890.8335,-13718.2871,96858784.6119,96819381.8437,96849154.8669,96838606.3744,-13721.6592,96839931.6670,1910.9015,800.0412,-2760.6618,-3234.6360,-5782.0997,5377.8146,-5073.8664,6670.4558,4714.0921,-4798.4438,0.0000,4301.2731,6006.7860,-4181.2591,-1178.9806,-4484.7092,5738.8724,4357.4775,2088.4745,-3766.2137,-386747.5010,-373717.4811,-389459.8739,-386535.2342,-376903.9623,-383761.3943,-383125.4946,-385480.9472,204066539.9431,204086271.7052,204074650.9378,204083745.7145,-384416.3305,204073956.6963,-1797.3571,-1302.4201,-4539.1311,4557.2200,153.3273,4049.9410,-4538.1952,1236.7380,4539.8639,-4991.2572,0.0000,4223.0402,3237.2324,5445.5250,4682.9995,-3464.8125,-3323.5389,-2517.4860,-5245.2111,4809.7394,126634.4904,121400.4514,125567.4900,122248.8331,128530.3199,125815.5366,114849.3883,122162.0314,-79399356.6309,-79429963.8215,-79380496.2215,-79388415.7311,123648.9688,-79396722.4685,
2400.000,-5266.7624,6575.2174,-5014.9165,-3424.1567,2350.0130,2754.3090,-1216.9832,732.0327,3696.0188,-1703.9408,0.0000,-1394.5496,917.6087,-2837.1342,4313.2044,2118.2866,3124.1278,-3081.3847,-3466.6124,929.4365,11332.6767,-19756.6826,-8654.2554,-6134.7632,-1611.0290,-4492.4830,-9776.1706,-5903.1729,92382907.3996,92343428.5841,92372960.2825,92362054.6083,-5597.2902,92363990.7903,3208.5253,-442.1095,-693.2793,-1521.8033,-6343.2385,5672.1978,-4893.2785,6103.2152,3403.8025,-3843.4629,0.0000,4912.5472,6584.7953,-4000.9560,-3221.2221,-4608.6915,5828.6265,5016.1722,4032.9402,-4075.9272,-386539.3988,-374155.8957,-389639.7033,-386668.0642,-377081.9564,-384487.0310,-383308.9738,-385954.2812,206135275.0766,206154410.6285,206143829.9390,206152564.9518,-384641.1142,206142615.8280,-3112.0127,547.1053,-4702.3957,5808.2702,-1382.0173,2616.1944,-4668.4837,2920.1378,4631.0698,-5503.9444,0.0000,4679.1073,1606.8400,4863.1811,4303.9494,-4673.6102,-1708.4899,-3673.6769,-4397.4150,5383.5195,126577.3804,121316.7283,125445.7489,122282.3392,128453.0579,125814.9130,114808.9951,122365.2385,-79397140.6542,-79428041.4839,-79378280.2783,-79386632.1399,123602.3420,-79394762.4549,
