sl_5_86400_20310712 Coordinates.csv
2031/07/12 07:47:00.0000 UTC

Generated: Tue Oct  8 21:12:31 2024,
Start: 2031/07/12 07:47:00.00, Stop: 2031/07/13 07:47:00.00,
TIME_UNITS,STARLINK-4394 - X-Coordinate,STARLINK-4308 - X-Coordinate,STARLINK-31655 - X-Coordinate,STARLINK-3760 - X-Coordinate,STARLINK-1646 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4394 - Y-Coordinate,STARLINK-4308 - Y-Coordinate,STARLINK-31655 - Y-Coordinate,STARLINK-3760 - Y-Coordinate,STARLINK-1646 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4394 - Z-Coordinate,STARLINK-4308 - Z-Coordinate,STARLINK-31655 - Z-Coordinate,STARLINK-3760 - Z-Coordinate,STARLINK-1646 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2086.8646,5300.5387,3885.7267,2344.6892,-3632.0249,-372776.6921,-338652.0540,-359392.9937,-360605.6320,-355494.4956,-355465.7333,-353090.2903,-356007.7892,111030314.6696,111002398.6056,111025230.7052,111019999.9319,-356730.8209,111011433.8951,-446.6061,2110.5733,2249.8284,-4268.5742,-2811.7957,-135758.2364,-132641.8214,-125129.1006,-130675.0031,-138141.2248,-133885.6093,-128215.6753,-130483.6803,20191840.9396,20198827.7002,20201739.7418,20191525.7072,-130089.9329,20198205.5918,-6448.5436,-3918.0191,5156.7515,4846.2414,-5074.3873,94563.7996,89203.0236,93924.4798,90631.8550,96684.2889,91689.2737,82705.4406,93084.8057,-32956221.1510,-32936523.8579,-32967067.1985,-32945666.4647,91468.4550,-32951705.8296,
3600.000,4238.9996,-431.5142,-6571.8124,2241.1973,6578.1427,-326756.7972,-293947.5020,-313913.2277,-312545.6878,-310805.9991,-314040.4816,-308712.5707,-313395.3998,102024239.7250,102001443.1161,102013218.1191,102019038.5184,-312702.0383,102005915.1915,4748.3519,-1330.1071,171.2374,3951.7918,873.8927,-226059.9234,-213859.3230,-209612.1240,-213096.8827,-223604.0143,-215135.0504,-213894.6579,-214749.4388,48299884.3743,48306458.2818,48312370.5469,48303835.2409,-215353.5514,48305264.3117,2328.0628,6763.0307,-1916.9965,-5166.6801,1656.4427,95460.4031,89838.2012,94311.4652,91436.4305,97482.4456,94592.8304,83635.8499,90968.8179,-32978570.9099,-32952338.7832,-32987914.8849,-32968991.4662,92495.3955,-32971314.9940,
7200.000,-1880.4356,-3431.9142,5978.9944,-5680.9686,-6098.6963,-259133.8276,-230346.0006,-248523.6229,-244828.1060,-246135.4352,-251625.3836,-244203.5528,-247877.8100,86033432.8885,86015243.6395,86015885.4750,86028343.0882,-248707.2570,86016011.5085,-5431.0492,-2541.9061,-1926.1004,-3327.0630,964.7095,-301720.5355,-281141.2862,-280748.2625,-285020.6176,-294950.2634,-283608.2666,-285571.5117,-287426.3580,73118050.2271,73126850.4892,73129747.3608,73127946.1211,-286849.0876,73122858.5480,3604.3458,-5444.0729,-2724.1584,1978.3959,2935.4157,96316.0243,90489.8704,94203.6365,95042.1405,97936.9308,92207.6026,85154.3138,95007.3371,-33000464.4029,-32969569.0490,-33007527.3711,-32992884.0258,93514.2241,-32990937.8013,
10800.000,-811.6878,3376.6491,-2297.6956,6163.7346,2619.9904,-174399.0958,-151955.7275,-167347.1065,-163235.0480,-165773.1808,-171986.7291,-163817.3778,-169837.5556,64148321.3335,64132917.5168,64125524.5550,64138621.6080,-168837.9910,64131900.0661,650.0688,5995.6954,3532.6562,1698.4417,-3245.4268,-357663.1880,-330239.5999,-334085.5967,-339027.5527,-347613.6234,-336263.4066,-338641.7749,-339271.9797,92946346.6760,92959449.4595,92953925.6997,92960159.2371,-340011.7633,92951113.5308,-6710.7582,707.6614,5384.6348,2525.0632,-5427.2941,97134.7006,91159.4144,93902.8604,97918.9610,98062.7902,90062.0431,87271.2588,93231.7280,-33021754.5671,-32987966.1555,-33025572.0470,-33016336.7993,94524.8662,-33010574.2432,
14400.000,58.3906,-659.4453,-2090.8904,-4085.1496,1439.1453,-78203.0553,-63803.4170,-75469.9760,-71477.3062,-75059.9343,-81100.3142,-72881.8224,-77003.3942,37863248.6122,37848003.2918,37838289.8103,37846745.1206,-78199.1493,37847649.2938,5113.7397,-5262.7464,-4985.8881,1445.7406,5371.0105,-390153.9116,-358067.7851,-366237.5422,-370789.4570,-378224.3276,-367810.2671,-369794.1262,-372037.8285,106425359.0280,106443830.9729,106426711.9605,106438113.6701,-371449.0068,106430592.5845,4443.2974,4427.9848,-4204.5929,-5343.6435,3976.4126,97919.6636,91848.2804,93760.5203,100033.7969,97864.4699,88873.6794,90030.9174,96723.4284,-33042334.2956,-33007275.6681,-33041817.2713,-33038175.9872,95527.2482,-33030224.3113,
18000.000,2557.3988,-931.1466,4691.6193,1261.7876,-3858.8441,23036.5780,28484.2035,21320.3386,24945.8741,19900.7134,14997.7740,22513.9485,15960.5946,8974398.7044,8956418.7834,8951280.1993,8953629.6144,17417.4038,8959214.9816,-6148.1030,370.8313,4983.3339,-5005.3586,-5638.1801,-397054.3597,-362890.2556,-375088.4871,-378359.8045,-384779.7564,-375628.2559,-377301.0960,-378594.1882,112629445.6214,112653149.1621,112624852.6260,112635616.4894,-379156.9603,112635498.7935,1320.6813,-6847.8149,-15.2245,4534.5999,327.0031,98673.5870,92558.0733,94083.3261,101597.3371,97353.2545,88473.1212,93512.0093,95614.4214,-33062143.3732,-33027287.8025,-33056362.7126,-33056633.6640,96521.2974,-33049887.9973,
21600.000,-2375.4360,-693.4107,-4836.5465,885.4951,4363.7962,122578.1009,119035.2126,116853.3510,119949.2980,112504.1245,110013.3311,115692.7404,113491.5003,-20542979.0494,-20566338.3970,-20561101.7046,-20560364.0464,111903.1010,-20558274.9831,1873.7209,4732.7594,-2400.7088,6786.0892,2877.5901,-377963.1425,-344426.2597,-359966.2118,-361377.3939,-366519.8184,-359015.3350,-361367.0826,-362911.2017,111130279.6990,111157888.3220,111122702.6318,111130272.2933,-362648.1757,111137257.5645,-6077.4602,4987.8760,4198.9808,-682.2771,-4418.9751,99398.7667,93290.6438,95051.0976,102722.5136,96669.7563,88743.9744,97728.6616,98264.3373,-33081172.3755,-33047841.3659,-33069844.2874,-33070097.4490,97506.9419,-33069565.2925,
25200.000,-1920.6022,3595.3700,3674.3589,-2413.6696,-3927.1627,213819.5973,202101.2083,204959.7338,207465.5555,196965.3525,197746.9990,199009.1206,197455.2005,-48669643.4307,-48700333.6305,-48682106.2543,-48680919.8521,199223.0558,-48685562.2687,2583.2037,-5906.4079,-2081.8357,-5304.5473,1803.6174,-334236.4211,-303862.4535,-321748.1230,-321050.9254,-322834.3972,-318998.7434,-324322.5441,-322941.6786,102026381.3461,102055574.5018,102020178.5715,102030793.0226,-322982.3659,102034113.5177,5959.1408,-66.2649,-5392.1678,-3655.0521,5293.4553,100097.2631,94048.1829,96668.5537,103470.7224,97425.7479,89624.7901,100581.1101,98068.6796,-33099463.2789,-33068814.7598,-33083279.1337,-33083059.5172,98484.1110,-33089256.1887,
28800.000,6055.0443,-3937.8086,-2282.9387,3897.8984,3158.2430,290750.9917,272416.8858,279903.2165,281891.8540,271956.8412,272504.5105,270573.0885,275526.2270,-73480491.9266,-73519441.0759,-73489337.4297,-73492937.9086,273801.6206,-73497393.1667,-2857.3093,2831.7634,5857.6322,1319.8770,-5590.9853,-268886.8461,-243773.7497,-262857.3079,-260091.6373,-258826.4938,-258199.6652,-265630.4517,-262374.0554,85936612.9163,85964414.9291,85935423.2715,85950227.0283,-262698.2785,85944698.1059,-1140.3396,-4937.5301,2697.5424,5500.2056,-2363.9655,100771.0300,94833.3370,98764.0292,103874.8547,100981.4115,91093.2137,98145.1711,99679.8618,-33117106.7416,-33090115.9808,-33097568.5971,-33101013.8141,99452.7345,-33108960.6772,
32400.000,-4958.0559,186.2102,592.9221,-5144.3814,-1452.7744,348363.1364,325528.1322,336810.5394,338467.1634,329870.5617,329486.6137,327143.6072,329167.5279,-93276299.9414,-93323237.2692,-93285094.9684,-93295756.1360,330878.4776,-93294297.4272,150.1002,946.9144,-6544.8794,2745.0949,6279.3153,-186368.4030,-167957.7635,-187118.0322,-182553.5950,-180052.1239,-180636.0709,-188815.7876,-186272.3612,63958077.3155,63981290.1834,63963404.1872,63976798.1154,-185651.0817,63965988.4135,-4631.8284,6838.5300,1910.5242,-3650.6370,-2301.0084,101422.0523,95649.3582,101035.4613,103949.9652,103807.2892,93159.6821,95949.2754,100536.2011,-33134236.2315,-33111674.5718,-33113183.9277,-33122676.6263,100412.7433,-33128678.7497,
36000.000,-828.0515,4905.7435,2016.7703,4830.0095,-1646.4026,382985.8874,358068.3649,372034.7519,373574.2024,366124.3994,365134.4653,363186.1363,368290.1419,-106700059.1361,-106753515.5471,-106712382.1140,-106727367.8451,366812.5185,-106718990.9769,815.0205,-1813.8563,4012.0073,-4846.9629,-4017.8209,-92262.6095,-81193.4937,-99473.8550,-93597.4342,-90046.4713,-91455.3817,-99682.2488,-95863.3766,37591292.0740,37606958.7930,37602311.5684,37608738.6099,-96765.6882,37598514.2045,6672.6395,-4529.0433,-5171.0328,-687.9738,5276.2939,102052.5211,96500.3144,103131.3236,103700.5147,105870.7957,95868.4378,94710.1234,101033.1338,-33151019.3823,-33133435.7138,-33130222.4415,-33146137.7219,101364.0691,-33148410.3976,
