norad_moon_2023-12_14 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 15:00:55 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2024/12/11 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
JPSS-1 - SWIFT,14326.758,14715.493,388.734,
JPSS-1 - SWIFT,31733.330,32656.951,923.621,
JPSS-1 - SWIFT,46454.217,47385.268,931.051,
JPSS-1 - SWIFT,111454.478,112035.727,581.249,
JPSS-1 - SWIFT,125993.419,129903.989,3910.570,
JPSS-1 - SWIFT,143715.690,144567.263,851.573,
JPSS-1 - SWIFT,208597.988,209340.347,742.360,
JPSS-1 - SWIFT,223193.667,227133.045,3939.379,
JPSS-1 - SWIFT,241010.839,241717.847,707.008,
JPSS-1 - SWIFT,305752.884,309613.589,3860.704,
JPSS-1 - SWIFT,323384.700,324336.824,952.124,
JPSS-1 - SWIFT,338369.648,338808.338,438.690,
JPSS-1 - SWIFT,388434.550,388947.641,513.092,
JPSS-1 - SWIFT,402923.375,406876.059,3952.683,
JPSS-1 - SWIFT,420665.119,421504.106,838.987,
JPSS-1 - SWIFT,485541.257,486296.897,755.639,
JPSS-1 - SWIFT,500119.177,504109.752,3990.575,
JPSS-1 - SWIFT,518010.673,518611.284,600.611,
JPSS-1 - SWIFT,582672.657,583622.362,949.705,
JPSS-1 - SWIFT,597355.075,601300.695,3945.620,
JPSS-1 - SWIFT,679834.140,680918.177,1084.037,
JPSS-1 - SWIFT,694651.839,698427.477,3775.637,
JPSS-1 - SWIFT,759598.050,763302.033,3703.983,
JPSS-1 - SWIFT,777042.095,778168.686,1126.591,
JPSS-1 - SWIFT,856684.340,860652.939,3968.600,
JPSS-1 - SWIFT,874320.414,875353.463,1033.049,
JPSS-1 - SWIFT,939527.782,939847.976,320.194,
JPSS-1 - SWIFT,953825.844,957946.612,4120.768,
JPSS-1 - SWIFT,971707.118,972439.843,732.725,
JPSS-1 - SWIFT,1036497.847,1037364.242,866.396,
JPSS-1 - SWIFT,1051040.176,1055161.020,4120.844,
JPSS-1 - SWIFT,1133590.790,1137737.082,4146.292,
JPSS-1 - SWIFT,1148358.809,1152267.222,3908.414,
JPSS-1 - SWIFT,1216342.094,1217053.501,711.407,
JPSS-1 - SWIFT,1230772.475,1234986.915,4214.440,
JPSS-1 - SWIFT,1313374.747,1314521.392,1146.646,
JPSS-1 - SWIFT,1328072.296,1332116.888,4044.592,
JPSS-1 - SWIFT,1410521.850,1417719.904,7198.054,
JPSS-1 - SWIFT,1425535.821,1426281.727,745.906,
JPSS-1 - SWIFT,1490362.567,1494266.761,3904.194,
JPSS-1 - SWIFT,1507799.081,1509083.294,1284.213,
JPSS-1 - SWIFT,1587409.520,1591659.936,4250.416,
JPSS-1 - SWIFT,1605236.915,1606152.181,915.267,
JPSS-1 - SWIFT,1670248.119,1674005.867,3757.747,
JPSS-1 - SWIFT,1681667.713,1688905.131,7237.418,
JPSS-1 - SWIFT,1767239.290,1771437.668,4198.378,
JPSS-1 - SWIFT,1778936.616,1786003.384,7066.768,
JPSS-1 - SWIFT,1850152.754,1850581.697,428.943,
JPSS-1 - SWIFT,1864396.618,1868709.094,4312.476,
JPSS-1 - SWIFT,1882674.229,1882814.582,140.353,
JPSS-1 - SWIFT,1947076.571,1948169.899,1093.328,
JPSS-1 - SWIFT,1961699.812,1965836.956,4137.144,
JPSS-1 - SWIFT,2044208.827,2051404.735,7195.909,
JPSS-1 - SWIFT,2059144.251,2062810.043,3665.792,
JPSS-1 - SWIFT,2126915.316,2127883.813,968.498,
JPSS-1 - SWIFT,2141476.843,2145640.181,4163.338,
JPSS-1 - SWIFT,2221129.361,2225258.456,4129.095,
JPSS-1 - SWIFT,2238863.213,2239842.049,978.837,
JPSS-1 - SWIFT,2303928.396,2304501.888,573.493,
JPSS-1 - SWIFT,2315382.803,2322496.268,7113.465,
JPSS-1 - SWIFT,2336391.884,2336800.804,408.919,
JPSS-1 - SWIFT,2400941.211,2404959.070,4017.859,
JPSS-1 - SWIFT,2412622.024,2419633.314,7011.290,
JPSS-1 - SWIFT,2483763.700,2484157.552,393.851,
JPSS-1 - SWIFT,2498096.849,2502216.325,4119.476,
JPSS-1 - SWIFT,2515999.517,2516688.738,689.221,
JPSS-1 - SWIFT,2580745.702,2581637.326,891.625,
JPSS-1 - SWIFT,2595341.896,2599386.383,4044.487,
JPSS-1 - SWIFT,2677879.961,2678951.545,1071.583,
JPSS-1 - SWIFT,2692652.162,2696495.393,3843.232,
JPSS-1 - SWIFT,2760526.598,2761303.624,777.026,
JPSS-1 - SWIFT,2775090.643,2776180.848,1090.204,
JPSS-1 - SWIFT,2854747.213,2858624.581,3877.368,
JPSS-1 - SWIFT,2872354.690,2873352.890,998.200,
JPSS-1 - SWIFT,2937446.205,2937915.966,469.761,
JPSS-1 - SWIFT,2951902.868,2955872.216,3969.348,
JPSS-1 - SWIFT,2969654.388,2970487.368,832.980,
JPSS-1 - SWIFT,3034507.454,3035286.803,779.348,
JPSS-1 - SWIFT,3049108.203,3053071.151,3962.948,
JPSS-1 - SWIFT,3066978.831,3067595.210,616.379,
JPSS-1 - SWIFT,3131646.151,3132573.150,926.999,
JPSS-1 - SWIFT,3146347.687,3150237.644,3889.957,
JPSS-1 - SWIFT,3164335.411,3164668.526,333.115,
JPSS-1 - SWIFT,3214277.949,3214914.426,636.477,
JPSS-1 - SWIFT,3228826.587,3229812.739,986.152,
JPSS-1 - SWIFT,3246590.344,3247382.906,792.563,
JPSS-1 - SWIFT,3311400.281,3312212.092,811.811,
JPSS-1 - SWIFT,3326036.070,3327020.114,984.044,
JPSS-1 - SWIFT,3343881.937,3344512.521,630.584,
JPSS-1 - SWIFT,3391188.821,3391495.276,306.455,
JPSS-1 - SWIFT,3408559.122,3409469.074,909.952,
JPSS-1 - SWIFT,3423266.869,3424204.340,937.471,
JPSS-1 - SWIFT,3441190.781,3441623.474,432.693,
JPSS-1 - SWIFT,3488262.006,3488839.928,577.921,
JPSS-1 - SWIFT,3505742.536,3506698.552,956.016,
JPSS-1 - SWIFT,3520514.464,3521370.783,856.319,
JPSS-1 - SWIFT,3585388.537,3586128.188,739.651,
JPSS-1 - SWIFT,3599997.976,3603906.691,3908.715,
JPSS-1 - SWIFT,3617777.936,3618520.934,742.997,
JPSS-1 - SWIFT,3668048.145,3668424.856,376.711,
JPSS-1 - SWIFT,3682538.618,3683390.548,851.931,
JPSS-1 - SWIFT,3700166.271,3701096.071,929.799,
JPSS-1 - SWIFT,3715061.710,3715650.879,589.169,
JPSS-1 - SWIFT,3765152.493,3765735.299,582.806,
JPSS-1 - SWIFT,3779705.850,3780634.044,928.194,
JPSS-1 - SWIFT,3797406.437,3798266.122,859.685,
JPSS-1 - SWIFT,3812386.007,3812740.960,354.953,
JPSS-1 - SWIFT,3862282.048,3863019.426,737.378,
JPSS-1 - SWIFT,3876889.882,3880805.384,3915.502,
JPSS-1 - SWIFT,3894671.356,3895412.369,741.013,
JPSS-1 - SWIFT,3959426.112,3960288.226,862.114,
JPSS-1 - SWIFT,3974094.225,3975064.775,970.550,
JPSS-1 - SWIFT,3991975.275,3992521.560,546.285,
JPSS-1 - SWIFT,4039198.463,4039586.770,388.308,
JPSS-1 - SWIFT,4056585.195,4057541.445,956.250,
JPSS-1 - SWIFT,4071325.975,4072243.414,917.439,
JPSS-1 - SWIFT,4136286.683,4136916.934,630.252,
JPSS-1 - SWIFT,4153765.363,4154773.486,1008.123,
JPSS-1 - SWIFT,4168597.067,4169385.263,788.196,
JPSS-1 - SWIFT,4233398.640,4237208.877,3810.237,
JPSS-1 - SWIFT,4250977.353,4251974.727,997.374,
JPSS-1 - SWIFT,4265935.052,4266464.591,529.540,
JPSS-1 - SWIFT,4316132.688,4316460.174,327.486,
JPSS-1 - SWIFT,4330532.037,4334475.647,3943.610,
JPSS-1 - SWIFT,4348236.888,4349131.539,894.651,
JPSS-1 - SWIFT,4413166.946,4413852.730,685.784,
JPSS-1 - SWIFT,4427697.511,4431705.519,4008.008,
JPSS-1 - SWIFT,4445572.475,4446218.163,645.688,
JPSS-1 - SWIFT,4510256.356,4511190.612,934.256,
JPSS-1 - SWIFT,4524913.462,4528880.845,3967.383,
JPSS-1 - SWIFT,4607388.645,4608485.104,1096.460,
JPSS-1 - SWIFT,4622205.829,4623101.709,895.879,
JPSS-1 - SWIFT,4687142.850,4690865.598,3722.748,
JPSS-1 - SWIFT,4704582.421,4705718.576,1136.155,
JPSS-1 - SWIFT,4784197.540,4788211.104,4013.565,
JPSS-1 - SWIFT,4801867.976,4802866.014,998.038,
JPSS-1 - SWIFT,4866966.716,4867456.511,489.795,
JPSS-1 - SWIFT,4881327.133,4885478.520,4151.386,
JPSS-1 - SWIFT,4899306.666,4899873.102,566.436,
JPSS-1 - SWIFT,4963944.793,4964935.447,990.653,
JPSS-1 - SWIFT,4978554.991,4982641.435,4086.444,
JPSS-1 - SWIFT,5061041.424,5068179.197,7137.773,
JPSS-1 - SWIFT,5075922.691,5079651.984,3729.293,
JPSS-1 - SWIFT,5143710.037,5144651.717,941.680,
JPSS-1 - SWIFT,5158255.390,5162424.138,4168.748,
JPSS-1 - SWIFT,5237885.224,5242053.469,4168.245,
JPSS-1 - SWIFT,5255625.866,5256618.315,992.449,
JPSS-1 - SWIFT,5320710.931,5321264.486,553.555,
JPSS-1 - SWIFT,5332097.146,5339310.292,7213.146,
JPSS-1 - SWIFT,5417648.416,5421816.898,4168.482,
JPSS-1 - SWIFT,5429324.110,5436407.197,7083.087,
JPSS-1 - SWIFT,5500558.722,5500937.202,378.480,
JPSS-1 - SWIFT,5514768.717,5519091.218,4322.501,
JPSS-1 - SWIFT,5597430.432,5598551.673,1121.240,
JPSS-1 - SWIFT,5612057.057,5616196.714,4139.656,
JPSS-1 - SWIFT,5694538.030,5701767.538,7229.508,
JPSS-1 - SWIFT,5709533.142,5710327.655,794.513,
JPSS-1 - SWIFT,5774386.466,5778278.093,3891.627,
JPSS-1 - SWIFT,5791812.531,5793093.360,1280.829,
JPSS-1 - SWIFT,5871410.878,5875639.550,4228.672,
JPSS-1 - SWIFT,5889252.814,5890120.128,867.314,
JPSS-1 - SWIFT,5954167.981,5954929.808,761.827,
JPSS-1 - SWIFT,5968603.324,5972832.205,4228.880,
JPSS-1 - SWIFT,6051187.635,6055351.499,4163.865,
JPSS-1 - SWIFT,6065939.346,6069888.618,3949.271,
JPSS-1 - SWIFT,6133936.938,6134630.743,693.805,
JPSS-1 - SWIFT,6148366.703,6152553.820,4187.117,
JPSS-1 - SWIFT,6230956.075,6232053.677,1097.602,
JPSS-1 - SWIFT,6245668.055,6249640.565,3972.511,
JPSS-1 - SWIFT,6325191.469,6329315.843,4124.374,
JPSS-1 - SWIFT,6343070.924,6343795.155,724.231,
JPSS-1 - SWIFT,6407829.462,6411719.711,3890.250,
JPSS-1 - SWIFT,6425385.273,6426471.059,1085.785,
JPSS-1 - SWIFT,6490676.164,6490838.552,162.389,
JPSS-1 - SWIFT,6504935.944,6508985.132,4049.188,
JPSS-1 - SWIFT,6522726.348,6523550.374,824.026,
JPSS-1 - SWIFT,6587566.881,6588367.027,800.146,
JPSS-1 - SWIFT,6602133.969,6606161.418,4027.449,
JPSS-1 - SWIFT,6620150.694,6620545.778,395.083,
JPSS-1 - SWIFT,6684667.128,6685674.070,1006.942,
JPSS-1 - SWIFT,6699396.763,6703277.442,3880.680,
JPSS-1 - SWIFT,6767292.310,6768009.618,717.308,
JPSS-1 - SWIFT,6781843.285,6782897.225,1053.941,
JPSS-1 - SWIFT,6796704.409,6797472.395,767.987,
JPSS-1 - SWIFT,6861483.475,6865313.147,3829.672,
JPSS-1 - SWIFT,6879071.363,6880064.529,993.166,
JPSS-1 - SWIFT,6944145.948,6944612.490,466.542,
JPSS-1 - SWIFT,6958616.335,6962547.006,3930.671,
JPSS-1 - SWIFT,6976334.483,6977195.045,860.562,
