norad_moon_2023-12_21 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 15:31:10 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2024/01/11 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
TDRS 9 - JPSS-1,0.000,6300.381,6300.381,
TDRS 9 - JPSS-1,7664.221,16793.621,9129.400,
TDRS 9 - JPSS-1,18053.357,27888.703,9835.346,
TDRS 9 - JPSS-1,30183.233,33824.586,3641.353,
TDRS 9 - JPSS-1,36164.890,45872.035,9707.145,
TDRS 9 - JPSS-1,47752.639,67618.654,19866.014,
TDRS 9 - JPSS-1,69799.502,73483.389,3683.887,
TDRS 9 - JPSS-1,75812.139,85466.853,9654.714,
TDRS 9 - JPSS-1,87613.470,107439.042,19825.573,
TDRS 9 - JPSS-1,109407.335,113175.900,3768.565,
TDRS 9 - JPSS-1,115444.843,125086.369,9641.526,
TDRS 9 - JPSS-1,127359.353,147459.752,20100.399,
TDRS 9 - JPSS-1,148971.070,152928.282,3957.213,
TDRS 9 - JPSS-1,155055.082,164715.908,9660.826,
TDRS 9 - JPSS-1,167048.775,170726.038,3677.264,
TDRS 9 - JPSS-1,172923.274,192793.797,19870.523,
TDRS 9 - JPSS-1,194655.641,204366.520,9710.880,
TDRS 9 - JPSS-1,206706.956,210349.132,3642.176,
TDRS 9 - JPSS-1,212647.401,222494.115,9846.714,
TDRS 9 - JPSS-1,223774.504,232920.386,9145.883,
TDRS 9 - JPSS-1,234194.707,244043.711,9849.004,
TDRS 9 - JPSS-1,246340.079,249983.622,3643.543,
TDRS 9 - JPSS-1,252323.856,262036.576,9712.719,
TDRS 9 - JPSS-1,263904.008,283767.341,19863.334,
TDRS 9 - JPSS-1,285962.427,289640.867,3678.441,
TDRS 9 - JPSS-1,291974.337,301636.928,9662.590,
TDRS 9 - JPSS-1,303767.556,323582.472,19814.916,
TDRS 9 - JPSS-1,325558.730,329329.789,3771.059,
TDRS 9 - JPSS-1,331601.114,341247.562,9646.448,
TDRS 9 - JPSS-1,343518.502,347289.213,3770.711,
TDRS 9 - JPSS-1,349261.279,363581.368,14320.088,
TDRS 9 - JPSS-1,365136.485,369074.382,3937.897,
TDRS 9 - JPSS-1,371218.220,380878.348,9660.128,
TDRS 9 - JPSS-1,383209.748,386894.790,3685.042,
TDRS 9 - JPSS-1,389079.370,408933.919,19854.548,
TDRS 9 - JPSS-1,410805.591,420524.402,9718.811,
TDRS 9 - JPSS-1,422865.376,426509.946,3644.569,
TDRS 9 - JPSS-1,428806.697,438665.871,9859.174,
TDRS 9 - JPSS-1,439903.326,449032.523,9129.197,
TDRS 9 - JPSS-1,450362.366,460198.493,9836.126,
TDRS 9 - JPSS-1,462502.787,466145.082,3642.295,
TDRS 9 - JPSS-1,468485.356,478214.621,9729.264,
TDRS 9 - JPSS-1,480045.962,499918.403,19872.441,
TDRS 9 - JPSS-1,502117.355,505798.074,3680.719,
TDRS 9 - JPSS-1,508132.423,517799.932,9667.509,
TDRS 9 - JPSS-1,519924.551,539721.698,19797.146,
TDRS 9 - JPSS-1,541722.515,545482.982,3760.467,
TDRS 9 - JPSS-1,547764.074,557414.057,9649.983,
TDRS 9 - JPSS-1,559677.462,563464.720,3787.258,
TDRS 9 - JPSS-1,565408.490,585223.635,19815.144,
TDRS 9 - JPSS-1,587372.345,597038.360,9666.015,
TDRS 9 - JPSS-1,599369.083,603057.413,3688.331,
TDRS 9 - JPSS-1,605237.337,625068.480,19831.144,
TDRS 9 - JPSS-1,626969.891,636683.813,9713.922,
TDRS 9 - JPSS-1,639027.753,642675.437,3647.684,
TDRS 9 - JPSS-1,644966.706,654869.009,9902.303,
TDRS 9 - JPSS-1,656003.517,665159.886,9156.369,
TDRS 9 - JPSS-1,666505.205,676354.061,9848.856,
TDRS 9 - JPSS-1,678660.066,682304.651,3644.584,
TDRS 9 - JPSS-1,684644.609,694380.655,9736.046,
TDRS 9 - JPSS-1,696194.718,716067.647,19872.929,
TDRS 9 - JPSS-1,718280.837,721956.360,3675.523,
TDRS 9 - JPSS-1,724295.167,733971.791,9676.624,
TDRS 9 - JPSS-1,736078.702,755866.186,19787.483,
TDRS 9 - JPSS-1,757874.577,761637.524,3762.947,
TDRS 9 - JPSS-1,763920.852,773575.972,9655.120,
TDRS 9 - JPSS-1,775836.635,779629.976,3793.341,
TDRS 9 - JPSS-1,781560.641,801370.342,19809.701,
TDRS 9 - JPSS-1,803536.100,813201.928,9665.828,
TDRS 9 - JPSS-1,815530.680,819227.860,3697.180,
TDRS 9 - JPSS-1,821393.801,841209.846,19816.045,
TDRS 9 - JPSS-1,843120.570,852842.314,9721.743,
TDRS 9 - JPSS-1,855186.635,858836.981,3650.347,
TDRS 9 - JPSS-1,861126.202,871047.229,9921.027,
TDRS 9 - JPSS-1,872121.415,881271.371,9149.956,
TDRS 9 - JPSS-1,882673.735,892509.712,9835.977,
TDRS 9 - JPSS-1,894823.415,898467.235,3643.820,
TDRS 9 - JPSS-1,900806.799,910562.126,9755.327,
TDRS 9 - JPSS-1,912335.328,932219.513,19884.185,
TDRS 9 - JPSS-1,934436.312,938114.195,3677.883,
TDRS 9 - JPSS-1,940453.746,950135.904,9682.158,
TDRS 9 - JPSS-1,952235.142,956260.044,4024.902,
TDRS 9 - JPSS-1,957626.104,977791.581,20165.478,
TDRS 9 - JPSS-1,980084.444,989743.994,9659.550,
TDRS 9 - JPSS-1,991996.293,995808.365,3812.072,
TDRS 9 - JPSS-1,997707.420,1017520.461,19813.041,
TDRS 9 - JPSS-1,1019690.738,1029362.609,9671.871,
TDRS 9 - JPSS-1,1031690.383,1035391.480,3701.097,
TDRS 9 - JPSS-1,1037551.524,1057345.052,19793.528,
TDRS 9 - JPSS-1,1059285.454,1069002.767,9717.313,
TDRS 9 - JPSS-1,1071349.697,1075003.894,3654.197,
TDRS 9 - JPSS-1,1077286.952,1097400.159,20113.208,
TDRS 9 - JPSS-1,1098817.495,1108665.864,9848.368,
TDRS 9 - JPSS-1,1110981.134,1114627.404,3646.270,
TDRS 9 - JPSS-1,1116966.421,1126730.222,9763.801,
TDRS 9 - JPSS-1,1128481.267,1148369.577,19888.311,
TDRS 9 - JPSS-1,1150600.342,1154273.462,3673.120,
TDRS 9 - JPSS-1,1156617.130,1166309.908,9692.779,
TDRS 9 - JPSS-1,1168389.678,1172460.400,4070.722,
TDRS 9 - JPSS-1,1173738.659,1193946.679,20208.020,
TDRS 9 - JPSS-1,1196241.611,1205906.651,9665.039,
TDRS 9 - JPSS-1,1208155.486,1211975.223,3819.737,
TDRS 9 - JPSS-1,1213857.662,1233667.984,19810.321,
TDRS 9 - JPSS-1,1235855.008,1245527.376,9672.368,
TDRS 9 - JPSS-1,1247852.665,1251563.800,3711.134,
TDRS 9 - JPSS-1,1253708.504,1273487.533,19779.028,
TDRS 9 - JPSS-1,1275436.577,1285161.728,9725.151,
TDRS 9 - JPSS-1,1287508.884,1291166.060,3657.176,
TDRS 9 - JPSS-1,1293446.502,1313511.938,20065.436,
TDRS 9 - JPSS-1,1314986.641,1330791.105,15804.464,
TDRS 9 - JPSS-1,1333129.251,1370431.718,37302.467,
TDRS 9 - JPSS-1,1372775.993,1388638.476,15862.483,
TDRS 9 - JPSS-1,1389860.361,1410101.644,20241.283,
TDRS 9 - JPSS-1,1412405.756,1416056.330,3650.574,
TDRS 9 - JPSS-1,1418402.411,1428156.709,9754.298,
TDRS 9 - JPSS-1,1430003.602,1449818.749,19815.147,
TDRS 9 - JPSS-1,1452010.036,1455704.008,3693.972,
TDRS 9 - JPSS-1,1458040.676,1467728.241,9687.565,
TDRS 9 - JPSS-1,1469865.511,1489623.704,19758.193,
TDRS 9 - JPSS-1,1491602.142,1495384.916,3782.774,
TDRS 9 - JPSS-1,1497664.373,1507334.360,9669.987,
TDRS 9 - JPSS-1,1509607.858,1529641.841,20033.984,
TDRS 9 - JPSS-1,1531131.560,1535123.583,3992.023,
TDRS 9 - JPSS-1,1537261.308,1546951.717,9690.409,
TDRS 9 - JPSS-1,1549289.014,1574973.256,25684.242,
TDRS 9 - JPSS-1,1576843.149,1586592.062,9748.913,
TDRS 9 - JPSS-1,1588940.015,1592593.835,3653.819,
TDRS 9 - JPSS-1,1594894.105,1604850.572,9956.468,
TDRS 9 - JPSS-1,1605961.590,1626257.242,20295.652,
TDRS 9 - JPSS-1,1628563.318,1632216.376,3653.058,
TDRS 9 - JPSS-1,1634562.061,1644325.193,9763.132,
TDRS 9 - JPSS-1,1646150.849,1665967.412,19816.562,
TDRS 9 - JPSS-1,1668175.039,1671863.108,3688.070,
TDRS 9 - JPSS-1,1674205.019,1683902.527,9697.508,
TDRS 9 - JPSS-1,1686022.838,1705767.259,19744.421,
TDRS 9 - JPSS-1,1707754.019,1711539.368,3785.350,
TDRS 9 - JPSS-1,1713821.385,1723497.135,9675.750,
TDRS 9 - JPSS-1,1725767.245,1745754.555,19987.310,
TDRS 9 - JPSS-1,1747301.931,1751269.323,3967.393,
TDRS 9 - JPSS-1,1753426.711,1763116.744,9690.033,
TDRS 9 - JPSS-1,1765452.584,1769155.793,3703.209,
TDRS 9 - JPSS-1,1771333.946,1791113.379,19779.432,
TDRS 9 - JPSS-1,1792993.577,1802750.835,9757.258,
TDRS 9 - JPSS-1,1805099.247,1808756.102,3656.855,
TDRS 9 - JPSS-1,1811053.835,1821037.625,9983.790,
TDRS 9 - JPSS-1,1822068.472,1831210.098,9141.626,
TDRS 9 - JPSS-1,1832508.658,1842413.476,9904.819,
TDRS 9 - JPSS-1,1844728.266,1848380.346,3652.080,
TDRS 9 - JPSS-1,1850726.141,1860510.325,9784.185,
TDRS 9 - JPSS-1,1862295.545,1882118.962,19823.417,
TDRS 9 - JPSS-1,1884330.715,1888021.141,3690.426,
TDRS 9 - JPSS-1,1890363.950,1900067.967,9704.016,
TDRS 9 - JPSS-1,1902178.868,1921904.957,19726.089,
TDRS 9 - JPSS-1,1923920.612,1927693.885,3773.274,
TDRS 9 - JPSS-1,1929986.638,1939667.128,9680.490,
TDRS 9 - JPSS-1,1941929.396,1945751.121,3821.724,
TDRS 9 - JPSS-1,1947663.300,1961885.801,14222.502,
TDRS 9 - JPSS-1,1963448.314,1967419.004,3970.690,
TDRS 9 - JPSS-1,1969581.562,1979277.970,9696.408,
TDRS 9 - JPSS-1,1981612.596,1985320.555,3707.959,
TDRS 9 - JPSS-1,1987491.444,2007245.384,19753.939,
TDRS 9 - JPSS-1,2009161.138,2018912.587,9751.448,
TDRS 9 - JPSS-1,2021264.149,2024924.924,3660.775,
TDRS 9 - JPSS-1,2027216.953,2037270.406,10053.454,
TDRS 9 - JPSS-1,2038149.510,2047336.090,9186.580,
TDRS 9 - JPSS-1,2048652.025,2058569.715,9917.690,
TDRS 9 - JPSS-1,2060886.400,2064541.007,3654.607,
TDRS 9 - JPSS-1,2066886.134,2076681.051,9794.918,
TDRS 9 - JPSS-1,2078439.022,2098269.130,19830.108,
TDRS 9 - JPSS-1,2100496.645,2104181.673,3685.028,
TDRS 9 - JPSS-1,2106529.193,2116244.651,9715.458,
TDRS 9 - JPSS-1,2118336.753,2138049.667,19712.914,
TDRS 9 - JPSS-1,2140073.347,2143849.012,3775.665,
TDRS 9 - JPSS-1,2146144.260,2155830.708,9686.448,
TDRS 9 - JPSS-1,2158088.687,2161920.112,3831.425,
TDRS 9 - JPSS-1,2163811.942,2183566.333,19754.390,
TDRS 9 - JPSS-1,2185747.905,2195444.587,9696.682,
TDRS 9 - JPSS-1,2197777.110,2201495.428,3718.317,
TDRS 9 - JPSS-1,2203651.577,2223386.787,19735.209,
TDRS 9 - JPSS-1,2225312.491,2235071.951,9759.460,
TDRS 9 - JPSS-1,2237423.835,2241087.939,3664.104,
TDRS 9 - JPSS-1,2243376.738,2253477.841,10101.103,
TDRS 9 - JPSS-1,2254229.097,2263436.383,9207.286,
TDRS 9 - JPSS-1,2264828.402,2274727.410,9899.007,
TDRS 9 - JPSS-1,2277052.237,2280706.530,3654.293,
TDRS 9 - JPSS-1,2283051.154,2292870.784,9819.630,
TDRS 9 - JPSS-1,2294582.175,2314421.410,19839.235,
TDRS 9 - JPSS-1,2316652.959,2320340.270,3687.311,
TDRS 9 - JPSS-1,2322688.599,2332411.342,9722.743,
TDRS 9 - JPSS-1,2334491.651,2354189.157,19697.505,
TDRS 9 - JPSS-1,2356240.879,2360005.000,3764.121,
TDRS 9 - JPSS-1,2362310.376,2372002.603,9692.227,
TDRS 9 - JPSS-1,2374251.763,2378105.349,3853.586,
TDRS 9 - JPSS-1,2379962.129,2399716.775,19754.646,
TDRS 9 - JPSS-1,2401903.396,2411606.425,9703.030,
TDRS 9 - JPSS-1,2413937.337,2417661.253,3723.916,
TDRS 9 - JPSS-1,2419808.323,2439520.719,19712.396,
TDRS 9 - JPSS-1,2441480.987,2451235.168,9754.181,
TDRS 9 - JPSS-1,2453589.609,2457258.535,3668.926,
TDRS 9 - JPSS-1,2459540.776,2479563.466,20022.690,
TDRS 9 - JPSS-1,2480973.271,2490884.143,9910.872,
TDRS 9 - JPSS-1,2493210.842,2496867.728,3656.887,
TDRS 9 - JPSS-1,2499211.389,2509044.474,9833.084,
TDRS 9 - JPSS-1,2510720.632,2530573.105,19852.473,
TDRS 9 - JPSS-1,2532819.695,2536502.230,3682.535,
