norad_mars_2023-12_6 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 15:09:29 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2024/12/11 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
HST - TERRA,3067.942,4053.567,985.626,
HST - TERRA,17724.368,18452.433,728.065,
HST - TERRA,122346.036,126047.121,3701.086,
HST - TERRA,136739.582,140686.018,3946.437,
HST - TERRA,154202.893,155166.381,963.488,
HST - TERRA,168945.627,169481.375,535.748,
HST - TERRA,273405.588,277257.196,3851.607,
HST - TERRA,287824.030,291845.731,4021.701,
HST - TERRA,305373.108,306259.758,886.650,
HST - TERRA,410220.715,410722.992,502.277,
HST - TERRA,424456.304,428471.288,4014.984,
HST - TERRA,438944.922,442997.313,4052.392,
HST - TERRA,456642.972,457275.286,632.314,
HST - TERRA,561206.134,562045.275,839.141,
HST - TERRA,575534.794,582588.951,7054.157,
HST - TERRA,590111.123,594099.669,3988.546,
HST - TERRA,712233.076,713351.352,1118.275,
HST - TERRA,726648.053,733747.449,7099.396,
HST - TERRA,741379.970,742303.006,923.035,
HST - TERRA,849086.924,849792.669,705.744,
HST - TERRA,863290.248,864642.120,1351.872,
HST - TERRA,877848.908,879130.356,1281.449,
HST - TERRA,1000061.295,1001191.345,1130.050,
HST - TERRA,1008638.941,1015878.014,7239.073,
HST - TERRA,1029150.045,1030195.790,1045.745,
HST - TERRA,1145418.999,1152514.861,7095.863,
HST - TERRA,1159792.324,1167025.238,7232.914,
HST - TERRA,1180619.958,1181119.880,499.922,
HST - TERRA,1285127.313,1289025.127,3897.814,
HST - TERRA,1296497.825,1303739.164,7241.340,
HST - TERRA,1316976.721,1318086.262,1109.541,
HST - TERRA,1436151.943,1440327.387,4175.444,
HST - TERRA,1447670.157,1454871.496,7201.339,
HST - TERRA,1468397.792,1469039.574,641.782,
HST - TERRA,1573007.822,1576805.135,3797.313,
HST - TERRA,1587272.780,1591526.823,4254.043,
HST - TERRA,1601857.081,1605917.442,4060.361,
HST - TERRA,1724033.638,1731002.500,6968.863,
HST - TERRA,1738458.344,1742630.274,4171.931,
HST - TERRA,1753167.163,1756922.279,3755.116,
HST - TERRA,1860846.065,1861552.239,706.174,
HST - TERRA,1875137.215,1882145.611,7008.396,
HST - TERRA,1889685.437,1893692.791,4007.354,
HST - TERRA,2011862.217,2012813.057,950.840,
HST - TERRA,2026293.001,2027431.834,1138.833,
HST - TERRA,2040911.418,2041863.808,952.391,
HST - TERRA,2148620.411,2149250.506,630.095,
HST - TERRA,2162954.791,2163970.718,1015.927,
HST - TERRA,2177457.717,2178517.373,1059.655,
HST - TERRA,2192134.464,2192893.428,758.964,
HST - TERRA,2296777.086,2300454.937,3677.851,
HST - TERRA,2311175.861,2315089.012,3913.151,
HST - TERRA,2328629.675,2329577.024,947.349,
HST - TERRA,2343321.782,2343938.725,616.942,
HST - TERRA,2433517.565,2433934.621,417.056,
HST - TERRA,2447838.179,2451603.851,3765.672,
HST - TERRA,2462288.767,2466173.043,3884.276,
HST - TERRA,2479778.892,2480642.583,863.692,
HST - TERRA,2494486.018,2494991.200,505.182,
HST - TERRA,2584523.803,2585132.215,608.411,
HST - TERRA,2598915.343,2599794.301,878.959,
HST - TERRA,2613411.902,2617254.404,3842.503,
HST - TERRA,2627987.496,2631706.939,3719.442,
HST - TERRA,2645604.821,2646073.930,469.110,
HST - TERRA,2735569.266,2736278.014,708.748,
HST - TERRA,2750012.472,2750888.623,876.152,
HST - TERRA,2764520.703,2765431.012,910.309,
HST - TERRA,2779107.196,2779897.552,790.356,
HST - TERRA,2886646.574,2887384.436,737.862,
HST - TERRA,2901102.943,2901979.925,876.982,
HST - TERRA,2915627.613,2916507.655,880.042,
HST - TERRA,2930206.615,2930980.067,773.452,
HST - TERRA,3037723.718,3038483.547,759.829,
HST - TERRA,3052198.319,3053062.172,863.853,
HST - TERRA,3066720.583,3067590.489,869.906,
HST - TERRA,3081299.610,3082064.653,765.043,
HST - TERRA,3095926.573,3096491.049,564.476,
HST - TERRA,3157156.573,3157302.490,145.917,
HST - TERRA,3171505.280,3172010.657,505.377,
HST - TERRA,3185919.815,3186649.947,730.132,
HST - TERRA,3200387.549,3204148.283,3760.734,
HST - TERRA,3217810.585,3218674.341,863.756,
HST - TERRA,3232386.103,3233150.054,763.951,
HST - TERRA,3247008.993,3247581.899,572.906,
HST - TERRA,3322587.970,3323098.982,511.012,
HST - TERRA,3337008.463,3337733.603,725.140,
HST - TERRA,3351470.051,3355234.952,3764.901,
HST - TERRA,3365985.048,3369760.940,3775.892,
HST - TERRA,3383472.179,3384235.765,763.587,
HST - TERRA,3398105.408,3398655.715,550.307,
HST - TERRA,3473688.089,3474171.452,483.363,
HST - TERRA,3488090.890,3488822.247,731.357,
HST - TERRA,3502550.563,3503415.625,865.062,
HST - TERRA,3517066.125,3520851.447,3785.322,
HST - TERRA,3534565.478,3535312.870,747.392,
HST - TERRA,3549216.104,3549717.118,501.014,
HST - TERRA,3624784.114,3625249.271,465.157,
HST - TERRA,3639170.974,3639917.512,746.538,
HST - TERRA,3653625.153,3654514.180,889.027,
HST - TERRA,3668146.185,3669044.553,898.369,
HST - TERRA,3682742.368,3683499.139,756.772,
HST - TERRA,3790241.384,3791025.588,784.204,
HST - TERRA,3804694.573,3805624.298,929.725,
HST - TERRA,3819233.945,3820134.120,900.175,
HST - TERRA,3833860.571,3834560.219,699.649,
HST - TERRA,3941299.935,3942154.301,854.366,
HST - TERRA,3955765.973,3956737.595,971.622,
HST - TERRA,3970333.252,3971220.676,887.424,
HST - TERRA,3985030.489,3985576.314,545.826,
HST - TERRA,4075144.765,4075641.476,496.712,
HST - TERRA,4089467.989,4093296.551,3828.562,
