norad_mars_2023-12_11 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 15:32:35 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2024/01/11 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
THEMIS A - AURA,0.000,27968.561,27968.561,
THEMIS A - AURA,29704.178,39459.271,9755.093,
THEMIS A - AURA,42084.688,48251.976,6167.288,
THEMIS A - AURA,50787.306,128692.604,77905.298,
THEMIS A - AURA,130561.961,140122.214,9560.253,
THEMIS A - AURA,145883.101,149242.530,3359.429,
THEMIS A - AURA,151443.570,229412.089,77968.519,
THEMIS A - AURA,231428.071,235143.169,3715.098,
THEMIS A - AURA,246492.812,250186.364,3693.552,
THEMIS A - AURA,252107.294,330125.156,78017.862,
THEMIS A - AURA,332307.593,335821.022,3513.429,
THEMIS A - AURA,341638.609,344800.589,3161.981,
THEMIS A - AURA,347151.475,430828.230,83676.755,
THEMIS A - AURA,433213.472,436410.715,3197.243,
THEMIS A - AURA,442195.180,445741.759,3546.580,
THEMIS A - AURA,447825.523,514589.017,66763.494,
THEMIS A - AURA,515329.889,531512.853,16182.964,
THEMIS A - AURA,537502.554,546658.291,9155.737,
THEMIS A - AURA,548504.964,615230.084,66725.120,
THEMIS A - AURA,616269.056,632149.640,15880.584,
THEMIS A - AURA,637903.855,647565.688,9661.834,
THEMIS A - AURA,649184.713,715894.582,66709.868,
THEMIS A - AURA,717186.634,735892.093,18705.459,
THEMIS A - AURA,738541.854,748471.196,9929.342,
THEMIS A - AURA,749860.896,816569.316,66708.420,
THEMIS A - AURA,818096.088,827861.981,9765.893,
THEMIS A - AURA,833637.397,836875.215,3237.819,
THEMIS A - AURA,839220.777,849380.919,10160.142,
THEMIS A - AURA,850528.992,917248.287,66719.295,
THEMIS A - AURA,919004.223,922900.604,3896.381,
THEMIS A - AURA,934235.575,937784.132,3548.557,
THEMIS A - AURA,939915.617,950304.113,10388.496,
THEMIS A - AURA,951180.722,1017927.347,66746.625,
THEMIS A - AURA,1019917.398,1023564.831,3647.433,
THEMIS A - AURA,1026335.264,1032439.586,6104.323,
THEMIS A - AURA,1034908.655,1038668.946,3760.291,
THEMIS A - AURA,1040618.833,1118602.111,77983.278,
THEMIS A - AURA,1120846.546,1124173.121,3326.575,
THEMIS A - AURA,1129934.996,1133358.295,3423.299,
THEMIS A - AURA,1135605.254,1139541.420,3936.166,
THEMIS A - AURA,1141327.111,1219265.226,77938.115,
THEMIS A - AURA,1221828.328,1234240.916,12412.588,
THEMIS A - AURA,1236313.503,1240406.367,4092.864,
THEMIS A - AURA,1242038.558,1319896.599,77858.041,
THEMIS A - AURA,1325650.095,1335106.914,9456.820,
THEMIS A - AURA,1337028.773,1423496.959,86468.186,
THEMIS A - AURA,1426276.694,1435962.880,9686.186,
THEMIS A - AURA,1437748.698,1504720.534,66971.836,
THEMIS A - AURA,1505368.927,1524513.422,19144.495,
THEMIS A - AURA,1526965.078,1536811.894,9846.816,
THEMIS A - AURA,1538471.840,1605219.368,66747.528,
THEMIS A - AURA,1606456.347,1610683.205,4226.858,
THEMIS A - AURA,1621963.562,1625406.685,3443.123,
THEMIS A - AURA,1627674.928,1637655.711,9980.783,
THEMIS A - AURA,1639197.208,1705804.309,66607.101,
THEMIS A - AURA,1707461.051,1711316.878,3855.827,
THEMIS A - AURA,1722639.618,1726268.909,3629.291,
THEMIS A - AURA,1728395.916,1738495.486,10099.571,
THEMIS A - AURA,1739924.057,1806416.423,66492.365,
THEMIS A - AURA,1808446.538,1811917.007,3470.469,
THEMIS A - AURA,1817663.020,1820993.160,3330.140,
THEMIS A - AURA,1823346.679,1827115.602,3768.923,
THEMIS A - AURA,1829123.895,1839332.075,10208.180,
THEMIS A - AURA,1840651.804,1907035.847,66384.043,
THEMIS A - AURA,1909450.858,1921857.741,12406.883,
THEMIS A - AURA,1924067.961,1927952.379,3884.418,
THEMIS A - AURA,1929856.804,1940166.194,10309.389,
THEMIS A - AURA,1941379.954,2007642.343,66262.389,
THEMIS A - AURA,2013398.495,2022702.734,9304.238,
THEMIS A - AURA,2024797.682,2028781.958,3984.277,
THEMIS A - AURA,2030593.491,2040998.525,10405.034,
THEMIS A - AURA,2042108.046,2108167.601,66059.555,
THEMIS A - AURA,2113994.005,2123536.205,9542.200,
THEMIS A - AURA,2125533.208,2129605.892,4072.683,
THEMIS A - AURA,2131333.275,2141829.776,10496.500,
THEMIS A - AURA,2142835.606,2212152.856,69317.250,
THEMIS A - AURA,2214683.762,2224361.709,9677.947,
THEMIS A - AURA,2226273.153,2230425.168,4152.015,
THEMIS A - AURA,2232075.751,2242660.763,10585.012,
THEMIS A - AURA,2243562.059,2298535.592,54973.533,
THEMIS A - AURA,2309684.507,2313039.442,3354.934,
THEMIS A - AURA,2315400.514,2325181.177,9780.663,
THEMIS A - AURA,2327016.693,2331240.488,4223.796,
THEMIS A - AURA,2332820.638,2343492.582,10671.944,
THEMIS A - AURA,2344286.527,2393977.065,49690.538,
THEMIS A - AURA,2394755.982,2399104.150,4348.168,
THEMIS A - AURA,2410352.748,2413888.041,3535.293,
THEMIS A - AURA,2416130.377,2425995.812,9865.435,
THEMIS A - AURA,2427763.269,2444326.931,16563.662,
THEMIS A - AURA,2445007.464,2494348.559,49341.095,
THEMIS A - AURA,2495961.228,2499672.018,3710.790,
THEMIS A - AURA,2505400.706,2508629.563,3228.856,
THEMIS A - AURA,2511063.421,2514719.771,3656.351,
THEMIS A - AURA,2516868.262,2526806.430,9938.168,
THEMIS A - AURA,2528512.430,2545166.919,16654.489,
THEMIS A - AURA,2545721.790,2592000.000,46278.210,
THEMIS A - MMS 3,0.000,27389.717,27389.717,
THEMIS A - MMS 3,29617.076,42389.660,12772.584,
THEMIS A - MMS 3,44642.338,240721.590,196079.252,
THEMIS A - MMS 3,241871.003,330952.485,89081.482,
THEMIS A - MMS 3,339382.305,535623.854,196241.549,
THEMIS A - MMS 3,536770.781,830576.180,293805.400,
THEMIS A - MMS 3,831723.567,1241059.446,409335.879,
THEMIS A - MMS 3,1242303.761,1519084.987,276781.226,
THEMIS A - MMS 3,1520318.099,1813989.786,293671.687,
THEMIS A - MMS 3,1815183.181,2108943.287,293760.106,
THEMIS A - MMS 3,2110115.349,2152466.755,42351.407,
THEMIS A - MMS 3,2153787.317,2206591.306,52803.989,
THEMIS A - MMS 3,2207952.124,2403908.844,195956.719,
THEMIS A - MMS 3,2405071.606,2501481.025,96409.419,
THEMIS A - MMS 3,2502898.906,2592000.000,89101.094,
THEMIS A - MMS 1,0.000,239610.803,239610.803,
THEMIS A - MMS 1,241358.546,517475.814,276117.268,
THEMIS A - MMS 1,519594.202,822571.338,302977.136,
THEMIS A - MMS 1,830969.498,928656.851,97687.352,
THEMIS A - MMS 1,929874.964,1126749.889,196874.924,
