norad_mars_2023-12_18 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 15:24:09 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2023/12/13 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
TDRS 13 - THEMIS E,0.000,22541.197,22541.197,
TDRS 13 - THEMIS E,30693.215,86400.000,55706.785,
TDRS 13 - TERRA,0.000,10145.470,10145.470,
TDRS 13 - TERRA,11093.879,20932.628,9838.749,
TDRS 13 - TERRA,23247.465,26771.441,3523.976,
TDRS 13 - TERRA,29140.230,38634.407,9494.177,
TDRS 13 - TERRA,40649.687,59632.789,18983.102,
TDRS 13 - TERRA,61777.863,71232.499,9454.636,
TDRS 13 - TERRA,73597.917,77141.529,3543.612,
TDRS 13 - TERRA,79405.963,86400.000,6994.037,
TDRS 13 - GPM-CORE,0.000,1286.269,1286.269,
TDRS 13 - GPM-CORE,9360.147,12643.343,3283.196,
TDRS 13 - GPM-CORE,15205.974,24765.439,9559.465,
TDRS 13 - GPM-CORE,27270.968,30311.259,3040.291,
TDRS 13 - GPM-CORE,38317.675,41266.523,2948.847,
TDRS 13 - GPM-CORE,49292.552,52418.192,3125.641,
TDRS 13 - GPM-CORE,54931.451,64602.231,9670.779,
TDRS 13 - GPM-CORE,67119.574,70252.145,3132.571,
TDRS 13 - GPM-CORE,72769.946,81232.065,8462.119,
TDRS 13 - GPM-CORE,83765.665,86400.000,2634.335,
TDRS 13 - MarsSat-1,0.000,17551.911,17551.911,
TDRS 13 - MarsSat-1,21591.437,86400.000,64808.563,
TDRS 13 - MarsSat-2,0.000,86400.000,86400.000,
TDRS 13 - MarsSat-3,0.000,28821.704,28821.704,
TDRS 13 - MarsSat-3,34697.634,86400.000,51702.366,
TDRS 13 - MarsSat-4,0.000,28683.992,28683.992,
TDRS 13 - MarsSat-4,30094.528,61047.274,30952.746,
TDRS 13 - MarsSat-4,62412.330,86400.000,23987.670,
TDRS 6 - THEMIS E,0.000,86400.000,86400.000,
TDRS 6 - TERRA,0.000,23906.323,23906.323,
TDRS 6 - TERRA,26300.146,35901.597,9601.451,
TDRS 6 - TERRA,37993.842,56671.577,18677.734,
TDRS 6 - TERRA,58807.475,62483.106,3675.631,
TDRS 6 - TERRA,70783.163,74360.057,3576.894,
TDRS 6 - TERRA,76669.023,86400.000,9730.977,
TDRS 6 - GPM-CORE,1281.658,9976.855,8695.196,
TDRS 6 - GPM-CORE,12508.397,16123.881,3615.484,
TDRS 6 - GPM-CORE,18714.586,27751.021,9036.435,
TDRS 6 - GPM-CORE,30272.053,38722.996,8450.944,
TDRS 6 - GPM-CORE,41258.781,49817.508,8558.727,
TDRS 6 - GPM-CORE,52343.175,55716.585,3373.410,
TDRS 6 - GPM-CORE,58318.836,67702.001,9383.165,
TDRS 6 - GPM-CORE,70212.088,73229.874,3017.786,
TDRS 6 - GPM-CORE,81239.716,84193.884,2954.168,
TDRS 6 - MarsSat-1,0.000,17550.015,17550.015,
TDRS 6 - MarsSat-1,21588.943,86400.000,64811.057,
TDRS 6 - MarsSat-2,0.000,86400.000,86400.000,
TDRS 6 - MarsSat-3,0.000,28821.271,28821.271,
TDRS 6 - MarsSat-3,34696.329,86400.000,51703.671,
TDRS 6 - MarsSat-4,0.000,28683.584,28683.584,
TDRS 6 - MarsSat-4,30094.700,61047.942,30953.242,
TDRS 6 - MarsSat-4,62411.121,86400.000,23988.879,
THEMIS E - TERRA,0.000,6197.061,6197.061,
THEMIS E - TERRA,8405.559,23924.700,15519.141,
THEMIS E - TERRA,26184.665,35727.443,9542.778,
THEMIS E - TERRA,38032.286,41609.589,3577.302,
THEMIS E - TERRA,43949.516,60189.817,16240.300,
THEMIS E - TERRA,61842.617,71623.182,9780.564,
THEMIS E - TERRA,73664.283,77496.570,3832.287,
THEMIS E - TERRA,79588.206,86400.000,6811.794,
THEMIS E - GPM-CORE,0.000,6175.842,6175.842,
THEMIS E - GPM-CORE,8226.707,16916.842,8690.135,
THEMIS E - GPM-CORE,19070.929,27642.135,8571.207,
THEMIS E - GPM-CORE,29903.876,38361.023,8457.147,
THEMIS E - GPM-CORE,40767.106,49072.977,8305.871,
THEMIS E - GPM-CORE,60201.604,63514.904,3313.300,
THEMIS E - GPM-CORE,65792.548,75151.167,9358.619,
THEMIS E - GPM-CORE,77038.078,86129.684,9091.606,
THEMIS E - MarsSat-1,0.000,17549.457,17549.457,
THEMIS E - MarsSat-1,21588.408,86400.000,64811.592,
THEMIS E - MarsSat-2,0.000,86400.000,86400.000,
THEMIS E - MarsSat-3,0.000,28821.677,28821.677,
THEMIS E - MarsSat-3,34695.577,86400.000,51704.423,
THEMIS E - MarsSat-4,0.000,28683.307,28683.307,
THEMIS E - MarsSat-4,30095.133,61047.416,30952.283,
THEMIS E - MarsSat-4,62412.383,86400.000,23987.617,
TERRA - GPM-CORE,11396.926,15562.380,4165.454,
TERRA - GPM-CORE,62047.243,69015.761,6968.518,
TERRA - MarsSat-1,0.000,3508.295,3508.295,
TERRA - MarsSat-1,5548.471,9438.733,3890.263,
TERRA - MarsSat-1,11478.990,15369.176,3890.186,
TERRA - MarsSat-1,23340.033,27230.065,3890.032,
TERRA - MarsSat-1,29270.554,39090.940,9820.386,
TERRA - MarsSat-1,41131.588,45021.368,3889.780,
TERRA - MarsSat-1,47062.098,56882.202,9820.104,
TERRA - MarsSat-1,58923.106,62812.612,3889.506,
TERRA - MarsSat-1,64853.605,74673.429,9819.824,
TERRA - MarsSat-1,76714.601,86400.000,9685.399,
TERRA - MarsSat-2,0.000,3508.340,3508.340,
TERRA - MarsSat-2,5548.516,9438.780,3890.265,
TERRA - MarsSat-2,11479.039,21299.659,9820.620,
TERRA - MarsSat-2,23340.082,27230.097,3890.015,
TERRA - MarsSat-2,29270.600,39090.965,9820.365,
TERRA - MarsSat-2,41131.630,45021.395,3889.765,
TERRA - MarsSat-2,47062.140,56882.239,9820.099,
TERRA - MarsSat-2,58923.141,62812.648,3889.506,
TERRA - MarsSat-2,64853.629,74673.437,9819.808,
TERRA - MarsSat-2,76714.588,86400.000,9685.412,
TERRA - MarsSat-3,0.000,3508.287,3508.287,
TERRA - MarsSat-3,5548.439,9438.717,3890.279,
TERRA - MarsSat-3,11478.956,21299.595,9820.639,
TERRA - MarsSat-3,23340.008,27230.038,3890.030,
TERRA - MarsSat-3,35201.066,39090.923,3889.857,
TERRA - MarsSat-3,41131.593,45021.362,3889.769,
TERRA - MarsSat-3,47062.118,56882.229,9820.111,
