starlink_2023_12_8 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 14:14:54 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2024/01/11 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
STARLINK-1811 - STARLINK-2189,1115924.610,1119616.543,3691.933,
STARLINK-1811 - STARLINK-2189,1130026.139,1136965.041,6938.902,
STARLINK-1811 - STARLINK-2189,1144261.338,1151376.643,7115.305,
STARLINK-1811 - STARLINK-2189,1158408.163,1165850.768,7442.605,
STARLINK-1811 - STARLINK-2189,1166964.856,1180282.085,13317.229,
STARLINK-1811 - STARLINK-2189,1181103.254,1194793.218,13689.964,
STARLINK-1811 - STARLINK-2189,1195288.401,1879083.654,683795.254,
STARLINK-1811 - STARLINK-2189,1879649.556,1893262.154,13612.598,
STARLINK-1811 - STARLINK-2189,1894178.083,1907412.634,13234.551,
STARLINK-1811 - STARLINK-2189,1908584.229,1915961.982,7377.753,
STARLINK-1811 - STARLINK-2189,1923081.482,1930108.579,7027.097,
STARLINK-1811 - STARLINK-2189,1943259.268,1944337.075,1077.807,
STARLINK-1811 - STARLINK-2189,1957832.038,1958407.521,575.483,
STARLINK-1811 - STARLINK-1644,201487.718,201838.664,350.946,
STARLINK-1811 - STARLINK-1644,215540.574,216236.153,695.580,
STARLINK-1811 - STARLINK-1644,229656.547,230569.665,913.118,
STARLINK-1811 - STARLINK-1644,240984.010,244850.319,3866.309,
STARLINK-1811 - STARLINK-1644,255178.331,256256.038,1077.706,
STARLINK-1811 - STARLINK-1644,269391.987,270490.272,1098.286,
STARLINK-1811 - STARLINK-1644,277944.404,284682.653,6738.249,
STARLINK-1811 - STARLINK-1644,295072.430,298853.852,3781.422,
STARLINK-1811 - STARLINK-1644,309378.768,310159.743,780.975,
STARLINK-1811 - STARLINK-1644,323761.053,324227.657,466.604,
STARLINK-1811 - STARLINK-1644,608122.879,608869.442,746.563,
STARLINK-1811 - STARLINK-1644,622258.957,623180.802,921.844,
STARLINK-1811 - STARLINK-1644,633589.469,637466.884,3877.415,
STARLINK-1811 - STARLINK-1644,647776.068,651708.508,3932.441,
STARLINK-1811 - STARLINK-1644,662006.018,663083.688,1077.671,
STARLINK-1811 - STARLINK-1644,676255.520,677279.870,1024.350,
STARLINK-1811 - STARLINK-1644,690551.351,691431.162,879.811,
STARLINK-1811 - STARLINK-1644,716399.027,716787.921,388.894,
STARLINK-1811 - STARLINK-1644,989378.954,990011.060,632.106,
STARLINK-1811 - STARLINK-1644,1000661.610,1001484.785,823.175,
STARLINK-1811 - STARLINK-1644,1014800.470,1015790.653,990.183,
STARLINK-1811 - STARLINK-1644,1028987.047,1030048.548,1061.501,
STARLINK-1811 - STARLINK-1644,1040354.297,1044285.957,3931.661,
STARLINK-1811 - STARLINK-1644,1054585.809,1058480.113,3894.304,
STARLINK-1811 - STARLINK-1644,1068862.451,1069816.429,953.977,
STARLINK-1811 - STARLINK-1644,1083162.349,1083960.551,798.202,
STARLINK-1811 - STARLINK-1644,1097535.072,1098033.550,498.478,
STARLINK-1811 - STARLINK-1644,1367752.361,1368288.210,535.850,
STARLINK-1811 - STARLINK-1644,1381832.912,1382651.082,818.169,
STARLINK-1811 - STARLINK-1644,1393143.176,1396945.688,3802.512,
STARLINK-1811 - STARLINK-1644,1407319.624,1414060.444,6740.820,
STARLINK-1811 - STARLINK-1644,1421516.129,1422605.891,1089.762,
STARLINK-1811 - STARLINK-1644,1435757.021,1436807.032,1050.011,
STARLINK-1811 - STARLINK-1644,1447168.523,1450987.323,3818.800,
STARLINK-1811 - STARLINK-1644,1461458.015,1462301.334,843.319,
STARLINK-1811 - STARLINK-1644,1475811.834,1476390.879,579.045,
STARLINK-1811 - STARLINK-1644,1760131.315,1760943.414,812.100,
STARLINK-1811 - STARLINK-1644,1774277.610,1775237.627,960.017,
STARLINK-1811 - STARLINK-1644,1788446.549,1789508.500,1061.951,
STARLINK-1811 - STARLINK-1644,1799810.434,1803734.053,3923.619,
STARLINK-1811 - STARLINK-1644,1814050.597,1815095.849,1045.252,
STARLINK-1811 - STARLINK-1644,1828311.417,1829274.376,962.959,
STARLINK-1811 - STARLINK-1644,1842623.309,1843403.156,779.847,
STARLINK-1811 - STARLINK-1644,2113093.595,2113323.108,229.512,
STARLINK-1811 - STARLINK-1644,2127088.423,2127767.858,679.435,
STARLINK-1811 - STARLINK-1644,2138375.379,2142086.037,3710.658,
STARLINK-1811 - STARLINK-1644,2152529.830,2153515.607,985.778,
STARLINK-1811 - STARLINK-1644,2166706.278,2167776.692,1070.415,
STARLINK-1811 - STARLINK-1644,2180927.961,2181992.523,1064.563,
STARLINK-1811 - STARLINK-1644,2192324.204,2196187.306,3863.102,
STARLINK-1811 - STARLINK-1644,2206593.858,2207513.891,920.033,
STARLINK-1811 - STARLINK-1644,2220918.278,2221628.080,709.801,
STARLINK-1811 - STARLINK-1644,2235302.173,2235682.454,380.281,
STARLINK-1811 - STARLINK-1644,2491199.621,2491695.562,495.941,
STARLINK-1811 - STARLINK-1644,2505268.434,2506063.811,795.377,
STARLINK-1811 - STARLINK-1644,2519410.041,2520358.345,948.304,
STARLINK-1811 - STARLINK-1644,2530744.575,2534628.419,3883.844,
STARLINK-1811 - STARLINK-1644,2544937.164,2548852.425,3915.261,
STARLINK-1811 - STARLINK-1644,2559174.981,2560212.464,1037.483,
STARLINK-1811 - STARLINK-1644,2573434.490,2574388.098,953.608,
STARLINK-1811 - STARLINK-1644,2587745.798,2588513.012,767.214,
STARLINK-1811 - STARLINK-3306,82067.822,82914.286,846.465,
STARLINK-1811 - STARLINK-3306,93239.335,94214.414,975.080,
STARLINK-1811 - STARLINK-3306,107388.212,108153.596,765.384,
STARLINK-1811 - STARLINK-3306,222590.705,223360.424,769.719,
STARLINK-1811 - STARLINK-3306,233729.907,234684.856,954.949,
STARLINK-1811 - STARLINK-3306,247834.602,248658.690,824.088,
STARLINK-1811 - STARLINK-3306,363016.950,363798.434,781.484,
STARLINK-1811 - STARLINK-3306,374155.839,375114.645,958.806,
STARLINK-1811 - STARLINK-3306,388272.677,389064.094,791.417,
STARLINK-1811 - STARLINK-3306,503365.912,504205.163,839.251,
STARLINK-1811 - STARLINK-3306,514535.159,515481.467,946.308,
STARLINK-1811 - STARLINK-3306,528689.732,529385.119,695.387,
