starlink_2023_12_16 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 14:24:35 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2024/12/11 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
STARLINK-1202 - STARLINK-2358,32340.387,32871.018,530.631,
STARLINK-1202 - STARLINK-2358,46636.449,47201.942,565.493,
STARLINK-1202 - STARLINK-2358,60943.609,61522.526,578.917,
STARLINK-1202 - STARLINK-2358,75241.109,75851.998,610.889,
STARLINK-1202 - STARLINK-2358,89549.048,90171.775,622.726,
STARLINK-1202 - STARLINK-2358,103847.706,104500.077,652.371,
STARLINK-1202 - STARLINK-2358,118156.310,118819.159,662.848,
STARLINK-1202 - STARLINK-2358,129599.662,130277.653,677.992,
STARLINK-1202 - STARLINK-2358,143899.630,144604.627,704.997,
STARLINK-1202 - STARLINK-2358,158209.040,158922.862,713.822,
STARLINK-1202 - STARLINK-2358,172509.794,173249.038,739.245,
STARLINK-1202 - STARLINK-2358,186819.716,187566.729,747.013,
STARLINK-1202 - STARLINK-2358,201121.166,201892.199,771.032,
STARLINK-1202 - STARLINK-2358,215431.566,216209.382,777.816,
STARLINK-1202 - STARLINK-2358,229733.644,230534.212,800.568,
STARLINK-1202 - STARLINK-2358,241178.926,244850.913,3671.987,
STARLINK-1202 - STARLINK-2358,255489.949,256307.229,817.280,
STARLINK-1202 - STARLINK-2358,269792.821,270631.254,838.433,
STARLINK-1202 - STARLINK-2358,284104.267,284947.312,843.044,
STARLINK-1202 - STARLINK-2358,298407.659,299270.807,863.148,
STARLINK-1202 - STARLINK-2358,312719.515,313586.422,866.906,
STARLINK-1202 - STARLINK-2358,327023.397,327909.419,886.022,
STARLINK-1202 - STARLINK-2358,341335.653,342224.600,888.946,
STARLINK-1202 - STARLINK-2358,352782.350,356547.123,3764.773,
STARLINK-1202 - STARLINK-2358,367086.878,370861.876,3774.999,
STARLINK-1202 - STARLINK-2358,381399.683,382316.541,916.857,
STARLINK-1202 - STARLINK-2358,395704.650,396638.435,933.785,
STARLINK-1202 - STARLINK-2358,410017.842,410952.596,934.754,
STARLINK-1202 - STARLINK-2358,424323.234,425274.059,950.826,
STARLINK-1202 - STARLINK-2358,438636.810,439587.801,950.990,
STARLINK-1202 - STARLINK-2358,452942.614,453908.845,966.231,
STARLINK-1202 - STARLINK-2358,464390.587,468222.167,3831.581,
STARLINK-1202 - STARLINK-2358,478704.700,482542.804,3838.104,
STARLINK-1202 - STARLINK-2358,493011.065,496855.706,3844.642,
STARLINK-1202 - STARLINK-2358,507325.562,508308.892,983.330,
STARLINK-1202 - STARLINK-2358,521632.317,522628.972,996.655,
STARLINK-1202 - STARLINK-2358,535947.199,536941.285,994.085,
STARLINK-1202 - STARLINK-2358,550254.339,551260.976,1006.637,
STARLINK-1202 - STARLINK-2358,564569.607,565572.865,1003.257,
STARLINK-1202 - STARLINK-2358,578877.126,579892.173,1015.047,
STARLINK-1202 - STARLINK-2358,590326.454,594203.636,3877.181,
STARLINK-1202 - STARLINK-2358,604642.268,608522.566,3880.298,
STARLINK-1202 - STARLINK-2358,618950.309,622833.600,3883.291,
STARLINK-1202 - STARLINK-2358,633266.515,634285.360,1018.845,
STARLINK-1202 - STARLINK-2358,647574.924,648603.768,1028.844,
STARLINK-1202 - STARLINK-2358,661891.526,662914.196,1022.670,
STARLINK-1202 - STARLINK-2358,676200.299,677232.237,1031.937,
STARLINK-1202 - STARLINK-2358,690517.302,691542.227,1024.925,
STARLINK-1202 - STARLINK-2358,701967.826,705859.904,3892.078,
STARLINK-1202 - STARLINK-2358,716277.103,720169.452,3892.349,
STARLINK-1202 - STARLINK-2358,730594.672,734486.768,3892.096,
STARLINK-1202 - STARLINK-2358,744904.306,745937.289,1032.983,
STARLINK-1202 - STARLINK-2358,759222.284,760246.212,1023.928,
STARLINK-1202 - STARLINK-2358,773532.271,774563.028,1030.757,
STARLINK-1202 - STARLINK-2358,787850.665,788871.499,1020.833,
STARLINK-1202 - STARLINK-2358,802161.002,803187.961,1026.959,
STARLINK-1202 - STARLINK-2358,816479.817,817495.974,1016.156,
STARLINK-1202 - STARLINK-2358,827931.695,831812.085,3880.391,
STARLINK-1202 - STARLINK-2358,842242.517,846119.634,3877.117,
STARLINK-1202 - STARLINK-2358,856561.931,860435.398,3873.466,
STARLINK-1202 - STARLINK-2358,870873.097,871884.494,1011.397,
STARLINK-1202 - STARLINK-2358,885192.949,886191.382,998.433,
STARLINK-1202 - STARLINK-2358,899504.455,900506.663,1002.208,
STARLINK-1202 - STARLINK-2358,913824.752,914813.069,988.317,
STARLINK-1202 - STARLINK-2358,928136.596,929128.007,991.411,
STARLINK-1202 - STARLINK-2358,939589.674,943433.922,3844.249,
STARLINK-1202 - STARLINK-2358,953910.610,957748.520,3837.910,
STARLINK-1202 - STARLINK-2358,968222.924,972053.934,3831.010,
STARLINK-1202 - STARLINK-2358,982544.332,983501.701,957.369,
STARLINK-1202 - STARLINK-2358,996856.980,997815.825,958.845,
STARLINK-1202 - STARLINK-2358,1011178.872,1012120.515,941.643,
