starlink_2023_12_25 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 14:12:33 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2023/12/19 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
STARLINK-1042 - STARLINK-2015,0.000,275.949,275.949,
STARLINK-1042 - STARLINK-2015,10573.628,14603.724,4030.096,
STARLINK-1042 - STARLINK-2015,24911.682,28942.214,4030.533,
STARLINK-1042 - STARLINK-2015,39238.002,46141.951,6903.949,
STARLINK-1042 - STARLINK-2015,53576.092,60469.663,6893.571,
STARLINK-1042 - STARLINK-2015,67902.427,69074.906,1172.478,
STARLINK-1042 - STARLINK-2015,82240.555,83402.587,1162.032,
STARLINK-1042 - STARLINK-2015,96566.905,97741.057,1174.152,
STARLINK-1042 - STARLINK-2015,110905.069,112068.698,1163.629,
STARLINK-1042 - STARLINK-2015,119498.524,126407.160,6908.636,
STARLINK-1042 - STARLINK-2015,133836.718,140734.761,6898.043,
STARLINK-1042 - STARLINK-2015,151035.477,155073.215,4037.739,
STARLINK-1042 - STARLINK-2015,165361.862,169400.776,4038.913,
STARLINK-1042 - STARLINK-2015,179700.116,183739.222,4039.107,
STARLINK-1042 - STARLINK-2015,194026.516,200938.804,6912.288,
STARLINK-1042 - STARLINK-2015,208364.807,215266.299,6901.492,
STARLINK-1042 - STARLINK-2015,222691.222,223871.552,1180.330,
STARLINK-1042 - STARLINK-2015,237029.550,238199.014,1169.463,
STARLINK-1042 - STARLINK-2015,251355.980,252537.444,1181.464,
STARLINK-1042 - STARLINK-2015,265694.346,266864.864,1170.518,
STARLINK-1042 - STARLINK-2015,274287.823,281203.287,6915.464,
STARLINK-1042 - STARLINK-2015,291486.728,295530.665,4043.937,
STARLINK-1042 - STARLINK-2015,305825.148,309869.083,4043.935,
STARLINK-1042 - STARLINK-2015,320151.611,324196.418,4044.807,
STARLINK-1042 - STARLINK-2015,334490.069,338534.830,4044.761,
STARLINK-1042 - STARLINK-2015,348816.547,355734.255,6917.708,
STARLINK-1042 - STARLINK-2015,363155.043,370061.522,6906.479,
STARLINK-1042 - STARLINK-2015,377481.535,378666.795,1185.260,
STARLINK-1042 - STARLINK-2015,391820.070,392994.027,1173.957,
STARLINK-1042 - STARLINK-2015,406146.575,407332.425,1185.850,
STARLINK-1042 - STARLINK-2015,420485.149,421659.614,1174.465,
STARLINK-1042 - STARLINK-2015,429078.645,435998.008,6919.362,
STARLINK-1042 - STARLINK-2015,446277.720,450325.152,4047.432,
STARLINK-1042 - STARLINK-2015,460616.348,464663.541,4047.193,
STARLINK-1042 - STARLINK-2015,474942.887,478990.642,4047.755,
STARLINK-1042 - STARLINK-2015,489281.554,493329.026,4047.472,
STARLINK-1042 - STARLINK-2015,503608.106,510528.293,6920.187,
STARLINK-1042 - STARLINK-2015,517946.813,519122.244,1175.431,
STARLINK-1042 - STARLINK-2015,532273.379,533460.622,1187.244,
STARLINK-1042 - STARLINK-2015,546612.125,547787.616,1175.491,
STARLINK-1042 - STARLINK-2015,560938.704,562125.990,1187.286,
STARLINK-1042 - STARLINK-2015,575277.489,576452.938,1175.448,
STARLINK-1042 - STARLINK-2015,583871.002,590791.308,6920.306,
STARLINK-1042 - STARLINK-2015,601070.248,604800.000,3729.752,
STARLINK-1042 - STARLINK-1331,2898.568,3629.070,730.502,
STARLINK-1042 - STARLINK-1331,14364.785,15089.312,724.527,
STARLINK-1042 - STARLINK-1331,28699.509,29412.969,713.460,
STARLINK-1042 - STARLINK-1331,43030.538,43739.704,709.167,
STARLINK-1042 - STARLINK-1331,57365.418,58063.210,697.792,
STARLINK-1042 - STARLINK-1331,71696.601,72389.782,693.181,
STARLINK-1042 - STARLINK-1331,86031.647,86713.128,681.481,
STARLINK-1042 - STARLINK-1331,100362.990,101039.529,676.540,
STARLINK-1042 - STARLINK-1331,114698.210,115362.705,664.495,
STARLINK-1042 - STARLINK-1331,129029.722,129688.929,659.207,
STARLINK-1042 - STARLINK-1331,143365.129,144011.924,646.794,
STARLINK-1042 - STARLINK-1331,169163.765,169797.464,633.699,
STARLINK-1042 - STARLINK-1331,183499.456,184120.181,620.726,
STARLINK-1042 - STARLINK-1331,197831.414,198445.937,614.523,
STARLINK-1042 - STARLINK-1331,212167.327,212768.436,601.109,
STARLINK-1042 - STARLINK-1331,226499.493,227093.975,594.482,
STARLINK-1042 - STARLINK-1331,240835.649,241416.236,580.587,
STARLINK-1042 - STARLINK-1331,255168.040,255741.541,573.501,
STARLINK-1042 - STARLINK-1331,269504.463,270063.539,559.075,
STARLINK-1042 - STARLINK-1331,323974.753,324493.482,518.730,
STARLINK-1042 - STARLINK-1331,338311.957,338814.708,502.751,
STARLINK-1042 - STARLINK-1331,352645.296,353139.037,493.741,
STARLINK-1042 - STARLINK-1331,366982.907,367459.859,476.951,
STARLINK-1042 - STARLINK-1331,381316.608,381783.820,467.211,
STARLINK-1042 - STARLINK-1331,395654.696,396104.167,449.471,
STARLINK-1042 - STARLINK-1331,409988.817,410427.701,438.883,
STARLINK-1042 - STARLINK-1331,493147.703,493485.856,338.153,
STARLINK-1042 - STARLINK-1331,507484.126,507807.066,322.940,
STARLINK-1042 - STARLINK-1331,521826.238,522123.398,297.159,
STARLINK-1042 - STARLINK-1331,536163.924,536443.338,279.414,
STARLINK-1042 - STARLINK-2521,3402.301,7413.371,4011.070,
STARLINK-1042 - STARLINK-2521,17736.104,21740.622,4004.518,
STARLINK-1042 - STARLINK-2521,32058.505,38926.533,6868.028,
STARLINK-1042 - STARLINK-2521,46392.956,47513.919,1120.963,
STARLINK-1042 - STARLINK-2521,60715.873,61840.423,1124.550,
STARLINK-1042 - STARLINK-2521,75050.986,76155.741,1104.755,
STARLINK-1042 - STARLINK-2521,89374.414,90481.716,1107.302,
STARLINK-1042 - STARLINK-2521,103710.207,104796.359,1086.153,
STARLINK-1042 - STARLINK-2521,115174.232,119121.809,3947.577,
STARLINK-1042 - STARLINK-2521,129498.373,133435.755,3937.383,
STARLINK-1042 - STARLINK-2521,143835.151,147760.683,3925.532,
STARLINK-1042 - STARLINK-2521,158159.799,162073.906,3914.107,
STARLINK-1042 - STARLINK-2521,172497.314,173528.811,1031.497,
STARLINK-1042 - STARLINK-2521,186822.471,187853.008,1030.536,
STARLINK-1042 - STARLINK-2521,201160.756,202165.164,1004.407,
STARLINK-1042 - STARLINK-2521,215486.426,216488.835,1002.409,
STARLINK-1042 - STARLINK-2521,229825.525,230800.177,974.652,
STARLINK-1042 - STARLINK-2521,244151.715,245123.317,971.603,
STARLINK-1042 - STARLINK-2521,258491.681,259433.790,942.109,
STARLINK-1042 - STARLINK-2521,269958.550,273756.389,3797.839,
STARLINK-1042 - STARLINK-2521,284285.488,288065.922,3780.434,
STARLINK-1042 - STARLINK-2521,298626.791,299518.337,891.546,
STARLINK-1042 - STARLINK-2521,312954.288,313840.147,885.860,
STARLINK-1042 - STARLINK-2521,327296.663,328148.204,851.541,
STARLINK-1042 - STARLINK-2521,341624.748,342469.419,844.670,
STARLINK-1042 - STARLINK-2521,355968.330,356776.264,807.934,
STARLINK-1042 - STARLINK-2521,370297.047,371096.839,799.792,
STARLINK-1042 - STARLINK-2521,384642.019,385402.290,760.271,
STARLINK-1042 - STARLINK-2521,398971.432,399722.163,750.730,
STARLINK-1042 - STARLINK-2521,413318.052,414025.959,707.907,
STARLINK-1042 - STARLINK-2521,424789.221,425474.668,685.447,
STARLINK-1042 - STARLINK-2521,439119.778,439793.389,673.611,
STARLINK-1042 - STARLINK-2521,453469.383,454094.190,624.806,
STARLINK-1042 - STARLINK-2521,467800.960,468411.886,610.926,
STARLINK-1042 - STARLINK-2521,482153.516,482709.729,556.213,
STARLINK-1042 - STARLINK-2521,496486.416,497026.099,539.683,
STARLINK-1042 - STARLINK-2521,510843.210,511319.695,476.485,
STARLINK-1042 - STARLINK-2521,525178.016,525634.154,456.138,
STARLINK-1042 - STARLINK-3387,50313.172,51010.345,697.174,
STARLINK-1042 - STARLINK-3387,64635.975,65391.651,755.676,
STARLINK-1042 - STARLINK-3387,78939.810,79790.109,850.298,
STARLINK-1042 - STARLINK-3387,93268.777,94165.343,896.566,
STARLINK-1042 - STARLINK-3387,107579.965,108556.400,976.436,
STARLINK-1042 - STARLINK-3387,121913.188,122927.473,1014.285,
STARLINK-1042 - STARLINK-3387,136229.543,137313.310,1083.766,
STARLINK-1042 - STARLINK-3387,150566.182,151681.062,1114.880,
STARLINK-1042 - STARLINK-3387,164886.624,166062.756,1176.132,
STARLINK-1042 - STARLINK-3387,173493.734,180427.589,6933.856,
STARLINK-1042 - STARLINK-3387,187817.014,194805.718,6988.704,
STARLINK-1042 - STARLINK-3387,202158.943,209167.809,7008.867,
STARLINK-1042 - STARLINK-3387,219360.978,223542.684,4181.705,
STARLINK-1042 - STARLINK-3387,233689.354,237902.085,4212.731,
STARLINK-1042 - STARLINK-3387,248035.742,255139.860,7104.118,
STARLINK-1042 - STARLINK-3387,262367.123,269509.822,7142.699,
STARLINK-1042 - STARLINK-3387,276716.336,283864.851,7148.515,
STARLINK-1042 - STARLINK-3387,291050.680,298231.807,7181.127,
STARLINK-1042 - STARLINK-3387,305402.788,312584.008,7181.220,
STARLINK-1042 - STARLINK-3387,319740.092,326947.971,7207.879,
STARLINK-1042 - STARLINK-3387,334095.174,341297.259,7202.085,
STARLINK-1042 - STARLINK-3387,342695.896,349916.658,7220.763,
STARLINK-1042 - STARLINK-3387,357053.408,364263.562,7210.154,
STARLINK-1042 - STARLINK-3387,371396.053,378622.163,7226.109,
STARLINK-1042 - STARLINK-3387,385756.653,392966.033,7209.379,
STARLINK-1042 - STARLINK-3387,400102.254,407321.697,7219.444,
STARLINK-1042 - STARLINK-3387,414465.978,421662.492,7196.515,
STARLINK-1042 - STARLINK-3387,428814.497,436015.280,7200.784,
STARLINK-1042 - STARLINK-3387,443181.364,453228.593,10047.229,
STARLINK-1042 - STARLINK-3387,460413.489,467564.416,7150.927,
STARLINK-1042 - STARLINK-3387,474766.555,481912.761,7146.206,
STARLINK-1042 - STARLINK-3387,489138.488,496245.435,7106.947,
STARLINK-1042 - STARLINK-3387,503494.313,510591.104,7096.791,
STARLINK-1042 - STARLINK-3387,517869.472,524920.559,7051.088,
STARLINK-1042 - STARLINK-3387,532228.009,533529.574,1301.565,
STARLINK-1042 - STARLINK-3387,546606.513,547856.354,1249.842,
STARLINK-1042 - STARLINK-3387,560967.763,562197.294,1229.531,
STARLINK-1042 - STARLINK-3387,575349.851,576520.501,1170.650,
STARLINK-1042 - STARLINK-3387,589713.898,590858.735,1144.837,
STARLINK-1042 - STARLINK-3387,604100.014,604800.000,699.986,
STARLINK-1042 - STARLINK-3166,89731.650,90087.548,355.899,
STARLINK-1042 - STARLINK-3166,114943.736,115758.325,814.589,
STARLINK-1042 - STARLINK-3166,129049.019,129918.298,869.279,
STARLINK-1042 - STARLINK-3166,140378.205,144014.366,3636.161,
STARLINK-1042 - STARLINK-3166,154598.819,155245.264,646.445,
STARLINK-1042 - STARLINK-3166,298762.588,299371.861,609.273,
STARLINK-1042 - STARLINK-3166,312789.033,313600.560,811.527,
STARLINK-1042 - STARLINK-3166,326889.493,327753.812,864.320,
STARLINK-1042 - STARLINK-3166,338213.488,339031.932,818.445,
STARLINK-1042 - STARLINK-3166,352429.813,353068.300,638.487,
STARLINK-1042 - STARLINK-3166,496485.827,497180.945,695.118,
STARLINK-1042 - STARLINK-3166,510535.286,511374.614,839.328,
STARLINK-1042 - STARLINK-3166,521821.609,522681.254,859.645,
STARLINK-1042 - STARLINK-3166,535989.372,536754.085,764.713,
STARLINK-1042 - STARLINK-3077,356360.080,360003.886,3643.806,
STARLINK-1042 - STARLINK-3077,370662.297,374462.102,3799.805,
STARLINK-1042 - STARLINK-3077,385004.185,388925.949,3921.763,
STARLINK-1042 - STARLINK-3077,399337.827,403358.014,4020.188,
STARLINK-1042 - STARLINK-3077,413703.061,417796.349,4093.288,
STARLINK-1042 - STARLINK-3077,428060.146,432206.322,4146.176,
STARLINK-1042 - STARLINK-3077,442447.693,446621.262,4173.569,
STARLINK-1042 - STARLINK-3077,456827.877,463893.887,7066.010,
STARLINK-1042 - STARLINK-3077,471239.192,475399.398,4160.205,
STARLINK-1042 - STARLINK-3077,485643.345,489761.997,4118.652,
STARLINK-1042 - STARLINK-3077,500080.173,504128.631,4048.458,
STARLINK-1042 - STARLINK-3077,514509.644,518464.296,3954.651,
STARLINK-1042 - STARLINK-3077,528976.311,532803.333,3827.022,
STARLINK-1042 - STARLINK-3077,543437.973,544253.186,815.213,
STARLINK-1042 - STARLINK-3077,557959.288,558521.819,562.530,
STARLINK-1042 - STARLINK-1993,0.000,306.977,306.977,
STARLINK-1042 - STARLINK-1993,13734.410,14628.310,893.900,
STARLINK-1042 - STARLINK-1993,25197.970,28955.274,3757.304,
STARLINK-1042 - STARLINK-1993,39524.786,43276.317,3751.531,
STARLINK-1042 - STARLINK-1993,53857.175,57603.130,3745.955,
STARLINK-1042 - STARLINK-1993,68184.149,69062.147,877.998,
STARLINK-1042 - STARLINK-1993,82516.822,83382.772,865.951,
STARLINK-1042 - STARLINK-1993,96843.953,97709.375,865.422,
STARLINK-1042 - STARLINK-1993,111176.916,112029.692,852.776,
STARLINK-1042 - STARLINK-1993,125504.205,126356.145,851.940,
STARLINK-1042 - STARLINK-1993,139837.467,140676.146,838.679,
STARLINK-1042 - STARLINK-1993,154164.913,155002.448,837.535,
STARLINK-1042 - STARLINK-1993,168498.485,169322.124,823.639,
STARLINK-1042 - STARLINK-1993,179963.025,183648.275,3685.249,
STARLINK-1042 - STARLINK-1993,194290.692,195106.469,815.778,
STARLINK-1042 - STARLINK-1993,208624.718,209425.669,800.951,
STARLINK-1042 - STARLINK-1993,222952.542,223751.608,799.066,
STARLINK-1042 - STARLINK-1993,237286.909,238070.450,783.541,
STARLINK-1042 - STARLINK-1993,251614.893,252396.235,781.342,
STARLINK-1042 - STARLINK-1993,265949.618,266714.704,765.085,
STARLINK-1042 - STARLINK-1993,280277.763,281040.334,762.571,
STARLINK-1042 - STARLINK-1993,294612.867,295358.409,745.542,
STARLINK-1042 - STARLINK-1993,308941.176,309683.881,742.705,
STARLINK-1042 - STARLINK-1993,323276.681,324001.539,724.857,
STARLINK-1042 - STARLINK-1993,334742.372,335458.623,716.250,
STARLINK-1042 - STARLINK-1993,349070.916,349783.867,712.950,
STARLINK-1042 - STARLINK-1993,363407.033,364100.893,693.859,
STARLINK-1042 - STARLINK-1993,377735.751,378425.967,690.216,
STARLINK-1042 - STARLINK-1993,392072.348,392742.499,670.151,
STARLINK-1042 - STARLINK-1993,406401.248,407067.397,666.149,
STARLINK-1042 - STARLINK-1993,420738.370,421383.390,645.021,
STARLINK-1042 - STARLINK-1993,435067.459,435708.102,640.643,
STARLINK-1042 - STARLINK-1993,449405.162,450023.501,618.339,
STARLINK-1042 - STARLINK-1993,489540.127,490118.183,578.056,
STARLINK-1042 - STARLINK-1993,503869.731,504442.390,572.659,
STARLINK-1042 - STARLINK-1993,518209.154,518756.037,546.882,
STARLINK-1042 - STARLINK-1993,532539.009,533079.995,540.985,
STARLINK-1042 - STARLINK-1993,546879.352,547392.710,513.358,
STARLINK-1042 - STARLINK-1993,561209.493,561716.385,506.891,
STARLINK-1042 - STARLINK-1993,575550.941,576027.982,477.042,
STARLINK-1042 - STARLINK-1746,6498.548,13751.116,7252.568,
STARLINK-1042 - STARLINK-1746,15069.886,28081.528,13011.642,
STARLINK-1042 - STARLINK-1746,29380.866,36666.805,7285.939,
STARLINK-1042 - STARLINK-1746,43677.501,50992.339,7314.838,
STARLINK-1042 - STARLINK-1746,57994.516,68170.350,10175.834,
STARLINK-1042 - STARLINK-1746,72297.137,82474.826,10177.689,
STARLINK-1042 - STARLINK-1746,89474.768,96790.592,7315.824,
STARLINK-1042 - STARLINK-1746,103801.744,111088.874,7287.130,
STARLINK-1042 - STARLINK-1746,118113.866,125398.720,7284.854,
STARLINK-1042 - STARLINK-1746,126717.042,139690.843,12973.801,
STARLINK-1042 - STARLINK-1746,141033.742,148276.702,7242.960,
STARLINK-1042 - STARLINK-1746,155371.856,162563.944,7192.088,
STARLINK-1042 - STARLINK-1746,169694.058,176863.817,7169.759,
STARLINK-1042 - STARLINK-1746,184038.302,191144.932,7106.630,
STARLINK-1042 - STARLINK-1746,201243.737,208287.956,7044.219,
STARLINK-1042 - STARLINK-1746,215574.441,222579.412,7004.972,
STARLINK-1042 - STARLINK-1746,229929.109,236849.881,6920.772,
STARLINK-1042 - STARLINK-1746,244265.385,245425.541,1160.155,
STARLINK-1042 - STARLINK-1746,258627.977,259689.513,1061.537,
STARLINK-1042 - STARLINK-1746,272970.842,273970.006,999.165,
STARLINK-1042 - STARLINK-1746,287344.419,288222.955,878.537,
STARLINK-1042 - STARLINK-1746,301696.787,302494.009,797.222,
STARLINK-1042 - STARLINK-1746,313196.147,313894.633,698.487,
STARLINK-1042 - STARLINK-1129,92712.342,111544.724,18832.382,
STARLINK-1042 - STARLINK-1129,118487.835,119012.351,524.515,
STARLINK-1042 - STARLINK-1129,219149.915,240482.129,21332.214,
STARLINK-1042 - STARLINK-1129,241224.433,245548.469,4324.036,
STARLINK-1042 - STARLINK-1129,345558.911,371907.981,26349.070,
STARLINK-1042 - STARLINK-1129,474344.786,478754.714,4409.928,
STARLINK-1042 - STARLINK-1129,479435.282,500700.241,21264.959,
STARLINK-1042 - STARLINK-1129,600602.586,604800.000,4197.414,
STARLINK-1042 - STARLINK-1548,6896.359,7673.496,777.137,
STARLINK-1042 - STARLINK-1548,21225.172,22015.093,789.921,
STARLINK-1042 - STARLINK-1548,35567.974,36342.593,774.619,
STARLINK-1042 - STARLINK-1548,49896.754,50684.227,787.472,
STARLINK-1042 - STARLINK-1548,64239.600,65011.688,772.087,
STARLINK-1042 - STARLINK-1548,78568.348,79353.359,785.011,
STARLINK-1042 - STARLINK-1548,92911.238,93680.780,769.543,
STARLINK-1042 - STARLINK-1548,104379.896,108022.489,3642.593,
STARLINK-1042 - STARLINK-1548,118708.598,119490.141,781.543,
STARLINK-1042 - STARLINK-1548,133051.550,133817.506,765.957,
STARLINK-1042 - STARLINK-1548,147380.219,148159.269,779.051,
STARLINK-1042 - STARLINK-1548,161723.215,162486.594,763.379,
STARLINK-1042 - STARLINK-1548,176051.851,176828.395,776.545,
STARLINK-1042 - STARLINK-1548,190394.893,191155.679,760.787,
STARLINK-1042 - STARLINK-1548,204723.494,205497.520,774.026,
STARLINK-1042 - STARLINK-1548,219066.582,219824.763,758.181,
STARLINK-1042 - STARLINK-1548,233395.149,234166.642,771.494,
STARLINK-1042 - STARLINK-1548,247738.283,248493.843,755.560,
STARLINK-1042 - STARLINK-1548,262066.815,262835.763,768.948,
STARLINK-1042 - STARLINK-1548,273535.485,274303.411,767.925,
STARLINK-1042 - STARLINK-1548,287878.685,288630.552,751.868,
STARLINK-1042 - STARLINK-1548,302207.168,302972.528,765.360,
STARLINK-1042 - STARLINK-1548,316550.414,317299.627,749.213,
STARLINK-1042 - STARLINK-1548,330878.862,331641.644,762.782,
STARLINK-1042 - STARLINK-1548,345222.156,345968.700,746.543,
STARLINK-1042 - STARLINK-1548,359550.568,360310.757,760.189,
STARLINK-1042 - STARLINK-1548,373893.910,374637.769,743.859,
STARLINK-1042 - STARLINK-1548,388222.286,388979.868,757.582,
STARLINK-1042 - STARLINK-1548,402565.677,403306.836,741.160,
STARLINK-1042 - STARLINK-1548,416894.016,417648.976,754.961,
STARLINK-1042 - STARLINK-1548,428362.711,429116.619,753.908,
STARLINK-1042 - STARLINK-1548,442706.170,443443.526,737.356,
STARLINK-1042 - STARLINK-1548,457034.457,457785.724,751.267,
STARLINK-1042 - STARLINK-1548,471377.966,472112.586,734.620,
STARLINK-1042 - STARLINK-1548,485706.216,486454.827,748.611,
STARLINK-1042 - STARLINK-1548,500049.774,500781.643,731.869,
STARLINK-1042 - STARLINK-1548,514377.986,515123.927,745.941,
STARLINK-1042 - STARLINK-1548,528721.595,529450.698,729.102,
STARLINK-1042 - STARLINK-1548,543049.769,543793.024,743.255,
STARLINK-1042 - STARLINK-1548,557393.429,558119.749,726.320,
STARLINK-1042 - STARLINK-1548,571721.564,572462.119,740.555,
STARLINK-1042 - STARLINK-1548,583190.286,583929.756,739.470,
STARLINK-1042 - STARLINK-1548,597534.017,598256.415,722.398,
STARLINK-1042 - STARLINK-3247,75443.314,75966.295,522.981,
