starlink_2023_12_6 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 14:08:26 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2023/12/13 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
STARLINK-1547 - STARLINK-3904,10360.959,11208.862,847.903,
STARLINK-1547 - STARLINK-3904,21592.443,25200.055,3607.612,
STARLINK-1547 - STARLINK-3904,35794.893,36254.963,460.070,
STARLINK-1547 - STARLINK-3909,28495.353,29084.976,589.624,
STARLINK-1547 - STARLINK-3909,39414.522,46277.233,6862.711,
STARLINK-1547 - STARLINK-3909,53444.789,54647.511,1202.722,
Analysis,Time True,Time False,Percent True,Interval Count,
STARLINK-1547 - STARLINK-3904,4915.585,81484.415,5.6893%,3,
STARLINK-1547 - STARLINK-3909,8655.057,77744.943,10.0174%,3,
STARLINK-3904 - STARLINK-3909,0.000,86400.000,0.0000%,0,
