starlink_2023_12_6 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 14:08:37 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2023/12/13 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
STARLINK-3206 - STARLINK-3204,0.000,17976.191,17976.191,
STARLINK-3206 - STARLINK-3204,18123.869,25386.181,7262.312,
STARLINK-3206 - STARLINK-1084,78892.256,79344.150,451.895,
STARLINK-3206 - STARLINK-2031,0.000,17295.004,17295.004,
STARLINK-3204 - STARLINK-2031,0.000,3347.745,3347.745,
STARLINK-3204 - STARLINK-2031,7266.978,17582.781,10315.804,
STARLINK-3204 - STARLINK-2031,18690.747,31802.931,13112.184,
STARLINK-3204 - STARLINK-2031,33005.052,40311.105,7306.053,
STARLINK-3204 - STARLINK-2031,47328.004,54491.151,7163.147,
STARLINK-3204 - STARLINK-2031,64559.827,68629.593,4069.766,
STARLINK-3204 - STARLINK-2031,78966.027,79922.088,956.061,
STARLINK-1661 - STARLINK-1084,0.000,86400.000,86400.000,
Analysis,Time True,Time False,Percent True,Interval Count,
STARLINK-3206 - STARLINK-3204,25238.503,61161.497,29.2112%,2,
STARLINK-3206 - STARLINK-1661,0.000,86400.000,0.0000%,0,
STARLINK-3206 - STARLINK-1084,451.895,85948.105,0.5230%,1,
STARLINK-3206 - STARLINK-2031,17295.004,69104.996,20.0174%,1,
STARLINK-3204 - STARLINK-1661,0.000,86400.000,0.0000%,0,
STARLINK-3204 - STARLINK-1084,0.000,86400.000,0.0000%,0,
STARLINK-3204 - STARLINK-2031,46270.760,40129.240,53.5541%,7,
STARLINK-1661 - STARLINK-1084,86400.000,0.000,100.0000%,1,
STARLINK-1661 - STARLINK-2031,0.000,86400.000,0.0000%,0,
STARLINK-1084 - STARLINK-2031,0.000,86400.000,0.0000%,0,
