starlink_2023_12_17 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 14:09:20 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2023/12/13 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
STARLINK-1088 - STARLINK-2231,35969.091,36544.439,575.348,
STARLINK-1088 - STARLINK-2231,50293.047,50885.182,592.135,
STARLINK-1088 - STARLINK-2231,64616.701,65226.961,610.260,
STARLINK-1088 - STARLINK-2231,78941.221,79567.158,625.937,
STARLINK-1088 - STARLINK-2398,0.000,86400.000,86400.000,
STARLINK-1088 - STARLINK-1327,10154.260,11007.138,852.878,
STARLINK-1088 - STARLINK-1327,24466.312,25329.839,863.526,
STARLINK-1088 - STARLINK-1327,35918.524,39646.639,3728.115,
STARLINK-1088 - STARLINK-1327,50236.998,51102.392,865.394,
STARLINK-1088 - STARLINK-1327,64549.148,65424.981,875.832,
STARLINK-1088 - STARLINK-1327,78867.690,79741.656,873.966,
STARLINK-1088 - STARLINK-3093,0.000,352.696,352.696,
STARLINK-1088 - STARLINK-3093,14121.991,14713.377,591.386,
STARLINK-1088 - STARLINK-3093,28545.732,29080.319,534.587,
STARLINK-1088 - STARLINK-3093,42986.950,43429.012,442.062,
STARLINK-1088 - STARLINK-3093,57421.779,57784.898,363.119,
STARLINK-1088 - STARLINK-3093,71893.799,72102.942,209.143,
STARLINK-1088 - STARLINK-1331,6636.262,7443.145,806.883,
STARLINK-1088 - STARLINK-1331,20962.867,21761.419,798.552,
STARLINK-1088 - STARLINK-1331,35280.057,36089.548,809.491,
STARLINK-1088 - STARLINK-1331,46737.575,50407.812,3670.237,
STARLINK-1088 - STARLINK-1331,61064.183,61866.364,802.181,
STARLINK-1088 - STARLINK-1331,75381.368,76194.483,813.115,
STARLINK-1088 - STARLINK-1054,0.000,6886.009,6886.009,
STARLINK-1088 - STARLINK-1054,11033.656,21200.651,10166.994,
STARLINK-1088 - STARLINK-1054,28219.671,35529.388,7309.718,
STARLINK-1088 - STARLINK-1054,42550.359,49843.997,7293.638,
STARLINK-1088 - STARLINK-1054,56863.020,64172.756,7309.737,
STARLINK-1088 - STARLINK-1054,65465.056,78487.333,13022.277,
STARLINK-1088 - STARLINK-1054,79777.691,86400.000,6622.309,
STARLINK-1088 - STARLINK-2595,469.977,7853.553,7383.577,
STARLINK-1088 - STARLINK-2595,14858.449,22128.431,7269.982,
STARLINK-1088 - STARLINK-2595,29166.404,36454.335,7287.930,
STARLINK-1088 - STARLINK-2595,43556.038,53614.798,10058.760,
STARLINK-1088 - STARLINK-2595,60774.787,67886.079,7111.292,
STARLINK-1088 - STARLINK-2595,75080.631,82215.213,7134.582,
STARLINK-1088 - STARLINK-1552,10340.932,11158.504,817.571,
STARLINK-1088 - STARLINK-1552,24665.401,25483.459,818.058,
STARLINK-1088 - STARLINK-1552,38993.797,39804.958,811.161,
STARLINK-1088 - STARLINK-1552,53318.292,54129.874,811.581,
STARLINK-1088 - STARLINK-1552,64779.469,68451.326,3671.857,
STARLINK-1088 - STARLINK-1552,79107.929,79909.849,801.920,
STARLINK-1088 - STARLINK-2090,10108.039,10856.509,748.470,
STARLINK-1088 - STARLINK-2090,21545.284,22313.991,768.707,
STARLINK-1088 - STARLINK-2090,35836.986,36640.245,803.258,
STARLINK-1088 - STARLINK-2090,50140.168,50955.885,815.717,
STARLINK-1088 - STARLINK-2090,64433.228,65280.764,847.536,
STARLINK-1088 - STARLINK-2090,78737.346,79595.430,858.084,
STARLINK-1088 - STARLINK-3075,0.000,10499.468,10499.468,
STARLINK-1088 - STARLINK-3075,11211.788,24604.823,13393.035,
STARLINK-1088 - STARLINK-3075,25891.835,33050.054,7158.219,
STARLINK-1088 - STARLINK-3075,46451.277,47095.083,643.807,
STARLINK-1088 - STARLINK-2151,0.000,250.342,250.342,
STARLINK-1088 - STARLINK-2151,13810.056,14565.994,755.938,
STARLINK-1088 - STARLINK-2151,28117.706,28886.097,768.391,
STARLINK-1088 - STARLINK-2151,39565.500,43201.588,3636.088,
STARLINK-1088 - STARLINK-2151,53877.251,54655.696,778.445,
STARLINK-1088 - STARLINK-2151,68185.276,68975.380,790.104,
STARLINK-1088 - STARLINK-2151,82497.176,83290.650,793.475,
STARLINK-1088 - STARLINK-1347,6665.567,7642.035,976.468,
STARLINK-1088 - STARLINK-1347,20987.680,21950.419,962.739,
STARLINK-1088 - STARLINK-1347,35301.624,36267.060,965.436,
STARLINK-1088 - STARLINK-1347,46756.153,50575.171,3819.019,
STARLINK-1088 - STARLINK-1347,61078.609,64891.670,3813.061,
STARLINK-1088 - STARLINK-1347,75392.741,76341.396,948.654,
STARLINK-1088 - STARLINK-3289,0.000,76504.107,76504.107,
STARLINK-1088 - STARLINK-1788,0.000,6624.330,6624.330,
STARLINK-1088 - STARLINK-1788,13914.090,20868.787,6954.697,
STARLINK-1088 - STARLINK-1788,28252.694,29440.988,1188.294,
STARLINK-1088 - STARLINK-1788,42638.802,43677.881,1039.079,
STARLINK-1088 - STARLINK-1788,56982.231,57949.205,966.975,
STARLINK-1088 - STARLINK-1788,71384.828,72169.281,784.453,
STARLINK-1088 - STARLINK-1788,85738.816,86400.000,661.184,
STARLINK-1088 - STARLINK-3159,71546.341,72236.427,690.087,
STARLINK-1088 - STARLINK-3159,82766.729,86400.000,3633.271,
STARLINK-1088 - STARLINK-1707,0.000,86400.000,86400.000,
STARLINK-1088 - STARLINK-2240,0.000,268.174,268.174,
STARLINK-1088 - STARLINK-2240,13897.820,14583.884,686.064,
STARLINK-1088 - STARLINK-2240,28202.362,28904.938,702.576,
STARLINK-1088 - STARLINK-2240,42511.848,43220.410,708.562,
STARLINK-1088 - STARLINK-2240,53957.639,54674.829,717.191,
STARLINK-1088 - STARLINK-2240,68262.752,68995.266,732.515,
STARLINK-1088 - STARLINK-2240,82572.542,83310.419,737.877,
STARLINK-1088 - STARLINK-3053,53682.921,54235.612,552.691,
STARLINK-1088 - STARLINK-3053,68054.879,68813.383,758.504,
STARLINK-1088 - STARLINK-3053,82469.867,83346.803,876.936,
STARLINK-2231 - STARLINK-1613,3361.485,4224.826,863.342,
STARLINK-2231 - STARLINK-1613,17331.483,18423.506,1092.023,
STARLINK-2231 - STARLINK-1613,28659.143,32415.233,3756.090,
STARLINK-2231 - STARLINK-1613,43113.816,43348.982,235.166,
STARLINK-2231 - STARLINK-2301,3119.354,4177.841,1058.486,
STARLINK-2231 - STARLINK-2301,17432.688,18471.694,1039.006,
STARLINK-2231 - STARLINK-2301,31741.565,32769.864,1028.299,
STARLINK-2231 - STARLINK-2301,43194.652,47055.992,3861.340,
STARLINK-2231 - STARLINK-2301,57518.827,61346.752,3827.925,
STARLINK-2231 - STARLINK-2301,71838.228,75624.703,3786.475,
STARLINK-2231 - STARLINK-2301,86170.883,86400.000,229.117,
STARLINK-2231 - STARLINK-1327,14171.173,14846.577,675.404,
STARLINK-2231 - STARLINK-1327,28426.330,29251.456,825.126,
STARLINK-2231 - STARLINK-1327,42640.650,43690.657,1050.008,
STARLINK-2231 - STARLINK-1327,56915.777,58076.077,1160.299,
STARLINK-2231 - STARLINK-1327,65447.629,72493.361,7045.732,
STARLINK-2231 - STARLINK-1327,79728.896,86400.000,6671.104,
STARLINK-2231 - STARLINK-1331,0.000,3170.109,3170.109,
STARLINK-2231 - STARLINK-1331,10187.038,17463.449,7276.411,
STARLINK-2231 - STARLINK-1331,24532.438,31780.059,7247.622,
STARLINK-2231 - STARLINK-1331,38912.561,46070.741,7158.180,
STARLINK-2231 - STARLINK-1331,53258.949,54665.614,1406.666,
STARLINK-2231 - STARLINK-1331,61895.737,68953.692,7057.956,
STARLINK-2231 - STARLINK-1331,76243.067,83268.783,7025.717,
STARLINK-2231 - STARLINK-2606,6883.443,7467.389,583.946,
STARLINK-2231 - STARLINK-2606,21229.421,21798.536,569.115,
STARLINK-2231 - STARLINK-2606,35570.329,36133.782,563.453,
STARLINK-2231 - STARLINK-2606,49916.594,50464.660,548.066,
STARLINK-2231 - STARLINK-2595,10749.522,11174.859,425.337,
STARLINK-2231 - STARLINK-2595,25068.713,25526.168,457.455,
STARLINK-2231 - STARLINK-2595,39398.450,39865.903,467.453,
STARLINK-2231 - STARLINK-2595,53719.070,54215.776,496.706,
STARLINK-2231 - STARLINK-2595,68049.291,68555.041,505.749,
STARLINK-2231 - STARLINK-2595,82371.044,82903.777,532.733,
STARLINK-2231 - STARLINK-2184,3064.966,4227.767,1162.801,
STARLINK-2231 - STARLINK-2184,17410.226,18564.159,1153.933,
STARLINK-2231 - STARLINK-2184,31739.854,32913.922,1174.068,
STARLINK-2231 - STARLINK-2184,46085.183,47250.261,1165.077,
STARLINK-2231 - STARLINK-2184,54679.896,61599.916,6920.020,
STARLINK-2231 - STARLINK-2184,71885.005,75936.198,4051.194,
STARLINK-2231 - STARLINK-2184,86230.433,86400.000,169.567,
STARLINK-2231 - STARLINK-1797,2944.926,4058.437,1113.511,
STARLINK-2231 - STARLINK-1797,17302.173,18411.728,1109.555,
STARLINK-2231 - STARLINK-1797,25908.333,32774.730,6866.397,
STARLINK-2231 - STARLINK-1797,43131.538,47127.310,3995.771,
STARLINK-2231 - STARLINK-1797,57489.861,61489.529,3999.669,
STARLINK-2231 - STARLINK-1797,71838.117,75841.389,4003.272,
STARLINK-2231 - STARLINK-1797,86197.217,86400.000,202.783,
STARLINK-2231 - STARLINK-2700,68108.575,75272.927,7164.352,
STARLINK-2231 - STARLINK-2700,79348.784,86400.000,7051.216,
STARLINK-2231 - STARLINK-2090,0.000,281.128,281.128,
STARLINK-2231 - STARLINK-2090,14071.691,14743.903,672.212,
STARLINK-2231 - STARLINK-2090,28322.650,29134.144,811.493,
STARLINK-2231 - STARLINK-2090,42556.221,43539.432,983.211,
STARLINK-2231 - STARLINK-2090,53962.385,57909.469,3947.084,
STARLINK-2231 - STARLINK-2090,68238.467,72295.953,4057.486,
STARLINK-2231 - STARLINK-2090,82495.396,86400.000,3904.604,
STARLINK-2231 - STARLINK-2482,0.000,86400.000,86400.000,
STARLINK-2231 - STARLINK-2642,0.000,4198.237,4198.237,
STARLINK-2231 - STARLINK-2642,11330.310,18584.206,7253.896,
STARLINK-2231 - STARLINK-2642,25560.147,35863.915,10303.768,
STARLINK-2231 - STARLINK-2642,39832.601,50274.981,10442.380,
STARLINK-2231 - STARLINK-2642,54064.566,64664.471,10599.905,
STARLINK-2231 - STARLINK-2642,65464.403,79079.635,13615.232,
STARLINK-2231 - STARLINK-2642,79729.691,86400.000,6670.309,
STARLINK-2231 - STARLINK-1347,0.000,3514.282,3514.282,
STARLINK-2231 - STARLINK-1347,4325.963,17804.041,13478.079,
STARLINK-2231 - STARLINK-1347,18667.068,32107.762,13440.694,
STARLINK-2231 - STARLINK-1347,33037.856,46392.380,13354.524,
STARLINK-2231 - STARLINK-1347,47383.267,60692.735,13309.468,
STARLINK-2231 - STARLINK-1347,61758.453,74972.607,13214.154,
STARLINK-2231 - STARLINK-1347,76107.496,86400.000,10292.504,
STARLINK-2231 - STARLINK-1788,61181.545,61676.739,495.194,
STARLINK-2231 - STARLINK-1788,75469.106,76029.957,560.851,
STARLINK-2231 - STARLINK-1707,10136.796,10975.694,838.898,
STARLINK-2231 - STARLINK-1707,24465.942,25315.287,849.345,
STARLINK-2231 - STARLINK-1707,35930.578,39651.162,3720.584,
STARLINK-2231 - STARLINK-1707,50262.953,51121.199,858.246,
STARLINK-2231 - STARLINK-1707,64592.543,65460.324,867.781,
STARLINK-2231 - STARLINK-1707,78925.140,79795.922,870.782,
STARLINK-2231 - STARLINK-2429,28788.863,29092.861,303.997,
STARLINK-2231 - STARLINK-2429,43138.290,43411.907,273.617,
STARLINK-2231 - STARLINK-2429,57534.395,57684.217,149.822,
STARLINK-2231 - STARLINK-3053,0.000,58141.871,58141.871,
